,https://roic.ai/company/HURC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
47,Total Assets,31100000,30000000,30100000,43900000,64800000,72000000,82400000,84300000,67300000,59600000,61400000,59800000,58700000,71700000,69600000,65024000,66217000,57152000,57958000,73446000,94114000,124114000,163781000,177444000,144743000,160346000,186545000,195312000,211235000,236931000,245841000,251949000,281645000,315407000,301065000,265178000,332935000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,7200000,6500000,6300000,8400000,10600000,11400000,9200000,15800000,10900000,13593000,9936000,9856000,9461000,18361000,19138000,26605000,35486000,28303000,8262000,30394000,39046000,29788000,34262000,40464000,41678000,35210000,45127000,54131000,33031000,31710000,42716000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6400000,3100000,1800000,1800000,1800000,1986000,200000,1313000,9677000,317000,126000,136000,- -,- -,- -,- -,865000,3206000,3665000,3272000,1583000,1476000,1507000,1434000,- -,4132000,4221000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5180000,1936000,285000,1192000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2479000,8593000
52,Other Current Liabilities,23200000,20300000,12400000,21500000,21700000,13900000,9000000,8800000,10000000,8600000,9500000,8800000,8400000,8200000,6900000,7545000,8081000,10016000,1016000,11447000,11497000,17599000,27729000,22826000,12545000,11846000,17317000,16378000,17759000,23067000,21825000,21282000,24255000,31238000,21601000,12116000,25640000
53,Total Current Liabilities,23200000,20300000,12400000,21500000,21700000,13900000,16200000,15300000,16300000,17000000,26500000,23300000,19400000,25800000,19600000,23124000,18217000,21185000,20154000,30125000,30761000,44340000,63215000,51129000,20807000,42240000,57228000,49372000,55686000,66803000,65086000,57968000,70889000,86803000,54632000,50437000,81170000
54,Long-Term Debt,4200000,4000000,8500000,8700000,5500000,15900000,23500000,34300000,37300000,34700000,27200000,19100000,8300000,6600000,12400000,1750000,11800000,7572000,8577000,4283000,4010000,3874000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6794000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,990000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1956000,2056000,2570000,2335000,1982000,903000,743000,993000,1262000,4294000,3821000,- -,160000,- -,68000
57,Other Non-Current Liabilities,1700000,1600000,2100000,2200000,-100000,- -,-100000,- -,600000,600000,200000,1300000,1200000,1600000,1500000,1259000,732000,378000,486000,583000,399000,525000,1007000,782000,- -,1031000,1123000,1244000,3315000,4490000,4925000,4212000,3850000,5751000,6028000,14070000,6484000
58,Total Non-Current Liabilities,5900000,7600000,10600000,10900000,5400000,15900000,23400000,34300000,37900000,35300000,27400000,20400000,9500000,8200000,13900000,3009000,12532000,7950000,9063000,4866000,4409000,4399000,2963000,2838000,3560000,3366000,3105000,2147000,4058000,5483000,6187000,8506000,7671000,5751000,6188000,14070000,13346000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12121000,11015000
61,Total Liabilities,29100000,27900000,23000000,32400000,27100000,29800000,39600000,49600000,54200000,52300000,53900000,43700000,28900000,34000000,33500000,26133000,30749000,29135000,29217000,34991000,35170000,48739000,66178000,53967000,24367000,45606000,60333000,51519000,59744000,72286000,71273000,66474000,78560000,92554000,60820000,64507000,94516000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,596000,558000,558000,- -,- -,622000,- -,- -,- -,- -,- -,- -,- -,647000,651000,655000,657000,664000,672000,677000,657000,662000
64,Retained Earnings,-19800000,-21500000,-20500000,-16100000,-8200000,-2500000,-1200000,-7700000,-28900000,-34700000,-34500000,-30200000,-16400000,-7200000,-5300000,-313000,-1910000,-10173000,-9711000,-3442000,13001000,28480000,49369000,71889000,69568000,63824000,74948000,90586000,98130000,111580000,125760000,136742000,149267000,167859000,182151000,172484000,175574000
65,Other Comprehensive Income/Loss,-4600000,-5700000,-5800000,-6800000,-7800000,-9300000,-8600000,-8700000,-10800000,-10800000,-11700000,-11700000,-11200000,-11000000,-11200000,-11122000,-11653000,-7085000,-6800000,-5483000,-3380000,-3751000,-3376000,-744000,-1839000,-1872000,-1994000,-853000,-1984000,-3560000,-9386000,-11043000,-8190000,-9863000,-8933000,-2990000,-1741000
66,Other Total Stockholders Equity,26400000,29300000,33400000,34400000,53700000,54000000,52600000,51100000,52800000,52800000,53700000,58000000,57400000,55900000,52000000,49730000,48473000,44717000,49182000,54409000,48701000,- -,- -,- -,- -,52916000,53264000,54207000,54698000,55974000,57539000,59119000,61344000,64185000,66350000,60997000,63924000
67,Total Stockholders Equity,2000000,2100000,7100000,11500000,37700000,42200000,42800000,34700000,13100000,7300000,7500000,16100000,29800000,37700000,36100000,38891000,35468000,28017000,28741000,38455000,58944000,75375000,97603000,123477000,120376000,114740000,126212000,143793000,151491000,164645000,174568000,185475000,203085000,222853000,240245000,231148000,238419000
68,Total Liabilities And Stockholders Equity,31100000,30000000,30100000,43900000,64800000,72000000,82400000,84300000,67300000,59600000,61400000,59800000,58700000,71700000,69600000,65024000,66217000,57152000,57958000,73446000,94114000,124114000,163781000,177444000,144743000,160346000,186545000,195312000,211235000,236931000,245841000,251949000,281645000,315407000,301065000,295655000,332935000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30477000,- -
70,Total Liabilities & Equity,31100000,30000000,30100000,43900000,64800000,72000000,82400000,84300000,67300000,59600000,61400000,59800000,58700000,71700000,69600000,65024000,66217000,57152000,57958000,73446000,94114000,124114000,163781000,177444000,144743000,160346000,186545000,195312000,211235000,236931000,245841000,251949000,281645000,315407000,301065000,265178000,332935000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/315374/000031537496000003/0000315374-96-000003-index.html,https://www.sec.gov/Archives/edgar/data/315374/000031537497000001/0000315374-97-000001-index.html,https://www.sec.gov/Archives/edgar/data/315374/000031537498000001/0000315374-98-000001-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/315374/000031537401000003/0000315374-01-000003-index.html,https://www.sec.gov/Archives/edgar/data/315374/000031537402000002/0000315374-02-000002-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/315374/000031537405000010/fy2004_form10k.htm,https://www.sec.gov/Archives/edgar/data/315374/000114036106001046/body.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/315374/000114420411001979/v207797_10k.htm,https://www.sec.gov/Archives/edgar/data/315374/000114420412002212/0001144204-12-002212-index.html,https://www.sec.gov/Archives/edgar/data/315374/000114420413001855/0001144204-13-001855-index.html,https://www.sec.gov/Archives/edgar/data/315374/000114420414001644/v364037_10k.htm,https://www.sec.gov/Archives/edgar/data/315374/000114420415001643/v397518_10k.htm,https://www.sec.gov/Archives/edgar/data/315374/000114420416074937/0001144204-16-074937-index.html,https://www.sec.gov/Archives/edgar/data/315374/000114420417001161/0001144204-17-001161-index.html,https://www.sec.gov/Archives/edgar/data/315374/000114420418001087/0001144204-18-001087-index.html,https://www.sec.gov/Archives/edgar/data/315374/000114420419000709/0001144204-19-000709-index.html,https://www.sec.gov/Archives/edgar/data/315374/000110465920000756/0001104659-20-000756-index.html,https://www.sec.gov/Archives/edgar/data/315374/000155837021000128/0001558370-21-000128-index.htm,https://www.sec.gov/Archives/edgar/data/315374/000155837022000137/0001558370-22-000137-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,8200000,6900000,2300000,-5800000,-21100000,-5800000,200000,4300000,13800000,9300000,1800000,5035000,-1597000,-8263000,462000,6269000,16443000,15479000,20889000,22520000,-2321000,-5744000,11124000,15638000,8190000,15143000,16214000,13292000,15115000,21490000,17495000,-6247000,6764000
74,Depreciation and Amortization,- -,- -,- -,- -,1600000,1800000,2500000,3000000,3600000,3000000,2900000,2700000,2100000,2100000,2400000,2519000,2196000,1929000,1429000,1223000,1331000,1504000,2106000,3023000,3295000,3804000,4300000,4126000,3392000,3309000,3222000,3868000,3616000,3713000,3745000,4547000,4193000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4389000,491000,1216000,1048000,-2824000,-216000,1372000,1846000,-909000,874000,-1013000,-225000,1403000,-530000,260000,-547000,-112000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,246000,141000,470000,870000,979000,921000,1193000,1607000,1698000,2504000,2670000,2058000,2779000
77,Change in Working Capital,- -,- -,- -,- -,-11500000,12600000,-5100000,1700000,-13200000,-6900000,-6200000,900000,2000000,6500000,4000000,-7229000,5222000,-10943000,1886000,4111000,16710000,13485000,19508000,24133000,-2726000,-3489000,12878000,17163000,5307000,14635000,9060000,7402000,15113000,19106000,12597000,-6255000,18795000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14262000,- -,-3395000,-8662000,4660000,-11653000,3666000,-8141000,563000,-5148000,11239000,15909000,-15188000
79,Inventory,- -,- -,- -,- -,-13300000,-4600000,-1000000,2300000,3300000,6500000,1000000,1000000,2100000,-8800000,-800000,2717000,-4018000,7720000,1465000,-4947000,-660000,-12726000,-14116000,-11832000,11409000,4154000,-25702000,-10152000,-1020000,-4971000,2852000,-13881000,1638000,-20386000,-10499000,3461000,2165000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20524000,21114000,8085000,-9594000,1768000,8642000,-1028000,-6001000,8529000,10788000,-23780000,-2556000,20617000
81,Other Working Capital,- -,- -,- -,- -,37000000,49600000,44500000,46200000,33000000,26100000,19900000,20800000,22800000,29300000,33300000,26071000,31293000,20350000,22236000,26347000,43057000,56542000,76050000,100183000,97457000,93968000,106846000,124009000,129316000,143951000,153011000,160413000,175526000,194632000,207229000,200974000,4264000
