,https://roic.ai/company/A,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1090872/000109581101000226/0001095811-01-000226-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000089161802000185/0000891618-02-000185-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000089161802005622/0000891618-02-005622-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000119312503098260/0001193125-03-098260-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000119312504216917/0001193125-04-216917-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000104746906000516/a2166540z10-k.htm,https://www.sec.gov/Archives/edgar/data/1090872/000104746906015256/a2175273z10-k.htm,https://www.sec.gov/Archives/edgar/data/1090872/000104746907010272/0001047469-07-010272-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000104746908013312/0001047469-08-013312-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000104746909010861/0001047469-09-010861-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000104746910010499/0001047469-10-010499-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000104746911010124/0001047469-11-010124-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000109087212000018/0001090872-12-000018-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000109087213000029/0001090872-13-000029-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000109087214000045/0001090872-14-000045-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000109087215000051/0001090872-15-000051-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000109087216000082/0001090872-16-000082-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000109087217000018/0001090872-17-000018-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000109087218000019/0001090872-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1090872/000109087219000022/0001090872-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1090872/000109087220000020/0001090872-20-000020-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,996000000,1170000000,1844000000,1607000000,2315000000,2226000000,2262000000,1826000000,1405000000,2479000000,2649000000,3527000000,2351000000,2675000000,3028000000,2003000000,2289000000,2678000000,2247000000,1382000000,1441000000,1484000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,25000000,- -,- -,24000000,14000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,158000000,91000000
33,Cash and Short-Term Investments,- -,- -,996000000,1170000000,1844000000,1607000000,2315000000,2251000000,2262000000,1826000000,1429000000,2493000000,2649000000,3527000000,2351000000,2675000000,3028000000,2003000000,2289000000,2678000000,2247000000,1382000000,1599000000,1575000000
34,Net Receivables,1215000000,1635000000,2201000000,977000000,1119000000,1086000000,1044000000,753000000,692000000,735000000,770000000,595000000,869000000,860000000,923000000,899000000,983000000,606000000,631000000,724000000,776000000,930000000,1038000000,1172000000
35,Inventory,1485000000,1499000000,1853000000,1491000000,1184000000,995000000,1026000000,722000000,627000000,643000000,646000000,552000000,716000000,898000000,1014000000,1066000000,1072000000,541000000,533000000,575000000,638000000,679000000,720000000,830000000
36,Other Current Assets,375000000,404000000,605000000,1161000000,733000000,201000000,192000000,721000000,377000000,467000000,363000000,321000000,1935000000,284000000,341000000,343000000,417000000,536000000,182000000,192000000,187000000,198000000,58000000,222000000
37,Total Current Assets,3075000000,3538000000,5655000000,4799000000,4880000000,3889000000,4577000000,4447000000,3958000000,3671000000,3208000000,3961000000,6169000000,5569000000,4629000000,4983000000,5500000000,3686000000,3635000000,4169000000,3848000000,3189000000,3415000000,3799000000
38,PP&E,1481000000,1387000000,1741000000,1848000000,1579000000,1447000000,1258000000,873000000,775000000,801000000,824000000,845000000,980000000,1006000000,1164000000,1134000000,1101000000,604000000,639000000,757000000,822000000,850000000,845000000,945000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,385000000,736000000,646000000,655000000,1456000000,1567000000,3025000000,3047000000,2899000000,2366000000,2517000000,2607000000,2973000000,3593000000,3602000000,3975000000
40,Intangible Assets,- -,- -,557000000,1070000000,685000000,402000000,443000000,362000000,83000000,- -,228000000,167000000,494000000,429000000,1086000000,916000000,667000000,445000000,408000000,361000000,491000000,1107000000,831000000,981000000
41,Intangible Assets,- -,- -,557000000,1070000000,685000000,402000000,443000000,362000000,468000000,736000000,874000000,822000000,1950000000,1996000000,4111000000,3963000000,3566000000,2811000000,2925000000,2968000000,3464000000,4700000000,4433000000,4956000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,163000000,142000000,117000000,109000000,139000000,159000000,86000000,135000000,138000000,68000000,102000000,158000000,185000000
43,Tax Assets,- -,- -,- -,- -,635000000,27000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,431000000,519000000,472000000,269000000,424000000,532000000,778000000,1069000000,2168000000,2346000000,2531000000,1821000000,455000000,369000000,523000000,467000000,505000000,292000000,468000000,394000000,339000000,611000000,776000000,820000000
45,Total Non-Current Assets,1912000000,1906000000,2770000000,3187000000,3323000000,2408000000,2479000000,2304000000,3411000000,3883000000,4229000000,3651000000,3527000000,3488000000,5907000000,5703000000,5331000000,3793000000,4167000000,4257000000,4693000000,6263000000,6212000000,6906000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4987000000,5444000000,8425000000,7986000000,8203000000,6297000000,7056000000,6751000000,7369000000,7554000000,7437000000,7612000000,9696000000,9057000000,10536000000,10686000000,10831000000,7479000000,7802000000,8426000000,8541000000,9452000000,9627000000,10705000000
48,Accounts Payable,435000000,510000000,857000000,386000000,305000000,441000000,441000000,344000000,378000000,323000000,308000000,307000000,499000000,472000000,461000000,432000000,475000000,279000000,257000000,305000000,340000000,354000000,354000000,446000000
49,Short-Term Debt,- -,- -,110000000,6000000,- -,- -,- -,- -,- -,- -,- -,- -,1501000000,253000000,250000000,- -,- -,- -,- -,210000000,- -,616000000,75000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,241000000,372000000,279000000,244000000,262000000,284000000,247000000,225000000,249000000,280000000,285000000,358000000,389000000,420000000,439000000,435000000,258000000,269000000,291000000,324000000,336000000,386000000,441000000
52,Other Current Liabilities,1164000000,930000000,1419000000,1331000000,1632000000,1203000000,1146000000,1345000000,935000000,1091000000,737000000,531000000,725000000,723000000,762000000,731000000,792000000,439000000,419000000,457000000,507000000,774000000,652000000,821000000
53,Total Current Liabilities,1599000000,1681000000,2758000000,2002000000,2181000000,1906000000,1871000000,1936000000,1538000000,1663000000,1325000000,1123000000,3083000000,1837000000,1893000000,1602000000,1702000000,976000000,945000000,1263000000,1171000000,2080000000,1467000000,1708000000
54,Long-Term Debt,- -,- -,- -,- -,1150000000,1150000000,1150000000,- -,1500000000,2087000000,2125000000,2904000000,2190000000,1932000000,2112000000,2699000000,2762000000,1655000000,1912000000,1801000000,1799000000,1791000000,2284000000,2729000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,182000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,366000000,381000000,402000000,325000000,245000000,417000000,466000000,734000000,490000000,570000000,1428000000,1079000000,1187000000,972000000,1346000000,1096000000,1066000000,678000000,699000000,527000000,1000000000,833000000,1003000000,879000000
58,Total Non-Current Liabilities,366000000,381000000,402000000,325000000,1395000000,1567000000,1616000000,734000000,2172000000,2657000000,3553000000,3983000000,3377000000,2904000000,3458000000,3795000000,3828000000,2333000000,2611000000,2328000000,2799000000,2624000000,3287000000,3608000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,1965000000,2062000000,3160000000,2327000000,3576000000,3473000000,3487000000,2670000000,3710000000,4320000000,4878000000,5106000000,6460000000,4741000000,5351000000,5397000000,5530000000,3309000000,3556000000,3591000000,3970000000,4704000000,4754000000,5316000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,4000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000,3000000,3000000,3000000,3000000,3000000
64,Retained Earnings,- -,- -,757000000,931000000,-101000000,-2159000000,-1810000000,-1463000000,1534000000,2172000000,2791000000,2760000000,3444000000,4456000000,5505000000,6073000000,6466000000,5581000000,6089000000,-126000000,-336000000,-18000000,81000000,348000000
65,Other Comprehensive Income/Loss,-2051000000,-2270000000,-2229000000,-2277000000,-149000000,-6000000,179000000,-49000000,29000000,408000000,-178000000,-185000000,-88000000,116000000,-111000000,91000000,-334000000,-391000000,-503000000,-346000000,-408000000,-514000000,-522000000,-282000000
66,Other Total Stockholders Equity,5073000000,5648000000,6732000000,7000000000,4872000000,4984000000,5195000000,5588000000,2080000000,648000000,-60000000,-75000000,-134000000,-270000000,-218000000,-884000000,-840000000,-1029000000,-1349000000,5300000000,5308000000,5277000000,5311000000,5320000000
67,Total Stockholders Equity,3022000000,3382000000,5265000000,5659000000,4627000000,2824000000,3569000000,4081000000,3648000000,3234000000,2559000000,2506000000,3228000000,4308000000,5182000000,5286000000,5298000000,4167000000,4243000000,4831000000,4567000000,4748000000,4873000000,5389000000
68,Total Liabilities And Stockholders Equity,4987000000,5444000000,8425000000,7986000000,8203000000,6297000000,7056000000,6751000000,7358000000,7554000000,7437000000,7612000000,9688000000,9049000000,10533000000,10683000000,10828000000,7476000000,7799000000,8422000000,8537000000,9452000000,9627000000,10705000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,11000000,- -,- -,- -,8000000,8000000,3000000,3000000,3000000,3000000,3000000,4000000,4000000,- -,- -,- -
70,Total Liabilities & Equity,4987000000,5444000000,8425000000,7986000000,8203000000,6297000000,7056000000,6751000000,7369000000,7554000000,7437000000,7612000000,9696000000,9057000000,10536000000,10686000000,10831000000,7479000000,7802000000,8426000000,8541000000,9452000000,9627000000,10705000000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1090872/000109581101000226/0001095811-01-000226-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000089161802000185/0000891618-02-000185-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000089161802005622/0000891618-02-005622-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000119312503098260/0001193125-03-098260-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000119312504216917/0001193125-04-216917-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000104746906000516/a2166540z10-k.htm,https://www.sec.gov/Archives/edgar/data/1090872/000104746906015256/a2175273z10-k.htm,https://www.sec.gov/Archives/edgar/data/1090872/000104746907010272/0001047469-07-010272-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000104746908013312/0001047469-08-013312-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000104746909010861/0001047469-09-010861-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000104746910010499/0001047469-10-010499-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000104746911010124/0001047469-11-010124-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000109087212000018/0001090872-12-000018-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000109087213000029/0001090872-13-000029-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000109087214000045/0001090872-14-000045-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000109087215000051/0001090872-15-000051-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000109087216000082/0001090872-16-000082-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000109087217000018/0001090872-17-000018-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000109087218000019/0001090872-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1090872/000109087219000022/0001090872-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1090872/000109087220000020/0001090872-20-000020-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,257000000,512000000,757000000,168000000,-1032000000,-2058000000,349000000,327000000,3307000000,638000000,693000000,-31000000,684000000,1012000000,1153000000,724000000,504000000,401000000,462000000,684000000,316000000,1071000000,719000000,1210000000
74,Depreciation and Amortization,477000000,475000000,495000000,734000000,735000000,362000000,292000000,186000000,170000000,191000000,201000000,162000000,202000000,253000000,301000000,372000000,384000000,253000000,246000000,212000000,210000000,238000000,308000000,321000000
75,Deferred Income Tax,-140000000,-12000000,-59000000,-94000000,-664000000,1071000000,-33000000,-12000000,-19000000,-134000000,-53000000,28000000,-109000000,38000000,-158000000,31000000,-132000000,70000000,3000000,102000000,-16000000,-255000000,29000000,14000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71000000,66000000,72000000,74000000,85000000,96000000,54000000,58000000,60000000,70000000,72000000,83000000,110000000
77,Change in Working Capital,35000000,381000000,1040000000,-100000000,-98000000,-716000000,723000000,-195000000,-91000000,-412000000,-125000000,955000000,248000000,646000000,-996000000,645000000,417000000,-1088000000,-20000000,216000000,-229000000,-1568000000,839000000,-102000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,193000000,-166000000,11000000,19000000,14000000,-119000000,-24000000,-33000000,-81000000,-65000000,-106000000,-107000000,-128000000
79,Inventory,-67000000,-40000000,-345000000,-373000000,278000000,169000000,-79000000,2000000,-55000000,-21000000,-14000000,47000000,-51000000,-208000000,-52000000,-100000000,-99000000,-24000000,-7000000,-61000000,-83000000,-36000000,-68000000,-136000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7000000,113000000,-35000000,-31000000,-27000000,50000000,-26000000,-15000000,2000000,40000000,29000000,2000000,64000000
81,Other Working Capital,1476000000,1857000000,2897000000,2797000000,2699000000,1983000000,2706000000,2511000000,2420000000,2008000000,1883000000,2838000000,3086000000,3732000000,2736000000,3381000000,3798000000,2710000000,2690000000,2906000000,2677000000,1109000000,1948000000,98000000
82,Other Non-Cash Items,122000000,-895000000,-1395000000,794000000,561000000,1197000000,-668000000,593000000,-2733000000,686000000,40000000,-777000000,-373000000,-761000000,854000000,-705000000,-558000000,801000000,44000000,-385000000,736000000,1463000000,-1057000000,-68000000
83,Cash Provided by Operating Activities,751000000,461000000,838000000,1502000000,-498000000,-144000000,663000000,899000000,634000000,969000000,756000000,408000000,718000000,1260000000,1228000000,1152000000,711000000,491000000,793000000,889000000,1087000000,1021000000,921000000,1485000000
84,CAPEX,-410000000,-434000000,-824000000,-881000000,-301000000,-205000000,-118000000,-139000000,-185000000,-154000000,-154000000,-128000000,-121000000,-188000000,-194000000,-195000000,-205000000,-98000000,-139000000,-176000000,-177000000,-156000000,-119000000,-189000000
85,Acquisitions Net,- -,- -,-691000000,-904000000,-15000000,- -,-18000000,-64000000,-50000000,-331000000,-172000000,-2000000,-1313000000,-97000000,-2263000000,-42000000,-36000000,-72000000,-264000000,-126000000,-516000000,-1408000000,- -,-546000000
86,Purchases of Investments,- -,- -,-32000000,-27000000,-23000000,-4000000,- -,-38000000,-5000000,- -,-256000000,-30000000,- -,- -,- -,-25000000,- -,- -,-80000000,-1000000,-11000000,-23000000,-20000000,-22000000
87,Sales/Maturities of Investments,- -,- -,60000000,74000000,- -,- -,- -,30000000,999000000,- -,150000000,94000000,38000000,16000000,5000000,12000000,1000000,- -,1000000,- -,- -,- -,- -,12000000
88,Other Investing Activites,138000000,125000000,370000000,373000000,268000000,6000000,22000000,11000000,1037000000,29000000,33000000,52000000,222000000,1563000000,80000000,2000000,10000000,-230000000,244000000,-2000000,- -,-4000000,-8000000,-5000000
89,Cash Used for Investing Activites,-272000000,-309000000,-1117000000,-1365000000,-71000000,-203000000,-114000000,-200000000,1796000000,-456000000,-399000000,-14000000,-1174000000,1294000000,-2372000000,-248000000,-230000000,-400000000,-238000000,-305000000,-704000000,-1590000000,-147000000,-749000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-325000000,-29000000,-1500000000,-251000000,-250000000,-1087000000,- -,-292000000,-290000000,-693000000,-702000000,-1762000000,-2139000000
91,Common Stock Issued,- -,- -,2152000000,150000000,121000000,112000000,144000000,198000000,547000000,375000000,211000000,71000000,299000000,304000000,100000000,- -,- -,- -,- -,- -,- -,- -,60000000,- -
92,Common Stock Repurchased,- -,- -,-2068000000,- -,- -,- -,- -,-290000000,-4235000000,-1944000000,-1001000000,-157000000,-411000000,-497000000,-172000000,-900000000,-200000000,-267000000,-434000000,-194000000,-422000000,-723000000,-469000000,-788000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-104000000,-156000000,-176000000,-133000000,-150000000,-170000000,-191000000,-206000000,-222000000,-236000000
94,Other Financing Activites,-479000000,-152000000,1191000000,-113000000,1122000000,-2000000,1000000,-688000000,1280000000,589000000,16000000,1068000000,742000000,- -,396000000,752000000,1366000000,-668000000,608000000,452000000,509000000,1332000000,1676000000,2467000000
95,Cash Used/Provided by Financing Activities,-479000000,-152000000,1275000000,37000000,1243000000,110000000,145000000,-780000000,-2408000000,-980000000,-774000000,657000000,601000000,-1693000000,-31000000,-554000000,-97000000,-1068000000,-268000000,-202000000,-797000000,-299000000,-717000000,-696000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,14000000,-8000000,14000000,31000000,-4000000,23000000,25000000,17000000,-1000000,-26000000,-31000000,-48000000,-1000000,7000000,-17000000,2000000,2000000,3000000
97,Net Change In Cash,- -,- -,- -,174000000,674000000,-237000000,708000000,-89000000,36000000,-436000000,-421000000,1074000000,170000000,878000000,-1176000000,324000000,353000000,-215000000,286000000,389000000,-431000000,-866000000,59000000,43000000
98,Cash at the End of Period,- -,- -,996000000,1170000000,1844000000,1607000000,2315000000,2226000000,2262000000,1826000000,1405000000,2479000000,2649000000,3527000000,2351000000,2675000000,3028000000,2003000000,2289000000,2678000000,2247000000,1388000000,1447000000,1490000000
99,Cash at the Beginning of Period,- -,- -,- -,996000000,1170000000,1844000000,1607000000,2315000000,2226000000,2262000000,1826000000,1405000000,2479000000,2649000000,3527000000,2351000000,2675000000,2218000000,2003000000,2289000000,2678000000,2254000000,1388000000,1447000000
100,Free Cash Flow,341000000,27000000,14000000,621000000,-799000000,-349000000,545000000,760000000,449000000,815000000,602000000,280000000,597000000,1072000000,1034000000,957000000,506000000,393000000,654000000,713000000,910000000,865000000,802000000,1296000000
