,https://roic.ai/company/RES,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,17600000,10300000,5300000,56200000,62500000,62100000,58200000,71600000,78200000,83900000,105600000,131300000,130400000,117000000,52625000,75181000,73748000,85362000,100344000,102438000,131793000,180013000,235543000,227109000,251441000,335022000,390648000,398293000,428889000,427556000,367948000,322731000,331271000,338536000,123698000,123572000
11,COGS and Expenses,- -,80700000,75300000,109500000,96100000,103300000,91000000,96900000,115000000,144100000,147400000,182600000,214200000,220500000,219000000,159681000,223754000,217110000,254128000,294003000,329930000,418830000,548188000,739174000,620915000,857539000,1327726000,1496534000,1576705000,1921971000,1413700000,975836000,1373540000,1514319000,1258131000,699967000,859520000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73000,147000,46000,18000,30000,419000,19000,83000,467000,1494000,2426000,1906000,496000,59000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5282000,2176000,2662000,3453000,1976000,1822000,1431000,2032000,681000,426000,489000,334000,373000,1929000
14,Depreciation and Amortization,- -,17600000,10300000,5300000,4500000,4500000,5200000,5800000,6200000,6200000,7500000,9800000,13500000,16400000,17500000,17995000,25536000,31342000,33182000,35054000,40390000,46726000,78493000,118403000,130580000,133360000,179787000,214153000,215812000,233940000,275413000,221038000,166558000,166789000,172607000,95309000,72506000
15,EBITDA,- -,-29700000,-100000,13800000,14400000,15700000,13500000,12000000,16400000,19400000,23700000,30100000,47400000,42200000,30700000,57933000,68145000,23188000,50752000,88257000,141130000,225574000,218327000,261470000,99257000,373554000,662055000,658748000,493904000,634757000,124404000,-17641000,399800000,388558000,59840000,-213749000,90883000
16,EBITDA ratio,- -,-0.4806,-0.0015,0.1176,0.1385,0.1399,0.1387,0.1192,0.1328,0.1245,0.1468,0.1499,0.1928,0.1727,0.1332,0.3145,0.2572,0.1109,0.1876,0.2597,0.3300,0.3781,0.3163,0.2981,0.1688,0.3407,0.3658,0.3387,0.2653,0.2716,0.0984,-0.0242,0.2506,0.2258,0.0490,-0.3573,0.1051
17,Operating Income,- -,-18900000,-10500000,7800000,7900000,8900000,6300000,3800000,8500000,11700000,14000000,18200000,31600000,23800000,11500000,24534000,41188000,-8080000,16399000,45789000,97713000,177800000,142038000,144170000,-33052000,238845000,482081000,442390000,275413000,399970000,-156277000,-238942000,226217000,210030000,-114288000,-309635000,16291000
18,Operating Income ratio,- -,-0.3058,-0.1620,0.0665,0.0760,0.0793,0.0647,0.0377,0.0688,0.0751,0.0867,0.0906,0.1286,0.0974,0.0499,0.1332,0.1555,-0.0387,0.0606,0.1348,0.2285,0.2980,0.2058,0.1644,-0.0562,0.2178,0.2664,0.2274,0.1480,0.1711,-0.1237,-0.3278,0.1418,0.1220,-0.0935,-0.5175,0.0188
19,Total Other Income Expenses (Gains),- -,-28400000,100000,700000,2000000,2300000,2000000,1600000,1500000,1500000,2200000,2100000,2300000,2000000,1700000,1443000,-65000,-74000,1171000,7414000,3027000,1048000,-2204000,-6385000,-447000,-1313000,-3266000,229000,857000,-584000,3236000,-418000,6599000,11250000,1187000,204000,157000
20,Income Before Tax,- -,-47300000,-10400000,8500000,9900000,11200000,8300000,5400000,10000000,13200000,16200000,20300000,33900000,25800000,13200000,25977000,41123000,-8154000,17570000,53203000,100740000,178848000,139834000,137785000,-33499000,237532000,478815000,442619000,276270000,399386000,-153041000,-239360000,232816000,221280000,-113101000,-309431000,16448000
21,Income Before Tax Ratio,- -,-0.7654,-0.1605,0.0725,0.0952,0.0998,0.0853,0.0536,0.0810,0.0847,0.1004,0.1011,0.1379,0.1056,0.0573,0.1410,0.1552,-0.0390,0.0649,0.1566,0.2356,0.2998,0.2026,0.1571,-0.0570,0.2167,0.2646,0.2276,0.1484,0.1709,-0.1211,-0.3284,0.1459,0.1286,-0.0925,-0.5172,0.0190
22,Income Tax expense (Gain),- -,-6400000,600000,3700000,4100000,4100000,3000000,2100000,3300000,4400000,5400000,7000000,11700000,9800000,5000000,9850000,15627000,-2894000,6677000,18430000,34256000,68054000,52785000,54382000,-10754000,90790000,182434000,168183000,109375000,154193000,-53480000,-98114000,70305000,45878000,-25990000,-97239000,9231000
23,Net Income,- -,-40900000,-11000000,4800000,5800000,7100000,5300000,4100000,6900000,8800000,10800000,13300000,22200000,16000000,8200000,30088000,26982000,-5260000,10893000,34773000,66484000,110794000,87049000,83403000,-22745000,146742000,296381000,274436000,166895000,245193000,-99561000,-141246000,162511000,175402000,-87111000,-212192000,7217000
24,Net Income ratio,- -,-0.6618,-0.1698,0.0409,0.0558,0.0633,0.0545,0.0407,0.0559,0.0565,0.0669,0.0662,0.0903,0.0655,0.0356,0.1633,0.1018,-0.0252,0.0403,0.1023,0.1555,0.1857,0.1261,0.0951,-0.0387,0.1338,0.1638,0.1411,0.0897,0.1049,-0.0788,-0.1938,0.1019,0.1019,-0.0713,-0.3547,0.0083
25,EPS,- -,-0.19,-0.05,0.02,0.03,0.03,0.03,0.02,0.03,0.04,0.10,0.12,0.10,0.07,0.04,0.14,0.13,-0.03,0.05,0.16,0.31,0.52,0.40,0.38,-0.11,0.67,1.36,1.28,0.77,1.14,-0.47,-0.66,0.75,0.82,-0.41,-1.00,0.03
26,EPS Diluted,- -,-0.19,-0.05,0.02,0.03,0.03,0.03,0.02,0.03,0.04,0.10,0.12,0.10,0.07,0.04,0.14,0.12,-0.03,0.05,0.16,0.30,0.50,0.40,0.38,-0.11,0.67,1.35,1.27,0.77,1.14,-0.47,-0.66,0.75,0.82,-0.41,-1.00,0.03
27,Weighted Average Shares Outstanding,- -,218393723,213861694,214090314,219889466,215340028,211507423,207252140,217995703,215240787,215804959,215983824,221817434,220909091,214719828,211556250,213431836,210226974,217680839,214680869,213698571,214902155,217622500,217271583,216686250,217483500,217683000,215241000,215504000,214840000,213632000,214227000,214303000,212745000,212221000,212492000,215640000
28,Weighted Average Shares Outstanding Diluted,- -,218393723,213861694,214090314,219889466,215340028,211507423,207252140,217995703,215240787,215804959,215983824,224775000,220909091,214719828,215547877,217972939,210226974,217680839,220047891,222161881,220607522,220067697,220196335,216686250,219805500,220249500,216796000,216733000,215889000,213632000,214227000,214303000,212745000,212221000,212492000,215640000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/742278/000091205702011203/a2074107z10-k405.htm,https://www.sec.gov/Archives/edgar/data/742278/000104746903009676/a2105863z10-k.htm,- -,https://www.sec.gov/Archives/edgar/data/742278/000116796605000383/t5161_10k.htm,https://www.sec.gov/Archives/edgar/data/742278/000118811206000661/t9288.htm,https://www.sec.gov/Archives/edgar/data/742278/000118811207000585/t13155_10k.htm,https://www.sec.gov/Archives/edgar/data/742278/000118811208000719/d22770_10-k.htm,https://www.sec.gov/Archives/edgar/data/742278/000118811209000487/0001188112-09-000487-index.html,https://www.sec.gov/Archives/edgar/data/742278/000118811210000460/0001188112-10-000460-index.html,https://www.sec.gov/Archives/edgar/data/742278/000118811211000495/t69879_10k.htm,https://www.sec.gov/Archives/edgar/data/742278/000118811212000533/0001188112-12-000533-index.html,https://www.sec.gov/Archives/edgar/data/742278/000118811213000533/0001188112-13-000533-index.html,https://www.sec.gov/Archives/edgar/data/742278/000118811214000518/t78386_10k.htm,https://www.sec.gov/Archives/edgar/data/742278/000157104915001479/t81553_10k.htm,https://www.sec.gov/Archives/edgar/data/742278/000157104916012371/0001571049-16-012371-index.html,https://www.sec.gov/Archives/edgar/data/742278/000157104917001715/0001571049-17-001715-index.html,https://www.sec.gov/Archives/edgar/data/742278/000114420418011709/0001144204-18-011709-index.html,https://www.sec.gov/Archives/edgar/data/742278/000114420419011175/0001144204-19-011175-index.html,https://www.sec.gov/Archives/edgar/data/742278/000110465920027017/0001104659-20-027017-index.html,https://www.sec.gov/Archives/edgar/data/742278/000110465921029211/0001104659-21-029211-index.htm,https://www.sec.gov/Archives/edgar/data/742278/000155837022002344/0001558370-22-002344-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,23500000,7800000,- -,24200000,32600000,20000000,12300000,13300000,15000000,18100000,13100000,17400000,10000000,8300000,5437000,4275000,11533000,22302000,29636000,12809000,2729000,6338000,3037000,4489000,9035000,7393000,14163000,8700000,9772000,65196000,131835000,91050000,116262000,50023000,84496000,82433000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4800000,3888000,6460000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,23500000,7800000,- -,24200000,32600000,20000000,12300000,13300000,15000000,18100000,13100000,17400000,10000000,13100000,9325000,10735000,11533000,22302000,29636000,12809000,2729000,6338000,3037000,4489000,9035000,7393000,14163000,8700000,9772000,65196000,131835000,91050000,116262000,50023000,84496000,82433000
34,Net Receivables,- -,6700000,6400000,- -,13600000,14500000,12300000,16000000,18000000,20600000,20800000,24200000,32200000,25300000,34900000,55485000,49000000,48985000,57868000,75793000,107428000,148708000,188450000,225979000,148803000,311253000,472077000,391764000,442852000,663845000,283579000,226340000,418096000,359365000,266719000,244714000,317139000
35,Inventory,- -,2700000,6500000,- -,9100000,7400000,6400000,9800000,10200000,12300000,14400000,15400000,16000000,17400000,19600000,7212000,8412000,9206000,10057000,10587000,13298000,21188000,29602000,49779000,55783000,64059000,100438000,140867000,126604000,155611000,128441000,108316000,114866000,130083000,100947000,82918000,78983000
36,Other Current Assets,- -,2900000,600000,- -,1900000,1900000,20400000,16800000,14100000,15200000,13600000,17400000,22300000,19800000,12400000,9159000,9974000,9351000,10008000,9782000,9308000,9629000,10670000,14028000,10379000,14331000,46647000,21033000,26769000,22400000,14992000,12566000,16123000,13228000,19169000,16231000,13455000
37,Total Current Assets,- -,35800000,21300000,- -,48800000,56400000,59100000,54900000,55600000,63100000,66900000,70100000,87900000,72500000,80000000,81181000,78121000,79075000,100235000,125798000,142843000,182254000,235060000,292823000,219454000,398678000,626555000,567827000,604925000,851628000,492208000,479057000,640135000,618938000,436858000,428359000,492010000
38,PP&E,- -,21300000,15700000,- -,18400000,20900000,20900000,24700000,25400000,28800000,36200000,47800000,55700000,70200000,75500000,85032000,115046000,105338000,109163000,114222000,141218000,262797000,433126000,470115000,396222000,453017000,675360000,756326000,726307000,849383000,688335000,497986000,443928000,517982000,550577000,291681000,299307000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24093000,24093000,24093000,24093000,24093000,24093000,24093000,31861000,32150000,32150000,32150000,32150000,32150000,32150000,32150000,32150000
40,Intangible Assets,- -,- -,13200000,- -,11500000,10800000,10200000,9500000,8800000,8100000,7900000,8100000,8300000,7400000,9000000,4044000,7804000,9609000,15488000,20183000,24114000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,13200000,- -,11500000,10800000,10200000,9500000,8800000,8100000,7900000,8100000,8300000,7400000,9000000,4044000,7804000,9609000,15488000,20183000,24114000,24093000,24093000,24093000,24093000,24093000,24093000,24093000,31861000,32150000,32150000,32150000,32150000,32150000,32150000,32150000,32150000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1000000,700000,- -,1400000,4500000,7200000,13800000,20200000,22200000,21700000,26800000,30600000,30600000,26100000,107658000,1431000,1932000,1864000,2739000,3610000,5163000,8736000,6430000,9274000,12083000,12203000,18917000,20767000,26197000,24401000,26259000,31011000,30510000,33633000,38315000,40898000
45,Total Non-Current Assets,- -,22300000,29600000,- -,31300000,36200000,38300000,48000000,54400000,59100000,65800000,82700000,94600000,108200000,110600000,196734000,124281000,116879000,126515000,137144000,168942000,292053000,465955000,500638000,429589000,489193000,711656000,799336000,778935000,907730000,744886000,556395000,507089000,580642000,616360000,362146000,372355000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,58100000,50900000,- -,80100000,92600000,97400000,102900000,110000000,122200000,132700000,152800000,182500000,180700000,190600000,277915000,202402000,195954000,226750000,262942000,311785000,474307000,701015000,793461000,649043000,887871000,1338211000,1367163000,1383860000,1759358000,1237094000,1035452000,1147224000,1199580000,1053218000,790505000,864365000
48,Accounts Payable,- -,- -,- -,- -,3800000,4100000,2800000,4500000,4000000,5400000,5000000,6800000,7400000,5900000,13700000,10237000,12075000,12280000,19603000,23389000,30437000,50568000,61371000,61217000,49882000,78743000,122987000,109846000,119170000,175416000,75811000,70536000,103462000,103401000,53147000,41080000,74404000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,470000,1390000,552000,1110000,2700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9192000,26581000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3903000,2561000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,10400000,14300000,- -,17800000,18700000,17300000,17400000,17700000,19900000,20000000,24200000,30100000,26500000,27600000,22680000,23532000,16748000,16296000,22200000,19518000,20384000,29351000,31112000,17891000,38761000,56479000,54665000,48882000,63596000,31653000,30932000,41898000,39836000,48255000,29293000,29864000
53,Total Current Liabilities,- -,10400000,14300000,- -,21600000,22800000,20100000,21900000,21700000,25300000,25000000,31000000,37500000,32400000,41600000,33387000,36997000,29580000,37009000,48289000,49955000,70952000,90722000,92329000,67773000,117504000,179466000,164511000,168052000,239012000,107464000,101468000,145360000,143237000,101402000,79565000,130849000
54,Long-Term Debt,- -,200000,100000,- -,- -,- -,- -,3200000,3700000,- -,- -,500000,1300000,600000,1500000,848000,2937000,2410000,4800000,2100000,- -,35600000,156400000,174450000,90300000,121250000,203300000,107000000,53300000,224500000,- -,- -,- -,- -,- -,21090000,19719000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,1300000,900000,1078000,1911000,8888000,13296000,11945000,8758000,12073000,29236000,54395000,56165000,80888000,155928000,155007000,153176000,156977000,115495000,81466000,39437000,60375000,37319000,13332000,17749000
57,Other Non-Current Liabilities,- -,- -,- -,- -,4100000,4400000,3700000,100000,- -,3400000,3300000,3500000,4000000,3300000,3800000,73283000,4121000,9995000,20539000,19185000,20571000,20395000,15385000,23203000,25082000,29334000,36925000,41413000,40630000,60487000,61854000,45719000,50730000,45549000,84164000,44951000,54257000
58,Total Non-Current Liabilities,- -,200000,100000,- -,4100000,4400000,3700000,3300000,3700000,3400000,3300000,4000000,5600000,5200000,6200000,75209000,8969000,21293000,38635000,33230000,29329000,68068000,201021000,252048000,171547000,231472000,396153000,303420000,247106000,441964000,177349000,127185000,90167000,105924000,121483000,79373000,91725000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39003000,30282000,46300000
61,Total Liabilities,- -,10600000,14400000,- -,25700000,27200000,23800000,25200000,25400000,28700000,28300000,35000000,43100000,37600000,47800000,108596000,45966000,50873000,75644000,81519000,79284000,139020000,291743000,344377000,239320000,348976000,575619000,467931000,415158000,680976000,284813000,228653000,235527000,249161000,222885000,158938000,222574000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2800000,2830000,2869000,2861000,2862000,4321000,6445000,9721000,9804000,9770000,9836000,14818000,14746000,22014000,21899000,21654000,21699000,21749000,21654000,21454000,21443000,21495000,21563000
64,Retained Earnings,- -,12700000,1600000,- -,19500000,30400000,38600000,42700000,49500000,58300000,68500000,81600000,101800000,113600000,117400000,143948000,127246000,119619000,128824000,160189000,219907000,317705000,385281000,445356000,401055000,527150000,760492000,891464000,956918000,1074561000,948551000,803152000,906745000,947711000,832113000,627778000,640936000
65,Other Comprehensive Income/Loss,- -,-167500000,-169700000,- -,-159900000,-157400000,-148600000,-144700000,-144100000,-143900000,-144200000,-146400000,-151900000,-151900000,-160700000,-159288000,-165459000,-188638000,-213354000,-226382000,-8000000,-6000000,-3000000,-10000000,-9000000,-10000000,-13000000,-14000000,-10000000,-18000000,-18000000,-18000000,-17000000,-19000000,-23000000,-17706000,-20708000
66,Other Total Stockholders Equity,- -,202300000,204600000,- -,194800000,192400000,183600000,179700000,179200000,179100000,180100000,182600000,189500000,181400000,183300000,181829000,191780000,211239000,232774000,243295000,14149000,13861000,17187000,3958000,7832000,6927000,354000,-246000,-115000,167000,31000,-102000,298000,254000,-223000,- -,- -
67,Total Stockholders Equity,- -,47500000,36500000,- -,54400000,65400000,73600000,77700000,84600000,93500000,104400000,117800000,139400000,143100000,142800000,169319000,156436000,145081000,151106000,181423000,232501000,335287000,409272000,449084000,409723000,538895000,762592000,899232000,968702000,1078382000,952281000,806799000,911697000,950419000,830333000,631567000,641791000
68,Total Liabilities And Stockholders Equity,- -,58100000,50900000,- -,80100000,92600000,97400000,102900000,110000000,122200000,132700000,152800000,182500000,180700000,190600000,277915000,202402000,195954000,226750000,262942000,311785000,474307000,701015000,793461000,649043000,887871000,1338211000,1367163000,1383860000,1759358000,1237094000,1035452000,1147224000,1199580000,1053218000,790505000,864365000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,58100000,50900000,- -,80100000,92600000,97400000,102900000,110000000,122200000,132700000,152800000,182500000,180700000,190600000,277915000,202402000,195954000,226750000,262942000,311785000,474307000,701015000,793461000,649043000,887871000,1338211000,1367163000,1383860000,1759358000,1237094000,1035452000,1147224000,1199580000,1053218000,790505000,864365000
71,SEC Link,undefined,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/742278/000091205702011203/a2074107z10-k405.htm,https://www.sec.gov/Archives/edgar/data/742278/000104746903009676/a2105863z10-k.htm,- -,https://www.sec.gov/Archives/edgar/data/742278/000116796605000383/t5161_10k.htm,https://www.sec.gov/Archives/edgar/data/742278/000118811206000661/t9288.htm,https://www.sec.gov/Archives/edgar/data/742278/000118811207000585/t13155_10k.htm,https://www.sec.gov/Archives/edgar/data/742278/000118811208000719/d22770_10-k.htm,https://www.sec.gov/Archives/edgar/data/742278/000118811209000487/0001188112-09-000487-index.html,https://www.sec.gov/Archives/edgar/data/742278/000118811210000460/0001188112-10-000460-index.html,https://www.sec.gov/Archives/edgar/data/742278/000118811211000495/t69879_10k.htm,https://www.sec.gov/Archives/edgar/data/742278/000118811212000533/0001188112-12-000533-index.html,https://www.sec.gov/Archives/edgar/data/742278/000118811213000533/0001188112-13-000533-index.html,https://www.sec.gov/Archives/edgar/data/742278/000118811214000518/t78386_10k.htm,https://www.sec.gov/Archives/edgar/data/742278/000157104915001479/t81553_10k.htm,https://www.sec.gov/Archives/edgar/data/742278/000157104916012371/0001571049-16-012371-index.html,https://www.sec.gov/Archives/edgar/data/742278/000157104917001715/0001571049-17-001715-index.html,https://www.sec.gov/Archives/edgar/data/742278/000114420418011709/0001144204-18-011709-index.html,https://www.sec.gov/Archives/edgar/data/742278/000114420419011175/0001144204-19-011175-index.html,https://www.sec.gov/Archives/edgar/data/742278/000110465920027017/0001104659-20-027017-index.html,https://www.sec.gov/Archives/edgar/data/742278/000110465921029211/0001104659-21-029211-index.htm,https://www.sec.gov/Archives/edgar/data/742278/000155837022002344/0001558370-22-002344-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,5800000,7100000,5300000,4100000,6900000,8800000,10800000,13300000,22200000,16000000,8200000,30088000,26982000,-5260000,10893000,34773000,66484000,110794000,87049000,83403000,-22745000,146742000,296381000,274436000,166895000,245193000,-99561000,-141246000,162511000,175402000,-87111000,-212192000,7217000
74,Depreciation and Amortization,- -,- -,- -,- -,4500000,4500000,5200000,5800000,6200000,6200000,7500000,9800000,13500000,16400000,17500000,17995000,25536000,31342000,33182000,35054000,40390000,46726000,78493000,118403000,130580000,133360000,179787000,214153000,215812000,233940000,275413000,221038000,166558000,166789000,172607000,95309000,72506000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-3000000,-2100000,-800000,-100000,-1700000,-300000,200000,-600000,-1200000,2200000,-767000,1400000,9193000,5401000,-756000,-1851000,2817000,15738000,27199000,1669000,22262000,77074000,4821000,-13060000,12354000,-33013000,-34209000,-42609000,21395000,-22225000,-25845000,4888000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3732000,4440000,4909000,8075000,7860000,8177000,9074000,9960000,10218000,11090000,9419000,8630000,8735000,6576000
77,Change in Working Capital,- -,- -,- -,- -,1100000,6400000,5400000,-6000000,900000,3900000,4100000,-2800000,11300000,-10300000,-1700000,9394000,-6670000,8371000,13731000,14283000,15379000,18414000,33036000,56156000,-48813000,129493000,165915000,-43773000,33557000,175743000,-227872000,-7155000,117186000,-19074000,-140245000,13338000,-32586000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34508000,80035000,-163162000,-167312000,73809000,-49959000,-198021000,401753000,64715000,-208642000,53982000,81094000,80769000,-91082000
79,Inventory,- -,- -,- -,- -,600000,1700000,1100000,-3400000,-400000,-2100000,-2100000,-1000000,-600000,-1400000,1900000,-1284000,-883000,-794000,-455000,-530000,-2445000,-7886000,-8316000,-20377000,-5798000,-8130000,-36511000,-40354000,14078000,-29708000,26667000,20294000,-6275000,-15660000,20962000,18076000,3951000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9691000,-5711000,14191000,30102000,-4929000,14062000,36421000,-62446000,-6250000,29176000,-7754000,-42241000,-9130000,32900000
