,https://roic.ai/company/MTZ,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,33100000,33400000,34500000,30300000,30000000,24100000,23100000,10500000,22100000,26000000,70500000,115100000,217600000,148000000,161976000,352557000,153341000,120535000,91649000,80607000,89274000,131711000,117050000,146471000,184624000,223683000,249482000,356328000,392757000,435572000,426348000,463152000,500208000,534982000,616943000,729796000
11,COGS and Expenses,- -,190400000,205000000,206300000,174700000,192000000,174200000,157100000,39200000,129900000,156800000,422800000,637600000,1020700000,951800000,1179854000,1340755000,898519000,913696000,920392000,812111000,902680000,1023317000,1297360000,1522596000,2123506000,2829774000,3488677000,4038695000,4370720000,4156875000,4868473000,6208459000,6439516000,6605226000,5887822000,7535531000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4973000,5775000,1069000,369000,- -,- -,- -,- -,- -,- -,- -,600000,400000,400000,100000,600000,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,4800000,5200000,6600000,8400000,6200000,4800000,100000,3700000,5000000,11400000,- -,29600000,- -,18283000,20426000,19237000,20202000,19478000,19233000,10023000,9236000,- -,24690000,- -,35000000,27500000,37600000,43500000,45800000,50734000,61011000,82571000,77026000,59629000,53413000
14,Depreciation and Amortization,- -,8600000,8900000,10000000,10800000,9700000,8500000,6900000,600000,5500000,6900000,12000000,24100000,43300000,56100000,63455000,62517000,35946000,29417000,17588000,18188000,15437000,18088000,28465000,49539000,57966000,75228000,92601000,140928000,154452000,169662000,164915000,188049000,212930000,235482000,297751000,422826000
15,EBITDA,- -,3000000,22900000,24800000,31500000,21000000,12800000,10100000,7400000,19600000,9500000,69200000,87700000,71600000,134100000,192762000,-64269000,-139096000,-11921000,-12371000,22805000,-24888000,19996000,95123000,153362000,212107000,284284000,303607000,412020000,390304000,148309000,438696000,619215000,661232000,821685000,782693000,904416000
16,EBITDA ratio,- -,0.0161,0.1142,0.1196,0.1766,0.1090,0.0731,0.0658,0.1655,0.1388,0.0544,0.1464,0.1247,0.0683,0.1266,0.1449,-0.0526,-0.1660,-0.0137,-0.0135,0.0269,-0.0263,0.0193,0.0690,0.0945,0.0919,0.0945,0.0815,0.0953,0.0846,0.0352,0.0854,0.0937,0.0957,0.1144,0.1238,0.1137
17,Operating Income,- -,-3700000,4400000,1000000,3700000,700000,1000000,3600000,5500000,11300000,17800000,50000000,65800000,28200000,107200000,150442000,118175000,60464000,43449000,6597000,35935000,43126000,14462000,81303000,100906000,155420000,179203000,238112000,286092000,241083000,51455000,266230000,398519000,469901000,577962000,433153000,297000
18,Operating Income ratio,- -,-0.0198,0.0219,0.0048,0.0207,0.0036,0.0057,0.0235,0.1230,0.0800,0.1019,0.1058,0.0935,0.0269,0.1012,0.1131,0.0967,0.0721,0.0499,0.0072,0.0424,0.0456,0.0139,0.0590,0.0622,0.0673,0.0596,0.0639,0.0662,0.0523,0.0122,0.0518,0.0603,0.0680,0.0805,0.0685,0.0000
19,Total Other Income Expenses (Gains),- -,-500000,4800000,8600000,10400000,2200000,-2900000,-5200000,1200000,-900000,-22700000,-4100000,-2300000,-29500000,-29200000,-39418000,-265619000,-228935000,-104989000,-32481000,-15617000,-1917000,-5720000,-13831000,-21773000,-1420000,-5176000,-45393000,-45878000,-42653000,-119201000,-40411000,-26693000,-104598000,-67023000,-7989000,429778000
20,Income Before Tax,- -,-4200000,9200000,9600000,14100000,2900000,-1900000,-1600000,6700000,10400000,-4900000,45900000,63500000,-1300000,78000000,111024000,-147444000,-168471000,-61540000,-25884000,20318000,41209000,8742000,67472000,79133000,154000000,174027000,192719000,240214000,198430000,-67746000,225819000,371826000,365303000,510939000,425164000,430075000
21,Income Before Tax Ratio,- -,-0.0225,0.0459,0.0463,0.0790,0.0150,-0.0108,-0.0104,0.1499,0.0737,-0.0281,0.0971,0.0903,-0.0012,0.0737,0.0835,-0.1206,-0.2010,-0.0707,-0.0283,0.0240,0.0436,0.0084,0.0489,0.0487,0.0667,0.0578,0.0517,0.0555,0.0430,-0.0161,0.0440,0.0563,0.0529,0.0711,0.0673,0.0541
22,Income Tax expense (Gain),- -,-300000,2500000,2500000,4900000,2100000,-1100000,-600000,2500000,2900000,-1800000,15700000,21000000,12600000,33300000,45877000,-54858000,-65473000,-9241000,- -,- -,- -,- -,870000,8385000,63613000,68055000,76080000,92542000,76429000,11957000,91784000,22942000,106072000,116843000,102465000,99346000
23,Net Income,- -,-5300000,6700000,7100000,9200000,800000,-800000,-1000000,4200000,7500000,-600000,30100000,42600000,-13900000,44700000,65147000,-92354000,-128806000,-52299000,-49437000,-14616000,-50348000,-7328000,65788000,70748000,90528000,106001000,107426000,140950000,115923000,-79110000,131263000,347213000,259659000,392334000,322848000,328831000
24,Net Income ratio,- -,-0.0284,0.0334,0.0342,0.0516,0.0042,-0.0046,-0.0065,0.0940,0.0531,-0.0034,0.0637,0.0606,-0.0133,0.0422,0.0490,-0.0755,-0.1537,-0.0601,-0.0541,-0.0172,-0.0532,-0.0071,0.0477,0.0436,0.0392,0.0352,0.0288,0.0326,0.0251,-0.0188,0.0256,0.0526,0.0376,0.0546,0.0511,0.0414
25,EPS,- -,-0.25,0.22,0.23,0.40,0.03,-0.03,-0.05,0.18,0.21,-0.02,0.80,0.98,-0.34,1.07,1.40,-1.93,-2.69,-1.09,-1.02,-0.30,-0.79,-0.11,0.97,0.93,1.19,1.29,1.37,1.83,1.45,-0.98,1.63,4.29,3.30,5.22,4.43,4.54
26,EPS Diluted,- -,-0.25,0.22,0.23,0.40,0.03,-0.03,-0.05,0.18,0.21,-0.02,0.80,0.96,-0.34,1.05,1.35,-1.93,-2.69,-1.09,-1.02,-0.30,-0.79,-0.11,0.96,0.90,1.05,1.23,1.31,1.66,1.34,-0.98,1.61,4.22,3.26,5.17,4.38,4.45
27,Weighted Average Shares Outstanding,- -,21200000,30454545,30869565,23000000,26666667,19707646,20000000,23333333,36173250,36103500,37692000,43469388,41233500,41713500,46390000,47790000,47922000,48084000,48382000,48952000,63574000,66147000,67983000,75701000,76132000,82182000,78275000,76923000,79953000,80489000,80372000,80903000,78695000,75185000,72799000,72499000
28,Weighted Average Shares Outstanding Diluted,- -,21200000,30454545,30869565,23000000,26666667,19707646,20000000,23333333,36250000,37500000,38627451,44375000,41233500,42624000,48374000,47790000,47922000,48282000,48382000,49795000,65119000,67626000,68916000,81762000,90913000,86718000,82087000,84901000,86196000,80489000,81394000,82325000,79772000,75846000,73715000,73941000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/15615/000001561595000004/0000015615-95-000004-index.html,https://www.sec.gov/Archives/edgar/data/15615/000001561596000001/0000015615-96-000001-index.html,https://www.sec.gov/Archives/edgar/data/15615/000001561597000001/0000015615-97-000001-index.html,https://www.sec.gov/Archives/edgar/data/15615/000001561598000011/0000015615-98-000011-index.html,https://www.sec.gov/Archives/edgar/data/15615/000001561599000005/0000015615-99-000005-index.html,- -,https://www.sec.gov/Archives/edgar/data/15615/000001561501000001/0000015615-01-000001-index.html,https://www.sec.gov/Archives/edgar/data/15615/000001561502000002/0000015615-02-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/15615/000095014404007457/g90004e10vk.htm,https://www.sec.gov/Archives/edgar/data/15615/000095014405003374/g94097e10vk.htm,https://www.sec.gov/Archives/edgar/data/15615/000095014406001675/g99839e10vk.htm,https://www.sec.gov/Archives/edgar/data/15615/000095014407001989/g05907e10vk.htm,https://www.sec.gov/Archives/edgar/data/15615/000095014408001445/g12007e10vk.htm,https://www.sec.gov/Archives/edgar/data/15615/000095014409001787/0000950144-09-001787-index.html,https://www.sec.gov/Archives/edgar/data/15615/000119312510039265/0001193125-10-039265-index.html,https://www.sec.gov/Archives/edgar/data/15615/000119312511043693/d10k.htm,https://www.sec.gov/Archives/edgar/data/15615/000119312512089522/0001193125-12-089522-index.html,https://www.sec.gov/Archives/edgar/data/15615/000001561513000028/0000015615-13-000028-index.html,https://www.sec.gov/Archives/edgar/data/15615/000001561514000027/mtz12311310-k.htm,https://www.sec.gov/Archives/edgar/data/15615/000001561515000053/mtz12311410-k.htm,https://www.sec.gov/Archives/edgar/data/15615/000001561516000093/0000015615-16-000093-index.html,https://www.sec.gov/Archives/edgar/data/15615/000001561517000007/0000015615-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/15615/000001561518000007/0000015615-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/15615/000001561519000011/0000015615-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/15615/000001561520000005/0000015615-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/15615/000001561521000006/0000015615-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/15615/000001561522000011/0000015615-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,11500000,40800000,47500000,10000000,17700000,10900000,13300000,- -,5600000,1100000,4800000,6100000,19900000,27600000,18457000,48478000,8730000,19415000,19548000,2024000,89046000,56238000,47263000,88521000,177604000,20280000,26382000,22927000,24059000,4984000,38767000,40326000,27422000,71427000,423118000,361
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44360000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,11500000,40800000,47500000,10000000,17700000,10900000,13300000,- -,5600000,1100000,4800000,6100000,19900000,27600000,18457000,48478000,8730000,19415000,19548000,2024000,89046000,100598000,47263000,88521000,177604000,20280000,26382000,22927000,24059000,4984000,38767000,40326000,27422000,71427000,423118000,361
34,Net Receivables,- -,39800000,42900000,41100000,55300000,58800000,30000000,26400000,- -,33800000,74900000,335500000,347300000,284600000,251600000,386480000,251715000,209833000,217143000,203589000,173321000,180389000,177386000,327382000,324212000,444363000,664629000,877100000,1134300000,1303600000,911100000,1156000000,1598000000,1924000000,1874868000,1754243000,- -
35,Inventory,- -,6400000,5300000,4000000,4300000,5400000,5500000,4800000,- -,4100000,2800000,4800000,8700000,13400000,14300000,19643000,25697000,23736000,27528000,45293000,17832000,28929000,32402000,32769000,31770000,57483000,88992000,83939000,70185000,112804000,90599000,111031000,76992000,113709000,100069000,89645000,- -
36,Other Current Assets,- -,9000000,3400000,3000000,10500000,11800000,4300000,3600000,- -,9500000,26400000,35400000,32100000,109500000,100400000,29184000,67982000,32873000,19804000,43828000,112130000,41556000,57021000,31951000,81304000,42224000,48609000,59647000,78571000,91288000,126219000,96688000,137048000,103858000,127195000,92009000,2873953639
37,Total Current Assets,- -,66700000,92400000,95600000,80100000,93700000,50700000,48100000,- -,53000000,105200000,380500000,394200000,427400000,393900000,453764000,393872000,275172000,283890000,312258000,305307000,339920000,367407000,439365000,525807000,721674000,822510000,1047068000,1305983000,1531751000,1132902000,1402486000,1852366000,2168989000,2173559000,2359015000,2873954000
38,PP&E,- -,32900000,29900000,29300000,30200000,28500000,23900000,19200000,- -,44000000,44600000,59600000,86100000,142900000,153500000,159673000,151774000,118475000,85832000,69303000,48027000,61400000,81939000,158013000,198812000,180786000,266583000,350400000,488100000,623100000,558700000,549100000,706500000,747800000,1135703000,1158873000,1696497000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150702000,202829000,- -,488988000,613369000,807850000,820341000,899364000,1082466000,988511000,995900000,1062900000,1100400000,1221400000,1243000000,1520575000
40,Intangible Assets,- -,12200000,11800000,11600000,10900000,10300000,6200000,5700000,- -,- -,- -,- -,- -,142200000,151600000,262398000,264826000,150984000,150984000,138640000,127143000,1286000,- -,420604000,90556000,78190000,117946000,137100000,165600000,250400000,199400000,179700000,191100000,169400000,211500000,184000000,670280000
41,Intangible Assets,- -,12200000,11800000,11600000,10900000,10300000,6200000,5700000,- -,- -,- -,- -,- -,142200000,151600000,262398000,264826000,150984000,150984000,138640000,127143000,151988000,202829000,420604000,579544000,691559000,925796000,957441000,1064964000,1332866000,1187911000,1175600000,1254000000,1269800000,1432900000,1427000000,2190855000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20580000,24511000,18997000,14973000,14408000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40271000,55083000,50732000,51468000,49317000,30386000,25165000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,59200000,52600000,49200000,29500000,26400000,41900000,45500000,- -,45500000,20400000,42900000,107300000,23000000,29400000,89044000,40900000,38890000,35151000,33085000,52219000,43488000,28188000,27170000,34775000,42812000,51283000,38617000,60553000,76263000,60684000,55946000,178824000,253364000,254741000,282856000,360087000
45,Total Non-Current Assets,- -,104300000,94300000,90100000,70600000,65200000,72000000,70400000,- -,89500000,65000000,102500000,193400000,308100000,334500000,511115000,457500000,348620000,327050000,291760000,278857000,306193000,343342000,651532000,837642000,934154000,1258635000,1360866000,1613617000,2032229000,1807295000,1780646000,2139324000,2270964000,2823344000,2868729000,4247439000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,171000000,186700000,185700000,150700000,158900000,122700000,118500000,- -,142500000,170200000,483000000,587600000,735500000,728400000,964879000,851372000,623792000,610940000,604018000,584164000,646113000,710749000,1090897000,1363449000,1655828000,2081145000,2407934000,2919600000,3563980000,2940197000,3183132000,3991690000,4439953000,4996903000,5227744000,7121393000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,8600000,- -,8500000,19000000,162400000,166800000,84400000,74400000,85797000,75508000,63492000,93324000,113333000,90324000,104578000,119489000,192407000,191363000,196363000,306996000,394060000,424917000,485347000,348543000,363668000,377954000,669712000,535029000,571269000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,9200000,27900000,38000000,54600000,11100000,12200000,5685000,1892000,1207000,4709000,99000,4266000,1769000,2694000,16884000,28473000,18399000,34191000,52596000,51376000,73631000,77654000,64600000,87866000,82655000,118429000,145110000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123435000,121641000,155674000,149483000,161459000,194494000,227056000,206180000,228388000,- -
52,Other Current Liabilities,- -,37400000,30300000,32200000,31200000,42800000,29700000,17800000,- -,13100000,13700000,28400000,49000000,87400000,71900000,128379000,68410000,65696000,72497000,64696000,75648000,69531000,85762000,124757000,102948000,271782000,239060000,135611000,227612000,266196000,177109000,250263000,303513000,304188000,359488000,470432000,1784598000
53,Total Current Liabilities,- -,37400000,30300000,32200000,31200000,42800000,29700000,26400000,- -,30800000,60600000,228800000,270400000,182900000,158500000,219861000,145810000,130395000,170530000,178128000,170238000,175878000,207945000,334048000,322784000,486544000,580247000,705702000,825546000,980848000,752789000,839990000,963827000,1283611000,1219126000,1415199000,1784598000
54,Long-Term Debt,- -,49100000,49200000,47400000,50100000,43800000,37100000,40000000,- -,36000000,44200000,117200000,94500000,310700000,267500000,206160000,267857000,197435000,196956000,196059000,196104000,128407000,160279000,287454000,409923000,394151000,460725000,546323000,765425000,1061159000,945464000,961379000,1280706000,1324223000,1314030000,1157632000,2052611000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,6800000,6000000,5500000,- -,- -,- -,- -,- -,17900000,5200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49275000,62487000,122614000,119388000,154883000,203476000,188759000,178355000,204518000,263687000,296326000,302938000,450361000
57,Other Non-Current Liabilities,- -,- -,- -,-100000,10400000,12200000,13100000,10300000,- -,6900000,9700000,33500000,42000000,37600000,45600000,38530000,30902000,20417000,27202000,38678000,38219000,34812000,27648000,26305000,53305000,59484000,106352000,174586000,152726000,170422000,109794000,99774000,184172000,176408000,375833000,346555000,289962000
58,Total Non-Current Liabilities,- -,55900000,55200000,52800000,60500000,56000000,50200000,50300000,- -,60800000,59100000,150700000,136500000,348300000,313100000,244690000,298759000,217852000,224158000,234737000,234323000,163219000,187927000,313759000,512503000,516122000,689691000,840297000,1073034000,1435057000,1244017000,1239508000,1669396000,1764318000,1986189000,1807125000,2792934000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,236114000,188987000,176378000
61,Total Liabilities,- -,93300000,85500000,85000000,91700000,98800000,79900000,76700000,- -,91600000,119700000,379500000,406900000,531200000,471600000,464551000,444569000,348247000,394688000,412865000,404561000,339097000,395872000,647807000,835287000,1002666000,1269938000,1545999000,1898580000,2415905000,1996806000,2079498000,2633223000,3047929000,3205315000,3222324000,4577532000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2800000,4770000,4791000,4801000,4822000,4860000,4922000,6518000,6717000,7545000,7596000,7822000,8516000,8592000,8672000,8762000,8820000,9063000,9094000,9133000,9191000,9311000,- -
64,Retained Earnings,- -,31200000,37900000,45000000,54200000,55000000,43300000,42300000,- -,6300000,5700000,35700000,86900000,56500000,101200000,166350000,73996000,-54810000,-117847000,-167284000,-181900000,-232248000,-239576000,-173788000,-103040000,-12512000,93489000,200915000,341865000,457788000,378678000,509941000,857154000,1118375000,1510709000,1833557000,- -
65,Other Comprehensive Income/Loss,- -,-44100000,-48300000,-49200000,-56600000,-64000000,-61500000,-57200000,- -,-6100000,-11200000,-20500000,-43900000,-58900000,-102400000,-147546000,-188221000,-193158000,-180073000,-155423000,-125419000,-115948000,-5000000,-13000000,-6000000,-6000000,-8000000,-6000000,-13000000,-34000000,-72000000,-66000000,-64000000,-60000000,-76000000,-91444000,-79
66,Other Total Stockholders Equity,- -,90600000,111600000,104900000,61400000,69100000,61000000,56700000,- -,50700000,56000000,88300000,137700000,206700000,255200000,476754000,516237000,516915000,508916000,509000000,482000000,646389000,552424000,622333000,629606000,663771000,717150000,653665000,678552000,711111000,624072000,643527000,628551000,322390000,343320000,250498000,- -
67,Total Stockholders Equity,- -,77700000,101200000,100700000,59000000,60100000,42800000,41800000,- -,50900000,50500000,103500000,180700000,204300000,256800000,500328000,406803000,273748000,215818000,191153000,179603000,304711000,314565000,443090000,528162000,653081000,811155000,857172000,1016089000,1143661000,939570000,1096531000,1430799000,1389898000,1787220000,2001922000,2543861000
68,Total Liabilities And Stockholders Equity,- -,171000000,186700000,185700000,150700000,158900000,122700000,118500000,- -,142500000,170200000,483000000,587600000,735500000,728400000,964879000,851372000,621995000,610506000,604018000,584164000,643808000,710437000,1090897000,1363449000,1655747000,2081093000,2403171000,2914669000,3559566000,2936376000,3176029000,4064022000,4437827000,4992535000,5224246000,7121393000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1797000,434000,- -,- -,2305000,312000,- -,- -,81000,52000,4763000,4931000,4414000,3821000,7103000,-72332000,2126000,4368000,3498000,- -
70,Total Liabilities & Equity,- -,171000000,186700000,185700000,150700000,158900000,122700000,118500000,- -,142500000,170200000,483000000,587600000,735500000,728400000,964879000,851372000,623792000,610940000,604018000,584164000,646113000,710749000,1090897000,1363449000,1655828000,2081145000,2407934000,2919600000,3563980000,2940197000,3183132000,3991690000,4439953000,4996903000,5227744000,7121393000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/15615/000001561595000004/0000015615-95-000004-index.html,https://www.sec.gov/Archives/edgar/data/15615/000001561596000001/0000015615-96-000001-index.html,https://www.sec.gov/Archives/edgar/data/15615/000001561597000001/0000015615-97-000001-index.html,https://www.sec.gov/Archives/edgar/data/15615/000001561598000011/0000015615-98-000011-index.html,https://www.sec.gov/Archives/edgar/data/15615/000001561599000005/0000015615-99-000005-index.html,- -,https://www.sec.gov/Archives/edgar/data/15615/000001561501000001/0000015615-01-000001-index.html,https://www.sec.gov/Archives/edgar/data/15615/000001561502000002/0000015615-02-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/15615/000095014404007457/g90004e10vk.htm,https://www.sec.gov/Archives/edgar/data/15615/000095014405003374/g94097e10vk.htm,https://www.sec.gov/Archives/edgar/data/15615/000095014406001675/g99839e10vk.htm,https://www.sec.gov/Archives/edgar/data/15615/000095014407001989/g05907e10vk.htm,https://www.sec.gov/Archives/edgar/data/15615/000095014408001445/g12007e10vk.htm,https://www.sec.gov/Archives/edgar/data/15615/000095014409001787/0000950144-09-001787-index.html,https://www.sec.gov/Archives/edgar/data/15615/000119312510039265/0001193125-10-039265-index.html,https://www.sec.gov/Archives/edgar/data/15615/000119312511043693/d10k.htm,https://www.sec.gov/Archives/edgar/data/15615/000119312512089522/0001193125-12-089522-index.html,https://www.sec.gov/Archives/edgar/data/15615/000001561513000028/0000015615-13-000028-index.html,https://www.sec.gov/Archives/edgar/data/15615/000001561514000027/mtz12311310-k.htm,https://www.sec.gov/Archives/edgar/data/15615/000001561515000053/mtz12311410-k.htm,https://www.sec.gov/Archives/edgar/data/15615/000001561516000093/0000015615-16-000093-index.html,https://www.sec.gov/Archives/edgar/data/15615/000001561517000007/0000015615-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/15615/000001561518000007/0000015615-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/15615/000001561519000011/0000015615-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/15615/000001561520000005/0000015615-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/15615/000001561521000006/0000015615-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/15615/000001561522000011/0000015615-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,6700000,7100000,9200000,800000,-800000,-1000000,4200000,7500000,-600000,30100000,42600000,-13900000,44700000,65147000,-92354000,-128806000,-52299000,-49437000,-14616000,-50348000,-7328000,65788000,70748000,90528000,106001000,107426000,140950000,115923000,-79110000,131263000,347213000,259659000,392334000,322848000,328831000
74,Depreciation and Amortization,- -,- -,8900000,10000000,10800000,9700000,8500000,6900000,600000,5500000,6900000,12000000,24100000,43300000,56100000,63455000,62517000,35946000,29417000,17588000,18188000,15437000,18088000,28465000,49539000,57966000,75228000,92601000,140928000,154452000,169662000,164915000,188049000,212930000,235482000,297751000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,-10100000,-1200000,-4300000,7000000,11600000,727000,- -,-41783000,-8655000,- -,- -,- -,- -,- -,- -,- -,- -,- -,6533000,13756000,3925000,-3935000,18277000,56209000,22160000,7180000,- -
