,https://roic.ai/company/MOS,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,399600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17700000,76800000,- -,245000000,173300000,420600000,1960700000,2703200000,2922600000,3906400000,3811000000,3697100000,2374600000,1276300000,673100000,2153500000,847700000,519100000,574000000,769500000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,179000000,194800000,- -,671700000,505800000,557000000,1039200000,597600000,705900000,986400000,965600000,1420400000,1006200000,1100000000,805700000,783900000,987700000,983400000,1062500000,1658000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,349100000,305700000,- -,753400000,760900000,787400000,1350900000,1125900000,1002300000,1266400000,1237600000,1557300000,1718300000,1563500000,1391100000,1547200000,2270200000,2076400000,1739200000,2741400000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,154200000,62300000,- -,61800000,140400000,190500000,458700000,881100000,344000000,525700000,566900000,205700000,265100000,204900000,187800000,131900000,131400000,139300000,145500000,156400000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000000,639600000,- -,1731900000,1580400000,1955500000,4809500000,5307800000,4974800000,6684900000,6581100000,6880500000,5364200000,4144700000,3057700000,4616500000,4237000000,3718200000,3521200000,5325300000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300700000,2357800000,- -,4121400000,4416600000,4449400000,4648000000,4899300000,5465600000,6635900000,7545900000,8486800000,9313900000,8721000000,9198500000,9711700000,11746500000,11882100000,12027400000,12595500000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,319000000,- -,- -,- -,2347100000,2283800000,1875200000,1734100000,1763200000,1829800000,1844400000,1844600000,1806500000,1595300000,1630900000,1693600000,1707500000,1156900000,1173000000,1172200000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,289000000,- -,2160300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,319000000,289000000,- -,2160300000,2347100000,2283800000,1875200000,1734100000,1763200000,1829800000,1844400000,1844600000,1806500000,1595300000,1630900000,1693600000,1707500000,1156900000,1173000000,1172200000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,357800000,54700000,434300000,454200000,431500000,849800000,980500000,1063100000,1089500000,826600000,763600000,673100000,691800000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10100000,262300000,305900000,6500000,50600000,212700000,394400000,691900000,836400000,254600000,343800000,515400000,1179400000,997100000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,317400000,384300000,- -,430400000,376500000,474900000,477000000,114900000,143500000,195500000,214200000,229900000,554200000,1279000000,1054100000,1267500000,1257800000,1262300000,1215700000,1254500000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2937100000,3031100000,- -,6712100000,7140200000,7208100000,7010300000,7368400000,7732900000,9102000000,10109300000,11205500000,12918800000,13267700000,13783000000,14016900000,15882200000,15580300000,16268600000,16711100000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3637100000,3670700000,- -,8444000000,8720600000,9163600000,11819800000,12676200000,12707700000,15786900000,16690400000,18086000000,18283000000,17412400000,16840700000,18633400000,20119200000,19298500000,19789800000,22036400000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,154800000,185700000,- -,462700000,420200000,433500000,1022100000,383600000,552500000,941100000,912400000,763100000,797300000,520600000,471800000,540900000,780900000,680400000,769100000,1260700000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,204900000,222100000,542400000,176400000,136000000,98300000,71600000,43000000,69600000,54500000,68500000,38900000,349600000,37500000,88800000,568300000,959100000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48700000,- -,- -,- -,- -,- -,83100000,184300000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65900000,243200000,323000000,243300000,101600000,121200000,145600000,140400000,199800000,266900000,287600000,437700000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,296700000,268300000,- -,439700000,483800000,653800000,987600000,1102200000,587200000,672600000,639300000,688900000,647000000,1338000000,820500000,1000200000,1465500000,1555600000,1521500000,2129900000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,451500000,454000000,- -,1107300000,1126100000,1629700000,2186100000,1621800000,1303900000,1928500000,1917700000,1764900000,1600400000,2048300000,1476800000,2031100000,2483700000,2591700000,3146500000,4787400000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2165300000,2091400000,- -,2463700000,2388100000,1818100000,1375000000,1256500000,1245600000,761300000,1010000000,1009600000,3778000000,3791100000,3779300000,4878100000,4491500000,4525500000,4183400000,3446500000
