,https://roic.ai/company/CLS,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57800000,300000,- -,- -,- -,- -,- -,- -,14300000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,-11000000,19000000,8000000,1000000,-10000000,19000000,7000000,1000000,4000000,-42000000,-35000000,-6000000,-5000000,-4000000,-3000000,-3000000,-6300000,4300000,-10100000,-24400000,-49500000,37700000,31700000
14,Depreciation and Amortization,37100000,86900000,126500000,212500000,319500000,311000000,222100000,207700000,152700000,134200000,130800000,109200000,100400000,87800000,77200000,81700000,71700000,68700000,68300000,75600000,76500000,89100000,135400000,124700000,126300000
15,EBITDA,32400000,36400000,219500000,507500000,285500000,-224000000,-17900000,-563300000,99700000,-113800000,153800000,-648800000,125400000,183800000,270200000,190700000,198700000,189700000,170900000,240900000,198900000,146600000,185700000,252600000,294000000
16,EBITDA ratio,0.0161,0.0112,0.0414,0.0520,0.0285,-0.0271,-0.0027,-0.0637,0.0118,-0.0129,0.0191,-0.0845,0.0206,0.0282,0.0375,0.0293,0.0343,0.0337,0.0303,0.0400,0.0324,0.0221,0.0315,0.0439,0.0522
17,Operating Income,42800000,54600000,124800000,273010000,-49800000,-537500000,-236700000,-115100000,155200000,138300000,105900000,212200000,- -,- -,204200000,115400000,133600000,127700000,115400000,156700000,142500000,106300000,149300000,127900000,167700000
18,Operating Income ratio,0.0213,0.0168,0.0236,0.0280,-0.0050,-0.0650,-0.0351,-0.0130,0.0183,0.0157,0.0131,0.0276,- -,- -,0.0283,0.0177,0.0231,0.0227,0.0205,0.0260,0.0232,0.0160,0.0254,0.0223,0.0298
19,Total Other Income Expenses (Gains),-47500000,-105100000,-20800000,2990000,7800000,1500000,3700000,-486900000,-181200000,-274300000,-98900000,-928200000,-35000000,-6000000,-5200000,-3400000,-2600000,-2700000,-6300000,4300000,-9400000,-24400000,-49500000,-37700000,-31700000
20,Income Before Tax,-4700000,-50500000,104000000,276000000,-42000000,-536000000,-233000000,-602000000,-26000000,-136000000,7000000,-716000000,60000000,103000000,199000000,112000000,131000000,125000000,109100000,161000000,133100000,81900000,99800000,90200000,136000000
21,Income Before Tax Ratio,-0.0023,-0.0155,0.0196,0.0283,-0.0042,-0.0648,-0.0346,-0.0681,-0.0031,-0.0154,0.0009,-0.0933,0.0098,0.0158,0.0276,0.0172,0.0226,0.0222,0.0193,0.0268,0.0217,0.0123,0.0169,0.0157,0.0241
22,Income Tax expense (Gain),2200000,-2000000,36000000,69000000,-2000000,-91000000,36000000,64000000,-13000000,-98000000,33000000,5000000,5000000,21000000,3000000,-5000000,12000000,16000000,42000000,24700000,27000000,-17000000,29500000,29600000,32100000
23,Net Income,-6900000,-48500000,68000000,207000000,-40000000,-445000000,-266000000,-854000000,-47000000,-151000000,-14000000,-721000000,55000000,81000000,195000000,118000000,118000000,108000000,66900000,136300000,105500000,98900000,70300000,60600000,103900000
24,Net Income ratio,-0.0034,-0.0149,0.0128,0.0212,-0.0040,-0.0538,-0.0395,-0.0966,-0.0055,-0.0171,-0.0017,-0.0939,0.0090,0.0124,0.0270,0.0181,0.0204,0.0192,0.0119,0.0227,0.0172,0.0149,0.0119,0.0105,0.0184
25,EPS,-0.05,-0.27,0.41,1.01,-0.26,-1.98,-1.22,-3.85,-0.21,-0.66,-0.06,-3.14,0.24,0.35,0.90,0.56,0.64,0.61,0.43,0.96,0.73,0.71,0.54,0.47,0.82
26,EPS Diluted,-0.05,-0.27,0.40,0.99,-0.26,-1.98,-1.22,-3.85,-0.21,-0.66,-0.06,-3.14,0.24,0.35,0.89,0.56,0.64,0.60,0.42,0.95,0.72,0.70,0.53,0.47,0.82
27,Weighted Average Shares Outstanding,138000000,183018868,185359000,199786000,213900000,229800000,216500000,222100000,226200000,227200000,228900000,229300000,229500000,227800000,216300000,208600000,183400000,178400000,155800000,141800000,143100000,139400000,131000000,129100000,126700000
28,Weighted Average Shares Outstanding Diluted,138000000,183018868,185359000,217907000,213900000,229800000,216500000,222100000,226200000,227200000,228900000,229300000,230900000,230100000,218300000,210500000,185400000,180400000,157900000,143900000,145200000,140600000,131800000,129100000,126700000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1030894/000104746904017872/a2135856z20-f.htm,https://www.sec.gov/Archives/edgar/data/1030894/000104746905007182/0001047469-05-007182-index.html,https://www.sec.gov/Archives/edgar/data/1030894/000104746906003758/a2167922z20-f.htm,https://www.sec.gov/Archives/edgar/data/1030894/000104746907001974/a2176595z20-f.htm,https://www.sec.gov/Archives/edgar/data/1030894/000104746908003378/a2183730z20-f.htm,https://www.sec.gov/Archives/edgar/data/1030894/000104746909003033/0001047469-09-003033-index.html,https://www.sec.gov/Archives/edgar/data/1030894/000104746910002628/0001047469-10-002628-index.html,https://www.sec.gov/Archives/edgar/data/1030894/000104746911002599/a2202328z20-f.htm,https://www.sec.gov/Archives/edgar/data/1030894/000104746912003092/0001047469-12-003092-index.html,https://www.sec.gov/Archives/edgar/data/1030894/000104746913002816/0001047469-13-002816-index.html,https://www.sec.gov/Archives/edgar/data/1030894/000104746914002389/a2218635z20-f.htm,https://www.sec.gov/Archives/edgar/data/1030894/000104746915002149/a2222499z20-f.htm,https://www.sec.gov/Archives/edgar/data/1030894/000104746916010815/0001047469-16-010815-index.html,https://www.sec.gov/Archives/edgar/data/1030894/000104746917001519/0001047469-17-001519-index.html,https://www.sec.gov/Archives/edgar/data/1030894/000162828018003056/0001628280-18-003056-index.html,https://www.sec.gov/Archives/edgar/data/1030894/000162828019002735/0001628280-19-002735-index.html,https://www.sec.gov/Archives/edgar/data/1030894/000103089420000010/0001030894-20-000010-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,105200000,31700000,371500000,883757000,1342800000,1851000000,1028800000,968800000,969000000,803700000,1116700000,1201000000,937700000,632800000,658900000,550500000,544300000,565000000,545300000,557200000,515200000,422000000,479500000,463800000,394000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,105200000,31700000,371500000,883757000,1342800000,1851000000,1028800000,968800000,969000000,803700000,1116700000,1201000000,937700000,632800000,658900000,550500000,544300000,565000000,545300000,557200000,515200000,422000000,479500000,463800000,394000000
34,Net Receivables,372100000,463000000,700800000,1785716000,1054100000,785900000,771500000,1023300000,982600000,973200000,941200000,1088100000,849300000,960700000,819900000,714300000,667700000,704900000,691400000,795900000,766400000,1211600000,1060400000,1100200000,1268900000
35,Inventory,312900000,430900000,722300000,1664304000,1372700000,775600000,1030600000,1062900000,1058400000,1197900000,791900000,787400000,676100000,845700000,880700000,745700000,817200000,719000000,794600000,890600000,1061800000,1089900000,992200000,1091500000,1697000000
36,Other Current Assets,40600000,57300000,56700000,187187000,227000000,152000000,199200000,218300000,248400000,146000000,149800000,95300000,79700000,92200000,103100000,100200000,91300000,115300000,92700000,102800000,112100000,100000000,59900000,81700000,75400000
37,Total Current Assets,830800000,982900000,1851300000,4520964000,3996600000,3564500000,3030100000,3273300000,3258400000,3120800000,2999600000,3171800000,2542800000,2531400000,2462600000,2110700000,2120500000,2104200000,2124000000,2346500000,2455500000,2823500000,2592000000,2737200000,3435300000
38,PP&E,124200000,214900000,365400000,633438000,915100000,727800000,679600000,569300000,544800000,567100000,466000000,467500000,393800000,368700000,322700000,337000000,313600000,312400000,314600000,302700000,323900000,365300000,459100000,433500000,452500000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,874500000,854800000,850500000,- -,- -,11000000,48000000,60300000,60300000,19500000,19500000,23200000,23200000,198400000,198300000,198600000,324200000
40,Intangible Assets,352300000,374500000,367600000,578272000,1556000000,1159900000,1085900000,977400000,79000000,60100000,35200000,20100000,43200000,33000000,35500000,65600000,56400000,47000000,41800000,36500000,32100000,293700000,261000000,238700000,382000000
41,Intangible Assets,352300000,374500000,367600000,578272000,1556000000,1159900000,1085900000,977400000,953500000,914900000,885700000,20100000,43200000,44000000,83500000,125900000,116700000,66500000,61300000,59700000,55300000,492100000,459300000,437300000,706200000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,23700000,101100000,- -,- -,- -,- -,- -,41400000,36600000,45300000,37300000,40100000,36400000,39200000,36700000,33600000,39900000,47700000
44,Other Non-Current Assets,39100000,64100000,71300000,205311000,165200000,354600000,339100000,96100000,- -,83500000,119200000,126800000,126300000,159500000,59400000,48600000,42800000,63200000,72000000,77000000,70800000,20100000,16700000,16200000,25200000
45,Total Non-Current Assets,515600000,653500000,804300000,1417021000,2636300000,2242300000,2104600000,1666500000,1599400000,1565500000,1470900000,614400000,563300000,572200000,507000000,548100000,518400000,479400000,488000000,475800000,489200000,914200000,968700000,926900000,1231600000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1346400000,1636400000,2655600000,5937985000,6632900000,5806800000,5134700000,4939800000,4857800000,4686300000,4470500000,3786200000,3106100000,3103600000,2969600000,2658800000,2638900000,2583600000,2612000000,2822300000,2944700000,3737700000,3560700000,3664100000,4666900000
48,Accounts Payable,445600000,428500000,613100000,2249342000,1198300000,947200000,1101900000,1107900000,1153300000,1193600000,1029800000,1090600000,927100000,1176200000,1002600000,831600000,770700000,730900000,801400000,876900000,931100000,1126700000,898000000,854500000,1238300000
49,Short-Term Debt,15000000,2300000,2700000,1364000,10000000,2700000,2700000,126700000,500000,600000,200000,1000000,222800000,- -,- -,55000000,- -,- -,29100000,56000000,37900000,107700000,139600000,99800000,51500000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13500000,38000000,55400000,39000000,37800000,30600000,14500000,25000000,32400000,37700000,42300000,46700000,51800000,62300000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,7000000,195900000,235300000,7702000,448500000,521400000,411900000,580400000,616500000,531700000,416600000,476800000,369900000,386300000,344000000,312300000,338500000,323400000,302900000,312800000,297800000,385900000,443700000,623900000,963700000
53,Total Current Liabilities,467600000,626700000,851100000,2258408000,1656800000,1471300000,1516500000,1815000000,1770300000,1725900000,1446600000,1568400000,1519800000,1562500000,1346600000,1198900000,1109200000,1054300000,1133400000,1245700000,1266800000,1620300000,1481300000,1578200000,2253500000
54,Long-Term Debt,504000000,133500000,131500000,130581000,137400000,4200000,700000,500800000,750900000,750200000,758300000,732100000,- -,- -,- -,- -,- -,- -,250600000,188700000,166500000,650200000,559100000,486100000,742900000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,7100000,8700000,3900000,38641000,41500000,46200000,57200000,23400000,17800000,47500000,63300000,47200000,28000000,30300000,27600000,13500000,17900000,17100000,25800000,34800000,27500000,25500000,28400000,32300000,60200000
57,Other Non-Current Liabilities,4500000,8200000,11000000,41086000,51600000,81500000,92000000,111800000,104400000,68100000,84100000,73000000,82500000,89500000,131600000,129700000,109800000,117300000,111200000,114300000,133200000,109400000,135700000,158500000,147300000
58,Total Non-Current Liabilities,515600000,150400000,146400000,210308000,230500000,131900000,149900000,636000000,873100000,865800000,905700000,852300000,110500000,119800000,159200000,143200000,127700000,134400000,387600000,337800000,327200000,785100000,723200000,676900000,950400000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,983200000,777100000,997500000,2468716000,1887300000,1603200000,1666400000,2451000000,2643400000,2591700000,2352300000,2420700000,1630300000,1682300000,1505800000,1342100000,1236900000,1188700000,1521000000,1583500000,1594000000,2405400000,2204500000,2255100000,3203900000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3588500000,- -,3329400000,- -,2774700000,2712000000,2609500000,2093900000,2048200000,2048300000,1954100000,1832100000,1834200000,1764500000
64,Retained Earnings,-3700000,-52200000,16200000,217512000,162700000,-294700000,-578800000,-1473600000,-1545600000,-1696200000,-1716300000,-2436800000,-2381800000,-2301000000,-2203500000,-2097000000,-1965400000,-1845300000,-1785400000,-1632000000,-1545200000,-1481700000,-1420100000,-1368800000,-1255600000
65,Other Comprehensive Income/Loss,-21200000,-57300000,-116300000,-210844000,-413600000,827700000,749300000,403300000,27800000,34900000,59000000,9400000,55800000,59200000,-12300000,4100000,-14300000,-25000000,-32800000,-24700000,-6700000,-26500000,-23600000,-15200000,-26800000
66,Other Total Stockholders Equity,388100000,968800000,1758200000,3462601000,4996500000,5016400000,4651700000,4734700000,4609300000,4639300000,4736900000,204400000,4519900000,333700000,4372700000,634900000,669700000,655700000,815300000,847300000,854300000,886400000,967800000,958800000,- -
67,Total Stockholders Equity,363200000,859300000,1658100000,3469269000,4745600000,4203600000,3468300000,2488800000,2214400000,2094600000,2118200000,1365500000,1475800000,1421300000,1463800000,1316700000,1402000000,1394900000,1091000000,1238800000,1350700000,1332300000,1356200000,1409000000,1463000000
68,Total Liabilities And Stockholders Equity,1346400000,1636400000,2655600000,5937985000,6632900000,5806800000,5134700000,4939800000,4857800000,4686300000,4470500000,3786200000,3106100000,3103600000,2969600000,2658800000,2638900000,2583600000,2612000000,2822300000,2944700000,3737700000,3560700000,3664100000,4666900000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1346400000,1636400000,2655600000,5937985000,6632900000,5806800000,5134700000,4939800000,4857800000,4686300000,4470500000,3786200000,3106100000,3103600000,2969600000,2658800000,2638900000,2583600000,2612000000,2822300000,2944700000,3737700000,3560700000,3664100000,4666900000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1030894/000104746904017872/a2135856z20-f.htm,https://www.sec.gov/Archives/edgar/data/1030894/000104746905007182/0001047469-05-007182-index.html,https://www.sec.gov/Archives/edgar/data/1030894/000104746906003758/a2167922z20-f.htm,https://www.sec.gov/Archives/edgar/data/1030894/000104746907001974/a2176595z20-f.htm,https://www.sec.gov/Archives/edgar/data/1030894/000104746908003378/a2183730z20-f.htm,https://www.sec.gov/Archives/edgar/data/1030894/000104746909003033/0001047469-09-003033-index.html,https://www.sec.gov/Archives/edgar/data/1030894/000104746910002628/0001047469-10-002628-index.html,https://www.sec.gov/Archives/edgar/data/1030894/000104746911002599/a2202328z20-f.htm,https://www.sec.gov/Archives/edgar/data/1030894/000104746912003092/0001047469-12-003092-index.html,https://www.sec.gov/Archives/edgar/data/1030894/000104746913002816/0001047469-13-002816-index.html,https://www.sec.gov/Archives/edgar/data/1030894/000104746914002389/a2218635z20-f.htm,https://www.sec.gov/Archives/edgar/data/1030894/000104746915002149/a2222499z20-f.htm,https://www.sec.gov/Archives/edgar/data/1030894/000104746916010815/0001047469-16-010815-index.html,https://www.sec.gov/Archives/edgar/data/1030894/000104746917001519/0001047469-17-001519-index.html,https://www.sec.gov/Archives/edgar/data/1030894/000162828018003056/0001628280-18-003056-index.html,https://www.sec.gov/Archives/edgar/data/1030894/000162828019002735/0001628280-19-002735-index.html,https://www.sec.gov/Archives/edgar/data/1030894/000103089420000010/0001030894-20-000010-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-6900000,-48500000,68000000,207000000,-40000000,-445000000,-266000000,-854000000,-47000000,-151000000,-14000000,-721000000,55000000,81000000,195000000,118000000,118000000,108000000,66900000,136300000,105500000,98900000,70300000,60600000,103900000
74,Depreciation and Amortization,37100000,86900000,126500000,212500000,319500000,311000000,222100000,207700000,152700000,134200000,130800000,109200000,100400000,87800000,77200000,81700000,71700000,68700000,68300000,75600000,76500000,89100000,135400000,124700000,126300000
75,Deferred Income Tax,-4500000,-17100000,5300000,-10917000,-27900000,-107800000,27100000,234600000,-15600000,55200000,6400000,-13400000,-28200000,-11600000,3700000,-5800000,12700000,16400000,42200000,24700000,27400000,-17000000,29500000,29600000,32100000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28000000,31700000,41200000,35400000,29200000,28400000,37600000,33000000,30100000,33400000,34100000,25800000,33400000
77,Change in Working Capital,- -,-3400000,-291600000,-489052000,902300000,744300000,-206400000,-300500000,115100000,-89100000,183800000,-41700000,129000000,-46300000,-64000000,77600000,-69000000,8300000,3900000,-124000000,-95400000,-144800000,109100000,-23500000,-78900000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-132800000,244900000,-111800000,147000000,116700000,46400000,-39400000,12500000,-104600000,25700000,-155400000,153700000,-40700000,-102400000
79,Inventory,- -,-50700000,-265000000,-656713000,822500000,623900000,-252600000,85600000,- -,-172000000,406000000,4500000,110200000,-162800000,2000000,147300000,-71500000,98200000,-75600000,-89500000,-171200000,-224000000,97700000,-99300000,-521900000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58900000,-265200000,217400000,- -,-193100000,-47500000,-31600000,28800000,75400000,52100000,227000000,-158800000,117000000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,7800000,63700000,-2600000,-4657000,136600000,480300000,185600000,573000000,13100000,89900000,44400000,875100000,9300000,8300000,-56800000,5500000,-13200000,11700000,-22600000,27700000,-17100000,-26500000,-33400000,22400000,10000000
83,Cash Provided by Operating Activities,33500000,81600000,-94400000,-85126000,1290500000,982800000,-37600000,-139200000,218300000,39200000,351400000,208200000,293500000,150900000,196300000,312400000,149400000,241500000,196300000,173300000,127000000,33100000,345000000,239600000,226800000
84,CAPEX,-312100000,-114400000,-276600000,-282780000,-199300000,-151400000,-175900000,-142200000,-158500000,-189100000,-63700000,-88800000,-77300000,-60800000,-62300000,-105900000,-52800000,-61300000,-62800000,-64100000,-102600000,-82200000,-80500000,-52800000,-52200000
85,Acquisitions Net,- -,- -,- -,-634684000,-1299700000,-111000000,-500000,-39600000,-6500000,-19100000,- -,- -,- -,-16200000,-80500000,-71000000,- -,- -,- -,-14900000,- -,-467100000,2700000,- -,-314700000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,1400000,-5300000,-700000,-59511000,1400000,70900000,6900000,101900000,53100000,300000,26800000,8000000,11000000,15900000,- -,-97000000,-48600000,-59900000,-75300000,-49100000,-89300000,-78500000,36000000,-51000000,-49600000
89,Cash Used for Investing Activites,-310700000,-119700000,-277300000,-976975000,-1497600000,-191500000,-169500000,-79900000,-111900000,-207900000,-36900000,-80800000,-66300000,-61100000,-125700000,-168000000,-48600000,-59900000,-75300000,-64000000,-89300000,-545600000,38700000,-51000000,-364300000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31300000,-496800000,-231600000,- -,- -,-55000000,- -,-12500000,-79500000,-46500000,-369200000,-251200000,-155600000,-435000000
91,Common Stock Issued,167400000,423700000,758200000,766583000,737700000,7400000,737700000,14600000,8000000,5300000,3500000,2100000,2700000,4600000,11900000,7500000,7100000,7800000,3900000,4100000,13600000,400000,- -,- -,200000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-32500000,-10000000,- -,- -,- -,- -,- -,- -,-166800000,-49400000,-311300000,-56400000,-164500000,-399300000,-52500000,-36600000,-97900000,-76500000,-19200000,-56500000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,192200000,-459900000,-46800000,807753000,-71600000,-258000000,-61600000,144500000,-114200000,-1900000,-5000000,-13900000,3600000,-900000,-7000000,51000000,-2700000,-4200000,267200000,30500000,-10200000,886000000,1500000,-29500000,559000000
95,Cash Used/Provided by Financing Activities,359600000,-36200000,711400000,1574336000,666100000,-283100000,666100000,159100000,-106200000,3400000,-1500000,-43100000,-490500000,-394700000,-44500000,-252800000,-107000000,-160900000,-140700000,-97400000,-79700000,419300000,-326200000,-204300000,67700000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,359600000,-36200000,339800000,512235000,459000000,508200000,459000000,-60000000,200000,-165300000,313000000,84300000,-263300000,-304900000,26100000,-108400000,-6200000,20700000,-19700000,11900000,-42000000,-93200000,57500000,-15700000,-69800000
98,Cash at the End of Period,- -,- -,371500000,883757000,1342800000,1851000000,1342800000,968800000,969000000,803700000,1116700000,1201000000,937700000,632800000,658900000,550500000,544300000,565000000,545300000,557200000,515200000,422000000,479500000,463800000,394000000
99,Cash at the Beginning of Period,22800000,106100000,31700000,371522000,883800000,1342800000,883800000,1028800000,968800000,969000000,803700000,1116700000,1201000000,937700000,632800000,658900000,550500000,544300000,565000000,545300000,557200000,515200000,422000000,479500000,463800000
100,Free Cash Flow,-278600000,-32800000,-371000000,-367906000,1091200000,831400000,-213500000,-281400000,59800000,-149900000,287700000,119400000,216200000,90100000,134000000,206500000,96600000,180200000,133500000,109200000,24400000,-49100000,264500000,186800000,174600000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1030894/000104746904017872/a2135856z20-f.htm,https://www.sec.gov/Archives/edgar/data/1030894/000104746905007182/0001047469-05-007182-index.html,https://www.sec.gov/Archives/edgar/data/1030894/000104746906003758/a2167922z20-f.htm,https://www.sec.gov/Archives/edgar/data/1030894/000104746907001974/a2176595z20-f.htm,https://www.sec.gov/Archives/edgar/data/1030894/000104746908003378/a2183730z20-f.htm,https://www.sec.gov/Archives/edgar/data/1030894/000104746909003033/0001047469-09-003033-index.html,https://www.sec.gov/Archives/edgar/data/1030894/000104746910002628/0001047469-10-002628-index.html,https://www.sec.gov/Archives/edgar/data/1030894/000104746911002599/a2202328z20-f.htm,https://www.sec.gov/Archives/edgar/data/1030894/000104746912003092/0001047469-12-003092-index.html,https://www.sec.gov/Archives/edgar/data/1030894/000104746913002816/0001047469-13-002816-index.html,https://www.sec.gov/Archives/edgar/data/1030894/000104746914002389/a2218635z20-f.htm,https://www.sec.gov/Archives/edgar/data/1030894/000104746915002149/a2222499z20-f.htm,https://www.sec.gov/Archives/edgar/data/1030894/000104746916010815/0001047469-16-010815-index.html,https://www.sec.gov/Archives/edgar/data/1030894/000104746917001519/0001047469-17-001519-index.html,https://www.sec.gov/Archives/edgar/data/1030894/000162828018003056/0001628280-18-003056-index.html,https://www.sec.gov/Archives/edgar/data/1030894/000162828019002735/0001628280-19-002735-index.html,https://www.sec.gov/Archives/edgar/data/1030894/000103089420000010/0001030894-20-000010-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
