,https://roic.ai/company/AON,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
47,Total Assets,3195700000,5904800000,7084200000,8266000000,9156400000,10432200000,11633200000,14289800000,16279100000,17921900000,19735800000,13722700000,18691000000,19688000000,21132000000,22251000000,22386000000,25334000000,27027000000,28329000000,27818000000,24318000000,24948000000,22940000000,22958000000,28982000000,29552000000,30486000000,30251000000,29772000000,27164000000,26615000000,26088000000,26422000000,29405000000,32114000000,31917000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,2408700000,2408700000,4143700000,6379800000,6948000000,7643000000,- -,- -,- -,- -,- -,- -,- -,10916000000,1560000000,1535000000,- -,- -,1853000000,1931000000,1805000000,1772000000,1801000000,1961000000,1943000000,1939000000,2016000000,2192000000
49,Short-Term Debt,- -,- -,- -,- -,- -,22900000,63300000,115100000,168600000,243900000,243900000,213400000,764200000,844000000,903000000,309000000,257000000,117000000,53000000,2000000,7000000,42000000,252000000,105000000,10000000,492000000,337000000,452000000,703000000,783000000,562000000,336000000,299000000,251000000,922000000,682000000,1377000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71000000,- -,- -,- -,- -,- -,184000000,66000000,94000000,78000000,139000000,83000000,93000000,80000000,149000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,475000000,408000000,394000000,393000000,311000000,251000000,270000000,296000000,321000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13862400000,6007900000,7238000000,7449000000,7674000000,15906000000,16064000000,18899000000,18997000000,19526000000,18906000000,15350000000,3385000000,11138000000,11095000000,12457000000,13423000000,13045000000,12302000000,12018000000,10358000000,9965000000,10184000000,10851000000,12440000000,14439000000,15183000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,22900000,63300000,115100000,168600000,2652600000,16515000000,10365000000,14382000000,15241000000,16220000000,16215000000,16321000000,19016000000,19050000000,19528000000,18913000000,15392000000,14553000000,12803000000,12640000000,12949000000,13760000000,15350000000,15411000000,15014000000,13086000000,12495000000,12755000000,13296000000,15571000000,17433000000,19073000000
54,Long-Term Debt,91900000,263900000,435500000,379500000,438100000,429800000,418000000,477900000,521300000,495500000,495500000,475100000,637100000,580000000,1011000000,1798000000,1694000000,1671000000,2095000000,2115000000,2105000000,2243000000,1893000000,1872000000,1998000000,4014000000,4155000000,3713000000,3686000000,4799000000,5175000000,5869000000,5667000000,5993000000,6627000000,8243000000,9046000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,134000000,167000000,159000000,140000000,49000000,65000000,62000000,76000000,70000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,129300000,129300000,16500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,109000000,118000000,129000000,663000000,301000000,306000000,420000000,313000000,176000000,101000000,127000000,181000000,199000000,262000000,401000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-127800000,-16600000,-100000,- -,800000000,800000000,800000000,702000000,1334000000,1533000000,1497000000,1465000000,2172000000,2837000000,2760000000,3050000000,3216000000,3312000000,2405000000,2848000000,2405000000,2478000000,2842000000,2668000000,3497000000,2517000000,2169000000
58,Total Non-Current Liabilities,91900000,263900000,435500000,379500000,438100000,429800000,418000000,477900000,521300000,624800000,497000000,475000000,637000000,580000000,1811000000,2598000000,2494000000,2373000000,3429000000,3648000000,3602000000,3708000000,4174000000,4827000000,4887000000,7727000000,7672000000,7331000000,6645000000,8127000000,7915000000,8588000000,8685000000,8907000000,10385000000,11098000000,11686000000
59,Other Liabilities,2314700000,5026700000,6389500000,7392200000,8173100000,9381500000,10212900000,12548700000,14344000000,13636700000,1460400000,999800000,1324100000,1210000000,- -,- -,- -,- -,6908000000,7346000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,204000000,184000000,166000000,169000000,153000000,169000000,1230000000,1196000000,1031000000
61,Total Liabilities,2222800000,4762800000,5954000000,7012700000,7735000000,8974600000,9858200000,12185900000,13991300000,15664500000,17478400000,10889800000,15069100000,15871000000,17281000000,18063000000,18065000000,20737000000,22529000000,23226000000,22515000000,19100000000,18727000000,17630000000,17527000000,20676000000,21432000000,22681000000,22056000000,23141000000,21001000000,21083000000,21440000000,22203000000,25956000000,28531000000,30759000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,110600000,110600000,114100000,171500000,172000000,259000000,264000000,293000000,333000000,336000000,339000000,344000000,347000000,361000000,362000000,363000000,386000000,386000000,3000000,3000000,3000000,3000000,3000000,2000000,2000000,2000000,2000000,2000000
64,Retained Earnings,847800000,1021800000,1099800000,1195500000,1336700000,1464600000,1602300000,1603200000,1784900000,1998100000,1998100000,2356800000,2463400000,2782000000,2905000000,3127000000,3077000000,3251000000,3679000000,4031000000,4573000000,4992000000,5607000000,6816000000,7335000000,7861000000,8594000000,5933000000,5731000000,4605000000,4117000000,3807000000,2302000000,2093000000,1254000000,1042000000,-1694000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-954000000,-861000000,-870000000,-1155000000,-1010000000,-726000000,-1462000000,-1675000000,-1917000000,-2370000000,-2610000000,-2374000000,-3134000000,-3423000000,-3912000000,-3496000000,-3909000000,-4033000000,-3861000000,-3871000000
66,Other Total Stockholders Equity,125100000,120200000,30400000,57800000,84700000,- -,172700000,500700000,502900000,148700000,148700000,362000000,987200000,863000000,687000000,797000000,951000000,1265000000,1344000000,1603000000,1541000000,889000000,979000000,-406000000,-644000000,1921000000,1468000000,4436000000,4785000000,5097000000,5409000000,5577000000,5775000000,5965000000,6152000000,6312000000,- -
67,Total Stockholders Equity,972900000,1142000000,1130200000,1253300000,1421400000,1457600000,1775000000,2103900000,2287800000,2257400000,2257400000,2832900000,3622100000,3817000000,3851000000,4188000000,4321000000,3895000000,4498000000,5103000000,5303000000,5218000000,6221000000,5310000000,5379000000,8251000000,8078000000,7762000000,8145000000,6571000000,6106000000,5475000000,4583000000,4151000000,3375000000,3495000000,1061000000
68,Total Liabilities And Stockholders Equity,3195700000,5904800000,7084200000,8266000000,9156400000,10432200000,11633200000,14289800000,16279100000,17921900000,19735800000,13722700000,18691200000,19688000000,21132000000,22251000000,22386000000,24632000000,27027000000,28329000000,27818000000,24318000000,24948000000,22940000000,22906000000,28927000000,29510000000,30443000000,30201000000,29712000000,27107000000,26558000000,26023000000,26354000000,29331000000,32026000000,31820000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000,- -,- -,- -,- -,702000000,- -,- -,- -,- -,- -,- -,52000000,55000000,42000000,43000000,50000000,60000000,57000000,57000000,65000000,68000000,74000000,88000000,97000000
70,Total Liabilities & Equity,3195700000,5904800000,7084200000,8266000000,9156400000,10432200000,11633200000,14289800000,16279100000,17921900000,19735800000,13722700000,18691000000,19688000000,21132000000,22251000000,22386000000,25334000000,27027000000,28329000000,27818000000,24318000000,24948000000,22940000000,22958000000,28982000000,29552000000,30486000000,30251000000,29772000000,27164000000,26615000000,26088000000,26422000000,29405000000,32114000000,31917000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/315293/000094857297000010/0000948572-97-000010-index.html,https://www.sec.gov/Archives/edgar/data/315293/000094857298000011/0000948572-98-000011-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/315293/000094857201000011/0000948572-01-000011-index.html,https://www.sec.gov/Archives/edgar/data/315293/000094857202000008/0000948572-02-000008-index.html,https://www.sec.gov/Archives/edgar/data/315293/000104746903010294/a2106480z10-k.htm,https://www.sec.gov/Archives/edgar/data/315293/000104746904007513/a2129818z10-k.htm,https://www.sec.gov/Archives/edgar/data/315293/000104746905006608/a2152901z10-k.htm,https://www.sec.gov/Archives/edgar/data/315293/000104746906003130/a2167992z10-k.htm,https://www.sec.gov/Archives/edgar/data/315293/000104746907001537/a2176366z10-k.htm,https://www.sec.gov/Archives/edgar/data/315293/000104746908001929/a2182853z10-k.htm,https://www.sec.gov/Archives/edgar/data/315293/000104746909002122/0001047469-09-002122-index.html,https://www.sec.gov/Archives/edgar/data/315293/000104746910001535/0001047469-10-001535-index.html,https://www.sec.gov/Archives/edgar/data/315293/000104746911001427/a2202065z10-k.htm,https://www.sec.gov/Archives/edgar/data/315293/000104746912001478/0001047469-12-001478-index.html,https://www.sec.gov/Archives/edgar/data/315293/000104746913001494/0001047469-13-001494-index.html,https://www.sec.gov/Archives/edgar/data/315293/000144530514000476/aonplc201310-k.htm,https://www.sec.gov/Archives/edgar/data/315293/000162828015000950/aonplc201410-k.htm,https://www.sec.gov/Archives/edgar/data/315293/000162828016011485/0001628280-16-011485-index.html,https://www.sec.gov/Archives/edgar/data/315293/000162828017001652/0001628280-17-001652-index.html,https://www.sec.gov/Archives/edgar/data/315293/000162828018001923/0001628280-18-001923-index.html,https://www.sec.gov/Archives/edgar/data/315293/000162828019001558/0001628280-19-001558-index.html,https://www.sec.gov/Archives/edgar/data/315293/000162828020001607/0001628280-20-001607-index.html,https://www.sec.gov/Archives/edgar/data/315293/000162828021002574/0001628280-21-002574-index.htm,https://www.sec.gov/Archives/edgar/data/315293/000162828022003180/0001628280-22-003180-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
