,https://roic.ai/company/SEAC,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
10,Operating Expenses,13100000,24400000,34600000,34400000,3300000,45047000,44895000,64873000,53420000,59133000,69466000,88132000,89007000,93102000,101051000,100596000,90350000,79899000,79977000,79937000,72513000,65154000,54614000,53737000,43440000,29974000,25757000
11,COGS and Expenses,42900000,63900000,78800000,84100000,5400000,98853000,115052000,147794000,140994000,144979000,143599000,173617000,187936000,191642000,199463000,208574000,190043000,155165000,147097000,138265000,132666000,106769000,80937000,78809000,67092000,42043000,36716000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1451000,- -,2107000,763000,307000,352000,180000,251000,211000,165000,129000,147000,301000,361000,454000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96000,- -,57000,156000,472000,55000,154000,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,1400000,2800000,4800000,4200000,4200000,4920000,8519000,10001000,10983000,8197000,9140000,14453000,12097000,9241000,11456000,13543000,13531000,11066000,9019000,8837000,8160000,6255000,4696000,2924000,2016000,1667000,1429000
15,EBITDA,8200000,2200000,-2700000,4700000,500000,3223000,8797000,-2504000,19713000,21335000,-6118000,4743000,17155000,19847000,13306000,41145000,11765000,-7672000,6044000,-19753000,-40566000,-50363000,5922000,-37096000,-6857000,-20034000,-6016000
16,EBITDA ratio,0.1663,0.0324,-0.0376,0.0552,0.2778,0.0327,0.0760,-0.0187,0.1330,0.1356,-0.0485,0.0294,0.0954,0.0983,0.0660,0.1898,0.0595,-0.0488,0.0413,-0.1711,-0.3791,-0.6010,0.0738,-0.5945,-0.1021,-0.9107,-0.2203
17,Operating Income,6400000,4000000,-7000000,1100000,1100000,-385000,727000,-13946000,7172000,12324000,-17335000,-12283000,-8043000,10194000,2202000,1156000,1034000,-3518000,-1629000,-26453000,-48199000,-54146000,-5410000,-35803000,-8884000,-21521000,-9406000
18,Operating Income ratio,0.1298,0.0589,-0.0975,0.0129,0.6111,-0.0039,0.0063,-0.1042,0.0484,0.0783,-0.1373,-0.0761,-0.0447,0.0505,0.0109,0.0053,0.0052,-0.0224,-0.0111,-0.2292,-0.4505,-0.6462,-0.0674,-0.5737,-0.1323,-0.9783,-0.3444
19,Total Other Income Expenses (Gains),400000,-4600000,-500000,-700000,-4700000,-212000,-449000,1441000,1421000,962000,2038000,1205000,11958000,355000,145000,25889000,-358000,799000,-587000,-2161000,-554000,-2472000,6636000,-4217000,11000,-180000,1961000
20,Income Before Tax,6800000,-600000,-7500000,- -,-3600000,-597000,278000,-12505000,8593000,13286000,-15297000,-11078000,3915000,10549000,2347000,27045000,676000,-2719000,-2216000,-28614000,-48753000,-56618000,1226000,-40020000,-8873000,-21701000,-7445000
21,Income Before Tax Ratio,0.1379,-0.0088,-0.1045,- -,-2.0000,-0.0061,0.0024,-0.0934,0.0580,0.0845,-0.1212,-0.0687,0.0218,0.0523,0.0116,0.1248,0.0034,-0.0173,-0.0151,-0.2479,-0.4557,-0.6757,0.0153,-0.6413,-0.1321,-0.9865,-0.2726
22,Income Tax expense (Gain),2500000,1800000,-2800000,- -,-1200000,-690000,-103000,7925000,3169000,3200000,-2941000,-1632000,2156000,575000,371000,-2338000,2193000,-1555000,55000,-1106000,-1029000,14631000,-12272000,-2018000,48000,58000,-15000
23,Net Income,4300000,-2400000,-4700000,500000,-2500000,-1007000,381000,-20430000,5561000,9938000,-12317000,-8174000,2902000,9974000,1323000,29468000,-4014000,-17337000,-3030000,-27484000,-47697000,-71249000,13498000,-38002000,-8921000,-21759000,-7430000
24,Net Income ratio,0.0872,-0.0353,-0.0655,0.0059,-1.3889,-0.0102,0.0033,-0.1526,0.0375,0.0632,-0.0975,-0.0507,0.0161,0.0494,0.0066,0.1360,-0.0203,-0.1103,-0.0207,-0.2381,-0.4458,-0.8503,0.1682,-0.6090,-0.1328,-0.9891,-0.2721
25,EPS,0.36,-0.16,-0.25,0.02,0.02,-0.05,0.02,-0.77,0.21,0.36,-0.44,-0.28,0.10,0.32,0.04,0.94,-0.13,-0.53,-0.09,-0.84,-1.42,-2.04,0.38,-1.06,-0.24,-0.58,-0.20
26,EPS Diluted,0.36,-0.16,-0.25,0.02,0.02,-0.05,0.02,-0.77,0.20,0.34,-0.44,-0.28,0.10,0.32,0.04,0.92,-0.13,-0.53,-0.09,-0.84,-1.42,-2.04,0.38,-1.06,-0.24,-0.58,-0.20
27,Weighted Average Shares Outstanding,11900483,15415066,18630595,20883000,20883000,21745000,22878000,26623000,26969000,27640000,28303000,28857000,29634000,30724000,30860000,31434000,32093000,32494000,32718000,32772000,33506000,34970000,35412000,35691000,36699000,37471000,37471000
28,Weighted Average Shares Outstanding Diluted,16666667,15415066,18630595,21774000,21774000,23234000,23917000,26623000,27905000,29053000,28303000,28857000,30000000,31192000,31433000,31986000,32093000,32494000,32718000,32772000,33506000,34970000,35685000,35691000,36699000,37471000,37471000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1019671/000092701697000903/0000927016-97-000903-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000092701698001325/0000927016-98-001325-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000092701699001066/0000927016-99-001066-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000092701600001097/0000927016-00-001097-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000092701600001097/0000927016-00-001097-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000092701601500501/0000927016-01-500501-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000092701602002410/0000927016-02-002410-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000092701603002254/0000927016-03-002254-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000119312504062300/0001193125-04-062300-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000119312505077526/d10k.htm,https://www.sec.gov/Archives/edgar/data/1019671/000119312506081375/d10k.htm,https://www.sec.gov/Archives/edgar/data/1019671/000119312507081018/0001193125-07-081018-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000119312508080867/0001193125-08-080867-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000120677409000779/0001206774-09-000779-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000120677410000882/0001206774-10-000882-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000114420411022072/0001144204-11-022072-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000114420412020320/0001144204-12-020320-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000114420413020984/0001144204-13-020984-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000119312514131604/0001193125-14-131604-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000119312515121530/0001193125-15-121530-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000119312516538823/0001193125-16-538823-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000119312517126138/0001193125-17-126138-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000156459018008250/0001564590-18-008250-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000156459019011518/0001564590-19-011518-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000156459020017461/0001564590-20-017461-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000156459021018886/0001564590-21-018886-index.htm,https://www.sec.gov/Archives/edgar/data/1019671/000156459022014010/0001564590-22-014010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,23400000,3000000,5100000,11300000,2700000,6145000,103898000,68776000,87597000,93561000,21594000,31179000,63359000,62458000,37647000,73145000,80585000,106721000,115734000,90019000,58733000,28302000,43652000,20317000,9013000,5856000,17528000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,1012000,7777000,26052000,14596000,11231000,19266000,9447000,2114000,7340000,7855000,6104000,5555000,7516000,1504000,5253000,3991000,4020000,3835000,252000,- -
33,Cash and Short-Term Investments,23400000,3000000,5100000,11300000,2700000,6145000,103898000,69788000,95374000,119613000,36190000,42410000,82625000,71905000,39761000,80485000,88440000,112825000,121289000,97535000,60237000,33555000,47643000,24337000,12848000,6108000,17528000
34,Net Receivables,7400000,12500000,19000000,17800000,16800000,27112000,29916000,21291000,16572000,29132000,34472000,34416000,35787000,46879000,54278000,54487000,55145000,40103000,35714000,31550000,37011000,32538000,25638000,24715000,26406000,15409000,8819000
35,Inventory,9200000,13700000,16200000,17100000,20100000,24907000,23990000,23189000,19738000,19458000,19299000,19350000,14315000,17251000,17830000,14393000,10218000,7372000,6632000,2864000,1682000,770000,666000,924000,- -,- -,- -
36,Other Current Assets,800000,12800000,5700000,3900000,5000000,9672000,9605000,4762000,3640000,5665000,10722000,3399000,2612000,4779000,9800000,12255000,15716000,12735000,5449000,4099000,3909000,2502000,3566000,6033000,5396000,4372000,- -
37,Total Current Assets,40800000,42000000,46000000,50100000,44600000,67836000,167409000,119030000,135324000,173868000,100683000,99575000,135339000,140814000,121669000,161620000,169519000,173035000,169084000,136048000,102839000,69365000,77513000,56009000,44650000,25889000,26347000
38,PP&E,4700000,8300000,8000000,10500000,10500000,15886000,17652000,14970000,14757000,15814000,27191000,30720000,28066000,35217000,39682000,36381000,30566000,19762000,18530000,15869000,14129000,11485000,9471000,7192000,5414000,5573000,902000
39,Goodwill,- -,- -,- -,- -,800000,- -,- -,- -,- -,- -,- -,23726000,29471000,27422000,55876000,65273000,63640000,45103000,45150000,41008000,40175000,23287000,25579000,8753000,9775000,10577000,9882000
40,Intangible Assets,- -,1600000,1200000,800000,- -,2698000,4183000,3146000,1546000,2362000,39283000,13054000,6809000,4621000,26264000,30306000,23761000,17514000,12855000,7314000,4126000,2603000,1303000,- -,2300000,1272000,- -
41,Intangible Assets,- -,1600000,1200000,800000,800000,2698000,4183000,3146000,1546000,2362000,39283000,36780000,36280000,32043000,82140000,95579000,87401000,62617000,58005000,48322000,44301000,25890000,26882000,8753000,12075000,11849000,9882000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25458000,22385000,7292000,7153000,10120000,7865000,9844000,13264000,6991000,4449000,6339000,782000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,1481000,- -,- -,- -,- -,- -,- -,- -,- -,2156000,526000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,500000,100000,200000,900000,800000,1833000,2252000,33893000,30629000,20261000,42864000,32221000,18211000,451000,1271000,2163000,3870000,595000,836000,2268000,3136000,2336000,1015000,450000,9969000,7097000,- -
45,Total Non-Current Assets,5200000,10000000,9400000,12200000,12100000,20417000,25568000,52009000,46932000,38437000,109338000,99721000,82557000,93169000,145478000,143571000,129516000,93094000,85236000,76303000,74830000,46702000,41817000,22734000,28240000,24519000,10784000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39633000
47,Total Assets,46000000,52000000,55400000,62300000,56700000,88253000,192977000,171039000,182256000,212305000,210021000,199296000,217896000,233983000,267147000,305191000,299035000,266129000,254320000,212351000,177669000,116067000,119330000,78743000,72890000,50408000,55196000
48,Accounts Payable,7300000,8800000,10100000,15000000,10500000,17332000,14735000,10165000,2367000,10717000,10016000,10003000,9636000,11951000,10371000,11249000,9362000,7846000,6640000,5129000,6132000,4978000,2431000,4503000,4007000,1825000,2960000
49,Short-Term Debt,- -,- -,2600000,1000000,- -,6532000,291000,214000,399000,209000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2727000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,271000,110000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,13071000,11624000,16437000,21342000,20045000,21806000,19103000,26237000,34158000,41032000,34902000,32998000,24072000,17398000,16201000,12517000,11598000,8104000,5041000,4737000,4024000
52,Other Current Liabilities,6900000,8700000,11000000,10700000,13100000,15153000,4391000,11612000,16957000,15032000,24810000,9207000,20364000,13077000,16253000,16711000,22264000,16173000,12497000,12507000,20619000,9928000,15379000,7762000,7986000,2890000,-2960000
53,Total Current Liabilities,14200000,17500000,23700000,26700000,23600000,39017000,32488000,33615000,36160000,47300000,54871000,41016000,49103000,51265000,60782000,68992000,66528000,57017000,43209000,35034000,42952000,27423000,29408000,20369000,17034000,12179000,4024000
54,Long-Term Debt,- -,- -,1000000,1200000,1100000,3934000,6363000,744000,209000,- -,- -,- -,- -,- -,- -,6930000,- -,- -,- -,- -,- -,- -,- -,- -,- -,5143000,1361000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6737000,12635000,6930000,4638000,1873000,1598000,1690000,1209000,2419000,2835000,2642000,1140000,657000,77000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1353000,1121000,1934000,2000000,7765000,4722000,4684000,2632000,1633000,1090000,1389000,14732000,215000,203000,- -,888000,- -
57,Other Non-Current Liabilities,- -,- -,- -,100000,100000,- -,- -,- -,- -,- -,- -,- -,1457000,1745000,8043000,8475000,12247000,2406000,3439000,3486000,1101000,1957000,1152000,429000,4784000,- -,7210000
58,Total Non-Current Liabilities,- -,- -,1000000,1300000,1200000,3934000,6363000,744000,209000,- -,1353000,1121000,3391000,10482000,28443000,27057000,21569000,6911000,6670000,6266000,3699000,19108000,4202000,3274000,5924000,6688000,8648000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4348000,5457000,- -
61,Total Liabilities,14200000,17500000,24700000,28000000,24800000,42951000,38851000,34359000,36369000,47300000,56224000,42137000,52494000,61747000,89225000,96049000,88097000,63928000,49879000,41300000,46651000,46531000,33610000,23643000,22958000,18867000,12672000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,200000,200000,221000,265000,268000,273000,282000,285000,293000,299000,318000,326000,319000,326000,327000,330000,327000,338000,353000,356000,359000,373000,378000,493000
64,Retained Earnings,5500000,3100000,-1600000,-1400000,-3900000,-4905000,-4524000,-24954000,-19393000,-9455000,-22264000,-29685000,-28747000,-18773000,-17450000,10521000,6507000,-10830000,-15688000,-43172000,-90869000,-162118000,-148620000,-184303000,-193224000,-214983000,-222413000
65,Other Comprehensive Income/Loss,-1500000,-4000000,-7800000,-11100000,-200000,-15510000,-20448000,-23014000,-28092000,-31571000,-38510000,2000000,2000000,-10000000,-8000000,-9000000,-10000000,-2000000,-2000000,-6000000,-7000000,-5000000,-5000000,-3000000,-2000000,-73000,-973000
66,Other Total Stockholders Equity,27800000,35400000,40100000,46600000,35900000,65496000,178833000,184380000,193099000,205749000,214286000,184551000,191850000,200691000,203046000,207302000,214105000,214704000,221799000,219896000,228549000,236301000,238984000,242044000,244783000,246219000,264937000
67,Total Stockholders Equity,31800000,34500000,30700000,34300000,32000000,45302000,154126000,136680000,145887000,165005000,153797000,157159000,165402000,172236000,177922000,209142000,210938000,202201000,204441000,171051000,131018000,69536000,85720000,55100000,49932000,31541000,42524000
68,Total Liabilities And Stockholders Equity,46000000,52000000,55400000,62300000,56800000,88253000,192977000,171039000,182256000,212305000,210021000,199296000,217896000,233983000,267147000,305191000,299035000,266129000,254320000,212351000,177669000,116067000,119330000,78743000,72890000,50408000,55196000
69,Minority Interest,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,46000000,52000000,55400000,62300000,56700000,88253000,192977000,171039000,182256000,212305000,210021000,199296000,217896000,233983000,267147000,305191000,299035000,266129000,254320000,212351000,177669000,116067000,119330000,78743000,72890000,50408000,55196000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1019671/000092701697000903/0000927016-97-000903-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000092701698001325/0000927016-98-001325-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000092701699001066/0000927016-99-001066-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000092701600001097/0000927016-00-001097-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000092701600001097/0000927016-00-001097-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000092701601500501/0000927016-01-500501-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000092701602002410/0000927016-02-002410-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000092701603002254/0000927016-03-002254-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000119312504062300/0001193125-04-062300-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000119312505077526/d10k.htm,https://www.sec.gov/Archives/edgar/data/1019671/000119312506081375/d10k.htm,https://www.sec.gov/Archives/edgar/data/1019671/000119312507081018/0001193125-07-081018-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000119312508080867/0001193125-08-080867-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000120677409000779/0001206774-09-000779-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000120677410000882/0001206774-10-000882-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000114420411022072/0001144204-11-022072-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000114420412020320/0001144204-12-020320-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000114420413020984/0001144204-13-020984-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000119312514131604/0001193125-14-131604-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000119312515121530/0001193125-15-121530-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000119312516538823/0001193125-16-538823-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000119312517126138/0001193125-17-126138-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000156459018008250/0001564590-18-008250-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000156459019011518/0001564590-19-011518-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000156459020017461/0001564590-20-017461-index.html,https://www.sec.gov/Archives/edgar/data/1019671/000156459021018886/0001564590-21-018886-index.htm,https://www.sec.gov/Archives/edgar/data/1019671/000156459022014010/0001564590-22-014010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,4300000,-2400000,-4700000,500000,-2500000,-1007000,381000,-20430000,5561000,9938000,-12317000,-8174000,2902000,9974000,1323000,29468000,-4014000,-17337000,-3030000,-27484000,-47697000,-71249000,13498000,-38002000,-8921000,-21759000,-7430000
74,Depreciation and Amortization,1400000,2800000,4800000,4200000,4200000,4920000,8519000,10001000,10983000,8197000,9140000,14453000,12097000,9241000,11456000,13543000,13531000,11066000,9019000,8837000,8160000,6255000,4696000,2924000,2016000,1667000,1429000
75,Deferred Income Tax,-400000,-500000,-900000,-900000,-900000,-3601000,-1100000,8726000,49000,- -,- -,-493000,1021000,-124000,-1210000,-7074000,6520000,-132000,-684000,-372000,-985000,14676000,-14132000,-4000,-203000,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3954000,3105000,2957000,3358000,4101000,2959000,3220000,3552000,2621000,2696000,2939000,1151000,1247000,1690000
77,Change in Working Capital,-8100000,-2100000,-2200000,1100000,-2400000,7819000,106102000,-49506000,13749000,27404000,-80756000,12747000,27677000,3313000,-28662000,31741000,10363000,13027000,9857000,-24861000,-41127000,-17945000,6163000,-12465000,-8024000,-13906000,8613000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15524000,-4380000,3689000,-1965000,2343000,5420000,3567000,-1721000,42000,5132000,513000,7134000,6420000,-2830000
79,Inventory,-9100000,-7100000,-4400000,-4300000,-4300000,-5126000,-1061000,-298000,43000,-3569000,-5066000,-4652000,2981000,-7509000,-3926000,-1873000,-1250000,763000,-234000,3183000,-937000,806000,34000,-260000,924000,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2672000,-3048000,664000,-2605000,-236000,-873000,-1619000,874000,-1674000,-2499000,2219000,-1149000,-2233000,1215000
81,Other Working Capital,26600000,24500000,22300000,23400000,21000000,28819000,134921000,85415000,99164000,126568000,45812000,58559000,86236000,89549000,60887000,92628000,102991000,116018000,125875000,101014000,59887000,41942000,48105000,35640000,27616000,13710000,22323000
82,Other Non-Cash Items,900000,-7000000,-4500000,3700000,10200000,-13028000,-109710000,58422000,-7151000,-30594000,63907000,-18045000,-27625000,-4696000,22587000,-54354000,-15373000,6625000,-10757000,27321000,59434000,37121000,26000,23084000,-813000,23396000,-9049000
83,Cash Provided by Operating Activities,-1900000,-9200000,-7500000,8600000,8600000,-4897000,4192000,7213000,23191000,14945000,-20026000,488000,16072000,21662000,8599000,16281000,14385000,17350000,7364000,-13339000,-18663000,-28521000,12947000,-21524000,-14794000,-9355000,-4747000
84,CAPEX,-2800000,-2200000,-3800000,-3100000,-3100000,-10276000,-5879000,-3270000,-2736000,-3944000,-13424000,-7079000,-5768000,-12948000,-8355000,-3772000,-3273000,-3972000,-2315000,-1873000,-3837000,-683000,-526000,-364000,-281000,-328000,-646000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1124000,-31260000,-3045000,-154000,-3247000,-36843000,-14661000,-4935000,-7290000,-2881000,-4271000,-11686000,-5243000,4555000,175000,-2343000,- -,- -
86,Purchases of Investments,- -,-18300000,-900000,- -,- -,- -,- -,-31758000,-7210000,-9592000,-24786000,-32267000,-32109000,-57063000,-43402000,-9489000,-19944000,-15642000,-11479000,-9193000,-9033000,-2008000,-7246000,-8510000,-790000,- -,- -
87,Sales/Maturities of Investments,- -,9000000,10200000,- -,- -,- -,- -,- -,4143000,9048000,25488000,47692000,50337000,59740000,54091000,46042000,19517000,14221000,12237000,7181000,11507000,4005000,8992000,6652000,6576000,4355000,252000
88,Other Investing Activites,-400000,700000,- -,- -,- -,-2500000,-2748000,-2951000,-797000,-2750000,-9493000,500000,1348000,-1500000,1512000,-55000,2000,25684000,4958000,- -,-2519000,30000,236000,- -,600000,- -,- -
89,Cash Used for Investing Activites,-3200000,-10800000,5500000,-3100000,-3100000,-12776000,-8627000,-37979000,-6600000,-8362000,-53475000,5801000,13654000,-15018000,-32997000,18065000,-8633000,13001000,520000,-8156000,-13128000,-3899000,6011000,-2047000,3762000,4027000,-394000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,24100000,700000,900000,2000000,2000000,12820000,106000000,1218000,3316000,5880000,1743000,2947000,2679000,2743000,1838000,2740000,1787000,- -,- -,- -,- -,60000,54000,83000,614000,- -,17462000
92,Common Stock Repurchased,-2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5989000,-2768000,-1435000,- -,-6201000,- -,-5504000,- -,- -,- -,- -,-142000,-80000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,200000,-1200000,3200000,-1600000,-1600000,8277000,-3812000,-5574000,-1086000,-399000,-209000,- -,- -,- -,159000,4000,- -,2190000,1058000,- -,193000,- -,-141000,-43000,- -,2550000,161000
95,Cash Used/Provided by Financing Activities,22300000,-500000,4100000,400000,400000,21097000,102188000,-4356000,2230000,5481000,1534000,2947000,2679000,-3246000,-771000,1309000,1787000,-4011000,1058000,-5504000,193000,60000,-87000,40000,472000,2470000,17623000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,349000,-225000,-4299000,358000,-157000,-99000,-204000,71000,1284000,312000,1929000,-3621000,187000,-460000,-355000,-710000
97,Net Change In Cash,22300000,-500000,4100000,5900000,5900000,3424000,97753000,-35122000,18821000,12064000,-71967000,9585000,32180000,-901000,-24811000,35498000,7440000,26136000,9013000,-25715000,-31286000,-30431000,15250000,-23344000,-11020000,-3213000,11772000
98,Cash at the End of Period,- -,- -,- -,11300000,11300000,6145000,103898000,68776000,87597000,93561000,21594000,31179000,63359000,62458000,37647000,73145000,80585000,106721000,115734000,90019000,58733000,28302000,43661000,20317000,9297000,6084000,17856000
99,Cash at the Beginning of Period,6200000,23400000,3000000,5400000,5400000,2721000,6145000,103898000,68776000,81497000,93561000,21594000,31179000,63359000,62458000,37647000,73145000,80585000,106721000,115734000,90019000,58733000,28411000,43661000,20317000,9297000,6084000
