,https://roic.ai/company/SRNE,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1099000,110900000,134376000,119287000,116274000,114389000,113185000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14248000,12546000,49341000,53238000,15535000,9416000,9043000,6918000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1614277,796000,7073000,4278000,6015000,6140000,87150000,86250000,477236000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20293141,23271000,171708000,238999000,146048000,354966000,409670000,298611000,477236000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55433000,53927000,- -
61,Total Liabilities,339768,340531,32500,471785,3285,2332,353070,603957,359339,584173,25772872,32828000,202581000,315084000,225003000,416587000,524876000,395091000,616689000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,14205,14205,14205,14205,7930,1107,22508,25080,26235,30012,2303,4000,4000,6000,9000,13000,18000,28000,32000
64,Retained Earnings,-1071144,-1071907,-763876,-1203161,-1473782,-1662684,-1060114,-2868500,-6104991,-10950299,-32861562,-67518000,-113329000,-174252000,-165120000,-367750000,-659818000,-958279000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-185386,-478688,-932606,-1687000,74000000,-4922000,-9378000,-15287000,-22335000,1000000,1026000
66,Other Total Stockholders Equity,717171,717171,717171,717171,1484446,2053769,4238337,7927244,10473631,17596406,100600996,177914000,184477000,259205000,374057000,592496000,760723000,1122402000,- -
67,Total Stockholders Equity,-339768,-340531,-32500,-471785,18594,392192,3200731,5083824,4209489,6197431,66809131,108713000,145152000,80037000,199568000,209472000,78588000,165151000,78129000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,21879,394524,3553801,5687781,4568828,6781604,92582003,141541000,347733000,395121000,424571000,626059000,603464000,560242000,694818000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4214000,6465000,7042000,-1972000,-45832000,-24420000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,21879,394524,3553801,5687781,4568828,6781604,92582003,141541000,343519000,401586000,431613000,624087000,557632000,535822000,694818000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/850261/000114420408018569/v108693_10ksb.htm,https://www.sec.gov/Archives/edgar/data/850261/000095014409002708/0000950144-09-002708-index.html,https://www.sec.gov/Archives/edgar/data/850261/000119312510067006/0001193125-10-067006-index.html,https://www.sec.gov/Archives/edgar/data/850261/000119312511070863/d10k.htm,https://www.sec.gov/Archives/edgar/data/850261/000119312512144051/0001193125-12-144051-index.html,https://www.sec.gov/Archives/edgar/data/850261/000119312513123435/0001193125-13-123435-index.html,https://www.sec.gov/Archives/edgar/data/850261/000119312514124642/0001193125-14-124642-index.html,https://www.sec.gov/Archives/edgar/data/850261/000156459015001681/srne-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/850261/000156459016014768/0001564590-16-014768-index.html,https://www.sec.gov/Archives/edgar/data/850261/000156459017004944/0001564590-17-004944-index.html,https://www.sec.gov/Archives/edgar/data/850261/000085026118000013/0000850261-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/850261/000085026119000002/0000850261-19-000002-index.html,https://www.sec.gov/Archives/edgar/data/850261/000085026120000027/0000850261-20-000027-index.html,https://www.sec.gov/Archives/edgar/data/850261/000156459021006983/0001564590-21-006983-index.htm,https://www.sec.gov/Archives/edgar/data/850261/000095017022003472/0000950170-22-003472-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,-763,-763,-308031,-439285,-270621,-188902,-942266,-1808386,-3236491,-4845308,-21911263,-34657000,-45811000,-60923000,9132000,-203540000,-292068000,-298461000,-428325000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,2755,23413,159219,293302,1290407,3184000,2370000,2885000,7079000,9054000,10989000,11007000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1702000,33337000,982000,-35679000,-6119000,-373000,-2125000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,54524,250954,298034,863127,1788734,3940000,6972000,4741000,4952000,6206000,12648000,31419000,90188000
77,Change in Working Capital,763,-763,308031,-439285,490379,373598,2712507,1844778,-1751160,1469500,22484386,37205797,45787000,-96576000,-62824000,167198000,-165561000,37372000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18522,116755,- -,-176000,- -,- -,- -,- -,-1051000,-2957000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,144610,-134618,42943,-23171,878641,-497000,-2713000,3714000,1592000,3578000,10221000,-3677000,-3878000
81,Other Working Capital,-339768,-340531,-32500,-471785,18594,392192,3104699,4949477,3198317,4667817,27152203,64358000,110145000,13569000,-49255000,117943000,-47618000,-10246000,- -
82,Other Non-Cash Items,- -,1526,9537,878570,-887879,-388615,-2562484,-1857577,1787023,-1578097,-20141878,-36734797,-84724000,77999000,-21840000,-84566000,261369000,61252000,56316000
83,Cash Provided by Operating Activities,- -,- -,9537,- -,-668121,-203919,-734964,-1546818,-2743375,-3797476,-16489614,-28764000,-42069000,-70892000,-99180000,-111767000,-172996000,-159536000,-281821000
84,CAPEX,- -,- -,- -,- -,- -,- -,-45525,-46035,-1051737,-547884,-931298,-591000,-3707000,-6860000,-10972000,-11195000,-11442000,-37579000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28000000,-4000000,-6000000,-10000000,-10000000,-2000000,-36049000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000000,-11500000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,124767000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,104860,- -,- -,- -,-83247,- -,-241000,-6592000,443000,- -,-16731000,-31395000,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,59335,-46035,-1051737,-547884,-503480,-10591000,12552000,-17452000,-16529000,-21195000,-38173000,-39923000,79847000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3095000,-9451000,-53157000,-45725000,-3074000,-205564000,-85656000
91,Common Stock Issued,- -,- -,- -,- -,690000,562500,4105535,3440525,1971001,5934031,37701369,71786000,- -,107986000,57928000,83608000,47697000,317865000,201825000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-43,- -,- -,- -,- -,-15639000,- -,- -,- -,-55000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-9537,- -,- -,- -,- -,- -,13125,36092,5867145,7804000,-252000,48844000,48904000,288115000,34262000,116938000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,-9537,- -,690000,562500,4105535,3440525,1984083,5970123,43568514,79590000,-3347000,131740000,53675000,325998000,78885000,174239000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65000,-135000,-277000,915000,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,358581,- -,1847672,-1811029,1624763,26575420,40235000,-32864000,43360000,-61969000,192901000,-132561000,-24305000,- -
98,Cash at the End of Period,- -,- -,- -,- -,21879,380460,3429906,5277578,3466549,5091312,31666732,71902000,39038000,82398000,20429000,213330000,80769000,56464000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,21879,- -,3429906,5277578,3466549,5091312,31667000,71902000,39038000,82398000,20429000,213330000,80769000,56464000
100,Free Cash Flow,- -,- -,9537,- -,-668121,-203919,-780489,-1592853,-3795112,-4345360,-17420912,-29355000,-45776000,-77752000,-110152000,-122962000,-184438000,-197115000,-290692000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/850261/000114420408018569/v108693_10ksb.htm,https://www.sec.gov/Archives/edgar/data/850261/000095014409002708/0000950144-09-002708-index.html,https://www.sec.gov/Archives/edgar/data/850261/000119312510067006/0001193125-10-067006-index.html,https://www.sec.gov/Archives/edgar/data/850261/000119312511070863/d10k.htm,https://www.sec.gov/Archives/edgar/data/850261/000119312512144051/0001193125-12-144051-index.html,https://www.sec.gov/Archives/edgar/data/850261/000119312513123435/0001193125-13-123435-index.html,https://www.sec.gov/Archives/edgar/data/850261/000119312514124642/0001193125-14-124642-index.html,https://www.sec.gov/Archives/edgar/data/850261/000156459015001681/srne-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/850261/000156459016014768/0001564590-16-014768-index.html,https://www.sec.gov/Archives/edgar/data/850261/000156459017004944/0001564590-17-004944-index.html,https://www.sec.gov/Archives/edgar/data/850261/000085026118000013/0000850261-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/850261/000085026119000002/0000850261-19-000002-index.html,https://www.sec.gov/Archives/edgar/data/850261/000085026120000027/0000850261-20-000027-index.html,https://www.sec.gov/Archives/edgar/data/850261/000156459021006983/0001564590-21-006983-index.htm,https://www.sec.gov/Archives/edgar/data/850261/000095017022003472/0000950170-22-003472-index.htm
102,false,,,,,,,,,,,,,,,,,,,
