,https://roic.ai/company/SIFY,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,245762704,966023749,3173850067,6297332591,2090047617,1924208334,2041178933,2400543708,2594936539,2781560000,3312297000,2578092000,3054942000,3201392000,3838857000,3747595000,4310987000,4972439000,5604177000,5959613000,6191316000,6707268000,7227747000
11,COGS and Expenses,258474568,1133934701,4427149993,7482519656,3350521686,3404121637,4065108959,4939755988,5510087340,6199080000,6925646000,6674630000,7264372000,7862165000,8589736000,9884455000,12038299000,14076303000,17474398000,19394563000,19793540000,21072095000,21930281000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122565000,27994000,21360000,16468000,26264000,61959000,31740000,28013000,26463000,25168000,26025000,32094000,56134000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,251660000,293873000,258622000,177599000,202662000,295464000,411777000,439373000,343411000,404448000,630587000,935842000,900496000
14,Depreciation and Amortization,50847456,262617978,1645427573,4967475034,851706252,583774431,567423551,472685160,461874079,394160000,507275000,660714000,685836000,691560000,848210000,1101243000,1271806000,1598037000,1758776000,1754537000,1533912000,2290777000,2835632000
15,EBITDA,-131355928,-120915976,-846412786,-2300840685,-470995311,211757060,259868982,323188675,581025581,453360000,-44590000,890135000,424966000,485822000,1502441000,1715107000,2058963000,2475728000,2745284000,3082580000,3235814000,4246335000,5336404000
16,EBITDA ratio,-1.2917,-0.1801,-0.4766,-1.4616,-0.2369,0.0754,0.0719,0.0689,0.1064,0.0755,-0.0074,0.1327,0.0617,0.0631,0.1753,0.1640,0.1600,0.1647,0.1489,0.1490,0.1502,0.1850,0.2194
17,Operating Income,-156779656,-462631592,-2651121845,-5928322945,-1362038060,-596876384,-451659365,-249621255,-49812067,-195880000,-689580000,120078000,-379600000,-163216000,-19420000,575774000,826315000,958593000,957622000,1291050000,1753345000,1879972000,2390613000
18,Operating Income ratio,-1.5417,-0.6892,-1.4927,-3.7660,-0.6850,-0.2126,-0.1250,-0.0532,-0.0091,-0.0326,-0.1148,0.0179,-0.0551,-0.0212,-0.0023,0.0550,0.0642,0.0638,0.0520,0.0624,0.0814,0.0819,0.0983
19,Total Other Income Expenses (Gains),-25423728,79097638,159281486,-1232744626,39336497,224859013,144104796,100124770,199550685,285160000,-65004000,-174744000,-139892000,-220121000,470989000,-257374000,-450935000,-520275000,-314525000,-367455000,-682030000,-860256000,-790337000
20,Income Before Tax,- -,-383533954,-2491840358,-7161067571,-1322701563,-372017371,-307554569,-149496485,149738617,89280000,-754584000,-54666000,-519492000,-383337000,451569000,318400000,375380000,438318000,643097000,923595000,1071315000,1019716000,1600276000
21,Income Before Tax Ratio,- -,-0.5713,-1.4030,-4.5491,-0.6652,-0.1325,-0.0851,-0.0319,0.0274,0.0149,-0.1256,-0.0081,-0.0754,-0.0498,0.0527,0.0304,0.0292,0.0292,0.0349,0.0446,0.0497,0.0444,0.0658
22,Income Tax expense (Gain),- -,-1478690,1676157,- -,2843602,86768,- -,- -,-69080222,63960000,97049000,-81479000,- -,- -,- -,- -,122000,-135000,698000,194000,2612000,314339000,68414000
23,Net Income,-182203384,-382055264,-2493516516,-7268315720,-1325545166,-372104139,-307554569,-149496485,188231724,-4760000,-900574000,17027000,-519492000,-383337000,451569000,318400000,375258000,438453000,642399000,923401000,1068703000,705377000,1531862000
24,Net Income ratio,-1.7917,-0.5691,-1.4040,-4.6172,-0.6666,-0.1326,-0.0851,-0.0319,0.0345,-0.0008,-0.1499,0.0025,-0.0754,-0.0498,0.0527,0.0304,0.0292,0.0292,0.0349,0.0446,0.0496,0.0307,0.0630
25,EPS,-16.95,-20.62,-109.64,-310.16,-51.08,-10.51,-8.75,-4.05,4.37,-0.11,-20.77,0.57,-2.62,-1.83,2.67,2.09,2.18,2.44,3.60,5.17,5.97,3.94,8.70
26,EPS Diluted,-16.95,-20.62,-109.64,-310.16,-51.08,-10.51,-8.75,-4.05,4.36,-0.11,-20.77,0.57,-2.62,-1.83,2.67,2.09,2.18,2.44,3.60,5.17,5.97,3.94,8.70
27,Weighted Average Shares Outstanding,15750000,18545399,22852600,23196428,25988095,34519545,35156120,36811476,42704619,42877726,43350320,50057064,178351498,178513589,178513589,178530787,178530787,178530787,178530787,178684647,179144347,179223247,182238069
28,Weighted Average Shares Outstanding Diluted,15750000,21782000,22852600,23196428,25988095,34519545,35156120,36811476,42792514,43039675,43350320,50072334,178351498,178513589,178513589,178530787,178530787,178530787,178530787,178684647,179144347,179223247,182238069
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1094324/000101287000003594/0001012870-00-003594-index.html,https://www.sec.gov/Archives/edgar/data/1094324/000089161801501443/0000891618-01-501443-index.html,https://www.sec.gov/Archives/edgar/data/1094324/000089161802003057/0000891618-02-003057-index.html,https://www.sec.gov/Archives/edgar/data/1094324/000089161803003417/f91202e20vf.htm,https://www.sec.gov/Archives/edgar/data/1094324/000095013404009445/0000950134-04-009445-index.html,https://www.sec.gov/Archives/edgar/data/1094324/000095013405012803/f10273e20vf.htm,https://www.sec.gov/Archives/edgar/data/1094324/000089161806000276/f21204e20vf.htm,https://www.sec.gov/Archives/edgar/data/1094324/000095013307004138/w40851e20vf.htm,https://www.sec.gov/Archives/edgar/data/1094324/000095013308003363/w71123e20vf.htm,https://www.sec.gov/Archives/edgar/data/1094324/000095012309046580/w75766e20vf.htm,https://www.sec.gov/Archives/edgar/data/1094324/000095012310109767/c06884e20vf.htm,https://www.sec.gov/Archives/edgar/data/1094324/000095012311089730/c23166e20vf.htm,https://www.sec.gov/Archives/edgar/data/1094324/000119312512352719/d396700d20f.htm,https://www.sec.gov/Archives/edgar/data/1094324/000157587213000010/sify20-f-20130728.htm,https://www.sec.gov/Archives/edgar/data/1094324/000157587214000032/20f.htm,https://www.sec.gov/Archives/edgar/data/1094324/000157587215000046/0001575872-15-000046-index.html,https://www.sec.gov/Archives/edgar/data/1094324/000157587216000370/0001575872-16-000370-index.html,https://www.sec.gov/Archives/edgar/data/1094324/000157587217000073/0001575872-17-000073-index.html,https://www.sec.gov/Archives/edgar/data/1094324/000157587218000115/0001575872-18-000115-index.html,https://www.sec.gov/Archives/edgar/data/1094324/000157587219000158/0001575872-19-000158-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,7310658353,1435349214,808770912,895023792,1328676853,1323930062,2827555575,3077418039,1505560000,380042000,517789000,458559000,742235000,849854000,1059904000,1229634000,1390552000,1621358000,1991846000,1934918000,2318480000,5101083000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13874000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,7310658353,1435349214,808770912,895023792,1328676853,1323930062,2827555575,3077418039,1505560000,393916000,517789000,458559000,742235000,849854000,1059904000,1229634000,1390552000,1621358000,1991846000,1934918000,2318480000,5101083000
34,Net Receivables,- -,248938109,832584489,457644078,345260700,508112822,650873329,863782224,1198945789,2219600000,2455526000,3195012000,3185913000,3335223000,3795567000,4875533000,6113455000,7361452000,8781682000,10713886000,12661074000,12088096000,9729746000
35,Inventory,- -,18191658,109415812,35327082,39857824,20824296,29213972,30523127,28772625,37720000,39088000,21488000,15637000,20259000,186666000,200829000,233094000,741432000,1181987000,645848000,1715314000,1302056000,1414738000
36,Other Current Assets,- -,440875567,492510834,199342198,288530837,332798280,261746711,315168000,425454675,176000000,1458304000,552227000,274729000,1081258000,348180000,374246000,499552000,581580000,553696000,715496000,796345000,934223000,962948000
37,Total Current Assets,- -,8018663688,2869860349,1501084270,1568673154,2190412252,2265764074,4037028927,4730591128,3938880000,4346834000,4286516000,3934838000,5178975000,5180267000,6510512000,8075735000,10075016000,12138723000,14067076000,17107651000,16642855000,17208515000
38,PP&E,- -,915400520,2393319568,1927981605,1538388790,1252494637,1270611288,1425764242,1648464056,2180680000,3260914000,3452022000,3760473000,3860287000,5069678000,5603130000,5972268000,6327890000,6622081000,7213421000,8636012000,15666073000,17036386000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,14615454,41603661,- -,- -,- -,14595000,14595000,14595000,14595000,14595000,14595000,14595000,14595000,14595000,14595000,14595000
40,Intangible Assets,- -,1631094369,4405685870,202899270,166492909,125900223,171746716,47945818,151250692,182200000,- -,- -,90031000,91132000,586027000,544841000,559790000,591051000,544507000,567917000,561924000,665097000,679991000
41,Intangible Assets,- -,1631094369,4405685870,202899270,166492909,125900223,171746716,62561271,192854353,182200000,177872000,129524000,104626000,105727000,600622000,559436000,574385000,605646000,559102000,582512000,576519000,679692000,694586000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,542901000,633469000,702523000,160000,1710000,1710000,1710000,1710000,74653000,145718000,194639000,211972000,212238000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,66272083,15560000,8524000,- -,- -,- -,- -,- -,- -,- -,- -,- -,236046000,99346000,636472000
44,Other Non-Current Assets,- -,73259341,1761780813,505494002,416208575,238524957,312663739,437037712,541754836,1389560000,808510000,828269000,735911000,1437669000,947131000,1439575000,1610137000,1591664000,2139495000,2453377000,3185311000,955453000,876395000
45,Total Non-Current Assets,- -,2619754231,8560786251,2636374876,2121090274,1616919817,1755021743,1925363226,2449345327,3768000000,4798721000,5043284000,5303533000,5403843000,6619141000,7603851000,8158500000,8526910000,9395331000,10395028000,12828527000,17612536000,19456077000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,10638417918,11430646600,4137459146,3689763428,3807332068,4020785817,5962392152,7179936455,7706880000,9145555000,9329800000,9238371000,10582818000,11799408000,14114363000,16234235000,18601926000,21534054000,24462104000,29936178000,34255391000,36664592000
48,Accounts Payable,- -,170657851,135535927,- -,89004749,220780922,454454125,441627321,317665335,1500600000,1555230000,1855664000,1783388000,1219368000,1102195000,1025110000,1267023000,1923557000,2740550000,2865626000,2971821000,3889390000,3609680000
49,Short-Term Debt,- -,42388644,4795672,3215983,2464455,5856833,6069869,2762677,804337443,776560000,2579853000,2059100000,1775210000,1416996000,1458013000,1836546000,2629196000,3129610000,3853888000,3682800000,4952822000,5953535000,6320333000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,187962397,144231950,288483443,342689821,409257621,445147507,451159948,368160000,354801000,418566000,412594000,434732000,637410000,782216000,1072663000,1249689000,1592516000,1457672000,1797252000,1886276000,1754111000
52,Other Current Liabilities,- -,301566142,512159120,534827662,357298616,458438200,583362415,773638740,919255135,- -,32943000,- -,- -,1112045000,1227430000,1756430000,2073960000,2725487000,3251247000,4209854000,4714265000,4771091000,5237786000
53,Total Current Liabilities,- -,514612637,840453116,682275594,737251264,1027765776,1453144029,1663176246,2492417861,2645320000,4522827000,4333330000,3971192000,4183141000,4425048000,5400302000,7042842000,9028343000,11438201000,12215952000,14436160000,16500292000,16921910000
54,Long-Term Debt,- -,173237546,931198,- -,3744076,5162690,3799126,2539881,3672182,2480000,323771000,604771000,390354000,287453000,787275000,1287722000,1438974000,1391105000,1067570000,2110567000,3355571000,5211204000,5415211000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,223434000,432051000,507587000,586711000,636566000,983152000,1194808000,1015187000,969592000
56,Deferred Tax Liabilities,- -,- -,- -,13351201,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,10304279,33010983,43659401,65687211,51236445,63624451,234961242,122218854,166640000,198416000,220607000,211033000,261570000,52229000,38635000,79531000,94936000,127298000,147480000,170811000,177400000,192404000
58,Total Non-Current Liabilities,- -,183541825,33942182,57010602,69431287,56399135,67423577,237501122,125891036,169120000,522187000,825378000,601387000,549023000,1062938000,1758408000,2026092000,2072752000,1831434000,3241199000,4721190000,6403791000,6577207000
59,Other Liabilities,- -,- -,67884363,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,3744076,5162690,3799126,2539881,3672182,2480000,122382000,201317000,188253000,176926000,472002000,1053852000,1173866000,953311000,519219000,185965000,96879000,1826209000,2202649000
61,Total Liabilities,- -,698154462,874395298,739286196,806682551,1084164911,1520567607,1900677368,2618308897,2814440000,5045014000,5158708000,4572579000,4732164000,5487986000,7158710000,9068934000,11101095000,13269635000,15457151000,19157350000,22904083000,23499117000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,222586626,230378484,231550752,327014253,349761405,353799108,424650224,428997250,440800000,441018000,546332000,858832000,- -,1329203000,1423125000,1423125000,1423125000,1516875000,1518413000,1804258000,1805047000,1835195000
64,Retained Earnings,- -,-697123152,-3186002206,-10386405817,-11704029688,-12135315110,-12415545206,-12588272431,-12407438597,-12257800000,-13104386000,-13087359000,-13606851000,-13990188000,-13538619000,-13220219000,-13004882000,-12736171000,-12265524000,-11550820000,-10738207000,-10256432000,-8724570000
65,Other Comprehensive Income/Loss,- -,-193325099,-619060696,-1127201922,-28151662,-14360087,-3406113,-42063989,5227459,149160000,-3775439000,-4095271000,-4655104000,-5248877000,29414000,54070000,36662000,51495000,26798000,33635000,54613000,93617000,90381000
66,Other Total Stockholders Equity,- -,10599823423,14097459138,14669022725,14285546552,14521475744,14563754701,16267400980,16364668217,16360480000,20290500000,20807390000,22068915000,- -,18491424000,18698677000,18710396000,18762382000,18986270000,19003725000,19658164000,19709076000,19964469000
67,Total Stockholders Equity,- -,9931961798,10522774720,3386965738,2880379455,2721561951,2498602490,4061714784,4391454329,4692640000,3851693000,4171092000,4665792000,5850654000,6311422000,6955653000,7165301000,7500831000,8264419000,9004953000,10778828000,11351308000,13165475000
68,Total Liabilities And Stockholders Equity,- -,10630116259,11397170017,4126251934,3687062006,3805726862,4019170097,5962392152,7009763226,7507080000,8896707000,9329800000,9238371000,10582818000,11799408000,14114363000,16234235000,18601926000,21534054000,24462104000,29936178000,34255391000,36664592000
69,Minority Interest,- -,8301659,33476582,11207212,2701422,1605206,1615720,- -,170173229,199800000,248848000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,10638417918,11430646600,4137459146,3689763428,3807332068,4020785817,5962392152,7179936455,7706880000,9145555000,9329800000,9238371000,10582818000,11799408000,14114363000,16234235000,18601926000,21534054000,24462104000,29936178000,34255391000,36664592000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1094324/000101287000003594/0001012870-00-003594-index.html,https://www.sec.gov/Archives/edgar/data/1094324/000089161801501443/0000891618-01-501443-index.html,https://www.sec.gov/Archives/edgar/data/1094324/000089161802003057/0000891618-02-003057-index.html,https://www.sec.gov/Archives/edgar/data/1094324/000089161803003417/f91202e20vf.htm,https://www.sec.gov/Archives/edgar/data/1094324/000095013404009445/0000950134-04-009445-index.html,https://www.sec.gov/Archives/edgar/data/1094324/000095013405012803/f10273e20vf.htm,https://www.sec.gov/Archives/edgar/data/1094324/000089161806000276/f21204e20vf.htm,https://www.sec.gov/Archives/edgar/data/1094324/000095013307004138/w40851e20vf.htm,https://www.sec.gov/Archives/edgar/data/1094324/000095013308003363/w71123e20vf.htm,https://www.sec.gov/Archives/edgar/data/1094324/000095012309046580/w75766e20vf.htm,https://www.sec.gov/Archives/edgar/data/1094324/000095012310109767/c06884e20vf.htm,https://www.sec.gov/Archives/edgar/data/1094324/000095012311089730/c23166e20vf.htm,https://www.sec.gov/Archives/edgar/data/1094324/000119312512352719/d396700d20f.htm,https://www.sec.gov/Archives/edgar/data/1094324/000157587213000010/sify20-f-20130728.htm,https://www.sec.gov/Archives/edgar/data/1094324/000157587214000032/20f.htm,https://www.sec.gov/Archives/edgar/data/1094324/000157587215000046/0001575872-15-000046-index.html,https://www.sec.gov/Archives/edgar/data/1094324/000157587216000370/0001575872-16-000370-index.html,https://www.sec.gov/Archives/edgar/data/1094324/000157587217000073/0001575872-17-000073-index.html,https://www.sec.gov/Archives/edgar/data/1094324/000157587218000115/0001575872-18-000115-index.html,https://www.sec.gov/Archives/edgar/data/1094324/000157587219000158/0001575872-19-000158-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-182203384,-382055264,-2493516516,-7268315720,-1325545166,-372104139,-307554569,-149496485,188231724,-4760000,-900574000,17027000,-519492000,-383337000,451569000,318400000,375258000,438453000,642399000,923401000,1068703000,705377000,1531862000
74,Depreciation and Amortization,50847456,262617978,1645427573,4967475034,851706252,583774431,567423551,472685160,461874079,394160000,507275000,660714000,685836000,691560000,848210000,1101243000,1271806000,1598037000,1758776000,1754537000,1533912000,2290777000,2835632000
75,Deferred Income Tax,- -,-1693362,-139680,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122000,-135000,698000,194000,2612000,314339000,68414000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61380000,30589000,10201000,31385000,2566000,45000,11719000,51986000,17638000,6824000,4835000,46372000,40051000
77,Change in Working Capital,-38135592,-254663393,-565842708,27189672,52132707,52277660,202270732,-128330813,-584092933,-1058400000,-258173000,-55042000,-213019000,43483000,-549741000,-1019118000,-534188000,149171000,-1323610000,-1273103000,-1898758000,-15470000,1045848000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-105449000,-599906000,-1347378000,-1156456000,-946189000,-1843683000,-2220619000,-2182564000,-289830000,1075194000
79,Inventory,-8474576,-11430654,-91350563,50432455,-11232229,17830803,-4847161,-1292220,1771288,-9080000,-1337000,17600000,5851000,-4622000,-204648000,-14163000,-32265000,-508338000,-440555000,536139000,-1069467000,413258000,-112682000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,472443000,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,-74503166,-81824853,-749960000,242329000,-68096000,-32741000,-318889000,146417000,155778000,267713000,237347000,199420000,325634000,283656000,169286000,-118071000
82,Other Non-Cash Items,4237288,1700699,113792444,1736630636,184123242,10629068,-11179039,28651636,112930394,-170520000,218536000,106514000,261833000,217123000,-289197000,567871000,432264000,205150000,652582000,708751000,730076000,1701423000,1444901000
83,Cash Provided by Operating Activities,-165254232,-374093343,-1300278886,-537020377,-237582964,274577020,450960675,223509499,178943264,-839520000,-371556000,759802000,225359000,600214000,463407000,968441000,1556981000,2442662000,1748483000,2120604000,1441380000,5042818000,6966708000
84,CAPEX,-144067792,-867804802,-1902950490,-180825934,-283507139,-343340580,-533187745,-606184853,-694474401,-878920000,-1336152000,-979734000,-795268000,-951734000,-1660970000,-929512000,-941244000,-1612997000,-1668744000,-1832486000,-3968848000,-4501573000,-3756035000
85,Acquisitions Net,- -,-1739546809,-2219278587,-11207212,- -,-33752713,- -,- -,-94007857,- -,- -,- -,- -,- -,1390270000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-5426332,- -,- -,- -,- -,- -,- -,-6998747,-20320000,- -,- -,- -,- -,-1550000,- -,- -,- -,-72943000,-71093000,-38300000,- -,-5513000
87,Sales/Maturities of Investments,- -,- -,139680,- -,8530807,257917583,15021833,140049911,- -,16560000,5111000,19942000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-189545434,111243764,2132702,130542306,-5327511,36226719,4925044,126760000,-8362000,-157190000,-56092000,-61318000,24907000,83910000,-30131000,-81759000,59658000,-54232000,-139956000,-165644000,-164370000
89,Cash Used for Investing Activites,-144067792,-2612777943,-4311634832,-80789383,-272843631,11366595,-523493423,-429908223,-790555960,-755920000,-1174156000,-896683000,-730650000,-901971000,-212748000,-806684000,-866925000,-1566051000,-1609979000,-1794304000,-3973682000,-4326319000,-3618612000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9028000,-44256000,-155035000,-71476000,-109231000,-110004000,-568967000,-543580000,-602806000,-402954000,-89086000,-219529000,-226155000
91,Common Stock Issued,300847448,10224283879,93120,- -,758293920,167288511,- -,1695437186,72838808,116760000,- -,84000,1000000000,1521398000,- -,300000000,- -,- -,300000000,12169000,935448000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-57640000,- -,- -,- -,- -,- -,- -,-159921000,-169741000,-169742000,-208697000,-217880000,-223602000,- -
94,Other Financing Activites,122881352,-52353796,-215199950,-9063224,-1706161,23080261,69170302,-8377150,795264993,-644000000,977825000,-310314000,-293265000,-913515000,120463000,-74997000,131163000,133008000,214635000,-448574000,2425908000,447052000,844528000
95,Cash Used/Provided by Financing Activities,423728800,10171930082,-215106830,-9063224,756587759,190368773,69170302,1687060036,868103801,-584880000,968797000,-354486000,551700000,536407000,11232000,114999000,-597725000,-580313000,-257913000,-1048056000,3054390000,3921000,618373000
96,Effect of Forex Changes on Cash,- -,- -,- -,-5603606,-7345972,-47158354,1484716,20586401,-8251609,-120000,945000,-2934000,-627000,-4258000,-33000,-422000,-4460000,-836000,-3600000,-4764000,6100000,100000,-3372000
97,Net Change In Cash,114406776,7185058797,-5827020548,-632476590,238815191,429154033,-1877729,1501292273,248239496,-2180440000,-575975000,-494301000,45782000,230392000,261858000,276334000,87871000,295462000,-123009000,-726520000,528188000,720520000,3963097000
98,Cash at the End of Period,122881352,7310658353,1435349214,808770912,895023792,1328676853,1323930062,2827555575,3077418039,888200000,312715000,-181586000,-135804000,94588000,356446000,632780000,720651000,1016113000,893104000,166584000,694772000,1415291000,5378388000
99,Cash at the Beginning of Period,8474576,125599557,7262369762,1441247502,656208601,899522819,1325807791,1326263303,2829178542,3068640000,888690000,312715000,-181586000,-135804000,94588000,356446000,632780000,720651000,1016113000,893104000,166584000,694771000,1415291000
100,Free Cash Flow,-309322024,-1241898145,-3203229376,-717846311,-521090103,-68763561,-82227070,-382675354,-515531137,-1718440000,-1707708000,-219932000,-569909000,-351520000,-1197563000,38929000,615737000,829665000,79739000,288118000,-2527468000,541245000,3210673000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1094324/000101287000003594/0001012870-00-003594-index.html,https://www.sec.gov/Archives/edgar/data/1094324/000089161801501443/0000891618-01-501443-index.html,https://www.sec.gov/Archives/edgar/data/1094324/000089161802003057/0000891618-02-003057-index.html,https://www.sec.gov/Archives/edgar/data/1094324/000089161803003417/f91202e20vf.htm,https://www.sec.gov/Archives/edgar/data/1094324/000095013404009445/0000950134-04-009445-index.html,https://www.sec.gov/Archives/edgar/data/1094324/000095013405012803/f10273e20vf.htm,https://www.sec.gov/Archives/edgar/data/1094324/000089161806000276/f21204e20vf.htm,https://www.sec.gov/Archives/edgar/data/1094324/000095013307004138/w40851e20vf.htm,https://www.sec.gov/Archives/edgar/data/1094324/000095013308003363/w71123e20vf.htm,https://www.sec.gov/Archives/edgar/data/1094324/000095012309046580/w75766e20vf.htm,https://www.sec.gov/Archives/edgar/data/1094324/000095012310109767/c06884e20vf.htm,https://www.sec.gov/Archives/edgar/data/1094324/000095012311089730/c23166e20vf.htm,https://www.sec.gov/Archives/edgar/data/1094324/000119312512352719/d396700d20f.htm,https://www.sec.gov/Archives/edgar/data/1094324/000157587213000010/sify20-f-20130728.htm,https://www.sec.gov/Archives/edgar/data/1094324/000157587214000032/20f.htm,https://www.sec.gov/Archives/edgar/data/1094324/000157587215000046/0001575872-15-000046-index.html,https://www.sec.gov/Archives/edgar/data/1094324/000157587216000370/0001575872-16-000370-index.html,https://www.sec.gov/Archives/edgar/data/1094324/000157587217000073/0001575872-17-000073-index.html,https://www.sec.gov/Archives/edgar/data/1094324/000157587218000115/0001575872-18-000115-index.html,https://www.sec.gov/Archives/edgar/data/1094324/000157587219000158/0001575872-19-000158-index.html,- -,- -
102,Forex Rate,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.016,0.0151,0.01535,0.01537,0.0144,0.01327,0.01367
