,https://roic.ai/company/NTCT,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),900000,2551000,3923000,1919000,1145000,694000,1039000,2627000,3898000,-1207000,-5337000,-2832000,-1772000,-2765000,-793000,-158000,-1808000,-6889000,-9879000,-14601000,-21332000,-15714000,-14826000
20,Income Before Tax,16000000,23751000,10733000,-12338000,-4059000,-1012000,3819000,9163000,11266000,-6549000,31041000,43071000,56293000,50918000,63736000,77856000,94965000,-32439000,52185000,-18659000,-92912000,1924000,22304000
21,Income Before Tax Ratio,0.2367,0.2757,0.0994,-0.1499,-0.0566,-0.0141,0.0448,0.0936,0.1099,-0.0388,0.1160,0.1654,0.1938,0.1650,0.1818,0.1963,0.2093,-0.0340,0.0449,-0.0189,-0.1021,0.0022,0.0268
22,Income Tax expense (Gain),5700000,8539000,7027000,-927000,-1520000,-467000,949000,3366000,3598000,-4461000,10993000,15154000,19028000,18490000,23127000,28750000,33773000,-4070000,18894000,-98471000,-19588000,4678000,2952000
23,Net Income,10300000,15212000,3706000,-11411000,-2539000,-545000,2870000,5797000,7737000,-2088000,20048000,27917000,37265000,32428000,40609000,49106000,61192000,-28369000,33291000,79812000,-73324000,-2754000,19352000
24,Net Income ratio,0.1524,0.1766,0.0343,-0.1387,-0.0354,-0.0076,0.0337,0.0592,0.0755,-0.0124,0.0749,0.1072,0.1283,0.1051,0.1158,0.1238,0.1349,-0.0297,0.0286,0.0809,-0.0806,-0.0031,0.0233
25,EPS,0.55,0.70,0.13,-0.39,-0.08,-0.02,0.09,0.19,0.24,-0.06,0.51,0.69,0.89,0.77,0.97,1.19,1.49,-0.35,0.36,0.91,-0.93,-0.04,0.26
26,EPS Diluted,0.43,0.56,0.12,-0.39,-0.08,-0.02,0.09,0.18,0.23,-0.06,0.49,0.67,0.87,0.76,0.96,1.17,1.47,-0.35,0.36,0.90,-0.93,-0.04,0.26
27,Weighted Average Shares Outstanding,18727273,21750205,28487317,29533081,29897207,30155000,30572000,31041000,31713000,34913000,39351000,40691000,42059000,42035000,41665000,41366000,41105000,81927000,92226000,87425000,78617000,75162000,73103000
28,Weighted Average Shares Outstanding Diluted,23953488,26946046,29726284,29533081,29897207,30155000,31521000,31885000,33050000,34913000,40925000,41915000,42973000,42750000,42322000,41955000,41637000,81927000,92920000,88261000,78617000,75162000,73822000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1078075/000091205700029472/0000912057-00-029472-index.html,https://www.sec.gov/Archives/edgar/data/1078075/000091205701522122/0000912057-01-522122-index.html,https://www.sec.gov/Archives/edgar/data/1078075/000091205702025720/0000912057-02-025720-index.html,https://www.sec.gov/Archives/edgar/data/1078075/000104746903021236/0001047469-03-021236-index.html,https://www.sec.gov/Archives/edgar/data/1078075/000119312504102160/0001193125-04-102160-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000119312505120712/0001193125-05-120712-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000119312506124349/0001193125-06-124349-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000119312507128929/0001193125-07-128929-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000119312508134476/0001193125-08-134476-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000119312509122462/0001193125-09-122462-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000095013010001153/0000950130-10-001153-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000119312511153121/0001193125-11-153121-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000119312512248469/0001193125-12-248469-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000119312513235038/0001193125-13-235038-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000144530514002259/0001445305-14-002259-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000162828015004363/0001628280-15-004363-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000162828016016851/0001628280-16-016851-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000162828017005863/0001628280-17-005863-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000162828018007035/0001628280-18-007035-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000162828019007252/0001628280-19-007252-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000162828020008116/0001628280-20-008116-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000162828021010740/0001628280-21-010740-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,25500000,48515000,61382000,19332000,43823000,19011000,57070000,61676000,18925000,56702000,82222000,63322000,67168000,117255000,99930000,102076000,104893000,210711000,304880000,369821000,409632000,338489000,467176000
32,Short-Term Investments,- -,21807000,- -,44849000,27442000,50432000,26793000,19810000,69204000,10465000,24162000,69875000,133430000,79617000,37338000,75234000,101392000,128003000,137892000,77941000,76344000,47969000,9277000
33,Cash and Short-Term Investments,25500000,70322000,61382000,64181000,71265000,69443000,83863000,81486000,88129000,67167000,106384000,133197000,200598000,196872000,137268000,177310000,206285000,338714000,442772000,447762000,485976000,386458000,476453000
34,Net Receivables,6600000,10390000,11753000,12932000,11906000,12953000,13285000,17750000,18974000,37084000,48216000,65556000,62801000,69795000,73900000,60518000,82226000,247199000,294374000,213438000,235318000,213514000,197717000
35,Inventory,3200000,3131000,8653000,3698000,2982000,3366000,3114000,2816000,4562000,12083000,6850000,9181000,8925000,8021000,7563000,12580000,12130000,58029000,40002000,34774000,23351000,21506000,19373000
36,Other Current Assets,2100000,6649000,6912000,4169000,5096000,3842000,5359000,7354000,5915000,19598000,7735000,10850000,11402000,14999000,18581000,28354000,36643000,96536000,77318000,56434000,56577000,38265000,28929000
37,Total Current Assets,37400000,90492000,88700000,84980000,91249000,89604000,105621000,109406000,117580000,135932000,169185000,218784000,283726000,289687000,237312000,278762000,337284000,740478000,854466000,752408000,801222000,659743000,722472000
38,PP&E,4200000,5657000,6937000,8628000,6912000,5415000,6011000,7577000,8262000,16729000,13848000,12773000,13467000,16457000,19678000,23098000,23864000,62033000,61393000,52511000,58951000,126298000,109986000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,36561000,36561000,131802000,128177000,128177000,128177000,170384000,202453000,203446000,197445000,1709369000,1718162000,1712764000,1715485000,1725680000,1717554000
40,Intangible Assets,- -,- -,41549000,30199000,29111000,28839000,28839000,1327000,612000,65576000,59610000,53573000,47686000,54685000,63827000,58513000,50180000,1054040000,931269000,831374000,669118000,582179000,511866000
41,Intangible Assets,- -,- -,41549000,30199000,29111000,28839000,28839000,37888000,37173000,197378000,187787000,181750000,175863000,225069000,266280000,261959000,247625000,2763409000,2649431000,2544138000,2384603000,2307859000,2229420000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29528000,37354000,27880000,16644000,16823000,41484000,58572000,13361000,21933000,- -,1012000,2613000,- -
43,Tax Assets,- -,- -,4894000,7617000,7651000,8378000,7586000,4889000,5382000,34891000,34941000,30062000,25167000,17892000,9211000,- -,- -,6206000,6580000,6685000,7218000,6220000,8096000
44,Other Non-Current Assets,2400000,599000,- -,5874000,- -,6945000,230000,5995000,12022000,36007000,1445000,1878000,1467000,2008000,2872000,2460000,1704000,7356000,7710000,12866000,16988000,17770000,15064000
45,Total Non-Current Assets,6600000,6256000,53380000,52318000,43674000,49577000,42666000,56349000,62839000,285005000,267549000,263817000,243844000,278070000,314864000,329001000,331765000,2852365000,2747047000,2616200000,2468772000,2460760000,2362566000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,44000000,96748000,142080000,137298000,134923000,139181000,148287000,165755000,180419000,420937000,436734000,482601000,527570000,567757000,552176000,607763000,669049000,3592843000,3601513000,3368608000,3269994000,3120503000,3085038000
48,Accounts Payable,3900000,2789000,4220000,2456000,1403000,1984000,2520000,2727000,3023000,9207000,6385000,7307000,9709000,7539000,10161000,11541000,13077000,43969000,37407000,30133000,24582000,20004000,17964000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,6250000,10000000,11250000,15000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,12354000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7025000
51,Deferred Revenue,- -,- -,10053000,13105000,16242000,15968000,17680000,21382000,23992000,74257000,70815000,84196000,85241000,93493000,95055000,109301000,123422000,296648000,310594000,301925000,272508000,270281000,269748000
52,Other Current Liabilities,9000000,12837000,6762000,9030000,5477000,7111000,9361000,12299000,11072000,33222000,30265000,24857000,26640000,33059000,39955000,42122000,51134000,116439000,112186000,81242000,82846000,108712000,111209000
53,Total Current Liabilities,12900000,15626000,21035000,24591000,23122000,25063000,29561000,36408000,38087000,122936000,117465000,127610000,136590000,134091000,145171000,162964000,187633000,457056000,460187000,413300000,379936000,398997000,411275000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,92500000,82500000,68106000,53106000,62000000,- -,- -,- -,300000000,300000000,600000000,550000000,450000000,411267000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8937000,17846000,14735000,18722000,25907000,24639000,26961000,68129000,86595000,91409000,94619000,104240000,103310000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1410000,941000,2757000,10639000,285359000,277599000,151563000,124229000,114394000,92287000
57,Other Non-Current Liabilities,44200000,- -,- -,- -,1000000,1006000,1277000,2756000,3925000,8168000,2101000,2196000,3580000,9165000,8254000,8242000,8066000,38917000,40882000,43554000,55777000,114953000,61120000
58,Total Non-Current Liabilities,44200000,- -,- -,- -,1000000,1006000,1277000,2756000,3925000,100668000,93538000,88148000,71421000,91297000,35102000,35638000,45666000,692405000,705076000,886526000,824625000,783587000,667984000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80995000,73621000
61,Total Liabilities,57100000,15626000,21035000,24591000,23122000,26069000,30838000,39164000,42012000,223604000,211003000,215758000,208011000,225388000,180273000,198602000,233299000,1149461000,1165263000,1299826000,1204561000,1182584000,1079259000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,31000,33000,34000,34000,34000,35000,35000,36000,43000,45000,46000,47000,48000,49000,50000,51000,114000,116000,117000,120000,122000,124000
64,Retained Earnings,24500000,39667000,43373000,31962000,29423000,28878000,31748000,37545000,45282000,43194000,63242000,91159000,128424000,160852000,201461000,250567000,311759000,283390000,316681000,396493000,358093000,355339000,374691000
65,Other Comprehensive Income/Loss,-4300000,-6946000,-10604000,-11985000,-15007000,-17789000,-20093000,-21658000,-23817000,-29171000,-1000000,-2000000,-1000000,-47191000,1000000,3000000,-5000000,-2000000,-3000000,3000000,-3000000,-3000000,-1940000
66,Other Total Stockholders Equity,- -,48370000,88243000,92696000,97351000,101989000,105759000,110669000,116906000,183267000,163444000,177638000,192088000,228660000,169393000,155544000,128940000,2161878000,2122453000,1669172000,1710220000,1585458000,1632904000
67,Total Stockholders Equity,-13100000,81122000,121045000,112707000,111801000,113112000,117449000,126591000,138407000,197333000,225731000,266843000,319559000,342369000,371903000,409161000,435750000,2443382000,2436250000,2068782000,2065433000,1937919000,2005779000
68,Total Liabilities And Stockholders Equity,44000000,96748000,142080000,137298000,134923000,139181000,148287000,165755000,180419000,420937000,436734000,482601000,527570000,567757000,552176000,607763000,669049000,3592843000,3601513000,3368608000,3269994000,3120503000,3085038000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,44000000,96748000,142080000,137298000,134923000,139181000,148287000,165755000,180419000,420937000,436734000,482601000,527570000,567757000,552176000,607763000,669049000,3592843000,3601513000,3368608000,3269994000,3120503000,3085038000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1078075/000091205700029472/0000912057-00-029472-index.html,https://www.sec.gov/Archives/edgar/data/1078075/000091205701522122/0000912057-01-522122-index.html,https://www.sec.gov/Archives/edgar/data/1078075/000091205702025720/0000912057-02-025720-index.html,https://www.sec.gov/Archives/edgar/data/1078075/000104746903021236/0001047469-03-021236-index.html,https://www.sec.gov/Archives/edgar/data/1078075/000119312504102160/0001193125-04-102160-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000119312505120712/0001193125-05-120712-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000119312506124349/0001193125-06-124349-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000119312507128929/0001193125-07-128929-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000119312508134476/0001193125-08-134476-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000119312509122462/0001193125-09-122462-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000095013010001153/0000950130-10-001153-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000119312511153121/0001193125-11-153121-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000119312512248469/0001193125-12-248469-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000119312513235038/0001193125-13-235038-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000144530514002259/0001445305-14-002259-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000162828015004363/0001628280-15-004363-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000162828016016851/0001628280-16-016851-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000162828017005863/0001628280-17-005863-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000162828018007035/0001628280-18-007035-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000162828019007252/0001628280-19-007252-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000162828020008116/0001628280-20-008116-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000162828021010740/0001628280-21-010740-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,10300000,15212000,3706000,-11411000,-2539000,-545000,2870000,5797000,7737000,-2088000,20048000,27917000,37265000,32428000,40609000,49106000,61192000,-28369000,33291000,79812000,-73324000,-2754000,19352000
74,Depreciation and Amortization,2100000,2936000,11993000,14940000,4895000,3875000,3381000,3640000,3696000,9123000,13805000,14357000,13877000,16642000,17464000,18260000,19709000,140071000,160863000,153503000,137878000,116104000,105828000
75,Deferred Income Tax,100000,-104000,-21000,-1729000,-166000,-261000,219000,2377000,-132000,-1812000,8225000,5189000,3459000,5437000,3909000,5214000,2736000,-42121000,-11008000,-127784000,-33442000,-9821000,-23804000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5122000,5456000,6439000,8651000,9591000,12930000,16580000,28351000,39189000,47317000,56328000,50861000,51892000
77,Change in Working Capital,- -,50366000,-7201000,-7276000,7738000,-3586000,11519000,-3062000,6495000,-66497000,38724000,39454000,55962000,8460000,-63455000,23657000,33853000,133771000,110857000,-55171000,82178000,-160540000,50451000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7779000,-25729000,2755000,-3997000,82000,13451000,-21801000,-23259000,-48080000,84952000,-22180000,21472000,16878000
79,Inventory,-100000,34000,-5522000,4955000,716000,-384000,252000,39000,-1929000,-3079000,4933000,-2171000,256000,-892000,1433000,-6798000,-499000,5523000,12456000,1006000,5321000,1501000,-2043000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2822000,-238000,2583000,-2195000,-2345000,1498000,1355000,2334000,405000,-8929000,-3876000,-4288000,-1734000
81,Other Working Capital,24500000,74866000,67665000,60389000,68127000,64541000,76060000,72998000,79493000,12996000,51720000,91174000,147136000,155596000,92141000,115798000,149651000,283422000,394279000,339108000,421286000,260746000,311197000
82,Other Non-Cash Items,300000,-53132000,9217000,19151000,-6787000,6382000,-7532000,6871000,-3377000,97610000,-41528000,-45149000,-48465000,-3311000,87294000,1779000,-27137000,-136418000,-105383000,124777000,-19780000,231173000,10202000
83,Cash Provided by Operating Activities,12800000,15278000,17694000,13675000,3141000,5865000,10457000,15623000,14419000,36336000,44396000,47224000,68537000,68307000,95412000,110946000,106933000,95285000,227809000,222454000,149838000,225023000,213921000
84,CAPEX,-2500000,-4415000,-4878000,-6218000,-2123000,-1726000,-3418000,-4894000,-3673000,-5373000,-4966000,-7220000,-8839000,-11288000,-11948000,-14152000,-12982000,-30370000,-32148000,-16594000,-23526000,-19922000,-16523000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-9000000,- -,-31000000,- -,- -,- -,-47000000,-51000000,- -,- -,28000000,-5000000,-8000000,-3000000,-11000000,- -
86,Purchases of Investments,- -,-23807000,-18577000,-88008000,-96226000,-129221000,-68573000,-73301000,-104183000,-32495000,-30326000,-92919000,-153903000,-117682000,-121133000,-128122000,-133212000,-100278000,-199841000,-114178000,-229769000,-117383000,-15673000
87,Sales/Maturities of Investments,8800000,2000000,40384000,43085000,118717000,100226000,98105000,74319000,48859000,69277000,17449000,39064000,101430000,184899000,163416000,65570000,89954000,118881000,181321000,196041000,230433000,144322000,56806000
88,Other Investing Activites,- -,2000000,-23248000,- -,- -,-1325000,- -,-463000,- -,57000,- -,- -,- -,279000,-1077000,123000,55000,8856000,13387000,-141000,-390000,-326000,-4449000
89,Cash Used for Investing Activites,6300000,-24222000,-6319000,-51141000,20368000,-32046000,26114000,-13339000,-58997000,466000,-17843000,-61075000,-61312000,9208000,-21742000,-76581000,-56185000,25089000,-42281000,57128000,-26252000,-4309000,24698000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6250000,-13144000,-11250000,-68106000,-62000000,- -,- -,- -,- -,- -,-50000000,-100000000,-100000000
91,Common Stock Issued,44400000,31982000,2710000,875000,982000,1493000,1488000,2322000,3871000,2736000,- -,3039000,-367000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-44400000,- -,- -,-449000,- -,-124000,- -,- -,-2449000,- -,- -,- -,- -,-20595000,-27448000,-34322000,-51714000,-311850000,-89555000,-501324000,-14468000,-175000000,-3275000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-1218000,- -,- -,- -,- -,- -,405000,-2278000,4935000,5056000,8238000,61283000,-1556000,2359000,2954000,296550000,-1043000,280362000,-14817000,-11870000,-15032000
95,Cash Used/Provided by Financing Activities,- -,31982000,1492000,426000,982000,1369000,1488000,2322000,1827000,458000,-1315000,-5049000,-3379000,-27418000,-91004000,-31963000,-48760000,-15300000,-90598000,-220962000,-79285000,-286870000,-118307000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,517000,282000,- -,- -,-10000,9000,-256000,829000,744000,-761000,6385000,-5212000,-3427000,6627000
97,Net Change In Cash,- -,23038000,12867000,-37040000,24491000,-24812000,38059000,4606000,-42751000,37777000,25520000,-18900000,3846000,50087000,-17325000,2146000,2817000,105818000,94169000,65005000,39089000,-69583000,126939000
98,Cash at the End of Period,- -,48515000,61382000,19332000,43823000,19011000,57070000,61676000,18925000,56702000,82222000,63322000,67168000,117255000,99930000,102076000,104893000,210711000,304880000,370731000,409820000,340237000,467176000
99,Cash at the Beginning of Period,6300000,25477000,48515000,56372000,19332000,43823000,19011000,57070000,61676000,18925000,56702000,82222000,63322000,67168000,117255000,99930000,102076000,104893000,210711000,305726000,370731000,409820000,340237000
100,Free Cash Flow,10300000,10863000,12816000,7457000,1018000,4139000,7039000,10729000,10746000,30963000,39430000,40004000,59698000,57019000,83464000,96794000,93951000,64915000,195661000,205860000,126312000,205101000,197398000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1078075/000091205700029472/0000912057-00-029472-index.html,https://www.sec.gov/Archives/edgar/data/1078075/000091205701522122/0000912057-01-522122-index.html,https://www.sec.gov/Archives/edgar/data/1078075/000091205702025720/0000912057-02-025720-index.html,https://www.sec.gov/Archives/edgar/data/1078075/000104746903021236/0001047469-03-021236-index.html,https://www.sec.gov/Archives/edgar/data/1078075/000119312504102160/0001193125-04-102160-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000119312505120712/0001193125-05-120712-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000119312506124349/0001193125-06-124349-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000119312507128929/0001193125-07-128929-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000119312508134476/0001193125-08-134476-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000119312509122462/0001193125-09-122462-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000095013010001153/0000950130-10-001153-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000119312511153121/0001193125-11-153121-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000119312512248469/0001193125-12-248469-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000119312513235038/0001193125-13-235038-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000144530514002259/0001445305-14-002259-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000162828015004363/0001628280-15-004363-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000162828016016851/0001628280-16-016851-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000162828017005863/0001628280-17-005863-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000162828018007035/0001628280-18-007035-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000162828019007252/0001628280-19-007252-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000162828020008116/0001628280-20-008116-index.htm,https://www.sec.gov/Archives/edgar/data/1078075/000162828021010740/0001628280-21-010740-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
