,https://roic.ai/company/MTRN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
52,Other Current Liabilities,37200000,56800000,68700000,63900000,61400000,53500000,56500000,52300000,45600000,57000000,57800000,61400000,64800000,78300000,71700000,46543000,38128000,31225000,38739000,52043000,39248000,56676000,58045000,45131000,46541000,63772000,56309000,55811000,56415000,62295000,51902000,56006000,71822000,83417000,74986000,61594000,95137000
53,Total Current Liabilities,37200000,56800000,68700000,63900000,71600000,62800000,64700000,59900000,51000000,65900000,66600000,69100000,78300000,93500000,99400000,106692000,79579000,73589000,68164000,103967000,84644000,116442000,113183000,104480000,139694000,147360000,139671000,149067000,129016000,104066000,96483000,90377000,127109000,139780000,122440000,126884000,204509000
54,Long-Term Debt,26300000,26600000,25500000,29900000,21100000,26700000,34900000,33800000,24000000,18500000,17000000,18900000,17900000,32100000,42300000,43305000,47251000,36219000,85756000,41549000,32916000,20282000,10005000,10605000,8305000,38305000,40463000,44880000,29267000,23613000,4615000,3605000,2827000,2066000,1260000,113842000,507814000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57154000,62540000,61184000,56490000,51796000,45953000,41369000,36905000,32563000,32891000,86761000,97962000
56,Deferred Tax Liabilities,15100000,17800000,20300000,21600000,24700000,24200000,7400000,7200000,5700000,3800000,2500000,1300000,2800000,6300000,12200000,17148000,20189000,- -,- -,- -,172000,151000,182000,3191000,136000,7818000,1844000,1130000,1469000,617000,110000,274000,213000,195000,2410000,15864000,27216000
57,Other Non-Current Liabilities,-100000,- -,10300000,9600000,9100000,9400000,38000000,40300000,40600000,42000000,45500000,47200000,48100000,50000000,50000000,55454000,62473000,65977000,64097000,60527000,73492000,70731000,73467000,116524000,133959000,100417000,121603000,143661000,98382000,123844000,112522000,111584000,129049000,71831000,82992000,58879000,49538000
58,Total Non-Current Liabilities,41300000,44400000,56100000,61100000,54900000,60300000,80300000,81300000,70300000,64300000,65000000,67400000,68800000,88400000,104500000,115907000,129913000,102196000,149853000,102076000,106580000,91164000,83654000,130320000,142400000,203694000,226450000,250855000,185608000,199870000,163200000,156832000,168994000,106655000,119553000,275346000,682530000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15221000,35515000,77300000,73426000
61,Total Liabilities,78500000,101200000,124800000,125000000,126500000,123100000,145000000,141200000,121300000,130200000,131600000,136500000,147100000,181900000,203900000,222599000,209492000,175785000,218017000,206043000,191224000,207606000,196837000,234800000,282094000,351054000,366121000,399922000,314624000,303936000,259683000,247209000,296103000,246435000,241993000,402230000,887039000
