,https://roic.ai/company/HOLI,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,347871,828664,200000,3698720,1710502,2652600,3209234,1461816,2897895,-7107029,-4880000,17159000,23085000,9398000,20097000,28069000,22647000
20,Income Before Tax,- -,-105992,-270300,18600000,2200000,-5600000,35200000,47900000,66900000,60600000,91300000,125227000,137742000,83355000,129642000,143723000,97497000,109892000
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,0.1825,0.0181,-0.0356,0.2022,0.1823,0.2080,0.1736,0.1751,0.2357,0.2531,0.1930,0.2397,0.2520,0.1937,0.1852
22,Income Tax expense (Gain),- -,-4250,97817,2500000,1368838000,3061141000,7663433000,6443967000,10352318000,6443967000,19860835000,26040000,14238000,14386000,22205000,18184000,18171000,20554000
23,Net Income,- -,-101742,-368117,13100000,-1700000,-13900000,25700000,41500000,56200000,52000000,69600000,96527000,118471000,68944000,107161000,125261000,79396000,89709000
24,Net Income ratio,- -,-Infinity,-Infinity,0.1286,-0.0140,-0.0883,0.1476,0.1579,0.1747,0.1490,0.1335,0.1817,0.2176,0.1596,0.1982,0.2196,0.1577,0.1512
25,EPS,- -,-0.03,-0.05,0.57,-0.04,-0.31,0.59,0.76,1.01,0.93,1.21,1.65,2.00,1.15,1.77,2.07,1.31,1.48
26,EPS Diluted,- -,-0.03,-0.05,0.57,-0.04,-0.31,0.58,0.75,1.01,0.92,1.20,1.61,1.97,1.14,1.75,2.05,1.31,1.46
27,Weighted Average Shares Outstanding,- -,4020202,7000000,22900000,37658437,44950833,51243667,54564842,55659765,56167592,57926333,58612596,59170050,60190780,60434019,60456524,60480522,60566709
28,Weighted Average Shares Outstanding Diluted,- -,4020202,7000000,22900000,37658437,45023755,51838294,54949280,55828361,56412469,58426642,60134203,60611456,61013386,61248565,61273884,60611047,61513749
29,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1357450/000120445908002410/hlsf20f.htm,https://www.sec.gov/Archives/edgar/data/1357450/000114420409050712/0001144204-09-050712-index.html,https://www.sec.gov/Archives/edgar/data/1357450/000114420410067711/v206295_20f.htm,https://www.sec.gov/Archives/edgar/data/1357450/000114420411054037/0001144204-11-054037-index.html,https://www.sec.gov/Archives/edgar/data/1357450/000114420412055992/v323800_20f.htm,https://www.sec.gov/Archives/edgar/data/1357450/000114420413052898/0001144204-13-052898-index.html,https://www.sec.gov/Archives/edgar/data/1357450/000114420414058192/0001144204-14-058192-index.html,https://www.sec.gov/Archives/edgar/data/1357450/000114420415056523/0001144204-15-056523-index.html,https://www.sec.gov/Archives/edgar/data/1357450/000114420416125056/v448581_20f.htm,https://www.sec.gov/Archives/edgar/data/1357450/000114420417049279/0001144204-17-049279-index.html,https://www.sec.gov/Archives/edgar/data/1357450/000114420418050400/0001144204-18-050400-index.html,https://www.sec.gov/Archives/edgar/data/1357450/000114420419045267/holi-20180630x20f.htm,https://www.sec.gov/Archives/edgar/data/1357450/000119312520256715/0001193125-20-256715-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,856380,529,11700000,63500000,128900000,119500000,90700000,96300000,112200000,162200000,207834000,229095000,197640000,265675000,332509000,288782000,664321000
32,Short-Term Investments,- -,30260861,31294931,4400000,5200000,5500000,4400000,4100000,27100000,20900000,28300000,49650000,42368000,96214000,139433000,145139000,324949000,48808000
33,Cash and Short-Term Investments,- -,31117241,31295460,16100000,68700000,134400000,123900000,94800000,123400000,133100000,190500000,257484000,271463000,293854000,405108000,477648000,613731000,713129000
34,Net Receivables,- -,- -,- -,90200000,111100000,119000000,141300000,219900000,275500000,360300000,474000000,470019000,472965000,467995000,507085000,553042000,485987000,580146000
35,Inventory,- -,- -,- -,13900000,24700000,18800000,23600000,28000000,26700000,34100000,35100000,34706000,36401000,45660000,58074000,42983000,48210000,47912000
36,Other Current Assets,- -,235873,25768,8200000,9800000,11800000,12600000,19700000,12100000,18900000,30300000,44431000,46481000,57847000,30631000,35805000,26566000,46371000
37,Total Current Assets,- -,31353114,31321228,128400000,214300000,284000000,301400000,362400000,437700000,546400000,729900000,806640000,827310000,865356000,1000898000,1109478000,1174494000,1387558000
38,PP&E,- -,- -,- -,17300000,27800000,47100000,65300000,59800000,63500000,79500000,82300000,80222000,79938000,80529000,80210000,76006000,84060000,100302000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,27600000,65800000,66600000,59918000,59847000,47326000,48359000,37054000,1460000,1598000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,7500000,24400000,18900000,13342000,11629000,12134000,13358000,17982000,17455000,17967000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,35100000,90200000,85500000,73260000,71476000,59460000,61717000,55036000,18915000,19565000
42,Investments,- -,- -,- -,9200000,9761168,13570578,17348159,18571152,16077567,19779539,19497912,16976000,22822000,51266000,57584000,45162000,45773000,62788000
43,Tax Assets,- -,- -,292188,- -,- -,- -,- -,- -,- -,3300000,2400000,77000,59000,6689000,9366000,12173000,13940000,12480000
44,Other Non-Current Assets,- -,- -,- -,- -,838832,729422,651841,17828848,422433,5420461,7102088,6511000,2551000,-5046000,353000,11562000,23653000,11560000
45,Total Non-Current Assets,- -,- -,292188,26500000,38400000,61400000,83300000,96200000,115100000,198200000,196800000,177046000,176846000,192898000,209230000,199939000,186341000,206695000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,31353114,31613416,154900000,252700000,345400000,384700000,458600000,552800000,744600000,926700000,983686000,1004156000,1058254000,1210128000,1309417000,1360835000,1594253000
48,Accounts Payable,- -,224498,507871,22300000,23200000,37400000,41500000,63400000,78800000,111100000,135700000,105292000,106833000,122714000,129477000,110384000,117460000,140235000
49,Short-Term Debt,- -,- -,107500,16400000,6560628,10977913,14725589,16936710,7914668,17000343,13011114,30406000,9884000,8541000,3215000,22219000,2809000,18406000
50,Tax Payable,- -,- -,- -,- -,7533916,10549903,16603747,17607648,21830374,28345151,39671319,25879000,22986000,13859000,11547000,3206000,6421000,9881000
51,Deferred Revenue,- -,- -,293106,- -,20674805000,21072540000,33552968000,43202760000,59293745000,67066822000,130696303000,138587000,- -,107407000,137692000,141385000,- -,184543000
52,Other Current Liabilities,- -,259515,203955,62700000,-20633565628,-21019817913,-33473293589,-43122096710,-59191659668,-66926422343,-130446114114,100311000,180609000,64316000,62670000,67511000,207033000,79446000
53,Total Current Liabilities,- -,484013,1112432,101400000,71000000,101100000,135900000,161000000,188800000,268500000,398900000,374596000,297326000,302978000,333054000,341499000,327302000,422630000
54,Long-Term Debt,- -,- -,- -,3300000,16800000,48300000,35300000,31700000,24600000,21200000,15000000,20551000,20508000,20581000,20709000,978000,15780000,3626000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16829000
57,Other Non-Current Liabilities,- -,5964017,5964017,13200000,17600000,22500000,800000,800000,1300000,41200000,24300000,9439000,12166000,11176000,14313000,21554000,33270000,9200000
58,Total Non-Current Liabilities,- -,5964017,5964017,16500000,34400000,70800000,36100000,32500000,25900000,62400000,39300000,29990000,32674000,31757000,35022000,22532000,49050000,29655000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5791000,6026000
61,Total Liabilities,- -,6448030,7076449,117900000,105400000,171900000,172000000,193500000,214700000,330900000,438200000,404586000,330000000,334735000,368076000,364031000,376352000,452285000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,700,700,- -,- -,- -,100000,100000,100000,100000,100000,58000,60000,60000,60000,60000,61000,61000
64,Retained Earnings,- -,-101742,-469859,43900000,42200000,28400000,56300000,97800000,154000000,206000000,275600000,348689000,467160000,524129000,624049000,757213000,823896000,806598000
65,Other Comprehensive Income/Loss,- -,- -,- -,-52200000,13364012,13902045,17557544,26825812,55805628,60018338,62300929,67833000,28066000,18271000,40517000,13177000,-14094000,97263000
66,Other Total Stockholders Equity,- -,25006126,25006126,45300000,95939275,139819134,138739181,140331845,128195487,147609950,150473618,162520000,178870000,181059000,177426000,174936000,174620000,233768000
67,Total Stockholders Equity,- -,24905084,24536967,37000000,147293898,173539893,212696725,265057657,338101115,413728288,488474547,579100000,674156000,723519000,842052000,945386000,984483000,1137690000
68,Total Liabilities And Stockholders Equity,- -,31353114,31613416,154900000,252693898,345439893,384696725,458557657,552801115,744628288,926674547,983686000,1004156000,1058254000,1210128000,1309417000,1360835000,1589975000
69,Minority Interest,- -,- -,- -,- -,6102,-39893,3275,42343,-1115,-28288,25453,- -,- -,- -,- -,- -,- -,4278000
70,Total Liabilities & Equity,- -,31353114,31613416,154900000,252700000,345400000,384700000,458600000,552800000,744600000,926700000,983686000,1004156000,1058254000,1210128000,1309417000,1360835000,1594253000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1357450/000120445908002410/hlsf20f.htm,https://www.sec.gov/Archives/edgar/data/1357450/000114420409050712/0001144204-09-050712-index.html,https://www.sec.gov/Archives/edgar/data/1357450/000114420410067711/v206295_20f.htm,https://www.sec.gov/Archives/edgar/data/1357450/000114420411054037/0001144204-11-054037-index.html,https://www.sec.gov/Archives/edgar/data/1357450/000114420412055992/v323800_20f.htm,https://www.sec.gov/Archives/edgar/data/1357450/000114420413052898/0001144204-13-052898-index.html,https://www.sec.gov/Archives/edgar/data/1357450/000114420414058192/0001144204-14-058192-index.html,https://www.sec.gov/Archives/edgar/data/1357450/000114420415056523/0001144204-15-056523-index.html,https://www.sec.gov/Archives/edgar/data/1357450/000114420416125056/v448581_20f.htm,https://www.sec.gov/Archives/edgar/data/1357450/000114420417049279/0001144204-17-049279-index.html,https://www.sec.gov/Archives/edgar/data/1357450/000114420418050400/0001144204-18-050400-index.html,https://www.sec.gov/Archives/edgar/data/1357450/000114420419045267/holi-20180630x20f.htm,https://www.sec.gov/Archives/edgar/data/1357450/000119312520256715/0001193125-20-256715-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-101742,-368117,13100000,-1700000,-13900000,25700000,41500000,56200000,52000000,69600000,96527000,118471000,68944000,107161000,125261000,79396000,89709000
74,Depreciation and Amortization,- -,-425861,-1034069,1600000,1817657,2241344,2683042,4468592,7587685,9228921,12708291,13159000,7365000,9636000,9288000,8454000,9167000,10729000
75,Deferred Income Tax,- -,-177370,-114818,200000,-1752773,530229,-885014,-1297968,1713253,-1955829,-5427366,4846000,-462000,2133000,-1525000,-6197000,6414000,-5838000
76,Stock Based Compensation,- -,- -,- -,- -,17084473,39559026,524076,551966,1139368,1599496,2986192,2492000,3860000,464000,1207000,238000,410000,9724000
77,Change in Working Capital,- -,435680,553653,-19800000,-27514789,5238063,-1073671,-45059429,-12424251,-36986467,-23198180,-58245000,-89416000,-14887000,1079000,-39537000,52237000,-22759000
78,Accounts Receivable,- -,- -,- -,- -,-18924878,2517399,-10131840,-30227617,-29288766,-33422591,-88592672,-7675000,-16413000,-23441000,-28283000,-33782000,30894000,-88854000
79,Inventory,- -,- -,- -,- -,-11009643,5311489,-5996365,-3468049,2412298,-6673261,-805998,560000,-4607000,-10701000,-11429000,-3773000,-6474000,4657000
80,Accounts Payable,- -,- -,- -,- -,851596,13056177,5032941,18481215,8838803,22435049,24160888,-25836000,8272000,23563000,4113000,-14027000,15010000,10178000
81,Other Working Capital,- -,- -,- -,- -,- -,-8301687,1497584,8500699,13273613,4140209,63348056,7556000,-47637000,28168000,28150000,10836000,1825000,31432000
82,Other Non-Cash Items,- -,- -,- -,8700000,8134359,6458796,3197383,-1956652,2963157,6791264,26609082,25173000,6919000,3523000,7982000,12302000,27500000,-2282000
83,Cash Provided by Operating Activities,- -,-269293,-963351,3800000,-3931073,40127458,30145816,-1793491,57179212,30677385,83278019,83952000,46737000,69813000,125192000,100521000,175124000,79283000
84,CAPEX,- -,- -,- -,-1400000,-10030305,-8728334,-20918968,-16045183,-8250146,-9087583,-8359115,-4553000,-7887000,-3711000,-2304000,-10587000,-7115000,-18131000
85,Acquisitions Net,- -,- -,- -,- -,-296873,-439374,-279120,-16856148,-5296855,-11823702,-9414471,-14520000,464000,-20446000,-6465000,1926000,4207000,-13678000
86,Purchases of Investments,- -,-29835000,- -,- -,-693980,-3895781,-1001569,- -,-474316,-19592169,-19911858,-33416000,-107118000,-154810000,-179194000,-256328000,-426846000,-147237000
87,Sales/Maturities of Investments,- -,- -,- -,- -,422544,2172704,- -,3726997,4439707,28068557,11589142,11551000,112013000,89262000,137839000,245880000,242174000,448990000
88,Other Investing Activites,- -,- -,- -,-33500000,-1996097,-1049508,721216,103118,-18310555,333810,866494,1043000,74000,152000,376000,2122000,- -,314000
89,Cash Used for Investing Activites,- -,-29835000,- -,-34900000,-12594711,-11940293,-21478441,-29071216,-27892165,-12101087,-25229808,-39895000,-2454000,-89553000,-49748000,-9888000,-187580000,270258000
90,Debt Repayment,- -,- -,- -,- -,-46307092,-2196869,-9528976,-19502311,-18327156,-12792378,-23017765,-21444000,-26701000,-12282000,-11882000,-7387000,-25433000,-633000
91,Common Stock Issued,- -,34525100,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7736000,- -,- -,- -,- -,2000
92,Common Stock Repurchased,- -,-3554257,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-1900000,- -,- -,- -,- -,- -,- -,- -,-23300000,- -,-11975000,-7241000,-10862000,-12713000,-12107000
94,Other Financing Activites,- -,-10170,107500,31400000,105515419,38079058,-9655262,16742280,-7007964,9076924,14690364,46005000,12185000,16844000,6926000,8094000,19933000,520000
95,Cash Used/Provided by Financing Activities,- -,30960673,107500,29500000,59208327,35882189,-19184238,-2760031,-25335120,-3715454,-8327401,1261000,-6780000,-7413000,-12197000,-10155000,-18213000,-12218000
96,Effect of Forex Changes on Cash,- -,- -,- -,2200000,9170295,562754,-1136142,4791852,1711976,1034773,209709,357000,-16242000,-4302000,4788000,-9400000,-8621000,39127000
97,Net Change In Cash,- -,30960673,-855851,700000,51852838,64632108,-9380721,-28832886,5663903,15895617,49930519,45675000,21261000,-31455000,68035000,71078000,-39290000,376450000
98,Cash at the End of Period,- -,856380,529,700000,63521599,128882666,119501945,90669059,96332962,112228579,162159098,207834000,229095000,197640000,265675000,358387000,319097000,695547000
99,Cash at the Beginning of Period,- -,- -,856380,- -,11668761,64250558,128882666,119501945,90669059,96332962,112228579,162159000,207834000,229095000,197640000,287309000,358387000,319097000
100,Free Cash Flow,- -,-269293,-963351,2400000,-13961378,31399124,9226848,-17838674,48929066,21589802,74918904,79399000,38850000,66102000,122888000,89934000,168009000,61152000
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1357450/000120445908002410/hlsf20f.htm,https://www.sec.gov/Archives/edgar/data/1357450/000114420409050712/0001144204-09-050712-index.html,https://www.sec.gov/Archives/edgar/data/1357450/000114420410067711/v206295_20f.htm,https://www.sec.gov/Archives/edgar/data/1357450/000114420411054037/0001144204-11-054037-index.html,https://www.sec.gov/Archives/edgar/data/1357450/000114420412055992/v323800_20f.htm,https://www.sec.gov/Archives/edgar/data/1357450/000114420413052898/0001144204-13-052898-index.html,https://www.sec.gov/Archives/edgar/data/1357450/000114420414058192/0001144204-14-058192-index.html,https://www.sec.gov/Archives/edgar/data/1357450/000114420415056523/0001144204-15-056523-index.html,https://www.sec.gov/Archives/edgar/data/1357450/000114420416125056/v448581_20f.htm,https://www.sec.gov/Archives/edgar/data/1357450/000114420417049279/0001144204-17-049279-index.html,https://www.sec.gov/Archives/edgar/data/1357450/000114420418050400/0001144204-18-050400-index.html,https://www.sec.gov/Archives/edgar/data/1357450/000114420419045267/holi-20180630x20f.htm,https://www.sec.gov/Archives/edgar/data/1357450/000119312520256715/0001193125-20-256715-index.htm,- -
102,false,,,,,,,,,,,,,,,,,,
