,https://roic.ai/company/PDS,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,- -,- -,37800000,107500000,318600000,109400000,334165000,492363000,265002000,433282000,584370050,1775958832,667968314,430313834,425200339,447674000,448095000,607599000,420453000,644569000,576951000,53644000,221634000,275153000,164252000,439417000,309142000,190975000
16,EBITDA ratio,- -,- -,0.2318,0.2363,0.3147,0.2139,0.2465,0.2520,0.1569,0.2259,0.2513,1.3993,0.4646,0.4264,0.3859,0.3739,0.3134,0.3114,0.2060,0.3175,0.2455,0.0345,0.2330,0.2083,0.1066,0.2851,0.3304,0.1935
17,Operating Income,- -,- -,31300000,85500000,261200000,63100000,238084000,384377000,159021000,297110000,424452844,465378532,595278425,356351177,352705197,186828000,252664000,328688000,170798000,305674000,225002000,-461263000,-155979000,-88078000,9471000,44464000,-34858000,-89554000
18,Operating Income ratio,- -,- -,0.1919,0.1879,0.2580,0.1234,0.1756,0.1968,0.0941,0.1549,0.1825,0.3667,0.4141,0.3531,0.3201,0.1560,0.1767,0.1685,0.0837,0.1506,0.0957,-0.2965,-0.1639,-0.0667,0.0061,0.0288,-0.0373,-0.0907
19,Total Other Income Expenses (Gains),- -,- -,-1200000,-3200000,-15200000,-11600000,-28673000,-73324000,-35448000,-33447000,-42009839,-172147924,-7619991,-7318502,-12130889,-24555000,-198615000,-87904000,-143121000,-84136000,-203925000,-104909000,-152607000,-143979000,-333067000,-52803000,-74326000,-93228000
20,Income Before Tax,- -,- -,30100000,82300000,246000000,51500000,209411000,311053000,123573000,263663000,382443005,293230608,587658434,349032675,340574308,162273000,54049000,240784000,27677000,221538000,21077000,-566172000,-308586000,-232057000,-323596000,-8339000,-109184000,-182782000
21,Income Before Tax Ratio,- -,- -,0.1845,0.1809,0.2430,0.1007,0.1545,0.1592,0.0732,0.1375,0.1645,0.2310,0.4088,0.3459,0.3091,0.1355,0.0378,0.1234,0.0136,0.1091,0.0090,-0.3640,-0.3243,-0.1756,-0.2100,-0.0054,-0.1167,-0.1852
22,Income Tax expense (Gain),- -,- -,12500000,39900000,128500000,30900000,77851000,123009000,32308000,72532000,131557475,72382835,15145620,6213129,37843613,570000,-8042000,47307000,-24683000,30388000,-12075000,-202736000,-153031000,-100021000,-29326000,-14957000,10954000,-5396000
23,Net Income,- -,- -,17600000,42400000,117500000,20600000,131560000,188044000,91265000,188676000,247404608,1630562856,579588770,345775151,302729480,161703000,62091000,193477000,52360000,191150000,33152000,-363436000,-155555000,-132036000,-294270000,6618000,-120138000,-177386000
24,Net Income ratio,- -,- -,0.1079,0.0932,0.1160,0.0403,0.0971,0.0963,0.0540,0.0984,0.1064,1.2847,0.4032,0.3426,0.2747,0.1350,0.0434,0.0992,0.0257,0.0942,0.0141,-0.2336,-0.1635,-0.0999,-0.1909,0.0043,-0.1284,-0.1798
25,EPS,- -,- -,1.51,2.07,8.18,1.30,15.66,20.59,9.86,20.13,24.82,264.40,92.40,55.00,47.80,13.00,4.60,14.00,3.80,13.80,2.20,-24.80,-10.60,-9.00,-20.00,0.40,-8.76,-13.32
26,EPS Diluted,- -,- -,1.39,1.97,7.74,1.30,14.79,20.13,9.63,19.78,24.48,260.00,92.40,55.00,47.80,12.60,4.40,13.40,3.60,13.20,2.20,-24.80,-10.60,-9.00,-20.00,0.40,-8.76,-13.32
27,Weighted Average Shares Outstanding,- -,- -,11671102,20448542,14318922,15785460,8401032,9132794,9256096,9374750,9966359,6167030,6272606,6286821,6325350,12496250,13782750,13794950,13813800,13879150,14626650,14643900,14656650,14661950,14678000,14539100,13722000,13315000
28,Weighted Average Shares Outstanding Diluted,- -,- -,12643693,21501040,15123355,15785460,8895210,9343348,9479135,9539702,10108061,6271396,6272606,6286821,6345600,12980250,14253050,14435800,14331350,14394050,14690200,14643900,14656650,14661950,14678000,14858950,13722000,13315000
29,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1013605/000095014205001060/0000950142-05-001060-index.html,- -,https://www.sec.gov/Archives/edgar/data/1013605/000113031907000259/o35558form40vf.htm,https://www.sec.gov/Archives/edgar/data/1013605/000113031908000272/o39807e40vf.htm,https://www.sec.gov/Archives/edgar/data/1013605/000113031909000166/0001130319-09-000166-index.html,https://www.sec.gov/Archives/edgar/data/1013605/000095012310030116/0000950123-10-030116-index.html,https://www.sec.gov/Archives/edgar/data/1013605/000095012311030529/o69444exv99w3.htm,https://www.sec.gov/Archives/edgar/data/1013605/000119312512142177/0001193125-12-142177-index.html,https://www.sec.gov/Archives/edgar/data/1013605/000119312513114892/0001193125-13-114892-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1013605/000119312516498257/0001193125-16-498257-index.html,https://www.sec.gov/Archives/edgar/data/1013605/000119312517077530/0001193125-17-077530-index.html,https://www.sec.gov/Archives/edgar/data/1013605/000095012318002938/0000950123-18-002938-index.html,https://www.sec.gov/Archives/edgar/data/1013605/000156459019006313/0001564590-19-006313-index.html,https://www.sec.gov/Archives/edgar/data/1013605/000156459020009386/0001564590-20-009386-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,41400000,- -,20702000,13231000,17315000,21370000,122012239,- -,- -,- -,61510442,130799000,256831000,467476000,152768000,80606000,491481000,444759000,115705000,65081000,96626000,74701000,108772000,40588000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,41400000,- -,20702000,13231000,17315000,21370000,122012239,- -,- -,- -,61510442,130799000,256831000,467476000,152768000,80606000,491481000,444759000,115705000,65081000,96626000,74701000,108772000,40588000
34,Net Receivables,- -,- -,- -,- -,214600000,- -,424817000,474528000,443799000,544850000,690999520,500654727,322632805,262568279,615065566,309652000,414901000,529803000,453136000,467216000,582793000,260908000,275914000,299590000,312015000,245106000,130702000,255740000
35,Inventory,- -,- -,- -,- -,36700000,- -,85688000,111393000,132909000,99088000,114352052,7034539,9072693,9255140,8652258,9008000,4933000,7163000,13787000,12378000,9170000,24245000,24136000,24631000,34081000,31718000,26282000,23429000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,2050000,- -,7804000,21150000,8710103,1163,40739749,-1,1214,- -,- -,46440000,56411000,82481000,70408000,50687000,55855000,52444000,79979000,66240000,76507000,- -
37,Total Current Assets,- -,- -,- -,- -,292700000,- -,533257000,599152000,601827000,686458000,936073914,507690429,372445247,271823418,685229480,449459000,676665000,1050882000,676102000,642681000,1153852000,780599000,471610000,441746000,522701000,417765000,342263000,319757000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,14679000,1521444000,1588250000,1945520758,943900454,1107616496,1210586950,3243212725,2913966000,2812281000,2942296000,3242929000,3561734000,3928826000,3883332000,3641889000,3173824000,3038612000,2815605000,2527851000,2309831000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,266827538,280749068,280748833,841528655,760553000,736897000,363646000,310552000,312356000,219719000,208479000,207399000,205167000,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,209000000,- -,550502000,619381000,619301000,592705000,927078234,465170,375117,317807,5676299,3156000,6366000,6471000,6101000,3917000,3302000,3363000,3316000,28116000,35401000,31746000,27666000,- -
41,Intangible Assets,- -,- -,- -,- -,209000000,- -,550502000,619381000,619301000,592705000,927078234,267292708,281124185,281066640,847204954,763709000,743263000,370117000,316653000,316273000,223021000,211842000,210715000,233283000,35401000,31746000,27666000,23915000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7382000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32984161,- -,- -,- -,- -,64579000,- -,- -,- -,- -,- -,- -,- -,41822000,36880000,4724000,1098000,867000
44,Other Non-Current Assets,- -,- -,- -,- -,695700000,- -,1304377000,1421101000,17443000,40972000,9115671,-1163,-1,- -,58054880,- -,64579000,64579000,64579000,58435000,3297000,2917000,- -,2256000,2449000,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,904700000,- -,1854879000,2055161000,2158188000,2221927000,2914698824,1211191999,1388740680,1491653590,4148472559,3742254000,3620123000,3376992000,3624161000,3936442000,4155144000,4098091000,3852604000,3451185000,3113342000,2852075000,2556615000,2341995000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,1197400000,- -,2388136000,2654313000,2760015000,2908385000,3850772738,1718882428,1761185927,1763477008,4833702039,4191713000,4296788000,4427874000,4300263000,4579123000,5308996000,4878690000,4324214000,3892931000,3636043000,3269840000,2898878000,2661752000
48,Accounts Payable,- -,- -,- -,- -,107600000,- -,227548000,253342000,268568000,62958000,340371970,134302826,60650047,80864038,270121418,128376000,215653000,255194000,146234000,148081000,295468000,82481000,73239000,87436000,129493000,91468000,56922000,224123000
49,Short-Term Debt,- -,- -,- -,- -,27500000,- -,147973000,117127000,123003000,165067000,17999,20467496,36774231,14114609,48953375,223000,- -,- -,- -,- -,- -,- -,- -,- -,- -,12449000,12181000,13158000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,863000,3786000,64188000,4060000,7184000,7836000,- -,- -,7673000,4142000,3702000,839000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,5700000,- -,- -,12764000,- -,210172000,38372930,200165136,108536812,36470355,20825644,- -,863000,185259000,251847000,188817000,204754000,161303000,167497000,122189000,152669000,112152000,97737000,839000
53,Total Current Liabilities,- -,- -,- -,- -,140800000,- -,375521000,383233000,391571000,438197000,378762899,354935458,205961090,131449002,339900437,128599000,216516000,440453000,398081000,336898000,500222000,243784000,240736000,209625000,282162000,216069000,166840000,238120000
54,Long-Term Debt,- -,- -,- -,- -,214600000,- -,548096000,496200000,514878000,399422000,718869690,96838004,140879543,119826199,1368348713,775418000,804494000,1239616000,1218796000,1323268000,1852186000,2180510000,1906934000,1730437000,1706253000,1482161000,1285092000,1152617000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,145500000,- -,257624000,356408000,318547000,321706000,431399088,192516572,174571295,181632734,770622875,703195000,667540000,587790000,485592000,487347000,486133000,303466000,174618000,118911000,72779000,25389000,21236000,12219000
57,Other Non-Current Liabilities,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,1163,22699209,13896117,30950704,- -,30319000,27424000,26494000,32267000,29089000,29721000,39808000,23622000,17097000,18789000,19070000,33241000
58,Total Non-Current Liabilities,- -,- -,- -,- -,360000000,- -,805720000,852608000,833425000,721128000,1150268778,289355739,338150047,315355050,2169922292,1478613000,1502353000,1854830000,1730882000,1842882000,2367408000,2513697000,2121360000,1872970000,1796129000,1526339000,1325398000,1198077000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67429000,60167000,56758000
61,Total Liabilities,- -,- -,- -,- -,500800000,- -,1181241000,1235841000,1224996000,1159325000,1529031677,644291197,544111137,446804052,2509822729,1607212000,1718869000,2295283000,2128963000,2179780000,2867630000,2757481000,2362096000,2082595000,2078291000,1742408000,1492238000,1436197000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2251982000,2305227000,2315539000,2316321000,2319293000,2319293000,2322280000,2296378000,2285738000,2281444000
64,Retained Earnings,- -,- -,- -,- -,206900000,- -,342400000,530444000,620084000,808760000,1041683465,-303284103,-195219012,-126109842,-48068237,107227000,169318000,-83160000,-44621000,88416000,48426000,-397013000,-552568000,-684604000,-978874000,-969456000,-1089594000,-1266980000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-127400000,- -,-271515000,-373020000,-499814000,-603065000,5089993,-514633097,-570599953,-640607806,15358184,-297497000,-372893000,-50862000,-60535000,-23475000,46292000,166101000,156456000,131610000,162014000,134255000,137581000,134780000
66,Other Total Stockholders Equity,- -,- -,- -,- -,617100000,- -,1136010000,1260180000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24474000,29175000,31109000,35800000,38937000,44037000,52332000,66255000,72915000,76311000
67,Total Stockholders Equity,- -,- -,- -,- -,696600000,- -,1206895000,1417604000,1533000000,1745289000,2321741061,1074591232,1217074790,1316672957,2323879310,2584501000,2577919000,2132591000,2171300000,2399343000,2441366000,2121209000,1962118000,1810336000,1557752000,1527432000,1406640000,1225555000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,1197400000,- -,2388136000,2653445000,2757996000,2904614000,3850772738,1718882429,1761185927,1763477009,4833702039,4191713000,4296788000,4427874000,4300263000,4579123000,5308996000,4878690000,4324214000,3892931000,3636043000,3269840000,2898878000,2661752000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,868000,2019000,3771000,- -,-1,- -,-1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,1197400000,- -,2388136000,2654313000,2760015000,2908385000,3850772738,1718882428,1761185927,1763477008,4833702039,4191713000,4296788000,4427874000,4300263000,4579123000,5308996000,4878690000,4324214000,3892931000,3636043000,3269840000,2898878000,2661752000
71,SEC Link,undefined,undefined,undefined,undefined,- -,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1013605/000095014205001060/0000950142-05-001060-index.html,- -,https://www.sec.gov/Archives/edgar/data/1013605/000113031907000259/o35558form40vf.htm,https://www.sec.gov/Archives/edgar/data/1013605/000113031908000272/o39807e40vf.htm,https://www.sec.gov/Archives/edgar/data/1013605/000113031909000166/0001130319-09-000166-index.html,https://www.sec.gov/Archives/edgar/data/1013605/000095012310030116/0000950123-10-030116-index.html,https://www.sec.gov/Archives/edgar/data/1013605/000095012311030529/o69444exv99w3.htm,https://www.sec.gov/Archives/edgar/data/1013605/000119312512142177/0001193125-12-142177-index.html,https://www.sec.gov/Archives/edgar/data/1013605/000119312513114892/0001193125-13-114892-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1013605/000119312516498257/0001193125-16-498257-index.html,https://www.sec.gov/Archives/edgar/data/1013605/000119312517077530/0001193125-17-077530-index.html,https://www.sec.gov/Archives/edgar/data/1013605/000095012318002938/0000950123-18-002938-index.html,https://www.sec.gov/Archives/edgar/data/1013605/000156459019006313/0001564590-19-006313-index.html,https://www.sec.gov/Archives/edgar/data/1013605/000156459020009386/0001564590-20-009386-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,17600000,42400000,117500000,20600000,131560000,188044000,91265000,188676000,247404608,1630562856,579588770,345775151,302729480,161703000,62091000,193477000,52360000,191150000,33152000,-363436000,-155555000,-132036000,-294270000,6618000,-120138000,-177386000
74,Depreciation and Amortization,- -,- -,7700000,25200000,72600000,57900000,124754000,181310000,141429000,172074000,205407967,73013141,73233924,78325554,84627246,138000000,182719000,251483000,307525000,333159000,448669000,486655000,391659000,377746000,365660000,333616000,316322000,282326000
75,Deferred Income Tax,- -,- -,2700000,8600000,99300000,6600000,41599000,97256000,-36980000,12851000,31301896,-169018491,-19380242,6950045,31742351,15471000,-15676000,- -,-24683000,30388000,-12075000,-202736000,-153031000,-100021000,-29326000,-14957000,10954000,-5396000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20555000,19350000,20708000,16197000,15594000,28313000,6795000,17401000,19457000,17769000,31952000
77,Change in Working Capital,- -,- -,- -,- -,- -,-117100000,-60988000,-33443000,4452000,-101146000,-50177586,-6886847,-38911929,64402622,-84571394,173173000,-69303000,-59616000,36474000,-33887000,-17315000,159926000,17133000,-67380000,-17880000,-4493000,55391000,-13018000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,-5200000,-6391000,-24024000,-21516000,-6344000,3089753,698918,-2037512,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1,1,-7551257,64402622,-84571394,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,- -,-14400000,1400000,-38100000,900000,-40000,-937000,-943000,-14028000,14104872,-1227549715,15213186,-11338763,9381982,16382000,145564000,126873000,244260000,-113432000,211531000,421013000,-6011000,31451000,251749000,-52082000,-54180000,20747000
83,Cash Provided by Operating Activities,- -,- -,13600000,77600000,251300000,-31100000,236885000,432230000,199223000,258427000,448041757,300120944,609743709,484114609,343909665,504729000,305395000,532772000,635286000,428086000,680159000,517016000,122508000,116555000,293334000,288159000,226118000,139225000
84,CAPEX,- -,- -,-24300000,-387600000,-608700000,-46100000,-201004000,-366019000,-267794000,-314921000,-282223422,-283465520,-263030056,-187005661,-229578679,-193435000,-175901000,-726357000,-868057000,-535804000,-856690000,-458710000,-203472000,-98002000,-126143000,-160694000,-61592000,-75941000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-364959000,-35557000,-4594000,-6800000,-679814015,-30420979,-9091333,- -,-768392424,- -,- -,-92886000,-25000,- -,- -,- -,-12200000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-44900000,- -,- -,- -,- -,-5672000,-1080000,-89993,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3500000
87,Sales/Maturities of Investments,- -,- -,100000,- -,60900000,- -,- -,2510000,1872000,10966000,8664507,14569136,510252,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,1300000,16000000,23000000,19000000,20679000,25328000,28251000,91691000,78918887,1339758112,36888397,-4396663,-22124817,-16796000,57788000,103781000,-62039000,9269000,226703000,-82392000,1747000,-16327000,13782000,85386000,21018000,22828000
89,Cash Used for Investing Activites,- -,- -,-22900000,-416500000,-524800000,-27100000,-545284000,-373738000,-247937000,-220144000,-874544036,1040440749,-234722740,-191402324,-1020095920,-210231000,-118113000,-715462000,-930121000,-526535000,-629987000,-541102000,-213925000,-91150000,-100794000,-74500000,-40517000,-56613000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-995899000,-723245000,-201688000,- -,- -,-30670000,- -,-677704000,-571975000,-168722000,-205210000,-284329000,-831597000
91,Common Stock Issued,- -,- -,45300000,178100000,284500000,8100000,21009000,22665000,25756000,23613000,331789057,87697407,9896319,- -,- -,413223000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-58400000,- -,- -,- -,- -,- -,- -,-107446215,- -,- -,- -,- -,-6000,- -,- -,- -,- -,- -,- -,- -,- -,-25902000,-11317000,-4294000
93,Dividends Paid,- -,- -,- -,- -,-400000,- -,- -,- -,- -,- -,- -,-33874869,-444650513,-248999901,-216304031,-27233000,- -,- -,-13821000,-58113000,-73142000,-82003000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,3700000,108800000,89700000,2900000,255767000,-88628000,27042000,-57841000,195355171,-1408949878,59733225,-43713377,954000728,408893000,664562000,568575000,-1078000,79630000,433516000,-2041000,459380000,498191000,-363000,-702000,150022000,685978000
95,Cash Used/Provided by Financing Activities,- -,- -,49000000,286900000,315400000,11000000,276776000,-65963000,52798000,-34228000,527144228,-1462573555,-375020969,-292713278,737696697,-201016000,-58689000,366887000,-14899000,21517000,329704000,-84044000,-218324000,-73784000,-169085000,-231814000,-145624000,-149913000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24194000,-2561000,26448000,-4974000,4770000,30999000,61408000,-19313000,-2245000,8090000,-3770000,-5906000,-883000
97,Net Change In Cash,- -,- -,39700000,-52000000,41900000,-47100000,-31623000,-7471000,4084000,4055000,100641949,-1462573555,-375020969,-292713278,737696697,69288000,126032000,210645000,-314708000,-72162000,410875000,-46722000,-329054000,-50624000,31545000,-21925000,34071000,-68184000
98,Cash at the End of Period,- -,- -,51500000,-500000,41400000,49000000,20702000,13231000,17315000,21370000,122012239,- -,- -,- -,61510442,130799000,256831000,467476000,152768000,80606000,491481000,444759000,115705000,65081000,96626000,74701000,108772000,40588000
99,Cash at the Beginning of Period,- -,- -,11800000,51500000,-500000,96100000,52325000,20702000,13231000,17315000,21370290,122011862,- -,- -,- -,61511000,130799000,256831000,467476000,152768000,80606000,491481000,444759000,115705000,65081000,96626000,74701000,108772000
100,Free Cash Flow,- -,- -,-10700000,-310000000,-357400000,-77200000,35881000,66211000,-68571000,-56494000,165818335,16655424,346713653,297108948,114330986,311294000,129494000,-193585000,-232771000,-107718000,-176531000,58306000,-80964000,18553000,167191000,127465000,164526000,63284000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1013605/000095014205001060/0000950142-05-001060-index.html,- -,https://www.sec.gov/Archives/edgar/data/1013605/000113031907000259/o35558form40vf.htm,https://www.sec.gov/Archives/edgar/data/1013605/000113031908000272/o39807e40vf.htm,https://www.sec.gov/Archives/edgar/data/1013605/000113031909000166/0001130319-09-000166-index.html,https://www.sec.gov/Archives/edgar/data/1013605/000095012310030116/0000950123-10-030116-index.html,https://www.sec.gov/Archives/edgar/data/1013605/000095012311030529/o69444exv99w3.htm,https://www.sec.gov/Archives/edgar/data/1013605/000119312512142177/0001193125-12-142177-index.html,https://www.sec.gov/Archives/edgar/data/1013605/000119312513114892/0001193125-13-114892-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1013605/000119312516498257/0001193125-16-498257-index.html,https://www.sec.gov/Archives/edgar/data/1013605/000119312517077530/0001193125-17-077530-index.html,https://www.sec.gov/Archives/edgar/data/1013605/000095012318002938/0000950123-18-002938-index.html,https://www.sec.gov/Archives/edgar/data/1013605/000156459019006313/0001564590-19-006313-index.html,https://www.sec.gov/Archives/edgar/data/1013605/000156459020009386/0001564590-20-009386-index.html,- -,- -
102,Forex Rate,undefined,undefined,0.7348,0.7155,0.6989,0.6915,0.6672,0.6281,0.6358,0.771,0.8312,0.8601,0.8579,1.0035,0.8218,0.9507,1.0027,0.9807,1.0067,0.9413,0.8604,0.7224,0.7443,0.7948,0.7332,0.77,0.7851,0.7913
