,https://roic.ai/company/MIND,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,- -,- -,500000,900000,7900000,2557000,- -,- -,- -,- -,- -,1155000,7308000,6352000,3772000,5199000,4813000,6708000,6188000,8338000,11451000,12944000,11960000,10856000,10774000,13261000,11453000
36,Other Current Assets,- -,- -,100000,25300000,1800000,3190000,2525000,407000,627000,1598000,1098000,1083000,2486000,2721000,4186000,4389000,3555000,5222000,11313000,8141000,10191000,4208000,4367000,1794000,4097000,2355000,5980000
37,Total Current Assets,- -,- -,5600000,48400000,29500000,28834000,21926000,12933000,9353000,14878000,21449000,29741000,35986000,38737000,29059000,34673000,44754000,65278000,57878000,62160000,54149000,40696000,35059000,33046000,36342000,30627000,26791000
38,PP&E,- -,- -,600000,43100000,33600000,35283000,49055000,45567000,34943000,25359000,19725000,19924000,35432000,53179000,64251000,66482000,79095000,120377000,119608000,129573000,100087000,73516000,43838000,22900000,14155000,16077000,6222000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2358000,3358000,4358000,4320000,4320000,4320000,4320000,4320000,4320000,5594000,4155000,3997000,2531000,2531000,2531000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2584000,2127000,3692000,2744000,2678000,5358000,4696000,3989000,3201000,10831000,10466000,9012000,8015000,10495000,8161000,6750000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4942000,5485000,8050000,7064000,6998000,9678000,9016000,8309000,7521000,16425000,14621000,13009000,10546000,13026000,10692000,6750000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,5094000,1505000,- -,88000,- -,- -,4296000,6133000,8922000,586000,- -,- -,68000,- -,- -
44,Other Non-Current Assets,- -,- -,18100000,100000,4100000,3588000,1580000,295000,44000,493000,221000,13000,1305000,2430000,3853000,7156000,4444000,3558000,316000,32000,28000,5340000,2808000,7187000,1710000,832000,- -
45,Total Non-Current Assets,- -,- -,18700000,43200000,37700000,38871000,50635000,45862000,34987000,25852000,19946000,27879000,47316000,65164000,75168000,80724000,93217000,132951000,132529000,143259000,125462000,94063000,59655000,40633000,28959000,27601000,12972000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,24300000,91600000,67200000,67705000,72561000,58795000,44340000,40730000,41395000,57620000,83302000,103901000,104227000,115397000,137971000,198229000,190407000,205419000,179611000,134759000,94714000,73679000,65301000,58228000,39763000
48,Accounts Payable,- -,- -,1900000,8400000,700000,5927000,8259000,8659000,2424000,1532000,4893000,4436000,16343000,16729000,13561000,6489000,5203000,13037000,6921000,10745000,2399000,3543000,1929000,1271000,1534000,2650000,1704000
49,Short-Term Debt,- -,- -,1900000,- -,- -,- -,1856000,2515000,2092000,3499000,918000,- -,1500000,1500000,- -,- -,3177000,1399000,145000,75000,3218000,3218000,6371000,- -,- -,1339000,1008000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,242000,562000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,314000,216000,345000,652000,381000,948000,872000,424000,854000,778000,543000,539000,35000,710000,326000,651000,1760000,1741000,1141000,692000
52,Other Current Liabilities,- -,- -,1900000,6600000,1700000,1503000,3014000,625000,1328000,2139000,1055000,2352000,3505000,5641000,3877000,4106000,6441000,9002000,1875000,1583000,3673000,5369000,4514000,4492000,4153000,3318000,4432000
53,Total Current Liabilities,- -,- -,5700000,15000000,2400000,7430000,13129000,12113000,6060000,7515000,7518000,7169000,22296000,24742000,17862000,11449000,15599000,23981000,9480000,12438000,10000000,12456000,13465000,7523000,7428000,8448000,7836000
54,Long-Term Debt,- -,- -,2700000,- -,- -,- -,5444000,4079000,4622000,2418000,- -,3000000,1500000,- -,5950000,15735000,23343000,12784000,4238000,22125000,23137000,17266000,- -,- -,- -,961000,1313000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,600000,2300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32000,3258000,832000,595000,- -,- -,- -,- -,317000,307000,- -,200000,198000
57,Other Non-Current Liabilities,- -,- -,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,3391000,3260000,- -,3482000,5435000,376000,408000,- -,- -,- -,- -,1195000,967000,- -
58,Total Non-Current Liabilities,- -,- -,3400000,2400000,- -,- -,5444000,4079000,4622000,2418000,- -,3000000,1500000,3391000,9242000,18993000,27657000,18814000,4614000,22533000,23137000,17266000,317000,307000,1195000,2128000,1511000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000,1471000
61,Total Liabilities,- -,- -,9100000,17400000,2400000,7430000,18573000,16192000,10682000,9933000,7518000,10169000,23796000,28133000,27104000,30442000,43256000,42795000,14094000,34971000,33137000,29722000,13782000,7830000,8623000,10576000,9347000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7294000,11544000,18330000,22104000,23104000
63,Common Stock,- -,- -,- -,- -,- -,96000,96000,97000,97000,97000,99000,104000,106000,107000,107000,107000,109000,136000,138000,139000,140000,140000,140000,140000,140000,141000,157000
64,Retained Earnings,- -,- -,6400000,12800000,4200000,-620000,-3566000,-12023000,-22122000,-28411000,-26282000,-15427000,-6142000,662000,9727000,10247000,14976000,39297000,56348000,61116000,51924000,13188000,-20451000,-42425000,-63973000,-77310000,-99870000
65,Other Comprehensive Income/Loss,- -,- -,-200000,-7900000,-31500000,-36697000,-42380000,-44814000,-52183000,-59265000,2000000,3000000,3000000,8000000,-2000000,4000000,7000000,7000000,8000000,-2000000,-9000000,-12000000,-11000000,-9000000,-4000000,-4000000,-4356000
66,Other Total Stockholders Equity,- -,- -,9000000,69300000,92100000,97496000,99838000,99343000,107866000,118376000,58060000,59774000,62542000,66999000,69289000,70601000,72630000,109001000,111827000,111193000,103410000,103709000,104949000,105590000,106181000,106717000,111381000
67,Total Stockholders Equity,- -,- -,15200000,74200000,64800000,60275000,53988000,42603000,33658000,30797000,33877000,47451000,59506000,75768000,77123000,84955000,94715000,155434000,176313000,170448000,146474000,105037000,80932000,65849000,56678000,47652000,30416000
68,Total Liabilities And Stockholders Equity,- -,- -,24300000,91600000,67200000,67705000,72561000,58795000,44340000,40730000,41395000,57620000,83302000,103901000,104227000,115397000,137971000,198229000,190407000,205419000,179611000,134759000,94714000,73679000,65301000,58228000,39763000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,24300000,91600000,67200000,67705000,72561000,58795000,44340000,40730000,41395000,57620000,83302000,103901000,104227000,115397000,137971000,198229000,190407000,205419000,179611000,134759000,94714000,73679000,65301000,58228000,39763000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/926423/000095012905004538/h24885e10vk.htm,https://www.sec.gov/Archives/edgar/data/926423/000095012906005272/h35500e10vk.htm,https://www.sec.gov/Archives/edgar/data/926423/000095012907002014/0000950129-07-002014-index.html,https://www.sec.gov/Archives/edgar/data/926423/000095012908002232/0000950129-08-002232-index.html,https://www.sec.gov/Archives/edgar/data/926423/000095012909001231/0000950129-09-001231-index.html,https://www.sec.gov/Archives/edgar/data/926423/000095012310033466/0000950123-10-033466-index.html,https://www.sec.gov/Archives/edgar/data/926423/000095012311033343/0000950123-11-033343-index.html,https://www.sec.gov/Archives/edgar/data/926423/000119312512150047/0001193125-12-150047-index.html,https://www.sec.gov/Archives/edgar/data/926423/000119312513142186/0001193125-13-142186-index.html,https://www.sec.gov/Archives/edgar/data/926423/000119312514129776/0001193125-14-129776-index.html,https://www.sec.gov/Archives/edgar/data/926423/000119312515122895/0001193125-15-122895-index.html,https://www.sec.gov/Archives/edgar/data/926423/000119312516533937/0001193125-16-533937-index.html,https://www.sec.gov/Archives/edgar/data/926423/000119312517114008/0001193125-17-114008-index.html,https://www.sec.gov/Archives/edgar/data/926423/000162828018004266/0001628280-18-004266-index.html,https://www.sec.gov/Archives/edgar/data/926423/000162828019003963/0001628280-19-003963-index.html,https://www.sec.gov/Archives/edgar/data/926423/000162828020005760/0001628280-20-005760-index.htm,https://www.sec.gov/Archives/edgar/data/926423/000092642321000011/0000926423-21-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1000000,1700000,2700000,6400000,-8500000,-4864000,-2946000,-8457000,-10099000,-6289000,2129000,10855000,9285000,11439000,9065000,520000,4729000,24321000,17051000,4768000,-9192000,-38736000,-33153000,-21069000,-19840000,-11287000,-20306000
74,Depreciation and Amortization,400000,1300000,3100000,6600000,12400000,9847000,13123000,16015000,15190000,13677000,10596000,8958000,8919000,11879000,16531000,18740000,22717000,28774000,34939000,31037000,36986000,32111000,28275000,16637000,11814000,7768000,4627000
75,Deferred Income Tax,- -,300000,600000,800000,-6900000,- -,-4000,2713000,- -,- -,- -,- -,- -,- -,1197000,-120000,230000,-285000,-9509000,-2172000,-3237000,10309000,934000,162000,1201000,553000,32000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1401000,1099000,1331000,1586000,1143000,1298000,1293000,737000,903000,781000,854000,708000
77,Change in Working Capital,-900000,- -,-100000,33500000,-6300000,-5696000,-12607000,-7977000,2473000,4070000,6568000,8641000,-8882000,305000,-2798000,12027000,5931000,12142000,7101000,1324000,-5573000,-15909000,-6646000,3929000,3391000,-6735000,-3224000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4995000,-2019000,-16687000,13331000,-9142000,605000,-238000,7345000,4405000,1292000,-1723000,4632000
79,Inventory,- -,- -,- -,-500000,-1200000,466000,- -,- -,- -,- -,- -,-268000,-5088000,847000,1282000,-754000,727000,-2614000,718000,-2836000,-279000,677000,850000,685000,-781000,-2810000,1178000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2683000,- -,100000,- -,- -,- -,-455000,- -,- -,-2510000
81,Other Working Capital,- -,- -,-100000,33400000,27100000,21404000,8797000,820000,3293000,7363000,13931000,22572000,13690000,13995000,11197000,23224000,29155000,41297000,48398000,49722000,44149000,28240000,21594000,25523000,28914000,22179000,18955000
82,Other Non-Cash Items,- -,-100000,-2100000,-43500000,19700000,9129000,15759000,9975000,-9407000,-7008000,-2264000,-17265000,-5736000,7381000,-6377000,-18483000,-4569000,-30325000,-6911000,-14885000,4923000,25979000,13007000,157000,-2804000,3030000,11803000
83,Cash Provided by Operating Activities,500000,3200000,4200000,3800000,10400000,8416000,13325000,12269000,-1843000,4450000,17029000,11189000,3586000,31004000,17618000,14085000,30137000,35958000,44257000,21215000,25205000,15047000,3154000,719000,-5457000,-5817000,-6360000
84,CAPEX,- -,-400000,-200000,-34900000,-32900000,-12788000,-27711000,-18021000,-5195000,-3635000,-6045000,-8970000,-14545000,-30853000,-32411000,-27186000,-33119000,-63667000,-45659000,-44058000,-19900000,-2509000,-919000,-1316000,-2531000,-3991000,-566000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2537000,-1000000,-3784000,- -,- -,-2100000,- -,- -,- -,-14500000,-10000000,- -,- -,-147000,239000,257000
86,Purchases of Investments,- -,- -,- -,-20000000,- -,- -,- -,- -,- -,- -,- -,-6000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,2700000,3524000,6726000,7085000,- -,- -,- -,3450000,2550000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-2000000,-4500000,-11400000,10400000,14700000,1911000,4142000,4562000,3859000,2975000,- -,5434000,4297000,3488000,4665000,3321000,2470000,6355000,10962000,6851000,3158000,2240000,5331000,10313000,2663000,1664000,3150000
89,Cash Used for Investing Activites,-2000000,-4900000,-11600000,-44500000,-15500000,-7353000,-16843000,-6374000,-1336000,-660000,-6045000,-8623000,-8698000,-31149000,-27746000,-23865000,-32749000,-57312000,-34697000,-37207000,-31242000,-10269000,4412000,8997000,-15000,-2088000,3207000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-719000,-12408000,-10082000,-136000,-5893000,-5817000,-14117000,-6307000,- -,- -,- -
91,Common Stock Issued,4200000,100000,4500000,52500000,200000,- -,142000,214000,- -,- -,319000,1640000,861000,356000,140000,- -,396000,33837000,- -,- -,- -,- -,- -,- -,- -,- -,3584000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-3195000,-1476000,-15000,- -,- -,- -,- -,- -,- -,-17000,- -,- -,- -,-2200000,-9762000,-3000,-4000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-486000,-905000,-1708000,-2050000,-1677000
94,Other Financing Activites,-2500000,1400000,2600000,-4600000,- -,- -,7300000,-706000,120000,-2093000,-4999000,-918000,390000,412000,3158000,10603000,10651000,714000,207000,19145000,10221000,182000,7294000,4174000,6853000,3799000,2607000
95,Cash Used/Provided by Financing Activities,1700000,1500000,7100000,47900000,200000,- -,4247000,-1968000,105000,-2093000,-4680000,722000,1251000,768000,3298000,10586000,10328000,22143000,-9875000,16809000,-5434000,-5638000,-7313000,-3038000,5145000,1749000,4514000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000,679000,-1991000,261000,801000,-149000,178000,-805000,1484000,-546000,-511000,-43000,-270000,-159000,16000
97,Net Change In Cash,1700000,1500000,7100000,47900000,200000,1063000,729000,3927000,-3074000,1697000,6304000,3288000,-3856000,1302000,-8821000,1067000,8517000,640000,-137000,12000,-9987000,-1406000,-258000,6635000,-597000,-6315000,1377000
98,Cash at the End of Period,- -,- -,- -,- -,- -,3588000,4317000,8244000,5170000,6834000,13138000,16426000,12582000,13884000,5063000,6130000,14647000,15287000,15150000,15162000,5175000,3769000,3511000,10146000,9549000,3234000,4611000
99,Cash at the Beginning of Period,600000,900000,600000,300000,7500000,2525000,3588000,4317000,8244000,5137000,6834000,13138000,16438000,12582000,13884000,5063000,6130000,14647000,15287000,15150000,15162000,5175000,3769000,3511000,10146000,9549000,3234000
100,Free Cash Flow,500000,2800000,4000000,-31100000,-22500000,-4372000,-14386000,-5752000,-7038000,815000,10984000,2219000,-10959000,151000,-14793000,-13101000,-2982000,-27709000,-1402000,-22843000,5305000,12538000,2235000,-597000,-7988000,-9808000,-6926000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/926423/000095012905004538/h24885e10vk.htm,https://www.sec.gov/Archives/edgar/data/926423/000095012906005272/h35500e10vk.htm,https://www.sec.gov/Archives/edgar/data/926423/000095012907002014/0000950129-07-002014-index.html,https://www.sec.gov/Archives/edgar/data/926423/000095012908002232/0000950129-08-002232-index.html,https://www.sec.gov/Archives/edgar/data/926423/000095012909001231/0000950129-09-001231-index.html,https://www.sec.gov/Archives/edgar/data/926423/000095012310033466/0000950123-10-033466-index.html,https://www.sec.gov/Archives/edgar/data/926423/000095012311033343/0000950123-11-033343-index.html,https://www.sec.gov/Archives/edgar/data/926423/000119312512150047/0001193125-12-150047-index.html,https://www.sec.gov/Archives/edgar/data/926423/000119312513142186/0001193125-13-142186-index.html,https://www.sec.gov/Archives/edgar/data/926423/000119312514129776/0001193125-14-129776-index.html,https://www.sec.gov/Archives/edgar/data/926423/000119312515122895/0001193125-15-122895-index.html,https://www.sec.gov/Archives/edgar/data/926423/000119312516533937/0001193125-16-533937-index.html,https://www.sec.gov/Archives/edgar/data/926423/000119312517114008/0001193125-17-114008-index.html,https://www.sec.gov/Archives/edgar/data/926423/000162828018004266/0001628280-18-004266-index.html,https://www.sec.gov/Archives/edgar/data/926423/000162828019003963/0001628280-19-003963-index.html,https://www.sec.gov/Archives/edgar/data/926423/000162828020005760/0001628280-20-005760-index.htm,https://www.sec.gov/Archives/edgar/data/926423/000092642321000011/0000926423-21-000011-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
