,https://roic.ai/company/SNA,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,61546392,61792453,62394366,62596685,61588235,61840491,62564103,63461538,64029851,64108696,62030075,61623377,- -,61686308,59219564,58600000,58100000,58500000,58400000,- -,58400000,59200000,58600000,- -,58100000,57900000,58700000,58900000,59100000,- -,59100000,59400000,58600000,57300000,55900000,- -,54800000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/91440/000091205795001725/0000912057-95-001725-index.html,- -,- -,undefined,- -,- -,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/91440/000110465907012161/0001104659-07-012161-index.htm,https://www.sec.gov/Archives/edgar/data/91440/000110465908011401/0001104659-08-011401-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/91440/000110465909010323/0001104659-09-010323-index.htm,https://www.sec.gov/Archives/edgar/data/91440/000119312510033916/0001193125-10-033916-index.htm,https://www.sec.gov/Archives/edgar/data/91440/000119312512064510/0001193125-12-064510-index.htm,https://www.sec.gov/Archives/edgar/data/91440/000119312513058193/0001193125-13-058193-index.htm,https://www.sec.gov/Archives/edgar/data/91440/000119312514054235/0001193125-14-054235-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/91440/000119312515046309/0001193125-15-046309-index.htm,https://www.sec.gov/Archives/edgar/data/91440/000119312517036139/0001193125-17-036139-index.htm,https://www.sec.gov/Archives/edgar/data/91440/000119312518047130/0001193125-18-047130-index.htm,https://www.sec.gov/Archives/edgar/data/91440/000009144019000003/0000091440-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/91440/000009144020000004/0000091440-20-000004-index.html,undefined,https://www.sec.gov/Archives/edgar/data/91440/000009144021000005/0000091440-21-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,16200000,15400000,- -,25700000,15000000,6100000,6700000,18400000,96100000,- -,170400000,63400000,93000000,- -,115800000,699400000,185600000,214500000,217600000,- -,132900000,77600000,92000000,140900000,184500000,- -,923400000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,205000000,- -,165000000,15600000,- -,22000000,- -,317000000,329000000,17100000,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,16200000,15400000,- -,25700000,15000000,6100000,6700000,18400000,96100000,- -,170400000,63400000,93000000,- -,115800000,904400000,185600000,379500000,233200000,- -,154900000,77600000,409000000,469900000,201600000,- -,923400000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,568400000,610100000,651700000,- -,539600000,554700000,644500000,615200000,556200000,546800000,- -,485900000,559200000,586900000,- -,522100000,569600000,790400000,883700000,974600000,- -,1027700000,1159400000,1277800000,1309400000,1325400000,- -,1283400000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,229000000,250400000,269800000,- -,373200000,375400000,418900000,375200000,369900000,351100000,- -,283200000,323000000,322400000,- -,359200000,274700000,386400000,404200000,434400000,- -,475500000,530500000,638800000,673800000,760400000,- -,746500000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,66600000,70000000,80400000,- -,83200000,134700000,116900000,142300000,106500000,137700000,- -,133400000,167600000,185100000,- -,143600000,-72600000,168300000,1600000,154000000,- -,200500000,116500000,-206300000,-236200000,93100000,- -,129700000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,873000000,946700000,1017300000,- -,1021700000,1079800000,1186400000,1139400000,1051000000,1131700000,- -,1072900000,1113200000,1187400000,- -,1140700000,1676100000,1530700000,1669000000,1796200000,- -,1858600000,1884000000,2119300000,2216900000,2380500000,- -,3083000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,209100000,220100000,245300000,- -,265800000,272000000,345100000,327700000,330200000,328600000,- -,295500000,297100000,304800000,- -,327800000,347800000,352900000,375200000,392500000,- -,404500000,425200000,484400000,495100000,577100000,- -,578100000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78000000,80800000,- -,121300000,131500000,360000000,331200000,366400000,- -,- -,- -,776100000,818800000,- -,801800000,814300000,795800000,807400000,838800000,- -,810700000,895500000,924100000,902200000,913800000,- -,982400000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,96000000,54700000,122000000,- -,176900000,131400000,64600000,60700000,90400000,487100000,- -,462300000,257800000,234800000,- -,218300000,206200000,188300000,187200000,190500000,- -,203300000,184600000,253700000,232900000,243900000,- -,260800000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,96000000,132700000,202800000,- -,298200000,262900000,424600000,391900000,456800000,487100000,- -,462300000,1033900000,1053600000,- -,1020100000,1020500000,984100000,994600000,1029300000,- -,1014000000,1080100000,1177800000,1135100000,1157700000,- -,1243200000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4800000,7000000,- -,11800000,9600000,24700000,24700000,33600000,16100000,- -,57800000,88900000,91200000,- -,95000000,97800000,125200000,127100000,143800000,- -,159200000,72800000,28400000,41400000,69300000,- -,50300000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,56800000,56700000,48400000,- -,43900000,50600000,69600000,90600000,122500000,175000000,- -,119900000,121400000,128100000,- -,126700000,305200000,680000000,736400000,748200000,- -,873800000,1261100000,1439200000,1484600000,1508900000,- -,1602700000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,361900000,414300000,503500000,- -,619700000,595100000,864000000,834900000,943100000,1006800000,- -,935500000,1541300000,1577700000,- -,1569600000,1771300000,2142200000,2233300000,2313800000,- -,2451500000,2839200000,3129800000,3156200000,3313000000,- -,3474300000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1234900000,1361000000,1520800000,- -,1641400000,1674900000,2050400000,1974300000,1994100000,2138500000,- -,2008400000,2654500000,2765100000,- -,2710300000,3447400000,3672900000,3902300000,4110000000,- -,4310100000,4723200000,5249100000,5373100000,5693500000,- -,6557300000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,56700000,75600000,89300000,- -,91600000,89400000,161000000,141200000,170900000,189700000,- -,135400000,178800000,171600000,- -,126000000,119800000,124600000,142500000,155600000,- -,145000000,170900000,178200000,201100000,198500000,- -,222900000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,10600000,- -,- -,- -,- -,- -,- -,- -,- -,30200000,- -,24800000,-43000000,-15000000,- -,-12000000,164000000,16200000,5000000,113000000,- -,56000000,301400000,183200000,186300000,186300000,- -,287800000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95600000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20600000,- -,26600000,76000000,87000000,- -,64000000,69000000,24900000,68000000,71000000,- -,85000000,43000000,25000000,45000000,- -,- -,53600000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,170600000,260500000,252100000,- -,260900000,368700000,377000000,408200000,381500000,326700000,- -,319300000,470200000,395600000,- -,369500000,387100000,418100000,373700000,375800000,- -,432700000,474200000,806900000,519600000,562800000,- -,600600000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,237900000,336100000,341400000,- -,352500000,458100000,538000000,549400000,552400000,567200000,- -,506100000,682000000,639200000,- -,547500000,739900000,583800000,589200000,715400000,- -,718700000,989500000,1193300000,952000000,947600000,- -,1164900000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,109000000,143800000,149800000,- -,151000000,246600000,473000000,445500000,304300000,303000000,- -,201700000,505600000,502000000,- -,503400000,902100000,967900000,970400000,858900000,- -,862700000,708800000,753600000,946000000,946900000,- -,1216100000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,6300000,- -,- -,- -,- -,- -,- -,- -,- -,34300000,- -,75300000,- -,- -,- -,- -,- -,108100000,127100000,143800000,- -,159200000,13100000,28400000,41400000,- -,- -,70400000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,115300000,130300000,201400000,- -,245700000,208000000,195400000,203600000,307000000,223100000,- -,263100000,390600000,343800000,- -,472900000,515400000,465800000,413500000,278700000,- -,361700000,376600000,319900000,334900000,389900000,- -,259300000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,230600000,274100000,351200000,- -,396700000,454600000,668400000,649100000,611300000,560400000,- -,540100000,896200000,845800000,- -,976300000,1417500000,1541800000,1511000000,1281400000,- -,1383600000,1098500000,1101900000,1322300000,1336800000,- -,1545800000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57000000,- -,53300000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,468500000,610200000,692600000,- -,749200000,912700000,1206400000,1198500000,1163700000,1127600000,- -,1046200000,1578200000,1485000000,- -,1523800000,2157400000,2125600000,2100200000,1996800000,- -,2102300000,2088000000,2295200000,2274300000,2284400000,- -,2710700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43600000,66000000,- -,66500000,66700000,66800000,66800000,66900000,67000000,- -,67000000,67100000,67100000,- -,67200000,67300000,67300000,67400000,67400000,- -,67400000,67400000,67400000,67400000,67400000,- -,67400000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,684100000,753400000,838500000,- -,939000000,883200000,1051300000,1014700000,1064200000,1084700000,- -,1143800000,1180300000,1296700000,- -,1463700000,1528900000,1843700000,2067000000,2324100000,- -,2637200000,3384900000,3772300000,4257600000,4779700000,- -,5156900000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-244500000,-21600000,-27800000,- -,-60800000,-60400000,-174400000,-241200000,-247600000,-120600000,- -,-176900000,21000000,143000000,- -,-68000000,-105000000,-175000000,-124000000,-45000000,- -,-364000000,-499000000,-329000000,-462000000,-508000000,- -,-365800000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,326800000,- -,- -,- -,- -,- -,- -,- -,-53100000,- -,- -,- -,-192100000,-226700000,- -,-276400000,-201200000,-205100000,-208300000,-233300000,- -,-132800000,-336100000,-556800000,-764200000,-930000000,- -,-1033600000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,766400000,750700000,828200000,- -,892100000,762300000,844000000,775800000,830400000,1010900000,- -,962200000,1076300000,1280100000,- -,1186500000,1290000000,1530900000,1802100000,2113200000,- -,2207800000,2617200000,2953900000,3098800000,3409100000,- -,3824900000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1234900000,1360900000,1520800000,- -,1641300000,1675000000,2050400000,1974300000,1994100000,2138500000,- -,2008400000,2654500000,2765100000,- -,2710300000,3447400000,3656500000,3902300000,4110000000,- -,4310100000,4705200000,5249100000,5373100000,5693500000,- -,6535600000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16400000,- -,- -,- -,- -,18000000,- -,- -,- -,- -,21700000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1234900000,1361000000,1520800000,- -,1641400000,1674900000,2050400000,1974300000,1994100000,2138500000,- -,2008400000,2654500000,2765100000,- -,2710300000,3447400000,3672900000,3902300000,4110000000,- -,4310100000,4723200000,5249100000,5373100000,5693500000,- -,6557300000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/91440/000091205795001725/0000912057-95-001725-index.html,- -,- -,undefined,- -,- -,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/91440/000110465907012161/0001104659-07-012161-index.htm,https://www.sec.gov/Archives/edgar/data/91440/000110465908011401/0001104659-08-011401-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/91440/000110465909010323/0001104659-09-010323-index.htm,https://www.sec.gov/Archives/edgar/data/91440/000119312510033916/0001193125-10-033916-index.htm,https://www.sec.gov/Archives/edgar/data/91440/000119312512064510/0001193125-12-064510-index.htm,https://www.sec.gov/Archives/edgar/data/91440/000119312513058193/0001193125-13-058193-index.htm,https://www.sec.gov/Archives/edgar/data/91440/000119312514054235/0001193125-14-054235-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/91440/000119312515046309/0001193125-15-046309-index.htm,https://www.sec.gov/Archives/edgar/data/91440/000119312517036139/0001193125-17-036139-index.htm,https://www.sec.gov/Archives/edgar/data/91440/000119312518047130/0001193125-18-047130-index.htm,https://www.sec.gov/Archives/edgar/data/91440/000009144019000003/0000091440-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/91440/000009144020000004/0000091440-20-000004-index.html,undefined,https://www.sec.gov/Archives/edgar/data/91440/000009144021000005/0000091440-21-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,104700000,100800000,73200000,66000000,85800000,98300000,113300000,131500000,- -,150400000,-4800000,148500000,19000000,106000000,78700000,- -,92900000,100100000,181200000,- -,236700000,134200000,276300000,306100000,350300000,- -,421900000,546400000,557700000,679900000,693500000,- -,627000000
74,Depreciation and Amortization,- -,- -,- -,- -,21900000,24400000,25600000,29500000,32100000,29600000,31500000,31800000,- -,38400000,45000000,66200000,68000000,51700000,60300000,- -,52200000,51900000,75700000,- -,72000000,74600000,74600000,76700000,76700000,- -,79500000,85600000,93200000,94100000,92400000,- -,96700000
75,Deferred Income Tax,- -,- -,- -,- -,-2200000,-5600000,-7100000,-6000000,-8000000,-1100000,-10100000,8400000,- -,11800000,13100000,9700000,5400000,33500000,9900000,- -,14600000,-7300000,12300000,- -,46300000,4800000,5100000,29300000,9500000,- -,3200000,1300000,12300000,13700000,34200000,- -,-8200000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13000000,-3000000,20300000,32100000,38500000,- -,38100000,31000000,30300000,27200000,23800000,- -,19500000
77,Change in Working Capital,- -,- -,- -,- -,-63000000,- -,- -,- -,- -,635100000,-24500000,65300000,- -,-6700000,-47500000,-105200000,-58400000,-91400000,65900000,- -,48400000,-135600000,117000000,- -,45000000,343000000,62500000,132900000,1000000,- -,59100000,-224100000,31500000,338900000,168000000,- -,485200000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52400000,-36800000,-43400000,-42000000,- -,-57400000,-41000000,-55500000,-47700000,-15700000,- -,47900000
79,Inventory,- -,- -,- -,- -,2400000,-45000000,27300000,5900000,-35000000,32300000,-100000,-10500000,- -,-87500000,-28900000,9000000,18900000,25800000,60700000,- -,39500000,-22200000,15200000,- -,-52300000,98400000,-60900000,-13400000,-32000000,- -,-61100000,-32700000,-76000000,-38600000,-97000000,- -,34200000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-43700000,-7100000,-21500000,16600000,8400000,- -,-7000000,16300000,-2200000,27500000,-2600000,- -,17800000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,635100000,610600000,675900000,- -,669200000,621700000,648400000,590000000,498600000,564500000,- -,566800000,431200000,548200000,- -,593200000,936200000,946900000,1079800000,1080800000,- -,1139900000,894500000,926000000,1264900000,1432900000,- -,1918100000
82,Other Non-Cash Items,- -,- -,- -,- -,-200000,-80500000,40300000,10400000,-80500000,-654700000,62700000,-107300000,- -,1000000,69200000,71000000,129700000,124300000,-37800000,- -,13000000,194300000,-155100000,- -,-198000000,-206500000,-310300000,-247800000,-83400000,- -,-203900000,135900000,-116500000,-389300000,-337300000,- -,-211600000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,61200000,39100000,132000000,99900000,29400000,107200000,172900000,129700000,- -,194900000,75000000,190200000,163700000,224100000,177000000,- -,221100000,203400000,231100000,- -,215000000,347100000,128500000,329300000,392600000,- -,397900000,576100000,608500000,764500000,674600000,- -,1008600000
84,CAPEX,- -,- -,- -,- -,-72100000,-44400000,-23400000,-21100000,-33200000,-41800000,-31600000,-52300000,- -,-118400000,-126300000,-57600000,-53600000,-45800000,-29400000,- -,-40100000,-50500000,-61900000,- -,-73900000,-64400000,-61200000,-79400000,-70600000,- -,-80600000,-74300000,-82000000,-90900000,-99400000,- -,-65600000
