,https://roic.ai/company/D,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,224666667,278241758,284158416,291295681,297608696,305273973,312857143,322101449,331153846,340600000,347600000,356600000,370400000,389800000,382800000,470400000,501382488,561649485,636000000,657368421,684105960,698734177,651025641,578548896,593300000,581000000,573100000,572900000,578700000,582700000,592400000,628000000,636000000,681000000,838000000,806000000,810000000
28,Weighted Average Shares Outstanding Diluted,224666667,278241758,284158416,291295681,297608696,305273973,312857143,322101449,331153846,340600000,347600000,356600000,370400000,389800000,400000000,471800000,506046512,565145228,636000000,660846561,688666667,702290076,654381443,580379747,593700000,590100000,574600000,573900000,579500000,584500000,593700000,628000000,636000000,681000000,838000000,831000000,810000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/103682/000091664198000263/0000916641-98-000263-index.html,https://www.sec.gov/Archives/edgar/data/103682/000091664199000124/0000916641-99-000124-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/715957/000091664102000388/d10k.htm,https://www.sec.gov/Archives/edgar/data/103682/000092838503000726/0000928385-03-000726-index.html,https://www.sec.gov/Archives/edgar/data/103682/000119312504031558/0001193125-04-031558-index.html,https://www.sec.gov/Archives/edgar/data/103682/000119312505038710/0001193125-05-038710-index.html,https://www.sec.gov/Archives/edgar/data/715957/000119312506043336/d10k.htm,https://www.sec.gov/Archives/edgar/data/715957/000119312507042607/d10k.htm,https://www.sec.gov/Archives/edgar/data/715957/000119312508041046/d10k.htm,https://www.sec.gov/Archives/edgar/data/103682/000119312509039125/0001193125-09-039125-index.html,https://www.sec.gov/Archives/edgar/data/103682/000119312510042883/0001193125-10-042883-index.html,https://www.sec.gov/Archives/edgar/data/715957/000119312511049905/d10k.htm,https://www.sec.gov/Archives/edgar/data/103682/000119312512085811/0001193125-12-085811-index.html,https://www.sec.gov/Archives/edgar/data/103682/000119312513082933/0001193125-13-082933-index.html,https://www.sec.gov/Archives/edgar/data/715957/000119312514073496/d660169d10k.htm,https://www.sec.gov/Archives/edgar/data/715957/000119312515067777/d856078d10k.htm,https://www.sec.gov/Archives/edgar/data/103682/000119312516480850/0001193125-16-480850-index.html,https://www.sec.gov/Archives/edgar/data/103682/000119312517060413/0001193125-17-060413-index.html,https://www.sec.gov/Archives/edgar/data/103682/000119312518059578/0001193125-18-059578-index.html,https://www.sec.gov/Archives/edgar/data/103682/000119312519057924/0001193125-19-057924-index.html,https://www.sec.gov/Archives/edgar/data/103682/000119312520054469/0001193125-20-054469-index.html,https://www.sec.gov/Archives/edgar/data/715957/000156459021008442/0001564590-21-008442-index.htm,https://www.sec.gov/Archives/edgar/data/715957/000156459022006589/0001564590-22-006589-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,146700000,66700000,110800000,321600000,425600000,280000000,360000000,486000000,291000000,126000000,389000000,146000000,138000000,283000000,66000000,48000000,62000000,102000000,248000000,316000000,318000000,607000000,261000000,120000000,268000000,166000000,172000000,283000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1128000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,146700000,66700000,110800000,321600000,425600000,280000000,360000000,486000000,291000000,126000000,389000000,146000000,138000000,283000000,66000000,1176000000,62000000,102000000,248000000,316000000,318000000,607000000,261000000,120000000,268000000,166000000,172000000,283000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,383300000,646300000,692500000,1182700000,1034300000,933000000,2358000000,1947000000,3054000000,3919000000,2905000000,3561000000,2753000000,2356000000,2559000000,2180000000,2246000000,2035000000,1717000000,1836000000,1633000000,1369000000,1706000000,1786000000,2080000000,2645000000,2507000000,2568000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,309500000,231400000,225500000,230700000,237000000,254000000,327000000,577000000,637000000,870000000,893000000,1167000000,1101000000,1045000000,1166000000,1185000000,1163000000,1348000000,1259000000,1176000000,1410000000,1348000000,1524000000,1477000000,1418000000,1742000000,1550000000,1631000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,247000000,152300000,291700000,538000000,588400000,725000000,2821000000,2344000000,2843000000,2266000000,2935000000,5255000000,4106000000,2972000000,3870000000,2276000000,1929000000,1945000000,1916000000,2612000000,2254000000,867000000,757000000,951000000,1395000000,1535000000,2657000000,2787000000
