,https://roic.ai/company/PNRG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
23,Net Income,-600000,-1300000,-1200000,- -,1000000,1300000,600000,1200000,400000,600000,500000,900000,1000000,-1700000,-2138000,5365000,5413000,1757000,5702000,7275000,25955000,18300000,7590000,541000,-23679000,2753000,4811000,15056000,12271000,27046000,-12784000,3444000,41998000,14529000,3476000,-2363000
24,Net Income ratio,-0.1622,-0.6842,-0.6316,- -,0.1724,0.1340,0.0545,0.0710,0.0233,0.0353,0.0276,0.0390,0.0350,-0.0700,-0.0850,0.1383,0.1292,0.0497,0.1177,0.1165,0.3418,0.1980,0.0518,0.0032,-0.2631,0.0236,0.0400,0.1245,0.0981,0.1871,-0.1616,0.0607,0.4702,0.1230,0.0332,-0.0404
25,EPS,-0.25,-0.49,-0.34,0.01,0.15,0.17,0.09,0.18,0.06,0.09,0.09,0.17,0.22,-0.38,-0.48,1.26,1.39,0.47,1.56,2.04,7.64,5.52,2.39,0.18,-7.79,0.94,1.75,5.74,5.04,11.45,-5.53,1.50,18.99,6.96,1.72,-1.16
26,EPS Diluted,-0.25,-0.49,-0.34,0.01,0.15,0.17,0.09,0.18,0.06,0.09,0.09,0.17,0.19,-0.38,-0.48,1.08,1.18,0.40,1.31,1.70,6.27,4.50,1.93,0.14,-7.79,0.75,1.38,4.48,3.86,8.68,-5.53,1.13,14.18,5.11,1.25,-1.16
27,Weighted Average Shares Outstanding,2400000,2653061,5718000,5643000,6666667,7647059,6666667,6666667,6666667,6666667,5975903,5584542,4545455,4473684,4454167,4257937,3894245,3738298,3655128,3566176,3397251,3315217,3175732,3062159,3038313,2929275,2747732,2624335,2436821,2361134,2312810,2293688,2211985,2089055,2019502,1994425
28,Weighted Average Shares Outstanding Diluted,2400000,2653061,5718000,5643000,6666667,7647059,6666667,6666667,6666667,6666667,6250000,5714286,5263158,4473684,4454167,4967593,4587288,4392500,4352672,4279412,4139553,4066667,3932642,3815913,3038313,3662382,3479434,3359579,3182906,3115031,2312810,3045251,2962788,2844196,2780735,1994425
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/56868/000095013404004499/d13330e10vk.htm,https://www.sec.gov/Archives/edgar/data/56868/000095013405006966/d22569e10vk.htm,https://www.sec.gov/Archives/edgar/data/56868/000095013406006803/d34472e10vk.htm,https://www.sec.gov/Archives/edgar/data/56868/000095013407007227/0000950134-07-007227-index.html,https://www.sec.gov/Archives/edgar/data/56868/000119312508066797/d10k.htm,https://www.sec.gov/Archives/edgar/data/56868/000119312509072467/d10k.htm,https://www.sec.gov/Archives/edgar/data/56868/000119312510084459/d10k.htm,https://www.sec.gov/Archives/edgar/data/56868/000119312511091536/d10k.htm,https://www.sec.gov/Archives/edgar/data/56868/000119312512137874/0001193125-12-137874-index.html,https://www.sec.gov/Archives/edgar/data/56868/000119312513129339/0001193125-13-129339-index.html,https://www.sec.gov/Archives/edgar/data/56868/000119312514114674/d661890d10k.htm,https://www.sec.gov/Archives/edgar/data/56868/000119312515097009/d881399d10k.htm,https://www.sec.gov/Archives/edgar/data/56868/000119312516534116/d142048d10k.htm,https://www.sec.gov/Archives/edgar/data/56868/000119312517126669/d300492d10k.htm,https://www.sec.gov/Archives/edgar/data/56868/000119312518119903/d657100d10k.htm,https://www.sec.gov/Archives/edgar/data/56868/000119312519107681/d613643d10k.htm,https://www.sec.gov/Archives/edgar/data/56868/000119312520134616/d849013d10k.htm,https://www.sec.gov/Archives/edgar/data/56868/000119312521129649/0001193125-21-129649-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,300000,200000,100000,- -,1700000,2800000,600000,1100000,4800000,2200000,1000000,3300000,3000000,1200000,1771000,684000,85000,1886000,3891000,6476000,11119000,24653000,21313000,11808000,11779000,32792000,8661000,8602000,9526000,9209000,9750000,6568000,8438000,6315000,1015000,996000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,300000,200000,100000,- -,1700000,2800000,600000,1100000,4800000,2200000,1000000,3300000,3000000,1200000,1771000,684000,85000,1886000,3891000,6476000,11119000,24653000,21313000,11808000,11779000,32792000,8661000,8602000,9526000,9209000,9750000,6568000,8438000,6315000,1015000,996000
34,Net Receivables,800000,400000,300000,200000,3400000,3400000,4400000,2300000,2600000,2100000,2300000,5100000,7000000,2900000,3635000,10009000,3798000,8897000,7317000,8694000,16497000,33625000,20560000,18935000,13906000,12888000,16506000,13212000,17693000,12315000,9543000,7400000,16961000,14961000,14360000,7221000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3521000,3711000,4532000,1871000,700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,900000,2000000,800000,2700000,2100000,4300000,4600000,3400000,1200000,4400000,4986000,1529000,7442000,1620000,2486000,3153000,11251000,9882000,7938000,11114000,8092000,11373000,14336000,8638000,5456000,22281000,4862000,4115000,1232000,2458000,1024000,694000
37,Total Current Assets,1100000,600000,400000,200000,6000000,8200000,5800000,6100000,9500000,8600000,7900000,11800000,11200000,8500000,10392000,12222000,11325000,12403000,13694000,18323000,38867000,71681000,53522000,46389000,35648000,57753000,39503000,30452000,32675000,43805000,24155000,18083000,26631000,23734000,16399000,8911000
38,PP&E,4600000,4100000,3300000,3300000,7200000,7200000,11300000,10600000,10300000,12700000,12000000,20200000,22500000,19100000,19137000,22670000,24287000,32300000,44332000,51372000,70146000,219182000,241380000,220465000,181106000,149828000,144695000,196850000,208425000,220301000,202011000,196368000,219975000,230425000,212100000,191053000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,200000,200000,- -,100000,- -,600000,1000000,800000,700000,700000,800000,900000,1000000,1000000,946000,202000,204000,206000,229000,231000,370000,729000,1180000,976000,764000,579000,614000,784000,1822000,794000,629000,203000,159000,893000,866000,- -
45,Total Non-Current Assets,4800000,4300000,3300000,3400000,7200000,7800000,12300000,11400000,11000000,13400000,12800000,21100000,23500000,20100000,20083000,22872000,24491000,32506000,44561000,51603000,70516000,219911000,242560000,221441000,181870000,150407000,145309000,197634000,210247000,221095000,202640000,196571000,220134000,231318000,212966000,191053000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5900000,4900000,3700000,3600000,13200000,16000000,18100000,17500000,20500000,22000000,20700000,32900000,34700000,28600000,30475000,35094000,35816000,44909000,58255000,69926000,109383000,291592000,296082000,267830000,217518000,208160000,184812000,228086000,242922000,264900000,226795000,214654000,246765000,255052000,229365000,199964000
48,Accounts Payable,- -,- -,- -,- -,- -,2600000,2000000,3300000,2900000,3900000,2700000,5300000,6300000,6300000,7900000,6828000,5788000,6100000,8528000,9929000,15105000,42658000,26726000,26715000,21291000,34376000,29538000,3968000,1596000,3995000,3289000,3967000,14317000,1174000,261000,5217000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,100000,- -,- -,4000,854000,230000,824000,692000,12000,378000,- -,36015000,16970000,7000000,- -,- -,- -,1870000,2903000,3059000,2949000,2378000,698000,- -,38267000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,306000,978000,786000,390000,83000,67000,214000,205000,36367000
52,Other Current Liabilities,700000,500000,300000,900000,5000000,4500000,2500000,2700000,5600000,2000000,2500000,2500000,2600000,2100000,2420000,3712000,3163000,3284000,4437000,3828000,10038000,24782000,15856000,12558000,12097000,13280000,23930000,26121000,26034000,31006000,16240000,20209000,30408000,28376000,15126000,-65731000
53,Total Current Liabilities,700000,500000,300000,900000,5000000,7100000,4500000,6000000,8500000,5900000,5400000,7900000,8900000,8400000,10324000,11394000,9181000,10208000,13657000,13769000,25521000,67440000,78597000,56243000,40388000,47656000,53468000,30395000,30478000,38690000,22978000,27208000,47170000,30462000,15592000,14120000
54,Long-Term Debt,2200000,2500000,700000,- -,2500000,2000000,6200000,3900000,3800000,8300000,7900000,17600000,18900000,16500000,19200000,17200000,16950000,23700000,26613000,29900000,28050000,136460000,120050000,107170000,106955000,73100000,69800000,122000000,120023000,98490000,92581000,66316000,48459000,65547000,53500000,487000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,300000,300000,400000,100000,300000,300000,300000,200000,300000,100000,- -,511000,2314000,2592000,4237000,7630000,13860000,25367000,26930000,25688000,16635000,16445000,17914000,24194000,31962000,38191000,37883000,37500000,24962000,32828000,35924000,- -
57,Other Non-Current Liabilities,100000,- -,- -,- -,100000,- -,800000,300000,500000,-100000,- -,700000,- -,- -,17000,1013000,8000,34000,312000,390000,2216000,6314000,18907000,18796000,19754000,37872000,7877000,7295000,7321000,11269000,10452000,17750000,23735000,20212000,20986000,- -
58,Total Non-Current Liabilities,2300000,2500000,700000,- -,2900000,2300000,7400000,4300000,4600000,8500000,8200000,18500000,19200000,16600000,19217000,18724000,19272000,26326000,31162000,37920000,44126000,168141000,165887000,151654000,143344000,127417000,95591000,153489000,159306000,147950000,140916000,121566000,97156000,118587000,110410000,487000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88853000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34000,12000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,3000000,3000000,1000000,900000,7900000,9400000,11900000,10300000,13100000,14400000,13600000,26400000,28100000,25000000,29541000,30118000,28453000,36534000,44819000,51689000,69647000,235581000,244484000,207897000,183732000,175073000,149059000,183884000,189784000,186640000,163894000,148774000,144326000,149049000,126002000,102486000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,761000,761000,769000,769000,769000,769000,769000,769000,769000,769000,383000,383000,383000,383000,383000,383000,383000,383000,383000,281000,281000,281000
64,Retained Earnings,-4200000,-5500000,-6700000,-6600000,-5600000,-4300000,-3700000,-2500000,-2100000,-1500000,-1000000,-100000,1000000,-700000,-2859000,2506000,7919000,9676000,15378000,22653000,48608000,66908000,74498000,73426000,43725000,46478000,51289000,66345000,78616000,105662000,92878000,96322000,138320000,125644000,129120000,126804000
65,Other Comprehensive Income/Loss,-10800000,-10300000,-5700000,-6100000,-6700000,-7600000,-8800000,-11700000,-14000000,-16100000,-17800000,-21900000,-24900000,-29300000,-36742000,-42361000,-48039000,-52102000,-59160000,-66405000,-72695000,4000000,-4000000,1000000,-280713000,-323514000,-369251000,-165328000,-182351000,-203690000,-221037000,-248355000,-282836000,-311648000,-343171000,- -
66,Other Total Stockholders Equity,17900000,17700000,15100000,15400000,17600000,18500000,18700000,21400000,23500000,25200000,25900000,28500000,30500000,33600000,39774000,44070000,46714000,50032000,56449000,61220000,63054000,-16979000,-20982000,-25907000,260547000,300573000,344577000,135870000,148780000,167257000,183506000,210195000,239442000,287732000,313884000,-29961000
67,Total Stockholders Equity,2900000,1900000,2700000,2700000,5300000,6600000,6200000,7200000,7400000,7600000,7100000,6500000,6600000,3600000,934000,4976000,7363000,8375000,13436000,18237000,39736000,54698000,50285000,49288000,23942000,23920000,26998000,37270000,45428000,69612000,55730000,58545000,95309000,102009000,100114000,97124000
68,Total Liabilities And Stockholders Equity,5900000,4900000,3700000,3600000,13200000,16000000,18100000,17500000,20500000,22000000,20700000,32900000,34700000,28600000,30475000,35094000,35816000,44909000,58255000,69926000,109383000,290279000,294769000,257185000,207674000,198993000,176057000,221154000,235212000,256252000,219624000,207319000,239635000,251058000,226116000,199610000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1313000,1313000,10645000,9844000,9167000,8755000,6932000,7710000,8648000,7171000,7335000,7130000,3994000,3249000,354000
70,Total Liabilities & Equity,5900000,4900000,3700000,3600000,13200000,16000000,18100000,17500000,20500000,22000000,20700000,32900000,34700000,28600000,30475000,35094000,35816000,44909000,58255000,69926000,109383000,291592000,296082000,267830000,217518000,208160000,184812000,228086000,242922000,264900000,226795000,214654000,246765000,255052000,229365000,199964000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/56868/000095013404004499/d13330e10vk.htm,https://www.sec.gov/Archives/edgar/data/56868/000095013405006966/d22569e10vk.htm,https://www.sec.gov/Archives/edgar/data/56868/000095013406006803/d34472e10vk.htm,https://www.sec.gov/Archives/edgar/data/56868/000095013407007227/0000950134-07-007227-index.html,https://www.sec.gov/Archives/edgar/data/56868/000119312508066797/d10k.htm,https://www.sec.gov/Archives/edgar/data/56868/000119312509072467/d10k.htm,https://www.sec.gov/Archives/edgar/data/56868/000119312510084459/d10k.htm,https://www.sec.gov/Archives/edgar/data/56868/000119312511091536/d10k.htm,https://www.sec.gov/Archives/edgar/data/56868/000119312512137874/0001193125-12-137874-index.html,https://www.sec.gov/Archives/edgar/data/56868/000119312513129339/0001193125-13-129339-index.html,https://www.sec.gov/Archives/edgar/data/56868/000119312514114674/d661890d10k.htm,https://www.sec.gov/Archives/edgar/data/56868/000119312515097009/d881399d10k.htm,https://www.sec.gov/Archives/edgar/data/56868/000119312516534116/d142048d10k.htm,https://www.sec.gov/Archives/edgar/data/56868/000119312517126669/d300492d10k.htm,https://www.sec.gov/Archives/edgar/data/56868/000119312518119903/d657100d10k.htm,https://www.sec.gov/Archives/edgar/data/56868/000119312519107681/d613643d10k.htm,https://www.sec.gov/Archives/edgar/data/56868/000119312520134616/d849013d10k.htm,https://www.sec.gov/Archives/edgar/data/56868/000119312521129649/0001193125-21-129649-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-600000,-1300000,- -,- -,1000000,1300000,600000,1200000,400000,600000,500000,900000,1000000,-1700000,-2138000,5365000,5413000,1757000,5702000,7275000,25955000,18300000,7590000,541000,-23679000,2753000,4811000,15056000,12271000,27046000,-12784000,3444000,41998000,14529000,3476000,-2363000
74,Depreciation and Amortization,1100000,900000,- -,700000,600000,800000,1000000,3200000,2800000,2500000,3200000,5000000,6800000,7000000,5529000,6000000,5599000,5231000,7525000,12156000,11274000,14437000,64488000,- -,- -,- -,- -,23269000,21861000,25864000,31551000,30174000,36068000,37729000,36156000,28176000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-200000,- -,- -,- -,- -,- -,-100000,-39000,356000,1684000,243000,1580000,3358000,6230000,11557000,1030000,-1387000,-11972000,- -,718000,6970000,7014000,13237000,-6389000,147000,-12538000,7866000,3096000,443000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,-800000,1700000,100000,200000,-1200000,900000,1700000,-200000,1400000,-1600000,-2200000,-32000,760000,1316000,51000,-2158000,4517000,8792000,-9105000,-29316000,15221000,5114000,14837000,-24062000,14022000,2140000,2918000,-3938000,-10302000,-11414000,13811000,7535000,-6016000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3056000,6847000,1128000,-3758000,3294000,-4481000,5379000,2769000,2143000,-9561000,2000000,601000,7139000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3133000,331000,115000,2660000,1171000,338000,-2000,91000,24000,64000,61000,-9000,11000,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1551000,-2697000,12450000,-3849000,-9500000,-712000,534000,-3539000,-390000,12650000,-15063000,-2919000,-1417000
81,Other Working Capital,100000,100000,- -,-700000,1000000,1100000,1300000,100000,1000000,2700000,2500000,3900000,2300000,100000,68000,828000,2144000,2195000,37000,4554000,13346000,4241000,-25075000,-9854000,-4740000,10097000,-13965000,57000,2197000,5115000,1177000,-9125000,-20539000,-6728000,807000,-5209000
82,Other Non-Cash Items,-500000,400000,- -,100000,-3300000,-400000,-3500000,1900000,100000,-3100000,- -,-500000,2600000,2200000,4357000,-983000,-1699000,2362000,6973000,-311000,-33646000,-3207000,44373000,69365000,64597000,44621000,59872000,-19605000,-7586000,-12900000,12774000,-12458000,-14007000,-34869000,-23052000,-3861000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,1800000,-1700000,4900000,4200000,1700000,3500000,6800000,8800000,5200000,7677000,11498000,12313000,9644000,19622000,26995000,18605000,31982000,88165000,83740000,34060000,62211000,41339000,39712000,35700000,56165000,21214000,11005000,40107000,39066000,27211000,16379000
84,CAPEX,- -,- -,- -,- -,- -,-1900000,-5500000,-1600000,-3400000,-4500000,-3100000,-13400000,-9800000,-5800000,-9308000,-11632000,-8527000,-14442000,-19835000,-24696000,-54440000,-121345000,-106601000,-55515000,-18020000,-15203000,-39951000,-86305000,-33934000,-38758000,-14550000,-20843000,-59361000,-47073000,-18046000,-10523000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
