,https://roic.ai/company/ADSK,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
22,Income Tax expense (Gain),6500000,11300000,14500000,21500000,30000000,35200000,34500000,25900000,34600000,32500000,50500000,24900000,39600000,55900000,14112000,51540000,35169000,6562000,2880000,24820000,54100000,76800000,113800000,68900000,26700000,60000000,77600000,62600000,51100000,1200000,310200000,58300000,9600000,38100000,80300000,-661500000,67700000
23,Net Income,6500000,11600000,20500000,32700000,46400000,56800000,57800000,43900000,62200000,56600000,87800000,41600000,15400000,90600000,9808000,93233000,90313000,31904000,120316000,221508000,328900000,289700000,356200000,183600000,58000000,212000000,285300000,247400000,228800000,81800000,-330500000,-582100000,-566900000,-80800000,214500000,1208200000,497000000
24,Net Income ratio,0.2203,0.2214,0.2585,0.2788,0.2598,0.2388,0.2109,0.1243,0.1534,0.1245,0.1644,0.0838,0.0250,0.1224,0.0120,0.0996,0.0953,0.0387,0.1264,0.1795,0.2159,0.1575,0.1640,0.0793,0.0338,0.1086,0.1288,0.1070,0.1006,0.0326,-0.1320,-0.2866,-0.2756,-0.0314,0.0655,0.3188,0.1133
25,EPS,0.04,0.07,0.11,0.17,0.24,0.29,0.29,0.22,0.33,0.28,0.44,0.22,0.04,0.48,0.04,0.41,0.41,0.14,0.54,0.98,1.44,1.26,1.55,0.81,0.25,0.93,1.25,1.09,1.02,0.36,-1.44,-2.60,-2.58,-0.37,0.98,5.51,2.26
26,EPS Diluted,0.04,0.07,0.11,0.17,0.24,0.29,0.29,0.22,0.31,0.28,0.44,0.22,0.04,0.46,0.04,0.40,0.40,0.14,0.52,0.90,1.33,1.19,1.47,0.80,0.25,0.90,1.22,1.07,1.00,0.35,-1.44,-2.60,-2.58,-0.37,0.96,5.44,2.24
27,Weighted Average Shares Outstanding,152941176,165714286,182222222,192352941,193333333,197565217,199310345,199545455,191384615,199360000,199200000,188760000,374080000,186560000,241312000,228752000,217630000,226070000,222994000,227036000,229000000,230700000,230300000,225500000,228700000,227600000,227700000,226400000,224000000,227100000,226000000,222700000,219500000,218900000,219700000,219400000,219700000
28,Weighted Average Shares Outstanding Diluted,152941176,165714286,182222222,192352941,193333333,197565217,199310345,199545455,199040000,199360000,202836879,192432432,398880000,195640000,245624000,234056000,224550000,229550000,231304000,246977000,247500000,243200000,242000000,230100000,232100000,234200000,233300000,231700000,229600000,232400000,226000000,222700000,219500000,218900000,222500000,222100000,222000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/769397/000089843095000671/0000898430-95-000671-index.html,- -,https://www.sec.gov/Archives/edgar/data/769397/000092962497000492/0000929624-97-000492-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/769397/000101287001500493/0001012870-01-500493-index.html,https://www.sec.gov/Archives/edgar/data/769397/000089843002001691/0000898430-02-001691-index.html,https://www.sec.gov/Archives/edgar/data/769397/000119312503002078/d10k.htm,https://www.sec.gov/Archives/edgar/data/769397/000119312504059372/d10k.htm,https://www.sec.gov/Archives/edgar/data/769397/000119312505067261/d10k.htm,https://www.sec.gov/Archives/edgar/data/769397/000119312506068809/d10k.htm,https://www.sec.gov/Archives/edgar/data/769397/000119312507128970/d10k.htm,https://www.sec.gov/Archives/edgar/data/769397/000119312508068567/d10k.htm,https://www.sec.gov/Archives/edgar/data/769397/000119312509059920/0001193125-09-059920-index.html,https://www.sec.gov/Archives/edgar/data/769397/000119312510061070/0001193125-10-061070-index.html,https://www.sec.gov/Archives/edgar/data/769397/000119312511071209/d10k.htm,https://www.sec.gov/Archives/edgar/data/769397/000076939712000005/0000769397-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/769397/000076939713000007/0000769397-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/769397/000076939714000018/adsk-0131201410xk.htm,https://www.sec.gov/Archives/edgar/data/769397/000076939715000012/adsk-0131201510xk.htm,https://www.sec.gov/Archives/edgar/data/769397/000076939716000067/0000769397-16-000067-index.html,https://www.sec.gov/Archives/edgar/data/769397/000076939717000014/0000769397-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/769397/000076939718000011/0000769397-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/769397/000076939719000016/0000769397-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/769397/000076939720000013/0000769397-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/769397/000076939721000014/0000769397-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/769397/000076939722000019/0000769397-22-000019-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,16200000,24300000,96600000,107800000,59500000,52200000,73100000,73100000,85600000,195000000,129300000,64800000,96100000,209200000,108641000,116391000,136781000,186377000,282249000,517654000,287200000,665900000,917900000,917600000,838700000,1075100000,1156900000,1612200000,1853000000,1410600000,1353000000,1213100000,1078000000,886000000,1774700000,1772200000,1528400000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250290000,142961000,201030000,60643000,81275000,15038000,82200000,112000000,31400000,63500000,161900000,199200000,254400000,342100000,414100000,615800000,897900000,686800000,245200000,67600000,69000000,85000000,235700000
33,Cash and Short-Term Investments,16200000,24300000,96600000,107800000,59500000,52200000,73100000,73100000,85600000,195000000,129300000,64800000,96100000,209200000,358931000,259352000,337811000,247020000,363524000,532692000,369400000,777900000,949300000,981100000,1000600000,1274300000,1411300000,1954300000,2267100000,2026400000,2250900000,1899900000,1323200000,953600000,1843700000,1857200000,1764100000
34,Net Receivables,4900000,8100000,11400000,16400000,26400000,40400000,50500000,62700000,71200000,86300000,93900000,68600000,60900000,91800000,110839000,157422000,140465000,132803000,166816000,196827000,261400000,301300000,386500000,316500000,277400000,318400000,395100000,495100000,423700000,458900000,653600000,452300000,438200000,474300000,652300000,643100000,716100000
35,Inventory,700000,1100000,1700000,2400000,4000000,10600000,11200000,16800000,8800000,5800000,9700000,7300000,7400000,7600000,19264000,17255000,17999000,12284000,17365000,12545000,14200000,5500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1000000,2000000,3900000,6500000,55100000,84400000,112700000,96700000,114000000,86000000,114900000,169800000,143300000,141900000,56225000,57292000,67595000,57525000,49547000,39733000,93700000,105000000,146000000,90400000,101600000,121600000,89500000,103000000,144200000,186000000,88600000,108400000,116500000,192100000,163300000,198900000,283600000
37,Total Current Assets,22800000,35500000,113600000,133100000,145000000,187600000,247500000,249300000,279600000,373100000,347800000,310500000,307700000,450500000,545259000,491321000,563870000,449632000,597252000,781797000,738700000,1189700000,1481800000,1388000000,1379600000,1714300000,1895900000,2552400000,2835000000,2671300000,2993100000,2460600000,1877900000,1620000000,2659300000,2699200000,2763800000
38,PP&E,1600000,3500000,7500000,13400000,22000000,33200000,32200000,32100000,41900000,46500000,49000000,44100000,39100000,39700000,41884000,53996000,72820000,76122000,66474000,69566000,61400000,65600000,80200000,120600000,101600000,84500000,104500000,114900000,130300000,159200000,169300000,158600000,145000000,149700000,600500000,609500000,467000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,355300000,443400000,542500000,542900000,554100000,682400000,871500000,1009900000,1456200000,1535000000,1561100000,1620200000,2450800000,2445000000,2706500000,3603800000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000000,70300000,75489000,54273000,39987000,155945000,179472000,175947000,368000000,51300000,64400000,113300000,88000000,57200000,84600000,144200000,104300000,171900000,146800000,97500000,55200000,280800000,207100000,199300000,493800000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000000,70300000,75489000,54273000,39987000,155945000,179472000,175947000,368000000,406600000,507800000,655800000,630900000,611300000,767000000,1015700000,1114200000,1628100000,1681800000,1658600000,1675400000,2731600000,2652100000,2905800000,4097600000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125600000,192600000,192800000,411100000,277300000,273000000,532300000,306200000,190800000,- -,- -,- -,45400000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29459000,- -,- -,105061000,129200000,59800000,51300000,125700000,101900000,90700000,135800000,122800000,131100000,100000000,9200000,63900000,81700000,65300000,56400000,763100000,740700000
44,Other Non-Current Assets,300000,1300000,4400000,23400000,27300000,44400000,48300000,76900000,83400000,62500000,121100000,137600000,169900000,133400000,244694000,208169000,196308000,201951000,173962000,9833000,63500000,75800000,87800000,130600000,107600000,94200000,131800000,91500000,107100000,82200000,129600000,150200000,142800000,162600000,211000000,302200000,492300000
45,Total Non-Current Assets,1900000,4800000,11900000,36800000,49300000,77600000,80500000,109000000,125300000,109000000,170100000,181700000,226000000,243400000,362067000,316438000,338574000,434018000,419908000,360407000,622100000,607800000,727100000,1032700000,1067600000,1073300000,1331900000,1756000000,1760000000,2242500000,2522200000,2337500000,2235700000,3109200000,3520000000,4580600000,5843000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,24700000,40300000,125500000,169900000,194300000,265200000,328000000,358300000,404900000,482100000,517900000,492200000,533700000,693900000,907326000,807759000,902444000,883650000,1017160000,1142204000,1360800000,1797500000,2208900000,2420700000,2447200000,2787600000,3227800000,4308400000,4595000000,4913800000,5515300000,4798100000,4113600000,4729200000,6179300000,7279800000,8606800000
48,Accounts Payable,- -,- -,- -,- -,6600000,8400000,8300000,18900000,17200000,21500000,24500000,24600000,26400000,27400000,45310000,47962000,53769000,45122000,52307000,46234000,56400000,61000000,79300000,62400000,67800000,76800000,89300000,94200000,84500000,100500000,119900000,93500000,94700000,101600000,83700000,122500000,120800000
49,Short-Term Debt,100000,1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52100000,- -,- -,- -,- -,- -,- -,- -,398700000,- -,- -,497800000,71400000,436300000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8400000,28600000,14400000,13900000,24300000,28200000,29400000,50000000,28000000,13200000,21200000,42600000,29700000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65474000,93241000,127276000,178701000,249800000,311400000,400700000,438800000,444600000,496200000,582300000,647000000,696200000,900800000,1068900000,1270100000,1551600000,1763300000,2176100000,2500900000,2863300000
52,Other Current Liabilities,3000000,4000000,8900000,18600000,24500000,35400000,48700000,65200000,85100000,133500000,119800000,125600000,173100000,204200000,254082000,285951000,251408000,171665000,205339000,252533000,200700000,201800000,266500000,246800000,191600000,296800000,282500000,302500000,290800000,398800000,402200000,423100000,476900000,436300000,461600000,559900000,589000000
53,Total Current Liabilities,3100000,5500000,8900000,18600000,31100000,43800000,57000000,84100000,102300000,155000000,144300000,150200000,199500000,231600000,299392000,333913000,370651000,310028000,384922000,477468000,506900000,574200000,746500000,800100000,704000000,869800000,954100000,1043700000,1071500000,1400100000,1591000000,2185400000,2123200000,2301200000,3219200000,3254700000,4009400000
54,Long-Term Debt,200000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127200000,- -,- -,745600000,746400000,747200000,1487700000,1092000000,1586000000,2087700000,1635100000,2033200000,2623700000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71900000,91700000,136900000,187600000,204400000,256300000,450300000,517900000,403500000,328100000,831000000,859300000,926500000
56,Deferred Tax Liabilities,100000,- -,1500000,3100000,3600000,2800000,3500000,5600000,5100000,2600000,1900000,3000000,500000,400000,4380000,- -,- -,1678000,7849000,- -,- -,- -,- -,22700000,- -,- -,- -,- -,- -,- -,67700000,91500000,66600000,79800000,82500000,11400000,29400000
57,Other Non-Current Liabilities,100000,700000,300000,500000,500000,300000,200000,800000,600000,1000000,29400000,95400000,30600000,1700000,1255000,1208000,2479000,2736000,2746000,16658000,62600000,108300000,231900000,287200000,70600000,216800000,253900000,288300000,311200000,291000000,299000000,177700000,190300000,143300000,550600000,155700000,168700000
58,Total Non-Current Liabilities,400000,800000,1800000,3600000,4100000,3100000,3700000,6400000,5700000,3600000,31300000,98400000,31100000,2100000,5635000,1208000,2479000,4414000,10595000,16658000,62600000,108300000,231900000,309900000,269700000,308500000,390800000,1221500000,1262000000,1294500000,2304700000,1879100000,2246400000,2638900000,3099200000,3059600000,3748300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,459800000,467400000,432400000
61,Total Liabilities,3500000,6300000,10700000,22200000,35200000,46900000,60700000,90500000,108000000,158600000,175600000,248600000,230600000,233700000,305027000,335121000,373130000,314442000,395517000,494126000,569500000,682500000,978400000,1110000000,973700000,1178300000,1344900000,2265200000,2333500000,2694600000,3895700000,4064500000,4369600000,4940100000,6318400000,6314300000,7757700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,561814000,424652000,458135000,479874000,473673000,625225000,737700000,908300000,998300000,1080400000,1204300000,1267200000,1365400000,1449800000,1637300000,1773100000,1821500000,1876300000,1952700000,2071500000,2317000000,2578900000,2923100000
64,Retained Earnings,8300000,19900000,40100000,72800000,80500000,127500000,173900000,206300000,257100000,215100000,191100000,106600000,20500000,108000000,56645000,52298000,91864000,103087000,153175000,25965000,31100000,210300000,218400000,241500000,272700000,342700000,511600000,599100000,624800000,499400000,-80800000,-964200000,-2084900000,-2147400000,-2295800000,-1487500000,-1950000000
65,Other Comprehensive Income/Loss,-500000,-1400000,-3900000,-7200000,-12600000,-22400000,-31200000,-39200000,-51000000,-65100000,-78800000,-77700000,-98800000,-99700000,-123367000,-144325000,-157400000,-13753000,-5205000,-3112000,-13500000,-3600000,13800000,-11200000,-3500000,-600000,5900000,-5700000,-600000,-53300000,-121100000,-178500000,-123800000,-135000000,-160300000,-125900000,-124000000
66,Other Total Stockholders Equity,13400000,15500000,78600000,82100000,91200000,113200000,124600000,100700000,90800000,173500000,230000000,214700000,381400000,451900000,107207000,140013000,136715000,- -,- -,- -,36000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,21200000,34000000,114800000,147700000,159100000,218300000,267300000,267800000,296900000,323500000,342300000,243600000,303100000,460200000,602299000,472638000,529314000,569208000,621643000,648078000,791300000,1115000000,1230500000,1310700000,1473500000,1609300000,1882900000,2043200000,2261500000,2219200000,1619600000,733600000,-256000000,-210900000,-139100000,965500000,849100000
68,Total Liabilities And Stockholders Equity,24700000,40300000,125500000,169900000,194300000,265200000,328000000,358300000,404900000,482100000,517900000,492200000,533700000,693900000,907326000,807759000,902444000,883650000,1017160000,1142204000,1360800000,1797500000,2208900000,2420700000,2447200000,2787600000,3227800000,4308400000,4595000000,4913800000,5515300000,4798100000,4113600000,4729200000,6179300000,7279800000,8606800000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,24700000,40300000,125500000,169900000,194300000,265200000,328000000,358300000,404900000,482100000,517900000,492200000,533700000,693900000,907326000,807759000,902444000,883650000,1017160000,1142204000,1360800000,1797500000,2208900000,2420700000,2447200000,2787600000,3227800000,4308400000,4595000000,4913800000,5515300000,4798100000,4113600000,4729200000,6179300000,7279800000,8606800000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/769397/000089843095000671/0000898430-95-000671-index.html,- -,https://www.sec.gov/Archives/edgar/data/769397/000092962497000492/0000929624-97-000492-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/769397/000101287001500493/0001012870-01-500493-index.html,https://www.sec.gov/Archives/edgar/data/769397/000089843002001691/0000898430-02-001691-index.html,https://www.sec.gov/Archives/edgar/data/769397/000119312503002078/d10k.htm,https://www.sec.gov/Archives/edgar/data/769397/000119312504059372/d10k.htm,https://www.sec.gov/Archives/edgar/data/769397/000119312505067261/d10k.htm,https://www.sec.gov/Archives/edgar/data/769397/000119312506068809/d10k.htm,https://www.sec.gov/Archives/edgar/data/769397/000119312507128970/d10k.htm,https://www.sec.gov/Archives/edgar/data/769397/000119312508068567/d10k.htm,https://www.sec.gov/Archives/edgar/data/769397/000119312509059920/0001193125-09-059920-index.html,https://www.sec.gov/Archives/edgar/data/769397/000119312510061070/0001193125-10-061070-index.html,https://www.sec.gov/Archives/edgar/data/769397/000119312511071209/d10k.htm,https://www.sec.gov/Archives/edgar/data/769397/000076939712000005/0000769397-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/769397/000076939713000007/0000769397-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/769397/000076939714000018/adsk-0131201410xk.htm,https://www.sec.gov/Archives/edgar/data/769397/000076939715000012/adsk-0131201510xk.htm,https://www.sec.gov/Archives/edgar/data/769397/000076939716000067/0000769397-16-000067-index.html,https://www.sec.gov/Archives/edgar/data/769397/000076939717000014/0000769397-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/769397/000076939718000011/0000769397-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/769397/000076939719000016/0000769397-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/769397/000076939720000013/0000769397-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/769397/000076939721000014/0000769397-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/769397/000076939722000019/0000769397-22-000019-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,46400000,56800000,57800000,43900000,62200000,56600000,87800000,41600000,15400000,90600000,9808000,93233000,90313000,31904000,120316000,221508000,328900000,289700000,356200000,183600000,58000000,212000000,285300000,247400000,228800000,81800000,-330500000,-582100000,-566900000,-80800000,214500000,1208200000,497000000
74,Depreciation and Amortization,- -,- -,- -,- -,7900000,13500000,14800000,16400000,20600000,25000000,25200000,34800000,43900000,63200000,79748000,68844000,62907000,48844000,50292000,51949000,43700000,53500000,61300000,91800000,111500000,105400000,115500000,127800000,128900000,145900000,145800000,139200000,108400000,95200000,127300000,123800000,148100000
75,Deferred Income Tax,- -,- -,- -,- -,-500000,-300000,-500000,-2900000,-9100000,-18300000,-4600000,-800000,-10900000,9500000,-21264000,- -,7789000,38990000,9684000,-101727000,- -,40100000,56500000,-13800000,- -,- -,- -,-28300000,-49400000,-18800000,235900000,-38800000,-39100000,-6800000,10300000,-778600000,-7800000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93600000,80700000,108800000,156300000,132200000,165600000,197200000,221800000,261400000,249500000,362400000,398400000,555400000
