,https://roic.ai/company/CHH,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,- -,121333333,119096000,111334000,106506000,89144000,80114000,73348000,69000000,66336000,67050000,65331000,62521000,60224000,59689444,59525000,58265000,58953403,58647619,57670721,56654878,56877723,56935526,55999497,55842222,55905000
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1046311/000102140899000563/0001021408-99-000563-index.html,https://www.sec.gov/Archives/edgar/data/1046311/000092838500001015/0000928385-00-001015-index.html,https://www.sec.gov/Archives/edgar/data/1046311/000092838501000963/0000928385-01-000963-index.html,https://www.sec.gov/Archives/edgar/data/1046311/000092838502001060/0000928385-02-001060-index.html,https://www.sec.gov/Archives/edgar/data/1046311/000092838503000978/0000928385-03-000978-index.html,https://www.sec.gov/Archives/edgar/data/1046311/000119312504041968/0001193125-04-041968-index.html,https://www.sec.gov/Archives/edgar/data/1046311/000119312505052330/0001193125-05-052330-index.html,https://www.sec.gov/Archives/edgar/data/1046311/000119312506056437/d10k.htm,https://www.sec.gov/Archives/edgar/data/1046311/000119312507044134/d10k.htm,https://www.sec.gov/Archives/edgar/data/1046311/000119312508043514/d10k.htm,https://www.sec.gov/Archives/edgar/data/1046311/000119312509042353/0001193125-09-042353-index.html,https://www.sec.gov/Archives/edgar/data/1046311/000119312510044350/0001193125-10-044350-index.html,https://www.sec.gov/Archives/edgar/data/1046311/000119312511051437/d10k.htm,https://www.sec.gov/Archives/edgar/data/1046311/000104631112000007/0001046311-12-000007-index.html,https://www.sec.gov/Archives/edgar/data/1046311/000104631113000003/0001046311-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/1046311/000104631114000004/chh1231201310-k.htm,https://www.sec.gov/Archives/edgar/data/1046311/000104631115000003/chh1231201410-k.htm,https://www.sec.gov/Archives/edgar/data/1046311/000104631116000023/0001046311-16-000023-index.html,https://www.sec.gov/Archives/edgar/data/1046311/000104631117000006/0001046311-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1046311/000104631118000006/0001046311-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1046311/000104631119000011/0001046311-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1046311/000104631120000011/0001046311-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1046311/000104631121000014/0001046311-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1046311/000104631122000009/0001046311-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,1700000,11900000,19701000,16871000,12227000,20031000,27554000,16921000,35841000,46377000,52680000,67870000,91259000,107057000,134177000,167795000,214879000,193441000,202463000,235336000,26642000,33766000,234779000,511605000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12094000,3486000,400000,214000,- -,- -,- -,- -,- -,29104000,- -
33,Cash and Short-Term Investments,- -,- -,1700000,11900000,19701000,16871000,12227000,20031000,27554000,16921000,35841000,46377000,52680000,67870000,91259000,119151000,137663000,168195000,215093000,193441000,202463000,235336000,26642000,33766000,263883000,511605000
34,Net Receivables,- -,- -,33500000,30000000,32385000,26112000,32451000,33623000,34611000,37155000,41694000,45997000,46322000,41898000,47638000,56116000,69417000,66337000,97100000,99945000,115525000,139356000,184899000,178096000,178155000,220111000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,500000,- -,- -,- -,3349000,4923000,6464000,8924000,9547000,13577000,21214000,18094000,24685000,19529000,26390000,24114000,39221000,17567000,26885000,28241000,32243000,24727000,-9124000,29945000
37,Total Current Assets,- -,- -,35700000,41900000,52086000,42983000,48027000,58577000,68629000,63000000,87082000,105951000,120216000,127862000,163582000,194796000,233470000,258646000,351414000,310953000,344873000,402933000,243784000,236589000,432914000,761661000
38,PP&E,- -,- -,32800000,58300000,72946000,70458000,64650000,54253000,47492000,46281000,42802000,43887000,45291000,43627000,55662000,51992000,51651000,76189000,81320000,98364000,113084000,102658000,157178000,405290000,372892000,431853000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65813000,65813000,65813000,65813000,66041000,66005000,65813000,65813000,65813000,79327000,78905000,80757000,168996000,159196000,159196000,159196000
40,Intangible Assets,- -,- -,111700000,107800000,101826000,96877000,96956000,96003000,92722000,104095000,35509000,31979000,27763000,24559000,20825000,17255000,13473000,9953000,8912000,11948000,15738000,14672000,271188000,290421000,303725000,312389000
41,Intangible Assets,- -,- -,111700000,107800000,101826000,96877000,96956000,96003000,92722000,104095000,101322000,97792000,93576000,90372000,86866000,83260000,79286000,75766000,74725000,91275000,94643000,95429000,440184000,449617000,462921000,471585000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,23000000,32000000,33000000,25360000,20931000,23365000,16016000,40208000,48207000,68144000,84711000,111814000,155064000,128414000,103633000,86983000,61913000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3289000,22451000,29205000,20323000,14143000,24435000,22665000,15418000,20282000,20546000,42434000,52812000,13335000,30613000,20747000,67745000,68643000
44,Other Non-Current Assets,- -,- -,218000000,256700000,257262000,110860000,104749000,58439000,53545000,25435000,17652000,18549000,23453000,43102000,57812000,78960000,90739000,60809000,51121000,89273000,135242000,158188000,138197000,170796000,163878000,136169000
45,Total Non-Current Assets,- -,- -,362500000,422800000,432034000,278195000,266355000,208695000,193759000,202100000,216227000,222433000,208003000,212175000,248140000,252893000,277302000,281253000,295856000,406057000,507595000,524674000,894586000,1150083000,1154419000,1170163000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,398200000,464700000,484120000,321178000,314382000,267272000,262388000,265100000,303309000,328384000,328219000,340037000,411722000,447689000,510772000,539899000,647270000,717010000,852468000,927607000,1138370000,1386672000,1587333000,1931824000
48,Accounts Payable,- -,- -,16200000,21400000,15964000,24724000,23142000,29740000,30718000,34413000,41816000,55288000,41648000,33859000,41168000,38389000,38714000,41663000,57124000,64431000,48071000,63540000,73511000,73449000,83329000,81169000
49,Short-Term Debt,- -,- -,22600000,44600000,50046000,13563000,23796000,23829000,10146000,146000,146000,- -,- -,- -,620000,673000,8195000,10088000,12349000,1191000,1195000,1232000,1097000,17610000,10603000,228349000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1206000,6310000,5778000,1108000,- -,2282000,85000,159000,796000,2776000,- -,- -,7041000,125000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,32131000,47167000,48660000,47004000,51765000,67322000,68825000,71154000,61188000,66382000,71587000,133218000,141111000,67614000,71594000,50290000,81538000
52,Other Current Liabilities,- -,- -,19700000,23700000,27818000,32890000,38565000,47281000,60227000,53455000,50662000,43568000,46415000,46182000,56148000,76678000,58074000,61399000,64243000,70807000,81184000,88614000,176217000,163235000,111625000,179239000
53,Total Current Liabilities,- -,- -,58500000,89700000,93828000,71177000,85503000,100850000,101091000,120145000,139791000,147516000,135067000,131806000,165258000,184565000,176137000,174338000,200098000,208016000,263668000,294497000,318439000,325888000,255847000,570295000
54,Long-Term Debt,- -,- -,256600000,262700000,247179000,267733000,283995000,222823000,318557000,273972000,172390000,272378000,284400000,277700000,251554000,252032000,847150000,783471000,782082000,812945000,839409000,725292000,753514000,844102000,1058738000,879615000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1411000,1633000,48592000,43747000,15196000,23230000,110278000,112662000,122406000,105785000
56,Deferred Tax Liabilities,- -,- -,26700000,46700000,53020000,46807000,58683000,21562000,6974000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,506000,292000,39000,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,-100000,- -,- -,- -,- -,40224000,38819000,38159000,53508000,65551000,46422000,44743000,52981000,36653000,34978000,44702000,45299000,47695000,45252000,96651000,139911000,127531000,156094000,110247000
58,Total Non-Current Liabilities,- -,- -,283200000,309400000,300199000,314540000,342678000,284609000,364350000,312131000,225898000,337929000,330822000,322443000,304535000,288685000,883539000,829806000,875973000,904893000,900149000,845212000,1003703000,1084295000,1337238000,1095647000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31369000,23342000,47490000
61,Total Liabilities,- -,- -,341700000,399100000,394027000,385717000,428181000,385459000,465441000,432276000,365689000,485445000,465889000,454249000,469793000,473250000,1059676000,1004144000,1076071000,1112909000,1163817000,1139709000,1322142000,1410183000,1593085000,1665942000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,600000,526000,420000,371000,347000,323000,652000,664000,621000,607000,595000,596000,583000,582000,586000,573000,951000,951000,951000,951000,951000,951000,951000
64,Retained Earnings,- -,- -,64600000,121700000,164848000,179175000,240019000,304983000,351267000,407422000,483350000,553839000,610240000,664431000,728057000,794947000,272260000,341649000,432399000,514897000,607560000,673771000,795178000,968833000,1024500000,1275220000
65,Other Comprehensive Income/Loss,- -,- -,-11900000,-23900000,-38008000,-54878000,-3450000,-1503000,-6634000,-11569000,-772000,346000,-3472000,333000,-7192000,-6801000,-4216000,-6217000,-6971000,-8778000,-8522000,-4699000,-5446000,-4550000,-4646000,-4574000
66,Other Total Stockholders Equity,- -,- -,3800000,- -,- -,- -,-350739000,-422014000,-548009000,-563681000,-545622000,-711867000,-745045000,-779571000,-779532000,-814290000,-817530000,-800263000,-854802000,-902969000,-911338000,-882125000,-974455000,-988745000,-1026557000,- -
67,Total Stockholders Equity,- -,- -,56500000,65600000,90093000,-64539000,-113799000,-118187000,-203053000,-167176000,-62380000,-157061000,-137670000,-114212000,-58071000,-25561000,-548904000,-464245000,-428801000,-395899000,-311349000,-212102000,-183772000,-23511000,-5752000,265882000
68,Total Liabilities And Stockholders Equity,- -,- -,398200000,464700000,484120000,321178000,314382000,267272000,262388000,265100000,303309000,328384000,328219000,340037000,411722000,447689000,510772000,539899000,647270000,717010000,852468000,927607000,1138370000,1386672000,1587333000,1931824000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,398200000,464700000,484120000,321178000,314382000,267272000,262388000,265100000,303309000,328384000,328219000,340037000,411722000,447689000,510772000,539899000,647270000,717010000,852468000,927607000,1138370000,1386672000,1587333000,1931824000
71,SEC Link,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1046311/000102140899000563/0001021408-99-000563-index.html,https://www.sec.gov/Archives/edgar/data/1046311/000092838500001015/0000928385-00-001015-index.html,https://www.sec.gov/Archives/edgar/data/1046311/000092838501000963/0000928385-01-000963-index.html,https://www.sec.gov/Archives/edgar/data/1046311/000092838502001060/0000928385-02-001060-index.html,https://www.sec.gov/Archives/edgar/data/1046311/000092838503000978/0000928385-03-000978-index.html,https://www.sec.gov/Archives/edgar/data/1046311/000119312504041968/0001193125-04-041968-index.html,https://www.sec.gov/Archives/edgar/data/1046311/000119312505052330/0001193125-05-052330-index.html,https://www.sec.gov/Archives/edgar/data/1046311/000119312506056437/d10k.htm,https://www.sec.gov/Archives/edgar/data/1046311/000119312507044134/d10k.htm,https://www.sec.gov/Archives/edgar/data/1046311/000119312508043514/d10k.htm,https://www.sec.gov/Archives/edgar/data/1046311/000119312509042353/0001193125-09-042353-index.html,https://www.sec.gov/Archives/edgar/data/1046311/000119312510044350/0001193125-10-044350-index.html,https://www.sec.gov/Archives/edgar/data/1046311/000119312511051437/d10k.htm,https://www.sec.gov/Archives/edgar/data/1046311/000104631112000007/0001046311-12-000007-index.html,https://www.sec.gov/Archives/edgar/data/1046311/000104631113000003/0001046311-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/1046311/000104631114000004/chh1231201310-k.htm,https://www.sec.gov/Archives/edgar/data/1046311/000104631115000003/chh1231201410-k.htm,https://www.sec.gov/Archives/edgar/data/1046311/000104631116000023/0001046311-16-000023-index.html,https://www.sec.gov/Archives/edgar/data/1046311/000104631117000006/0001046311-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1046311/000104631118000006/0001046311-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1046311/000104631119000011/0001046311-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1046311/000104631120000011/0001046311-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1046311/000104631121000014/0001046311-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1046311/000104631122000009/0001046311-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,27300000,55300000,57200000,42445000,14327000,60844000,71863000,74345000,87565000,112787000,111301000,100211000,98250000,107441000,110396000,120687000,112601000,123160000,128029000,139371000,114893000,216355000,222878000,75387000,288957000
74,Depreciation and Amortization,- -,6200000,12500000,17600000,12104000,12452000,11251000,11225000,9947000,9051000,9705000,8637000,8184000,8336000,8342000,8024000,8226000,9469000,9365000,11542000,11705000,12431000,14330000,18828000,25831000,24773000
75,Deferred Income Tax,- -,-4800000,14900000,10200000,11018000,-5807000,12881000,255000,-14883000,-13318000,-17214000,-7651000,- -,- -,- -,- -,-540000,-8024000,-22899000,615000,-10542000,39320000,-3510000,9810000,-44826000,-1006000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10914000,13761000,9304000,14511000,12375000,11271000,9706000,11805000,15458000,23340000,15986000,17615000,9690000,35731000
77,Change in Working Capital,- -,- -,-22800000,-25000000,6058000,13548000,-9282000,-4797000,9811000,-24683000,4436000,11144000,26714000,10907000,2268000,11907000,47102000,26975000,67008000,-48379000,-21732000,27231000,-183091000,-14644000,266366000,23240000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25074000,-6730000,-14250000,401000,-21919000,-23126000,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13138000,-8279000,5744000,-1851000,11000,2304000,9636000,6493000,-13689000,12455000,- -,- -,- -,- -
81,Other Working Capital,- -,- -,-22800000,-47800000,-41742000,-28194000,-37476000,-42273000,-32462000,-57145000,-52709000,-41565000,-14851000,-3944000,-1676000,10231000,57333000,84308000,151316000,102937000,81205000,108436000,-74655000,-89299000,177067000,- -
82,Other Non-Cash Items,- -,4900000,-15800000,19500000,-4001000,67192000,23343000,36939000,28579000,74292000,44214000,22704000,-41624000,-19038000,17580000,-9994000,-26830000,-252000,-2449000,56260000,17775000,40159000,182826000,16069000,-222387000,12001000
83,Cash Provided by Operating Activities,- -,33600000,44100000,79500000,67624000,101712000,99037000,115485000,107799000,132907000,153928000,146135000,104399000,112216000,144935000,134844000,161020000,152040000,183891000,159872000,152035000,257374000,242896000,270556000,110061000,383696000
84,CAPEX,- -,-7300000,-12300000,-30600000,-16590000,-13532000,-12233000,-8480000,-6859000,-11504000,-7707000,-11963000,-12611000,-11135000,-24368000,-10924000,-15443000,-31524000,-20946000,-27765000,-27771000,-25954000,-49476000,-64041000,-34962000,-77867000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-1211000,- -,-7314000,-826000,-343000,- -,- -,-466000,- -,-20285000,-5685000,-17789000,-37006000,-64585000,-50554000,-240921000,-29674000,1981000,-2778000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-4157000,-8929000,-10515000,-8686000,-15212000,-5849000,-13734000,-19368000,-1697000,-2676000,-2794000,-3220000,-1661000,-2447000,-2895000,-3175000,-2562000,-1705000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,3539000,3728000,6049000,8253000,14219000,6732000,5398000,11223000,4168000,964000,3170000,1911000,2245000,2825000,2217000,2478000,2609000
88,Other Investing Activites,- -,-142400000,-1900000,-19900000,-13772000,101270000,-2469000,37475000,-2700000,358000,-2011000,-6317000,-695000,-584000,-319000,1090000,-31797000,8168000,22919000,-34989000,-8941000,-15922000,-32588000,-163193000,7227000,-2758000
89,Cash Used for Investing Activites,- -,-149700000,-14200000,-50500000,-30362000,87738000,-14702000,27784000,-13716000,-23850000,-17331000,-21260000,-20265000,-3349000,-32155000,-23804000,-57999000,-27549000,-17646000,-99810000,-98467000,-90115000,-321252000,-251167000,-24479000,-78926000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000000,-6700000,-277525000,-497000,-4422000,-65204000,-10108000,-130501000,-988000,-115663000,-603000,-329209000,-506684000,- -
91,Common Stock Issued,- -,- -,4900000,5100000,1739000,12294000,5772000,6097000,8427000,14213000,8498000,5749000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-200000,-54000000,-53200000,-20893000,-185807000,-120931000,-80358000,-148273000,-49154000,-1365000,-185935000,-63732000,-59128000,-11212000,-53617000,-22586000,-3965000,-77972000,-72873000,-35926000,-9807000,-148679000,-50638000,-55450000,-13365000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-27690000,-30241000,-35386000,-40139000,-43142000,-44274000,-43808000,-43747000,-654092000,-32799000,-43529000,-45214000,-46182000,-48651000,-48715000,-48089000,-25274000,-25044000
94,Other Financing Activites,- -,122400000,10600000,29200000,-10257000,-18767000,26180000,-61204000,80976000,-55472000,-89424000,105986000,131161000,14992000,241352000,2791000,604390000,13684000,14069000,169137000,39012000,38344000,68580000,415441000,702806000,10689000
95,Cash Used/Provided by Financing Activities,- -,122200000,-38500000,-18900000,-29411000,-192280000,-88979000,-135465000,-86560000,-120654000,-117677000,-114339000,-75713000,-95110000,-91193000,-95070000,-76710000,-88284000,-117540000,-79451000,-44084000,-135777000,-129417000,-12495000,115398000,-27720000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2118000,1433000,1802000,-172000,809000,-2589000,-1621000,-2049000,-462000,1391000,-921000,230000,33000,-224000
97,Net Change In Cash,- -,122200000,-38500000,10200000,7851000,-2830000,-4644000,7804000,7523000,-11597000,18920000,10536000,6303000,15190000,23389000,15798000,27120000,33618000,47084000,-21438000,9022000,32873000,-208694000,7124000,201013000,276826000
98,Cash at the End of Period,- -,- -,- -,11900000,19701000,16871000,12227000,20031000,27554000,16921000,35841000,46377000,52680000,67870000,91259000,107057000,134177000,167795000,214879000,193441000,202463000,235336000,26642000,33766000,234779000,511605000
99,Cash at the Beginning of Period,- -,4200000,10300000,1700000,11850000,19701000,16871000,12227000,20031000,28518000,16921000,35841000,46377000,52680000,67870000,91259000,107057000,134177000,167795000,214879000,193441000,202463000,235336000,26642000,33766000,234779000
100,Free Cash Flow,- -,26300000,31800000,48900000,51034000,88180000,86804000,107005000,100940000,121403000,146221000,134172000,91788000,101081000,120567000,123920000,145577000,120516000,162945000,132107000,124264000,231420000,193420000,206515000,75099000,305829000
