,https://roic.ai/company/NRC,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,2300000,5097000,5978000,9000000,11400000,14600000,16100000,14991508,14961465,15968413,19957000,22281447,24021000,33863598,37557336,39024644,43995000,49541000,57032000,63702000,67784000,70541000,75896000,78187000,83340000,84411000,84947000,91133000,97684000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41841,2000,6000,13000,32000,63000,83000,60000,47000,96000,62000,37000,18000,14000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138901,405000,491000,629000,541000,397000,305000,220000,190000,82000,1513000,2091000,1813000,1667000
14,Depreciation and Amortization,50000,86000,119000,200000,200000,400000,800000,1269535,1916740,1674856,1941000,2017621,1762000,2259669,2582866,2685641,3831000,4704000,5065000,4699000,3732000,3804000,4109000,4225000,4586000,5463000,5539000,7505000,6374000
15,EBITDA,564000,1676000,3166000,4000000,3800000,1200000,3000000,5125686,4540695,7836202,8857000,9300477,10276000,11765424,13700250,14807107,17353000,18510000,23854000,27447000,28617000,32201000,31689000,35771000,38951000,41685000,48149000,50785000,56662000
16,EBITDA ratio,0.2006,0.2481,0.3551,0.3175,0.2331,0.0678,0.1648,0.2798,0.2569,0.3500,0.3290,0.3133,0.3168,0.2688,0.2800,0.2903,0.3008,0.2920,0.3148,0.3176,0.3091,0.3258,0.3096,0.3270,0.3313,0.3483,0.3762,0.3810,0.3830
17,Operating Income,511000,1658000,2939000,3600000,4900000,3100000,2100000,3324608,2712523,6418988,6965000,7401644,8415000,9907857,11365548,11988773,13697000,13857000,18735000,22719000,24806000,28296000,26447000,31197000,34219000,35275000,43035000,42677000,50270000
18,Operating Income ratio,0.1818,0.2454,0.3296,0.2857,0.3006,0.1751,0.1154,0.1815,0.1535,0.2867,0.2587,0.2494,0.2594,0.2264,0.2323,0.2350,0.2374,0.2186,0.2473,0.2629,0.2679,0.2863,0.2584,0.2852,0.2911,0.2947,0.3363,0.3202,0.3398
19,Total Other Income Expenses (Gains),12000,46000,108000,200000,-1300000,-2300000,100000,531543,-88568,-257642,-49000,-118788,99000,-402102,-248164,-6208,-580000,-542000,-575000,-512000,-318000,-204000,913000,159000,64000,-566000,-2516000,-1210000,-1649000
20,Income Before Tax,523000,1704000,3047000,3800000,3600000,800000,2200000,3856151,2623955,6161346,6916000,7282856,8514000,9505755,11117384,11982565,13117000,13315000,18160000,22207000,24488000,28092000,27360000,31356000,34283000,34709000,40519000,41467000,48621000
21,Income Before Tax Ratio,0.1861,0.2523,0.3417,0.3016,0.2209,0.0452,0.1209,0.2105,0.1485,0.2752,0.2569,0.2454,0.2625,0.2172,0.2272,0.2349,0.2274,0.2100,0.2397,0.2570,0.2645,0.2842,0.2673,0.2867,0.2916,0.2900,0.3166,0.3111,0.3286
22,Income Tax expense (Gain),- -,- -,- -,1500000,400000,300000,700000,1139424,953634,2311243,2532000,2732222,3278000,3621687,4278372,4537704,4626000,4816000,6596000,7139000,9004000,9936000,9750000,10838000,11340000,4662000,8113000,4207000,11155000
23,Net Income,514000,1590000,3047000,2300000,3200000,500000,1500000,2716727,1670321,3850103,4384000,4550634,5236000,5884068,6839012,7444861,8491000,8499000,11564000,15068000,15484000,18156000,17610000,20518000,22943000,30047000,32406000,37260000,37466000
24,Net Income ratio,0.1829,0.2354,0.3417,0.1825,0.1963,0.0282,0.0824,0.1483,0.0945,0.1720,0.1628,0.1533,0.1614,0.1344,0.1398,0.1459,0.1472,0.1341,0.1526,0.1744,0.1672,0.1837,0.1721,0.1876,0.1952,0.2510,0.2532,0.2796,0.2532
25,EPS,0.09,0.27,0.51,0.37,0.37,0.06,0.21,0.39,0.24,0.54,0.60,0.63,0.74,0.86,1.00,1.11,1.28,1.28,1.73,2.22,0.37,0.44,0.42,0.49,0.54,1.08,1.30,1.48,1.47
26,EPS Diluted,0.09,0.27,0.51,0.37,0.37,0.06,0.21,0.39,0.24,0.54,0.60,0.63,0.74,0.85,0.98,1.09,1.26,1.26,1.69,2.17,0.37,0.43,0.41,0.48,0.52,1.04,1.26,1.45,1.46
27,Weighted Average Shares Outstanding,6000000,6000000,6000000,6216216,8648649,8333333,7142857,6965967,6959671,7129820,7306667,7223229,7075676,6841940,6839012,6685000,6637000,6637000,6672000,6775000,24124000,24237000,24219000,24218000,24284000,27089000,24809000,25170000,25427000
28,Weighted Average Shares Outstanding Diluted,6000000,6000000,6000000,6216216,8648649,8333333,7142857,7059278,7092448,7162602,7306667,7280852,7151505,6922433,6978584,6832000,6723000,6736000,6842000,6951000,24613000,24612000,24504000,24597000,25230000,28076000,25652000,25696000,25650000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/70487/000089706902000252/0000897069-02-000252-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/70487/000089706905000816/0000897069-05-000816-index.htm,https://www.sec.gov/Archives/edgar/data/70487/000089706906000979/0000897069-06-000979-index.htm,https://www.sec.gov/Archives/edgar/data/70487/000089706907000899/0000897069-07-000899-index.htm,https://www.sec.gov/Archives/edgar/data/70487/000089706908000690/0000897069-08-000690-index.htm,https://www.sec.gov/Archives/edgar/data/70487/000136231009004617/0001362310-09-004617-index.htm,https://www.sec.gov/Archives/edgar/data/70487/000114420410017127/0001144204-10-017127-index.htm,https://www.sec.gov/Archives/edgar/data/70487/000143774911001745/0001437749-11-001745-index.htm,https://www.sec.gov/Archives/edgar/data/70487/000143774912001932/0001437749-12-001932-index.htm,https://www.sec.gov/Archives/edgar/data/70487/000143774913002206/0001437749-13-002206-index.htm,https://www.sec.gov/Archives/edgar/data/70487/000143774914003333/0001437749-14-003333-index.htm,https://www.sec.gov/Archives/edgar/data/70487/000143774915004044/0001437749-15-004044-index.htm,https://www.sec.gov/Archives/edgar/data/70487/000143774916026817/0001437749-16-026817-index.htm,https://www.sec.gov/Archives/edgar/data/70487/000143774917003759/0001437749-17-003759-index.htm,https://www.sec.gov/Archives/edgar/data/70487/000143774918004585/0001437749-18-004585-index.htm,https://www.sec.gov/Archives/edgar/data/70487/000143774919004393/0001437749-19-004393-index.htm,https://www.sec.gov/Archives/edgar/data/70487/000143774920004493/0001437749-20-004493-index.htm,https://www.sec.gov/Archives/edgar/data/70487/000143774921005096/0001437749-21-005096-index.htm,https://www.sec.gov/Archives/edgar/data/70487/000143774922005273/0001437749-22-005273-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,2800000,4700000,4900000,1100000,3218805,1080053,991217,3441000,3647693,844000,876360,3355141,1108853,2512000,3519000,8082000,8286000,22092000,40042000,42145000,33021000,34733000,12991000,13517000,34690000,54361000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,10900000,6577112,6636543,9986677,12766000,15348349,9452000,1110104,99497,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,2800000,4700000,4900000,12000000,9795917,7716596,10977894,16207000,18996042,10296000,1986464,3454638,1108853,2512000,3519000,8082000,8286000,22092000,40042000,42145000,33021000,34733000,12991000,13517000,34690000,54361000
34,Net Receivables,- -,- -,- -,1500000,3100000,4000000,3500000,2960917,2141104,4579439,5479000,3391953,5495000,9904053,8028560,6531125,5214000,9172000,12100000,13209000,12590000,10385000,11400000,12424000,15181000,12270000,11708000,15158000,14480000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,1500000,14100000,8400000,300000,493113,2434218,2391101,1835000,3065832,2427000,1106427,1117103,2798668,3938000,4650000,1955000,2320000,1792000,2761000,2566000,1620000,2345000,3149000,3932000,4264000,4866000
37,Total Current Assets,- -,- -,- -,5800000,21900000,17300000,15800000,13249947,12291918,17948434,23521000,25453827,18218000,12996944,12600301,10438646,11664000,17341000,22137000,23815000,36474000,53188000,56111000,47065000,52259000,28410000,29157000,54112000,73707000
38,PP&E,- -,- -,- -,300000,500000,2300000,7500000,13218340,12907197,12345896,12189000,12355456,11891000,11715933,11974029,13746787,13975000,14482000,13613000,12493000,11898000,12143000,11125000,11806000,12359000,14153000,15158000,13034000,12391000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30014337,31051202,39275939,39924000,55133000,57730000,57799000,57593000,58489000,57792000,57861000,58021000,57831000,57935000,57255000,61614000
40,Intangible Assets,- -,- -,- -,- -,- -,6200000,5400000,5057761,8539178,8495718,9940000,10126235,14527000,6473644,5615910,8056367,6883000,8638000,7073000,5794000,4840000,5457000,3778000,3124000,2764000,2102000,1728000,1410000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,6200000,5400000,5057761,8539178,8495718,9940000,10126235,14527000,36487981,36667112,47332306,46807000,63771000,64803000,63593000,62433000,63946000,61570000,60985000,60785000,59933000,59663000,58665000,61614000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,590034,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,100000,200000,500000,600000,111425,34099,41923,23000,18445,39000,331133,37317,626871,53000,176000,123000,145000,191000,233000,293000,768000,1913000,5536000,6707000,7612000,9828000
45,Total Non-Current Assets,- -,- -,- -,400000,700000,9000000,13500000,18387526,21480474,20883537,22152000,22500136,26457000,48535047,49268492,61705964,60835000,78429000,78539000,76231000,74522000,76322000,72988000,73559000,75057000,79622000,81528000,79311000,83833000
46,Other Assets,1368000,3539000,4996000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1368000,3539000,4996000,6200000,22600000,26300000,29300000,31637473,33772392,38831971,45673000,47953963,44675000,61531991,61868793,72144610,72499000,95770000,100676000,100046000,110996000,129510000,129099000,120624000,127316000,108032000,110685000,133423000,157540000
48,Accounts Payable,- -,- -,- -,500000,600000,700000,1700000,1771498,1391043,565540,548000,429973,1066000,9416349,11028080,863273,598000,956000,783000,291000,654000,830000,614000,765000,593000,613000,1279000,1095000,7393000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,3600000,134518,132312,131907,142000,155728,1471000,3110106,1092754,4580719,816000,1827000,1861000,12436000,2256000,2328000,2402000,2683000,1067000,3667000,4378000,4061000,4278000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,3276813,4439000,4036608,5434000,- -,- -,12926000,11907000,17701000,16500000,15812000,13885000,15095000,14843000,15497000,16878000,16244000,16354000,15585000,17213000
52,Other Current Liabilities,- -,- -,- -,3300000,3600000,7600000,5300000,3002213,3508458,1055338,1575000,1397203,2189000,1952400,2863154,2718895,2774000,5666000,5255000,6759000,6895000,9673000,26312000,12569000,13772000,26585000,16144000,10940000,11504000
53,Total Current Liabilities,- -,- -,- -,3800000,4200000,8300000,10600000,4908229,5031813,5029598,6704000,6019512,10160000,14478855,14983988,21088887,16095000,26150000,24399000,35298000,23690000,27926000,44171000,31514000,32310000,47109000,38155000,31681000,40388000
54,Long-Term Debt,- -,- -,- -,- -,- -,100000,- -,5295814,5169757,5044090,4901000,4745126,- -,7982867,1900598,8373170,6903000,14333000,12625000,- -,8068000,5740000,3337000,857000,- -,34176000,29795000,26547000,22269000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,204000,184000,185000,254000,243000,123000,4000,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,217424,- -,1180000,1827235,1922000,2267688,2697774,4084241,5126000,6193000,7588000,7527000,7132000,7432000,6794000,4861000,4030000,6276000,7399000,7265000,- -
57,Other Non-Current Liabilities,- -,- -,- -,300000,300000,500000,100000,50999,- -,740008,464000,344433,- -,52068,- -,- -,- -,326000,325000,225000,108000,541000,571000,586000,935000,1388000,2444000,3615000,9546000
58,Total Non-Current Liabilities,- -,- -,- -,300000,300000,600000,100000,5346813,5387181,5784098,6545000,6916794,1922000,10302623,4598372,12457411,12233000,21036000,20723000,8006000,15551000,13836000,10706000,6304000,4965000,41840000,39638000,37427000,31815000
59,Other Liabilities,1078000,1916000,3166000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,325000,327000,222000,151000,74000,82000,71000,204000,- -,- -,- -
61,Total Liabilities,1078000,1916000,3166000,4100000,4500000,8900000,10700000,10255042,10418994,10813696,13249000,12936306,12082000,24781478,19582360,33546298,28328000,47186000,45122000,43304000,39241000,41762000,54877000,37818000,37275000,88949000,77793000,69108000,72203000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,7332,7395,7561,8000,7684,8000,7838,7883,8020,8000,8000,8000,8000,29000,29000,30000,30000,30000,30000,30000,31000,31000
64,Retained Earnings,- -,- -,- -,2100000,1300000,1700000,3200000,5927019,7597340,11447443,15831000,20382334,23360000,26488308,30003606,33677381,37905000,41343000,46995000,44700000,58042000,73686000,65313000,71507000,77574000,-106339000,-93357000,-61375000,-36112000
65,Other Comprehensive Income/Loss,- -,- -,- -,-400000,-500000,-800000,-1200000,-1892081,-3225695,-4846950,-6455000,-8118079,-9593000,-10939546,1000000,-12788567,1000000,1000000,1000000,1000000,-20433000,-1000000,-3000000,-3000000,-2000000,-3000000,-2000000,-2399000,-2375000
66,Other Total Stockholders Equity,290000,1623000,1830000,400000,17300000,16500000,16600000,17340161,18974358,21410221,23040000,22745718,18818000,21193913,11274944,17701478,5258000,6233000,7551000,11034000,34117000,15033000,11879000,14269000,14437000,128392000,128219000,128058000,123793000
67,Total Stockholders Equity,290000,1623000,1830000,2100000,18100000,17400000,18600000,21382431,23353398,28018275,32424000,35017657,32593000,36750513,42286433,38598312,44171000,48584000,55554000,56742000,71755000,87748000,74222000,82806000,90041000,19083000,32892000,64315000,85337000
68,Total Liabilities And Stockholders Equity,1368000,3539000,4996000,6200000,22600000,26300000,29300000,31637473,33772392,38831971,45673000,47953963,44675000,61531991,61868793,72144610,72499000,95770000,100676000,100046000,110996000,129510000,129099000,120624000,127316000,108032000,110685000,133423000,157540000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1368000,3539000,4996000,6200000,22600000,26300000,29300000,31637473,33772392,38831971,45673000,47953963,44675000,61531991,61868793,72144610,72499000,95770000,100676000,100046000,110996000,129510000,129099000,120624000,127316000,108032000,110685000,133423000,157540000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/70487/000089706902000252/0000897069-02-000252-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/70487/000089706905000816/0000897069-05-000816-index.htm,https://www.sec.gov/Archives/edgar/data/70487/000089706906000979/0000897069-06-000979-index.htm,https://www.sec.gov/Archives/edgar/data/70487/000089706907000899/0000897069-07-000899-index.htm,https://www.sec.gov/Archives/edgar/data/70487/000089706908000690/0000897069-08-000690-index.htm,https://www.sec.gov/Archives/edgar/data/70487/000136231009004617/0001362310-09-004617-index.htm,https://www.sec.gov/Archives/edgar/data/70487/000114420410017127/0001144204-10-017127-index.htm,https://www.sec.gov/Archives/edgar/data/70487/000143774911001745/0001437749-11-001745-index.htm,https://www.sec.gov/Archives/edgar/data/70487/000143774912001932/0001437749-12-001932-index.htm,https://www.sec.gov/Archives/edgar/data/70487/000143774913002206/0001437749-13-002206-index.htm,https://www.sec.gov/Archives/edgar/data/70487/000143774914003333/0001437749-14-003333-index.htm,https://www.sec.gov/Archives/edgar/data/70487/000143774915004044/0001437749-15-004044-index.htm,https://www.sec.gov/Archives/edgar/data/70487/000143774916026817/0001437749-16-026817-index.htm,https://www.sec.gov/Archives/edgar/data/70487/000143774917003759/0001437749-17-003759-index.htm,https://www.sec.gov/Archives/edgar/data/70487/000143774918004585/0001437749-18-004585-index.htm,https://www.sec.gov/Archives/edgar/data/70487/000143774919004393/0001437749-19-004393-index.htm,https://www.sec.gov/Archives/edgar/data/70487/000143774920004493/0001437749-20-004493-index.htm,https://www.sec.gov/Archives/edgar/data/70487/000143774921005096/0001437749-21-005096-index.htm,https://www.sec.gov/Archives/edgar/data/70487/000143774922005273/0001437749-22-005273-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,2300000,3200000,500000,1500000,2716727,1670321,3850103,4384000,4550634,5236000,5884068,6839012,7444861,8491000,8499000,11564000,15068000,15484000,18156000,17610000,20518000,22943000,30047000,32406000,37260000,37466000
74,Depreciation and Amortization,- -,- -,- -,200000,200000,400000,800000,1269535,1916740,1674856,1941000,2017621,1762000,2259669,2582866,2685641,3831000,4704000,5065000,4699000,3732000,3804000,4109000,4225000,4586000,5463000,5539000,7505000,6374000
75,Deferred Income Tax,- -,- -,- -,- -,-300000,- -,- -,356165,306117,529083,331000,614871,264000,99135,117046,430359,1733000,614000,1363000,-421000,16000,107000,-1361000,865000,-684000,1188000,1138000,51000,-277000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1016202,619000,779000,763000,388000,955000,742000,1383000,1929000,1845000,1514000,1224000,680000,623000
77,Change in Working Capital,- -,- -,- -,2300000,15700000,-8700000,-3800000,3141718,-1081613,5658731,3898164,2617315,-11376315,-9539911,-901776,-8266554,6219241,-4378000,6547000,-9221000,24267000,12478000,-13322000,3611000,4398000,-38648000,9701000,31429000,10888000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,636344,1396000,-2489000,-2064000,-879000,970000,2914000,-1777000,-1044000,-2463000,2767000,311000,-2271000,343000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-407716,-278000,-1391000,52000,-516000,331000,163000,-224000,-15000,12000,-39000,647000,-247000,4000
81,Other Working Capital,- -,- -,- -,2000000,17700000,9000000,5200000,8341718,7260105,12918836,16817000,19434315,8058000,-1481911,-2383687,-10650241,-4431000,-8809000,-2262000,-11483000,12784000,25262000,11940000,15551000,19949000,-18699000,-8998000,22431000,33319000
82,Other Non-Cash Items,- -,- -,- -,1500000,-17300000,11800000,5000000,-5460833,268087,-7428690,-2289164,-1983712,12302315,8109219,5928966,11864872,-7227241,4385000,-6821000,8619000,-25139000,-9090000,13467000,-4305000,-4997000,40284000,-9091000,-36289000,-8730000
83,Cash Provided by Operating Activities,- -,- -,- -,6300000,1500000,4000000,3500000,2023312,3079652,4284083,8265000,7816729,8188000,6812180,14566114,15175381,13666000,14603000,18481000,19132000,19315000,26197000,21886000,26843000,28091000,39848000,40917000,40636000,46344000
84,CAPEX,- -,- -,- -,-300000,-300000,-7800000,-4900000,-6194318,-1543286,-1534080,-1683000,-2066807,-1088000,-1453128,-1956204,-2812350,-2909000,-1539000,-2812000,-2348000,-2188000,-2492000,-2939000,-3973000,-4818000,-5971000,-4656000,-3984000,-5514000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-3762229,-23277,-997000,- -,-4459000,-20620521,- -,-12551194,-93000,-15441000,-4115000,- -,- -,-2574000,1613000,223000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-4200000,-13600000,-11600000,-13300000,-13218641,-13396039,-10802926,-14065000,-9211409,-19454000,-1378523,-2990012,- -,- -,- -,- -,- -,- -,-657000,- -,- -,-1300000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,3300000,1800000,16800000,10500000,17498708,13349654,7512812,11202000,6537109,25353000,9784215,4007262,99477,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-100000,27978,698,1420,3000,4863,2000,50,200,- -,- -,- -,- -,- -,- -,- -,- -,- -,-250000,- -,- -,260000,-3000000
89,Cash Used for Investing Activites,- -,- -,- -,-1200000,-12100000,-2600000,-7800000,-1886273,-5351202,-4846051,-5540000,-4736244,354000,-13667907,-938754,-15264067,-3002000,-16980000,-6927000,-2348000,-2188000,-5723000,-1326000,-3750000,-6118000,-5971000,-4656000,-3724000,-8514000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8951785,-10152000,-2842000,-6348000,-2158000,-2222000,-2412000,-2501000,-2294000,-2581000,-5728000,-24944000,-3900000,-493000
91,Common Stock Issued,- -,- -,- -,- -,16800000,- -,- -,124908,261061,691838,201000,333048,254000,926191,337786,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-1100000,-300000,-12000,- -,-92634,-274000,-2886407,-8191000,-1236055,-241061,-9007434,-84000,-399000,- -,-527000,-55000,-348000,-1765000,-204000,-1668000,-72370000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-3300000,-4400000,- -,- -,- -,- -,- -,- -,- -,- -,-2756057,-3323714,-3771086,-4263000,-5061000,-5912000,-17363000,-2142000,- -,-10054000,-28552000,-16867000,-16859000,-31299000,-10517000,-9159000
94,Other Financing Activites,- -,- -,- -,- -,100000,-100000,800000,1819271,-128263,-126072,-132000,-285791,-3429000,9963220,-8019315,19975341,4951000,11556000,5374000,3361000,1595000,1030000,-2549000,-1452000,- -,40460000,19897000,-1086000,-8510000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-3300000,12500000,-1200000,500000,1932179,132798,473132,-205000,-2839150,-11366000,6897299,-11246304,-1754964,-9548000,3254000,-6886000,-16687000,-2824000,-1730000,-16869000,-32502000,-21116000,-54497000,-36346000,-15503000,-18162000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-70000,-34557,21000,-9171,97726,-402638,287000,130000,-105000,107000,-497000,-794000,-1588000,285000,855000,-1122000,611000,-236000,3000
97,Net Change In Cash,- -,- -,- -,-3300000,12500000,-1200000,-3800000,2069218,-2138752,-88836,2450000,206778,-2804000,32401,2478782,-2246288,1403000,1007000,4563000,204000,13806000,17950000,2103000,-9124000,1712000,-21742000,526000,21173000,19671000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,1100000,3218805,1080053,991217,3441000,3647693,844000,876360,3355142,1108853,2512000,3519000,8082000,8286000,22092000,40042000,42145000,33021000,34733000,12991000,13517000,34690000,54361000
99,Cash at the Beginning of Period,- -,- -,- -,900000,2800000,4700000,4900000,1149587,3218805,1080053,991000,3440915,3648000,843959,876360,3355141,1109000,2512000,3519000,8082000,8286000,22092000,40042000,42145000,33021000,34733000,12991000,13517000,34690000
100,Free Cash Flow,- -,- -,- -,6000000,1200000,-3800000,-1400000,-4171006,1536366,2750003,6582000,5749922,7100000,5359052,12609910,12363031,10757000,13064000,15669000,16784000,17127000,23705000,18947000,22870000,23273000,33877000,36261000,36652000,40830000
