,https://roic.ai/company/WDC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,247000000,404200000,711400000,933300000,1030600000,1022400000,1005300000,1235200000,1447800000,1998000000,2788000000,3876000000,3837000000,3244000000,2251032000,1987000000,2100000000,2532000000,2892000000,3442000000,3975400000,5052000000,7068000000,6934000000,8325000000,8745000000,10707000000,14085000000,13339000000,12961000000,12528000000,16907000000,17030000000,16482000000,16401000000,15749000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,4000000,9000000,12000000,11000000,17000000,15000000,26000000,26000000,60000000,57000000,28000000,7000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,13000000,- -,4000000,-16000000,- -,-1000000,-1419000,-1000000,- -,5000000,- -,-4000000,52000000,27000000,-5000000,-1000000,-14000000,-44000000,-39000000,-34000000,266000000,847000000,676000000,469000000,-381000000,326000000
14,Depreciation and Amortization,12900000,18000000,28600000,45200000,47600000,53800000,50800000,53700000,46200000,43600000,51600000,63500000,106600000,131100000,78452000,51905000,45794000,50400000,101700000,134800000,159800000,210000000,413000000,479000000,510000000,602000000,825000000,1233000000,1244000000,1114000000,1154000000,2128000000,2056000000,1812000000,1566000000,1212000000
15,EBITDA,40700000,75500000,83700000,90600000,79800000,-78700000,-20600000,28600000,132200000,197600000,172600000,378500000,-181400000,-377900000,-129064000,-48095000,108375000,238400000,255700000,340800000,541500000,649000000,1446000000,1007000000,2025000000,1381000000,2568000000,2411000000,2957000000,2657000000,1573000000,3744000000,4817000000,1994000000,1139000000,2465000000
16,EBITDA ratio,0.1466,0.1632,0.1089,0.0913,0.0745,-0.0798,-0.0220,0.0233,0.0859,0.0927,0.0602,0.0906,-0.0512,-0.1366,-0.0659,-0.0246,0.0504,0.0877,0.0839,0.0937,0.1247,0.1187,0.1791,0.1351,0.2056,0.1450,0.2058,0.1571,0.1954,0.1823,0.1211,0.1961,0.2333,0.1203,0.0681,0.1457
17,Operating Income,30600000,58300000,56900000,58800000,39900000,-36200000,-67000000,-10000000,91900000,133000000,77400000,301600000,-295800000,-415900000,-293452000,-33897000,50676000,186800000,306700000,196900000,365900000,415000000,1006000000,519000000,1525000000,781000000,1771000000,1266000000,1791000000,1611000000,466000000,1954000000,3617000000,87000000,335000000,1220000000
18,Operating Income ratio,0.1102,0.1261,0.0741,0.0593,0.0373,-0.0367,-0.0714,-0.0082,0.0597,0.0624,0.0270,0.0722,-0.0835,-0.1503,-0.1499,-0.0174,0.0236,0.0687,0.1007,0.0541,0.0843,0.0759,0.1246,0.0696,0.1548,0.0820,0.1419,0.0825,0.1184,0.1106,0.0359,0.1023,0.1752,0.0053,0.0200,0.0721
19,Total Other Income Expenses (Gains),-2800000,-800000,-1800000,-13400000,-7700000,-96300000,-4400000,- -,-5900000,12000000,30600000,13400000,3800000,-77100000,-80963000,-53103000,1324000,1200000,-151700000,5100000,15800000,28000000,-25000000,-18000000,-5000000,-1000000,-14000000,-44000000,-39000000,-34000000,-313000000,-1185000000,-1532000000,-374000000,-381000000,-293000000
20,Income Before Tax,27800000,57500000,55100000,45400000,32200000,-132500000,-71400000,- -,86000000,145000000,108000000,315000000,-292000000,-493000000,-374415000,-87000000,52000000,188000000,155000000,202000000,381700000,443000000,981000000,501000000,1520000000,780000000,1757000000,1222000000,1752000000,1577000000,153000000,769000000,2085000000,-287000000,-46000000,927000000
21,Income Before Tax Ratio,0.1001,0.1243,0.0717,0.0458,0.0301,-0.1344,-0.0761,- -,0.0559,0.0680,0.0377,0.0754,-0.0824,-0.1782,-0.1913,-0.0445,0.0242,0.0691,0.0509,0.0555,0.0879,0.0810,0.1215,0.0672,0.1543,0.0819,0.1408,0.0796,0.1158,0.1082,0.0118,0.0403,0.1010,-0.0173,-0.0027,0.0548
22,Income Tax expense (Gain),7200000,14700000,12100000,11100000,8000000,1700000,1500000,- -,12900000,22000000,11000000,47000000,-2000000,- -,-19500000,- -,-1000000,7000000,3000000,3000000,-12900000,-121000000,114000000,31000000,138000000,54000000,145000000,242000000,135000000,112000000,-89000000,372000000,1410000000,467000000,204000000,106000000
23,Net Income,20600000,42800000,43000000,34300000,24200000,-134200000,-72900000,-25100000,73100000,123000000,97000000,268000000,-290000000,-493000000,-188016000,-99000000,65000000,182000000,151000000,198000000,394600000,564000000,867000000,470000000,1382000000,726000000,1612000000,980000000,1617000000,1465000000,242000000,397000000,675000000,-754000000,-250000000,821000000
24,Net Income ratio,0.0742,0.0925,0.0560,0.0346,0.0226,-0.1361,-0.0777,-0.0205,0.0475,0.0577,0.0339,0.0641,-0.0819,-0.1782,-0.0960,-0.0507,0.0302,0.0669,0.0496,0.0544,0.0909,0.1032,0.1074,0.0631,0.1403,0.0762,0.1292,0.0638,0.1069,0.1005,0.0186,0.0208,0.0327,-0.0455,-0.0149,0.0485
25,EPS,0.52,0.89,0.76,0.59,0.41,-2.30,-1.25,-0.40,0.89,1.28,1.00,2.86,-3.32,-5.51,-1.53,-0.59,0.35,0.93,0.74,0.96,1.84,2.57,3.92,2.12,6.06,3.14,6.69,4.07,6.88,6.31,1.01,1.38,2.27,-2.58,-0.84,2.69
26,EPS Diluted,0.51,0.83,0.76,0.59,0.41,-2.30,-1.25,-0.40,0.85,1.24,1.00,2.85,-3.32,-5.51,-1.53,-0.59,0.34,0.89,0.70,0.91,1.76,2.50,3.84,2.08,5.93,3.09,6.58,3.98,6.68,6.18,1.00,1.34,2.20,-2.58,-0.84,2.66
27,Weighted Average Shares Outstanding,39615385,48089888,56578947,58135593,59024390,58347826,58320000,62750000,82726000,96396000,96248000,93521000,87525000,89478000,122624000,168715000,188988000,195600000,205700000,207600000,215000000,219000000,221000000,222000000,228000000,231000000,241000000,241000000,235000000,232000000,239000000,288000000,297000000,292000000,298000000,305000000
28,Weighted Average Shares Outstanding Diluted,40392157,51566265,56578947,58135593,59024390,58347826,58320000,62750000,91360000,102840000,96560000,93880000,87525000,89478000,122624000,168715000,193708000,205500000,216700000,216900000,223600000,226000000,226000000,226000000,233000000,235000000,245000000,246000000,242000000,237000000,242000000,296000000,307000000,292000000,298000000,309000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/106040/000089256994000280/0000892569-94-000280-index.html,https://www.sec.gov/Archives/edgar/data/106040/000089256995000540/0000892569-95-000540-index.html,https://www.sec.gov/Archives/edgar/data/106040/000089256996001855/0000892569-96-001855-index.html,- -,https://www.sec.gov/Archives/edgar/data/106040/000089256998002462/0000892569-98-002462-index.html,- -,https://www.sec.gov/Archives/edgar/data/106040/000109581100003657/0001095811-00-003657-index.html,https://www.sec.gov/Archives/edgar/data/106040/000109581101505236/0001095811-01-505236-index.html,https://www.sec.gov/Archives/edgar/data/106040/000089256902001988/0000892569-02-001988-index.html,https://www.sec.gov/Archives/edgar/data/106040/000089256903002216/0000892569-03-002216-index.html,https://www.sec.gov/Archives/edgar/data/106040/000095013704007712/0000950137-04-007712-index.html,https://www.sec.gov/Archives/edgar/data/106040/000095013705011286/a12474e10vk.htm,https://www.sec.gov/Archives/edgar/data/106040/000089256906001395/a23647e10vk.htm,https://www.sec.gov/Archives/edgar/data/106040/000089256907001093/0000892569-07-001093-index.html,https://www.sec.gov/Archives/edgar/data/106040/000089256908001165/0000892569-08-001165-index.html,https://www.sec.gov/Archives/edgar/data/106040/000095012309034923/0000950123-09-034923-index.html,https://www.sec.gov/Archives/edgar/data/106040/000095012310077390/0000950123-10-077390-index.html,https://www.sec.gov/Archives/edgar/data/106040/000095012311076255/0000950123-11-076255-index.html,https://www.sec.gov/Archives/edgar/data/106040/000119312512361018/0001193125-12-361018-index.html,https://www.sec.gov/Archives/edgar/data/106040/000119312513338607/0001193125-13-338607-index.html,https://www.sec.gov/Archives/edgar/data/106040/000010604014000015/0000106040-14-000015-index.html,https://www.sec.gov/Archives/edgar/data/106040/000010604015000010/0000106040-15-000010-index.html,https://www.sec.gov/Archives/edgar/data/106040/000010604016000033/wdc-7116x10k.htm,https://www.sec.gov/Archives/edgar/data/106040/000010604017000027/0000106040-17-000027-index.html,https://www.sec.gov/Archives/edgar/data/106040/000010604018000029/0000106040-18-000029-index.html,https://www.sec.gov/Archives/edgar/data/106040/000010604019000058/wdc-2019q410xkdoc.htm,https://www.sec.gov/Archives/edgar/data/106040/000010604020000049/0000106040-20-000049-index.htm,https://www.sec.gov/Archives/edgar/data/106040/000010604021000040/0000106040-21-000040-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,243500000,218000000,183000000,208000000,460000000,226000000,184021000,168000000,224000000,393200000,377800000,485200000,550700000,700000000,1104000000,1794000000,2734000000,3490000000,3208000000,4309000000,4804000000,5024000000,8151000000,6354000000,5005000000,3455000000,3048000000,3370000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,90000000,37000000,- -,- -,- -,- -,- -,- -,- -,- -,113200000,148100000,207000000,3000000,- -,- -,- -,- -,- -,284000000,262000000,227000000,24000000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,243500000,308000000,220000000,208000000,460000000,226000000,184021000,168000000,224000000,393200000,377800000,598400000,698800000,907000000,1107000000,1794000000,2734000000,3490000000,3208000000,4309000000,5088000000,5286000000,8378000000,6378000000,5005000000,3455000000,3048000000,3370000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,201500000,304000000,409000000,546000000,369000000,273000000,149135000,128000000,219000000,243900000,313100000,402900000,481500000,697000000,1010000000,926000000,1256000000,1206000000,2364000000,1793000000,1989000000,1532000000,1461000000,1948000000,2197000000,1204000000,2379000000,2257000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,79600000,99000000,143000000,224000000,187000000,144000000,84546000,79000000,73000000,97800000,148600000,152900000,205100000,259000000,456000000,376000000,560000000,577000000,1210000000,1188000000,1226000000,1368000000,2129000000,2341000000,2944000000,3283000000,3070000000,3616000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,12900000,19000000,22000000,40000000,36000000,45000000,33693000,11000000,12000000,9200000,17800000,27000000,106800000,166000000,158000000,134000000,170000000,214000000,359000000,308000000,417000000,331000000,616000000,389000000,492000000,535000000,551000000,514000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,537500000,730000000,794000000,1018000000,1052000000,688000000,451395000,386000000,528000000,744100000,857300000,1181200000,1492200000,2029000000,2731000000,3230000000,4720000000,5487000000,7141000000,7598000000,8720000000,8517000000,12584000000,11056000000,10638000000,8477000000,9048000000,9757000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,73400000,89000000,148000000,248000000,347000000,238000000,98952000,106000000,108000000,122100000,274700000,395000000,548600000,741000000,1668000000,1584000000,2159000000,2224000000,4067000000,3700000000,3293000000,2965000000,3503000000,3033000000,3095000000,2843000000,2854000000,3188000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116000000,139000000,146000000,151000000,1975000000,1954000000,2559000000,2766000000,9951000000,10014000000,10075000000,10076000000,10067000000,10066000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,29600000,10000000,42000000,41000000,44000000,96000000,- -,- -,- -,- -,27200000,12400000,32500000,- -,81000000,89000000,88000000,71000000,799000000,605000000,454000000,332000000,5034000000,3823000000,2680000000,1711000000,941000000,442000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,29600000,24000000,42000000,41000000,44000000,96000000,- -,- -,- -,- -,27200000,12400000,32500000,- -,197000000,228000000,234000000,222000000,2774000000,2559000000,3013000000,3098000000,14985000000,13837000000,12755000000,11787000000,11008000000,10508000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000000,16000000,33000000,17000000,15000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16000000,-33000000,-17000000,-15000000,65227000,16000000,1000000,- -,- -,- -,- -,131000000,279000000,249000000,215000000,185000000,224000000,179000000,473000000,601000000,1790000000,1934000000,2747000000,3263000000,2752000000,2679000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,103000000,129000000,190000000,289000000,391000000,334000000,164179000,122000000,109000000,122100000,301900000,407400000,581100000,872000000,2144000000,2061000000,2608000000,2631000000,7065000000,6438000000,6779000000,6664000000,20278000000,18804000000,18597000000,17893000000,16614000000,16375000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,640500000,859000000,984000000,1307000000,1443000000,1022000000,615574000,508000000,637000000,866200000,1159200000,1588600000,2073300000,2901000000,4875000000,5291000000,7328000000,8118000000,14206000000,14036000000,15499000000,15181000000,32862000000,29860000000,29235000000,26370000000,25662000000,26132000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,172700000,250000000,346000000,418000000,330000000,336000000,266841000,225000000,303000000,352300000,434900000,569100000,631800000,882000000,1181000000,1101000000,1507000000,1545000000,2773000000,1990000000,1971000000,1881000000,2056000000,2350000000,2524000000,1898000000,2352000000,2332000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86000000,- -,15200000,20100000,24600000,12000000,27000000,82000000,106000000,144000000,230000000,230000000,125000000,411000000,3334000000,233000000,179000000,276000000,286000000,251000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,103000000,120000000,168000000,236000000,259000000,291000000,178225000,115000000,104000000,153400000,136800000,229300000,202600000,236000000,356000000,342000000,410000000,481000000,1029000000,1753000000,1749000000,950000000,1559000000,1761000000,1753000000,1643000000,1768000000,2287000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,275700000,370000000,514000000,654000000,589000000,627000000,445066000,340000000,493000000,505700000,586900000,818500000,859000000,1130000000,1564000000,1525000000,2023000000,2170000000,4032000000,3973000000,3845000000,3242000000,6949000000,4344000000,4456000000,3817000000,4406000000,4870000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,58600000,- -,- -,- -,519000000,534000000,225496000,112000000,- -,- -,52700000,32600000,19400000,10000000,482000000,400000000,294000000,150000000,1955000000,1725000000,2313000000,2156000000,13660000000,12918000000,10993000000,10246000000,9289000000,8474000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,17900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,100000,15000000,16000000,33000000,17000000,15000000,44846000,49000000,41000000,33100000,32000000,35400000,37700000,45000000,133000000,174000000,302000000,310000000,550000000,445000000,499000000,564000000,1108000000,1180000000,2255000000,2340000000,2416000000,2067000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,76600000,15000000,16000000,33000000,536000000,549000000,270342000,161000000,41000000,33100000,84700000,68000000,57100000,55000000,615000000,574000000,596000000,460000000,2505000000,2170000000,2812000000,2720000000,14768000000,14098000000,13248000000,12586000000,11705000000,10541000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,352300000,385000000,530000000,687000000,1125000000,1176000000,715408000,501000000,534000000,538800000,671600000,886500000,916100000,1185000000,2179000000,2099000000,2619000000,2630000000,6537000000,6143000000,6657000000,5962000000,21717000000,18442000000,17704000000,16403000000,16111000000,15411000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,1000000,1000000,1000000,1000000,1534000,2000000,2000000,2000000,2100000,2100000,2200000,2000000,2000000,2000000,2000000,2000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,300000,124000000,220000000,488000000,198000000,-295000000,-482857000,-582000000,-516000000,-334200000,-182900000,15500000,390500000,955000000,1822000000,2292000000,3674000000,4400000000,6012000000,6749000000,8066000000,9107000000,8848000000,8633000000,8757000000,7449000000,6725000000,7539000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-118900000,-129000000,-143000000,-168000000,-254000000,-4000000,-290899000,-2000000,-2000000,-1200000,-1100000,-14900000,1000000,-1000000,-12000000,2000000,11000000,-5000000,-15000000,-35000000,12000000,-20000000,103000000,-58000000,-39000000,-68000000,-157000000,-197000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,406800000,473000000,376000000,299000000,373000000,144000000,672388000,589000000,619000000,660800000,669500000,699400000,763500000,760000000,884000000,896000000,1022000000,1091000000,1669000000,1176000000,761000000,129000000,2191000000,2840000000,2810000000,2583000000,2980000000,3376000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,288200000,473000000,454000000,620000000,318000000,-154000000,-99834000,7000000,103000000,327400000,487600000,702100000,1157200000,1716000000,2696000000,3192000000,4709000000,5488000000,7669000000,7893000000,8842000000,9219000000,11145000000,11418000000,11531000000,9967000000,9551000000,10721000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,640500000,858000000,984000000,1307000000,1443000000,1022000000,615574000,508000000,637000000,866200000,1159200000,1588600000,2073300000,2901000000,4875000000,5291000000,7328000000,8118000000,14206000000,14036000000,15499000000,15181000000,32862000000,29860000000,29235000000,26370000000,25662000000,26132000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,640500000,859000000,984000000,1307000000,1443000000,1022000000,615574000,508000000,637000000,866200000,1159200000,1588600000,2073300000,2901000000,4875000000,5291000000,7328000000,8118000000,14206000000,14036000000,15499000000,15181000000,32862000000,29860000000,29235000000,26370000000,25662000000,26132000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/106040/000089256994000280/0000892569-94-000280-index.html,https://www.sec.gov/Archives/edgar/data/106040/000089256995000540/0000892569-95-000540-index.html,https://www.sec.gov/Archives/edgar/data/106040/000089256996001855/0000892569-96-001855-index.html,- -,https://www.sec.gov/Archives/edgar/data/106040/000089256998002462/0000892569-98-002462-index.html,- -,https://www.sec.gov/Archives/edgar/data/106040/000109581100003657/0001095811-00-003657-index.html,https://www.sec.gov/Archives/edgar/data/106040/000109581101505236/0001095811-01-505236-index.html,https://www.sec.gov/Archives/edgar/data/106040/000089256902001988/0000892569-02-001988-index.html,https://www.sec.gov/Archives/edgar/data/106040/000089256903002216/0000892569-03-002216-index.html,https://www.sec.gov/Archives/edgar/data/106040/000095013704007712/0000950137-04-007712-index.html,https://www.sec.gov/Archives/edgar/data/106040/000095013705011286/a12474e10vk.htm,https://www.sec.gov/Archives/edgar/data/106040/000089256906001395/a23647e10vk.htm,https://www.sec.gov/Archives/edgar/data/106040/000089256907001093/0000892569-07-001093-index.html,https://www.sec.gov/Archives/edgar/data/106040/000089256908001165/0000892569-08-001165-index.html,https://www.sec.gov/Archives/edgar/data/106040/000095012309034923/0000950123-09-034923-index.html,https://www.sec.gov/Archives/edgar/data/106040/000095012310077390/0000950123-10-077390-index.html,https://www.sec.gov/Archives/edgar/data/106040/000095012311076255/0000950123-11-076255-index.html,https://www.sec.gov/Archives/edgar/data/106040/000119312512361018/0001193125-12-361018-index.html,https://www.sec.gov/Archives/edgar/data/106040/000119312513338607/0001193125-13-338607-index.html,https://www.sec.gov/Archives/edgar/data/106040/000010604014000015/0000106040-14-000015-index.html,https://www.sec.gov/Archives/edgar/data/106040/000010604015000010/0000106040-15-000010-index.html,https://www.sec.gov/Archives/edgar/data/106040/000010604016000033/wdc-7116x10k.htm,https://www.sec.gov/Archives/edgar/data/106040/000010604017000027/0000106040-17-000027-index.html,https://www.sec.gov/Archives/edgar/data/106040/000010604018000029/0000106040-18-000029-index.html,https://www.sec.gov/Archives/edgar/data/106040/000010604019000058/wdc-2019q410xkdoc.htm,https://www.sec.gov/Archives/edgar/data/106040/000010604020000049/0000106040-20-000049-index.htm,https://www.sec.gov/Archives/edgar/data/106040/000010604021000040/0000106040-21-000040-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,24200000,-134200000,-72900000,-25100000,73100000,123000000,97000000,268000000,-290000000,-493000000,-188016000,-99000000,65000000,182000000,151000000,198000000,394600000,564000000,867000000,470000000,1382000000,726000000,1612000000,980000000,1617000000,1465000000,242000000,397000000,675000000,-754000000,-250000000,821000000
74,Depreciation and Amortization,- -,- -,- -,- -,47600000,53800000,50800000,53700000,46200000,43600000,51600000,63500000,106600000,131100000,78452000,51905000,45794000,50400000,101700000,134800000,159800000,210000000,413000000,479000000,510000000,602000000,825000000,1233000000,1244000000,1114000000,1154000000,2128000000,2056000000,1812000000,1566000000,1212000000
75,Deferred Income Tax,- -,- -,- -,- -,3100000,-1200000,-100000,-3200000,7100000,-2100000,400000,-1600000,-16300000,-1700000,- -,- -,- -,- -,- -,- -,-22300000,-126000000,-2000000,24000000,27000000,20000000,34000000,35000000,-13000000,28000000,-149000000,12000000,-348000000,374000000,-82000000,-242000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47000000,60000000,69000000,92000000,137000000,156000000,162000000,191000000,394000000,377000000,306000000,308000000,318000000
