,https://roic.ai/company/NXGN,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/708818/000070881897000006/0000708818-97-000006-index.html,https://www.sec.gov/Archives/edgar/data/708818/000070881898000003/0000708818-98-000003-index.html,- -,https://www.sec.gov/Archives/edgar/data/708818/000070881800000003/0000708818-00-000003-index.html,https://www.sec.gov/Archives/edgar/data/708818/000100547701003860/0001005477-01-003860-index.html,https://www.sec.gov/Archives/edgar/data/708818/000100547702002561/0001005477-02-002561-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/708818/000116923205004273/0001169232-05-004273-index.htm,- -,https://www.sec.gov/Archives/edgar/data/708818/000116923207002635/0001169232-07-002635-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000116923208002302/0001169232-08-002302-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000116923209002861/0001169232-09-002861-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000095012310054373/0000950123-10-054373-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000095012311055052/0000950123-11-055052-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000119312512249005/0001193125-12-249005-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000070881813000009/0000708818-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000070881814000008/0000708818-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000070881815000004/0000708818-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000070881816000091/0000708818-16-000091-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000070881817000012/0000708818-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000156459018014338/0001564590-18-014338-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000156459019020627/0001564590-19-020627-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000156459020027880/0001564590-20-027880-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000156459021030107/0001564590-21-030107-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3700000,5200000,4500000,5000000,4100000,3200000,500000,3500000,1100000,6100000,27900000,21900000,16100000,14200000,15926000,18471000,25443000,36443000,51395000,51157000,57225000,60028000,59046000,70180000,84611000,116617000,134444000,105999000,103145000,118993000,27176000,37673000,28845000,33079000,138012000,73295000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,243000,258000,255000,- -,- -,- -,- -,- -,2500000,- -,7158000,1120000,4987000,12012000,10656000,11592000,9297000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3700000,5200000,4500000,5000000,4100000,3200000,500000,3500000,1100000,6100000,27900000,21900000,16100000,14200000,16169000,18729000,25698000,36443000,51395000,51157000,57225000,60028000,61546000,70180000,91769000,117737000,139431000,118011000,113801000,130585000,36473000,37673000,28845000,33079000,138012000,73295000
34,Net Receivables,3200000,2300000,2000000,1600000,2000000,2600000,2700000,2400000,2700000,3000000,4800000,6600000,9900000,12500000,13710000,13335000,13695000,17561000,20336000,33362000,45860000,63945000,76585000,95675000,110411000,139772000,148384000,148257000,118547000,110816000,126733000,86086000,93084000,104383000,93391000,97787000
35,Inventory,3000000,2800000,2700000,1800000,1600000,1600000,1300000,1000000,900000,800000,900000,1100000,1300000,800000,1010000,1030000,1118000,667000,725000,960000,561000,1175000,1024000,1125000,1340000,1933000,3715000,710000,834000,622000,555000,158000,180000,120000,- -,- -
36,Other Current Assets,- -,100000,100000,600000,400000,- -,3100000,1400000,5100000,1500000,1100000,1400000,1600000,1200000,2496000,2098000,2381000,4115000,4416000,3488000,4736000,7950000,10993000,11609000,16701000,22952000,21179000,30348000,27176000,38034000,20230000,22885000,19553000,22269000,28612000,36562000
37,Total Current Assets,9900000,10400000,9300000,9000000,8100000,7400000,7600000,8300000,9800000,11400000,34700000,31000000,28900000,28700000,33385000,35192000,42892000,58786000,76872000,88967000,108382000,133098000,150148000,178589000,220221000,282394000,312709000,297326000,260358000,280057000,183991000,146802000,141662000,159851000,260015000,207644000
38,PP&E,600000,500000,500000,500000,600000,900000,600000,700000,600000,500000,600000,1400000,1800000,1800000,1797000,1819000,1578000,1777000,2012000,2697000,3739000,5029000,4773000,6756000,8432000,12599000,17841000,21887000,22801000,20807000,25790000,27426000,26795000,21404000,50840000,32985000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1840000,1840000,1840000,28731000,46189000,46721000,60776000,45761000,72804000,73571000,188837000,185898000,218875000,218771000,267165000,267212000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2900000,2800000,2500000,2112000,1772000,1840000,1840000,1840000,1840000,5171000,6982000,8852000,17955000,31691000,32040000,43253000,67331000,72168000,68086000,104925000,82820000,100409000,90450000,94813000,78174000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2900000,2800000,2500000,2112000,1772000,1840000,1840000,1840000,1840000,7011000,8822000,10692000,46686000,77880000,78761000,104029000,113092000,144972000,141657000,293762000,268718000,319284000,309221000,361978000,345386000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000000,7395000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2960000,2778000,1819000,1104000,- -,1157000,1180000,- -,- -,- -,- -,- -,- -,- -,- -,8198000,11265000,9219000,6194000,10620000,19474000
44,Other Non-Current Assets,300000,400000,400000,400000,300000,600000,600000,600000,700000,800000,2000000,2600000,7400000,7200000,6842000,3140000,3055000,3380000,4850000,5938000,1958000,2552000,2295000,2675000,3647000,4932000,5773000,10750000,16927000,18000000,19049000,19010000,18795000,36225000,36663000,38997000
45,Total Non-Current Assets,900000,900000,900000,900000,900000,1500000,1200000,1300000,1300000,1300000,2600000,6900000,12000000,11500000,10751000,9691000,9251000,8816000,9806000,10475000,13865000,17583000,37760000,63512000,89959000,96292000,127643000,145729000,184700000,180464000,346799000,326419000,374093000,373044000,460101000,436842000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10800000,11300000,10200000,9900000,9000000,8900000,8800000,9600000,11100000,12700000,37300000,37900000,40900000,40200000,44136000,44883000,52143000,67602000,86678000,99442000,122247000,150681000,187908000,242101000,310180000,378686000,440352000,443055000,445058000,460521000,530790000,473221000,515755000,532895000,720116000,644486000
48,Accounts Payable,- -,- -,- -,- -,- -,900000,800000,1000000,800000,600000,1700000,1300000,1300000,1800000,1246000,1829000,2657000,2477000,1655000,2284000,2934000,5246000,4685000,5097000,3342000,6686000,4532000,11501000,7888000,10018000,11126000,4618000,4213000,5432000,10521000,11378000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12735000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1170000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5595000,6155000,11699000,17263000,24115000,34422000,38774000,44389000,47584000,64109000,76695000,83108000,65469000,71153000,71103000,62058000,56507000,58366000,59997000,61046000,57501000
52,Other Current Liabilities,3000000,3100000,2300000,2400000,2600000,1900000,2100000,2100000,2200000,2700000,2800000,4100000,12200000,8800000,10807000,3572000,3281000,5893000,6755000,7457000,9302000,12462000,21142000,26928000,33835000,53255000,41792000,50059000,44845000,73963000,64876000,67569000,72013000,62803000,71651000,99019000
53,Total Current Liabilities,3000000,3100000,2300000,2400000,2600000,2800000,2900000,3100000,3000000,3300000,4500000,5400000,13500000,10600000,12053000,10996000,12093000,20069000,25673000,33856000,46658000,56482000,70216000,79609000,101286000,136636000,129432000,127029000,123886000,155084000,138060000,128694000,134592000,128232000,143218000,180633000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105000000,15000000,37000000,11000000,129000000,18453000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,521000,474000,1099000,1293000,1219000,2187000,1349000,1335000,1394000,1173000,- -,- -,- -
56,Deferred Tax Liabilities,- -,200000,200000,200000,- -,- -,- -,- -,100000,100000,100000,200000,- -,- -,- -,- -,- -,- -,- -,291000,- -,- -,1575000,4566000,10859000,11384000,5351000,- -,- -,- -,- -,- -,- -,- -,- -,3817000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,-100000,- -,- -,- -,- -,2200000,2564000,3180000,2953000,2412000,1838000,9272000,4897000,9099000,7758000,23895000,20548000,17018000,23090000,19580000,17717000,47404000,9939000
58,Total Non-Current Liabilities,- -,200000,200000,200000,- -,- -,- -,- -,100000,200000,100000,200000,- -,-100000,- -,- -,- -,- -,2200000,2855000,3180000,2953000,3987000,6925000,20605000,17380000,15743000,8977000,26082000,21897000,123353000,39484000,57753000,28717000,176404000,32209000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1057000,- -,- -,49442000,31188000
61,Total Liabilities,3000000,3300000,2500000,2600000,2600000,2800000,2900000,3100000,3100000,3500000,4600000,5600000,13500000,10500000,12053000,10996000,12093000,20069000,25673000,36711000,49838000,59435000,74203000,86534000,121891000,154016000,145175000,136006000,149968000,176981000,261413000,168178000,192345000,156949000,319622000,212842000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62000,60000,61000,62000,63000,131000,267000,271000,274000,284000,289000,290000,592000,595000,602000,603000,610000,625000,640000,648000,661000,671000
64,Retained Earnings,2200000,2700000,2500000,2200000,1300000,1000000,800000,1400000,2300000,3200000,5500000,-1900000,-6600000,-6000000,-3462000,47000,5315000,12350000,22750000,19213000,19151000,25309000,38071000,51759000,65729000,91121000,125597000,126722000,99931000,84479000,57986000,76227000,78708000,111621000,119119000,128634000
65,Other Comprehensive Income/Loss,-700000,-800000,-900000,-1000000,-1000000,-1100000,-1100000,-1200000,-1200000,-1300000,-1400000,-1500000,-1800000,-2300000,-2547000,-3184000,-3829000,-3564000,-4224000,-5228000,-6596000,-8546000,-10915000,-13743000,-17272000,-21263000,-18359000,-25287000,-32790000,-42036000,-39831000,-34473000,-43804000,-1000000,-2000000,-1924000
