,https://roic.ai/company/JANL,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,300000,300000,300000,307006,336788,336860,336860,343599,347562,348631,358914,416874,454521,466816,464249,574264,592116,625997,810413,834485,851234,872122,989488
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1133062/000114420402001742/0001144204-02-001742-index.html,https://www.sec.gov/Archives/edgar/data/1133062/000114420403008859/0001144204-03-008859-index.html,https://www.sec.gov/Archives/edgar/data/1133062/000114420404022946/0001144204-04-022946-index.html,- -,https://www.sec.gov/Archives/edgar/data/1133062/000114420406055054/0001144204-06-055054-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114420408002233/0001144204-08-002233-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114420409002010/0001144204-09-002010-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114420410001871/0001144204-10-001871-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114420410068522/0001144204-10-068522-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114420412002370/0001144204-12-002370-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114420413001064/0001144204-13-001064-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114420414002163/0001144204-14-002163-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114420414076150/0001144204-14-076150-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114420415073189/0001144204-15-073189-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114420416141034/0001144204-16-141034-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000095015917000278/0000950159-17-000278-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114036119013515/0001140361-19-013515-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114036120001614/0001140361-20-001614-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114036121001080/0001140361-21-001080-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114036121042974/0001140361-21-042974-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1100000,860000,1430000,1200000,1060406,1287507,793238,1341952,2469727,2428098,1483150,1354912,504829,773868,625584,664620,942748,965115,987848,585000,2163000,3349000,6234000
32,Short-Term Investments,40000,60000,40000,30000,41093,46137,55742,59222,70880,52044,52100,54748,52352,65568,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1140000,920000,1470000,1230000,1101499,1333644,848980,1401174,2540607,2480142,1535250,1409660,557181,839436,625584,664620,942748,965115,987848,585000,2163000,3349000,6234000
34,Net Receivables,3530000,3610000,2900000,3240000,4484633,5467577,5514341,4987722,5620092,6353411,5024768,6939282,6127072,5631413,3657578,8563522,13084846,12353582,14350462,19726000,21490000,20245000,52312000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,415934,- -,- -,- -,- -,356875,349813,2391000,4371000,3666000,3227000
36,Other Current Assets,150000,180000,110000,100000,57844,67524,76120,126678,156802,228664,239437,96608,279835,128210,380325,221398,200708,233716,324745,354000,531000,433000,3002000
37,Total Current Assets,4820000,4710000,4480000,4570000,5643976,6868745,6439441,6515574,8317501,9062217,6799455,8445550,7380022,6599059,4663487,9449540,14228302,13909288,16012868,23056000,28555000,27693000,64775000
38,PP&E,180000,240000,170000,110000,102930,111816,242270,178099,217528,303855,179779,111478,459850,511403,21922,16650,77492,287391,392827,3787000,3954000,7598000,7913000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2704069,- -,8443477,7745895,11458000,13525000,14146000,18486000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3300119,1875754,1714702,3271649,1821526,- -,4467556,9302653,12373266,11848598,12347000,13598000,13333000,24173000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3300119,1875754,1714702,3271649,1821526,- -,7171625,9302653,20816743,19594493,23805000,27123000,27479000,42659000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97299,167049,- -,76720,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,754000,1114000,1017000,1184003,- -,- -,- -,- -,844977,1781792,- -,- -,- -,- -
44,Other Non-Current Assets,100000,90000,80000,50000,51354,49928,49418,49418,49035,50801,55991,53688,- -,- -,60724,- -,103258,99658,115493,263000,87000,265000,577000
45,Total Non-Current Assets,280000,330000,250000,160000,154284,161744,291688,227517,266563,4408775,3225524,2896868,5012801,2499978,82646,7264995,9483403,22048769,21884605,27855000,31164000,35342000,51149000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5100000,5040000,4730000,4730000,5798260,7030489,6731129,6743091,8584064,13470992,10024979,11342418,12392823,9099037,4746133,16714535,23711705,35958057,37897473,50911000,59719000,63035000,115924000
48,Accounts Payable,2190000,2160000,1830000,1760000,2273345,3164933,3192944,2714086,3822677,4046141,3216908,4516547,4858344,4450252,3031135,8037086,11901042,9298029,12693051,16798000,22061000,20769000,37243000
49,Short-Term Debt,200000,200000,330000,11898,803840,808393,8393,7244,3795,2061308,669141,1532354,1387313,1685616,1431336,4003385,5983111,7855551,7495685,10627000,9371000,12450000,32336000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,170000,310000,250000,578102,108640,153720,196861,185563,205555,303659,422110,564386,419649,670070,384354,781957,1356440,1878003,2658136,2218000,3313000,4846000,9980000
53,Total Current Liabilities,2560000,2670000,2410000,2350000,3185825,4127046,3398198,2906893,4032027,6411108,4308159,6613287,6665306,6805938,4846825,12822428,19240593,19031583,22846872,29643000,34745000,38065000,79559000
54,Long-Term Debt,140000,90000,30000,- -,- -,21962,13572,6337,2550,2110237,1506096,13889,1125291,221620,- -,- -,- -,5087648,3003392,4175000,7143000,9355000,12020000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1131000,2000000,1569000,2299000
57,Other Non-Current Liabilities,120000,120000,120000,80000,78568,78568,78568,78568,78568,78568,78568,78568,78568,78568,78568,943972,997407,78568,78568,935000,953000,1364000,3927000
58,Total Non-Current Liabilities,260000,210000,150000,80000,78568,100530,92140,84905,81118,2188805,1584664,92457,1203859,300188,78568,943972,997407,5166216,3081960,6241000,10096000,12288000,18246000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2644000,3032000
61,Total Liabilities,2820000,2880000,2560000,2430000,3264393,4227576,3490338,2991798,4113145,8599913,5892823,6705744,7869165,7106126,4925393,13766400,20238000,24197799,25928832,35884000,44841000,50353000,97805000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,1000,1285,1285,1216,1064,1064,1064,1339,27,36,36,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,20000,16843,- -,16843,17043,17043,17427,23294,18504,21105,21732,20018,27711,574,574,574,1000,1000,1000,1000
64,Retained Earnings,2040000,1930000,1950000,1830000,2029095,- -,2725085,2781087,3090470,1430043,173845,541694,-131003,-2824719,-4997953,-5360408,-4962563,-2161994,-1250701,-606000,42000,-1683000,3520000
65,Other Comprehensive Income/Loss,-400000,-470000,-530000,-590000,-10934,2802913,-360000,-300000,11660,-13610,-13807,-11338,-14032,-1063,- -,- -,- -,- -,- -,- -,- -,-2000000,- -
66,Other Total Stockholders Equity,640000,700000,750000,1036352,498863,- -,858863,1253163,1350746,3435934,3947539,4086598,4646524,4795897,4797611,8279493,8435667,12920416,12109422,15632000,14835000,16364000,14598000
67,Total Stockholders Equity,2280000,2160000,2170000,2296352,2533867,2802913,3240791,3751293,4470919,4871079,4132156,4636674,4523658,1992911,-179260,2948135,3473705,10759032,10859331,15027000,14878000,12682000,18119000
68,Total Liabilities And Stockholders Equity,5100000,5040000,4730000,4726352,5798260,7030489,6731129,6743091,8584064,13470992,10024979,11342418,12392823,9099037,4746133,16714535,23711705,34956831,36788163,50911000,59719000,63035000,115924000
69,Minority Interest,- -,- -,- -,3648,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1001226,1109310,- -,- -,- -,- -
70,Total Liabilities & Equity,5100000,5040000,4730000,4730000,5798260,7030489,6731129,6743091,8584064,13470992,10024979,11342418,12392823,9099037,4746133,16714535,23711705,35958057,37897473,50911000,59719000,63035000,115924000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1133062/000114420402001742/0001144204-02-001742-index.html,https://www.sec.gov/Archives/edgar/data/1133062/000114420403008859/0001144204-03-008859-index.html,https://www.sec.gov/Archives/edgar/data/1133062/000114420404022946/0001144204-04-022946-index.html,- -,https://www.sec.gov/Archives/edgar/data/1133062/000114420406055054/0001144204-06-055054-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114420408002233/0001144204-08-002233-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114420409002010/0001144204-09-002010-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114420410001871/0001144204-10-001871-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114420410068522/0001144204-10-068522-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114420412002370/0001144204-12-002370-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114420413001064/0001144204-13-001064-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114420414002163/0001144204-14-002163-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114420414076150/0001144204-14-076150-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114420415073189/0001144204-15-073189-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114420416141034/0001144204-16-141034-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000095015917000278/0000950159-17-000278-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114036119013515/0001140361-19-013515-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114036120001614/0001140361-20-001614-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114036121001080/0001140361-21-001080-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114036121042974/0001140361-21-042974-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,10000,-130000,40000,-118783,196787,264355,430019,56995,322979,-1645427,-1241198,382895,-657697,-2678716,-2158234,-335193,639720,3195758,516104,198000,274000,-1725000,5203000
74,Depreciation and Amortization,100000,110000,120000,84561,55892,63375,96866,107649,99415,852006,552707,246205,338135,392837,19191,28315,401153,679199,878923,907000,1197000,1229000,1491000
75,Deferred Income Tax,100000,- -,- -,- -,- -,- -,- -,- -,- -,-754000,-360000,97000,-126000,1184003,- -,- -,- -,-2595000,419148,69000,267000,-610000,730000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17249,9200,- -,- -,- -,239850,82225,132095,341409,678000,296000,269000,115000
77,Change in Working Capital,-200000,-220000,30000,150000,238151,283548,299544,567438,676793,-1634365,-159813,-659033,-1117547,-921595,23541,-3189550,-1639403,-110004,-1711709,247004,397000,-4182000,-5811000
78,Accounts Receivable,- -,-80000,690000,- -,- -,- -,- -,- -,- -,- -,1485961,-2225363,555935,901638,943277,-2250241,-1885983,1347740,-1891109,-3936000,-365000,2494000,-20698000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-415934,- -,- -,- -,- -,15337,7062,-74000,-67000,-171000,-43000
80,Accounts Payable,- -,30000,330000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,2260000,2040000,2070000,2220000,2458151,2741699,3041243,3608681,4285474,2651109,2491296,1832263,714716,-206879,-183338,-3372888,-5012291,-5122295,-6834004,-6587000,-6190000,-10372000,- -
82,Other Non-Cash Items,-20000,210000,410000,-194072,-1087910,-338078,-283242,-130802,-123418,2713651,1904953,433572,1344639,1789257,1930053,1856490,1319388,-226361,2744247,-1251004,4772000,4465000,-1929000
83,Cash Provided by Operating Activities,-10000,-30000,600000,-78294,-597080,273200,543187,601280,975769,-468135,713898,509839,-218470,-234214,-185449,-1400088,803083,1075687,3188122,848000,7203000,-554000,-201000
84,CAPEX,-60000,-170000,-50000,-26632,-50946,-72261,-227320,-43478,-138844,-57036,-12239,-16852,-452393,-166157,-2917,-9152,-40540,-139467,-218363,-89000,-421000,-1297000,-234000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-423867,- -,- -,- -,- -,469067,-4358773,-2494641,-10734663,15986,-7386000,-6179000,-247000,-15874000
86,Purchases of Investments,- -,- -,- -,-607,-461,-353,-1746,-2333,-2761,-6434,-253,-178,-298,-248,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,61915,-9152,- -,- -,- -,-125000,- -,- -,- -
89,Cash Used for Investing Activites,-60000,-170000,-60000,-27239,-51407,-72614,-229066,-45811,-141605,-487337,-12492,-17030,-452691,-165405,528065,-4367925,-2535181,-10874130,-202377,-7600000,-6600000,-1544000,-16108000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1686513,-631600,-630572,13733,-605900,- -,- -,-550000,-1084864,-1657000,-1456000,-150000,-2948000
91,Common Stock Issued,- -,- -,- -,- -,18010,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,45500,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-65812,-2743,-8523,- -,-37625,150000,- -,- -,- -,- -,-240000,-400000,- -,-445000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11296,-15000,-15000,-15000,-15000,-15000,-15000,-15000,-1093000,- -,-55000,- -
94,Other Financing Activites,-60000,-40000,30000,-124608,491942,26515,-808390,-6755,359423,916586,48682,21849,504275,550000,130000,5322049,1979726,10385810,-1623148,9499000,2431000,3934000,22142000
95,Cash Used/Provided by Financing Activities,-60000,-40000,30000,-124608,509952,26515,-808390,-6755,293611,913843,-1646354,-621047,-178922,698733,-490900,5807049,2010226,9820810,-2963012,6349000,975000,3284000,19194000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-120000,-240000,570000,-230141,-138535,227101,-494269,548714,1127775,-41629,-944948,-128238,-850083,299113,-148284,39036,278128,22367,22733,-403000,1578000,1186000,2885000
98,Cash at the End of Period,-120000,860000,1430000,1198941,1060406,1287507,793238,1341952,2469727,2428098,1483150,1354912,504829,773868,625584,664620,942748,965115,987848,585000,2163000,3349000,6234000
99,Cash at the Beginning of Period,- -,1100000,860000,1429082,1198941,1060406,1287507,793238,1341952,2469727,2428098,1483150,1354912,474755,773868,625584,664620,942748,965115,988000,585000,2163000,3349000
100,Free Cash Flow,-70000,-200000,550000,-104926,-648026,200939,315867,557802,836925,-525171,701659,492987,-670863,-400371,-188366,-1409240,762543,936220,2969759,759000,6782000,-1851000,-435000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1133062/000114420402001742/0001144204-02-001742-index.html,https://www.sec.gov/Archives/edgar/data/1133062/000114420403008859/0001144204-03-008859-index.html,https://www.sec.gov/Archives/edgar/data/1133062/000114420404022946/0001144204-04-022946-index.html,- -,https://www.sec.gov/Archives/edgar/data/1133062/000114420406055054/0001144204-06-055054-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114420408002233/0001144204-08-002233-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114420409002010/0001144204-09-002010-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114420410001871/0001144204-10-001871-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114420410068522/0001144204-10-068522-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114420412002370/0001144204-12-002370-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114420413001064/0001144204-13-001064-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114420414002163/0001144204-14-002163-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114420414076150/0001144204-14-076150-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114420415073189/0001144204-15-073189-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114420416141034/0001144204-16-141034-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000095015917000278/0000950159-17-000278-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114036119013515/0001140361-19-013515-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114036120001614/0001140361-20-001614-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114036121001080/0001140361-21-001080-index.htm,https://www.sec.gov/Archives/edgar/data/1133062/000114036121042974/0001140361-21-042974-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
