,https://roic.ai/company/ALB,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,0.18,0.40,0.59,1.32,0.72,0.82,0.94,1.11,0.74,0.89,0.87,0.66,1.24,1.51,2.41,2.13,1.95,3.54,4.82,3.49,4.93,1.69,3.01,5.73,0.49,6.40,5.03,3.53,1.16
26,EPS Diluted,0.18,0.40,0.59,1.32,0.72,0.81,0.94,1.09,0.73,0.86,0.85,0.65,1.21,1.47,2.36,2.10,1.94,3.51,4.77,3.47,4.90,1.69,3.00,5.68,0.49,6.34,5.02,3.52,1.16
27,Weighted Average Shares Outstanding,117837838,129873418,132542373,117684000,110328000,103116000,93778000,91764000,91532000,84208000,82510000,83134000,92696000,94624000,95254000,91338000,91512000,91393000,90522000,89189000,83839000,78696000,111182000,112379000,110914000,108427000,105949000,106402000,106402000
28,Weighted Average Shares Outstanding Diluted,117837838,129873418,132542373,119976000,111336000,104272000,95026000,93212000,93048000,86274000,84292000,85054000,95496000,97136000,97216000,92530000,92046000,92184000,91522000,89884000,84322000,79102000,111556000,113239000,112380000,109458000,106321000,106808000,106808000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/915913/000119312504032296/0001193125-04-032296-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000119312505049532/0001193125-05-049532-index.htm,- -,https://www.sec.gov/Archives/edgar/data/915913/000119312507044118/0001193125-07-044118-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000119312508042183/0001193125-08-042183-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000119312509040740/0001193125-09-040740-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000119312510042722/0001193125-10-042722-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000119312511047404/0001193125-11-047404-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000119312512071957/0001193125-12-071957-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000119312513062728/0001193125-13-062728-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000091591314000008/0000915913-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000091591315000009/0000915913-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000091591316000041/0000915913-16-000041-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000091591317000010/0000915913-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000091591318000005/0000915913-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000091591319000021/0000915913-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000091591320000040/0000915913-20-000040-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000091591321000018/0000915913-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000091591322000027/0000915913-22-000027-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,32500000,32100000,33100000,14242000,34322000,21180000,48621000,19300000,30585000,37636000,35173000,46390000,58570000,149499000,130551000,253303000,308791000,529650000,469416000,477696000,477239000,2489768000,213734000,2269756000,1137303000,555320000,613110000,746724000,439272000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,656244000,- -
33,Cash and Short-Term Investments,32500000,32100000,33100000,14242000,34322000,21180000,48621000,19300000,30585000,37636000,35173000,46390000,58570000,149499000,130551000,253303000,308791000,529650000,469416000,477696000,477239000,2489768000,213734000,2269756000,1137303000,555320000,613110000,1402968000,439272000
34,Net Receivables,140400000,182000000,198100000,141293000,154421000,145207000,155140000,174297000,175160000,197089000,226026000,341551000,387463000,400053000,425362000,347529000,329215000,374660000,391571000,449025000,518268000,457472000,656445000,543105000,619393000,697887000,752448000,637827000,700058000
35,Inventory,136400000,156600000,177600000,84499000,90283000,127206000,110816000,107418000,159661000,160805000,204703000,338757000,411023000,378302000,472826000,538857000,347506000,389210000,431495000,428145000,436049000,358361000,508728000,450263000,592781000,700540000,768984000,750237000,812920000
36,Other Current Assets,18200000,19400000,20000000,19107000,17710000,17937000,18022000,14139000,18255000,17534000,15467000,20712000,16607000,33000000,24699000,39234000,46575000,54678000,63138000,52447000,51359000,43249000,452096000,43494000,128086000,44674000,90567000,-584848000,55731000
37,Total Current Assets,327500000,390100000,428800000,259141000,296736000,311530000,332599000,315154000,383661000,413064000,481369000,747410000,873663000,960854000,1053438000,1178923000,1032087000,1348198000,1355620000,1407313000,1482915000,3348850000,1831003000,3306618000,2477563000,1998421000,2225109000,2206184000,2007981000
38,PP&E,674900000,665100000,685900000,495724000,496640000,514668000,495385000,490074000,529672000,1497989000,1605048000,2064585000,966817000,2169433000,2314509000,2322996000,2406129000,2440178000,2619428000,2818604000,2972084000,2620670000,3881162000,3910522000,4124335000,4799063000,6817843000,5490917000,6064357000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,251100000,270185000,278767000,292721000,272238000,273145000,276966000,284203000,243262000,2893811000,1540032000,1610355000,1567169000,1578785000,1665520000,1597627000
40,Intangible Assets,34100000,30900000,29000000,23092000,17601000,21291000,17897000,22455000,31748000,35171000,118584000,404128000,394470000,151951000,171354000,167011000,150523000,134764000,130281000,94464000,88203000,44125000,1733047000,354564000,421503000,386143000,354622000,349105000,308947000
41,Intangible Assets,34100000,30900000,29000000,23092000,17601000,21291000,17897000,22455000,31748000,35171000,118584000,404128000,394470000,403051000,441539000,445778000,443244000,407002000,403426000,371430000,372406000,287387000,4626858000,1894596000,2031858000,1953312000,1933407000,2014625000,1906574000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121951000,146084000,180690000,198427000,207141000,212178000,194042000,455417000,457533000,534064000,528722000,579813000,656244000,897708000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26938000,- -,- -,- -,- -,64512000,65667000,62440000,76025000,61132000,25108000,17029000,15275000,20317000,18797000
44,Other Non-Current Assets,48500000,53100000,60800000,68304000,77204000,90308000,108213000,154120000,184394000,-753268000,-817710000,-773378000,312293000,-1002970000,-1005974000,-1196931000,-1255987000,-1307987000,-1373077000,-1431709000,-1520453000,-1290286000,-1255451000,-1469194000,-1442156000,-1714873000,-1710584000,62659000,78701000
45,Total Non-Current Assets,757500000,749100000,775700000,587120000,591445000,626267000,621495000,666649000,745814000,779892000,905922000,1695335000,1673580000,1569514000,1777012000,1693794000,1739470000,1719883000,1848204000,2029978000,2101882000,1874253000,7784011000,4854589000,5273209000,5583253000,7635754000,8244762000,8966137000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1085000000,1139200000,1204500000,846261000,888181000,937797000,954094000,981803000,1129475000,1192956000,1387291000,2442745000,2547243000,2530368000,2830450000,2872717000,2771557000,3068081000,3203824000,3437291000,3584797000,5223103000,9615014000,8161207000,7750772000,7581674000,9860863000,10450946000,10974118000
48,Accounts Payable,76900000,99100000,102800000,66968000,50668000,45073000,61386000,72296000,63559000,75092000,111431000,202410000,222142000,202488000,198817000,224333000,170287000,175183000,184472000,172866000,194064000,231705000,306517000,281874000,418537000,522516000,574138000,483221000,647986000
49,Short-Term Debt,14000000,18600000,17000000,7457000,379000,408000,779000,299000,157862000,343000,190000,45047000,57564000,50731000,16627000,26202000,36310000,8983000,14416000,12700000,24554000,711096000,677345000,247544000,422012000,307294000,210473000,804677000,389920000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7645000,2393000,23780000,31630000,29451000,31879000,19554000,69432000,254416000,54937000,60871000,32461000,32251000,27667000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18819000,13955000,17896000,10370000,- -,- -,- -,- -,- -,394852000,- -
52,Other Current Liabilities,55000000,63400000,74400000,73523000,61513000,62455000,69188000,69521000,82416000,89572000,98450000,126289000,142211000,229730000,187473000,187832000,146667000,180011000,183471000,185488000,199849000,186715000,632823000,610685000,360376000,353363000,624385000,119099000,836429000
53,Total Current Liabilities,145900000,181100000,194200000,147948000,112560000,107936000,131353000,142116000,303837000,165007000,210071000,373746000,421917000,482949000,402917000,438367000,353264000,364177000,401178000,385009000,436363000,1139886000,1616685000,1140103000,1200925000,1183173000,1408996000,1801849000,1874335000
54,Long-Term Debt,81400000,237800000,200100000,24406000,91414000,192530000,158981000,97681000,12353000,180137000,228389000,899584000,775889000,681859000,707311000,906062000,776403000,851927000,749257000,686588000,1054310000,2223035000,3174674000,2121718000,1415360000,1397916000,2862921000,2767381000,2131316000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3362000,2444000,2010000,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,117200000,123900000,133100000,104543000,97167000,110000000,92011000,99603000,99714000,128849000,143665000,248751000,193950000,100868000,107089000,74838000,81441000,109570000,77903000,63368000,129188000,56884000,736317000,412739000,370389000,382982000,397858000,394852000,353279000
57,Other Non-Current Liabilities,40300000,51400000,54500000,64166000,69704000,75664000,81185000,83496000,120269000,149223000,168945000,209289000,225212000,236594000,280467000,387679000,307131000,266661000,296659000,366956000,219716000,312653000,686025000,544043000,946402000,858495000,1097508000,1018270000,809581000
58,Total Non-Current Liabilities,238900000,413100000,387700000,193115000,258285000,378194000,332177000,280780000,232336000,458209000,540999000,1357624000,1195051000,1019321000,1094867000,1368579000,1164975000,1228158000,1123819000,1120274000,1405658000,2594582000,4597016000,3078500000,2732151000,2639393000,4358287000,4180503000,3294176000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,137823000,116765000,126997000
61,Total Liabilities,384800000,594200000,581900000,341063000,370845000,486130000,463530000,422896000,536173000,623216000,751070000,1731370000,1616968000,1502270000,1497784000,1806946000,1518239000,1592335000,1524997000,1505283000,1842021000,3734468000,6213701000,4218603000,3933076000,3822566000,5767283000,5982352000,5168511000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,550000,539000,470000,462000,458000,455000,417000,412000,419000,467000,949000,947000,910000,915000,916000,888000,889000,801000,780000,1122000,1125000,1105000,1056000,1061000,1069000,1170000
64,Retained Earnings,- -,31100000,95500000,237081000,299401000,365113000,435211000,515914000,560275000,571551000,611430000,641914000,727874000,838162000,1023022000,1165503000,1287983000,1560519000,1798117000,1744684000,1500358000,1410651000,1615407000,2121931000,2035163000,2566050000,2943478000,3155252000,3096539000
65,Other Comprehensive Income/Loss,-685500000,-761300000,-808000000,-653108000,-691612000,-744672000,-792122000,-836460000,-895531000,-4514000,23643000,46203000,12047000,-10058000,99885000,-100642000,-91860000,-164196000,-222922000,85264000,116245000,-62413000,-421288000,-412412000,-225668000,-350682000,-395735000,-326132000,-392450000
66,Other Total Stockholders Equity,1385700000,1275200000,1335100000,920675000,909008000,830756000,847013000,878995000,928103000,2286000,736000,22839000,189887000,199045000,154451000,- -,8658000,18835000,15194000,2761000,9957000,10447000,2059151000,2084418000,1863949000,1368897000,1383446000,1438038000,- -
67,Total Stockholders Equity,700200000,545000000,622600000,505198000,517336000,451667000,490564000,558907000,593302000,569740000,636221000,711375000,930275000,1028098000,1278305000,1065771000,1205696000,1416074000,1591277000,1833598000,1627361000,1359465000,3254392000,3795062000,3674549000,3585321000,3932250000,4268227000,5625266000
68,Total Liabilities And Stockholders Equity,1085000000,1139200000,1204500000,846261000,888181000,937797000,954094000,981803000,1129475000,1192956000,1387291000,2442745000,2547243000,2530368000,2776089000,2872717000,2723935000,3008409000,3116274000,3338881000,3469382000,5093933000,9468093000,8013665000,7607625000,7407887000,9699533000,10250579000,10793777000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54361000,- -,47622000,59672000,87550000,98410000,115415000,129170000,146921000,147542000,143147000,173787000,161330000,200367000,180341000
70,Total Liabilities & Equity,1085000000,1139200000,1204500000,846261000,888181000,937797000,954094000,981803000,1129475000,1192956000,1387291000,2442745000,2547243000,2530368000,2830450000,2872717000,2771557000,3068081000,3203824000,3437291000,3584797000,5223103000,9615014000,8161207000,7750772000,7581674000,9860863000,10450946000,10974118000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/915913/000119312504032296/0001193125-04-032296-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000119312505049532/0001193125-05-049532-index.htm,- -,https://www.sec.gov/Archives/edgar/data/915913/000119312507044118/0001193125-07-044118-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000119312508042183/0001193125-08-042183-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000119312509040740/0001193125-09-040740-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000119312510042722/0001193125-10-042722-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000119312511047404/0001193125-11-047404-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000119312512071957/0001193125-12-071957-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000119312513062728/0001193125-13-062728-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000091591314000008/0000915913-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000091591315000009/0000915913-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000091591316000041/0000915913-16-000041-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000091591317000010/0000915913-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000091591318000005/0000915913-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000091591319000021/0000915913-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000091591320000040/0000915913-20-000040-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000091591321000018/0000915913-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000091591322000027/0000915913-22-000027-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,21800000,51300000,78200000,156059000,79982000,84732000,88829000,101776000,68167000,74745000,71945000,54839000,114867000,142969000,229690000,194202000,178368000,323720000,436280000,311536000,413171000,133316000,334906000,643675000,54850000,693562000,533228000,375764000,123672000
74,Depreciation and Amortization,88500000,93300000,94100000,71044000,69044000,75012000,75750000,73750000,77610000,80603000,84014000,97268000,117435000,112950000,106855000,111685000,100513000,95578000,96753000,99020000,107370000,103572000,260076000,226169000,196928000,200698000,213484000,231984000,254000000
75,Deferred Income Tax,2700000,-5200000,-2400000,-21404000,8070000,7730000,-2887000,13405000,3517000,10888000,4165000,-8130000,10185000,-60856000,-9128000,-12048000,1720000,- -,14682000,-14587000,64865000,-64947000,-136298000,21121000,-41941000,49164000,14394000,-1976000,-38500000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18467000,307000,15694000,27069000,15211000,10164000,14267000,15188000,17031000,19404000,15228000,19680000,22837000,20120000
77,Change in Working Capital,-18600000,27400000,25600000,-123407000,72983000,19418000,-2348000,-28208000,-93214000,168233000,23241000,102366000,78082000,26159000,172616000,90035000,-61733000,305198000,-29579000,67862000,24248000,1162412000,-1994646000,1952197000,-889877000,-461390000,865000,-411778000,111722000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90481000,1269000,-57414000,-16435000,-25992000,-65906000,36221000,-8788000,-42816000,-74545000,-97448000,-18220000,100118000,-49295000
79,Inventory,-14600000,-13500000,-27800000,-3234000,-11378000,-31557000,12548000,3423000,2094000,6268000,-16309000,-18077000,-73022000,38626000,-70636000,-87929000,180132000,-58582000,-41749000,7364000,-1810000,-6486000,27649000,25974000,-101545000,-124067000,-46304000,51978000,-127401000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33452000,-53543000,13463000,-11971000,-16798000,21316000,28296000,23745000,43953000,53421000,73730000,-12234000,-31519000,143939000
81,Other Working Capital,181600000,209000000,234600000,111193000,184176000,203594000,201246000,173038000,79824000,248057000,271298000,373664000,451746000,477905000,650521000,740556000,678823000,984021000,954442000,1022304000,1046552000,2208964000,214318000,2166515000,1276638000,815248000,816113000,404335000,- -
82,Other Non-Cash Items,7200000,-56100000,-79300000,-53823000,-131271000,-49678000,4953000,-5656000,87885000,-189698000,-33267000,-54788000,-151707000,155072000,-257491000,-86594000,139350000,-408881000,-57846000,9724000,-186959000,-856011000,1881463000,-2126790000,964615000,48903000,-62277000,582083000,-126757000
83,Cash Provided by Operating Activities,101600000,110700000,116200000,28469000,98808000,137214000,164297000,155067000,143965000,144771000,150098000,191555000,168862000,376294000,242542000,315747000,358525000,331309000,487359000,488766000,432859000,492609000,360689000,733403000,303979000,546165000,719374000,798914000,344257000
84,CAPEX,-88100000,-70400000,-112400000,-90439000,-85284000,-76747000,-77569000,-52248000,-49903000,-38382000,-41058000,-57652000,-70080000,-99847000,-98740000,-99736000,-100786000,-75478000,-190574000,-280873000,-155346000,-110576000,-227649000,-196654000,-317703000,-699991000,-851796000,-850477000,-953667000
85,Acquisitions Net,- -,- -,- -,- -,- -,-15229000,- -,-35006000,-113245000,- -,- -,-785247000,-7473000,-25970000,-29581000,-63960000,-20457000,-16027000,-13164000,6286000,-2565000,104718000,-1991451000,3116837000,-39825000,396566000,-822569000,-11572000,289791000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-145871000,-10733000,-12370000,- -,-11986000,-12881000,-521000,-4312000,-5023000,-3452000,-387000,-1338000,-10868000,-1615000,- -,-33425000,- -,- -,-275000,-270000,- -,-2427000,-6488000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,157516000,- -,- -,- -,- -,- -,3135000,- -,414000,6000000,- -,652000,1670000,- -,169000,649000,998000,305000,- -,- -,384000,903000,3774000
88,Other Investing Activites,-107800000,16400000,58600000,489663000,-5006000,2213000,56000,800000,-217000,-2627000,-113348000,-12848000,-3088000,-14991000,- -,-102292000,-100786000,-75478000,-190574000,-305832000,-155346000,-118075000,-170099000,-196654000,-317703000,-699991000,-841440000,-850477000,-953667000
89,Cash Used for Investing Activites,-195900000,-54000000,-53800000,399224000,-90290000,-89763000,-65868000,-97187000,-175735000,-41009000,-166392000,-868628000,-78027000,-145120000,-132930000,-163704000,-121630000,-92191000,-212936000,-301161000,-157742000,-46133000,-2160552000,2920488000,-357803000,-303695000,-1663625000,-863573000,-666590000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48283000,-134332000,-424123000,-109591000,-63811000,-135733000,-11842000,-2626241000,-1416023000,-639458000,-113567000,-301579000,-250000000,-1173823000
91,Common Stock Issued,- -,99500000,- -,- -,4951000,419000,646000,1313000,- -,- -,1665000,11907000,154208000,21395000,21949000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1453888000
92,Common Stock Repurchased,- -,- -,- -,-251518000,-37515000,-140605000,-15474000,-9798000,-7585000,-93074000,-17588000,-827000,- -,-31837000,-101209000,-168952000,-5812000,-14945000,-178132000,-63575000,-582298000,-150000000,- -,- -,-250000000,-500000000,- -,- -,- -
93,Dividends Paid,- -,-9600000,-13500000,-14233000,-16563000,-19271000,-18797000,-19752000,-23844000,-22979000,-26228000,-30142000,-29847000,-31582000,-40031000,-55935000,-56141000,-49643000,-57759000,-69113000,-78107000,-84102000,-119302000,-135353000,-140557000,-144596000,-152204000,-161818000,-177853000
94,Other Financing Activites,83800000,-147000000,-48000000,-180830000,60689000,98864000,-34698000,-59706000,75001000,10961000,35871000,705394000,-193590000,-101501000,-20379000,259549000,15502000,480773000,16363000,19205000,508092000,1855273000,2267218000,-26527000,-56853000,-28363000,1496470000,589079000,-52000000
95,Cash Used/Provided by Financing Activities,83800000,-57100000,-61500000,-446581000,11562000,-60593000,-68323000,-87943000,43572000,-105092000,-6280000,686332000,-69229000,-143525000,-139670000,-13621000,-180783000,-7938000,-329119000,-177294000,-288046000,1609329000,-478325000,-1577903000,-1086868000,-786526000,1042687000,177261000,50212000
