,https://roic.ai/company/ETR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,199502488,204208145,204942529,161343284,237445887,196024590,182575758,176451613,160135593,174563758,227669970,229084241,240207539,246396469,245127460,226580449,220944270,223047431,226804370,226863758,210141887,207456838,196572945,190925613,192772032,186010452,177430208,177324813,178211192,179506151,179176356,178885660,179671797,181409597,195195858,200106945,200963049
28,Weighted Average Shares Outstanding Diluted,199502488,204208145,204942529,161343284,237445887,196024590,182575758,176451613,160135593,174563758,227669970,229084241,240297842,246572481,245326883,228541307,224733662,227303103,231146040,231193686,214441362,211452455,202780283,201011588,195838068,187814235,178370695,177737565,178570400,180296885,179176356,178885660,180535893,183378513,196999284,201102220,202003329
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/7323/000006598495000008/0000065984-95-000008-index.html,https://www.sec.gov/Archives/edgar/data/7323/000006598496000046/0000065984-96-000046-index.html,https://www.sec.gov/Archives/edgar/data/7323/000006598497000020/0000065984-97-000020-index.html,https://www.sec.gov/Archives/edgar/data/202584/000006598498000014/0000065984-98-000014-index.html,https://www.sec.gov/Archives/edgar/data/202584/000006598499000060/0000065984-99-000060-index.html,- -,https://www.sec.gov/Archives/edgar/data/7323/000006598401000070/0000065984-01-000070-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/65984/000006598404000135/a10-kn.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598405000147/a10-k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598406000119/a10k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598407000057/a10-k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598408000052/a10k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598409000062/a10k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598410000035/a10-k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598411000033/a10-k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598412000067/a10-k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598413000050/a10-k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598414000065/etr-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598415000102/etr-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598416000436/etr-12312015x10k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598417000067/etr-12312016x10k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598418000072/etr-12312017x10k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598419000082/etr-12312018x10k.htm,https://www.sec.gov/Archives/edgar/data/1348952/000006598420000069/0000065984-20-000069-index.html,https://www.sec.gov/Archives/edgar/data/65984/000006598421000096/0000065984-21-000096-index.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598422000017/0000065984-22-000017-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,622000000,544600000,388700000,830500000,1184500000,1213700000,1382424000,751573000,1335328000,692233000,79136000,221773000,1016152000,1273001000,1920491000,1709551000,1294472000,694438000,532569000,739126000,1422026000,1350961000,1187844000,781273000,480975000,425722000,128851000,442559000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46040000,45885000,- -,- -,- -,- -,- -,- -,1630248000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,622000000,544600000,388700000,830500000,1184500000,1213700000,1382424000,751573000,1335328000,692233000,79136000,221773000,1016152000,1273001000,1920491000,1709551000,1294472000,694438000,578609000,785011000,1422026000,1350961000,1187844000,781273000,480975000,425722000,1759099000,442559000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,651800000,692900000,776400000,1272000000,1672400000,787300000,1302409000,833032000,861762000,1005529000,1213761000,1535634000,1127593000,1176071000,1481049000,980827000,1035582000,1001868000,1001715000,1172186000,1103255000,1068900000,1170167000,1212950000,1114405000,1208592000,1285727000,1370356000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,459200000,493400000,601400000,637800000,634700000,544900000,519036000,558141000,622367000,659403000,696658000,817127000,798096000,900960000,992315000,1022557000,1074428000,1096888000,1142361000,1123964000,1124018000,1091167000,878123000,905865000,870147000,970465000,172934000,1196090000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,479400000,584300000,596000000,431000000,163700000,673200000,754146000,537938000,386126000,562079000,1118563000,1481760000,383593000,608215000,766534000,821226000,934601000,829509000,960441000,848530000,740334000,556384000,448134000,385243000,492537000,441213000,-128851000,614590000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2212400000,2315200000,2362500000,3171300000,3655300000,3219100000,3958015000,2680684000,3205583000,2919244000,3108118000,4056294000,3325434000,3958247000,5160389000,4534161000,4339083000,3622703000,3683126000,3929691000,4389633000,4067412000,3684268000,3285331000,2958064000,3045992000,3088909000,3623595000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,15917000000,15820800000,16223100000,18132800000,15328600000,15500800000,16496625000,17264028000,17194952000,18298797000,18695631000,19197045000,19650803000,20974270000,22429114000,23637066000,24106202000,25869721000,27990818000,28291635000,29341906000,28513064000,28624712000,30367202000,32716093000,36012009000,62920522000,42761191000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,377172000,377172000,377172000,377172000,377172000,377172000,377172000,377172000,377172000,377172000,377172000,377172000,377172000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,377172000,377172000,377172000,377172000,377172000,377172000,377172000,377172000,377172000,377172000,377172000,377172000,377172000,377172000,377172000,377172000,377172000,377172000,377172000,377172000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,297000000,229000000,79000000,66000000,3371036000,4042359000,4249330000,4236846000,4943494000,5407166000,5354294000,5724095000,7212191000,6920164000,6404030000,7253215000,5514016000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54523000,19003000,37748000,62011000,48351000,54903000,117885000,178204000,54593000,64461000,- -,54186000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,4484100000,4129900000,4380700000,5696600000,3864100000,4265200000,5110587000,5965599000,6170262000,6958997000,6129856000,6923758000,7500322000,8254313000,8584143000,5445162000,5765937000,6563770000,6876792000,5802443000,6963626000,6280836000,7376302000,5287049000,5248980000,5820248000,-15400606000,7124082000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,20401100000,19950700000,20603800000,23829400000,19192700000,19766000000,21607212000,23229627000,23742386000,25634966000,25202659000,26794975000,27757297000,29684755000,31456429000,32830436000,34346193000,37078996000,39519376000,39476755000,42138221000,40580269000,42220166000,43421818000,45317002000,48677920000,55150303000,55830647000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,22613500000,22265900000,22966300000,27000700000,22848000000,22985100000,25565227000,25910311000,26947969000,28554210000,28310777000,30851269000,31082731000,33643002000,36616818000,37364597000,38685276000,40701699000,43202502000,43406446000,46527854000,44647681000,45904434000,46707149000,48275066000,51723912000,58239212000,59454242000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,471100000,460400000,554600000,915800000,522100000,493500000,1204227000,592529000,855446000,796572000,896528000,1655787000,1122596000,1031300000,1475745000,998228000,1181099000,1069096000,1217180000,1173313000,1166431000,1071798000,1285577000,1452216000,1496058000,1499861000,2739437000,2610132000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,672900000,755400000,366300000,987400000,728300000,315300000,1009145000,1183141000,1345493000,524723000,626604000,274440000,359861000,1174409000,761887000,954484000,457071000,2304695000,1518398000,1506305000,1500290000,711431000,782334000,2339817000,2593965000,2741739000,2791504000,2240506000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,278235000,333719000,191093000,128108000,210077000,181114000,214967000,254241000,233455000,441011000,419828000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,323342000,335058000,351741000,359078000,370997000,412166000,419407000,403311000,401330000,411505000,409171000,76289000,395184000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,887900000,884300000,961700000,898900000,699400000,1345600000,1224779000,1428250000,971250000,960928000,809251000,1197687000,982673000,1051045000,1528262000,917943000,803021000,1225167000,1011665000,1009957000,770004000,887322000,728874000,842844000,942016000,969692000,-5441147000,944920000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2031900000,2100100000,1882600000,2802100000,1949800000,2154400000,3438151000,3203920000,3172189000,2282223000,2332383000,3127914000,2465130000,3256754000,3765894000,3193997000,2776249000,4950699000,4106321000,4060572000,3848891000,3089958000,3200096000,5036207000,5443544000,5620463000,166083000,6190742000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,7093500000,6777100000,7590800000,9068300000,6596600000,6612600000,7947093000,7321028000,7086999000,7322940000,7016831000,8824493000,8798087000,9728135000,11174289000,10705738000,11317157000,10043713000,11920318000,12139149000,12500109000,13111556000,14467655000,14315259000,15518303000,17078643000,629704000,24841572000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,4565000000,4390300000,4378400000,5154900000,4147500000,3830200000,3743398000,4045754000,4698725000,5199761000,5466609000,5655778000,6179250000,6723218000,6891340000,7422319000,8865976000,8381199000,8585452000,8988400000,9380682000,8541165000,7722437000,4686137000,4320253000,4608303000,- -,4918772000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1571500000,1825600000,1674800000,2608800000,2390900000,2711200000,3032509000,3523218000,3793276000,4711299000,4833560000,5054729000,5097663000,5760647000,6507371000,7335183000,7135494000,8270818000,9299322000,8491859000,10696447000,10648211000,12432437000,14677031000,14148661000,14157828000,536202000,11797762000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,13230000000,12993000000,13644000000,16832000000,13135000000,13154000000,14723000000,14890000000,15579000000,17234000000,17317000000,19535000000,20075000000,22212000000,24573000000,25463240000,27318627000,26695730000,29805092000,29619408000,32577238000,32300932000,34622529000,33678427000,33987217000,35844774000,1165906000,41558106000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44424415000,49146303000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,155943000,153898000,146060000,175005000,188033000,220438000,343093000,566729000,3388000,42052000,38421000,34541000,32218000,29710000,27005000,23517000,21995000,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,15261900000,14839800000,15397400000,19118700000,14870000000,15092500000,18161116000,17878769000,18536068000,19516215000,19648734000,22662548000,22539931000,25469169000,28339197000,28657237000,30094876000,31646429000,33911413000,33679980000,36426129000,35390890000,37822625000,38714634000,39430761000,41465237000,999823000,47748848000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,358664000,334337000,365356000,445974000,344913000,311162000,311029000,- -,- -,- -,94000000,94000000,94000000,- -,- -,- -,- -,35000000,35000000,68110000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000,2300000,433200000,341000000,341000000,2500000,2481000,2482000,2482000,2482000,2482000,2482000,2482000,2482000,2482000,2548000,2548000,2548000,2548000,2548000,2548000,2548000,2548000,2548000,2616000,2700000,- -,2720000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,2223700000,2335600000,2341700000,2157800000,2526900000,2786500000,3190639000,3638448000,3938693000,4502508000,4984302000,5428407000,6113042000,6735965000,7382719000,8043122000,8689401000,9446960000,9704591000,9825053000,10169657000,9393913000,8195571000,7977702000,8721150000,9257609000,9897182000,10240552000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7639500000,-8259300000,-8885600000,-9585000000,-10075900000,-10898700000,-11364021000,-11805578000,-22360000,-7795000,-93453000,-343819000,-100512000,8320000,-112698000,-75185000,-38212000,-168452000,-293083000,-29324000,-42307000,8951000,-34971000,-23531000,-557173000,-446920000,-449207000,-332528000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,12765100000,13347500000,13679600000,14968200000,15186000000,16002300000,15575012000,16196190000,3919422000,4206463000,3403356000,2655677000,2182875000,1115904000,694089000,736875000,-63337000,-225786000,-216967000,-165811000,-122173000,-148621000,-81339000,35796000,677712000,1410286000,1513167000,1726540000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,7351600000,7426100000,7568900000,7882000000,7978000000,7892600000,7404111000,8031542000,8196901000,9037995000,8662043000,8188721000,8542800000,8173833000,8277621000,8707360000,8590400000,9055270000,9291089000,9726466000,10101725000,9256791000,8081809000,7992515000,8844305000,10258675000,10961142000,11705394000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,22613500000,22265900000,22966300000,27000700000,22848000000,22985100000,25565227000,25910311000,26732969000,28554210000,28310777000,30851269000,31082731000,33643002000,36616818000,37364597000,38685276000,40701699000,43202502000,43406446000,46527854000,44647681000,45904434000,46707149000,48275066000,51723912000,11960965000,59454242000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,215000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46278247000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,22613500000,22265900000,22966300000,27000700000,22848000000,22985100000,25565227000,25910311000,26947969000,28554210000,28310777000,30851269000,31082731000,33643002000,36616818000,37364597000,38685276000,40701699000,43202502000,43406446000,46527854000,44647681000,45904434000,46707149000,48275066000,51723912000,58239212000,59454242000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/7323/000006598495000008/0000065984-95-000008-index.html,https://www.sec.gov/Archives/edgar/data/7323/000006598496000046/0000065984-96-000046-index.html,https://www.sec.gov/Archives/edgar/data/7323/000006598497000020/0000065984-97-000020-index.html,https://www.sec.gov/Archives/edgar/data/202584/000006598498000014/0000065984-98-000014-index.html,https://www.sec.gov/Archives/edgar/data/202584/000006598499000060/0000065984-99-000060-index.html,- -,https://www.sec.gov/Archives/edgar/data/7323/000006598401000070/0000065984-01-000070-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/65984/000006598404000135/a10-kn.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598405000147/a10-k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598406000119/a10k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598407000057/a10-k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598408000052/a10k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598409000062/a10k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598410000035/a10-k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598411000033/a10-k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598412000067/a10-k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598413000050/a10-k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598414000065/etr-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598415000102/etr-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598416000436/etr-12312015x10k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598417000067/etr-12312016x10k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598418000072/etr-12312017x10k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598419000082/etr-12312018x10k.htm,https://www.sec.gov/Archives/edgar/data/1348952/000006598420000069/0000065984-20-000069-index.html,https://www.sec.gov/Archives/edgar/data/65984/000006598421000096/0000065984-21-000096-index.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598422000017/0000065984-22-000017-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,551900000,341800000,484600000,420000000,300900000,785600000,595000000,710915000,750507000,623072000,950467000,933049000,923758000,1132602000,1134849000,1240535000,1251050000,1270305000,1367372000,868363000,730572000,960257000,-156734000,-564503000,425353000,862555000,1258244000,1406653000,1118719000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1281838000,1705331000,1745455000,1771649000,2012076000,2127892000,2117236000,2123291000,2078578000,2040555000,2182313000,64012000,2242944000
