,https://roic.ai/company/SPR,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
38,PP&E,518800000,773800000,963800000,1068300000,1279300000,1470000000,1615700000,1698500000,1803300000,1783600000,1950700000,1991600000,2105300000,2167600000,2320600000,2574400000,2470800000
39,Goodwill,- -,6000000,- -,2700000,3000000,2900000,2900000,3000000,3000000,2900000,2700000,2300000,2500000,2400000,2400000,565300000,623700000
40,Intangible Assets,- -,40800000,- -,25200000,22800000,18100000,13900000,10100000,4700000,3200000,2800000,2200000,1800000,1400000,1200000,215200000,212300000
41,Intangible Assets,- -,46800000,- -,27900000,25800000,21000000,16800000,13100000,7700000,6100000,5500000,4500000,4300000,3800000,3600000,780500000,836000000
42,Investments,- -,- -,- -,3900000,3900000,4300000,4500000,5100000,1400000,1900000,3200000,4400000,4700000,- -,7700000,3100000,800000
43,Tax Assets,- -,39100000,30500000,146000000,95800000,55000000,55700000,192000000,- -,- -,162800000,128800000,72500000,205000000,106500000,100000,400000
44,Other Non-Current Assets,275700000,442000000,502800000,80900000,216100000,257000000,193900000,151200000,350600000,319000000,356200000,365500000,429900000,460200000,524600000,540800000,623300000
45,Total Non-Current Assets,794500000,1301700000,1497100000,1327000000,1620900000,1807300000,1886600000,2059900000,2163000000,2110600000,2478400000,2494800000,2616700000,2836600000,2963000000,3898900000,3931300000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1656600000,2722200000,3339900000,3760300000,4473800000,5102000000,5042400000,5415300000,5107200000,5162700000,5777500000,5405200000,5267800000,5685900000,7606000000,8383900000,7737300000
48,Accounts Payable,173700000,339100000,362600000,316900000,441300000,443500000,559400000,659000000,753700000,611200000,618200000,579700000,693100000,902600000,1058300000,558900000,720300000
49,Short-Term Debt,- -,- -,16000000,7100000,9100000,9500000,48900000,10300000,16800000,8500000,35000000,25900000,25900000,24300000,24400000,305400000,57700000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49400000
51,Deferred Revenue,- -,8200000,42300000,110500000,107100000,302600000,34600000,89100000,153300000,142000000,463800000,511400000,164600000,180100000,194700000,138700000,170600000
52,Other Current Liabilities,137800000,222400000,254100000,308800000,424700000,409200000,270600000,308600000,411800000,497100000,342000000,427200000,737400000,475100000,483300000,706400000,927400000
53,Total Current Liabilities,311500000,569700000,675000000,743300000,982200000,1164800000,913500000,1067000000,1335600000,1258800000,1459000000,1544200000,1621000000,1582100000,1760700000,1709400000,1876000000
54,Long-Term Debt,710000000,594300000,579000000,580900000,884700000,1187300000,1152000000,1165900000,1150500000,1132100000,1089100000,1051000000,1086300000,1828700000,2862800000,3411400000,3821500000
55,Deferred Revenue,- -,- -,- -,97400000,175300000,29000000,812400000,864400000,759800000,707900000,677400000,488800000,392700000,632900000,724000000,766400000,347600000
56,Deferred Tax Liabilities,1100000,- -,23700000,3400000,15600000,8100000,5000000,7200000,42200000,57900000,13100000,- -,300000,800000,8300000,13000000,21800000
57,Other Non-Current Liabilities,308200000,699200000,795600000,1038300000,842200000,901900000,194800000,313900000,338100000,384000000,418900000,392400000,366000000,403300000,488300000,1626700000,1221600000
58,Total Non-Current Liabilities,1019300000,1293500000,1398300000,1720000000,1917800000,2126300000,2164200000,2351400000,2290600000,2281900000,2198500000,1932200000,1845300000,2865700000,4083400000,5817500000,5412500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,12900000,9100000,9800000,38800000,42400000,196100000,228900000,252100000
61,Total Liabilities,1330800000,1863200000,2073300000,2463300000,2900000000,3291100000,3077700000,3418400000,3626200000,3540700000,3657500000,3476400000,3466300000,4447800000,5844100000,7526900000,7288500000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1200000,1300000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1200000,1100000,1100000,1100000,1100000,1100000
64,Retained Earnings,-90300000,-73500000,222900000,490100000,681800000,900700000,1093100000,1127900000,508700000,867500000,1656200000,2113900000,2422400000,2713200000,3201300000,2326400000,1781400000
65,Other Comprehensive Income/Loss,-28600000,-81200000,118000000,-134000000,-60000000,-75000000,-126000000,-145000000,-55000000,-154000000,-161000000,-187000000,-129000000,-197000000,-109000000,-154000000,-23700000
66,Other Total Stockholders Equity,443500000,1012400000,924300000,939500000,950100000,983300000,995700000,1012100000,1025400000,906600000,622900000,200000,-493500000,-1279700000,-1332000000,-1317000000,-1310500000
67,Total Stockholders Equity,325800000,859000000,1266600000,1297000000,1573300000,1810400000,1964200000,1996400000,1480500000,1621500000,2119500000,1928300000,1801000000,1237600000,1761400000,856500000,448300000
68,Total Liabilities And Stockholders Equity,1656600000,2722200000,3339900000,3760300000,4473300000,5101500000,5041900000,5414800000,5106700000,5162200000,5777000000,5404700000,5267300000,5685400000,7605500000,8383400000,7736800000
69,Minority Interest,- -,- -,- -,- -,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000
70,Total Liabilities & Equity,1656600000,2722200000,3339900000,3760300000,4473800000,5102000000,5042400000,5415300000,5107200000,5162700000,5777500000,5405200000,5267800000,5685900000,7606000000,8383900000,7737300000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1364885/000095013408003215/d53943e10vk.htm,https://www.sec.gov/Archives/edgar/data/1364885/000095013409003379/0000950134-09-003379-index.html,https://www.sec.gov/Archives/edgar/data/1364885/000095012310018396/0000950123-10-018396-index.html,https://www.sec.gov/Archives/edgar/data/1364885/000095012311016606/d78727e10vk.htm,https://www.sec.gov/Archives/edgar/data/1364885/000104746912001363/0001047469-12-001363-index.html,https://www.sec.gov/Archives/edgar/data/1364885/000104746913001981/0001047469-13-001981-index.html,https://www.sec.gov/Archives/edgar/data/1364885/000104746914001034/a2218233z10-k.htm,https://www.sec.gov/Archives/edgar/data/1364885/000162828015000760/spr-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1364885/000162828016011138/0001628280-16-011138-index.html,https://www.sec.gov/Archives/edgar/data/1364885/000162828017001120/0001628280-17-001120-index.html,https://www.sec.gov/Archives/edgar/data/1364885/000162828018001356/0001628280-18-001356-index.html,https://www.sec.gov/Archives/edgar/data/1364885/000162828019001118/0001628280-19-001118-index.html,https://www.sec.gov/Archives/edgar/data/1364885/000162828020002543/0001628280-20-002543-index.html,https://www.sec.gov/Archives/edgar/data/1364885/000162828021003321/0001628280-21-003321-index.htm,https://www.sec.gov/Archives/edgar/data/1364885/000162828022002704/0001628280-22-002704-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-90300000,16800000,296900000,265400000,191700000,218900000,192400000,34800000,-621400000,358800000,788700000,469700000,354900000,617000000,530100000,-870300000,-540800000
74,Depreciation and Amortization,31900000,64800000,105000000,131800000,133800000,120000000,134100000,156200000,161300000,176000000,181100000,208800000,214300000,231000000,251700000,277600000,327600000
75,Deferred Income Tax,- -,-125100000,9100000,-2800000,28700000,48500000,21600000,-116500000,200300000,-9600000,-162200000,900000,52400000,-38000000,86100000,95500000,-4500000
76,Stock Based Compensation,- -,- -,- -,15700000,10100000,28800000,11200000,15300000,19600000,16400000,26000000,42500000,22100000,27400000,36100000,24200000,25800000
77,Change in Working Capital,257200000,300200000,317000000,522200000,180700000,259200000,112400000,46100000,-679800000,184700000,46800000,-473900000,-336100000,237100000,1615100000,-106700000,400600000
78,Accounts Receivable,- -,- -,- -,15300000,-8200000,-41600000,-66300000,-151100000,-128500000,-64700000,62200000,-139100000,-48500000,-47900000,12800000,168300000,51500000
79,Inventory,-31400000,-318600000,-458900000,-570000000,-320700000,-300300000,-121600000,228300000,666000000,-332200000,-44200000,207800000,319600000,-61300000,-95400000,-39500000,30900000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,104200000,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,550600000,850800000,1167800000,1690000000,1870700000,2129900000,2242300000,2288400000,1608600000,1793300000,1840100000,1366200000,1030100000,1267200000,2882300000,2775600000,220000000
82,Other Non-Cash Items,25000000,16900000,-547900000,-721600000,-558900000,-550300000,-519000000,408500000,1180600000,-364700000,409300000,468900000,266100000,-304600000,-1596400000,-165200000,-271900000
83,Cash Provided by Operating Activities,223800000,273600000,180100000,210700000,-13900000,125100000,-47300000,544400000,260600000,361600000,1289700000,716900000,573700000,769900000,922700000,-744900000,-63200000
84,CAPEX,-144600000,-343200000,-288200000,-235800000,-228200000,-288100000,-249700000,-249000000,-272600000,-220200000,-360100000,-254000000,-273100000,-271200000,-232200000,-118900000,-150600000
85,Acquisitions Net,-885700000,-145400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7900000,-388500000,-21100000
86,Purchases of Investments,- -,- -,- -,-3600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,116100000,115400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,15000000,49100000,3500000,400000,-300000,500000,200000,4400000,-19400000,2700000,600000,300000,3400000,200000,5400000,7900000
89,Cash Used for Investing Activites,-1030300000,-473600000,-239100000,-119800000,-112400000,-288400000,-249200000,-248800000,-268200000,-239600000,-357400000,-253400000,-272800000,-267800000,-239900000,-502000000,-163800000
90,Debt Repayment,- -,- -,- -,-190900000,-324900000,-177600000,-38000000,-741000000,-10400000,-316800000,-571400000,-336400000,-27800000,-563000000,-130000000,-1271300000,-743600000
91,Common Stock Issued,- -,250400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-129200000,-300000000,-649600000,-496300000,-805800000,-75800000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47100000,-48000000,-50400000,-15400000,-4300000
94,Other Financing Activites,1047800000,-109500000,8300000,194400000,601000000,455000000,31300000,706400000,-3500000,281800000,520300000,267300000,-9700000,1263300000,1140600000,2056100000,584400000
95,Cash Used/Provided by Financing Activities,1047800000,140900000,8300000,3500000,276100000,277400000,-6700000,-34600000,-13900000,-164200000,-351100000,-718700000,-580900000,-153500000,884400000,769500000,-163500000
96,Effect of Forex Changes on Cash,- -,2100000,-200000,-11300000,2700000,-1500000,-600000,1900000,1500000,-600000,-1800000,-4400000,5600000,- -,5900000,3300000,-4200000
97,Net Change In Cash,1047800000,-57000000,-50900000,83100000,152500000,112600000,-303800000,262900000,-20000000,-42800000,579400000,-259600000,-274400000,348600000,1573100000,-474100000,-394700000
98,Cash at the End of Period,241300000,184300000,133400000,216500000,369000000,481600000,177800000,440700000,420700000,377900000,957300000,697700000,423300000,794100000,2367200000,1893100000,1498400000
99,Cash at the Beginning of Period,- -,241300000,184300000,133400000,216500000,369000000,481600000,177800000,440700000,420700000,377900000,957300000,697700000,445500000,794100000,2367200000,1893100000
100,Free Cash Flow,79200000,-69600000,-108100000,-25100000,-242100000,-163000000,-297000000,295400000,-12000000,141400000,929600000,462900000,300600000,498700000,690500000,-863800000,-213800000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1364885/000095013408003215/d53943e10vk.htm,https://www.sec.gov/Archives/edgar/data/1364885/000095013409003379/0000950134-09-003379-index.html,https://www.sec.gov/Archives/edgar/data/1364885/000095012310018396/0000950123-10-018396-index.html,https://www.sec.gov/Archives/edgar/data/1364885/000095012311016606/d78727e10vk.htm,https://www.sec.gov/Archives/edgar/data/1364885/000104746912001363/0001047469-12-001363-index.html,https://www.sec.gov/Archives/edgar/data/1364885/000104746913001981/0001047469-13-001981-index.html,https://www.sec.gov/Archives/edgar/data/1364885/000104746914001034/a2218233z10-k.htm,https://www.sec.gov/Archives/edgar/data/1364885/000162828015000760/spr-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1364885/000162828016011138/0001628280-16-011138-index.html,https://www.sec.gov/Archives/edgar/data/1364885/000162828017001120/0001628280-17-001120-index.html,https://www.sec.gov/Archives/edgar/data/1364885/000162828018001356/0001628280-18-001356-index.html,https://www.sec.gov/Archives/edgar/data/1364885/000162828019001118/0001628280-19-001118-index.html,https://www.sec.gov/Archives/edgar/data/1364885/000162828020002543/0001628280-20-002543-index.html,https://www.sec.gov/Archives/edgar/data/1364885/000162828021003321/0001628280-21-003321-index.htm,https://www.sec.gov/Archives/edgar/data/1364885/000162828022002704/0001628280-22-002704-index.htm
102,false,,,,,,,,,,,,,,,,,
