,https://roic.ai/company/HAIN,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/910406/000091040600000006/0000910406-00-000006-index.html,https://www.sec.gov/Archives/edgar/data/910406/000091040601500006/0000910406-01-500006-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/910406/000095016205001022/0000950162-05-001022-index.htm,https://www.sec.gov/Archives/edgar/data/910406/000095016206000926/hain10k_063006.htm,https://www.sec.gov/Archives/edgar/data/910406/000119312508017040/d10k.htm,https://www.sec.gov/Archives/edgar/data/910406/000119312508187673/0001193125-08-187673-index.html,https://www.sec.gov/Archives/edgar/data/910406/000119312509184793/0001193125-09-184793-index.html,https://www.sec.gov/Archives/edgar/data/910406/000119312510200778/0001193125-10-200778-index.html,https://www.sec.gov/Archives/edgar/data/910406/000119312511235494/0001193125-11-235494-index.html,https://www.sec.gov/Archives/edgar/data/910406/000144530512002779/0001445305-12-002779-index.html,https://www.sec.gov/Archives/edgar/data/910406/000091040613000023/0000910406-13-000023-index.html,https://www.sec.gov/Archives/edgar/data/910406/000091040614000035/0000910406-14-000035-index.html,https://www.sec.gov/Archives/edgar/data/910406/000091040615000028/0000910406-15-000028-index.html,https://www.sec.gov/Archives/edgar/data/910406/000091040617000028/hain-06302016x10k.htm,https://www.sec.gov/Archives/edgar/data/910406/000091040617000071/0000910406-17-000071-index.html,https://www.sec.gov/Archives/edgar/data/910406/000091040618000061/0000910406-18-000061-index.html,https://www.sec.gov/Archives/edgar/data/910406/000091040619000077/hain-06302019x10k.htm,https://www.sec.gov/Archives/edgar/data/910406/000091040620000056/0000910406-20-000056-index.htm,https://www.sec.gov/Archives/edgar/data/910406/000091040621000033/0000910406-21-000033-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,500000,38308000,26643000,7538000,10984000,27489000,24139000,48875000,60518000,58513000,41408000,17266000,27517000,29895000,41263000,123751000,166922000,127926000,146992000,106557000,39526000,37771000,75871000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,500000,38308000,26643000,7538000,10984000,27489000,24139000,48875000,60518000,58513000,41408000,17266000,27517000,29895000,41263000,123751000,166922000,127926000,146992000,106557000,39526000,37771000,75871000
34,Net Receivables,- -,- -,- -,- -,- -,24300000,36120000,46404000,44018000,61215000,69392000,67148000,80764000,99092000,118867000,114506000,114215000,143348000,166677000,233641000,287915000,320197000,278933000,248436000,252708000,236945000,170969000,174066000
35,Inventory,- -,- -,- -,- -,- -,29200000,48139000,49593000,53624000,66444000,86873000,76497000,105883000,129062000,175667000,158590000,157012000,171098000,186440000,250175000,320251000,382211000,408564000,427308000,391525000,364887000,248170000,285410000
36,Other Current Assets,- -,- -,- -,- -,- -,5300000,20317000,16140000,19769000,11065000,14560000,26410000,24954000,27332000,39994000,34627000,25324000,29103000,65796000,50093000,71686000,63689000,84811000,52045000,300797000,60429000,104024000,41708000
37,Total Current Assets,- -,- -,- -,- -,- -,59300000,142884000,138780000,124949000,149708000,198314000,194194000,260476000,316004000,393041000,349131000,313817000,371066000,448808000,575172000,803603000,933019000,900234000,874781000,1051587000,701787000,560934000,577055000
38,PP&E,- -,- -,- -,- -,- -,17900000,39340000,55780000,69774000,68665000,87002000,88204000,119830000,114901000,159089000,102135000,106985000,110423000,148475000,235841000,310661000,344262000,389841000,370511000,310172000,328362000,377421000,404787000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,421002000,509336000,550238000,456459000,516455000,568374000,702556000,876106000,1134368000,1136079000,1060336000,1059981000,1024136000,1008979000,861958000,871067000
40,Intangible Assets,- -,- -,- -,- -,- -,193400000,228477000,258056000,277727000,352483000,389011000,411843000,61626000,96342000,136861000,149196000,198129000,220429000,310378000,498235000,651482000,647754000,604787000,573268000,510387000,465211000,346462000,314895000
41,Intangible Assets,- -,- -,- -,- -,- -,193400000,228477000,258056000,277727000,352483000,389011000,411843000,482628000,605678000,687099000,605655000,714584000,788803000,1012934000,1374341000,1785850000,1783833000,1665123000,1633249000,1534523000,1474190000,1208420000,1185962000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49061000,46041000,50557000,45100000,46799000,36511000,2305000,20244000,18998000,20725000,18890000,17439000,16917000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,11200000,5316000,9077000,6798000,10692000,9904000,12895000,14750000,21873000,20155000,17514000,16660000,12655000,18276000,26341000,28692000,33851000,32638000,33565000,29667000,59391000,24238000,21187000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,222500000,273133000,322913000,354299000,431840000,485917000,512942000,617208000,742452000,866343000,774365000,884270000,962438000,1224785000,1683322000,2161714000,2164251000,2107846000,2056323000,1895087000,1880833000,1627518000,1628853000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,281800000,416017000,461693000,479248000,581548000,684231000,707136000,877684000,1058456000,1259384000,1123496000,1198087000,1333504000,1673593000,2258494000,2965317000,3097270000,3008080000,2931104000,2946674000,2582620000,2188452000,2205908000
48,Accounts Payable,- -,- -,- -,- -,- -,30000000,43039000,42456000,46166000,55091000,59031000,65922000,81894000,70510000,94864000,95999000,91435000,93194000,123634000,184996000,239162000,251999000,251712000,222136000,229993000,238298000,171009000,171947000
49,Short-Term Debt,- -,- -,- -,- -,- -,10400000,681000,2881000,1431000,8807000,6845000,2791000,1065000,566000,222000,44000,38000,633000,296000,12477000,100096000,31275000,26513000,9844000,26605000,25919000,1656000,11400000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,9414000,1131000,6410000,2486000,2489000,1139000,3083000,46404000,51229000,40496000,47377000,76858000,78879000,76657000,84906000,79167000,78803000,108514000,165847000,118940000,127612000,107087000
53,Total Current Liabilities,- -,- -,- -,- -,- -,40400000,53134000,46468000,54007000,66384000,68365000,69852000,86042000,117480000,146315000,136539000,138850000,170685000,202809000,274130000,424164000,362441000,357028000,340494000,422445000,383157000,300277000,290434000
54,Long-Term Debt,- -,- -,- -,- -,- -,130700000,5622000,10718000,10293000,59455000,104294000,92271000,151229000,215446000,308220000,258372000,225004000,229540000,390288000,653464000,767827000,812608000,836171000,740304000,687501000,613537000,281118000,316421000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,5537000,7854000,11100000,14912000,14807000,16723000,19086000,22232000,26524000,24615000,38283000,52915000,107633000,114395000,148439000,145297000,131507000,121475000,86909000,51910000,51849000,42639000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,700000,- -,- -,- -,- -,- -,- -,- -,664000,5012000,2647000,30227000,13661000,8261000,14950000,5020000,5237000,18860000,15999000,12770000,14697000,111654000,33531000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,131400000,11159000,18572000,21393000,74367000,119101000,108994000,170315000,238342000,339756000,285634000,293514000,296116000,506182000,782809000,921286000,963142000,986538000,877778000,787180000,680144000,444621000,392591000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82962000,96799000
61,Total Liabilities,- -,- -,- -,- -,- -,171800000,64293000,65040000,75400000,140751000,187466000,178846000,256357000,355822000,486071000,422173000,432364000,466801000,708991000,1056939000,1345450000,1325583000,1343566000,1218272000,1209625000,1063301000,744898000,683025000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,100000,321000,338000,341000,348000,371000,375000,396000,409000,411000,417000,437000,451000,462000,490000,516000,1058000,1075000,1080000,1084000,1088000,1092000,1096000
64,Retained Earnings,- -,- -,- -,- -,- -,19300000,25037000,48626000,51597000,79089000,106097000,127967000,165034000,195658000,237008000,212285000,240904000,295886000,375111000,489767000,629618000,797514000,801392000,868822000,878516000,695017000,614171000,691225000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-1500000,-18987000,-25551000,-29059000,-31555000,-40799000,-49035000,-55053000,-62803000,-79743000,2000000,-7000000,7000000,-5000000,-27000000,60000000,-42000000,-172000000,-195000000,-184000000,-225000000,-171000000,-73011000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,92100000,345353000,373240000,380969000,392915000,431096000,448983000,506024000,563692000,585135000,486621000,531382000,563366000,594029000,738298000,929733000,1015115000,1034047000,1037930000,1041449000,1048214000,999291000,903573000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,110000000,351724000,396653000,403848000,440797000,496765000,528290000,616401000,696956000,742811000,701323000,765723000,866703000,964602000,1201555000,1619867000,1771687000,1664514000,1712832000,1737049000,1519319000,1443554000,1522883000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,281800000,416017000,461693000,479248000,581548000,684231000,707136000,872758000,1052778000,1228882000,1123496000,1198087000,1333504000,1673593000,2258494000,2965317000,3097270000,3008080000,2931104000,2946674000,2582620000,2188452000,2205908000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4926000,5678000,30502000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,281800000,416017000,461693000,479248000,581548000,684231000,707136000,877684000,1058456000,1259384000,1123496000,1198087000,1333504000,1673593000,2258494000,2965317000,3097270000,3008080000,2931104000,2946674000,2582620000,2188452000,2205908000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/910406/000091040600000006/0000910406-00-000006-index.html,https://www.sec.gov/Archives/edgar/data/910406/000091040601500006/0000910406-01-500006-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/910406/000095016205001022/0000950162-05-001022-index.htm,https://www.sec.gov/Archives/edgar/data/910406/000095016206000926/hain10k_063006.htm,https://www.sec.gov/Archives/edgar/data/910406/000119312508017040/d10k.htm,https://www.sec.gov/Archives/edgar/data/910406/000119312508187673/0001193125-08-187673-index.html,https://www.sec.gov/Archives/edgar/data/910406/000119312509184793/0001193125-09-184793-index.html,https://www.sec.gov/Archives/edgar/data/910406/000119312510200778/0001193125-10-200778-index.html,https://www.sec.gov/Archives/edgar/data/910406/000119312511235494/0001193125-11-235494-index.html,https://www.sec.gov/Archives/edgar/data/910406/000144530512002779/0001445305-12-002779-index.html,https://www.sec.gov/Archives/edgar/data/910406/000091040613000023/0000910406-13-000023-index.html,https://www.sec.gov/Archives/edgar/data/910406/000091040614000035/0000910406-14-000035-index.html,https://www.sec.gov/Archives/edgar/data/910406/000091040615000028/0000910406-15-000028-index.html,https://www.sec.gov/Archives/edgar/data/910406/000091040617000028/hain-06302016x10k.htm,https://www.sec.gov/Archives/edgar/data/910406/000091040617000071/0000910406-17-000071-index.html,https://www.sec.gov/Archives/edgar/data/910406/000091040618000061/0000910406-18-000061-index.html,https://www.sec.gov/Archives/edgar/data/910406/000091040619000077/hain-06302019x10k.htm,https://www.sec.gov/Archives/edgar/data/910406/000091040620000056/0000910406-20-000056-index.htm,https://www.sec.gov/Archives/edgar/data/910406/000091040621000033/0000910406-21-000033-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-500000,2400000,2100000,1100000,3300000,11000000,-17097000,23589000,2971000,27492000,27008000,21870000,37067000,47482000,41221000,-24723000,28619000,54982000,79225000,114656000,139851000,167896000,47429000,67430000,9694000,-183314000,-80407000,77364000
74,Depreciation and Amortization,400000,1100000,1300000,1400000,2000000,4800000,11757000,12835000,8359000,8619000,9763000,13838000,12549000,15692000,19980000,21354000,18772000,- -,30459000,40095000,48040000,56587000,65622000,68697000,60809000,56914000,52088000,49569000
75,Deferred Income Tax,- -,200000,- -,100000,600000,3500000,4373000,7301000,-237000,7864000,3968000,-644000,5048000,10877000,3496000,-2599000,4046000,7685000,1642000,-7403000,-1350000,-11603000,33093000,-10456000,-21503000,-25790000,36160000,9884000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,955000,9031000,8290000,13010000,12448000,12197000,12688000,9658000,11177000,9932000,13078000,15659000
77,Change in Working Capital,700000,- -,- -,- -,- -,18900000,70850000,2562000,-21370000,12382000,46625000,-5607000,50092000,24090000,48202000,-34134000,-37625000,25414000,45618000,55043000,78397000,191139000,-27372000,-8919000,94855000,-310512000,-57973000,25964000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7889000,4593000,-22545000,-4316000,-47751000,967000,-31846000,-12886000,27675000,-24841000,21194000,33856000,-2890000
79,Inventory,700000,-500000,1200000,900000,-2200000,-4000000,-8607000,848000,-9179000,-2742000,-11436000,496000,-9841000,-9793000,-31335000,-26623000,5856000,-5677000,-5597000,-28342000,-22775000,-21097000,-15739000,-20968000,-45036000,20648000,33236000,-38522000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15225000,- -,12489000,45764000,18980000,13606000,-40665000,6806000,49286000,-16972000,-31569000,-10362000
81,Other Working Capital,- -,- -,- -,- -,- -,18900000,89750000,92312000,70942000,83324000,129949000,124342000,174434000,198524000,246726000,212592000,174967000,200381000,245999000,301042000,379439000,570578000,543206000,534287000,629142000,318630000,260657000,286621000
82,Other Non-Cash Items,900000,-4900000,-2100000,400000,-5300000,-29900000,-59319000,-23446000,32869000,-34416000,-56563000,5516000,-52212000,-31710000,-88413000,61727000,56263000,-38454000,-43274000,-94439000,-92618000,-230734000,75115000,90214000,-47810000,494039000,188220000,18319000
83,Cash Provided by Operating Activities,1500000,-1200000,1300000,3000000,600000,8300000,10564000,22841000,22592000,21941000,30801000,34973000,52544000,66431000,24486000,21625000,71030000,58658000,121960000,120962000,184768000,185482000,206575000,216624000,107222000,41269000,151166000,196759000
84,CAPEX,-22400000,-400000,-200000,-100000,-25200000,-96200000,-4298000,-13474000,-21341000,-9157000,-9918000,-9890000,-98959000,-149260000,-122017000,-12990000,-11428000,-11490000,-20427000,-72877000,-41611000,-51217000,-77284000,-63120000,-70891000,-77128000,-60893000,-71553000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-4673000,-37184000,-13568000,-57528000,-50734000,-11098000,- -,8160000,3031000,-1024000,-51415000,-45339000,-257264000,-337414000,-177290000,-104633000,-157061000,-19544000,-12368000,- -,15765000,58794000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1600000,- -,- -,- -,- -,-271000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4377000,2851000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-9800000,-700000,- -,- -,1583000,- -,- -,- -,- -,- -,- -,1392000,2894000,17219000,85000,1617000,7027000,4155000,8288000,1699000,- -,6419000,-10014000,45086000,297592000,10395000
89,Cash Used for Investing Activites,-22400000,-400000,-10000000,-800000,-25200000,-96200000,-7388000,-50658000,-34909000,-66685000,-60652000,-20988000,-100559000,-139708000,-116092000,3205000,-62758000,-55483000,-270664000,-406136000,-206236000,-151300000,-234345000,-76245000,-93273000,-32042000,252464000,-2364000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47204000,-33488000,-22000,-460000,- -,-7228000,-54853000,-308070000,-200731000,-404966000,-361962000,-609959000,-293094000
91,Common Stock Issued,6900000,8400000,- -,100000,23100000,3800000,9354000,13685000,1071000,624000,19808000,5241000,15104000,18407000,2416000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-800000,- -,- -,- -,- -,-3600000,-4281000,-1129000,-3460000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-60221000,-106067000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,14600000,-7300000,8800000,-1600000,1800000,84200000,24631000,2448000,-3983000,52830000,30195000,-16496000,57514000,65201000,89509000,7468000,1107000,7156000,147883000,296137000,108049000,72020000,308139000,82532000,356845000,281346000,265898000,236718000
95,Cash Used/Provided by Financing Activities,21500000,1100000,8800000,-2300000,24900000,88000000,33985000,16133000,-6512000,49173000,48874000,-14715000,72618000,83608000,91925000,-39736000,-32381000,7134000,147423000,296137000,100821000,17167000,69000,-118199000,-48121000,-80616000,-404282000,-162443000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,19000,-276000,-983000,-2518000,-2620000,133000,1312000,-2324000,-2199000,-33000,-58000,3659000,405000,3135000,-8178000,-11295000,-3114000,197000,-2102000,-1103000,6148000
97,Net Change In Cash,21500000,1100000,8800000,-2300000,24900000,- -,37161000,-11665000,-19105000,3446000,16505000,-3350000,24736000,11643000,-2005000,-17105000,-24142000,10251000,2378000,11368000,82488000,43171000,-38996000,19066000,-33975000,-73491000,-1755000,38100000
98,Cash at the End of Period,- -,- -,- -,- -,- -,500000,38308000,26643000,7538000,10984000,27489000,24139000,48875000,60518000,58513000,41408000,17266000,27517000,29895000,41263000,123751000,166922000,127926000,146992000,113017000,39526000,37771000,75871000
99,Cash at the Beginning of Period,100000,700000,200000,300000,200000,500000,1147000,38308000,26643000,7538000,10984000,27489000,24139000,48875000,60518000,58513000,41408000,17266000,27517000,29895000,41263000,123751000,166922000,127926000,146992000,113017000,39526000,37771000
100,Free Cash Flow,-20900000,-1600000,1100000,2900000,-24600000,-87900000,6266000,9367000,1251000,12784000,20883000,25083000,-46415000,-82829000,-97531000,8635000,59602000,47168000,101533000,48085000,143157000,134265000,129291000,153504000,36331000,-35859000,90273000,125206000
