,https://roic.ai/company/IEX,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,- -,-8800000,-6800000,-17000000,-92600000,-20100000,-100500000,-82800000,-146400000,-63300000,-99200000,-66800000,-55252000,-153934000,-90329000,-38836000,-191553000,-24099000,-348176000,-248596000,-280657000,-19617000,-122306000,-469537000,-105266000,-68162000,-72260000,-210491000,-509199000,-54746000,-81431000,-137015000,-172577000,-698100000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-225604000,-331632000,-906115000,-158825000,-89478000,-61951000,-422050000,-520125000,-200618000,-11284000,-50057000,-450396000,-350100000
91,Common Stock Issued,- -,50600000,- -,24800000,- -,- -,- -,- -,- -,- -,- -,2900000,2862000,9001000,56591000,13176000,22848000,37503000,17214000,13996000,10421000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-46000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-46000,- -,- -,- -,- -,- -,- -,- -,-50000000,- -,- -,- -,-89563000,-167503000,-219893000,-210822000,-57272000,-29074000,-173926000,-54668000,-110342000,-6100000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-10700000,-12300000,-14000000,-15800000,-16500000,-16781000,-17061000,-17721000,-18284000,-21415000,-24689000,-30393000,-37267000,-39398000,-38637000,-46334000,-54613000,-64087000,-72905000,-85726000,-96172000,-102650000,-111172000,-127478000,-147208000,-151838000,-161100000
94,Other Financing Activites,- -,-18400000,-21100000,-38100000,65600000,-23000000,50700000,38000000,65500000,-2900000,13500000,-15400000,-17991000,51251000,-54966000,-66142000,46547000,-63663000,197947000,95008000,101656000,79257000,473487000,1214140000,175990000,110841000,183498000,433516000,726595000,63443000,22677000,24348000,669974000,507800000
95,Cash Used/Provided by Financing Activities,- -,-13800000,-21100000,-13300000,65600000,-23000000,50700000,27300000,53200000,-16900000,-2300000,-29100000,-31956000,43191000,-16096000,-71250000,47980000,-50849000,184768000,71737000,22679000,-184984000,95521000,253412000,-136485000,-219045000,-184072000,-295528000,46548000,-277421000,-290011000,-227585000,-42602000,-9500000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76000,4044000,4435000,-7557000,4242000,3918000,-5993000,4176000,6450000,-42121000,-35421000,-29320000,39400000,-17446000,2712000,39176000,-28200000
97,Net Change In Cash,- -,-13800000,-21100000,-13300000,65600000,-23000000,50700000,27300000,53200000,-16900000,-2300000,200000,5520000,-3443000,1980000,1600000,-1278000,70016000,653000,24814000,-41404000,12173000,161610000,-4877000,88605000,120765000,69508000,-181119000,-92054000,139986000,90457000,166174000,393270000,-170500000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2900000,8415000,4972000,6952000,8552000,7274000,77290000,77943000,102757000,61353000,73526000,235136000,230259000,318864000,439629000,509137000,328018000,235964000,375950000,466407000,632581000,1025851000,855400000
99,Cash at the Beginning of Period,- -,1200000,3500000,800000,1500000,2400000,3500000,6300000,5900000,4700000,11800000,2700000,2895000,8415000,4972000,6952000,8552000,7274000,77290000,77943000,102757000,61353000,73526000,235136000,230259000,318864000,439629000,509137000,328018000,235964000,375950000,466407000,632581000,1025900000
100,Free Cash Flow,- -,16000000,18500000,27300000,19700000,36500000,43600000,42100000,78700000,73600000,-46600000,29400000,71989000,85661000,89070000,91368000,121198000,121894000,138819000,172740000,196294000,187473000,152737000,182066000,290373000,369986000,319964000,316545000,361675000,388895000,419256000,477150000,517728000,492600000
101,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/832101/000095012495000765/0000950124-95-000765-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/832101/000095013709001391/0000950137-09-001391-index.html,https://www.sec.gov/Archives/edgar/data/832101/000095012310019117/0000950123-10-019117-index.html,https://www.sec.gov/Archives/edgar/data/832101/000095012311018609/c62090e10vk.htm,https://www.sec.gov/Archives/edgar/data/832101/000119312512078246/0001193125-12-078246-index.html,https://www.sec.gov/Archives/edgar/data/832101/000119312513069436/0001193125-13-069436-index.html,https://www.sec.gov/Archives/edgar/data/832101/000144530514000435/iex-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/832101/000083210115000009/iex-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/832101/000083210116000057/0000832101-16-000057-index.html,https://www.sec.gov/Archives/edgar/data/832101/000083210117000016/0000832101-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/832101/000083210118000019/0000832101-18-000019-index.html,https://www.sec.gov/Archives/edgar/data/832101/000083210119000005/0000832101-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/832101/000083210120000007/0000832101-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/832101/000083210121000017/0000832101-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/832101/000083210122000008/0000832101-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
