,https://roic.ai/company/TJX,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,758000000,1278000000,1182000000,1217700000,1307000000,1366000000,1229000000,1315000000,1566000000,1690520000,2204000000,2252000000,2383000000,2761000000,2767891000,2895000000,3133000000,3063000000,3761000000,3518000000,3929634000,4402230000,4757656000,5125537000,5531374000,7150247000,10803668000,10468140000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,239000000,691000000,244000000,221000000,220000000,319000000,319000000,702000000,694000000,664793000,599000000,807000000,808000000,853000000,365583000,790000000,788000000,785000000,775000000,1274000000,1623864000,1700217000,2403831000,2452524000,2476874000,2236625000,13076137000,10930431000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44175000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6900000,- -,- -,- -,- -,- -,123817000,152553000,6395000,21525000,42903000,127008000,192447000,241905000,362501000,349486000,446071000,450604000,285102000,314000000,233057000,158191000,142170000,301268000,44175000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,34000000,12000000,8000000,-100000,- -,1000000,166000000,238000000,271000000,365249000,466447000,538605000,583475000,812097000,783203000,697553000,709095000,861499000,960514000,732929000,860049000,795807000,897722000,1098588000,1110984000,8667749000,799798000,971545000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,273000000,703000000,252000000,227800000,220000000,320000000,485000000,940000000,965000000,1153859000,1218000000,1352000000,1413000000,1708000000,1275794000,1680000000,1739000000,2009000000,2085000000,2453000000,2934517000,2781126000,3615553000,3784169000,3746049000,11046544000,14177203000,11990326000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28988000,27528000,25947000,24236000,22382000,20374000,18199000,18199000,15844000,13117000,- -,- -,60733000,85214000,176232000,221917000,243258000,9227849000,9420821000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1031000000,1981000000,1434000000,1445500000,1527000000,1686000000,1714000000,2255000000,2531000000,2844379000,3422000000,3604000000,3796000000,4469000000,4043685000,4575000000,4872000000,5072000000,5846000000,5971000000,6864151000,7183356000,8373209000,8909706000,9277423000,18196791000,24980871000,22458466000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,72000000,72000000,80000000,- -,322000000,300000000,280000000,272000000,521000000,499182000,481000000,461000000,454000000,428000000,412822000,409000000,390000000,747000000,724000000,705000000,684733000,663496000,646319000,628009000,1217183000,1199100000,1204698000,1181189000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,159000000,140000000,469000000,729400000,900000000,821000000,942000000,1076000000,899000000,1079100000,1209000000,1476000000,1870000000,1732000000,1939516000,2614000000,2802000000,2655000000,3155000000,3724000000,4133882000,4311051000,4558506000,4962159000,4461744000,5422283000,4973542000,5508953000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-378000000,-366000000,-419000000,-515000000,-4000000,-2000000,-6000000,-14000000,-10816000,-25894000,-36255000,-44296000,-33989000,-28685000,-217781000,-134124000,-91755000,-192575000,-213392000,-199532000,-554385000,-667472000,-694226000,-441859000,-630321000,-673171000,-606071000,-687150000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,754000000,919000000,997000000,949700000,3000000,- -,3000000,7000000,-37000,- -,-263000,-50000,110000,-70000,- -,400000,-346000,-135000,329000,425000,- -,- -,- -,- -,- -,- -,260515000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,607000000,765000000,1127000000,1164100000,1221000000,1119000000,1219000000,1341000000,1409147000,1552388000,1653482000,1892654000,2290121000,2131245000,2134557000,2889276000,3099899000,3209290000,3665937000,4229893000,4264230000,4307075000,4510599000,5148309000,5048606000,5948212000,5832684000,6002992000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,1638000000,2746000000,2561000000,2609600000,2748000000,2805000000,2933000000,3596000000,3940147000,4396767000,5075482000,5496654000,6086121000,6600245000,6178242000,7464276000,7971899000,8281290000,9511937000,10200893000,11128381000,11490431000,12883808000,14058015000,14326029000,24145003000,30813555000,28461458000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,- -,-147000,- -,-482000,-654000,-121000,-245000,- -,-276000,101000,710000,63000,107000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,1638000000,2746000000,2561000000,2609600000,2748000000,2805000000,2932000000,3596000000,3940000000,4396767000,5075000000,5496000000,6086000000,6600000000,6178242000,7464000000,7972000000,8282000000,9512000000,10201000000,11128381000,11490431000,12883808000,14058015000,14326029000,24145003000,30813555000,28461458000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/109198/000010919895000002/0000109198-95-000002-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/109198/000095013502002121/0000950135-02-002121-index.html,https://www.sec.gov/Archives/edgar/data/109198/000095013503002594/0000950135-03-002594-index.html,https://www.sec.gov/Archives/edgar/data/109198/000095013504001661/0000950135-04-001661-index.html,https://www.sec.gov/Archives/edgar/data/109198/000095013505001752/0000950135-05-001752-index.html,https://www.sec.gov/Archives/edgar/data/109198/000095013506001903/b58738tje10vk.htm,https://www.sec.gov/Archives/edgar/data/109198/000095013507001906/b64407tje10vk.htm,https://www.sec.gov/Archives/edgar/data/109198/000095013508001961/b68114tje10vk.htm,https://www.sec.gov/Archives/edgar/data/109198/000095013509002399/0000950135-09-002399-index.html,https://www.sec.gov/Archives/edgar/data/109198/000095012310029845/0000950123-10-029845-index.html,https://www.sec.gov/Archives/edgar/data/109198/000095012311030274/b83553e10vk.htm,https://www.sec.gov/Archives/edgar/data/109198/000119312512134536/0001193125-12-134536-index.html,https://www.sec.gov/Archives/edgar/data/109198/000119312513138497/0001193125-13-138497-index.html,https://www.sec.gov/Archives/edgar/data/109198/000119312514125980/0001193125-14-125980-index.html,https://www.sec.gov/Archives/edgar/data/109198/000119312515114276/d855793d10k.htm,https://www.sec.gov/Archives/edgar/data/109198/000119312516521424/0001193125-16-521424-index.html,https://www.sec.gov/Archives/edgar/data/109198/000119312517099642/0001193125-17-099642-index.html,https://www.sec.gov/Archives/edgar/data/109198/000119312518107423/0001193125-18-107423-index.html,https://www.sec.gov/Archives/edgar/data/109198/000162828019003834/0001628280-19-003834-index.html,https://www.sec.gov/Archives/edgar/data/109198/000010919820000004/0000109198-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/109198/000010919821000006/0000109198-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/109198/000010919822000008/0000109198-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,82800000,74100000,20100000,102800000,124300000,83000000,26000000,363000000,304800000,424000000,522000000,538000000,500000000,578000000,658365000,664000000,690000000,738000000,772000000,880617000,1214000000,1343000000,1496000000,1907000000,2137000000,2215128000,2277658000,2298234000,2607948000,3059798000,3272193000,90470000,3282815000
74,Depreciation and Amortization,- -,- -,- -,41900000,48500000,56800000,62900000,67500000,76500000,85900000,126800000,124900000,136500000,160393000,175781000,204081000,207876000,248593000,288438000,405475000,422914000,426766000,452936000,435218000,458052000,485701000,508929000,548823000,588975000,616696000,658796000,725957000,819655000,867303000,870758000,868002000
75,Deferred Income Tax,- -,- -,- -,21500000,11600000,-14600000,-7600000,-3000000,-400000,-14100000,- -,-3800000,-20000000,2769000,-24235000,35230000,72138000,84363000,41167000,-88245000,6286000,-101799000,132480000,53155000,50641000,144762000,13265000,52233000,102070000,31204000,-5503000,-137440000,-88594000,-6233000,-230690000,-44450000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58804000,64175000,64416000,76080000,88014000,94107000,102251000,101362000,103557000,124957000,58519000,189048000
77,Change in Working Capital,- -,- -,- -,-75100000,- -,- -,- -,- -,288000000,121000000,71000000,-15100000,-28900000,-101000000,158000000,308000000,-126000000,86228000,-60228000,187000000,478000000,-135000000,-372762000,1050762000,58000000,103000000,-119000000,599000000,235427000,-415097000,622788000,367072000,-422342000,-1197473000,3195294000,-2145212000
