,https://roic.ai/company/TFX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/96943/000089322095000165/0000893220-95-000165-index.html,https://www.sec.gov/Archives/edgar/data/96943/0000893220-96-000475-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/96943/000089322004000402/w94871e10vk.htm,https://www.sec.gov/Archives/edgar/data/96943/000089322005000499/w68607e10vk.htm,https://www.sec.gov/Archives/edgar/data/96943/000089322006000621/w17700e10vk.htm,https://www.sec.gov/Archives/edgar/data/96943/000089322007000527/w30240e10vk.htm,https://www.sec.gov/Archives/edgar/data/96943/000089322008000569/w47957e10vk.htm,https://www.sec.gov/Archives/edgar/data/96943/000089322009000387/0000893220-09-000387-index.html,https://www.sec.gov/Archives/edgar/data/96943/000095012310016499/0000950123-10-016499-index.html,https://www.sec.gov/Archives/edgar/data/96943/000095012311018007/w80858e10vk.htm,https://www.sec.gov/Archives/edgar/data/96943/000119312512076013/0001193125-12-076013-index.html,https://www.sec.gov/Archives/edgar/data/96943/000119312513071160/0001193125-13-071160-index.html,https://www.sec.gov/Archives/edgar/data/96943/000156459014000320/tfx-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/96943/000009694315000023/tfx-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/96943/000009694316000154/0000096943-16-000154-index.html,https://www.sec.gov/Archives/edgar/data/96943/000009694317000014/0000096943-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/96943/000009694318000028/0000096943-18-000028-index.html,https://www.sec.gov/Archives/edgar/data/96943/000009694319000021/0000096943-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/96943/000009694320000017/0000096943-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/96943/000009694321000013/0000096943-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/96943/000009694322000016/0000096943-22-000016-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,24100000,55700000,68600000,30700000,66700000,29000000,45139000,46900000,44500000,56600000,116000000,239500000,248409000,201342000,107275000,188305000,208452000,584088000,337039000,431984000,303236000,338366000,543789000,333558000,357161000,301083000,375880000,445084000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,24100000,55700000,68600000,30700000,66700000,29000000,45139000,46900000,44500000,56600000,116000000,239500000,248409000,201342000,107275000,188305000,208452000,584088000,337039000,431984000,303236000,338366000,543789000,333558000,357161000,301083000,375880000,445084000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,183700000,186100000,193600000,260200000,295400000,324600000,334346000,363700000,401900000,478400000,514200000,421200000,376404000,341963000,329866000,366038000,298084000,286226000,297976000,295290000,273704000,262416000,271993000,345875000,366286000,418673000,395071000,383569000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,173100000,192500000,190700000,218500000,235900000,227500000,259845000,308800000,365500000,443100000,431400000,404300000,415879000,419188000,424653000,360843000,338598000,298775000,323347000,333621000,335593000,330275000,316171000,395744000,427778000,476557000,513196000,477643000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,9300000,11500000,13100000,57100000,18900000,23800000,22708000,28100000,26000000,28100000,86800000,103600000,98837000,47317000,95592000,88748000,76099000,111167000,110717000,139659000,140676000,75374000,51440000,53630000,84944000,110019000,138278000,122822000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,390200000,445800000,466000000,566500000,616900000,604900000,662038000,747500000,837900000,1006200000,1148400000,1168600000,1139529000,1009810000,957386000,1003934000,921233000,1280256000,1069079000,1200554000,1053209000,1006431000,1183393000,1128807000,1236169000,1306332000,1422425000,1429118000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,264300000,271800000,291800000,364000000,431800000,465900000,489503000,565700000,604200000,667600000,584300000,447800000,422178000,430976000,374292000,317499000,287705000,251912000,297945000,325900000,317435000,316123000,302899000,382999000,432766000,543879000,574547000,573411000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,223900000,258000000,289600000,524100000,504700000,514006000,1502256000,1474123000,1459441000,1442411000,1438542000,1249456000,1354203000,1323553000,1295852000,1276720000,2235592000,2246579000,2245305000,2585966000,2504202000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,48300000,54000000,82700000,111200000,116300000,136900000,210232000,56400000,68800000,111900000,244900000,259200000,259229000,1211172000,1090852000,1045706000,918522000,879787000,1058792000,1255597000,1216720000,1199975000,1091663000,2383748000,2325052000,2156285000,2519746000,2289067000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,48300000,54000000,82700000,111200000,116300000,136900000,210232000,280300000,326800000,401500000,769000000,763900000,773235000,2713428000,2564975000,2505147000,2360933000,2318329000,2308248000,2609800000,2540273000,2495827000,2368383000,4619340000,4571631000,4401590000,5105712000,4793269000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000000,- -,17400000,37500000,50900000,55700000,- -,41500000,- -,- -,- -,- -,- -,- -,28105000,12089000,4899000,2008000,2066000,1715000,1150000,152000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,41600000,- -,56100000,82900000,94400000,85300000,- -,133300000,162500000,205800000,137300000,149200000,1034000,7189000,1986000,336000,358000,278000,296000,943000,1178000,2341000,1712000,3810000,2446000,5572000,8073000,6820000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,-41600000,13600000,-56100000,-82900000,-94400000,-85300000,39515000,-133300000,-118000000,-170500000,-4600000,-23100000,23076000,26594000,- -,- -,68027000,71320000,61863000,70095000,64010000,57642000,34826000,46536000,34979000,52447000,41802000,69104000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,320600000,339400000,391900000,512700000,599000000,658500000,739250000,887500000,975500000,1104400000,1486000000,1337800000,1219523000,3178187000,2969358000,2835071000,2721922000,2643847000,2670418000,3008453000,2924046000,2872085000,2707820000,5052685000,5041822000,5003488000,5730134000,5442604000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,710800000,785200000,857900000,1079200000,1215900000,1263400000,1401288000,1635000000,1813400000,2110600000,2634400000,2506400000,2359052000,4187997000,3926744000,3839005000,3643155000,3924103000,3739497000,4209007000,3977255000,3878516000,3891213000,6181492000,6277991000,6309820000,7152559000,6871722000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,50600000,47600000,53700000,80400000,99200000,100000000,119221000,122500000,141800000,187600000,183700000,206500000,210890000,133654000,139677000,94983000,84846000,67092000,75165000,71967000,64100000,66305000,69400000,92027000,106709000,102916000,102520000,118236000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74200000,- -,- -,- -,- -,118037000,- -,182776000,226103000,101856000,125510000,31022000,185129000,108853000,4008000,103711000,4986000,4700000,356287000,368401000,419942000,183071000,86625000,86625000,50000000,100500000,110000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12613000,30695000,4886000,43740000,15573000,23821000,13768000,8059000,7908000,11514000,5943000,6692000,17361000,83943000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,205758000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,119100000,71400000,143000000,214500000,212300000,229400000,146614000,372900000,173924000,-6761000,249644000,257690000,228863000,371899000,277410000,238116000,232206000,198929000,194540000,206866000,202398000,180465000,175175000,305224000,389122000,410139000,337007000,451883000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,169700000,193200000,196700000,294900000,311500000,329400000,383872000,495400000,498500000,612700000,535200000,589700000,470775000,690682000,525940000,337107000,420763000,271007000,274405000,635120000,634899000,666712000,427646000,483876000,582456000,563055000,540027000,680119000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,190500000,196800000,195900000,237600000,275600000,246200000,220557000,228200000,240100000,229900000,685900000,505300000,487370000,1499130000,1437538000,1192491000,813409000,954809000,965280000,930000000,700000000,646000000,850252000,2162927000,2072200000,1858943000,2463985000,1856135000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39800000,- -,- -,- -,- -,106437000,- -,- -,- -,- -,- -,33344000,379467000,324678000,398923000,370819000,420833000,419266000,514715000,451541000,315983000,271377000,603676000,608221000,439558000,484678000,370124000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,41600000,- -,56100000,82900000,94400000,85300000,- -,133300000,162500000,205700000,303600000,269300000,136085000,247692000,352705000,325410000,250886000,294671000,299009000,213156000,277116000,238728000,202597000,500482000,475136000,468944000,327412000,210596000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,232100000,236600000,252000000,320500000,370000000,331500000,326994000,361500000,402600000,435600000,989500000,774600000,656799000,2126289000,2114921000,1916824000,1435114000,1670313000,1683555000,1657871000,1428657000,1200711000,1324226000,3267085000,3155557000,2767445000,3276075000,2436855000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101372000,86097000,116033000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,401800000,429800000,448700000,615400000,681500000,660900000,710866000,856900000,901100000,1048300000,1524700000,1364300000,1127574000,2816971000,2640861000,2253931000,1855877000,1941320000,1957960000,2292991000,2063556000,1867423000,1751872000,3750961000,3738013000,3330500000,3816102000,3116974000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,17300000,- -,18100000,37100000,37600000,38000000,38344000,38900000,39400000,39800000,40400000,41100000,41364000,41794000,41995000,42033000,42245000,42923000,43102000,43243000,43420000,43517000,45814000,46871000,47248000,47536000,47812000,47929000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,252700000,291100000,336200000,373500000,439400000,515500000,602544000,689300000,786700000,864900000,839800000,939300000,1034669000,1118053000,1182906000,1431878000,1578913000,1847106000,1601460000,1696424000,1827845000,2016176000,2194593000,2285886000,2427599000,2824916000,3096228000,3517954000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8400000,-176700000,-8000000,-20000000,-29200000,-49400000,-341561000,-92400000,-26034000,32226000,57608000,6614000,30035000,56919000,-108202000,-34120000,-51880000,-159353000,-132048000,-110855000,-260895000,-371124000,-438717000,-265091000,-341085000,-344392000,-297298000,-346959000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,47400000,241000000,62900000,73200000,86700000,98500000,391095000,142300000,112215000,125376000,171925000,155060000,83353000,112077000,129756000,140450000,214098000,249912000,266436000,284715000,300939000,320703000,337651000,362865000,406216000,451260000,489715000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,309000000,355400000,409200000,463800000,534500000,602600000,690422000,778100000,912281000,1062302000,1109733000,1142074000,1189421000,1328843000,1246455000,1580241000,1783376000,1980588000,1778950000,1913527000,1911309000,2009272000,2139341000,2430531000,2539978000,2979320000,3336457000,3754748000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,710800000,785200000,857900000,1079200000,1216000000,1263500000,1401288000,1635000000,1813381000,2110602000,2634433000,2506374000,2316995000,4145814000,3887316000,3834172000,3639253000,3921908000,3736910000,4206518000,3974865000,3876695000,3891213000,6181492000,6277991000,6309820000,7152559000,6871722000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-100000,- -,- -,19000,-2000,-33000,26000,42057000,42183000,39428000,4833000,3902000,2195000,2587000,2489000,2390000,1821000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,710800000,785200000,857900000,1079200000,1215900000,1263400000,1401288000,1635000000,1813400000,2110600000,2634400000,2506400000,2359052000,4187997000,3926744000,3839005000,3643155000,3924103000,3739497000,4209007000,3977255000,3878516000,3891213000,6181492000,6277991000,6309820000,7152559000,6871722000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/96943/000089322095000165/0000893220-95-000165-index.html,https://www.sec.gov/Archives/edgar/data/96943/0000893220-96-000475-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/96943/000089322004000402/w94871e10vk.htm,https://www.sec.gov/Archives/edgar/data/96943/000089322005000499/w68607e10vk.htm,https://www.sec.gov/Archives/edgar/data/96943/000089322006000621/w17700e10vk.htm,https://www.sec.gov/Archives/edgar/data/96943/000089322007000527/w30240e10vk.htm,https://www.sec.gov/Archives/edgar/data/96943/000089322008000569/w47957e10vk.htm,https://www.sec.gov/Archives/edgar/data/96943/000089322009000387/0000893220-09-000387-index.html,https://www.sec.gov/Archives/edgar/data/96943/000095012310016499/0000950123-10-016499-index.html,https://www.sec.gov/Archives/edgar/data/96943/000095012311018007/w80858e10vk.htm,https://www.sec.gov/Archives/edgar/data/96943/000119312512076013/0001193125-12-076013-index.html,https://www.sec.gov/Archives/edgar/data/96943/000119312513071160/0001193125-13-071160-index.html,https://www.sec.gov/Archives/edgar/data/96943/000156459014000320/tfx-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/96943/000009694315000023/tfx-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/96943/000009694316000154/0000096943-16-000154-index.html,https://www.sec.gov/Archives/edgar/data/96943/000009694317000014/0000096943-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/96943/000009694318000028/0000096943-18-000028-index.html,https://www.sec.gov/Archives/edgar/data/96943/000009694319000021/0000096943-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/96943/000009694320000017/0000096943-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/96943/000009694321000013/0000096943-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/96943/000009694322000016/0000096943-22-000016-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,26800000,28600000,29800000,32900000,33700000,41200000,48900000,57200000,70100000,82600000,95200000,109224000,112300000,125300000,109100000,9500000,138800000,139430000,146484000,119774000,302994000,201094000,323329000,-190057000,150881000,187679000,244863000,237377000,152530000,200802000,461466000,335324000,485374000
74,Depreciation and Amortization,- -,- -,- -,- -,12900000,17200000,18400000,21600000,28100000,33000000,37700000,38800000,47900000,60100000,67400000,77417000,92401000,95117000,104352000,114595000,100853000,99004000,78760000,111218000,101057000,92189000,85617000,80468000,92976000,111133000,108393000,117906000,155263000,209980000,214062000,227252000,237362000
75,Deferred Income Tax,- -,- -,- -,- -,1400000,1400000,1400000,8800000,1200000,2100000,1100000,-700000,1500000,2700000,4700000,8972000,9682000,7281000,17883000,-3330000,14093000,13387000,83154000,-29496000,14247000,1327000,-13159000,-39178000,-8925000,-14153000,-54413000,-29346000,-41822000,-6097000,-168594000,-32675000,-110239000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8643000,9059000,9621000,3989000,8623000,11871000,12227000,14467000,16871000,19407000,22438000,26940000,20739000,22937000
77,Change in Working Capital,- -,- -,- -,- -,-19500000,- -,- -,- -,- -,220500000,32100000,16700000,2300000,33800000,-29900000,2666000,-26066000,87300000,54100000,219700000,-34300000,89854000,-349626000,112318000,235381000,-166357000,508779000,-214575000,-229240000,-147124000,-78591000,416028000,-110816000,8782000,89564000,139121000,127345000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2849000,10545000,-56296000,-43118000,-2932000,-1294000,9394000,398000,-11029000,-11039000,-23412000,-59793000,44748000,-600000
