,https://roic.ai/company/CMCSA,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1166691/000104746905004437/a2141960z10-k.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312506036698/d10k.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312507039301/d10k.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312508034239/d10k.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312509033975/0001193125-09-033975-index.html,https://www.sec.gov/Archives/edgar/data/1166691/000119312510037551/0001193125-10-037551-index.html,https://www.sec.gov/Archives/edgar/data/1166691/000119312511047243/d10k.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312512073905/0001193125-12-073905-index.html,https://www.sec.gov/Archives/edgar/data/1166691/000119312513067658/0001193125-13-067658-index.html,https://www.sec.gov/Archives/edgar/data/1166691/000119312514047522/d666576d10k.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312515068526/d817352d10k.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312516452423/0001193125-16-452423-index.html,https://www.sec.gov/Archives/edgar/data/1166691/000119312517030512/0001193125-17-030512-index.html,https://www.sec.gov/Archives/edgar/data/1166691/000116669118000004/0001166691-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1166691/000116669119000005/0001166691-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1166691/000116669120000008/0001166691-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/1166691/000116669121000008/0001166691-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000116669122000009/0001166691-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,188500000,246900000,182500000,104000000,143600000,88600000,125700000,213400000,160400000,335300000,539100000,331300000,413700000,870700000,922200000,651500000,350000000,781000000,1550000000,452000000,693000000,1239000000,963000000,1195000000,671000000,5984000000,1620000000,10951000000,1718000000,3910000000,2295000000,3301000000,3428000000,3814000000,5500000000,11740000000,8711000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7606000000,3059700000,2623200000,3266000000,2493000000,1555000000,148000000,1735000000,98000000,59000000,50000000,81000000,- -,1464000000,3573000000,602000000,106000000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,188500000,246900000,182500000,104000000,143600000,88600000,125700000,213400000,160400000,335300000,539100000,331300000,413700000,870700000,8528200000,3711200000,2973200000,4047000000,4043000000,2007000000,841000000,2974000000,1061000000,1254000000,721000000,6065000000,1620000000,12415000000,5291000000,4512000000,2401000000,3301000000,3428000000,3814000000,5500000000,11740000000,8711000000
34,Net Receivables,5500000,8000000,6300000,18300000,24800000,27500000,30100000,57800000,72200000,108200000,390700000,439300000,498800000,549300000,673300000,891900000,967400000,1383000000,907000000,959000000,1060000000,1450000000,1645000000,1626000000,1711000000,1855000000,4351000000,5521000000,6376000000,6321000000,6896000000,7955000000,8546000000,11104000000,11292000000,11466000000,12008000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,243400000,258400000,324000000,343800000,457000000,438500000,454500000,479000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,11100000,21000000,29600000,119600000,145600000,135400000,489700000,157400000,544000000,165000000,480500000,376800000,323000000,3860500000,100100000,102800000,153700000,1167000000,453000000,569000000,693000000,778000000,961000000,836000000,791000000,966000000,2602000000,2055000000,2408000000,2698000000,3006000000,5105000000,4086000000,6930000000,8600000000,3535000000,4088000000
37,Total Current Assets,205100000,275900000,218400000,241900000,314000000,251500000,645500000,428600000,776600000,608500000,1653700000,1405800000,1559500000,5624300000,9758600000,5144400000,4548800000,7076000000,5403000000,3535000000,2594000000,5202000000,3667000000,3716000000,3223000000,8886000000,8573000000,19991000000,14075000000,13531000000,12303000000,16361000000,16060000000,21848000000,25392000000,26741000000,24807000000
38,PP&E,99800000,350800000,368600000,456800000,542900000,519200000,504800000,957100000,1021000000,1257700000,1643600000,2538800000,2896900000,2524400000,3398100000,5202700000,7011100000,18866000000,18473000000,18711000000,18769000000,21248000000,23624000000,24444000000,23855000000,23515000000,27559000000,27232000000,29840000000,30953000000,33665000000,36253000000,38470000000,44437000000,48322000000,51995000000,54047000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13768000000,14705000000,14889000000,14933000000,14958000000,26874000000,26985000000,27098000000,27316000000,32945000000,35980000000,36780000000,66154000000,68725000000,70669000000,70189000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,341800000,- -,2485500000,4099700000,5376700000,6966300000,7083500000,- -,9980100000,22735500000,24509300000,71218000000,69750000000,68942000000,68468000000,60808000000,62816000000,64007000000,63557000000,63044000000,77541000000,82258000000,81687000000,82071000000,82165000000,83890000000,85219000000,105560000000,104426000000,108094000000,105751000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,341800000,- -,2485500000,4099700000,5376700000,6966300000,7083500000,- -,9980100000,22735500000,24509300000,71218000000,69750000000,68942000000,68468000000,74576000000,77521000000,78896000000,78490000000,78002000000,104415000000,109243000000,108785000000,109387000000,115110000000,119870000000,121999000000,171714000000,173151000000,178763000000,175940000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12675000000,8847000000,7963000000,4783000000,5947000000,6670000000,9854000000,6325000000,3770000000,3135000000,3224000000,5247000000,6931000000,7883000000,7683000000,8267000000,8687000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,56100000,379800000,447900000,1672000000,1725800000,1685900000,1301500000,2886200000,665200000,797100000,906300000,1177700000,1264300000,6668700000,5548800000,2661900000,2062600000,15945000000,15533000000,13506000000,640000000,532000000,642000000,1178000000,1218000000,1461000000,7417000000,2180000000,2343000000,2333000000,2272000000,2769000000,3489000000,5802000000,8866000000,8103000000,12424000000
45,Total Non-Current Assets,155900000,730600000,816500000,2128800000,2268700000,2205100000,2148100000,3843300000,4171700000,6154500000,7926600000,10682800000,11244700000,9193100000,18927000000,30600100000,33583000000,106029000000,103756000000,101159000000,100552000000,105203000000,109750000000,109301000000,109510000000,109648000000,149245000000,144980000000,144738000000,145808000000,154271000000,164139000000,170889000000,229836000000,238022000000,247128000000,251098000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,361000000,1006500000,1034900000,2370700000,2582700000,2456600000,2793600000,4271900000,4948300000,6763000000,9580300000,12088600000,12804200000,14817400000,28685600000,35744500000,38131800000,113105000000,109159000000,104694000000,103146000000,110405000000,113417000000,113017000000,112733000000,118534000000,157818000000,164971000000,158813000000,159339000000,166574000000,180500000000,186949000000,251684000000,263414000000,273869000000,275905000000
48,Accounts Payable,- -,- -,- -,- -,93200000,95700000,118300000,234500000,255500000,402900000,964000000,1044300000,1195500000,1600300000,2786500000,2852900000,698200000,1663000000,1251000000,2041000000,2033000000,2862000000,3336000000,3393000000,- -,- -,- -,6206000000,5528000000,5638000000,6215000000,6915000000,6926000000,8494000000,10826000000,11364000000,12455000000
49,Short-Term Debt,5100000,6000000,26600000,11900000,11100000,37900000,94700000,87200000,264800000,182900000,85400000,229500000,132700000,113500000,517500000,293900000,460200000,6953000000,3161000000,3499000000,1689000000,983000000,1495000000,2278000000,1156000000,1800000000,1367000000,2376000000,3280000000,4217000000,3627000000,5480000000,5134000000,4398000000,4452000000,3146000000,2132000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,790000000,851000000,898000000,915000000,1302000000,1132000000,1552000000,2182000000,2768000000,2963000000,3040000000
52,Other Current Liabilities,23700000,83900000,88100000,109700000,52900000,53300000,51300000,70000000,74300000,74800000,72700000,91100000,89600000,1378800000,2223100000,895400000,1970900000,6767000000,5242000000,3095000000,2547000000,3595000000,3121000000,3268000000,6093000000,6434000000,11084000000,7281000000,9206000000,6640000000,7034000000,8008000000,7949000000,12529000000,12246000000,11323000000,11721000000
53,Total Current Liabilities,28800000,89900000,114700000,121600000,157200000,186900000,264300000,391700000,594600000,660600000,1122100000,1364900000,1417800000,3092600000,5527100000,4042200000,3129300000,15383000000,9654000000,8635000000,6269000000,7440000000,7952000000,8939000000,7249000000,8234000000,13241000000,16714000000,18912000000,17410000000,18178000000,21535000000,21561000000,27603000000,30292000000,28796000000,29348000000
54,Long-Term Debt,194800000,696500000,616100000,1336000000,1522600000,1526900000,1689900000,3973500000,4162900000,4810500000,6943800000,7102700000,6558600000,5464200000,8707200000,10517400000,11741600000,27957000000,23835000000,20093000000,21682000000,27992000000,29828000000,30178000000,27940000000,29615000000,37942000000,38082000000,44567000000,44017000000,48994000000,55566000000,59422000000,107345000000,97765000000,100614000000,92718000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,21300000,30600000,45100000,52500000,- -,43100000,56900000,88400000,1061300000,1390800000,1518000000,2140500000,2112200000,1500100000,3150500000,5786700000,6375700000,23110000000,25900000000,26815000000,27370000000,27089000000,26880000000,26982000000,27800000000,28246000000,29932000000,30110000000,31935000000,32959000000,33566000000,34854000000,24256000000,27589000000,28180000000,28051000000,30041000000
57,Other Non-Current Liabilities,1600000,- -,- -,654900000,734900000,721400000,763000000,-100000,- -,200000,-100000,69600000,31400000,111200000,- -,54600000,1532000000,5652000000,7816000000,7261000000,6949000000,6476000000,7167000000,6171000000,6933000000,7862000000,13034000000,30269000000,12341000000,11885000000,11858000000,12371000000,12261000000,16645000000,23303000000,24670000000,26308000000
58,Total Non-Current Liabilities,217700000,727100000,661200000,2043400000,2257500000,2291400000,2509800000,4061800000,5224200000,6201500000,8461700000,9312800000,8702200000,7075500000,11857700000,16358700000,19649300000,56719000000,57551000000,54169000000,56001000000,61557000000,63875000000,63331000000,62673000000,65723000000,80908000000,98461000000,88843000000,88861000000,94418000000,102791000000,95939000000,151579000000,149248000000,153335000000,149067000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,246500000,817000000,775900000,2165000000,2414700000,2478300000,2774100000,4453500000,5818800000,6862100000,9583800000,10677700000,10120000000,10168100000,17384800000,20400900000,22778600000,72102000000,67205000000,62804000000,62270000000,68997000000,71827000000,72270000000,69922000000,73957000000,94149000000,115175000000,107755000000,106271000000,112596000000,124326000000,117500000000,179182000000,179540000000,182131000000,178415000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,751800000,939200000,945100000,25000000,25000000,25000000,25000000,35000000,34000000,33000000,32000000,32000000,32000000,31000000,30000000,30000000,29000000,28000000,55000000,54000000,54000000,54000000,54000000
64,Retained Earnings,50100000,47400000,32200000,-23400000,-183700000,-375700000,-548600000,-838000000,-1717900000,-1827600000,-1914300000,551600000,-2415900000,-1488200000,-619800000,1056500000,1631500000,1340000000,4552000000,4891000000,4825000000,6214000000,7191000000,7427000000,10005000000,12158000000,13971000000,16280000000,19235000000,21539000000,21413000000,23076000000,38192000000,41983000000,50695000000,56438000000,61902000000
65,Other Comprehensive Income/Loss,-63500000,-77500000,-113100000,-150900000,-215200000,-271300000,-340600000,-565400000,-701600000,-823600000,-932000000,-1061300000,-1388500000,-1362300000,-1700900000,-1596500000,-2725700000,-139000000,-140000000,-119000000,-114000000,34000000,-56000000,-113000000,-46000000,-99000000,-152000000,15000000,56000000,-146000000,-174000000,98000000,379000000,-368000000,1047000000,1884000000,1480000000
66,Other Total Stockholders Equity,127900000,219600000,339900000,380000000,566900000,625300000,908700000,1221800000,1549000000,2552100000,2842800000,1920600000,6488600000,7499800000,12869700000,14944400000,15502300000,37103000000,37225000000,36625000000,35483000000,34884000000,34171000000,33103000000,32730000000,32263000000,33423000000,33030000000,31373000000,31288000000,31001000000,30741000000,29980000000,29944000000,30930000000,31947000000,32656000000
67,Total Stockholders Equity,114500000,189500000,259000000,205700000,168000000,-21700000,19500000,-181600000,-870500000,-99100000,-3500000,1410900000,2684200000,4649300000,11300800000,15343600000,15353200000,38329000000,41662000000,41422000000,40219000000,41167000000,41340000000,40450000000,42721000000,44354000000,47274000000,49356000000,50694000000,52711000000,52269000000,53943000000,68606000000,71613000000,82726000000,90323000000,96092000000
68,Total Liabilities And Stockholders Equity,361000000,1006500000,1034900000,2370700000,2582700000,2456600000,2793600000,4271900000,4948300000,6763000000,9580300000,12088600000,12804200000,14817400000,28685600000,35744500000,38131800000,110431000000,108867000000,104226000000,102489000000,110164000000,113167000000,112720000000,112643000000,118311000000,141423000000,164531000000,158449000000,158982000000,164865000000,178269000000,186106000000,250795000000,262266000000,272454000000,274507000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2674000000,292000000,468000000,657000000,241000000,250000000,297000000,90000000,223000000,16395000000,440000000,364000000,357000000,1709000000,2231000000,843000000,889000000,1148000000,1415000000,1398000000
70,Total Liabilities & Equity,361000000,1006500000,1034900000,2370700000,2582700000,2456600000,2793600000,4271900000,4948300000,6763000000,9580300000,12088600000,12804200000,14817400000,28685600000,35744500000,38131800000,113105000000,109159000000,104694000000,103146000000,110405000000,113417000000,113017000000,112733000000,118534000000,157818000000,164971000000,158813000000,159339000000,166574000000,180500000000,186949000000,251684000000,263414000000,273869000000,275905000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1166691/000104746905004437/a2141960z10-k.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312506036698/d10k.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312507039301/d10k.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312508034239/d10k.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312509033975/0001193125-09-033975-index.html,https://www.sec.gov/Archives/edgar/data/1166691/000119312510037551/0001193125-10-037551-index.html,https://www.sec.gov/Archives/edgar/data/1166691/000119312511047243/d10k.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312512073905/0001193125-12-073905-index.html,https://www.sec.gov/Archives/edgar/data/1166691/000119312513067658/0001193125-13-067658-index.html,https://www.sec.gov/Archives/edgar/data/1166691/000119312514047522/d666576d10k.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312515068526/d817352d10k.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312516452423/0001193125-16-452423-index.html,https://www.sec.gov/Archives/edgar/data/1166691/000119312517030512/0001193125-17-030512-index.html,https://www.sec.gov/Archives/edgar/data/1166691/000116669118000004/0001166691-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1166691/000116669119000005/0001166691-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1166691/000116669120000008/0001166691-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/1166691/000116669121000008/0001166691-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000116669122000009/0001166691-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-47600000,-148800000,-178400000,-155600000,-270200000,-87000000,-87000000,-43900000,-53500000,-238700000,972100000,1065700000,2021500000,608600000,-274000000,3240000000,970000000,928000000,2533000000,2587000000,2547000000,3638000000,3635000000,4160000000,6203000000,6816000000,8380000000,8163000000,8678000000,22735000000,11731000000,13057000000,10534000000,14159000000
