,https://roic.ai/company/CTIB,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7676,2985,- -,140157,125150,86555,45350,7562,- -,1046438,361720
61,Total Liabilities,12400000,15700000,- -,- -,19821322,24771517,25049338,24926164,20800117,21530342,22720299,22240835,21616088,21081727,21860027,25665097,26307375,30239541,29215946,31936162,29539778,32505105,30194579,0
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2754583
63,Common Stock,- -,- -,- -,- -,1188434,3748270,3764020,3764020,3764020,3764020,- -,- -,- -,- -,- -,13775994,13775994,13775994,13775994,13898494,13898494,13898494,13898494,15
64,Retained Earnings,1200000,1300000,- -,- -,-1559206,-2962016,-3528063,-6007437,-6340646,-4445897,-4363999,-3209868,-2206728,-379210,-368122,-266372,109137,623455,1670788,2323326,720223,-2865486,-9992841,- -
65,Other Comprehensive Income/Loss,-6900000,-7700000,- -,- -,-13000561,73004,360406,518290,371754,740997,437204,-1966130,-1803442,-1592798,-2285679,-2171582,-2253501,-2901212,-4076318,-5593878,-5365364,-6050347,-5348812,-5885112
66,Other Total Stockholders Equity,7500000,13600000,- -,- -,18214236,4615218,4615218,4676297,4930714,5042805,11967835,12957224,12985949,14158871,14123617,904698,1024260,1381934,1417023,2089451,2110477,2345653,3426503,5036213
67,Total Stockholders Equity,1800000,7200000,- -,- -,4842903,5474476,5211581,2951170,2725842,5101925,6591302,7734600,8762663,11784340,11860768,12242738,12655890,12880171,12787487,12717393,11363830,7328314,1983344,1905699
68,Total Liabilities And Stockholders Equity,14200000,22900000,- -,- -,24664225,30245993,30260919,27877334,23525959,26632267,29311601,29975435,30378751,32866067,33720795,37907835,38963265,43119712,42003433,44653555,40903608,39833419,32177923,1905699
69,Minority Interest,- -,- -,- -,- -,- -,25865,9263,10230,10091,12672,12534,12756,16558,-4679,-105273,-160692,108235,-72802,-198464,-739816,-919570,-1072585,-856840,-1905678
70,Total Liabilities & Equity,14200000,22900000,- -,- -,24664225,30271858,30270182,27887564,23536050,26644939,29324135,29988191,30395309,32861388,33615522,37747143,39071500,43046910,41804969,43913739,39984038,38760834,31321083,21
71,SEC Link,- -,- -,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1042187/000114420406015359/v040312_10k.htm,https://www.sec.gov/Archives/edgar/data/1042187/000114420407018091/v070812_10k.htm,https://www.sec.gov/Archives/edgar/data/1042187/000114420408022481/v108857_10k.htm,https://www.sec.gov/Archives/edgar/data/1042187/000114420409017841/0001144204-09-017841-index.html,https://www.sec.gov/Archives/edgar/data/1042187/000114420410016548/0001144204-10-016548-index.html,https://www.sec.gov/Archives/edgar/data/1042187/000114420411019129/v216760_10k.htm,https://www.sec.gov/Archives/edgar/data/1042187/000114420412018023/0001144204-12-018023-index.html,https://www.sec.gov/Archives/edgar/data/1042187/000114420413021793/v336876_10k.htm,https://www.sec.gov/Archives/edgar/data/1042187/000114420414019635/0001144204-14-019635-index.html,https://www.sec.gov/Archives/edgar/data/1042187/000114420415019510/v405139_10k.htm,https://www.sec.gov/Archives/edgar/data/1042187/000114420416091013/0001144204-16-091013-index.html,https://www.sec.gov/Archives/edgar/data/1042187/000114420417018227/0001144204-17-018227-index.html,https://www.sec.gov/Archives/edgar/data/1042187/000143774918006000/0001437749-18-006000-index.html,https://www.sec.gov/Archives/edgar/data/1042187/000143774919007201/ctib20181231_10k.htm,https://www.sec.gov/Archives/edgar/data/1042187/000143774920010831/ctib20191231_10k.htm,https://www.sec.gov/Archives/edgar/data/1042187/000143774921009071/0001437749-21-009071-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1100000,100000,-1800000,-876960,-32377,302512,-566047,-2479374,-333348,1894749,81898,1154131,1003140,1827518,483910,101749,375509,514318,1047333,652538,-1603103,-3585709,-7127355,-4250861
74,Depreciation and Amortization,600000,800000,1400000,1751318,1635712,1615687,1856762,1902812,1499336,1527324,1556808,1681559,2046964,2000491,1804049,1727924,1909845,2074701,1779524,1420789,1546413,1264424,1149896,472337
75,Deferred Income Tax,-600000,- -,-400000,21933,225908,-25700,-782468,1189135,-200392,-774195,-21323,218080,-8947,-43104,153830,-424841,133442,-483202,-15191,50591,594223,967373,135094,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58061,87369,131010,133830,95019,119562,77169,29329,34104,- -,171576,177850,- -
77,Change in Working Capital,-2000000,2300000,2600000,349762,4888240,-3933637,2201935,-2084633,364065,4273955,-530279,148265,948045,1060145,2137928,4554332,1571382,-193140,691946,-383682,-2222208,-6828583,-2701711,-100311
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-587572,-1411267,-1092959,1144953,-536373,-1242753,-2884838,-689953,-4083379,3878170,399414,475061,4157800
79,Inventory,-700000,-2900000,2200000,-707564,-1832182,-1964697,560433,854666,1120925,-1063203,-1872903,-1380459,948311,-626056,-3308400,-2498075,757124,-2768021,-972687,-1364450,-222491,-1169583,4507221,2730049
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1002822,-2262353,996802,79473,2070011,-564333,1262441,1177003,-1302201
81,Other Working Capital,1000000,3300000,- -,- -,1026186,-2907451,-705516,-2790149,-2426084,1847871,1317592,1465857,2413902,3474047,5611975,10166307,11737689,11544549,12236495,11852813,9630605,2802022,100311,0
82,Other Non-Cash Items,100000,-5600000,400000,200967,-6265013,5092074,-367646,901481,1409316,-8275230,269086,-2859485,-963783,-1760396,-3895574,-8154549,-3940103,-5344958,-936931,-2223215,2944074,6783042,12033079,5631264
83,Cash Provided by Operating Activities,-800000,-2400000,2200000,1447020,452470,3050936,2342536,-570579,2738977,-1353397,1356190,400611,3112788,3215664,817973,-2100366,169637,-3355112,2596010,-448875,1259399,-1227877,3666853,1752429
84,CAPEX,-800000,-5300000,-2200000,-636917,-1002136,-2477831,-1141468,-305546,-549547,-552798,-2848003,-2200454,-731596,-2007286,-1106907,-1211937,-2058901,-1174191,-681952,-630187,-753199,-459542,-80472,-202203
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-87500,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42299,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-100000,-1400000,- -,-109547,- -,- -,- -,32094,151206,- -,- -,- -,- -,- -,- -,- -,111104,- -,- -,783134,- -,- -,- -,- -
89,Cash Used for Investing Activites,-900000,-6700000,-2200000,-746464,-1002136,-2477831,-1141468,-273452,-398341,-552798,-2848003,-2200454,-731596,-1964987,-1106907,-1211937,-1947797,-1174191,-681952,65447,-753199,-459542,-80472,-202203
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-942436,-1612615,-1837867,-714523,-854405,-547331,-505484,-532198,-1528927,-8663000,-1074767,-4090636,-10995083
91,Common Stock Issued,200000,5400000,- -,- -,- -,19750,15750,- -,53501,101101,1550288,94500,- -,- -,300000,- -,- -,300000,- -,638323,- -,63600,- -,333334
92,Common Stock Repurchased,-100000,-100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-128446,- -,- -,- -,- -,-19495,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-314441,-158381,- -,-14000,-16000,-16000,- -,- -,- -,- -,- -
94,Other Financing Activites,1900000,3900000,200000,-410128,272928,-532790,-819603,882875,-2418827,1944349,35601,2528808,12998,776846,437439,4159714,2660332,4215914,-1146155,1571704,8965017,3456606,503898,9276914
95,Cash Used/Provided by Financing Activities,1900000,9100000,100000,-410128,272928,-513040,-803853,882875,-2365326,2045450,1585889,1680872,-1728063,-1375462,-135465,3305309,2099001,3974935,-1694353,681100,302017,2445439,-3586738,-1384835
96,Effect of Forex Changes on Cash,- -,- -,- -,-27997,-5308,-10060,-227966,157884,-239797,-16672,4472,-183564,36739,16213,1048,19535,-5289,38084,-23633,-81033,-1190234,-510896,421611,-389842
97,Net Change In Cash,1900000,9100000,100000,262431,-282046,50005,169249,196728,-264487,122583,98548,-302535,689868,-108572,-423351,12541,315552,-516284,196072,216639,-382017,247124,421254,-224451
98,Cash at the End of Period,- -,- -,300000,392534,110488,160493,329742,526470,261982,384565,483113,180578,870446,761874,338523,351064,666616,150332,346404,563043,181026,428150,849404,624953
99,Cash at the Beginning of Period,100000,200000,200000,130103,392534,110488,160493,329742,526469,261982,384565,483113,180578,870446,761874,338523,351064,666616,150332,346404,563043,181026,428150,849404
100,Free Cash Flow,-1600000,-7700000,- -,810103,-549666,573105,1201068,-876125,2189430,-1906195,-1491813,-1799843,2381192,1208378,-288934,-3312303,-1889264,-4529303,1914058,-1079062,506200,-1687419,3586381,1550226
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1042187/000114420406015359/v040312_10k.htm,https://www.sec.gov/Archives/edgar/data/1042187/000114420407018091/v070812_10k.htm,https://www.sec.gov/Archives/edgar/data/1042187/000114420408022481/v108857_10k.htm,https://www.sec.gov/Archives/edgar/data/1042187/000114420409017841/0001144204-09-017841-index.html,https://www.sec.gov/Archives/edgar/data/1042187/000114420410016548/0001144204-10-016548-index.html,https://www.sec.gov/Archives/edgar/data/1042187/000114420411019129/v216760_10k.htm,https://www.sec.gov/Archives/edgar/data/1042187/000114420412018023/0001144204-12-018023-index.html,https://www.sec.gov/Archives/edgar/data/1042187/000114420413021793/v336876_10k.htm,https://www.sec.gov/Archives/edgar/data/1042187/000114420414019635/0001144204-14-019635-index.html,https://www.sec.gov/Archives/edgar/data/1042187/000114420415019510/v405139_10k.htm,https://www.sec.gov/Archives/edgar/data/1042187/000114420416091013/0001144204-16-091013-index.html,https://www.sec.gov/Archives/edgar/data/1042187/000114420417018227/0001144204-17-018227-index.html,https://www.sec.gov/Archives/edgar/data/1042187/000143774918006000/0001437749-18-006000-index.html,https://www.sec.gov/Archives/edgar/data/1042187/000143774919007201/ctib20181231_10k.htm,https://www.sec.gov/Archives/edgar/data/1042187/000143774920010831/ctib20191231_10k.htm,https://www.sec.gov/Archives/edgar/data/1042187/000143774921009071/0001437749-21-009071-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
