,https://roic.ai/company/SKT,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,723000,- -,- -,- -,46005000,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10695000,- -,- -,- -,- -,60842000,81414000,72354000,200219000,82985000,96004000,98102000,103618000,105282000,104585000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2930000,8453000,2412000,4977000,3267000,6481000,7894000,71177000,96655000,135234000,221777000,95207000,102105000,107185000,120290000,190114000,265840000
38,PP&E,127200000,274400000,294400000,311454000,390531000,444562000,461705000,462563000,450316000,448200000,885855000,852771000,899101000,941475000,974499000,1040231000,1095340000,- -,1403560000,- -,- -,- -,- -,- -,- -,- -,86575000,81499000,79807000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102924000,79678000,56710000,74846000,50173000,29284000,11268000,-3907000,-16520000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102924000,79678000,56710000,74846000,50173000,29284000,11268000,-3907000,-16520000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13020000,14451000,10695000,9457000,9054000,6386000,28481000,126632000,140214000,208050000,201083000,128104000,119436000,95969000,94691000,94579000,82647000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67190000,71200000,1204067000,181880000,1474616000,1666663000,1674698000,1847137000,2228057000,2268391000,2152464000,1972387000,1827246000,1745610000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1116878000,1175594000,1210453000,1613921000,1601248000,1909801000,1962426000,2104930000,2431007000,2438000000,2277717000,2164921000,1999417000,1891544000
46,Other Assets,182400000,294800000,315100000,332138000,416014000,471795000,490069000,487408000,476272000,477675000,987437000,936378000,997675000,1032424000,1057868000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,182400000,294800000,315100000,332138000,416014000,471795000,490069000,487408000,476272000,477675000,987437000,936378000,1000605000,1040877000,1060280000,1121855000,1178861000,1216934000,1621815000,1672425000,2006456000,2097660000,2326707000,2526214000,2540105000,2384902000,2285211000,2189531000,2157384000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11968000,14194000,63425000,13656000,48233000,59462000,69558000,97396000,78143000,90416000,82676000,79562000,88,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,72790000,90652000,135313000,176736000,174421000,370160000,- -,- -,- -,- -,795319000,- -,160000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1568,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,43500000,50300000,-17490000,-37952000,-85613000,-135036000,-132421000,-90460000,287200000,86800000,87600000,104800000,-738128000,58993000,- -,37757000,- -,- -,- -,- -,- -,- -,- -,- -,88251344,92995000
53,Total Current Liabilities,- -,- -,- -,43500000,50300000,55300000,52700000,49700000,41700000,42000000,279700000,287200000,86800000,87600000,104800000,69159000,73187000,223425000,51413000,48233000,59462000,69558000,97396000,78143000,90416000,82676000,79562000,88253000,92995000
54,Long-Term Debt,20300000,121300000,156700000,178004000,229050000,302485000,329647000,346843000,358195000,345005000,540319000,488007000,663607000,678579000,706345000,795319000,584611000,554616000,1025542000,1093537000,1328049000,1443194000,1563806000,1687866000,1763651000,1712918000,1569773000,1567886000,1485950000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,-4000,50000,15000,-47000,-43000,5000,-5000,-19000,-7000,-7000,21000,-45000,- -,- -,16998000,16428000,16780000,61350000,61022000,59473000,54764000,73736000,83773000,179767000,174509000,78650000
58,Total Non-Current Liabilities,20300000,121300000,156700000,178000000,229100000,302500000,329600000,346800000,358200000,345000000,540300000,488000000,663600000,678600000,706300000,795319000,584611000,571614000,1041970000,1110317000,1389399000,1504216000,1623279000,1742630000,1837387000,1796691000,1749540000,1742395000,1564600000
59,Other Liabilities,52000000,268600000,329400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,91237000,90105000,88874000
61,Total Liabilities,31700000,147300000,172700000,195882000,255489000,322432000,349015000,369434000,378395000,363410000,562689000,516951000,701025000,727177000,777343000,864478000,657798000,795039000,1093383000,1158550000,1448861000,1573774000,1720675000,1820773000,1927803000,1879367000,1829102000,1830648000,1657595000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,- -,- -,55000000,75000000,75000000,75000000,75000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,66000,78000,79000,79000,79000,79000,90000,130000,274000,307000,310000,313000,317000,403000,810000,867000,941000,945000,955000,959000,961000,946000,939000,929000,936000,1041000
64,Retained Earnings,-1300000,-2800000,-6400000,-10794000,-14980000,-23571000,-28887000,-45561000,-59534000,-70485000,-82737000,-109506000,-140738000,-150223000,-171625000,-196535000,-202997000,-240024000,-261913000,-285588000,-265242000,-281679000,-195486000,-122701000,-184865000,-272454000,-317263000,-420104000,-483409000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-64177000,-84685000,-104511000,-122365000,-148950000,-174199000,-192698000,-224622000,2000000,3000000,-6000000,-10000000,-5809000,1784000,2000000,1000000,-2000000,-14000000,-37000000,-28000000,-19000000,-27000000,-25000000,-27000000,-17761000
66,Other Total Stockholders Equity,152000000,121000000,121200000,121385000,215728000,222216000,241083000,258724000,284776000,335228000,442723000,494987000,333645000,346589000,351516000,359274000,596074000,604359000,719608000,766256000,788556000,791543000,806664000,819956000,784497000,778694000,774540000,787558000,- -
67,Total Stockholders Equity,150700000,118200000,114800000,110657000,136649000,114039000,107764000,90877000,76371000,90635000,167418000,161133000,250214000,274676000,249204000,228056000,462671000,366929000,460562000,482609000,522259000,496819000,575137000,670216000,581578000,480179000,433206000,341390000,477925000
68,Total Liabilities And Stockholders Equity,182400000,265500000,287500000,306539000,392138000,436471000,456779000,460311000,454766000,454045000,730107000,678084000,951239000,1001853000,1026547000,1092534000,1120469000,1161968000,1553945000,1641159000,1971120000,2070593000,2295812000,2490989000,2509381000,2359546000,2262308000,2172038000,2135520000
69,Minority Interest,- -,29300000,27600000,25599000,23876000,35324000,33290000,27097000,21506000,23630000,257330000,258294000,49366000,39024000,33733000,29321000,58392000,54966000,67870000,31266000,35336000,27067000,30895000,35225000,30724000,25356000,22903000,17493000,21864000
70,Total Liabilities & Equity,182400000,294800000,315100000,332138000,416014000,471795000,490069000,487408000,476272000,477675000,987437000,936378000,1000605000,1040877000,1060280000,1121855000,1178861000,1216934000,1621815000,1672425000,2006456000,2097660000,2326707000,2526214000,2540105000,2384902000,2285211000,2189531000,2157384000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1004036/000095016897000665/0000950168-97-000665-index.html,https://www.sec.gov/Archives/edgar/data/1004036/000095016898000722/0000950168-98-000722-index.html,https://www.sec.gov/Archives/edgar/data/1004036/000095016899000947/0000950168-99-000947-index.html,https://www.sec.gov/Archives/edgar/data/1004036/000089971500000006/0000899715-00-000006-index.html,https://www.sec.gov/Archives/edgar/data/1004036/000100403601000003/0001004036-01-000003-index.html,https://www.sec.gov/Archives/edgar/data/1004036/000089971502000013/0000899715-02-000013-index.html,https://www.sec.gov/Archives/edgar/data/1004036/000089971503000067/0000899715-03-000067-index.html,https://www.sec.gov/Archives/edgar/data/1004036/000089971504000032/0000899715-04-000032-index.html,https://www.sec.gov/Archives/edgar/data/1004036/000100403605000003/0001004036-05-000003-index.html,https://www.sec.gov/Archives/edgar/data/899715/000100403606000015/0001004036-06-000015-index.htm,https://www.sec.gov/Archives/edgar/data/899715/000089971507000045/0000899715-07-000045-index.htm,https://www.sec.gov/Archives/edgar/data/899715/000089971508000036/0000899715-08-000036-index.htm,https://www.sec.gov/Archives/edgar/data/899715/000089971509000082/0000899715-09-000082-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/899715/000089971512000008/0000899715-12-000008-index.htm,https://www.sec.gov/Archives/edgar/data/899715/000089971513000070/0000899715-13-000070-index.htm,https://www.sec.gov/Archives/edgar/data/899715/000089971514000059/0000899715-14-000059-index.htm,https://www.sec.gov/Archives/edgar/data/899715/000089971515000062/0000899715-15-000062-index.htm,https://www.sec.gov/Archives/edgar/data/899715/000089971516000265/0000899715-16-000265-index.htm,https://www.sec.gov/Archives/edgar/data/899715/000089971517000076/0000899715-17-000076-index.htm,https://www.sec.gov/Archives/edgar/data/899715/000089971518000070/0000899715-18-000070-index.htm,https://www.sec.gov/Archives/edgar/data/899715/000089971519000060/0000899715-19-000060-index.htm,https://www.sec.gov/Archives/edgar/data/899715/000089971520000057/0000899715-20-000057-index.htm,https://www.sec.gov/Archives/edgar/data/899715/000089971521000065/0000899715-21-000065-index.htm,https://www.sec.gov/Archives/edgar/data/899715/000089971522000036/0000899715-22-000036-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1900000,11200000,11200000,11191000,12827000,11827000,15588000,4312000,7112000,11007000,12849000,7046000,5089000,37309000,28576000,28032000,58019000,34249000,44641000,53228000,107557000,74011000,211200000,193744000,68002000,43655000,87855000,-36278000,9118000
74,Depreciation and Amortization,5400000,8800000,15300000,16458000,18439000,22154000,24824000,26218000,28572000,28989000,29697000,51999000,48888000,57319000,63954000,62380000,80501000,78126000,84015000,98683000,95746000,102432000,103936000,115357000,127744000,131722000,123314000,117143000,110008000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5392000,11798000,5848000,7291000,10676000,11376000,14750000,14712000,15319000,13585000,14669000,18120000,12517000,12752000
77,Change in Working Capital,-2000000,- -,- -,-43500000,-6800000,-5000000,2600000,3000000,8000000,-300000,-237700000,-7500000,203330000,4723000,-23241000,38206000,-5738000,-147024000,173425000,66463000,14249000,28483000,58705000,-107317000,-5375000,12820000,16219000,61133000,19842000
78,Accounts Receivable,-2600000,-3600000,2400000,600000,-1900000,-2000000,-1200000,-2138000,2213000,-2168000,-6194000,-1889000,-4024000,259000,-4861000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,1600000,1500000,300000,4900000,4000000,-2800000,2400000,-274000,2698000,-569000,3246000,-917000,6615000,2195000,5466000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,-43500000,-50300000,-55300000,-52700000,-49700000,-41700000,-42000000,-279700000,-287200000,-83870000,-79147000,-102388000,-64182000,-69920000,-216944000,-43519000,22944000,37193000,65676000,124381000,17064000,11689000,24509000,40728000,101861000,- -
82,Other Non-Cash Items,6300000,1300000,5900000,53902000,14748000,6806000,163000,4773000,942000,-529000,239940000,33271000,-173405000,-10961000,29299000,-37040000,-17283000,147301000,-173378000,-63285000,-41442000,-30905000,-167798000,22213000,49203000,55452000,-25056000,10232000,65998000
83,Cash Provided by Operating Activities,11600000,21300000,32400000,38051000,39214000,35787000,43175000,38303000,44626000,39167000,44786000,84816000,83902000,88390000,98588000,96970000,127297000,118500000,135994000,165765000,187486000,188771000,220755000,239316000,253159000,258318000,220452000,164747000,217718000
84,CAPEX,-49400000,-142400000,-43800000,-36575000,-93636000,-81797000,-51586000,-38294000,-21986000,-44977000,-335475000,-17809000,-47310000,-82189000,-88116000,-131906000,-46624000,- -,-326525000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37500000,- -,- -,- -,- -,- -,-1577000,-95000,897000,-24613000,-103041000,-162125000,-142268000,119301000,-49481000,33321000,-1916000,-2316000,-10601000,-7000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-130000,-4270000,- -,-7090000,-2020000,- -,- -,-31086000,-6142000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,2561000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,100000,-1300000,-1000000,174000,- -,- -,5627000,12596000,-1283000,56244000,14452000,20416000,-282163000,21378000,3313000,-4608000,-2678000,-81608000,-9938000,-44868000,-12101000,-48400000,-341128000,3980000,-150866000,-38107000,101605000,-8170000,-15739000
89,Cash Used for Investing Activites,-49300000,-143700000,-44800000,-36401000,-93636000,-79236000,-45959000,-25698000,-23269000,-26363000,-325293000,2607000,-336563000,-62831000,-84803000,-133483000,-76228000,-86853000,-361076000,-147909000,-174226000,-190668000,-221827000,-45501000,-117545000,-40023000,99289000,-18771000,-22739000
90,Debt Repayment,-145000000,-68900000,-100300000,-124046000,-142404000,-78065000,-109255000,-153900000,-267723000,-139510000,-136574000,-138406000,-338865000,-261942000,-121911000,-669703000,-335900000,-773600000,-687390000,-517271000,-697377000,-815690000,-507483000,-1333667000,-979822000,-566683000,-431339000,-645196000,-611922000
91,Common Stock Issued,162700000,- -,- -,- -,29944000,762000,12000,- -,201000,27960000,108977000,21339000,83293000,2382000,2085000,- -,116819000,- -,117375000,- -,- -,- -,- -,- -,- -,- -,- -,- -,186969000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-216000,-958000,- -,- -,- -,-744000,- -,- -,- -,- -,- -,- -,-75000000,- -,- -,- -,- -,- -,- -,-49361000,-19998000,-20000000,- -,- -
93,Dividends Paid,-2600000,-13300000,-14800000,-21825000,-23596000,-20418000,-20904000,-20986000,-21085000,-21958000,-25101000,-33815000,-36321000,-46794000,-49978000,-52942000,-68604000,-68737000,-66530000,-76903000,-87211000,-90448000,-104877000,-141088000,-130166000,-131244000,-132664000,-66563000,-72423000
94,Other Financing Activites,66200000,162900000,128900000,141695000,191500000,144109000,128062000,162412000,267131000,121261000,342713000,57726000,543381000,286318000,149978000,761723000,234906000,888181000,863763000,578759000,777516000,910195000,619214000,1271288000,1017670000,502722000,271870000,634166000,378997000
95,Cash Used/Provided by Financing Activities,81300000,80700000,13800000,-4176000,55444000,46172000,-3043000,-12474000,-21476000,-12247000,289271000,-93156000,251488000,-20036000,-19826000,39078000,-52779000,-29156000,227218000,-15415000,-7072000,4057000,6854000,-203467000,-141679000,-215203000,-312133000,-77593000,-118379000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1282000,-526000,-1099000,316000,-56000,-110000,-19000,-223000,-177000
97,Net Change In Cash,81300000,80700000,13800000,-2526000,1022000,2723000,-5827000,131000,-119000,557000,8764000,-5733000,-1173000,5523000,-6041000,2565000,-1710000,2491000,2136000,2441000,4906000,1634000,4683000,-9336000,-6121000,2982000,7589000,68160000,76423000
98,Cash at the End of Period,- -,- -,- -,2585000,3607000,6330000,503000,634000,515000,1072000,9836000,4103000,2930000,8453000,2412000,4977000,3267000,5758000,7894000,10335000,15241000,16875000,21558000,12222000,6101000,9083000,16672000,84832000,161255000
