,https://roic.ai/company/MUX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.7143,0.5455,0.4867,0.4066,-1.1586,-6.0769,-312.0000,18.2667,-0.1429,0.2000,0.4180,0.3740,-14.8908,-21.3080,-43924.0000,-0.1829,-0.2308,-24.4626,-2.0507,-20.3593,-2.8265,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-15.5657,-4.3198,-9.2024,-0.5864,0.3459,-0.2869,-0.2423,-0.3251,-1.1756,-Infinity
17,Operating Income,- -,2800000,4100000,2000000,-500000,-500000,-1700000,900000,600000,300000,599003,492122,-1157658,-2746326,-680789,-114327,-153801,-1371307,-886748,-792325,-2787710,-21547382,-32293192,-20878052,-35759000,-35783000,-60185000,-91405000,-200397000,-410165000,-49320000,15347000,-26027000,-46542000,-63914000,-153174000,-64280000
18,Operating Income ratio,- -,0.4242,0.3628,0.2198,-0.0345,-0.1282,-17.0000,0.6000,0.4286,0.3000,0.4380,0.3753,-14.8469,-20.9733,-680789.0000,-0.2117,-0.2848,-24.5869,-2.1906,-20.4471,-2.6487,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-15.3210,-4.3582,-9.0538,-0.6760,0.2541,-0.3843,-0.3613,-0.5462,-1.4617,-Infinity
19,Total Other Income Expenses (Gains),500000,- -,-300000,100000,-13200000,-20800000,-26200000,-500000,-300000,- -,-27369,-1695,-3424,-2630,627434,- -,17351,15498,-371331,-1476,-203011,-51102658,3426185,-111078960,1685000,694000,-1867000,-2493000,-710000,-8948000,4310000,1959000,24000,-1098000,323000,-541000,- -
20,Income Before Tax,400000,2800000,3800000,2100000,-13700000,- -,- -,400000,300000,- -,571634,490427,-1161082,-2748956,- -,- -,-136450,- -,-1258079,-793801,-2990721,-72650040,-28867007,-131957012,-34074000,-35089000,-62052000,-93898000,-201107000,-419113000,-45010000,17306000,-26003000,-47640000,-63591000,-153715000,- -
21,Income Before Tax Ratio,0.5714,0.4242,0.3363,0.2308,-0.9448,- -,- -,0.2667,0.2143,- -,0.4180,0.3740,-14.8908,-20.9934,- -,- -,-0.2527,- -,-3.1079,-20.4852,-2.8416,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-15.7389,-4.3736,-9.2513,-0.6169,0.2866,-0.3840,-0.3698,-0.5434,-1.4669,- -
22,Income Tax expense (Gain),200000,400000,1300000,500000,-2100000,- -,- -,200000,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66766,-846197,-6376000,-1998000,-180000,-27244000,-53365000,-107170000,-24560000,-3749000,-15369000,-2770000,-3844000,-1390000,- -
23,Net Income,200000,2400000,2500000,1600000,-11600000,-23200000,-31100000,27200000,300000,200000,571634,490427,-1161082,-2790159,-60154,-117916,-136450,-1375459,-854079,-793801,-2990721,-72650040,-28545753,-131110815,-27698000,-33091000,-61872000,-66654000,-147742000,-311943000,-20450000,21055000,-10634000,-44870000,-59747000,-152325000,- -
24,Net Income ratio,0.2857,0.3636,0.2212,0.1758,-0.8000,-5.9487,-311.0000,18.1333,0.2143,0.2000,0.4180,0.3740,-14.8908,-21.3080,-60154.0000,-0.2184,-0.2527,-24.6613,-2.1099,-20.4852,-2.8416,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-11.1723,-3.2130,-6.8857,-0.2803,0.3487,-0.1570,-0.3483,-0.5106,-1.4536,- -
25,EPS,0.10,0.67,0.48,0.38,-2.29,-4.68,-4.64,1.98,0.02,0.01,0.04,0.03,-0.08,-0.19,-0.00,-0.01,-0.01,-0.09,-0.05,-0.04,-0.11,-1.72,-0.33,-1.30,-0.24,-0.26,-0.43,-0.26,-0.50,-1.05,-0.07,0.07,-0.03,-0.13,-0.17,-0.38,-0.12
26,EPS Diluted,0.10,0.67,0.48,0.38,-2.29,-4.68,-4.64,1.98,0.02,0.01,0.04,0.03,-0.08,-0.19,-0.00,-0.01,-0.01,-0.09,-0.05,-0.04,-0.11,-1.72,-0.33,-1.30,-0.24,-0.26,-0.43,-0.26,-0.50,-1.05,-0.07,0.07,-0.03,-0.13,-0.17,-0.38,-0.12
27,Weighted Average Shares Outstanding,3693132,3591086,5237000,4189600,5062433,4959118,6702498,13762937,15711000,10474000,15283629,15373837,15201466,14612063,14636409,12350522,14291773,16007286,17891247,20785679,26104010,42274251,85839791,101221651,117543417,127769183,143541980,261223000,297041000,297763000,300341000,298772000,313887000,337297000,361845000,403457000,454899000
28,Weighted Average Shares Outstanding Diluted,3693132,3591086,5237000,4189600,5062433,4959118,6702498,13762937,15711000,10474000,15283629,15373837,15201466,14612063,14636409,12350522,14291773,16007286,17891247,20785679,26104010,42274251,85839791,101221651,117543417,127769183,143541980,261223000,297041000,297763000,300341000,300474000,313887000,337297000,361845000,403457000,454899000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/314203/000110465907023969/a07-6046_110ksb.htm,https://www.sec.gov/Archives/edgar/data/314203/000104746908002987/a2183557z10-k.htm,https://www.sec.gov/Archives/edgar/data/314203/000104746909002589/0001047469-09-002589-index.html,https://www.sec.gov/Archives/edgar/data/314203/000104746910002227/0001047469-10-002227-index.html,https://www.sec.gov/Archives/edgar/data/314203/000104746911002070/a2202514z10-k.htm,https://www.sec.gov/Archives/edgar/data/314203/000104746912002393/0001047469-12-002393-index.html,https://www.sec.gov/Archives/edgar/data/314203/000104746913002450/0001047469-13-002450-index.html,https://www.sec.gov/Archives/edgar/data/314203/000104746914002057/a2218687z10-k.htm,https://www.sec.gov/Archives/edgar/data/314203/000104746915001848/a2223369z10-k.htm,https://www.sec.gov/Archives/edgar/data/314203/000155837016004026/0001558370-16-004026-index.html,https://www.sec.gov/Archives/edgar/data/314203/000155837017001222/0001558370-17-001222-index.html,https://www.sec.gov/Archives/edgar/data/314203/000155837018000860/0001558370-18-000860-index.html,https://www.sec.gov/Archives/edgar/data/314203/000155837019000788/0001558370-19-000788-index.html,https://www.sec.gov/Archives/edgar/data/314203/000155837020002800/0001558370-20-002800-index.html,https://www.sec.gov/Archives/edgar/data/314203/000155837021002708/0001558370-21-002708-index.htm,https://www.sec.gov/Archives/edgar/data/314203/000155837022002910/0001558370-22-002910-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,234326,5459,615999,1954,48480,54245,72089,4437,197992,74988,677518,50921877,30929227,10299941,30450000,11387000,13416000,70921000,24321000,12380000,25874000,37440000,27153000,15756000,46452000,20843000,54287000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12946000,4576000,5413000,1693000,- -,1082000,1032000,8543000,7971000,3131000,1885000,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,234326,5459,615999,1954,48480,54245,72089,4437,197992,74988,677518,50921877,30929227,10299941,43396000,15963000,18829000,72614000,24321000,13462000,26906000,45983000,35124000,18887000,48337000,20843000,54287000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1093072,691000,240000,640000,495000,495000,- -,- -,375000,368524,25667,197221,- -,- -,- -,- -,- -,9150000,11591000,11739000,10032000,4304000,5250000,1058000,2658000,5690000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22810000,7262000,8800000,12404000,14975000,26620000,31951000,22039000,38376000,26964000,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,181439,180669,- -,- -,- -,- -,- -,- -,8634,5877,85483,87882,1812842,1248828,976000,1259000,6244000,2892000,2059000,2096000,2530000,1667000,14539000,17392000,2607000,- -,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1508837,877128,855999,641954,543480,549245,72089,4437,581626,449389,788668,51206980,32742069,11548769,44372000,17222000,47883000,91918000,46771000,39701000,54443000,78574000,86864000,59376000,91978000,53497000,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,329112000,342304000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,107017283,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61557,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61557,- -,- -,- -,- -,107017283,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,251192034,239858000,235153000,245454000,273948000,212947000,177018000,167107000,162320000,150064000,127814000,110183000,108326000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,223662,86520,41203,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6896385,7070964,5344786,3467601,2865152,2442119,3430876,3407539,1259228,985454,4751882,8192355,268909699,14935946,7749000,9250000,17018000,785071000,663348000,306239000,253535000,257424000,355201000,429751000,429062000,9001000,7051000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7120047,7157484,5385989,3467601,2865152,2442119,3430876,3469096,1259228,985454,4751882,8192355,375926982,266127980,247607000,244403000,262472000,1059019000,876295000,483257000,420642000,419744000,505265000,557565000,539245000,446439000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,525341000
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8628884,8034612,6241988,4109555,3408632,2991364,3502965,3473533,1840854,1434843,5540550,59399335,408669051,277676749,291979000,261625000,310355000,1150937000,923066000,522958000,475085000,498318000,592129000,616941000,631223000,499936000,525341000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46171,127035,- -,- -,16987,7016,15717,184445,48522,10446,96794,3170520,780750,930527,1163000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5189,10681,11775,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3395000,- -,- -,- -,5000000,2440000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9653,194545,155388,279337,12933,249669,31900,24136,1694335,233094,206049,347181,686000,3680000,6124000,25195000,11189000,24081000,18644000,20581000,37639000,36012000,43795000,43114000,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127035,9653,199734,183056,298128,28650,434114,80422,34582,1791129,3403614,986799,1277708,1849000,3680000,6124000,25195000,11189000,24081000,22039000,20581000,37639000,36012000,48795000,45554000,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23050,33004,21190,420351,544760,544760,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49206000,39516000,51216000,50381000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2954518,1789100,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1720000,- -,- -,- -,- -,- -,- -,- -,88186800,87340603,80572000,78573000,78786000,229522000,158855000,51899000,26899000,23665000,8430000,6426000,4914000,3813000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,645482,640000,2800000,2360000,- -,1316000,1825977,1825977,270905,570303,1216282,3511063,5574228,5864520,6332000,6092000,6141000,6629000,6255000,5763000,7855000,11033000,24787000,39351000,38519000,34025000,32620000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3600000,2429100,2800000,2383050,1753004,1337190,2246328,2370737,815665,570303,1216282,3511063,93761028,93205123,86904000,84665000,84927000,236151000,165110000,57662000,34754000,34698000,33217000,94983000,82949000,89054000,83001000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7240689,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,218401000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,551000,6429000,7133000,5496000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3640689,2556135,2809653,2582784,1936060,1635318,2274978,2804851,896087,604885,3007411,6914677,94747827,94482831,88753000,88345000,91051000,261346000,176299000,81743000,56793000,55279000,70856000,130995000,131744000,134608000,135400000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1380651,1385447,1392747,1392747,1396466,1397352,1402639,1645353,1918896,2045701,40465813,- -,- -,- -,- -,- -,613831000,1349777000,1354696000,1360668000,1359144000,1360345000,1444056000,1457422000,1530702000,1548876000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28374621,-27884194,-29045276,-31835435,-31895589,-32013505,-32149952,-33525414,-34379493,-34941953,-37932674,-110920140,-139465893,-270576708,-298275000,-331366000,-393238000,-459892000,-607634000,-919577000,-940027000,-918972000,-929606000,-971476000,-1031223000,-1183548000,-1240432000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-250997,-124896,-118822,-88900,-50830,-108630,-581502,-1144610,-1401000,-1848000,-1000000,-2947000,-3300000,-4226000,-1000000,2000000,3000000,-18186000,-65304000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31982165,31977224,31084864,31969459,31971695,31972199,32226297,32673639,33524186,33815110,50830,163513428,453968619,454915236,502902000,506494000,-289000,2653000,3005000,4350000,175000,-334000,3823000,18186000,65304000,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4988195,5478477,3432335,1526771,1472572,1356046,1227987,668682,944767,829958,2533139,52484658,313921224,183193918,203226000,173280000,219304000,889591000,746767000,441215000,418292000,443039000,521273000,485946000,499479000,365328000,389941000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8628884,8034612,6241988,4109555,3408632,2991364,3502965,3473533,1840854,1434843,5540550,59399335,408669051,277676749,291979000,261625000,310355000,1150937000,923066000,522958000,475085000,498318000,592129000,616941000,631223000,499936000,525341000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8628884,8034612,6241988,4109555,3408632,2991364,3502965,3473533,1840854,1434843,5540550,59399335,408669051,277676749,291979000,261625000,310355000,1150937000,923066000,522958000,475085000,498318000,592129000,616941000,631223000,499936000,525341000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/314203/000110465907023969/a07-6046_110ksb.htm,https://www.sec.gov/Archives/edgar/data/314203/000104746908002987/a2183557z10-k.htm,https://www.sec.gov/Archives/edgar/data/314203/000104746909002589/0001047469-09-002589-index.html,https://www.sec.gov/Archives/edgar/data/314203/000104746910002227/0001047469-10-002227-index.html,https://www.sec.gov/Archives/edgar/data/314203/000104746911002070/a2202514z10-k.htm,https://www.sec.gov/Archives/edgar/data/314203/000104746912002393/0001047469-12-002393-index.html,https://www.sec.gov/Archives/edgar/data/314203/000104746913002450/0001047469-13-002450-index.html,https://www.sec.gov/Archives/edgar/data/314203/000104746914002057/a2218687z10-k.htm,https://www.sec.gov/Archives/edgar/data/314203/000104746915001848/a2223369z10-k.htm,https://www.sec.gov/Archives/edgar/data/314203/000155837016004026/0001558370-16-004026-index.html,https://www.sec.gov/Archives/edgar/data/314203/000155837017001222/0001558370-17-001222-index.html,https://www.sec.gov/Archives/edgar/data/314203/000155837018000860/0001558370-18-000860-index.html,https://www.sec.gov/Archives/edgar/data/314203/000155837019000788/0001558370-19-000788-index.html,https://www.sec.gov/Archives/edgar/data/314203/000155837020002800/0001558370-20-002800-index.html,https://www.sec.gov/Archives/edgar/data/314203/000155837021002708/0001558370-21-002708-index.htm,https://www.sec.gov/Archives/edgar/data/314203/000155837022002910/0001558370-22-002910-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-11600000,-23200000,-31100000,27200000,300000,200000,571634,490427,-1161082,-2790159,-60154,-117916,-136450,-1375459,-854079,-793801,-2990721,-72650040,-28545753,-131110815,-27698000,-33091000,-61872000,-66654000,-147742000,-311943000,-20450000,21055000,-10634000,-44870000,-59747000,-152325000,- -
74,Depreciation and Amortization,- -,- -,- -,- -,-3100000,-500000,-100000,- -,- -,- -,- -,- -,- -,- -,16230,15473,11795,11082,22297,4878,12850,73701,475256,626307,625000,454000,577000,1033000,2472000,2215000,2230000,3582000,6576000,16425000,25543000,23090000,25549000
75,Deferred Income Tax,- -,- -,- -,- -,-2100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-846197,-6376000,-1998000,-180000,-27244000,-53365000,-107170000,-24560000,-3749000,-15675000,-2770000,-3844000,-1390000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,389246,1292000,1595000,2671000,3405000,1382000,1324000,1305000,1039000,1309000,269000,694000,612000,- -
77,Change in Working Capital,- -,- -,- -,- -,4200000,- -,- -,- -,- -,- -,1508837,-758744,96253,-404126,-81796,-109307,-207678,-473116,930881,-86397,-1417268,48805827,-16048096,-21484209,32251939,-28981000,28217000,24964000,-31141000,-19962000,16784000,25589000,-8768000,-25861000,19819000,-35240000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1508837,750093,846346,442220,360424,251117,43439,-429677,501204,414807,-1002461,47803366,31755270,10271061,42523000,13542000,41759000,66723000,35582000,15620000,32404000,57993000,49225000,23364000,43183000,7943000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,19300000,24500000,29600000,-27300000,-800000,-800000,-3317340,-569195,53383,2465659,-560366,230861,358472,1002582,-1351271,76919,1967873,5640879,14748751,133711897,-28493939,36099000,-28406000,-7010000,186000000,420630000,40288000,-22330000,11758000,57294000,-21992000,137380000,-25549000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,6700000,800000,-1600000,-100000,-500000,-600000,-1236869,-837512,-1011446,-728626,-686086,19111,26139,-834911,-1252172,-798401,-2427266,-18129633,-29369842,-18713771,-28399000,-25922000,-58993000,-71506000,-42394000,-14906000,15597000,25186000,-15434000,487000,-39527000,-27873000,- -
84,CAPEX,- -,- -,- -,- -,-32600000,-8700000,- -,- -,- -,- -,-31129,- -,-9569,-5431,-1193,-2665,-10000,-1237,- -,-101507,-55067,-765894,-5623350,-266458,-325000,-3278000,-18032000,-2591000,-4456000,-2788000,-777000,-7159000,-8569000,-81321000,-29707000,-13373000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,-10000000,36000000,- -,- -,- -,18000000,-16000000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1118733,- -,- -,- -,-2760000,-5833000,-4630000,- -,- -,-446000,-1114000,-4419000,- -,-1384000,- -,- -,- -
