,https://roic.ai/company/HR,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100875000,-69807000,-45901000,-20856000,-68706000,-11400000,-38423000,-9781000,- -
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7812000,-12268000,33979000,58836000,85571000,23096000,69771000,39185000,72195000,66659000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0322,-0.0364,0.0916,0.1515,0.2077,0.0544,0.1549,0.0833,0.1445,0.1246
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,4000000,15700000,18300000,19700000,31200000,40500000,86000000,79801000,79887000,70091000,70507000,55533000,52668000,39719000,60062000,41692000,51091000,8200000,-214000,5465000,6946000,31887000,69436000,85571000,23092000,69771000,39185000,72195000,66659000
24,Net Income ratio,0.5797,0.6797,0.6466,0.6294,0.6023,0.5062,0.5603,0.5261,0.5068,0.4281,0.4480,0.2920,0.2562,0.1879,0.3703,0.2388,0.2386,0.0420,-0.0010,0.0226,0.0206,0.0860,0.1787,0.2077,0.0544,0.1549,0.0833,0.1445,0.1246
25,EPS,0.64,1.33,1.41,1.49,1.71,1.66,2.02,1.85,1.84,1.57,1.71,1.27,1.13,0.85,1.26,0.81,0.88,0.13,-0.00,0.07,0.08,0.33,0.70,0.79,0.18,0.55,0.29,0.52,0.46
26,EPS Diluted,0.63,1.33,1.41,1.49,1.68,1.63,1.99,1.82,1.81,1.55,1.69,1.24,1.11,0.84,1.24,0.79,0.87,0.13,-0.00,0.07,0.08,0.33,0.70,0.78,0.18,0.55,0.29,0.52,0.46
27,Weighted Average Shares Outstanding,6250000,11578947,12978723,13254233,18222243,24043942,39326594,39544400,39840285,40974532,41129282,43706528,46465215,46527857,47536133,51547279,58199592,61722786,72720147,78844840,90941000,95279000,99171000,108572000,117926000,123292000,128000000,133930000,143817619
28,Weighted Average Shares Outstanding Diluted,6349206,11578947,12978723,13254233,18572492,24524600,39810306,40301409,40463158,41606068,41780088,44627475,47406798,47498937,48291330,52564944,59047314,62770826,72720147,80127883,90941000,96759000,99880000,109387000,118017000,123351000,128084000,134007000,143817619
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/899749/000095014405012312/0000950144-05-012312-index.htm,https://www.sec.gov/Archives/edgar/data/899749/000095014406001925/0000950144-06-001925-index.htm,https://www.sec.gov/Archives/edgar/data/899749/000095014407001798/0000950144-07-001798-index.htm,https://www.sec.gov/Archives/edgar/data/899749/000095014408001346/0000950144-08-001346-index.htm,https://www.sec.gov/Archives/edgar/data/899749/000095014409001534/0000950144-09-001534-index.htm,https://www.sec.gov/Archives/edgar/data/899749/000095012310015248/0000950123-10-015248-index.htm,https://www.sec.gov/Archives/edgar/data/899749/000095012311016562/0000950123-11-016562-index.htm,https://www.sec.gov/Archives/edgar/data/899749/000119312512072996/0001193125-12-072996-index.htm,https://www.sec.gov/Archives/edgar/data/899749/000089974913000008/0000899749-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/899749/000089974914000008/0000899749-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/899749/000089974915000006/0000899749-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/899749/000089974916000061/0000899749-16-000061-index.htm,https://www.sec.gov/Archives/edgar/data/899749/000089974917000031/0000899749-17-000031-index.htm,https://www.sec.gov/Archives/edgar/data/899749/000089974918000018/0000899749-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/899749/000089974919000020/0000899749-19-000020-index.htm,https://www.sec.gov/Archives/edgar/data/899749/000089974920000014/0000899749-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/899749/000089974921000019/0000899749-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/899749/000089974922000019/0000899749-22-000019-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,100000,500000,9100000,1400000,5300000,14400000,4400000,1788000,2930000,402000,3840000,2683000,7037000,1950000,8519000,4138000,5851000,113321000,4738000,6776000,8671000,3519000,4102000,5409000,6215000,8381000,657000,15303000,13175000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,100000,500000,9100000,1400000,5300000,14400000,4400000,1788000,2930000,402000,3840000,2683000,7037000,1950000,8519000,4138000,5851000,113321000,4738000,6776000,8671000,3519000,4102000,5409000,6215000,8381000,657000,15303000,13175000
34,Net Receivables,- -,600000,1400000,- -,- -,- -,253500000,170906000,122074000,102792000,91835000,40321000,105795000,73856000,30117000,59001000,31008000,36599000,97381000,162191000,174247000,62700000,69000000,72600000,74100000,79200000,83500000,- -,84900000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40321000,-105795000,-73856000,-30117000,-59001000,-31008000,-36599000,-97381000,-162191000,62152000,70546000,64324000,116990000,98347000,75472000,44337000,20646000,58657000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2683000,7037000,1950000,8519000,4138000,5851000,113321000,4738000,6776000,245070000,136765000,137426000,194999000,178662000,163053000,128494000,35949000,156732000
38,PP&E,133400000,280800000,318500000,416000000,471000000,1566000000,1315200000,1358826000,1349664000,1292646000,1340009000,1562794000,1517247000,1558620000,1351173000,1634364000,1791693000,2086964000,2271871000,2244959000,- -,- -,- -,- -,- -,- -,138844000,144865000,128386000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3500000,3500000,3500000,3500000,3500000,3500000,3500000,- -,3500000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16400000,19200000,19200000,20900000,19600000,18500000,3700000,- -,6200000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19900000,22700000,22700000,24400000,23100000,22000000,7200000,- -,9700000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8700000,8500000,8100000,73137000,161942000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97896000,153637000,174069000,132374000,158038000,138220000,157024000,244413000,288137000,2464678000,2598008000,2656582000,2821248000,2983108000,2997694000,3281191000,3558309000,3802199000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1660690000,1670884000,1732689000,1483547000,1792402000,1929913000,2243988000,2516284000,2533096000,2484578000,2620708000,2679282000,2845648000,3014908000,3028194000,3435335000,3776311000,4102227000
46,Other Assets,134100000,283200000,336800000,427500000,488500000,1615400000,1608000000,1587076000,1555910000,1489546000,1525710000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,134100000,283200000,336800000,427500000,488500000,1615400000,1608000000,1587076000,1555910000,1489546000,1525710000,1663373000,1677921000,1734639000,1492066000,1796540000,1935764000,2357309000,2521022000,2539872000,2729648000,2757473000,2816708000,3040647000,3193570000,3191247000,3563829000,3812260000,4258919000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,238000000,85000000,206000000,107000000,189000000,262000000,293000000,- -,210000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,12900000,10700000,37800000,26200000,42200000,38600000,36200000,33100000,50900000,56800000,59000000,78200000,129800000,102600000,110400000,122700000,126000000,74853000,70612000,75522000,78880000,71088000,80998000,78662000,82390000,86402000
53,Total Current Liabilities,- -,- -,- -,12900000,10700000,37800000,26200000,42200000,38600000,36200000,33100000,50900000,56800000,59000000,78200000,129800000,102600000,110400000,122700000,126000000,312853000,155612000,281522000,185880000,260088000,342998000,371662000,82390000,296402000
54,Long-Term Debt,21000000,40400000,93000000,168600000,101300000,559900000,563900000,536781000,505222000,545063000,590281000,719264000,778446000,849982000,785289000,940186000,1046422000,1407855000,1393537000,1293044000,1110459000,1318692000,1225494000,1157370000,1094880000,1083984000,1121069000,1713879000,1710014000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,19000,-22000,37000,19000,36000,-46000,18000,11000,14000,-22000,45000,-37000,-44000,61064000,62152000,66963000,43983000,48734000,47623000,171115000,67615000,67387000
58,Total Non-Current Liabilities,21000000,40400000,93000000,168600000,101300000,559900000,563900000,536800000,505200000,545100000,590300000,719300000,778400000,850000000,785300000,940200000,1046400000,1407900000,1393500000,1293000000,1171523000,1380844000,1292457000,1201353000,1143614000,1131607000,1292184000,1781494000,1777401000
59,Other Liabilities,46900000,87300000,195400000,- -,- -,- -,- -,1073639000,1010423000,1090247000,1180632000,- -,- -,- -,- -,- -,- -,- -,2787016000,2586028000,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,109611000,111110000,118689000
61,Total Liabilities,25900000,46900000,102400000,181500000,112000000,597700000,590100000,579039000,543823000,581347000,623432000,770194000,835184000,908967000,863497000,1069960000,1145616000,1514569000,1516216000,1419028000,1484376000,1536456000,1573979000,1387233000,1403702000,1474605000,1663846000,1863884000,2073803000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,400000,403000,414000,418000,428000,477000,478000,478000,507000,592000,606000,661000,779000,875000,959000,988000,1015000,1164000,1251000,1253000,1347000,1395000,1505000
64,Retained Earnings,-3400000,-22800000,-46500000,-71700000,-18600000,1049000000,-27400000,295174000,-64632000,-100435000,-134219000,-222845000,-295519000,-382005000,-650237000,-689846000,-1518105000,-797761000,-887245000,-980228000,-1082761000,-1167245000,-1218075000,-1264263000,-1383498000,-1463993000,-1580166000,-1670528000,-1779325000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16251000,-18396000,-15153000,-13013000,-4035000,-4346000,-6461000,-4593000,-5269000,-3332000,-1782000000,51000,-2519000,-1569000,-1401000,-1299000,-902000,-6175000,-17832000,-9981000
66,Other Total Stockholders Equity,111600000,259100000,280900000,317700000,395100000,- -,1044900000,712460000,1076305000,1024467000,1054465000,1218137000,1220522000,1211234000,1286071000,1490535000,2308858000,1641379000,1894604000,3882297000,2325228000,2389830000,2461376000,2917914000,3173429000,3180284000,3485003000,3635341000,3972917000
67,Total Stockholders Equity,108200000,236300000,234400000,246000000,376500000,1017700000,1017900000,1008037000,1012087000,908199000,902278000,980616000,912468000,825672000,631995000,794820000,786766000,839010000,1004806000,1120944000,1243477000,1221054000,1242747000,1653414000,1789883000,1716642000,1900009000,1948376000,2185116000
68,Total Liabilities And Stockholders Equity,134100000,283200000,336800000,427500000,488500000,1615400000,1608000000,1587076000,1555910000,1489546000,1525710000,1750810000,1747652000,1734639000,1495492000,1864780000,1932382000,2353579000,2521022000,2539972000,2727853000,2757510000,2816726000,3040647000,3193585000,3191247000,3563855000,3812260000,4258919000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-87437000,-69731000,- -,-3426000,-68240000,3382000,3730000,- -,-100000,1795000,-37000,-18000,- -,-15000,- -,-26000,- -,- -
70,Total Liabilities & Equity,134100000,283200000,336800000,427500000,488500000,1615400000,1608000000,1587076000,1555910000,1489546000,1525710000,1663373000,1677921000,1734639000,1492066000,1796540000,1935764000,2357309000,2521022000,2539872000,2729648000,2757473000,2816708000,3040647000,3193570000,3191247000,3563829000,3812260000,4258919000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/899749/000095014405012312/0000950144-05-012312-index.htm,https://www.sec.gov/Archives/edgar/data/899749/000095014406001925/0000950144-06-001925-index.htm,https://www.sec.gov/Archives/edgar/data/899749/000095014407001798/0000950144-07-001798-index.htm,https://www.sec.gov/Archives/edgar/data/899749/000095014408001346/0000950144-08-001346-index.htm,https://www.sec.gov/Archives/edgar/data/899749/000095014409001534/0000950144-09-001534-index.htm,https://www.sec.gov/Archives/edgar/data/899749/000095012310015248/0000950123-10-015248-index.htm,https://www.sec.gov/Archives/edgar/data/899749/000095012311016562/0000950123-11-016562-index.htm,https://www.sec.gov/Archives/edgar/data/899749/000119312512072996/0001193125-12-072996-index.htm,https://www.sec.gov/Archives/edgar/data/899749/000089974913000008/0000899749-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/899749/000089974914000008/0000899749-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/899749/000089974915000006/0000899749-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/899749/000089974916000061/0000899749-16-000061-index.htm,https://www.sec.gov/Archives/edgar/data/899749/000089974917000031/0000899749-17-000031-index.htm,https://www.sec.gov/Archives/edgar/data/899749/000089974918000018/0000899749-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/899749/000089974919000020/0000899749-19-000020-index.htm,https://www.sec.gov/Archives/edgar/data/899749/000089974920000014/0000899749-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/899749/000089974921000019/0000899749-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/899749/000089974922000019/0000899749-22-000019-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,4000000,15700000,18300000,19700000,31200000,40500000,86000000,79801000,79887000,70091000,70507000,55533000,52668000,39719000,60062000,41692000,51091000,8200000,-214000,5465000,6946000,31887000,69436000,85571000,23092000,69771000,39185000,72195000,66659000
74,Depreciation and Amortization,2300000,5400000,8100000,9000000,12100000,17100000,41200000,42825000,45129000,46558000,46162000,60974000,67206000,65529000,53924000,54748000,70921000,77894000,92388000,101444000,105318000,116049000,120363000,131041000,146351000,167201000,180872000,194816000,206507000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-674000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2780000,3711000,2411000,2922000,3492000,5210000,4451000,6029000,7598000,10028000,10691000,12275000,9922000,10729000
77,Change in Working Capital,100000,- -,-12900000,2200000,-27100000,11600000,-16000000,3600000,2400000,3100000,-15117000,-1546000,-7287000,-12631000,-55981000,28913000,99670000,-120883000,-1262000,51441000,48936000,-125249000,153215000,-90545000,-98519000,-63223000,196727000,-1631666000,-8528000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6013000,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,418000,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,-12900000,-10700000,-37800000,-26200000,-42200000,-38600000,-36200000,-33100000,-48217000,-49763000,-57050000,-69681000,-125662000,-96749000,2921000,-117962000,-119224000,-67783000,-18847000,-144096000,9119000,-81426000,-179945000,-243168000,-46441000,-1678107000,- -
82,Other Non-Cash Items,- -,200000,13200000,-1300000,24200000,-45700000,-19400000,-5189000,-36074000,-10723000,-4524000,11277000,-10922000,16471000,32915000,-21523000,-121505000,113213000,11198000,-45445000,-45613000,98232000,-188668000,17607000,98814000,23915000,-215921000,1824822000,-42738000
83,Cash Provided by Operating Activities,6400000,21300000,26700000,29600000,40400000,23500000,91800000,121037000,91342000,109026000,97028000,126238000,101665000,109088000,90920000,106610000,103214000,80835000,105032000,116397000,120797000,125370000,160375000,151272000,179766000,208355000,213138000,470089000,232629000
84,CAPEX,- -,- -,- -,- -,- -,- -,-8800000,- -,- -,- -,- -,- -,-87399000,-126347000,-130799000,-383702000,-170520000,-369034000,-230106000,- -,-72784000,-70670000,-48769000,-71433000,-80613000,-70807000,-64670000,-93963000,-100689000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-97750000,-53971000,-43741000,-83963000,-355470000,- -,- -,- -,882000,-184000,- -,- -,- -,- -,- -,- -,- -,-8701000,- -,- -,-65663000,-89600000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10654000,- -,-42516000,-23391000,-25109000,-101931000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,15048000,- -,- -,- -,- -,- -,32706000,311927000,8236000,- -,- -,- -,- -,2717000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-130700000,-130400000,-45900000,-63500000,-67500000,-89000000,-17900000,78655000,73707000,99913000,12147000,55360000,-35870000,-75600000,-78572000,48225000,96334000,43713000,37369000,-113254000,-210663000,-34918000,-17013000,-166391000,-170134000,-34220000,-353858000,-395540000,-372184000
89,Cash Used for Investing Activites,-130700000,-130400000,-45900000,-63500000,-67500000,-89000000,-17900000,-4047000,19736000,56172000,-71816000,-300110000,-35870000,-53548000,233355000,-368875000,-97761000,-350430000,-294668000,-113254000,-207946000,-105588000,-65782000,-237824000,-259448000,-105027000,-418528000,-555166000,-562473000
90,Debt Repayment,-5400000,-37000000,-69200000,-50900000,-102600000,-345100000,-121100000,-179306000,-552866000,-207193000,-261092000,-436689000,-187296000,-287048000,-511440000,-49273000,-307433000,-61072000,-283904000,-106990000,-391823000,-165357000,-405946000,-186910000,-448603000,-19850000,-14236000,-614648000,-33739000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,197255000,26467000,118235000,251916000,202352000,220252000,76856000,66942000,450503000,248554000,611000,295946000,142000000,331119000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-282000,-8000,- -,-86000,-68000,-454000,-10074000,-1367000,-1756000,-1686000,-4532000,-5097000,-1436000,-3803000
93,Dividends Paid,-3400000,-19400000,-23700000,-25200000,-35800000,-42900000,-92300000,-96234000,-100663000,-105894000,-104291000,-115700000,-125342000,-126205000,-101137000,-81301000,-91385000,-75821000,-89270000,-96356000,-111571000,-116371000,-120266000,-131759000,-142327000,-150266000,-155358000,-162557000,-175456000
94,Other Financing Activites,133300000,165800000,120700000,102200000,169500000,462600000,130200000,156942000,543593000,145361000,343609000,724027000,251197000,352626000,294871000,191485000,368619000,395723000,202397000,-43000,372640000,190012000,366627000,6879000,375452000,72875000,76411000,736364000,209595000
95,Cash Used/Provided by Financing Activities,124500000,109400000,27800000,26100000,31100000,74600000,-83200000,-118598000,-109936000,-167726000,-21774000,171638000,-61441000,-60627000,-317706000,257884000,-3740000,377065000,81053000,-1105000,89044000,-24934000,-94010000,136957000,31390000,-101162000,197666000,99723000,327716000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,124500000,109400000,27800000,26100000,31100000,74600000,-9300000,-1608000,1142000,-2528000,3438000,-2234000,4354000,-5087000,6569000,-4381000,1713000,107470000,-108583000,2038000,1895000,-5152000,583000,50405000,-48292000,2166000,-7724000,14646000,-2128000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,3400000,1788000,2930000,402000,3840000,2683000,7037000,1950000,8519000,4138000,5851000,113321000,4738000,6776000,8671000,3519000,4102000,54507000,6215000,8381000,657000,15303000,13175000
99,Cash at the Beginning of Period,- -,100000,500000,9100000,1400000,5300000,12700000,3396000,1788000,2930000,402000,4917000,2683000,7037000,1950000,8519000,4138000,5851000,113321000,4738000,6776000,8671000,3519000,4102000,54507000,6215000,8381000,657000,15303000
100,Free Cash Flow,6400000,21300000,26700000,29600000,40400000,23500000,83000000,121037000,91342000,109026000,97028000,126238000,14266000,-17259000,-39879000,-277092000,-67306000,-288199000,-125074000,116397000,48013000,54700000,111606000,79839000,99153000,137548000,148468000,376126000,131940000
