,https://roic.ai/company/DXLG,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
10,Operating Expenses,7300000,11800000,15500000,22200000,28500000,33700000,42700000,65600000,59800000,73500000,76300000,84500000,72600000,56500000,43000000,33800000,91400000,145270000,142400000,164600000,185000000,195400000,266579000,166600000,161600000,187600000,169800000,189900000,198816000,208929000,203904000,228398000,221408000,208595000,150539000,172962000
11,COGS and Expenses,24800000,37200000,54100000,78900000,113900000,140200000,181600000,231300000,238400000,285500000,279700000,311900000,232000000,201300000,166800000,135700000,234300000,413602000,357000000,403800000,438800000,453600000,521171000,387200000,373800000,400300000,383700000,400000000,422822000,447311000,449306000,486017000,483875000,478432000,364620000,428159000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,500000,- -,1100000,-1200000,-1800000,-1900000,-9300000,- -,8064000,8553000,5466000,4314000,2961000,1000,689000,-600000,-600000,-1000000,2132000,-3058000,-3067000,-3357000,-3462000,-3297000,3917000,-4350000
14,Depreciation and Amortization,900000,2200000,3200000,4200000,4700000,4700000,5000000,5900000,6900000,8800000,10400000,11200000,9700000,6503000,5373000,5398000,10436000,9070000,9858000,12737000,13619000,15942000,17100000,15501000,13245000,12551000,15469000,20841000,24002000,28359000,30621000,31073000,28653000,24563000,21477000,- -
15,EBITDA,2800000,5300000,5600000,1600000,8400000,12900000,25600000,15500000,35300000,26300000,21300000,-35400000,-18400000,-4997000,8173000,3698000,-29664000,-2991000,19422000,29390000,40585000,23428000,-60250000,21603000,30054000,4573000,26213000,5702000,14082000,17153000,25464000,6318000,11610000,13575000,-39038000,53280000
16,EBITDA ratio,0.0982,0.1312,0.0971,0.0203,0.0695,0.0855,0.1253,0.0643,0.1328,0.0873,0.0735,-0.1332,-0.0913,-0.0260,0.0475,0.0277,-0.1198,-0.0070,0.0532,0.0697,0.0872,0.0505,-0.1356,0.0547,0.0767,0.0116,0.0659,0.0148,0.0340,0.0388,0.0566,0.0135,0.0245,0.0286,-0.1224,0.1055
17,Operating Income,3700000,3200000,3600000,-200000,6900000,10600000,22700000,9600000,27500000,13300000,9900000,-46200000,-30400000,-9072000,7298000,2080000,-13429000,15922000,8028000,17553000,25394000,10510000,-76987000,8011000,16249000,-6607000,13924000,-13079000,-8802000,-5090000,977000,-18041000,-10119000,-4394000,-60515000,61980000
18,Operating Income ratio,0.1298,0.0792,0.0624,-0.0025,0.0571,0.0703,0.1111,0.0399,0.1034,0.0442,0.0342,-0.1739,-0.1508,-0.0472,0.0424,0.0156,-0.0542,0.0371,0.0220,0.0417,0.0546,0.0226,-0.1733,0.0203,0.0415,-0.0167,0.0350,-0.0338,-0.0213,-0.0115,0.0022,-0.0386,-0.0214,-0.0093,-0.1897,0.1227
19,Total Other Income Expenses (Gains),-1800000,-100000,-1200000,-2400000,-3200000,-2400000,-2100000,-100000,900000,3200000,500000,-400000,1100000,-1228000,-3798000,-6480000,17429000,-13467000,-7028000,-9553000,-3194000,-3810000,-2429000,-411000,1851000,1307000,-724000,-1521000,-2132000,-3058000,-3067000,-3357000,-3462000,-3297000,-3917000,-4350000
20,Income Before Tax,1900000,3100000,2400000,-2600000,3700000,8200000,20600000,9500000,28400000,16500000,10400000,-46600000,-29300000,-10300000,3500000,-4400000,4000000,- -,1000000,8000000,22200000,6700000,-79416000,7600000,18100000,-5300000,13200000,-14600000,-10934000,-8148000,-2090000,-21398000,-13581000,-7691000,-64432000,57630000
21,Income Before Tax Ratio,0.0667,0.0767,0.0416,-0.0330,0.0306,0.0544,0.1008,0.0394,0.1068,0.0548,0.0359,-0.1754,-0.1453,-0.0536,0.0203,-0.0330,0.0162,- -,0.0027,0.0190,0.0477,0.0144,-0.1788,0.0192,0.0462,-0.0134,0.0332,-0.0378,-0.0264,-0.0184,-0.0046,-0.0457,-0.0287,-0.0162,-0.2020,0.1141
22,Income Tax expense (Gain),300000,1500000,1000000,-900000,1600000,3400000,8300000,3800000,11500000,6700000,4100000,-17500000,-10700000,2200000,1400000,8100000,8000000,- -,- -,-2700000,-21100000,2772000,28946000,1000,720000,-50078000,5244000,45661000,243000,260000,166000,-2572000,-50000,105000,106000,917000
23,Net Income,1600000,1600000,1400000,-1700000,2100000,4800000,12300000,5800000,16900000,9800000,6300000,-29100000,-18500000,-12500000,3200000,-7900000,-38800000,-12061000,1500000,10800000,42600000,400000,-109257000,6100000,15400000,42700000,6100000,-59800000,-12295000,-8408000,-2256000,-18826000,-13531000,-7796000,-64538000,56713000
24,Net Income ratio,0.0561,0.0396,0.0243,-0.0216,0.0174,0.0318,0.0602,0.0241,0.0636,0.0325,0.0218,-0.1095,-0.0918,-0.0650,0.0186,-0.0593,-0.1567,-0.0281,0.0041,0.0256,0.0915,0.0009,-0.2460,0.0154,0.0393,0.1079,0.0153,-0.1547,-0.0297,-0.0190,-0.0050,-0.0402,-0.0286,-0.0164,-0.2023,0.1123
25,EPS,0.18,0.15,0.13,-0.15,0.19,0.40,0.84,0.37,1.06,0.62,0.40,-1.86,-1.17,-0.78,0.20,-0.54,-1.54,-0.34,0.04,0.31,1.21,0.01,-2.64,0.14,0.33,0.90,0.13,-1.23,-0.25,-0.17,-0.05,-0.39,-0.28,-0.16,-1.26,0.89
26,EPS Diluted,0.18,0.15,0.13,-0.15,0.19,0.39,0.83,0.36,1.05,0.61,0.40,-1.86,-1.17,-0.78,0.20,-0.54,-1.54,-0.34,0.04,0.30,0.98,0.01,-2.64,0.14,0.32,0.89,0.13,-1.23,-0.25,-0.17,-0.05,-0.39,-0.28,-0.16,-1.26,0.83
27,Weighted Average Shares Outstanding,8888889,10666667,10769231,11333333,11052632,12000000,14642857,15675676,15943396,15806452,15750000,15649000,15811966,16088000,16015000,14486000,25117000,35702000,34511000,34306000,35276000,41707000,41412000,43552000,46946000,47424000,47947000,48473000,48740000,49089000,49544000,48888000,49163000,49992000,51317000,63401000
28,Weighted Average Shares Outstanding Diluted,8888889,10666667,10769231,11333333,11052632,12307692,14819277,16111111,16095238,16065574,15750000,15649000,15811966,16088000,16292000,14486000,25117000,35702000,36733000,35860000,46457000,43229000,41412000,43982000,47565000,48044000,48385000,48473000,48740000,49089000,49544000,48888000,49163000,49992000,51317000,68031000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/813298/000095013596001887/0000950135-96-001887-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/813298/000119312504062693/d10k.htm,https://www.sec.gov/Archives/edgar/data/813298/000119312505074046/d10k.htm,https://www.sec.gov/Archives/edgar/data/813298/000119312506070549/d10k.htm,https://www.sec.gov/Archives/edgar/data/813298/000119312507071351/0001193125-07-071351-index.html,https://www.sec.gov/Archives/edgar/data/813298/000119312508065891/d10k.htm,https://www.sec.gov/Archives/edgar/data/813298/000119312509060817/0001193125-09-060817-index.html,https://www.sec.gov/Archives/edgar/data/813298/000119312510061836/0001193125-10-061836-index.html,https://www.sec.gov/Archives/edgar/data/813298/000119312511071143/d10k.htm,https://www.sec.gov/Archives/edgar/data/813298/000119312512119329/0001193125-12-119329-index.html,https://www.sec.gov/Archives/edgar/data/813298/000119312513109386/0001193125-13-109386-index.html,https://www.sec.gov/Archives/edgar/data/813298/000119312514102442/d657704d10k.htm,https://www.sec.gov/Archives/edgar/data/813298/000156459015001969/dxlg-10k_20150131.htm,https://www.sec.gov/Archives/edgar/data/813298/000156459016015060/0001564590-16-015060-index.html,https://www.sec.gov/Archives/edgar/data/813298/000156459017004804/0001564590-17-004804-index.html,https://www.sec.gov/Archives/edgar/data/813298/000156459018006679/0001564590-18-006679-index.html,https://www.sec.gov/Archives/edgar/data/813298/000156459019009017/0001564590-19-009017-index.html,https://www.sec.gov/Archives/edgar/data/813298/000156459020011796/0001564590-20-011796-index.html,https://www.sec.gov/Archives/edgar/data/813298/000156459021014278/0001564590-21-014278-index.htm,https://www.sec.gov/Archives/edgar/data/813298/000095017022004055/0000950170-22-004055-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,13900000,3400000,1500000,200000,- -,- -,- -,4700000,4179000,5700000,5600000,5300000,5300000,4953000,4300000,4100000,10400000,8200000,4500000,4586000,5170000,5572000,5362000,4868000,4338000,18997000,15506000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,5900000,- -,- -,2400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,19900000,9300000,1500000,200000,2400000,- -,- -,4700000,4179000,5700000,5600000,5300000,5300000,4953000,4300000,4100000,10400000,8200000,4500000,4586000,5170000,5572000,5362000,4868000,4338000,18997000,15506000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,600000,100000,200000,100000,- -,500000,7000000,5556000,4200000,5000000,3800000,2800000,2026000,2500000,3600000,3600000,5000000,8300000,3619000,4721000,7114000,3046000,4420000,6219000,6416000,2110000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,58000000,80000000,55000000,57900000,57000000,57700000,57700000,103200000,98673000,79900000,91500000,114500000,117800000,98633000,90000000,92900000,104200000,104200000,105600000,115220000,125014000,117446000,103332000,106837000,102420000,85028000,81764000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,5800000,6400000,14800000,1100000,2900000,3900000,3600000,4000000,5275000,5000000,29900000,18100000,20400000,9097000,8400000,8900000,15200000,15700000,8000000,9190000,8254000,8817000,9927000,11535000,10883000,3689000,-2110000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,84200000,96300000,71400000,59400000,62400000,61600000,61800000,118900000,113683000,94800000,132000000,141700000,146300000,114709000,105200000,109500000,133400000,133100000,126400000,132615000,143159000,138949000,121667000,127660000,123860000,114130000,97270000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,36100000,39200000,35300000,17800000,16700000,18600000,20900000,64100000,68345000,74700000,51300000,59100000,62200000,52208000,41900000,39100000,45900000,65900000,102900000,120328000,124962000,124347000,111032000,92525000,264692000,190873000,172254000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50700000,- -,53300000,53900000,60600000,60700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2900000,3100000,2900000,2600000,- -,- -,- -,30700000,81306000,36000000,35800000,35500000,35200000,33360000,32800000,32300000,8700000,6300000,4400000,3308000,2669000,2228000,1821000,1150000,1150000,- -,1150000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2900000,3100000,2900000,2600000,- -,- -,- -,81400000,81306000,89300000,89700000,96100000,95900000,33360000,32800000,32300000,8700000,6300000,4400000,3308000,2669000,2228000,1821000,1150000,1150000,1150000,1150000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,6100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,1500000,- -,- -,- -,- -,196000,222000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3300000,3200000,6800000,19500000,16000000,14900000,8200000,2500000,9408000,9000000,10800000,23500000,21000000,954000,300000,200000,45700000,40600000,3700000,4849000,3361000,3582000,5885000,4741000,1215000,602000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,48400000,45500000,45000000,39900000,32700000,33500000,29100000,148000000,159059000,173000000,151800000,178700000,179100000,86522000,75800000,73100000,100300000,112800000,111000000,128485000,131188000,130379000,118738000,98416000,267057000,192625000,173404000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,356092000
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,132600000,141800000,116400000,99300000,95100000,95100000,90900000,266900000,272742000,267800000,283800000,320400000,325400000,201231000,181000000,182600000,233700000,245900000,237400000,261100000,274347000,269328000,240405000,226076000,390917000,306755000,279958000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,8200000,12200000,8800000,9100000,7400000,6900000,7700000,33900000,32125000,27100000,28200000,35400000,34200000,23956000,19800000,17600000,24700000,25500000,32900000,29979000,30684000,31258000,33987000,34418000,31763000,27091000,25165000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9800000,- -,22200000,24300000,27800000,2940000,7333000,25673000,46450000,9217000,45852000,43592000,8349000,- -,- -,- -,13590000,26891000,49139000,51038000,48777000,41908000,80477000,103119000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1485000,242000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6897000,8885000,1465000,769000,1538000,6435000,6625000,- -,1465000,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,11400000,11800000,10700000,26300000,13200000,14000000,13000000,86060000,25829000,19827000,24050000,23386000,16363000,25649000,30682000,27062000,23765000,18475000,29710000,31972000,35243000,33403000,27050000,31605000,18123000,24825000,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,19600000,24000000,29300000,35400000,42800000,45200000,48500000,122900000,65287000,72600000,98700000,74900000,105300000,94662000,59600000,46200000,54900000,50600000,76200000,90307000,115066000,115699000,109814000,107931000,130363000,155035000,25165000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -,- -,- -,- -,- -,- -,51000000,122374000,117800000,95400000,- -,12500000,7576000,2700000,- -,- -,- -,12100000,26651000,19003000,12061000,10669000,14757000,14813000,150688000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23447000,- -,- -,- -,- -,- -,14654000,- -,- -,- -,31839000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6435000,6625000,17500000,91000,196000,222000,6100000,4100000,57200000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,6500000,6700000,- -,- -,- -,- -,- -,2000000,436000,400000,600000,27500000,25600000,3715000,25500000,25100000,18065000,27475000,26600000,37007000,51678000,52826000,43836000,8809000,130118000,5109000,30823000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000000,6700000,- -,- -,- -,- -,- -,53000000,122810000,118200000,96000000,27500000,38100000,34738000,28200000,25100000,24500000,34100000,56200000,78403000,70877000,65109000,60605000,59505000,202131000,155797000,30823000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131939000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,223227000,179417000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,26600000,30700000,29300000,35400000,42800000,45200000,48500000,175900000,188097000,190800000,194700000,102400000,143400000,129400000,87800000,71300000,79400000,84700000,132400000,168710000,185943000,180808000,170419000,167436000,332494000,310832000,126281000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,200000,- -,200000,200000,200000,200000,400000,392000,400000,400000,500000,500000,523000,600000,600000,600000,600000,600000,616000,617000,616000,615000,622000,633000,647000,770000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,53200000,59400000,30400000,11900000,-600000,2600000,-5300000,-44100000,-56165000,-54600000,-43900000,-1200000,-800000,-110092000,-104000000,-88600000,-45900000,-39800000,-99600000,-111903000,-120311000,-122567000,-139285000,-153534000,-156054000,-220592000,-163879000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26300000,-32800000,-34800000,-200000,-26900000,-30700000,-34300000,-3197000,-22511000,-120000,-173000,-978000,-1124000,-5803000,-3765000,-4036000,-5716000,-5561000,-4560000,-8238000,-6652000,-6018000,-6243000,-6183000,-6431000,-6221000,-5525000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,79000000,84200000,91500000,52100000,79600000,77700000,81800000,137964000,159125000,131284000,132830000,219724000,183365000,187203000,200388000,203368000,205374000,205973000,208531000,211915000,214750000,216489000,214899000,217735000,220275000,222089000,226853000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,106100000,111000000,87100000,64000000,52300000,49800000,42400000,91067000,80841000,76964000,89157000,218046000,181941000,71831000,93223000,111332000,154358000,161212000,104971000,92390000,88404000,88520000,69986000,58640000,58423000,-4077000,58219000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,132700000,141700000,116400000,99400000,95100000,95000000,90900000,266967000,268938000,267764000,283857000,320446000,325341000,201231000,181023000,182632000,233758000,245912000,237371000,261100000,274347000,269328000,240405000,226076000,390917000,306755000,184500000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,100000,- -,-100000,- -,100000,- -,-67000,3804000,36000,-57000,-46000,59000,- -,-23000,-32000,-58000,-12000,29000,- -,- -,- -,- -,- -,- -,- -,95458000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,132600000,141800000,116400000,99300000,95100000,95100000,90900000,266900000,272742000,267800000,283800000,320400000,325400000,201231000,181000000,182600000,233700000,245900000,237400000,261100000,274347000,269328000,240405000,226076000,390917000,306755000,279958000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/813298/000095013596001887/0000950135-96-001887-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/813298/000119312504062693/d10k.htm,https://www.sec.gov/Archives/edgar/data/813298/000119312505074046/d10k.htm,https://www.sec.gov/Archives/edgar/data/813298/000119312506070549/d10k.htm,https://www.sec.gov/Archives/edgar/data/813298/000119312507071351/0001193125-07-071351-index.html,https://www.sec.gov/Archives/edgar/data/813298/000119312508065891/d10k.htm,https://www.sec.gov/Archives/edgar/data/813298/000119312509060817/0001193125-09-060817-index.html,https://www.sec.gov/Archives/edgar/data/813298/000119312510061836/0001193125-10-061836-index.html,https://www.sec.gov/Archives/edgar/data/813298/000119312511071143/d10k.htm,https://www.sec.gov/Archives/edgar/data/813298/000119312512119329/0001193125-12-119329-index.html,https://www.sec.gov/Archives/edgar/data/813298/000119312513109386/0001193125-13-109386-index.html,https://www.sec.gov/Archives/edgar/data/813298/000119312514102442/d657704d10k.htm,https://www.sec.gov/Archives/edgar/data/813298/000156459015001969/dxlg-10k_20150131.htm,https://www.sec.gov/Archives/edgar/data/813298/000156459016015060/0001564590-16-015060-index.html,https://www.sec.gov/Archives/edgar/data/813298/000156459017004804/0001564590-17-004804-index.html,https://www.sec.gov/Archives/edgar/data/813298/000156459018006679/0001564590-18-006679-index.html,https://www.sec.gov/Archives/edgar/data/813298/000156459019009017/0001564590-19-009017-index.html,https://www.sec.gov/Archives/edgar/data/813298/000156459020011796/0001564590-20-011796-index.html,https://www.sec.gov/Archives/edgar/data/813298/000156459021014278/0001564590-21-014278-index.htm,https://www.sec.gov/Archives/edgar/data/813298/000095017022004055/0000950170-22-004055-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-1700000,2100000,4800000,12300000,5800000,16900000,9800000,6300000,-29100000,-18500000,-12500000,3200000,-7900000,-38800000,-12061000,1500000,10800000,42600000,400000,-109257000,6100000,15400000,42700000,6100000,-59800000,-12295000,-8408000,-2256000,-18826000,-13531000,-7796000,-64538000,56713000
74,Depreciation and Amortization,- -,- -,- -,4200000,4700000,4700000,5000000,5900000,6900000,8800000,10400000,11200000,9700000,6503000,5373000,5398000,10436000,9070000,9858000,12737000,13619000,15942000,17100000,15501000,13245000,12551000,15469000,20841000,24002000,28359000,30621000,31073000,28653000,24563000,21477000,- -
75,Deferred Income Tax,- -,- -,- -,200000,-600000,400000,-1200000,-6400000,4300000,-600000,-300000,-5000000,-10200000,-4323000,2023000,7134000,7978000,- -,- -,-3071000,-23963000,1855000,28617000,769000,769000,-51908000,5057000,45313000,91000,105000,26000,-2363000,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3833000,547000,2245000,1292000,418000,1893000,2996000,2195000,1256000,1636000,2004000,2491000,1828000,- -
77,Change in Working Capital,- -,- -,- -,-3800000,- -,- -,- -,- -,- -,64600000,7700000,-30200000,-18100000,-4400000,-3200000,-3100000,-17300000,52396000,-26196000,11100000,33500000,-25800000,-20953000,25553000,17700000,15200000,4000000,-32300000,-7892000,-14215000,-4843000,-11397000,7876000,-26232000,-34402000,113010000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,254000,-1103000,-1521000,-267000,-1653000,-3340000,4728000,-1102000,-2393000,4068000,-1374000,-1174000,-197000,- -
79,Inventory,- -,- -,- -,-7800000,-2900000,-6000000,-13900000,-4100000,-8400000,-2300000,-22000000,12600000,-700000,-6944000,-653000,-59000,9101000,6369000,13271000,-11688000,-22620000,-4405000,19154000,8656000,-2912000,-11278000,-44000,-1345000,-9664000,-9794000,7568000,14114000,-3505000,4417000,17392000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10231000,-4203000,-2201000,7105000,807000,7481000,-2966000,705000,574000,2729000,431000,-2655000,-4672000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,64600000,72300000,42100000,24000000,19600000,16400000,13300000,-4000000,48396000,22200000,33300000,66800000,41000000,20047000,45600000,63300000,78500000,82500000,50200000,42308000,28093000,23250000,11853000,19729000,-6503000,-40905000,72105000
82,Other Non-Cash Items,- -,- -,- -,300000,600000,-3200000,-10100000,8000000,-7300000,-71800000,-26200000,46100000,38900000,15583000,1629000,-969000,58250000,-37441000,28271000,-14734000,-53669000,19341000,103857000,-17696000,-30337000,3591000,-1149000,48951000,6903000,10354000,10156000,30836000,-9261000,22777000,74407000,-169723000
83,Cash Provided by Operating Activities,- -,- -,- -,-800000,6800000,6700000,6000000,13300000,20800000,10800000,-2100000,-7000000,1800000,863000,9025000,563000,20564000,11964000,13433000,16832000,12087000,11738000,23197000,30774000,19022000,23426000,29895000,24898000,13805000,18390000,34960000,30959000,15741000,15803000,-1228000,- -
