,https://roic.ai/company/PG,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-130000000,-190000000,-166000000,-100000000,119000000,-15000000,18000000,-107000000,-234000000,-179000000,-146000000,-239000000,-347000000,-415000000,-418000000,-120000000,-295000000,-323000000,-477000000,-488000000,-836000000,-740000000,-1005000000,-798000000,-974000000,-629000000,-507000000,362000000,-403000000,56000000,-72000000,-698000000,-385000000,582000000,128000000,-371000000
20,Income Before Tax,1175000000,617000000,1630000000,1939000000,2421000000,2687000000,2885000000,349000000,3346000000,4000000000,4669000000,5249000000,5708000000,5838000000,5536000000,4616000000,6383000000,7530000000,9350000000,10439000000,12413000000,14710000000,16078000000,15325000000,15047000000,15189000000,12785000000,14843000000,14885000000,11846000000,13369000000,13257000000,13326000000,6069000000,15834000000,17615000000
21,Income Before Tax Ratio,0.0761,0.0363,0.0843,0.0906,0.1005,0.0994,0.0983,0.0115,0.1104,0.1196,0.1323,0.1468,0.1536,0.1531,0.1386,0.1176,0.1586,0.1736,0.1819,0.1840,0.1820,0.1923,0.1925,0.1939,0.1906,0.1840,0.1528,0.1764,0.1792,0.1553,0.2047,0.2038,0.1994,0.0897,0.2232,0.2314
22,Income Tax expense (Gain),466000000,290000000,610000000,733000000,819000000,914000000,1013000000,80000000,1135000000,1355000000,1623000000,1834000000,1928000000,2075000000,1994000000,1694000000,2031000000,2344000000,2869000000,3182000000,3729000000,4370000000,4003000000,4032000000,4101000000,3392000000,3468000000,3441000000,3178000000,2916000000,3342000000,3063000000,3465000000,2103000000,2731000000,3263000000
23,Net Income,709000000,327000000,1020000000,1206000000,1602000000,1773000000,1872000000,-656000000,2211000000,2645000000,3046000000,3415000000,3780000000,3763000000,3542000000,2922000000,4352000000,5186000000,6481000000,7257000000,8684000000,10340000000,12075000000,13436000000,12736000000,11797000000,10756000000,11312000000,11643000000,7036000000,10508000000,15326000000,9750000000,3897000000,13027000000,14306000000
24,Net Income ratio,0.0459,0.0192,0.0528,0.0564,0.0665,0.0656,0.0638,-0.0216,0.0730,0.0791,0.0863,0.0955,0.1017,0.0987,0.0887,0.0745,0.1082,0.1196,0.1261,0.1279,0.1273,0.1352,0.1446,0.1700,0.1613,0.1429,0.1285,0.1344,0.1402,0.0922,0.1609,0.2356,0.1459,0.0576,0.1836,0.1879
25,EPS,0.27,0.12,0.38,0.45,0.56,0.61,0.66,-0.28,0.77,0.93,1.07,1.22,1.37,1.38,1.30,1.07,1.63,1.95,2.46,2.83,2.79,3.22,3.86,4.49,4.32,4.12,3.82,4.04,4.19,2.50,3.80,5.80,3.75,1.45,5.13,5.69
26,EPS Diluted,0.27,0.12,0.38,0.43,0.54,0.58,0.61,-0.28,0.73,0.87,1.00,1.14,1.28,1.29,1.24,1.03,1.54,1.84,2.32,2.66,2.64,3.04,3.64,4.26,4.11,3.93,3.66,3.86,4.01,2.44,3.69,5.59,3.67,1.43,4.96,5.50
27,Weighted Average Shares Outstanding,2656603774,2633333333,2720000000,2674157303,2752212389,2756097561,2714503817,2756363636,2732400000,2744000000,2745200000,2720600000,2683211679,2657454545,2626400000,2600600000,2594800000,2593200000,2580100000,2515600000,3054900000,3159000000,3080800000,2992427617,2948148148,2804000000,2815706806,2800000000,2778758950,2814400000,2765263158,2642413793,2529300000,2687586207,2539376218,2514235501
28,Weighted Average Shares Outstanding Diluted,2656603774,2633333333,2720000000,2735632184,2906542056,2922413793,2891056911,2756363636,2898969072,2922988506,2928358209,2904385965,2871875000,2821621622,2854400000,2811200000,2809800000,2802600000,2790100000,2726200000,3285900000,3398600000,3316800000,3153990610,3099300000,3001900000,2941200000,2930600000,2904700000,2883600000,2844400000,2740400000,2656700000,2687586207,2625800000,2601000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/80424/000008042494000021/0000080424-94-000021-index.html,https://www.sec.gov/Archives/edgar/data/80424/000008042495000027/0000080424-95-000027-index.html,https://www.sec.gov/Archives/edgar/data/80424/000008042496000017/0000080424-96-000017-index.html,https://www.sec.gov/Archives/edgar/data/80424/000008042497000062/0000080424-97-000062-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/80424/000008042400000040/0000080424-00-000040-index.html,https://www.sec.gov/Archives/edgar/data/80424/000095015201504449/0000950152-01-504449-index.html,https://www.sec.gov/Archives/edgar/data/80424/000095015202006968/0000950152-02-006968-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/80424/000095015207007152/0000950152-07-007152-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000095015208006832/0000950152-08-006832-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000119312509175986/0001193125-09-175986-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000119312510188769/0001193125-10-188769-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042411000014/0000080424-11-000014-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042412000063/0000080424-12-000063-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042413000063/0000080424-13-000063-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042414000057/0000080424-14-000057-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042415000070/0000080424-15-000070-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042416000212/0000080424-16-000212-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042417000047/0000080424-17-000047-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042418000055/0000080424-18-000055-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042419000050/0000080424-19-000050-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042420000053/0000080424-20-000053-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042421000100/0000080424-21-000100-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,2373000000,2028000000,2074000000,2350000000,1549000000,2294000000,1415000000,2306000000,3427000000,5912000000,5469000000,6389000000,6693000000,5354000000,3313000000,4781000000,2879000000,2768000000,4436000000,5947000000,8558000000,6845000000,7102000000,5569000000,2569000000,4239000000,16181000000,10288000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,150000000,446000000,760000000,857000000,506000000,185000000,212000000,196000000,300000000,423000000,1744000000,1133000000,202000000,228000000,- -,- -,- -,- -,- -,2128000000,4767000000,6246000000,9568000000,9281000000,6048000000,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,2373000000,2178000000,2520000000,3110000000,2406000000,2800000000,1600000000,2518000000,3623000000,6212000000,5892000000,8133000000,7826000000,5556000000,3541000000,4781000000,2879000000,2768000000,4436000000,5947000000,10686000000,11612000000,13348000000,15137000000,11850000000,10287000000,16181000000,10288000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,3115000000,3562000000,2841000000,2738000000,2781000000,2940000000,2910000000,2931000000,3090000000,3038000000,4062000000,4185000000,5725000000,6629000000,6761000000,5836000000,5335000000,6275000000,6068000000,6508000000,6386000000,4861000000,4373000000,4594000000,4686000000,4951000000,4178000000,4725000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,2877000000,3453000000,3130000000,3087000000,3284000000,3338000000,3490000000,3384000000,3456000000,3640000000,4400000000,5006000000,6291000000,6819000000,8416000000,6880000000,6384000000,7379000000,6721000000,6909000000,6759000000,5454000000,4716000000,4624000000,4738000000,5017000000,5498000000,5983000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,1623000000,1649000000,2316000000,1851000000,2106000000,2280000000,2069000000,2056000000,1997000000,2330000000,2761000000,3005000000,4487000000,5027000000,5797000000,4408000000,4184000000,5548000000,4685000000,4626000000,7786000000,7719000000,11345000000,2139000000,2046000000,2218000000,2130000000,2095000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,9988000000,10842000000,10807000000,10786000000,10577000000,11358000000,10069000000,10889000000,12166000000,15220000000,17115000000,20329000000,24329000000,24031000000,24515000000,21905000000,18782000000,21970000000,21910000000,23990000000,31617000000,29646000000,33782000000,26494000000,23320000000,22473000000,27987000000,23091000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,10024000000,11026000000,11118000000,11376000000,12180000000,12626000000,13692000000,13095000000,13349000000,13104000000,14108000000,14332000000,18770000000,19540000000,20640000000,19462000000,19244000000,21293000000,20377000000,21666000000,22304000000,20268000000,19385000000,19893000000,20600000000,21271000000,20692000000,21686000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55306000000,56552000000,59767000000,56512000000,54012000000,57562000000,53773000000,55188000000,53704000000,47316000000,44350000000,44699000000,45175000000,40273000000,39901000000,40924000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,3754000000,4572000000,4281000000,3949000000,7011000000,6822000000,8786000000,8300000000,13430000000,13507000000,23900000000,24163000000,33721000000,33626000000,34233000000,32606000000,31636000000,32620000000,30988000000,31572000000,30843000000,26829000000,24527000000,24187000000,23902000000,24215000000,23792000000,23642000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,3754000000,4572000000,4281000000,3949000000,7011000000,6822000000,8786000000,8300000000,13430000000,13507000000,23900000000,24163000000,89027000000,90178000000,94000000000,89118000000,85648000000,90182000000,84761000000,86760000000,84547000000,74145000000,68877000000,68886000000,69077000000,64488000000,63693000000,64566000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,1769000000,1685000000,1524000000,1433000000,1198000000,1307000000,1647000000,2103000000,1831000000,1875000000,1925000000,2703000000,3569000000,4265000000,4837000000,4348000000,4498000000,4909000000,5196000000,6847000000,5798000000,5436000000,5092000000,5133000000,5313000000,6863000000,8328000000,9964000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,15547000000,17283000000,16923000000,16758000000,20389000000,20755000000,24125000000,23498000000,28610000000,28486000000,39933000000,41198000000,111366000000,113983000000,119477000000,112928000000,109390000000,116384000000,110334000000,115273000000,112649000000,99849000000,93354000000,93912000000,94990000000,92622000000,92713000000,96216000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,25535000000,28125000000,27730000000,27544000000,30966000000,32113000000,34194000000,34387000000,40776000000,43706000000,57048000000,61527000000,135695000000,138014000000,143992000000,134833000000,128172000000,138354000000,132244000000,139263000000,144266000000,129495000000,127136000000,120406000000,118310000000,115095000000,120700000000,119307000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,3264000000,3616000000,2366000000,2203000000,2051000000,2300000000,2209000000,2075000000,2205000000,2795000000,3617000000,3802000000,4910000000,5710000000,6775000000,5980000000,7251000000,8022000000,7920000000,8777000000,8461000000,8257000000,9325000000,9632000000,10344000000,11260000000,12071000000,13720000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,1375000000,970000000,1116000000,849000000,2281000000,3150000000,3210000000,2233000000,3731000000,2172000000,8287000000,11441000000,2128000000,12039000000,13084000000,16320000000,8472000000,9981000000,8682000000,12427000000,15587000000,12001000000,11637000000,13541000000,10401000000,9688000000,11183000000,8889000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,693000000,637000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,3401000000,4062000000,4343000000,4746000000,4918000000,5311000000,4646000000,5538000000,6768000000,7391000000,10243000000,9796000000,12947000000,12968000000,11099000000,8601000000,8559000000,9290000000,8305000000,8833000000,9678000000,9532000000,9808000000,7037000000,7492000000,9063000000,9722000000,10523000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,8040000000,8648000000,7825000000,7798000000,9250000000,10761000000,10065000000,9846000000,12704000000,12358000000,22147000000,25039000000,19985000000,30717000000,30958000000,30901000000,24282000000,27293000000,24907000000,30037000000,33726000000,29790000000,30770000000,30210000000,28237000000,30011000000,32976000000,33132000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,4980000000,5161000000,4670000000,4143000000,5765000000,6231000000,8916000000,9792000000,11201000000,11475000000,12554000000,12887000000,35976000000,23375000000,23581000000,20652000000,21360000000,22033000000,21051000000,19085000000,19747000000,18297000000,18916000000,18000000000,20778000000,20371000000,24189000000,23730000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,347000000,531000000,638000000,559000000,428000000,362000000,625000000,894000000,1077000000,1396000000,2261000000,2894000000,12354000000,12015000000,11805000000,10752000000,10902000000,11070000000,10132000000,10827000000,10218000000,9531000000,9113000000,8126000000,6163000000,6899000000,6199000000,6153000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,3336000000,3196000000,2875000000,2998000000,3287000000,2701000000,2301000000,1845000000,2088000000,2291000000,2808000000,3230000000,4472000000,5147000000,8154000000,9429000000,10189000000,9957000000,12119000000,10605000000,10599000000,8827000000,10354000000,8292000000,10249000000,10235000000,10458000000,9638000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,8663000000,8888000000,8183000000,7700000000,9480000000,9294000000,11842000000,12531000000,14366000000,15162000000,17623000000,19011000000,52802000000,40537000000,43540000000,40833000000,42451000000,43060000000,43302000000,40517000000,40564000000,36655000000,38383000000,34418000000,37190000000,37505000000,40846000000,39521000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45000000,31000000,83000000,52000000,45000000,51000000,107000000,33000000,652000000,631000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,16703000000,17536000000,16008000000,15498000000,18730000000,20055000000,21907000000,22377000000,27070000000,27520000000,39770000000,44050000000,72787000000,71254000000,74498000000,71734000000,66733000000,70353000000,68209000000,70554000000,74290000000,66445000000,69153000000,64628000000,65427000000,67516000000,73822000000,72653000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1580000000,1526000000,1483000000,1451000000,1406000000,1366000000,1324000000,1277000000,1234000000,1195000000,1137000000,1111000000,1077000000,1038000000,1006000000,967000000,928000000,897000000,870000000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,687000000,686000000,1351000000,1337000000,1320000000,1306000000,1296000000,1301000000,1297000000,2544000000,2473000000,3976000000,- -,4002000000,4007000000,4008000000,4008000000,4008000000,4009000000,4009000000,4009000000,4009000000,4009000000,4009000000,4009000000,4009000000,4009000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,7496000000,8965000000,10382000000,10730000000,11144000000,10778000000,10710000000,10451000000,11980000000,13692000000,13611000000,13204000000,35666000000,41797000000,48986000000,57309000000,64614000000,70682000000,75349000000,80197000000,84990000000,84807000000,87953000000,96124000000,98641000000,94918000000,100239000000,106374000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-5872000000,-6713000000,-6994000000,-7249000000,-7972000000,-8774000000,-9529000000,-9726000000,-9721000000,-10438000000,-11196000000,-1566000000,-518000000,617000000,3746000000,-3358000000,-7822000000,-2054000000,-9333000000,-7499000000,-7662000000,-12780000000,-15907000000,-14632000000,-14749000000,-14936000000,-17245000000,-14750000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,7208000000,7650000000,7648000000,7214000000,7727000000,8734000000,9800000000,9989000000,10146000000,10055000000,10793000000,1883000000,22333000000,24346000000,11394000000,3817000000,-962000000,-6230000000,-7780000000,-9780000000,-13234000000,-14694000000,-19752000000,-31323000000,-36575000000,-37725000000,-41379000000,-50125000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,8832000000,10589000000,11722000000,12046000000,12236000000,12058000000,12287000000,12010000000,13706000000,16186000000,17278000000,17477000000,62908000000,66760000000,69494000000,63099000000,61115000000,67640000000,63439000000,68064000000,69214000000,62419000000,57341000000,55184000000,52293000000,47194000000,46521000000,46378000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,25535000000,28125000000,27730000000,27544000000,30966000000,32113000000,34194000000,34387000000,40776000000,43706000000,57048000000,61527000000,135695000000,138014000000,143992000000,134833000000,127848000000,137993000000,131648000000,138618000000,143504000000,128864000000,126494000000,119812000000,117720000000,114710000000,120343000000,119031000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,324000000,361000000,596000000,645000000,762000000,631000000,642000000,594000000,590000000,385000000,357000000,276000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,25535000000,28125000000,27730000000,27544000000,30966000000,32113000000,34194000000,34387000000,40776000000,43706000000,57048000000,61527000000,135695000000,138014000000,143992000000,134833000000,128172000000,138354000000,132244000000,139263000000,144266000000,129495000000,127136000000,120406000000,118310000000,115095000000,120700000000,119307000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/80424/000008042494000021/0000080424-94-000021-index.html,https://www.sec.gov/Archives/edgar/data/80424/000008042495000027/0000080424-95-000027-index.html,https://www.sec.gov/Archives/edgar/data/80424/000008042496000017/0000080424-96-000017-index.html,https://www.sec.gov/Archives/edgar/data/80424/000008042497000062/0000080424-97-000062-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/80424/000008042400000040/0000080424-00-000040-index.html,https://www.sec.gov/Archives/edgar/data/80424/000095015201504449/0000950152-01-504449-index.html,https://www.sec.gov/Archives/edgar/data/80424/000095015202006968/0000950152-02-006968-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/80424/000095015207007152/0000950152-07-007152-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000095015208006832/0000950152-08-006832-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000119312509175986/0001193125-09-175986-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000119312510188769/0001193125-10-188769-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042411000014/0000080424-11-000014-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042412000063/0000080424-12-000063-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042413000063/0000080424-13-000063-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042414000057/0000080424-14-000057-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042415000070/0000080424-15-000070-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042416000212/0000080424-16-000212-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042417000047/0000080424-17-000047-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042418000055/0000080424-18-000055-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042419000050/0000080424-19-000050-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042420000053/0000080424-20-000053-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042421000100/0000080424-21-000100-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
