,https://roic.ai/company/MNST,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,300000,400000,4200000,9200000,14100000,13400000,13300000,16300000,20800000,26300000,30500344,35273647,27950760,33948933,49580183,79100000,158015000,237027000,375203000,275007000,332426000,437886000,515033000,600015000,592305000,900118000,856662000,938903000,1011756000,1115646000,1090727000,1311046000
11,COGS and Expenses,- -,300000,400000,9300000,22600000,30000000,35200000,34700000,41200000,47900000,64800000,72832359,86728854,86753429,100526101,146454933,245443000,447195000,673479000,870189000,805990000,956128000,1246807000,1510079000,1673512000,1717362000,1990381000,1964055000,2170258000,2523564000,2797880000,2965485000,3743885000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12914,- -,- -,5579,- -,1428000,3660000,- -,9886000,- -,2246000,1619000,-2256000,-11737000,-1676000,-2105000,- -,2836000,9653000,13023000,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,382152,- -,- -,72592,- -,77000,- -,- -,- -,- -,758000,772000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,300000,600000,700000,700000,600000,600000,500000,600000,685735,943947,548452,646085,843459,1079000,1594000,2184000,3472000,5907000,11776000,17084000,20562000,22762000,25651000,30860000,40845000,48887000,56979000,64814000,60973000,50155000
15,EBITDA,- -,-200000,- -,600000,1300000,-700000,-600000,1000000,1900000,6200000,8100000,7598999,5976202,5613627,10477759,34781656,105951000,163833000,241940000,176949000,341602000,361836000,475126000,569716000,586656000,771439000,922408000,1120530000,1250510000,1350251000,1480776000,1687130000,1851574000
16,EBITDA ratio,- -,-2.0000,- -,0.0625,0.0549,-0.0243,-0.0176,0.0281,0.0441,0.1150,0.1120,0.0953,0.0648,0.0610,0.0949,0.1929,0.3037,0.2705,0.2675,0.1712,0.2988,0.2775,0.2790,0.2765,0.2612,0.3130,0.3388,0.3675,0.3712,0.3547,0.3525,0.3669,0.3341
17,Operating Income,- -,-200000,- -,300000,1100000,-1200000,-1200000,900000,1900000,6000000,7500000,6900350,5550857,5292933,9826095,33886202,103443000,158579000,230986000,163591000,337309000,347814000,456423000,550623000,572916000,747505000,893653000,1085338000,1198787000,1283619000,1402939000,1633153000,1797467000
18,Operating Income ratio,- -,-2.0000,- -,0.0313,0.0464,-0.0417,-0.0353,0.0253,0.0441,0.1113,0.1037,0.0865,0.0602,0.0575,0.0890,0.1879,0.2965,0.2618,0.2554,0.1582,0.2950,0.2667,0.2680,0.2672,0.2550,0.3033,0.3282,0.3559,0.3558,0.3372,0.3340,0.3551,0.3244
19,Total Other Income Expenses (Gains),- -,- -,- -,100000,-400000,100000,400000,300000,-100000,-300000,- -,-369238,-518602,-227758,-67013,51995,1352000,3660000,8770000,9886000,-1614000,1488000,847000,-1469000,-9022000,-1717000,-2105000,-5653000,2836000,9653000,13023000,-6996000,3952000
20,Income Before Tax,- -,- -,- -,- -,700000,- -,- -,- -,- -,5700000,7500000,6531112,5032255,5065175,9759082,33938197,104795000,162239000,239756000,173477000,335695000,349302000,457270000,549154000,563894000,745788000,891548000,1079685000,1201623000,1293272000,1415962000,1626157000,1801419000
21,Income Before Tax Ratio,- -,- -,- -,- -,0.0295,- -,- -,- -,- -,0.1058,0.1037,0.0819,0.0545,0.0550,0.0884,0.1882,0.3004,0.2678,0.2651,0.1678,0.2936,0.2679,0.2685,0.2665,0.2510,0.3026,0.3275,0.3541,0.3567,0.3397,0.3371,0.3536,0.3251
22,Income Tax expense (Gain),- -,- -,- -,- -,100000,- -,- -,- -,- -,2100000,3000000,2615986,2012902,2035980,3828678,13551393,42019000,64290000,90350000,65445000,126979000,137273000,171051000,209134000,225233000,262603000,344815000,367000000,380945000,300268000,308127000,216563000,423944000
23,Net Income,- -,-200000,- -,- -,600000,-1400000,-1300000,400000,1300000,3600000,4500000,3915126,3019353,3029195,5930404,20386804,62776000,97949000,149406000,108032000,208716000,212029000,286219000,340020000,338661000,483185000,546733000,712685000,820678000,993004000,1107835000,1409594000,1377475000
24,Net Income ratio,- -,-2.0000,- -,- -,0.0253,-0.0486,-0.0382,0.0112,0.0302,0.0668,0.0622,0.0491,0.0327,0.0329,0.0537,0.1130,0.1799,0.1617,0.1652,0.1045,0.1826,0.1626,0.1680,0.1650,0.1508,0.1960,0.2008,0.2337,0.2436,0.2608,0.2637,0.3065,0.2486
25,EPS,- -,-0.00,- -,- -,0.00,-0.00,-0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.12,0.18,0.27,0.20,0.39,0.40,0.54,0.65,0.68,0.96,0.97,1.21,1.45,1.78,2.04,2.66,2.60
26,EPS Diluted,- -,-0.00,- -,- -,0.00,-0.00,-0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.11,0.17,0.25,0.18,0.37,0.38,0.51,0.62,0.65,0.92,0.95,1.19,1.42,1.76,2.03,2.64,2.57
27,Weighted Average Shares Outstanding,- -,73846154,346176000,320000000,411428571,448000000,416000000,442457520,438030240,450561024,478309344,477971664,481754256,482519952,493378080,512010816,529343592,539616000,547068000,555090000,539802000,531084000,528636000,521136000,500037000,501771000,566448000,587874000,566782000,557166000,542191000,529639000,528997000
28,Weighted Average Shares Outstanding Diluted,- -,73846154,346176000,320000000,411428571,448000000,416000000,480000000,445854816,500674896,504508992,499473744,495115392,496300992,516583536,566877120,582533640,591516000,593244000,585180000,567858000,558126000,560022000,549249000,520161000,522855000,577758000,599819000,577141000,564254000,546608000,534807000,535915000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/865752/000110465907045794/0001104659-07-045794-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000086575208000013/0000865752-08-000013-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465909013530/0001104659-09-013530-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465910010880/0001104659-10-010880-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465911011438/0001104659-11-011438-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465912014573/0001104659-12-014573-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465913016713/0001104659-13-016713-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465914015320/0001104659-14-015320-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465915015731/0001104659-15-015731-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465916100960/0001104659-16-100960-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465917013048/0001104659-17-013048-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465918014057/0001104659-18-014057-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465919011581/0001104659-19-011581-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465920027209/0001104659-20-027209-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465921029943/0001104659-21-029943-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465922028182/0001104659-22-028182-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,200000,400000,3800000,2000000,130665,247657,537920,1098785,20976119,61654000,35129000,12440000,256801000,328349000,354842000,359331000,222514000,211349000,370323000,2175417000,377582000,528622000,637513000,797957000,1180413000,1326462000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11861000,101667000,- -,29145000,18487000,244649000,411282000,97042000,402247000,781134000,744610000,220554000,672933000,320650000,533063000,881354000,1749727000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,200000,400000,3800000,2000000,130665,247657,537920,1098785,20976119,73515000,136796000,12440000,285946000,346836000,599491000,770613000,319556000,613596000,1151457000,2920027000,598136000,1201555000,958163000,1331020000,2061767000,3076189000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,900000,1500000,1800000,3800000,6584486,4412422,5949402,5372983,12650055,28752000,54624000,81497000,135955000,108905000,101635000,218741000,236710000,296180000,280755000,477955000,573051000,449476000,484562000,540330000,666012000,896658000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,3100000,3900000,5200000,9900000,10907895,11956680,11643734,17643786,22406054,31400000,77013000,98140000,116326000,108143000,153241000,155613000,203106000,221449000,174573000,156121000,161971000,255745000,277705000,360731000,333085000,593357000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,400000,300000,300000,1300000,1705005,1923331,2772818,2562386,4347909,6619000,6724000,78072000,23097000,21620000,43786000,37710000,75696000,51818000,86644000,28499000,99112000,179601000,83740000,84228000,80091000,115906000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,4600000,6100000,11100000,17000000,19328051,18540090,20903874,26677940,60380137,140286000,275157000,270149000,561324000,585504000,898153000,1182677000,835068000,1183043000,1693429000,3582602000,1432270000,2086377000,1804170000,2316309000,3140955000,4682110000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,600000,400000,600000,500000,1863044,1945146,1862807,2803282,2964064,3743000,5565000,8567000,14389000,33314000,34551000,45151000,69137000,88143000,90156000,97354000,173343000,230276000,243051000,298640000,314656000,313753000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1279715000,1331643000,1331643000,1331643000,1331643000,1331643000,1331643000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,10500000,10200000,10000000,10800000,16887914,17350221,17360455,18293704,18351804,19103000,21202000,24066000,28365000,33512000,43316000,48396000,54648000,65774000,50748000,427986000,1032635000,1034085000,1045878000,1052105000,1059046000,1072386000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,10500000,10200000,10000000,10800000,16887914,17350221,17360455,18293704,18351804,19103000,21202000,24066000,28365000,33512000,43316000,48396000,54648000,65774000,50748000,1707701000,2364278000,2365728000,2377521000,2383748000,2390689000,2404029000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89567000,80836000,44189000,23194000,21393000,9792000,42940000,15348000,2394000,2366000,- -,12905000,44291000,99419000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5001000,14006000,65748000,65678000,58475000,58576000,59503000,63611000,54106000,261310000,159556000,92333000,85687000,84777000,241650000,225221000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,400000,200000,200000,400000,665731,725825,336369,222102,326312,758000,1447000,227815000,2444000,1226000,3447000,4405000,3576000,10146000,7496000,10874000,21630000,13932000,16462000,53973000,70475000,80252000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,11500000,10800000,10800000,11700000,19416689,20021192,19559631,21319088,21642180,23604000,33215000,274454000,200513000,214566000,183978000,179722000,208257000,237466000,245446000,2092587000,2721201000,2704635000,2722721000,2834043000,3061761000,3122674000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,16100000,16900000,21900000,28700000,38744740,38561282,40463505,47997028,82022317,163890000,308372000,544603000,761837000,800070000,1082131000,1362399000,1043325000,1420509000,1938875000,5675189000,4153471000,4791012000,4526891000,5150352000,6202716000,7804784000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,2100000,2300000,1900000,5900000,3681956,3919741,4732261,6521402,14542753,26614000,34362000,56766000,64787000,48863000,85674000,113446000,127330000,119376000,127641000,144763000,193270000,245910000,248760000,274045000,296800000,404263000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,4900000,500000,2100000,900000,234655,337872,230740,244271,437366,515000,299000,663000,959000,206000,274000,- -,- -,- -,- -,- -,- -,- -,- -,- -,274000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23433000,30399000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10140000,11583000,12695000,13832000,49926000,32271000,41672000,43236000,44045000,44237000,45429000,42530000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,300000,800000,2100000,1200000,1767338,1304737,991023,2716064,3761044,5828000,28182000,25452000,121588000,34660000,32746000,141061000,148520000,182806000,178149000,337155000,235647000,271205000,308340000,342815000,407485000,518283000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,7300000,3600000,6100000,8000000,5683949,5562350,5954024,9481737,18741163,32957000,62843000,82881000,187334000,83729000,128834000,266090000,288545000,316014000,355716000,514189000,470589000,560351000,601145000,661097000,749988000,965076000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,3400000,1300000,900000,9731956,5851105,3606040,358064,146486,10000,4000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138187000,131388000,124899000,117151000,110383000,112216000,68009000,351590000,353173000,334354000,312224000,287469000,264436000,243249000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,1200000,1274139,1814278,2532697,3107649,4563439,5414000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,20441000,39555000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1095000,2621000,30505000,27432000,29508000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,3300000,1900000,2100000,11006095,7665383,6138737,3465713,4709925,5424000,20445000,39555000,138187000,131388000,124899000,117151000,110383000,112216000,68009000,351590000,353173000,335449000,314845000,317974000,291868000,272757000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,7300000,6900000,8000000,10100000,16690044,13227733,12092761,12947450,23451088,38381000,83288000,122436000,325521000,215117000,253733000,383241000,398928000,428230000,423725000,865779000,823762000,895800000,915990000,979071000,1041856000,1237833000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,50744,51259,51299,53124,55599,113000,464000,479000,484000,486000,494000,994000,1019000,1030000,1035000,1035000,3116000,3146000,3155000,3182000,3193000,3200000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,-2100000,-900000,2800000,7200000,11150878,14170231,17199426,23129830,43516634,106293000,204242000,353647000,461680000,670396000,882425000,1168644000,1508664000,1847325000,2330510000,1394863000,2107548000,2928226000,3914645000,5022480000,6432074000,7809549000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-500000,-600000,-800000,-900000,-1077689,-1495239,-1917047,-2427281,-2345580,-2102000,-3011000,-4651000,-11000000,-5000000,-22297000,-2000000,2000000,-1000000,-11000000,-22000000,-23000000,-17000000,-33000000,-32000000,3034000,-69165000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,11400000,11500000,11900000,12200000,11930763,12607298,13037066,14293905,17344576,21205000,23389000,72692000,-14848000,-80929000,-32224000,-188480000,-867286000,-855076000,-805395000,3435512000,1242045000,980840000,-273899000,-822381000,-1277441000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,8800000,10000000,13900000,18600000,22054696,25333549,28370744,35049578,58571229,125509000,225084000,422167000,436316000,584953000,828398000,979158000,644397000,992279000,1515150000,4809410000,3329709000,3895212000,3610901000,4171281000,5160860000,6566951000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,16100000,16900000,21900000,28700000,38744740,38561282,40463505,47997028,82022317,163890000,308372000,544603000,761837000,800070000,1082131000,1362399000,1043325000,1420509000,1938875000,5675189000,4153471000,4791012000,4526891000,5150352000,6202716000,7804784000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,16100000,16900000,21900000,28700000,38744740,38561282,40463505,47997028,82022317,163890000,308372000,544603000,761837000,800070000,1082131000,1362399000,1043325000,1420509000,1938875000,5675189000,4153471000,4791012000,4526891000,5150352000,6202716000,7804784000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/865752/000110465907045794/0001104659-07-045794-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000086575208000013/0000865752-08-000013-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465909013530/0001104659-09-013530-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465910010880/0001104659-10-010880-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465911011438/0001104659-11-011438-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465912014573/0001104659-12-014573-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465913016713/0001104659-13-016713-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465914015320/0001104659-14-015320-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465915015731/0001104659-15-015731-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465916100960/0001104659-16-100960-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465917013048/0001104659-17-013048-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465918014057/0001104659-18-014057-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465919011581/0001104659-19-011581-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465920027209/0001104659-20-027209-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465921029943/0001104659-21-029943-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465922028182/0001104659-22-028182-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-200000,- -,- -,600000,-1400000,-1300000,400000,1300000,3600000,4500000,3915126,3019353,3029195,5930404,20386804,62776000,97949000,149406000,108032000,208716000,212029000,286219000,340020000,338661000,483185000,546733000,712685000,820678000,993004000,1107835000,1409594000,1377475000
74,Depreciation and Amortization,- -,- -,- -,300000,600000,700000,700000,600000,600000,500000,600000,685735,943947,548452,646085,843459,1079000,1594000,2184000,3472000,5907000,11776000,17084000,20562000,22762000,25651000,30860000,40845000,48887000,56979000,64814000,60973000,50155000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,-100000,-89386,472581,522462,-360524,-172543,-946000,-10863000,-14244000,-44594000,-6294000,-13735000,-4511000,-22116000,-37422000,-21770000,-617161000,-19092000,67935000,-510000,1263000,-156873000,16429000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13899000,14040000,16862000,19424000,28413000,28764000,28552000,32719000,45848000,52282000,57111000,63356000,70289000,70483000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,-2700000,5200000,2500000,4000000,4644102,-666362,1972110,2246353,24442771,65690026,104985000,-25046000,186722000,127785000,267544000,147268000,-370064000,320506000,470684000,1730700000,-2106732000,564345000,-323001000,452187000,735755000,1326067000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30609000,-59418000,2031000,-56752000,-17769000,-50408000,-9710000,-76731000,-106363000,16538000,-38412000,-59941000,-119672000,-254228000
79,Inventory,- -,- -,- -,-500000,-100000,-1500000,-400000,- -,-800000,-1300000,-4700000,-1013481,-1048785,312946,-6000052,-4762268,-8994000,-45613000,-21127000,-19671000,8545000,-44973000,-4465000,-47568000,-21552000,42763000,-7068000,20875000,-88867000,-26146000,-85222000,30304000,-277793000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7517000,-15786000,37096000,26250000,3659000,-8204000,11282000,20864000,45340000,29579000,9852000,28832000,18696000,114297000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,-2700000,2500000,5000000,9000000,13644102,12977740,14949850,17196203,41638974,107329000,212314000,187268000,373990000,501775000,769319000,916587000,546523000,867029000,1337713000,3068413000,961681000,1526026000,1203025000,1655212000,2390967000,3717034000
82,Other Non-Cash Items,- -,200000,-100000,-500000,-400000,-200000,-1400000,2500000,-5800000,-2800000,-7700000,-10278417,1433187,-3345550,-2977904,-25449974,-73950026,-117251000,23151000,-68035000,-193962000,-265432000,-131657000,290861000,-331238000,-400735000,-1515865000,2027801000,-566396000,378298000,-575693000,-755575000,-1684868000
83,Cash Provided by Operating Activities,- -,- -,-100000,-200000,800000,-900000,-2000000,800000,1300000,4400000,1300000,-1122840,5202706,2726669,5484414,20050517,54649000,76414000,135451000,199496000,156192000,229044000,333827000,287676000,342033000,585567000,207986000,701355000,987731000,1161881000,1113762000,1364163000,1155741000
84,CAPEX,- -,- -,- -,- -,-200000,-600000,-400000,-100000,-200000,-400000,-300000,-1191762,-529905,-416873,-1627490,-1260068,-1520000,-4901000,-7028000,-11072000,-28769000,-22397000,-30684000,-49236000,-51937000,-31363000,-42493000,-105337000,-93128000,-74925000,-110398000,-67272000,-1013000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,198008000,-688485000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22643000,-249014000,-361600000,-131623000,-74976000,-317381000,-616450000,-606657000,-557419000,-1134602000,-2033584000,-452476000,-971813000,-826084000,-1067736000,-1299981000,-2413143000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28082000,159208000,173057000,288238000,97173000,128593000,473178000,927077000,264886000,723369000,2097949000,989291000,533183000,1181484000,851436000,920196000,1488599000
88,Other Investing Activites,- -,- -,- -,-5700000,-100000,-400000,- -,- -,200000,-500000,-1200000,-6659404,-152329,324664,-810044,-210658,-703000,-524000,844000,-5915000,-3112000,-11177000,-4203000,-5636000,-6513000,-1218000,173298000,-4704000,-9476000,-20503000,-8763000,-43980000,-66465000
89,Cash Used for Investing Activites,- -,- -,- -,-5800000,-300000,-1000000,-400000,-100000,- -,-500000,-1500000,-7851166,-682234,-92209,-2437534,-1470726,3216000,-95231000,-194727000,143982000,-4469000,-212510000,-173027000,271849000,-339808000,-440403000,400066000,-256193000,-531541000,272956000,-326724000,-472487000,-992022000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1170000,-1539000,-420000,-1942000,-2076000,-1887000,-1619000,-1083000,-2359000,-2583000,-1886000,-13569000,-3086000,-10919000
91,Common Stock Issued,- -,6300000,- -,100000,1600000,700000,- -,- -,- -,100000,- -,256639,28621,8000,748430,1719928,1168000,3883000,8191000,2257000,2502000,20824000,20318000,11015000,21252000,17168000,1696661000,16405000,52626000,27851000,92363000,72936000,45723000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-814545,- -,- -,- -,- -,- -,-27699000,-148000,-103467000,-86173000,-23540000,-176392000,-727670000,-67599000,-8175000,-807967000,-2252437000,-361178000,-1342076000,-707300000,-595918000,- -
