,https://roic.ai/company/AMSC,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,500000,600000,1000000,1500000,1600000,1701749,2113617,1939189,2253581,4098904,5509043,8102136,7604593,8193837,7905809,4755605,10095000,8403000,9789000,60259000,15455000,13054000,10615000,9554000,7972000,7519000,11459000,4609000,4308000,5352000
15,EBITDA,-1200000,-3700000,-4400000,-4300000,-5700000,-8720382,-10264571,-13386987,-15344249,-17577107,-51475846,-79530791,-19128890,-11465943,-22970501,-30021186,-12472000,503000,46545000,-110072000,-120003000,-53341000,-44791000,-39286000,-12776000,-18712000,-21478000,37750000,-12593000,-18158000
16,EBITDA ratio,-0.4138,-1.1563,-1.1282,-1.0000,-0.8028,-1.2155,-0.6785,-1.1892,-1.0153,-1.0483,-4.4185,-3.7835,-0.4631,-0.1967,-0.4345,-0.5753,-0.1110,0.0028,0.1473,-0.3841,-1.5678,-0.6102,-0.5325,-0.5570,-0.1331,-0.2488,-0.4437,0.6716,-0.1973,-0.2084
17,Operating Income,-2100000,-5100000,-6200000,-7600000,-8800000,-10860218,-12909848,-17250978,-19472714,-34395568,-61552844,-88511485,-25686274,-20348862,-33486556,-36531705,-24890000,-8196000,38661000,-177983000,-136439000,-57741000,-41429000,-52517000,-20118000,-27542000,-32157000,34023000,-23129000,-23165000
18,Operating Income ratio,-0.7241,-1.5938,-1.5897,-1.7674,-1.2394,-1.5137,-0.8533,-1.5324,-1.2885,-2.0513,-5.2835,-4.2108,-0.6218,-0.3491,-0.6333,-0.7001,-0.2214,-0.0448,0.1224,-0.6210,-1.7825,-0.6605,-0.4925,-0.7446,-0.2095,-0.3663,-0.6644,0.6053,-0.3623,-0.2659
19,Total Other Income Expenses (Gains),400000,900000,700000,1800000,1500000,-733882,-166058,13256,4343,164146,-9558763,-39220967,-1342865,-117631,-4959977,1755144,2323000,296000,-1905000,7652000,981000,-8654000,-13977000,3677000,-630000,1311000,-780000,-882000,6228000,-345000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34776561,-22567000,-7900000,36756000,-170331000,-135458000,-66395000,-55406000,-48840000,-20748000,-26231000,-32937000,33141000,-16901000,-23510000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.6664,-0.2008,-0.0432,0.1163,-0.5943,-1.7697,-0.7595,-0.6587,-0.6925,-0.2161,-0.3488,-0.6805,0.5896,-0.2647,-0.2698
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-101398,2880000,8735000,20508000,15953000,1369000,-264000,852000,-184000,2391000,1142000,-161000,6380000,195000,-832000
23,Net Income,-1700000,-4300000,-5400000,-5800000,-7300000,-10422131,-12378188,-15326176,-17597830,-21676011,-56984889,-87632927,-26733483,-19659780,-30876310,-34675393,-25447000,-16635000,16248000,-186284000,-136827000,-66131000,-56258000,-48656000,-23139000,-27373000,-32776000,26761000,-17096000,-22678000
24,Net Income ratio,-0.5862,-1.3438,-1.3846,-1.3488,-1.0282,-1.4527,-0.8182,-1.3614,-1.1644,-1.2927,-4.8914,-4.1690,-0.6472,-0.3373,-0.5840,-0.6645,-0.2264,-0.0910,0.0514,-0.6500,-1.7876,-0.7565,-0.6688,-0.6899,-0.2410,-0.3640,-0.6771,0.4761,-0.2678,-0.2603
25,EPS,-3.10,-5.50,-8.60,-6.90,-9.40,-10.90,-10.60,-10.10,-11.10,-10.80,-27.90,-42.10,-11.00,-7.00,-9.40,-10.40,-6.50,-3.90,3.70,-39.50,-26.90,-12.50,-9.00,-5.74,-1.76,-1.98,-1.73,1.32,-0.81,-0.95
26,EPS Diluted,-3.10,-5.50,-8.60,-6.90,-9.40,-10.90,-10.60,-10.10,-11.10,-10.80,-27.90,-42.10,-11.00,-7.00,-9.40,-10.40,-6.50,-3.90,3.60,-39.50,-26.90,-12.50,-9.00,-5.74,-1.76,-1.98,-1.73,1.29,-1.03,-0.95
27,Weighted Average Shares Outstanding,548387,781818,795918,840580,776596,956081,1165803,1513167,1582007,2012734,2040923,2083084,2419607,2821459,3268539,3326067,3913700,4271800,4444500,4710300,5084200,5307000,6262200,8477000,13178000,13804000,18967000,20335000,20985000,23879000
28,Weighted Average Shares Outstanding Diluted,548387,781818,795918,840580,776596,956081,1165803,1513167,1582007,2012734,2040923,2083084,2419607,2821459,3268539,3326067,3913700,4271800,4529000,4710300,5084200,5307000,6262200,8477000,13178000,13804000,18967000,20726000,21069000,23879000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/880807/000092701600002314/0000927016-00-002314-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/880807/000119312503015234/d10k.htm,https://www.sec.gov/Archives/edgar/data/880807/000119312504102434/d10k.htm,https://www.sec.gov/Archives/edgar/data/880807/000119312505125214/d10k.htm,https://www.sec.gov/Archives/edgar/data/880807/000119312506129798/d10k.htm,https://www.sec.gov/Archives/edgar/data/880807/000119312507135819/0001193125-07-135819-index.html,https://www.sec.gov/Archives/edgar/data/880807/000119312508124825/0001193125-08-124825-index.html,https://www.sec.gov/Archives/edgar/data/880807/000119312509120423/0001193125-09-120423-index.html,https://www.sec.gov/Archives/edgar/data/880807/000095012310053769/0000950123-10-053769-index.html,https://www.sec.gov/Archives/edgar/data/880807/000095012311086249/b85132be10vk.htm,https://www.sec.gov/Archives/edgar/data/880807/000119312512261967/0001193125-12-261967-index.html,https://www.sec.gov/Archives/edgar/data/880807/000119312513258762/0001193125-13-258762-index.html,https://www.sec.gov/Archives/edgar/data/880807/000156459014002420/0001564590-14-002420-index.html,https://www.sec.gov/Archives/edgar/data/880807/000156459015004664/0001564590-15-004664-index.html,https://www.sec.gov/Archives/edgar/data/880807/000156459016020115/0001564590-16-020115-index.html,https://www.sec.gov/Archives/edgar/data/880807/000162828017005885/0001628280-17-005885-index.html,https://www.sec.gov/Archives/edgar/data/880807/000162828018007644/0001628280-18-007644-index.html,https://www.sec.gov/Archives/edgar/data/880807/000143774919011477/0001437749-19-011477-index.html,https://www.sec.gov/Archives/edgar/data/880807/000143774920012276/0001437749-20-012276-index.htm,https://www.sec.gov/Archives/edgar/data/880807/000143774921013956/0001437749-21-013956-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,25800000,4300000,6400000,1500000,4100000,576914,1842142,24969142,126917768,89063299,37170927,18487752,31241237,38592032,35171181,15924816,67834000,70674000,87594000,123783000,46279000,39243000,43114000,20490000,39330000,26784000,34084000,77483000,24699000,67814000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15045419,40628967,30497424,19398767,38398000,39255000,60182000,116126000,5304000,- -,- -,- -,- -,- -,- -,- -,30149000,5140000
33,Cash and Short-Term Investments,25800000,4300000,6400000,1500000,4100000,576914,1842142,24969142,126917768,89063299,37170927,18487752,46286656,79220999,65668605,35323583,106232000,109929000,147776000,239909000,51583000,39243000,43114000,20490000,39330000,26784000,34084000,77483000,54848000,72954000
34,Net Receivables,200000,400000,800000,2500000,2100000,2901938,2991635,4099211,7317009,13416068,7583505,5446007,8566657,5464726,9014035,18053507,37108000,50103000,62203000,17233000,18999000,18864000,7556000,9879000,19264000,7956000,10365000,10743000,16987000,13267000
35,Inventory,- -,100000,100000,700000,800000,1054141,3229973,5024552,9246950,14300928,13212831,5117786,4889394,6872197,9006034,6852835,10907000,35129000,35858000,25828000,29256000,33473000,20694000,20596000,18512000,17462000,19780000,12119000,18975000,13306000
36,Other Current Assets,- -,12400000,200000,200000,200000,329721,545428,538485,809129,603744,708079,1264839,906956,1121091,901606,2019451,19072000,17345000,17157000,36835000,43733000,28605000,11917000,13586000,6235000,3498000,2947000,3053000,3467000,5703000
37,Total Current Assets,26000000,17200000,7500000,4900000,7200000,4862714,8609178,34631390,144290856,117384039,58675342,30316384,60649663,92679013,84590280,62249376,173319000,212506000,262994000,319805000,143571000,120185000,83281000,64551000,83341000,55700000,67176000,103398000,94277000,105230000
38,PP&E,1100000,1700000,3500000,3800000,3500000,3261785,4422900,6114630,9778231,42312181,97719601,61035797,56631019,51339164,44779567,49928044,54308000,54838000,64315000,96494000,90828000,74626000,64574000,56097000,49778000,43438000,12513000,8972000,11924000,12744000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1107735,5126460,18530000,26233000,36696000,- -,- -,- -,- -,- -,- -,- -,1719000,1719000,1719000,34634000
40,Intangible Assets,300000,100000,100000,100000,- -,- -,- -,- -,- -,1107735,1107735,1107735,1107735,6473544,2933830,12848927,11583000,8859000,7770000,7054000,3772000,2749000,1995000,1422000,854000,301000,3230000,2890000,3550000,9153000
41,Intangible Assets,300000,100000,100000,100000,- -,- -,- -,- -,- -,1107735,1107735,1107735,1107735,6473544,4041565,17975387,30113000,35092000,44466000,7054000,3772000,2749000,1995000,1422000,854000,301000,4949000,4609000,5269000,43787000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7342000,- -,- -,- -,- -,- -,- -,- -,- -,- -,5046000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5840000,3129000,5354000,7724000,7766000,96000,407000,542000,1357000,1551000,1223000
44,Other Non-Current Assets,- -,5100000,34900000,31700000,22300000,15488134,6519137,7384283,94845169,79122957,40292246,9518723,11510539,8425353,59050,2280589,3494000,6670000,21067000,12016000,13756000,13840000,10935000,3989000,1249000,398000,2995000,994000,6042000,5882000
45,Total Non-Current Assets,1400000,6900000,38500000,35600000,25800000,18749919,10942037,13498913,104623400,122542873,139119582,71662255,69249293,66238061,48880182,70184020,87915000,96600000,137190000,121404000,111485000,96569000,85228000,69274000,51977000,44544000,20999000,15932000,29832000,63636000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,27400000,24100000,46000000,40500000,33000000,23612633,19551215,48130303,248914256,239926912,197794924,101978639,129898956,158917074,133470462,132433396,261234000,309106000,400184000,441209000,255056000,216754000,168509000,133825000,135318000,100244000,88175000,119330000,124109000,168866000
48,Accounts Payable,600000,1300000,1300000,1400000,1300000,2208192,3333462,4171948,6339023,8576022,20784931,9773874,11541634,3719644,7758543,9723774,38356000,- -,33762000,40074000,8191000,7146000,1749000,7062000,5837000,3207000,3096000,2939000,10045000,5353000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,29609,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8768000,6240000,3756000,2624000,1481000,- -,- -,439000,612000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20470000,11947000,192000,133000,173000,278000,1281000,1344000,536000,3363000,933000,522000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,187285,- -,371250,- -,1056806,1136002,2905792,2012030,1872126,3775284,10629000,21066000,19970000,10304000,19718000,29805000,9456000,11019000,12000000,14323000,13483000,7557000,18430000,13266000
52,Other Current Liabilities,500000,700000,500000,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,9675046,8739830,13808047,- -,60253000,50557000,94802000,58414000,34038000,30377000,25395000,20546000,13206000,10746000,17888000,12046000,21507000
53,Total Current Liabilities,1100000,2000000,1800000,2000000,1300000,2208192,3550356,4171948,6710273,8576022,21841737,10909876,14447426,15406720,18370499,27307105,48985000,81319000,104289000,145180000,86323000,79757000,47822000,47232000,41007000,32217000,27325000,28384000,40960000,40738000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,3141793,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9248000,6380000,3877000,1367000,- -,- -,- -,- -,3246000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4902000,13302000,2181000,1558000,1340000,990000,2756000,9269000,7631000,8454000,7962000,7712000,7991000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2518094,1244000,840000,1248000,484000,203000,- -,- -,- -,63000,125000,110000,1698000,180000,274000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1259883,3787000,3787000,3250000,- -,- -,- -,986903,2553000,184000,380000,509000,2093000,1291000,1058000,67000,63000,45000,57000,93000,3038000,25000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,3141793,- -,1259883,3787000,3787000,3250000,- -,- -,- -,3504997,3797000,5926000,14930000,3174000,3854000,11879000,8428000,6700000,10762000,7801000,8621000,9753000,10930000,11536000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3439000,3858000
61,Total Liabilities,1100000,2000000,1800000,2000000,1300000,2208192,6692149,4171948,7970156,12363022,25628737,14159876,14447426,15406720,18370499,30812102,52782000,87245000,119219000,148354000,90177000,91636000,56250000,53932000,51769000,40018000,35946000,38137000,51890000,52274000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,95622,117568,153787,197347,202906,204975,212938,276141,325452,328903,350161,415000,433000,448000,507000,520000,603000,789000,96000,141000,147000,211000,216000,229000,280000
64,Retained Earnings,-8900000,-13200000,-18600000,-24400000,-31700000,-42137761,-73891875,-89218051,-106815881,-128491892,-185476781,-273109708,-299843191,-319502971,-350379281,-385054674,-410502000,-427137000,-410889000,-597173000,-734000000,-800131000,-856389000,-905045000,-928184000,-955557000,-988333000,-961539000,-978635000,-1001313000
65,Other Comprehensive Income/Loss,-1300000,-1800000,-2700000,-4100000,-5600000,-7268315,-11006576,-12945765,-15199346,-18746317,-21209230,-309156,-710861,-944991,-1455138,131534,3514000,-4487000,-7011000,3817000,2027000,1112000,1839000,-308000,660000,-503000,883000,-5000,-216000,-277000
66,Other Total Stockholders Equity,36500000,37100000,65500000,67000000,69000000,70714895,97639949,145968384,362761980,374599193,378647223,361024689,415729441,463632864,466605479,486194273,615025000,653052000,698417000,885704000,896332000,923534000,966020000,985150000,1010932000,1016139000,1039468000,1042521000,1050841000,1117902000
67,Total Stockholders Equity,26300000,22100000,44200000,38500000,31700000,21404441,12859066,43958355,240944100,227563890,172166187,87818763,115451530,143510354,115099963,101621294,208452000,221861000,280965000,292855000,164879000,125118000,112259000,79893000,83549000,60226000,52229000,81193000,72219000,116592000
68,Total Liabilities And Stockholders Equity,27400000,24100000,46000000,40500000,33000000,23612633,19551215,48130303,248914256,239926912,197794924,101978639,129898956,158917074,133470462,132433396,261234000,309106000,400184000,441209000,255056000,216754000,168509000,133825000,135318000,100244000,88175000,119330000,124109000,168866000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,27400000,24100000,46000000,40500000,33000000,23612633,19551215,48130303,248914256,239926912,197794924,101978639,129898956,158917074,133470462,132433396,261234000,309106000,400184000,441209000,255056000,216754000,168509000,133825000,135318000,100244000,88175000,119330000,124109000,168866000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/880807/000092701600002314/0000927016-00-002314-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/880807/000119312503015234/d10k.htm,https://www.sec.gov/Archives/edgar/data/880807/000119312504102434/d10k.htm,https://www.sec.gov/Archives/edgar/data/880807/000119312505125214/d10k.htm,https://www.sec.gov/Archives/edgar/data/880807/000119312506129798/d10k.htm,https://www.sec.gov/Archives/edgar/data/880807/000119312507135819/0001193125-07-135819-index.html,https://www.sec.gov/Archives/edgar/data/880807/000119312508124825/0001193125-08-124825-index.html,https://www.sec.gov/Archives/edgar/data/880807/000119312509120423/0001193125-09-120423-index.html,https://www.sec.gov/Archives/edgar/data/880807/000095012310053769/0000950123-10-053769-index.html,https://www.sec.gov/Archives/edgar/data/880807/000095012311086249/b85132be10vk.htm,https://www.sec.gov/Archives/edgar/data/880807/000119312512261967/0001193125-12-261967-index.html,https://www.sec.gov/Archives/edgar/data/880807/000119312513258762/0001193125-13-258762-index.html,https://www.sec.gov/Archives/edgar/data/880807/000156459014002420/0001564590-14-002420-index.html,https://www.sec.gov/Archives/edgar/data/880807/000156459015004664/0001564590-15-004664-index.html,https://www.sec.gov/Archives/edgar/data/880807/000156459016020115/0001564590-16-020115-index.html,https://www.sec.gov/Archives/edgar/data/880807/000162828017005885/0001628280-17-005885-index.html,https://www.sec.gov/Archives/edgar/data/880807/000162828018007644/0001628280-18-007644-index.html,https://www.sec.gov/Archives/edgar/data/880807/000143774919011477/0001437749-19-011477-index.html,https://www.sec.gov/Archives/edgar/data/880807/000143774920012276/0001437749-20-012276-index.htm,https://www.sec.gov/Archives/edgar/data/880807/000143774921013956/0001437749-21-013956-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1700000,-4300000,-5400000,-5800000,-7300000,-10422131,-12378188,-15326176,-17597830,-21676011,-56984889,-87632927,-26733483,-19659780,-30876310,-34675393,-25447000,-16635000,16248000,-186284000,-136827000,-66131000,-56258000,-48656000,-23139000,-27373000,-32776000,26761000,-17096000,-22678000
74,Depreciation and Amortization,500000,600000,1000000,1500000,1600000,1701749,2113617,1939189,2253581,4098904,5509043,8102136,7604593,8193837,7905809,4755605,10095000,8403000,9789000,60259000,15455000,13054000,10615000,9554000,7972000,7519000,11459000,4609000,4308000,5352000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-118903,-3424000,- -,-2717000,3660000,- -,- -,- -,- -,- -,- -,- -,- -,-1714000,-1221000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9679000,13632000,13443000,9864000,8138000,10696000,5936000,3248000,2892000,2692000,3030000,1922000,3485000
77,Change in Working Capital,300000,-9700000,-9500000,-2800000,3000000,-3245478,2404300,25400620,107121141,-28772566,-71974412,-17427097,26795729,31070056,-11052512,-31277510,89391729,6853000,27518000,15920000,-117377000,-16820000,-4969000,-18140000,25015000,-18851000,16368000,35163000,-21697000,11175000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18845000,-21603000,63175000,-4820000,-751000,11379000,-2677000,-9318000,11143000,1145000,-529000,-9159000,5193000
79,Inventory,- -,-100000,-100000,-600000,-100000,-274713,159289,-1794579,-4222398,-8580998,-2376178,5360285,3478392,-1982803,-3725012,1072270,-4410000,-24382000,-656000,-51942000,-7528000,-6457000,13043000,-1887000,-782000,-815000,-2423000,5007000,-8143000,8106000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21864000,-10861000,5579000,1543000,-7938000,-2956000,2839000,- -,- -
81,Other Working Capital,24900000,15200000,5700000,2900000,5900000,2654522,5058822,30459442,137580583,108808017,36833605,19406508,46202237,77272293,66219781,34942271,124334000,131187000,158705000,174625000,57248000,40428000,35459000,17319000,42334000,23483000,39851000,75014000,53317000,64492000
82,Other Non-Cash Items,-100000,10500000,8900000,700000,-3300000,3056817,-7069666,-27111857,-112135882,19925614,96993871,57352931,-25088792,-28887220,14434425,38555404,-88438729,-10726000,-23790000,70181000,87843000,16488000,26649000,18630000,-17655000,24598000,-22570000,-26849000,17780000,-4794000
83,Cash Provided by Operating Activities,-1000000,-2900000,-5000000,-6400000,-6000000,-8909043,-14929937,-15098224,-20358990,-26424059,-26456387,-39604957,-17421953,-9283107,-19588588,-22760797,-17823000,-2426000,40680000,-22821000,-141042000,-45271000,-13267000,-32676000,-4559000,-11215000,-24827000,42714000,-16497000,-8681000
84,CAPEX,-800000,-1300000,-2800000,-1700000,-1300000,-1415199,-2889245,-3613900,-5932079,-35897926,-63122176,-7799235,-1957208,-1460352,-2993697,-10908223,-9862000,-7654000,-18057000,-43376000,-15122000,-1430000,-278000,-737000,-1201000,-656000,-2534000,-952000,-4630000,-1764000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-755000,- -,- -,- -,- -,- -,-386831,-102000,- -,- -,- -,- -,- -,- -,- -,- -,- -,74000,- -,- -,-26000000
86,Purchases of Investments,- -,-12300000,- -,- -,- -,- -,-3000000,-442334,-85302630,- -,- -,-770000,-21239246,-79430550,-88932118,-62561873,-174650000,-89576000,-81980000,-167670000,-1800000,- -,- -,- -,- -,- -,- -,- -,-35000000,- -
87,Sales/Maturities of Investments,1000000,- -,12300000,3100000,9900000,6730101,12455443,- -,- -,21526392,39452114,30119683,1369686,51720097,107455055,73784819,155917000,88605000,60989000,104830000,110117000,5276000,- -,- -,3092000,325000,1167000,127000,- -,30152000
88,Other Investing Activites,-100000,-5000000,-29800000,- -,- -,-19945,-275840,-429347,-576266,-1896820,-3173100,-992457,-1498863,-1609142,-716161,62796,-11763000,4015000,-2464000,-1131000,-34085000,3507000,4287000,2546000,2982000,523000,17690000,2994000,2009000,81000
89,Cash Used for Investing Activites,100000,-18600000,-20300000,1400000,8600000,5294957,6290358,-4485581,-91810975,-17023354,-26843162,20557991,-23325631,-30779947,14813079,-9312,-40460000,-3490000,-39996000,-104833000,63337000,7353000,4009000,1809000,4873000,192000,16397000,2169000,-36621000,2469000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4682000,-1923000,-4615000,-7295000,-4000000,-3167000,-1575000,- -,- -,- -
91,Common Stock Issued,24800000,- -,27300000,500000,- -,- -,10543887,45882207,214118591,5592944,1407177,363791,53501069,47413849,1420718,3523744,14820000,- -,- -,155240000,- -,- -,7458000,14933000,22282000,- -,16952000,- -,- -,51477000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,86297,-639126,-3171402,- -,- -,- -,- -,- -,- -,-66060,- -,93612000,12463000,19003000,7818000,4739000,33144000,9953000,1145000,-80000,2037000,-99000,-299000,5776000,-649000
95,Cash Used/Provided by Financing Activities,24800000,- -,27300000,500000,- -,86297,9904761,42710805,214118591,5592944,1407177,363791,53501069,47413849,1354658,3523744,108432000,12463000,19003000,163058000,57000,31221000,12796000,8783000,18202000,-1130000,15278000,-299000,5776000,50828000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-7844,- -,- -,- -,- -,- -,- -,- -,- -,- -,1760000,-3707000,-2767000,785000,144000,-339000,333000,-540000,324000,-393000,452000,-635000,8000,59000
