,https://roic.ai/company/MSA,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.1167,0.0988,0.0651,0.0981,0.0976,0.0941,0.0547,0.0334,0.0326,0.0646,0.0670,0.0766,0.0688,0.0546,0.0542,0.0761,0.1102,0.0893,0.1074,0.1376,0.1423,0.1110,0.1151,0.1161,0.0915,0.0675,0.1030,0.1203,0.1275,0.1273,0.1213,0.1485,0.0552,0.1277,0.1328,0.1238,0.0163
19,Total Other Income Expenses (Gains),100000,600000,-2000000,2000000,4600000,6500000,7600000,11000000,4300000,-3900000,400000,-1700000,2300000,1400000,-4800000,-4025000,-7258000,-2307000,-1208000,-4109000,-5958000,-9367000,-9781000,-19802000,-18458000,-8942000,-16628000,-6308000,-21648000,-17110000,-26177000,-18741000,-36329000,-11144000,-2495000,-3748000,824000
20,Income Before Tax,46000000,39000000,22900000,41000000,45100000,51100000,35000000,27800000,18300000,25800000,33100000,36700000,36300000,28200000,22000000,34050000,52886000,48083000,73759000,113868000,123796000,92640000,106188000,112458000,65340000,57349000,104818000,134290000,120133000,127195000,111026000,151911000,29775000,162335000,183735000,163103000,23604000
21,Income Before Tax Ratio,0.1170,0.1003,0.0599,0.1032,0.1087,0.1078,0.0699,0.0553,0.0426,0.0561,0.0679,0.0733,0.0734,0.0574,0.0445,0.0681,0.0969,0.0852,0.1056,0.1328,0.1357,0.1008,0.1054,0.0987,0.0713,0.0584,0.0889,0.1149,0.1080,0.1122,0.0982,0.1322,0.0249,0.1195,0.1311,0.1210,0.0169
22,Income Tax expense (Gain),20400000,17900000,8900000,16800000,17600000,21900000,16300000,11100000,7700000,10500000,14200000,13600000,14400000,9900000,6900000,10811000,21255000,16870000,24835000,42821000,42013000,28722000,38600000,42036000,22003000,18290000,34773000,42529000,35145000,41044000,44407000,57804000,2819000,37220000,46086000,41941000,1816000
23,Net Income,25600000,21100000,14000000,24200000,27500000,29200000,18700000,2600000,10600000,15300000,18900000,23100000,21900000,18300000,15100000,23239000,31631000,35077000,65267000,71047000,81783000,63918000,67588000,70422000,43295000,38104000,69852000,90637000,88247000,88506000,70807000,91936000,26027000,124150000,136440000,120101000,21340000
24,Net Income ratio,0.0651,0.0543,0.0366,0.0609,0.0663,0.0616,0.0373,0.0052,0.0247,0.0333,0.0388,0.0461,0.0443,0.0373,0.0306,0.0464,0.0580,0.0621,0.0935,0.0829,0.0897,0.0695,0.0671,0.0618,0.0473,0.0388,0.0593,0.0775,0.0794,0.0781,0.0626,0.0800,0.0217,0.0914,0.0973,0.0891,0.0152
25,EPS,0.43,0.35,0.23,0.41,0.47,0.50,0.32,0.05,0.19,0.29,0.37,0.53,0.53,0.46,0.39,0.63,0.88,0.96,1.78,1.91,2.24,1.76,1.89,1.98,1.21,1.06,1.91,2.45,2.37,2.37,1.89,2.45,0.68,3.23,3.52,3.09,0.56
26,EPS Diluted,0.43,0.35,0.23,0.41,0.47,0.50,0.32,0.05,0.19,0.29,0.37,0.53,0.53,0.46,0.39,0.63,0.87,0.95,1.75,1.86,2.19,1.73,1.86,1.96,1.21,1.05,1.87,2.42,2.34,2.33,1.87,2.42,0.67,3.18,3.48,3.05,0.55
27,Weighted Average Shares Outstanding,59825450,59493456,59631060,59567764,58773059,58258258,57583357,55770056,54364710,53023256,50963855,43860759,40977131,40072993,38939828,36809524,35752075,36489583,36641011,37174346,36491518,36293182,35738624,35593000,35668000,35880000,36221000,36564000,36868000,37138000,37293000,37456000,37997000,38362000,38653000,38885000,39194000
28,Weighted Average Shares Outstanding Diluted,59825450,59493456,59631060,59567764,58773059,58258258,57583357,55770056,54364710,53952257,52466259,44362544,41062500,40170732,39051724,37005319,36300000,36873684,37269143,38173656,37324658,36922543,36315054,35949000,35879000,36422000,36831000,37042000,37450000,37728000,37710000,37986000,38697000,38961000,39189000,39286000,39430000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/66570/000095013295000098/0000950132-95-000098-index.html,https://www.sec.gov/Archives/edgar/data/66570/000095013296000170/0000950132-96-000170-index.html,https://www.sec.gov/Archives/edgar/data/66570/000095013297000205/0000950132-97-000205-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/66570/000095013201500082/0000950132-01-500082-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/66570/000119312504041958/d10k.htm,https://www.sec.gov/Archives/edgar/data/66570/000119312505049299/d10k.htm,https://www.sec.gov/Archives/edgar/data/66570/000119312506046204/d10k.htm,https://www.sec.gov/Archives/edgar/data/66570/000119312507042686/d10k.htm,https://www.sec.gov/Archives/edgar/data/66570/000119312508043436/d10k.htm,https://www.sec.gov/Archives/edgar/data/66570/000119312509039023/0001193125-09-039023-index.html,https://www.sec.gov/Archives/edgar/data/66570/000119312510042969/0001193125-10-042969-index.html,https://www.sec.gov/Archives/edgar/data/66570/000119312511050159/d10k.htm,https://www.sec.gov/Archives/edgar/data/66570/000119312512072913/0001193125-12-072913-index.html,https://www.sec.gov/Archives/edgar/data/66570/000119312513067419/0001193125-13-067419-index.html,https://www.sec.gov/Archives/edgar/data/66570/000006657014000010/a10-kxmsa.htm,https://www.sec.gov/Archives/edgar/data/66570/000006657015000011/a2014-10xkxmsa.htm,https://www.sec.gov/Archives/edgar/data/66570/000006657016000068/0000066570-16-000068-index.html,https://www.sec.gov/Archives/edgar/data/66570/000006657017000011/0000066570-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/66570/000006657018000009/0000066570-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/66570/000006657019000010/0000066570-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/66570/000006657020000005/0000066570-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/66570/000006657021000016/0000066570-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/66570/000006657022000007/0000066570-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6500000,17900000,29700000,40200000,44500000,11600000,54600000,55400000,46400000,54400000,32000000,25100000,19900000,24000000,8900000,19408000,22842000,36477000,73244000,76545000,44797000,61296000,74981000,50894000,61983000,59760000,59938000,82718000,96265000,105998000,105925000,113759000,134244000,140095000,152195000,160672000,140895000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8200000,7133000,4150000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55106000,49892000,74982000,48974000
33,Cash and Short-Term Investments,6500000,17900000,29700000,40200000,44500000,11600000,54600000,55400000,46400000,54400000,32000000,25100000,19900000,24000000,17100000,26541000,26992000,36477000,73244000,76545000,44797000,61296000,74981000,50894000,61983000,59760000,59938000,82718000,96265000,105998000,105925000,113759000,134244000,195201000,202087000,235654000,189869000
34,Net Receivables,66400000,64900000,71000000,76900000,77400000,86300000,84000000,75800000,81900000,88700000,91000000,101700000,91400000,94900000,81600000,77553000,89029000,94104000,128900000,161584000,169436000,174569000,223406000,219984000,177409000,211487000,206396000,197631000,209545000,214316000,241607000,213694000,261531000,248587000,258758000,256079000,258101000
35,Inventory,83300000,81900000,68900000,77200000,87800000,88900000,100500000,87800000,81500000,77000000,83600000,77000000,81100000,85500000,82100000,72681000,77874000,76748000,90103000,124846000,119731000,137230000,155332000,159428000,123944000,150581000,141475000,136300000,136837000,122954000,125849000,103066000,153739000,156602000,185027000,197819000,280617000
36,Other Current Assets,5000000,6100000,7500000,9900000,11600000,71400000,15100000,13400000,14800000,17200000,22000000,24600000,27200000,24800000,22300000,24378000,23791000,75615000,30995000,34685000,43262000,43764000,43331000,47469000,70689000,55561000,51040000,46899000,58319000,54601000,31646000,42287000,72783000,56233000,47491000,64726000,64217000
37,Total Current Assets,161200000,170800000,177100000,204200000,221300000,258200000,254200000,232400000,224600000,237300000,228600000,228400000,219600000,229200000,203100000,201153000,217686000,282944000,323242000,397660000,377226000,416859000,497050000,477775000,434025000,477389000,458849000,463548000,500966000,497869000,505027000,472806000,622297000,656623000,693363000,754278000,792804000
38,PP&E,126900000,151400000,155100000,153200000,158700000,177400000,172500000,156100000,153500000,152000000,151100000,147100000,155200000,164600000,163500000,159586000,152968000,125605000,120560000,123716000,116209000,120651000,130445000,141409000,144575000,156789000,145763000,147465000,152755000,151352000,155839000,148678000,157014000,157940000,218713000,243070000,257971000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33722000,- -,- -,- -,55654000,79360000,87011000,83211000,84727000,263089000,259084000,258400000,260134000,252520000,340338000,333276000,422185000,413640000,436679000,443272000,636858000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42963000,44810000,49495000,- -,- -,- -,- -,- -,- -,- -,- -,35029000,31300000,90100000,77000000,183000000,169500000,171300000,161100000,307000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33722000,42963000,44810000,49495000,55654000,79360000,87011000,83211000,84727000,263089000,259084000,258400000,295163000,283820000,430438000,410276000,605185000,583140000,607979000,604372000,943858000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12694000,7800000,23047000,21513000,19364000,29676000,24125000,7651000,10870000,8285000,12065000,17018000,14996000,20227000,26455000,23240000,25825000,32522000,32596000,35665000,35257000
44,Other Non-Current Assets,4800000,4200000,4800000,3500000,7100000,7600000,9700000,19300000,29800000,27800000,26900000,32200000,31600000,62900000,85100000,128944000,103628000,120453000,132226000,141726000,156904000,252074000,277675000,165764000,201031000,291636000,239291000,225315000,270390000,311501000,307059000,298905000,274417000,177772000,187016000,235147000,366558000
45,Total Non-Current Assets,131700000,155600000,159900000,156700000,165800000,185000000,182200000,175400000,183300000,179800000,178000000,179300000,186800000,227500000,248600000,288530000,303012000,296821000,320643000,336450000,348131000,481761000,519256000,398035000,441203000,719799000,656203000,648198000,733304000,766900000,919791000,881099000,1062441000,951374000,1046304000,1118254000,1603644000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,292900000,326400000,337000000,360900000,387100000,443200000,436400000,407800000,407900000,417100000,406600000,407700000,406400000,456700000,451700000,489683000,520698000,579765000,643885000,734110000,725357000,898620000,1016306000,875810000,875228000,1197188000,1115052000,1111746000,1234270000,1264769000,1424818000,1353905000,1684738000,1607997000,1739667000,1872532000,2396396000
48,Accounts Payable,- -,- -,- -,- -,- -,6100000,23200000,25200000,20900000,25900000,24100000,27600000,30800000,35000000,29100000,32387000,24751000,30979000,40029000,40705000,40935000,39441000,50648000,50126000,43487000,58460000,50208000,59519000,66902000,70210000,68206000,62734000,87061000,78367000,89120000,86854000,106780000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,9700000,6000000,8200000,25200000,33500000,4500000,6616000,6484000,14060000,5666000,6378000,8808000,2340000,54676000,60849000,16326000,10163000,8263000,6823000,7500000,6700000,6668000,26666000,26680000,20063000,20000000,20000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3580000,5366000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,71000000,61900000,53400000,54100000,57600000,64400000,45600000,29900000,39500000,35200000,41900000,56000000,47200000,41500000,46400000,47975000,51265000,54661000,69020000,79984000,81116000,85654000,103865000,108712000,108637000,113118000,113299000,122458000,117162000,157147000,177031000,132010000,175538000,183630000,168389000,203691000,223826000
53,Total Current Liabilities,71000000,61900000,53400000,54100000,57600000,70500000,68800000,55100000,60400000,70800000,72000000,91800000,103200000,110000000,80000000,86978000,82500000,99700000,114715000,127067000,130859000,127435000,209189000,219687000,168450000,181741000,171770000,188800000,191564000,234057000,251905000,221410000,289279000,282060000,277509000,310545000,330606000
54,Long-Term Debt,24000000,30500000,18200000,19000000,22500000,24600000,23000000,28900000,27500000,16600000,14700000,13300000,12300000,11900000,36300000,71806000,67381000,64350000,59915000,54463000,45834000,112541000,103726000,94082000,82114000,367094000,334046000,272333000,260667000,245000000,459959000,363836000,447832000,341311000,328394000,331796000,638357000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,19800000,24200000,29200000,29900000,32600000,33800000,30700000,9800000,12100000,14400000,17000000,16800000,22800000,28500000,36000000,47151000,56053000,61402000,70845000,76704000,75511000,100969000,100934000,36491000,44800000,49177000,30458000,17249000,49621000,26306000,24872000,34044000,9341000,7164000,9787000,10916000,33337000
57,Other Non-Current Liabilities,12200000,20800000,24500000,26700000,28700000,34800000,34700000,50800000,48100000,49300000,49300000,44400000,26700000,63500000,56900000,57283000,61260000,65251000,90552000,98265000,90756000,119822000,139919000,130425000,140464000,143126000,139367000,162660000,160071000,220796000,170954000,173418000,335796000,337958000,391430000,409336000,559708000
58,Total Non-Current Liabilities,56000000,75500000,71900000,75600000,83800000,93200000,88400000,89500000,87700000,80300000,81000000,74500000,61800000,103900000,129200000,176240000,184694000,191003000,221312000,229432000,212101000,333332000,344579000,260998000,267378000,559397000,503871000,452242000,470359000,492102000,655785000,571298000,792969000,686433000,729611000,752048000,1231402000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42632000,44639000,40706000
61,Total Liabilities,127000000,137400000,125300000,129700000,141400000,163700000,157200000,144600000,148100000,151100000,153000000,166300000,165000000,213900000,209200000,263218000,267194000,290703000,336027000,356499000,342960000,460767000,553768000,480685000,435828000,741138000,675641000,641042000,661923000,726159000,907690000,792708000,1082248000,968493000,1007120000,1062593000,1562008000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3569000,3569000,3569000,3569000,3569000,3569000,3569000,3569000,3569000,3569000,3569000,3569000,3569000,3569000,3569000,3569000,3569000,3569000,3569000,3569000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12600000,18841000,25386000,28626000,31187000,39248000,50887000,- -,- -,- -,- -,- -,- -,112135000,132055000,148401000,157643000,172681000,194953000,211806000,229127000,242693000,260121000
64,Retained Earnings,178000000,195600000,205800000,225900000,248500000,272300000,285300000,282400000,287300000,297000000,309700000,325900000,343500000,355900000,365100000,382426000,407577000,434693000,436690000,493979000,556709000,595853000,628480000,665248000,674019000,676195000,708306000,747953000,792206000,835126000,858553000,901415000,868675000,935577000,1012266000,1065789000,1050214000
65,Other Comprehensive Income/Loss,-63200000,-80100000,-96800000,-108400000,-111500000,-130100000,-141700000,-149800000,-153200000,-170200000,-188200000,-200400000,-199500000,-207100000,-215000000,-224155000,-236128000,-222905000,-239386000,-250725000,-10000000,28000000,36000000,-74000000,-46000000,-44000000,-103000000,-127000000,-78000000,-167000000,-208000000,-230000000,-172000000,-219000000,-214000000,-182397000,-149140000
66,Other Total Stockholders Equity,51100000,73500000,102700000,113700000,108700000,137300000,135600000,130600000,125700000,139200000,132100000,115900000,97400000,94000000,79800000,49353000,56669000,45079000,75798000,91540000,-218768000,- -,- -,- -,- -,- -,- -,-273702000,-283378000,-286287000,-295269000,-289500000,-297596000,-298070000,-305162000,-327756000,-330376000
67,Total Stockholders Equity,165900000,189000000,211700000,231200000,245700000,279500000,279200000,263200000,259800000,266000000,253600000,241400000,241400000,242800000,242500000,226465000,253504000,289062000,307858000,377611000,382397000,437853000,461531000,393766000,436616000,451368000,433666000,462955000,566452000,533809000,516496000,558165000,597601000,633882000,725800000,801898000,834388000
68,Total Liabilities And Stockholders Equity,292900000,326400000,337000000,360900000,387100000,443200000,436400000,407800000,407900000,417100000,406600000,407700000,406400000,456700000,451700000,489683000,520698000,579765000,643885000,734110000,725357000,898620000,1015299000,874451000,872444000,1192506000,1109307000,1103997000,1228375000,1259968000,1424186000,1350873000,1679849000,1602375000,1732920000,1864491000,2396396000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1007000,1359000,2784000,4682000,5745000,7749000,5895000,4801000,632000,3032000,4889000,5622000,6747000,8041000,- -
70,Total Liabilities & Equity,292900000,326400000,337000000,360900000,387100000,443200000,436400000,407800000,407900000,417100000,406600000,407700000,406400000,456700000,451700000,489683000,520698000,579765000,643885000,734110000,725357000,898620000,1016306000,875810000,875228000,1197188000,1115052000,1111746000,1234270000,1264769000,1424818000,1353905000,1684738000,1607997000,1739667000,1872532000,2396396000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/66570/000095013295000098/0000950132-95-000098-index.html,https://www.sec.gov/Archives/edgar/data/66570/000095013296000170/0000950132-96-000170-index.html,https://www.sec.gov/Archives/edgar/data/66570/000095013297000205/0000950132-97-000205-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/66570/000095013201500082/0000950132-01-500082-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/66570/000119312504041958/d10k.htm,https://www.sec.gov/Archives/edgar/data/66570/000119312505049299/d10k.htm,https://www.sec.gov/Archives/edgar/data/66570/000119312506046204/d10k.htm,https://www.sec.gov/Archives/edgar/data/66570/000119312507042686/d10k.htm,https://www.sec.gov/Archives/edgar/data/66570/000119312508043436/d10k.htm,https://www.sec.gov/Archives/edgar/data/66570/000119312509039023/0001193125-09-039023-index.html,https://www.sec.gov/Archives/edgar/data/66570/000119312510042969/0001193125-10-042969-index.html,https://www.sec.gov/Archives/edgar/data/66570/000119312511050159/d10k.htm,https://www.sec.gov/Archives/edgar/data/66570/000119312512072913/0001193125-12-072913-index.html,https://www.sec.gov/Archives/edgar/data/66570/000119312513067419/0001193125-13-067419-index.html,https://www.sec.gov/Archives/edgar/data/66570/000006657014000010/a10-kxmsa.htm,https://www.sec.gov/Archives/edgar/data/66570/000006657015000011/a2014-10xkxmsa.htm,https://www.sec.gov/Archives/edgar/data/66570/000006657016000068/0000066570-16-000068-index.html,https://www.sec.gov/Archives/edgar/data/66570/000006657017000011/0000066570-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/66570/000006657018000009/0000066570-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/66570/000006657019000010/0000066570-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/66570/000006657020000005/0000066570-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/66570/000006657021000016/0000066570-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/66570/000006657022000007/0000066570-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,29200000,18700000,2600000,10600000,15300000,18900000,23100000,21900000,18300000,15100000,23239000,31631000,35077000,65267000,71047000,81783000,63918000,67588000,70422000,43295000,38104000,69852000,90637000,88247000,88506000,70807000,91936000,26027000,124150000,136440000,120101000,21340000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,15000000,17900000,16800000,17300000,18500000,20000000,22400000,21500000,22400000,23400000,24557000,26471000,21525000,23208000,25496000,24345000,22147000,24363000,27647000,27362000,29192000,32866000,31702000,30764000,29921000,31684000,35273000,37877000,37852000,38020000,39674000,50317000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-3200000,-2000000,100000,-100000,100000,-600000,-2500000,7400000,7600000,3300000,3906000,9518000,4765000,4922000,7106000,2294000,-1932000,5661000,9645000,-5929000,3588000,8800000,213000,-3234000,-5388000,-1699000,14393000,-31320000,-4065000,1272000,-3322000,-38850000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5456000,5860000,7335000,7732000,10010000,10337000,9053000,7599000,9211000,11758000,12239000,13760000,6920000,18908000
77,Change in Working Capital,- -,- -,- -,- -,- -,3600000,-2300000,-8100000,-13100000,2300000,-9900000,-20000000,-20200000,2800000,3900000,-8925000,21011000,48058000,25283000,62066000,-24226000,43057000,-1563000,-29773000,7487000,30073000,-8569000,-12331000,34654000,-45590000,-10690000,-1726000,81622000,41545000,41291000,27879000,-12086000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6907000,33050000,-10191000,-217000,2346000,-13171000,-23480000,-21959000,13239000,-6384000,-10075000,- -,7677000,4374000
