,https://roic.ai/company/CSGS,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.0060,-0.6199,0.2253,0.3113,0.3643,0.3816,0.1656,-0.0900,0.1611,0.2026,0.2257,0.2000,0.1892,0.1493,0.1353,0.1310,0.1276,0.1026,0.1007,0.1503,0.1743,0.1338,0.1199,0.1265,0.1066,0.1187
19,Total Other Income Expenses (Gains),800000,1600000,-7300000,-4300000,-127000,1467000,-13613000,-8899000,-16141000,-3472000,14498000,9624000,4593000,-11378000,-40669000,-20313000,-19350000,-15185000,-14168000,-16799000,-32630000,-17975000,-17945000,-20386000,-20200000,-23240000
20,Income Before Tax,- -,- -,46000000,96000000,145203000,183442000,87544000,-48460000,69206000,72961000,100969000,93461000,93892000,63369000,33673000,75972000,77224000,61519000,61522000,96341000,99999000,87710000,86987000,105723000,85356000,100946000
21,Income Before Tax Ratio,- -,- -,0.1944,0.2980,0.3640,0.3846,0.1433,-0.1102,0.1306,0.1934,0.2636,0.2229,0.1989,0.1266,0.0613,0.1034,0.1020,0.0823,0.0819,0.1280,0.1314,0.1111,0.0994,0.1061,0.0862,0.0965
22,Income Tax expense (Gain),- -,- -,-39600000,36100000,54734000,69521000,42926000,-22183000,22022000,26219000,38408000,33298000,32444000,21507000,11244000,33690000,28345000,10168000,24563000,33774000,37117000,26346000,20857000,22953000,26645000,28615000
23,Net Income,-3800000,-102900000,85600000,59900000,90469000,113921000,44618000,-26277000,47184000,53229000,59770000,60771000,61771000,43333000,22429000,42282000,48879000,51351000,36959000,62567000,62882000,61364000,66130000,82770000,58711000,72331000
24,Net Income ratio,-0.0287,-0.5990,0.3618,0.1859,0.2268,0.2389,0.0730,-0.0598,0.0891,0.1411,0.1560,0.1449,0.1309,0.0865,0.0408,0.0575,0.0646,0.0687,0.0492,0.0831,0.0826,0.0777,0.0756,0.0830,0.0593,0.0691
25,EPS,-0.07,-2.02,0.83,1.16,1.73,2.15,0.86,-0.51,0.93,1.11,1.29,1.53,1.86,1.26,0.68,1.29,1.52,1.60,1.14,2.01,2.03,1.89,2.04,2.58,1.83,2.25
26,EPS Diluted,-0.07,-2.02,0.81,1.10,1.60,2.08,0.85,-0.51,0.92,1.09,1.27,1.52,1.85,1.26,0.67,1.28,1.51,1.56,1.10,1.87,1.90,1.87,2.01,2.55,1.82,2.25
27,Weighted Average Shares Outstanding,49976488,50994066,102396000,51675000,52204000,52891000,52116000,51432000,50477000,47851000,46464000,39670000,33207000,34325000,33080000,32813000,32159000,32117000,32449000,31051000,30968000,32415000,32488000,32051000,32010000,31756000
28,Weighted Average Shares Outstanding Diluted,49976488,50994066,105982000,54660000,56680000,54639000,52525000,51432000,51223000,48571000,47102000,40021000,33477000,34449000,33365000,33022000,32476000,32873000,33736000,33438000,33014000,32865000,32855000,32465000,32278000,31960000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1005757/000092735699000500/0000927356-99-000500-index.html,https://www.sec.gov/Archives/edgar/data/1005757/000092735600000549/0000927356-00-000549-index.html,https://www.sec.gov/Archives/edgar/data/1005757/000104596901000367/0001045969-01-000367-index.html,https://www.sec.gov/Archives/edgar/data/1005757/000095010902001811/0000950109-02-001811-index.html,https://www.sec.gov/Archives/edgar/data/1005757/000104596903000815/0001045969-03-000815-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000119312504040716/0001193125-04-040716-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000119312505050996/0001193125-05-050996-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000119312506053833/0001193125-06-053833-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000119312507044066/0001193125-07-044066-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000119312508042078/0001193125-08-042078-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000119312509043708/0001193125-09-043708-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000119312510037685/0001193125-10-037685-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000119312511059556/0001193125-11-059556-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000119312512116620/0001193125-12-116620-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000119312513096335/0001193125-13-096335-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000156459014000442/0001564590-14-000442-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000156459015001091/0001564590-15-001091-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000156459016013598/0001564590-16-013598-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000156459017002391/0001564590-17-002391-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000156459018003012/0001564590-18-003012-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000156459019003884/0001564590-19-003884-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000156459020005691/0001564590-20-005691-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000156459021006874/0001564590-21-006874-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000095017022001463/0000950170-22-001463-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6100000,20400000,39600000,48700000,32751000,30165000,94424000,105397000,140751000,346113000,240687000,123416000,83886000,163489000,197858000,146733000,136473000,82686000,81712000,132631000,126351000,122243000,139277000,156548000,188699000,205635000
32,Short-Term Investments,- -,- -,- -,- -,10982000,53434000,1013000,- -,16727000,46111000,174803000,9416000,57331000,34888000,17692000,12097000,32848000,128151000,120088000,108305000,150147000,139117000,23603000,26109000,51598000,28037000
33,Cash and Short-Term Investments,6100000,20400000,39600000,48700000,43733000,83599000,95437000,105397000,157478000,392224000,415490000,132832000,141217000,198377000,215550000,158830000,169321000,210837000,201800000,240936000,276498000,261360000,162880000,182657000,240297000,233672000
34,Net Receivables,39700000,48600000,64500000,75800000,133208000,104959000,189876000,148733000,156086000,116504000,115575000,122298000,129488000,119064000,194851000,214924000,232271000,220691000,234659000,224002000,251689000,264557000,279774000,281805000,266575000,286533000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,2700000,3100000,4100000,5700000,12013000,15941000,18923000,55907000,21123000,26710000,14563000,17056000,17223000,21938000,31093000,36206000,39343000,43847000,41674000,53288000,31751000,28349000,156913000,204620000,191473000,227994000
37,Total Current Assets,48500000,72100000,108200000,130200000,188954000,204499000,304236000,310037000,334687000,535438000,545628000,272186000,287928000,339379000,441494000,409960000,440935000,475375000,478133000,518226000,559938000,554266000,599567000,669082000,698345000,748199000
38,PP&E,13100000,17200000,24700000,26500000,36630000,42912000,46442000,38218000,34476000,21143000,23680000,32656000,42594000,56799000,52257000,41154000,39429000,35061000,38326000,35992000,33116000,44651000,81813000,179276000,192515000,159614000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14228000,60745000,103971000,107052000,209164000,220013000,233365000,233599000,225269000,219724000,201094000,210080000,255816000,259164000,272322000,321330000
40,Intangible Assets,35500000,78600000,67400000,58000000,54262000,13461000,283870000,276657000,268543000,42284000,43749000,40175000,44079000,53564000,147446000,128369000,113117000,98756000,91635000,74833000,71102000,70532000,139145000,138377000,121703000,86964000
41,Intangible Assets,35500000,78600000,67400000,58000000,54262000,13461000,283870000,276657000,268543000,42284000,57977000,100920000,148050000,160616000,356610000,348382000,346482000,332355000,316904000,294557000,272196000,280612000,394961000,397541000,394025000,408294000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,40394000,37163000,53327000,39478000,33275000,19617000,9453000,- -,- -,9677000,1008000,2596000,7447000,8890000,8382000,14218000,14057000,11087000,9392000,10205000,8584000
44,Other Non-Current Assets,17800000,11900000,71200000,60300000,52243000,72780000,59606000,46536000,33223000,6236000,6594000,7173000,6642000,4920000,19660000,14393000,17499000,18742000,17475000,20076000,12411000,10948000,26934000,27739000,36910000,62458000
45,Total Non-Current Assets,66400000,107700000,163300000,144800000,143135000,169547000,427081000,414738000,375720000,102938000,107868000,150202000,197286000,222335000,438204000,404937000,406006000,393605000,381595000,359007000,331941000,350268000,514795000,613948000,633655000,638950000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,114900000,179800000,271500000,275000000,332089000,374046000,731317000,724775000,710407000,638376000,653496000,422388000,485214000,561714000,879698000,814897000,846941000,868980000,859728000,877233000,891879000,904534000,1114362000,1283030000,1332000000,1387149000
48,Accounts Payable,12600000,11800000,10500000,9500000,14850000,11408000,24810000,21291000,22412000,17306000,15509000,18429000,22943000,26856000,25381000,27198000,30473000,33376000,37052000,43392000,35118000,38420000,45386000,32704000,29834000,35397000
49,Short-Term Debt,10000000,6800000,19100000,21700000,25436000,31500000,16370000,45137000,- -,- -,- -,- -,- -,- -,69528000,27000000,15000000,15000000,22500000,149577000,49426000,22500000,7500000,32755000,36714000,260770000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2028000,2334000,2116000,2814000,984000,8962000,822000,1216000,218000,2806000,6627000,398000
51,Deferred Revenue,- -,- -,- -,- -,- -,9850000,45411000,52655000,53250000,9575000,17586000,17480000,11487000,26307000,56184000,44824000,81498000,77562000,75795000,75601000,78980000,72938000,77125000,83781000,92349000,97294000
52,Other Current Liabilities,21400000,50000000,71600000,66900000,67351000,70952000,97863000,121312000,86350000,67881000,58416000,55294000,68823000,65818000,119316000,98363000,84761000,80868000,75800000,91549000,128346000,88735000,220380000,269453000,261118000,301641000
53,Total Current Liabilities,44000000,68600000,101200000,98100000,107637000,123710000,184454000,240395000,162012000,94762000,91511000,91203000,103253000,118981000,270409000,197385000,211732000,206806000,211147000,360119000,291870000,222593000,350391000,418693000,420015000,695102000
54,Long-Term Debt,22500000,128300000,109100000,59300000,32820000,- -,253630000,183788000,230000000,230000000,230000000,230000000,200300000,163336000,305159000,282744000,259698000,250050000,233331000,135000000,326993000,309236000,352326000,346509000,337154000,207287000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20498000,16103000,8631000,6504000,9221000,9648000,9828000,6694000,12346000,17527000,18552000,17275000,19599000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11190000,42198000,34201000,28188000,21674000,20274000,20445000,9237000,99000,4584000,8205000,6376000,5109000,7752000
57,Other Non-Current Liabilities,6400000,16000000,200000,700000,463000,288000,11128000,9807000,10325000,15284000,14251000,18661000,20705000,4591000,16748000,23235000,20694000,16525000,17434000,17204000,14863000,13029000,24889000,96238000,130052000,17165000
58,Total Non-Current Liabilities,28900000,144300000,109300000,60000000,33283000,288000,264758000,193595000,240325000,245284000,244251000,248661000,232195000,230623000,372211000,342798000,308570000,296070000,280858000,171269000,348649000,339195000,402947000,467675000,489590000,251803000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101378000,118577000,93338000
61,Total Liabilities,72900000,212900000,210500000,158100000,140920000,123998000,449212000,433990000,402337000,340046000,335762000,339864000,335448000,349604000,642620000,540183000,520302000,502876000,492005000,531388000,640519000,561788000,753338000,886368000,909605000,946905000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,500000,543000,575000,577000,593000,595000,601000,616000,622000,629000,636000,641000,645000,653000,658000,667000,672000,672000,689000,693000,696000,700000,705000
64,Retained Earnings,-68200000,-171000000,-85400000,-25500000,64947000,178868000,214971000,177457000,224641000,277870000,337640000,399908000,461679000,479284000,501713000,543995000,592874000,629011000,644806000,675431000,714846000,749438000,795127000,848623000,876402000,916060000
65,Other Comprehensive Income/Loss,-10700000,-16300000,-23800000,-31900000,-42457000,-56465000,-2850000,2062000,8075000,71000,-827000,-420000,-678000,-909000,-25000,-3791000,-142000,1617000,-13380000,-26385000,-45372000,-28822000,-42935000,-39503000,-31138000,-38353000
66,Other Total Stockholders Equity,120900000,154200000,170200000,173800000,168136000,127070000,69407000,110673000,74759000,19788000,-19695000,-317586000,-311864000,-266901000,-265251000,-266135000,-266746000,-265182000,-264370000,-303873000,-418786000,-378559000,-391861000,-413154000,-423569000,-441803000
67,Total Stockholders Equity,42000000,-33100000,61000000,116900000,191169000,250048000,282105000,290785000,308070000,298330000,317734000,82524000,149766000,212110000,237078000,274714000,326639000,366104000,367723000,345845000,251360000,342746000,361024000,396662000,422395000,436609000
68,Total Liabilities And Stockholders Equity,114900000,179800000,271500000,275000000,332089000,374046000,731317000,724775000,710407000,638376000,653496000,422388000,485214000,561714000,879698000,814897000,846941000,868980000,859728000,877233000,891879000,904534000,1114362000,1283030000,1332000000,1383514000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3635000
70,Total Liabilities & Equity,114900000,179800000,271500000,275000000,332089000,374046000,731317000,724775000,710407000,638376000,653496000,422388000,485214000,561714000,879698000,814897000,846941000,868980000,859728000,877233000,891879000,904534000,1114362000,1283030000,1332000000,1387149000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1005757/000092735699000500/0000927356-99-000500-index.html,https://www.sec.gov/Archives/edgar/data/1005757/000092735600000549/0000927356-00-000549-index.html,https://www.sec.gov/Archives/edgar/data/1005757/000104596901000367/0001045969-01-000367-index.html,https://www.sec.gov/Archives/edgar/data/1005757/000095010902001811/0000950109-02-001811-index.html,https://www.sec.gov/Archives/edgar/data/1005757/000104596903000815/0001045969-03-000815-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000119312504040716/0001193125-04-040716-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000119312505050996/0001193125-05-050996-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000119312506053833/0001193125-06-053833-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000119312507044066/0001193125-07-044066-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000119312508042078/0001193125-08-042078-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000119312509043708/0001193125-09-043708-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000119312510037685/0001193125-10-037685-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000119312511059556/0001193125-11-059556-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000119312512116620/0001193125-12-116620-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000119312513096335/0001193125-13-096335-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000156459014000442/0001564590-14-000442-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000156459015001091/0001564590-15-001091-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000156459016013598/0001564590-16-013598-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000156459017002391/0001564590-17-002391-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000156459018003012/0001564590-18-003012-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000156459019003884/0001564590-19-003884-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000156459020005691/0001564590-20-005691-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000156459021006874/0001564590-21-006874-index.htm,https://www.sec.gov/Archives/edgar/data/1005757/000095017022001463/0000950170-22-001463-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3800000,-102900000,85600000,59900000,90469000,113921000,44618000,-26277000,47184000,53229000,59770000,60771000,61771000,43333000,22429000,42282000,48879000,51351000,36959000,62567000,62882000,61364000,66130000,82770000,58711000,72331000
74,Depreciation and Amortization,27300000,29900000,20900000,25200000,19390000,24546000,39034000,41681000,42401000,38820000,27550000,31872000,33027000,34394000,41866000,67608000,66464000,56452000,47637000,44057000,41242000,42881000,62632000,67122000,66873000,72801000
75,Deferred Income Tax,-1400000,-5900000,-50500000,6400000,4450000,8576000,-600000,2018000,17887000,-1947000,15685000,14319000,17410000,18492000,3275000,3977000,-10707000,-1764000,41000,-16106000,-2811000,7112000,4913000,-77000,-1033000,2388000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12632000,12338000,12152000,13431000,14796000,16655000,21130000,22715000,21049000,19358000,19919000,25237000,21400000
77,Change in Working Capital,2000000,-1000000,3500000,25100000,49217000,-528000,38993000,-50140000,103033000,268001000,13441000,-273134000,3692000,35723000,-49313000,41490000,16628000,39366000,-1583000,-108879000,109961000,63605000,-82497000,1213000,27941000,-39006000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4295000,-31552000,-9481000,-2319000,-14326000,1831000,-23243000,-6421000,-138000,-4015000,14659000,-10702000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,4500000,3500000,7000000,32100000,81317000,80789000,119782000,69642000,172675000,440676000,454117000,180983000,184675000,220398000,171085000,212575000,229203000,268569000,266986000,158107000,268068000,331673000,249176000,250389000,278330000,-12697000
82,Other Non-Cash Items,5000000,111300000,-12200000,-14500000,-96762000,33576000,-33921000,93071000,-91237000,-255529000,1704000,281551000,-1253000,8485000,90714000,-106550000,-7218000,-33567000,-16058000,134190000,-149803000,-68816000,72805000,-19871000,-4709000,10309000
83,Cash Provided by Operating Activities,29100000,31400000,47300000,102100000,66764000,180091000,88124000,60353000,119268000,102574000,118150000,115379000,114647000,153059000,121309000,60959000,127477000,126634000,83651000,136959000,84186000,127195000,143341000,151076000,173020000,140223000
84,CAPEX,-8200000,-9400000,-23100000,-12000000,-22173000,-20417000,-12666000,-9021000,-9655000,-21510000,-12651000,-27707000,-21577000,-56736000,-14277000,-22197000,-37850000,-37168000,-31585000,-26863000,-21850000,-41122000,-57104000,-37319000,-29397000,-26562000
85,Acquisitions Net,- -,- -,- -,- -,-1100000,-24373000,-270567000,-2613000,-4300000,-6639000,-32941000,-65934000,-54446000,-6738000,-259502000,- -,-19085000,1604000,1130000,-1300000,8850000,- -,-144791000,-17194000,-11491000,-63626000
86,Purchases of Investments,- -,- -,- -,- -,-11543000,-106337000,-4201000,-7763000,-25494000,-88058000,-283082000,-209436000,-87093000,-57036000,-69380000,-46931000,-62742000,-183575000,-190427000,-181553000,-196967000,-182247000,-75022000,-54258000,-81824000,-66970000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,63861000,56568000,8795000,8810000,66286000,156200000,379008000,36245000,79700000,81900000,43450000,42063000,89688000,197466000,192994000,157825000,193465000,190778000,52135000,56454000,90452000
88,Other Investing Activites,-6500000,-108000000,-4000000,-24700000,- -,- -,-3387000,-1767000,- -,239760000,7376000,- -,- -,-16423000,-14023000,- -,-4629000,-7092000,-5600000,-8018000,-7587000,-12180000,-57104000,-37319000,- -,-26562000
89,Cash Used for Investing Activites,-14700000,-117400000,-27100000,-36700000,-34816000,-87266000,-234253000,-12369000,-30639000,189839000,-165098000,75931000,-126871000,-40810000,-275282000,-25678000,-77614000,-129451000,-23416000,-16722000,-52142000,-29904000,-86139000,-56636000,-66258000,-66706000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27706000,-152115000,-71736000,-190000000,-15000000,-15000000,-127500000,-223176000,-49771000,-125625000,-7500000,-10313000,-128438000
91,Common Stock Issued,44900000,1500000,5600000,10900000,26324000,40991000,2784000,1670000,6926000,5316000,11528000,2150000,1175000,1477000,1405000,1486000,1896000,1591000,1394000,1547000,1547000,1776000,2311000,2227000,2523000,2610000
92,Common Stock Repurchased,- -,- -,- -,-20200000,-51081000,-109461000,-18919000,-207000,-55898000,-81320000,-66600000,-311623000,-5777000,-6562000,-34030000,-14365000,-16558000,-15478000,-25138000,-65027000,-25196000,-30649000,-34726000,-30918000,-38123000,-42253000
93,Dividends Paid,-4500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14454000,-20530000,-22238000,-24110000,-26850000,-27979000,-29126000,-31056000,-32587000
94,Other Financing Activites,-52500000,99200000,-6700000,-46800000,-22634000,-26756000,230135000,-42152000,-7138000,-87000,3030000,892000,-22704000,145000,371148000,623000,146267000,-2046000,963000,148614000,227985000,- -,148510000,-12911000,- -,167277000
95,Cash Used/Provided by Financing Activities,-12100000,100700000,-1100000,-56100000,-47391000,-95226000,214000000,-40689000,-56110000,-76091000,-52042000,-308581000,-27306000,-32646000,186408000,-83992000,-58395000,-45387000,-58311000,-64604000,-42950000,-105494000,-37509000,-78228000,-76969000,-33391000
96,Effect of Forex Changes on Cash,200000,-400000,- -,-200000,-482000,-185000,-3612000,3678000,2835000,-3760000,- -,- -,- -,- -,1934000,-2414000,-1728000,-2857000,-2898000,-4714000,4626000,4095000,-2659000,1059000,2358000,-2954000
97,Net Change In Cash,- -,- -,- -,9100000,-15925000,-2586000,64259000,10973000,35354000,212562000,-105426000,-117271000,-39530000,79603000,34369000,-51125000,-10260000,-51061000,-974000,50919000,-6280000,-4108000,17034000,17271000,32151000,37172000
98,Cash at the End of Period,- -,- -,- -,48700000,32751000,30165000,94424000,105397000,140751000,346113000,240687000,123416000,83886000,163489000,197858000,146733000,136473000,82686000,81712000,132631000,126351000,122243000,139277000,156548000,188699000,391902000
99,Cash at the Beginning of Period,3600000,6100000,20400000,39600000,48676000,32751000,30165000,94424000,105397000,133551000,346113000,240687000,123416000,83886000,163489000,197858000,146733000,133747000,82686000,81712000,132631000,126351000,122243000,139277000,156548000,354730000
100,Free Cash Flow,20900000,22000000,24200000,90100000,44591000,159674000,75458000,51332000,109613000,81064000,105499000,87672000,93070000,96323000,107032000,38762000,89627000,89466000,52066000,110096000,62336000,86073000,86237000,113757000,143623000,113661000
