,https://roic.ai/company/MGEE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26400000,-19200000,-21900000,-21600000,-30800000,-51000000,-73606000,-41966000,-78282000,-82970000,-99222000,-85771000,-92575000,-136258000,-105777000,-77929000,-60082000,-65176000,-98438000,-119057000,-92676000,-72030000,-83659000,-108131000,-212197000,-164036000,-203139000,-153169000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3701000,-810000,-3160000,-2419000,-1660000,-2185000,-1053000,-2958000,-11081000,-5926000,-7813000,-5601000,-4027000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114000,161000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2400000,-4200000,-4700000,-6500000,-10000000,-10800000,-11235000,17433000,-8095000,-10504000,-993000,13588000,-1866000,1467000,1495000,-76388000,-56736000,-63191000,-98931000,-120252000,-93973000,-72260000,-83868000,-105280000,-212402000,-164544000,-204811000,-152948000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28800000,-31400000,-26600000,-28100000,-40800000,-61800000,-84841000,-24533000,-86377000,-93474000,-100215000,-72183000,-94441000,-134791000,-104282000,-79975000,-57385000,-66351000,-101353000,-121922000,-96158000,-73313000,-86826000,-116361000,-218328000,-172357000,-210412000,-156975000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-60000000,-16527000,-25000000,-30668000,-43012000,-4103000,-4182000,-4267000,-34358000,-24453000,-4553000,-38959000,-4771000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,8964000,10879000,13597000,23162000,63154000,2259000,17169000,32786000,30997000,6275000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79635000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000,-5300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-119000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20500000,-20300000,-20500000,-20700000,-20900000,-21000000,-21588000,-22341000,-23170000,-24137000,-25943000,-28054000,-28513000,-30295000,-31780000,-33693000,-34370000,-35026000,-35951000,-37107000,-38429000,-40043000,-41775000,-43682000,-45762000,-47842000,-51729000,-54788000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,15900000,-2500000,1300000,4800000,-3600000,15500000,52050000,-40575000,39798000,27182000,2231000,48097000,4418000,56500000,30670000,50082000,-13345000,29664000,27156000,84230000,6870000,-8018000,-70000,73403000,108338000,35162000,70247000,50803000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4800000,-28100000,-19200000,-15900000,-24500000,-3800000,39426000,-52037000,30225000,26207000,39442000,22183000,-6926000,58991000,29887000,-37336000,-64242000,-30362000,-39463000,4111000,-35662000,-52243000,-46112000,-4637000,38123000,-17233000,59194000,-8756000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,7300000,-8700000,2500000,-3200000,5200000,-5400000,2359000,-1886000,577000,1335000,1541000,-173000,-328000,786000,317000,598000,2406000,34059000,5188000,22456000,-3058000,15629000,14575000,11993000,-27165000,-59115000,21225000,-28204000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,11500000,2800000,5300000,2100000,7300000,1900000,4307000,2421000,2998000,2020000,3561000,3331000,3003000,3789000,4106000,4704000,7110000,41169000,46357000,68813000,65755000,81384000,95959000,107952000,84929000,25814000,47039000,18835000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,4200000,11500000,2800000,5300000,2100000,7300000,1948000,4307000,2421000,685000,2020000,3504000,3331000,3003000,3789000,4106000,4704000,7110000,41169000,46357000,68813000,65755000,81384000,95959000,112094000,84929000,25814000,47039000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,14600000,31600000,26400000,19200000,39700000,9300000,-25832000,32718000,-21553000,-14368000,-36908000,-35944000,8464000,-59672000,-31065000,39980000,63951000,65596000,47566000,21210000,36086000,69155000,63854000,24860000,-59157000,-33561000,-30696000,-15642000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1161728/000116172803000008/0001161728-03-000008-index.html,https://www.sec.gov/Archives/edgar/data/1161728/000116172804000004/f10k2003.htm,https://www.sec.gov/Archives/edgar/data/1161728/000116172805000004/form10k_2004.htm,https://www.sec.gov/Archives/edgar/data/1161728/000116172806000006/f10k20051231.htm,https://www.sec.gov/Archives/edgar/data/1161728/000116172807000003/f10k2006.htm,https://www.sec.gov/Archives/edgar/data/1161728/000116172808000004/f10k_2007.htm,https://www.sec.gov/Archives/edgar/data/61339/000006133909000001/0000061339-09-000001-index.html,https://www.sec.gov/Archives/edgar/data/61339/000006133910000003/0000061339-10-000003-index.html,https://www.sec.gov/Archives/edgar/data/1161728/000116172811000005/f10k_20101231.htm,https://www.sec.gov/Archives/edgar/data/1161728/000116172812000004/0001161728-12-000004-index.html,https://www.sec.gov/Archives/edgar/data/61339/000116172813000001/0001161728-13-000001-index.html,https://www.sec.gov/Archives/edgar/data/1161728/000116172814000004/f10k_2013.htm,https://www.sec.gov/Archives/edgar/data/1161728/000116172815000003/f10k_2014.htm,https://www.sec.gov/Archives/edgar/data/1161728/000116172816000028/0001161728-16-000028-index.html,https://www.sec.gov/Archives/edgar/data/1161728/000116172817000004/0001161728-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1161728/000116172818000003/0001161728-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1161728/000116172819000005/0001161728-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1161728/000116172820000016/0001161728-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/1161728/000116172821000013/0001161728-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1161728/000095017022001709/0000950170-22-001709-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
