,https://roic.ai/company/SLGD,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,2700000,2200000,1100000,600000,2500000,300000,4600000,9700000,5461800,-357000,10320700,-3215700,520800,-301800,-442300,2109000,727900,-40100,666800,-2618100,-284500,-602100,-350900,295800,105800,-656900,953100,2340100,2465500,3685400,8425300,3746000,-352000,-470000,-9906000
16,EBITDA ratio,0.1636,0.0936,0.0394,0.0226,0.1131,0.0102,0.1217,0.1810,0.1045,-0.0081,0.2045,-0.0779,0.0147,-0.0105,-0.0183,0.0845,0.0297,-0.0018,0.0276,-0.1622,-0.0159,-0.0378,-0.0247,0.0205,0.0068,-0.0410,0.0494,0.0961,0.0845,0.1046,0.1997,0.1011,-0.0124,-0.0155,-0.5084
17,Operating Income,2800000,1600000,300000,1200000,2800000,1200000,5200000,10300000,5383300,2101600,9787300,-3331500,442900,-2032400,-1725500,704400,-34600,-766100,-46100,-3430000,-960200,-1185400,-919400,-358700,-555700,-1317600,784100,2114300,2277800,3214800,7625400,2911000,-1351000,-2253000,-8857000
18,Operating Income ratio,0.1697,0.0681,0.0108,0.0451,0.1267,0.0407,0.1376,0.1922,0.1030,0.0476,0.1939,-0.0808,0.0125,-0.0710,-0.0714,0.0282,-0.0014,-0.0338,-0.0019,-0.2125,-0.0536,-0.0745,-0.0648,-0.0249,-0.0356,-0.0821,0.0406,0.0869,0.0780,0.0913,0.1808,0.0786,-0.0475,-0.0744,-0.4545
19,Total Other Income Expenses (Gains),-600000,-500000,100000,-800000,-400000,-1000000,-300000,-600000,-829500,-3588300,-1302300,-1201000,-1203900,912900,285100,387500,-155000,-135300,-152000,-154400,-350600,-311600,-278200,-136300,-78100,-54200,-46000,23000,-2400,-112200,-135900,-65000,181000,8000,-373000
20,Income Before Tax,2200000,1100000,- -,400000,2400000,200000,4900000,9700000,4553800,-1486700,8485000,-4532500,-761000,- -,- -,1091900,-189600,-901400,-198100,-3584400,-1310800,-1497000,-1197600,-495000,-633800,-1371800,738100,2137300,2275400,3102600,7489500,2846000,-1170000,-2245000,-9230000
21,Income Before Tax Ratio,0.1333,0.0468,- -,0.0150,0.1086,0.0068,0.1296,0.1810,0.0871,-0.0337,0.1681,-0.1099,-0.0214,- -,- -,0.0437,-0.0077,-0.0398,-0.0082,-0.2220,-0.0732,-0.0941,-0.0845,-0.0344,-0.0406,-0.0855,0.0383,0.0878,0.0780,0.0881,0.1775,0.0768,-0.0411,-0.0742,-0.4737
22,Income Tax expense (Gain),500000,300000,- -,200000,800000,100000,2000000,3800000,1730400,-553000,3154400,-1758400,-256500,- -,- -,-480100,- -,1700,- -,2200,- -,- -,- -,- -,- -,- -,94200,43900,-2504500,1248100,2827100,619000,-513000,-694000,-1008000
23,Net Income,1700000,800000,-300000,200000,1600000,400000,2900000,5900000,2823400,-910900,6081500,-2774100,-504500,-2260900,-1725500,1572000,-189600,-903100,-198100,-3586600,-1310800,-1497000,-1197600,-495000,-633800,-1371800,643900,2093400,4779900,1854500,4662400,2227000,-657000,-1551000,-11091000
24,Net Income ratio,0.1030,0.0340,-0.0108,0.0075,0.0724,0.0136,0.0767,0.1101,0.0540,-0.0206,0.1205,-0.0672,-0.0142,-0.0790,-0.0714,0.0630,-0.0077,-0.0399,-0.0082,-0.2222,-0.0732,-0.0941,-0.0845,-0.0344,-0.0406,-0.0855,0.0334,0.0860,0.1638,0.0526,0.1105,0.0601,-0.0231,-0.0512,-0.5692
25,EPS,0.20,0.09,-0.04,0.02,0.14,0.04,0.32,0.60,0.28,-0.09,0.60,-0.27,-0.05,-0.22,-0.17,0.15,-0.02,-0.09,-0.02,-0.34,-0.12,-0.14,-0.11,-0.05,-0.06,-0.13,0.06,0.18,0.41,0.16,0.39,0.18,-0.05,-0.12,-0.88
26,EPS Diluted,0.20,0.09,-0.04,0.02,0.14,0.04,0.30,0.57,0.28,-0.09,0.59,-0.27,-0.05,-0.22,-0.17,0.15,-0.02,-0.09,-0.02,-0.34,-0.12,-0.14,-0.11,-0.05,-0.06,-0.13,0.06,0.18,0.40,0.15,0.38,0.18,-0.05,-0.12,-0.88
27,Weighted Average Shares Outstanding,8500000,8888889,7500000,10000000,11428571,10000000,9062500,9833333,10252700,10030900,10069500,10103100,10103100,10103100,10115200,10153100,10209200,10404500,10484600,10510500,10543400,10621300,10779400,10820400,10898800,10934945,11251637,11507944,11634515,11735202,11852271,12132000,12442000,12635000,12635000
28,Weighted Average Shares Outstanding Diluted,8500000,8888889,7500000,10000000,11428571,10000000,9666667,10350877,10252700,10030900,10200900,10103100,10103100,10103100,10115200,10153100,10209200,10404500,10484600,10510500,10543400,10621300,10779400,10820400,10898800,10934945,11347418,11781839,11916038,11971249,12267240,12581000,12442000,12635000,12635000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/88000/000091205702011836/0000912057-02-011836-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000104746903013385/0001047469-03-013385-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000104746904007490/0001047469-04-007490-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000104746905007163/0001047469-05-007163-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000095013406005168/0000950134-06-005168-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000103570407000210/0001035704-07-000210-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000103570408000120/0001035704-08-000120-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000119312509055630/0001193125-09-055630-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000119312510072926/0001193125-10-072926-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000119312511081248/0001193125-11-081248-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000119312512142487/0001193125-12-142487-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000119312513133774/0001193125-13-133774-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000156459014001031/0001564590-14-001031-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000156459015002120/0001564590-15-002120-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000156459016015579/0001564590-16-015579-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000156459017005736/0001564590-17-005736-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000156459018007324/0001564590-18-007324-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000156459019008533/0001564590-19-008533-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000156459020011280/0001564590-20-011280-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000156459021016166/0001564590-21-016166-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000156459022012994/0001564590-22-012994-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1220800,2786400,3498600,3354600,2260700,2804100,1483300,909900,654100,480700,575900,253900,3126200,5896600,7165100,2097300,4113800,6232000,1094000,5000,770000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2084500,1573000,305300,54200,51900,51100,50400,4500,4300,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3305300,4359400,3803900,3408800,2312600,2855200,1533700,914400,658400,480700,575900,253900,3126200,5896600,7165100,2097300,4113800,6232000,1094000,5000,770000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,453600,1832500,1144000,1476600,1688400,799200,1037400,570300,314400,836400,447900,969200,1182300,1044800,1014700,3463400,3104200,3555000,3400000,5047000,3836000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4041700,2606600,3122600,2940300,3184600,3291400,3054500,2754500,1984600,1681500,2019200,1975800,3211200,2689700,4698600,5641300,8786700,7817000,7841000,3988000,5677000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,944900,1655100,781400,945600,326900,161600,238100,120700,142300,205000,133400,139100,269200,346000,227200,319600,285100,546000,939000,708000,936000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8745500,10453600,8851900,8771300,7512500,7107400,5863700,4359900,3099700,3203600,3176400,3338000,7788900,9977100,13105600,11521600,16289800,18150000,13274000,9748000,11219000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16289000,15581400,14909300,14349600,13725200,13159700,12624000,12081900,11554100,11062400,10632100,467400,518200,400800,430000,578400,908800,971000,312000,3003000,2742000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1520600,1520600,1521000,3230000,5280000,1710000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6769100,6148400,5528000,8719000,14703000,5160000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8289700,7669000,7049000,11949000,19983000,6870000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,658000,684000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2556200,1392600,384200,234000,556000,784000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55000,44200,33400,22600,11800,59700,55400,51100,110000,91000,68400,8990400,51000,51000,51000,51000,49100,71000,- -,38000,38000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16344000,15625600,15600700,15056200,13737000,13219400,12679400,12133000,11664100,11153400,10700500,9457800,569200,451800,3037200,10311700,9011100,8325000,12817000,23808000,9650000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25089500,26079200,24452600,23827500,21249500,20326800,18543100,16492900,14763800,14357000,13876900,12795800,8358100,10428900,16142800,21833300,25300900,26475000,26091000,33556000,20869000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2941100,1698100,1256900,1795700,1809300,1893600,1560300,1348800,1109900,983300,1442700,1371600,860900,616300,1238000,1939400,1655900,1800000,1809000,1799000,2647000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,789000,830000,878000,1707000,1526000,191600,204900,273600,319600,330200,340800,352600,- -,- -,- -,800000,800000,- -,- -,1000000,1251000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,320000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1939400,1879600,1658800,1464200,1330400,1283500,1256700,1044900,948900,1364400,1314200,1958200,586700,700100,809000,964800,1301300,593000,619000,612000,747000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5669500,4407700,3793700,4966900,4665700,3368700,3021900,2667300,2378400,2677900,3097700,3682400,1447600,1316400,2047000,3704200,3757200,2393000,2428000,3411000,4645000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4515300,3685400,2807300,1893000,938400,4875500,4671600,4371300,4034300,3704100,3363400,3010700,- -,- -,- -,1887300,362400,- -,- -,4521000,4656000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1259100,1225600,1183000,1140000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46000,3159000,27000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5774400,4911000,3990300,3033000,938400,4875500,4671600,4371300,4034300,3704100,3363400,3010700,- -,- -,- -,1887300,362400,- -,46000,7680000,4683000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,340900,- -,- -,- -,- -,- -,- -,- -,- -,216000,3281000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11443900,9318700,7784000,7999900,5604100,8244200,7693500,7038600,6412700,6382000,6461100,6693100,1447600,1316400,2047000,5591500,4119600,2393000,2474000,11091000,9328000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1015300,1015300,1035600,1047100,1050300,1053300,1057500,1069500,1079500,1089900,1090700,1093700,1144700,1155000,1171100,1175000,1188600,1241000,1246000,1262000,1273000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7783300,10889800,10700200,9797100,9599000,6012400,4701600,3204600,2007000,1512000,878200,-493600,150300,2243700,7023600,8889000,13551400,15778000,15121000,13570000,2479000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10736700,-11325600,-12004400,-12656900,-13249600,-12076600,-12674800,-13101700,-13610800,-14092800,-14461000,-5783500,-5453900,-5606000,-5159000,-5294200,-5412500,-5571000,-173000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15583700,16181000,16937200,17640300,18245700,17093500,17765300,18281900,18875400,19465900,19907900,11286100,11069400,11319800,11060100,11472000,11853800,12634000,7423000,7633000,7789000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13645600,16760500,16668600,15827600,15645400,12082600,10849600,9454300,8351100,7975000,7415800,6102700,6910500,9112500,14095800,16241800,21181300,24082000,23617000,22465000,11541000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25089500,26079200,24452600,23827500,21249500,20326800,18543100,16492900,14763800,14357000,13876900,12795800,8358100,10428900,16142800,21833300,25300900,26475000,26091000,33556000,20869000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25089500,26079200,24452600,23827500,21249500,20326800,18543100,16492900,14763800,14357000,13876900,12795800,8358100,10428900,16142800,21833300,25300900,26475000,26091000,33556000,20869000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/88000/000091205702011836/0000912057-02-011836-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000104746903013385/0001047469-03-013385-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000104746904007490/0001047469-04-007490-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000104746905007163/0001047469-05-007163-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000095013406005168/0000950134-06-005168-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000103570407000210/0001035704-07-000210-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000103570408000120/0001035704-08-000120-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000119312509055630/0001193125-09-055630-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000119312510072926/0001193125-10-072926-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000119312511081248/0001193125-11-081248-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000119312512142487/0001193125-12-142487-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000119312513133774/0001193125-13-133774-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000156459014001031/0001564590-14-001031-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000156459015002120/0001564590-15-002120-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000156459016015579/0001564590-16-015579-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000156459017005736/0001564590-17-005736-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000156459018007324/0001564590-18-007324-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000156459019008533/0001564590-19-008533-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000156459020011280/0001564590-20-011280-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000156459021016166/0001564590-21-016166-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000156459022012994/0001564590-22-012994-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,200000,1600000,400000,2900000,5900000,2823400,-910900,6081500,-2774100,-504500,-2260900,-1725500,1572000,-189600,-903100,-198100,-3586600,-1310800,-1497000,-1197600,-495000,-633800,-1371800,643900,2093400,4779900,1854500,4662400,2227000,-657000,-1551000,-11091000
74,Depreciation and Amortization,- -,- -,- -,-600000,-600000,-700000,-700000,-700000,908000,1106900,1084800,1316800,1281800,817700,753100,756000,704200,683500,670600,650600,603400,560300,540200,515000,502300,420300,135000,173600,160800,458000,799900,818000,796000,1430000,1820000
75,Deferred Income Tax,- -,- -,- -,- -,300000,-300000,- -,- -,- -,-750700,- -,- -,- -,-5500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2556200,1163600,1008400,150000,-322000,-229000,784000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77600,94600,72800,53600,55300,66700,162200,248600,242300,227000,149000,332000,110000
77,Change in Working Capital,- -,- -,- -,800000,- -,- -,- -,- -,45500,-425200,1406700,-1106700,97500,-17800,3076000,2969900,-987700,-1253800,-957600,891900,-896900,-1149200,-971300,-195600,-447000,-423100,6685700,2319400,2397900,-3241200,4715200,3224400,-4911000,-4509000,237000
78,Accounts Receivable,- -,- -,- -,-400000,1000000,-200000,-1300000,-2300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5611500,- -,388500,-521300,-213100,- -,26400,-2441700,352200,57000,352000,-1817000,996000
79,Inventory,- -,- -,- -,1300000,-400000,-400000,-700000,-1200000,-778600,1301300,296300,643200,423400,-21100,-1254300,1590200,-516000,182300,-244300,-106800,236900,300000,769900,303100,-337700,43400,-1235400,521500,-2008900,-542700,-3145400,970000,282000,4256000,404000
80,Accounts Payable,- -,- -,- -,-300000,-1200000,- -,1800000,700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,331000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,45500,-379700,1027000,-79700,17800,- -,3076000,6045900,5058200,3804400,2846800,3738700,2841800,1692600,721300,525700,78700,-344400,6341300,8660700,11058600,7817400,12532600,15757000,10846000,6337000,6574000
82,Other Non-Cash Items,- -,- -,- -,1400000,400000,1000000,1200000,-2000000,3363400,914900,-3366700,1996800,121300,2954500,-3533100,-3425700,771800,1278000,588000,87700,537500,1447900,1617300,390100,1042400,1338900,-10107500,-1867600,-3527300,1025500,-7412000,-3553400,5624000,8109000,7818000
83,Cash Provided by Operating Activities,- -,- -,- -,1800000,1700000,400000,3400000,3200000,7140300,-65000,5206300,-567200,996100,1488000,-1429500,1872200,298700,-195400,102900,-1956400,-1066800,-638000,66200,309100,536700,17900,-2587600,2785500,1417300,1509000,4016200,3093000,679000,3582000,-322000
84,CAPEX,- -,- -,- -,-500000,-300000,-700000,-500000,-4200000,-10536700,-1057100,-209600,-189400,-294200,-94700,-106700,-13900,-21300,-113300,-25700,-83300,-63400,-14000,-6200,-1500,-49400,-30700,-208000,-57000,-190000,-283600,-484500,-222000,-387000,-501000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,2100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2234500,-1605800,-495600,- -,-248400,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,151200,2102000,1760500,250000,250000,- -,- -,50000,- -,4300,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,200000,100000,- -,- -,- -,- -,-432900,-609400,- -,- -,- -,- -,- -,- -,- -,2100,93800,- -,- -,-24800,-41200,- -,26600,8922600,- -,- -,-9000000,- -,- -,-5759000,-9596000,4381000
