,https://roic.ai/company/IVAC,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,8000000,19600000,27400000,31000000,26700000,21054000,21223000,18598000,20485000,21105000,28861000,52960000,68607000,73810000,50067000,56434000,61172000,57462000,43315000,- -,36787000,38072000,40815000,36911000,36943000,- -,37990000
11,COGS and Expenses,34800000,72500000,113700000,95300000,61700000,49050000,62952000,45073000,46949000,74864000,122512000,211876000,188398000,140778000,95328000,171288000,113715000,106728000,90974000,- -,84904000,87787000,107999000,99331000,104960000,- -,95269000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1362000,899000,847000,806000,279000,- -,179000,195000,291000,516000,574000,- -,284000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,900000,2800000,5000000,7400000,5400000,6063000,4167000,3249000,2050000,2265000,2095000,2582000,4421000,5409000,5585000,5861000,5423000,4479000,4518000,- -,4705000,4837000,3871000,4614000,3591000,- -,3480000
15,EBITDA,11200000,14200000,24200000,6900000,-12700000,-6261000,-8345000,5431000,-10215000,-1969000,18667000,54359000,39999000,-21130000,-10508000,37872000,-24683000,-37600000,-12900000,- -,-14312000,-2353000,9092000,1019000,8098000,- -,6247000
16,EBITDA ratio,0.2611,0.1610,0.1817,0.0719,-0.2953,-0.1737,-0.1621,0.1608,-0.2815,-0.0283,0.1360,0.2092,0.1853,-0.1916,-0.1348,0.1870,-0.2975,-0.4507,-0.1853,- -,-0.2183,-0.0294,0.0806,0.0107,0.0744,- -,0.0639
17,Operating Income,8100000,15700000,19500000,700000,-18700000,-13001000,-11468000,-11289000,-10655000,-5249000,14717000,47999000,27436000,-30471000,-17347000,31238000,-30741000,-42533000,-17823000,- -,-19354000,-7563000,4848000,-4217000,3925000,- -,2555000
18,Operating Income ratio,0.1888,0.1780,0.1464,0.0073,-0.4349,-0.3606,-0.2227,-0.3342,-0.2936,-0.0754,0.1072,0.1847,0.1271,-0.2762,-0.2225,0.1542,-0.3705,-0.5098,-0.2560,- -,-0.2953,-0.0944,0.0430,-0.0443,0.0360,- -,0.0261
19,Total Other Income Expenses (Gains),900000,-4300000,-300000,-2200000,-3200000,1369000,-1847000,13471000,-1610000,1015000,1855000,3778000,8142000,3932000,1254000,773000,635000,454000,405000,- -,337000,373000,373000,622000,582000,- -,212000
20,Income Before Tax,9000000,11400000,19200000,-1500000,-21900000,- -,-13315000,2182000,-12265000,-4234000,16572000,51777000,35578000,-26539000,-16093000,32011000,-30106000,-42079000,-17418000,- -,-19017000,-7190000,5221000,-3595000,4507000,- -,2767000
21,Income Before Tax Ratio,0.2098,0.1293,0.1441,-0.0156,-0.5093,- -,-0.2586,0.0646,-0.3379,-0.0608,0.1208,0.1992,0.1648,-0.2406,-0.2064,0.1581,-0.3628,-0.5044,-0.2501,- -,-0.2901,-0.0897,0.0463,-0.0378,0.0414,- -,0.0283
22,Income Tax expense (Gain),3200000,6400000,6700000,-900000,-8300000,- -,4424000,-6592000,38000,110000,421000,5079000,8233000,-11194000,-6016000,3962000,-8131000,13240000,-1722000,- -,8428000,251000,1103000,-7176000,3359000,- -,1711000
23,Net Income,7100000,5000000,12500000,400000,-9800000,-12324000,-16936000,8774000,-12303000,-4344000,16151000,46698000,27345000,-15345000,-10077000,28049000,-21975000,-55319000,-15696000,- -,-27445000,-7441000,4118000,3581000,1148000,- -,1056000
24,Net Income ratio,0.1655,0.0567,0.0938,0.0042,-0.2279,-0.3419,-0.3290,0.2597,-0.3390,-0.0624,0.1177,0.1797,0.1267,-0.1391,-0.1292,0.1385,-0.2648,-0.6631,-0.2254,- -,-0.4187,-0.0929,0.0365,0.0376,0.0105,- -,0.0108
25,EPS,0.72,0.39,1.00,0.04,-0.83,-1.04,-1.42,0.73,-0.95,-0.22,0.79,2.22,1.28,-0.71,-0.46,1.26,-0.96,-2.37,-0.66,- -,-1.16,-0.36,0.19,0.16,0.05,- -,0.04
26,EPS Diluted,0.72,0.39,0.94,0.03,-0.83,-1.04,-1.42,0.66,-0.95,-0.22,0.76,2.13,1.23,-0.71,-0.46,1.22,-0.96,-2.37,-0.66,- -,-1.16,-0.36,0.18,0.16,0.05,- -,0.04
27,Weighted Average Shares Outstanding,9861111,12901000,12514000,12052000,11777000,11803000,11955000,12077000,12948000,19749000,20462000,21015000,21447000,21724000,21975000,22340000,22903000,23336000,23832000,- -,23671000,20761000,21555000,22519000,23063000,- -,23669000
28,Weighted Average Shares Outstanding Diluted,9861111,13636364,15385000,12354000,11777000,11803000,11955000,15262000,12948000,19749000,21202000,21936000,22150000,21724000,21975000,22977000,22903000,23336000,23832000,- -,23671000,20761000,22920000,22904000,23340000,- -,24151000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1001902/000089161897000335/0000891618-97-000335-index.html,https://www.sec.gov/Archives/edgar/data/1001902/000089161898001067/0000891618-98-001067-index.html,https://www.sec.gov/Archives/edgar/data/1001902/000089161899000923/0000891618-99-000923-index.html,https://www.sec.gov/Archives/edgar/data/1001902/000089161800001301/0000891618-00-001301-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1001902/000095013404003613/0000950134-04-003613-index.htm,https://www.sec.gov/Archives/edgar/data/1001902/000089161805000255/0000891618-05-000255-index.htm,https://www.sec.gov/Archives/edgar/data/1001902/000095013406005188/0000950134-06-005188-index.htm,https://www.sec.gov/Archives/edgar/data/1001902/000095013407005928/0000950134-07-005928-index.htm,https://www.sec.gov/Archives/edgar/data/1001902/000095013408004891/0000950134-08-004891-index.htm,https://www.sec.gov/Archives/edgar/data/1001902/000095013409004443/0000950134-09-004443-index.htm,https://www.sec.gov/Archives/edgar/data/1001902/000095012310017953/0000950123-10-017953-index.htm,https://www.sec.gov/Archives/edgar/data/1001902/000095012311018655/0000950123-11-018655-index.htm,https://www.sec.gov/Archives/edgar/data/1001902/000119312512070380/0001193125-12-070380-index.htm,https://www.sec.gov/Archives/edgar/data/1001902/000119312513071505/0001193125-13-071505-index.htm,https://www.sec.gov/Archives/edgar/data/1001902/000119312514060890/0001193125-14-060890-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1001902/000156459015000735/0001564590-15-000735-index.htm,https://www.sec.gov/Archives/edgar/data/1001902/000119312517045231/0001193125-17-045231-index.htm,https://www.sec.gov/Archives/edgar/data/1001902/000119312518045618/0001193125-18-045618-index.htm,https://www.sec.gov/Archives/edgar/data/1001902/000119312519037939/0001193125-19-037939-index.htm,https://www.sec.gov/Archives/edgar/data/1001902/000119312520033196/0001193125-20-033196-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1001902/000119312521046477/0001193125-21-046477-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,20400000,900000,3300000,4000000,3300000,4616000,- -,28457000,19507000,17455000,15255000,39440000,27673000,39201000,17592000,109520000,23560000,24261000,20121000,- -,21500000,27043000,19941000,16669000,19767000,- -,29341000
32,Short-Term Investments,- -,- -,- -,- -,- -,33787000,- -,- -,- -,24579000,34476000,55595000,110985000,- -,6000000,4994000,58585000,40591000,48975000,- -,29600000,17602000,15698000,18122000,16720000,- -,14839000
33,Cash and Short-Term Investments,20400000,900000,3300000,4000000,3300000,38403000,- -,28457000,19507000,42034000,49731000,95035000,138658000,39201000,23592000,114514000,82145000,64852000,69096000,- -,51100000,44645000,35639000,34791000,36487000,- -,44180000
34,Net Receivables,4400000,17600000,9600000,10200000,5700000,9593000,- -,4991000,14016000,4775000,42847000,39927000,14142000,15014000,44756000,25911000,18561000,19822000,15037000,- -,12100000,17447000,20474000,27717000,28619000,- -,28646000
35,Inventory,16500000,25700000,35900000,22100000,16000000,15833000,- -,15871000,13108000,15375000,24837000,37942000,22133000,17674000,19100000,20671000,18070000,26193000,22762000,- -,19200000,24876000,33792000,30597000,24907000,- -,21689000
36,Other Current Assets,4600000,4900000,75100000,64600000,48200000,4885000,- -,1175000,1113000,956000,1814000,5775000,7771000,8010000,8202000,9754000,9316000,2120000,1237000,- -,1700000,1768000,2524000,2528000,1504000,- -,1893000
37,Total Current Assets,45900000,49100000,123900000,100900000,73200000,68714000,- -,50494000,47744000,63140000,119229000,178679000,182704000,79899000,95650000,170850000,128092000,112987000,108132000,- -,84100000,88736000,92429000,95633000,91517000,- -,96408000
38,PP&E,3500000,9300000,13800000,13100000,12400000,11060000,- -,6793000,5796000,5996000,7980000,13546000,15402000,14886000,12351000,13918000,14449000,13426000,12945000,- -,12800000,11237000,12478000,11198000,21877000,- -,19169000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7905000,7905000,7905000,18389000,18389000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,7300000,5300000,3500000,2100000,7000,- -,- -,- -,- -,- -,- -,1805000,4054000,3537000,6984000,6441000,5868000,4902000,- -,4000000,2258000,1503000,889000,274000,- -,- -
41,Intangible Assets,- -,7300000,5300000,3500000,2100000,7000,- -,- -,- -,- -,- -,- -,9710000,11959000,11442000,25373000,24830000,5868000,4902000,- -,4000000,2258000,1503000,889000,274000,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,10000000,2000000,66000000,66249000,22866000,32677000,27317000,12318000,- -,17542000,3593000,6849000,4372000,5537000,- -,5388000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5588000,16097000,16541000,18764000,25773000,12905000,9979000,- -,- -,- -,- -,- -,- -,- -,5335000
44,Other Non-Current Assets,2500000,2400000,4800000,5500000,6700000,6889000,- -,3011000,2435000,10486000,1235000,3778000,9000,328000,1145000,- -,- -,- -,- -,- -,1858000,2500000,1764000,9978000,7117000,- -,938000
45,Total Non-Current Assets,6000000,19000000,23900000,22100000,21200000,17956000,- -,9804000,8231000,16482000,11215000,27324000,32709000,109270000,107728000,80921000,97729000,59516000,40144000,- -,36200000,19588000,22594000,26437000,34805000,- -,30830000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,51900000,68100000,147800000,123000000,94400000,86670000,- -,60298000,55975000,79622000,130444000,206003000,215413000,189169000,203378000,251771000,225821000,172503000,148276000,- -,120300000,108324000,115023000,122070000,126322000,- -,127238000
48,Accounts Payable,2700000,4500000,4600000,2000000,1000000,1943000,- -,1280000,3396000,1647000,7049000,15994000,7678000,4214000,4701000,5562000,4857000,4479000,4011000,- -,4600000,5323000,3949000,6053000,4199000,- -,4259000
49,Short-Term Debt,- -,1300000,1900000,- -,- -,2718000,- -,459000,1025000,- -,- -,- -,1992000,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2524000,- -,2853000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,897000,936000,551000,- -,277000,906000,1122000,1317000,1558000,- -,1198000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,573000,1541000,588000,- -,- -,6705000,6834000,4239000,- -,2551000,19838000,11026000,14314000,4007000,- -,1294000
52,Other Current Liabilities,21900000,27400000,39400000,21100000,20600000,22960000,- -,17446000,20685000,8393000,34827000,44051000,16863000,8789000,27068000,27336000,12427000,9323000,8740000,- -,12249000,6815000,14506000,9641000,10081000,- -,10016000
53,Total Current Liabilities,24600000,33200000,45900000,23100000,21600000,27621000,- -,19185000,25106000,10040000,41876000,60618000,28074000,15591000,31769000,32898000,23989000,20636000,16990000,- -,19400000,31976000,29481000,30008000,20811000,- -,18422000
54,Long-Term Debt,- -,700000,57500000,57500000,41200000,41245000,- -,30568000,- -,- -,- -,- -,1898000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9532000,- -,6803000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000,- -,- -,8809000,6330000,- -,- -
57,Other Non-Current Liabilities,- -,100000,2000000,2000000,2000000,- -,- -,- -,- -,207000,694000,1075000,278000,509000,252000,11630000,9922000,9232000,1715000,- -,2195000,3082000,2879000,-6371000,-6144000,- -,457000
58,Total Non-Current Liabilities,- -,1200000,59500000,59500000,43200000,41245000,- -,30568000,- -,207000,694000,1075000,2176000,509000,252000,11630000,9922000,9232000,1715000,- -,2200000,3082000,2879000,2438000,9718000,- -,7260000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12056000,- -,9656000
61,Total Liabilities,24600000,34400000,105400000,82600000,64800000,68866000,- -,49753000,25106000,10247000,42570000,61693000,30250000,16100000,32021000,44528000,33911000,29868000,18705000,- -,21600000,35058000,32360000,32446000,30529000,- -,25682000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,18200000,18675000,- -,19389000,51982000,94802000,97165000,- -,22000,22000,22000,23000,23000,23000,24000,- -,- -,21000,22000,23000,23000,- -,24000
64,Retained Earnings,12000000,17000000,25100000,22400000,11500000,-871000,- -,-9033000,-21336000,-25680000,-9529000,37169000,64514000,49169000,39092000,67141000,45166000,-10153000,-25849000,- -,-53300000,-69901000,-66881000,-64934000,-63786000,- -,-62730000
65,Other Comprehensive Income/Loss,-1800000,-3900000,-6300000,-10900000,-12100000,-14481000,- -,189000,223000,253000,238000,354000,571000,-4808000,-1828000,255000,414000,769000,725000,- -,619000,321000,490000,378000,424000,- -,640000
66,Other Total Stockholders Equity,17100000,20600000,23600000,28900000,12000000,14481000,- -,- -,- -,- -,- -,128583000,120056000,128686000,134071000,139824000,146307000,151996000,154671000,- -,150700000,142825000,149032000,154157000,159132000,- -,163622000
67,Total Stockholders Equity,27300000,33700000,42400000,40400000,29600000,17804000,- -,10545000,30869000,69375000,87874000,144310000,185163000,173069000,171357000,207243000,191910000,142635000,129571000,- -,98630000,73266000,82663000,89624000,95793000,- -,101556000
68,Total Liabilities And Stockholders Equity,51900000,68100000,147800000,123000000,94400000,86670000,- -,60298000,55975000,79622000,130444000,206003000,215413000,189169000,203378000,251771000,225821000,172503000,148276000,- -,120230000,108324000,115023000,122070000,126322000,- -,127238000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,51900000,68100000,147800000,123000000,94400000,86670000,- -,60298000,55975000,79622000,130444000,206003000,215413000,189169000,203378000,251771000,225821000,172503000,148276000,- -,120300000,108324000,115023000,122070000,126322000,- -,127238000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1001902/000089161897000335/0000891618-97-000335-index.html,https://www.sec.gov/Archives/edgar/data/1001902/000089161898001067/0000891618-98-001067-index.html,https://www.sec.gov/Archives/edgar/data/1001902/000089161899000923/0000891618-99-000923-index.html,https://www.sec.gov/Archives/edgar/data/1001902/000089161800001301/0000891618-00-001301-index.html,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1001902/000095013404003613/0000950134-04-003613-index.htm,https://www.sec.gov/Archives/edgar/data/1001902/000089161805000255/0000891618-05-000255-index.htm,https://www.sec.gov/Archives/edgar/data/1001902/000095013406005188/0000950134-06-005188-index.htm,https://www.sec.gov/Archives/edgar/data/1001902/000095013407005928/0000950134-07-005928-index.htm,https://www.sec.gov/Archives/edgar/data/1001902/000095013408004891/0000950134-08-004891-index.htm,https://www.sec.gov/Archives/edgar/data/1001902/000095013409004443/0000950134-09-004443-index.htm,https://www.sec.gov/Archives/edgar/data/1001902/000095012310017953/0000950123-10-017953-index.htm,https://www.sec.gov/Archives/edgar/data/1001902/000095012311018655/0000950123-11-018655-index.htm,https://www.sec.gov/Archives/edgar/data/1001902/000119312512070380/0001193125-12-070380-index.htm,https://www.sec.gov/Archives/edgar/data/1001902/000119312513071505/0001193125-13-071505-index.htm,https://www.sec.gov/Archives/edgar/data/1001902/000119312514060890/0001193125-14-060890-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1001902/000156459015000735/0001564590-15-000735-index.htm,https://www.sec.gov/Archives/edgar/data/1001902/000119312517045231/0001193125-17-045231-index.htm,https://www.sec.gov/Archives/edgar/data/1001902/000119312518045618/0001193125-18-045618-index.htm,https://www.sec.gov/Archives/edgar/data/1001902/000119312519037939/0001193125-19-037939-index.htm,https://www.sec.gov/Archives/edgar/data/1001902/000119312520033196/0001193125-20-033196-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1001902/000119312521046477/0001193125-21-046477-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,7100000,5000000,12500000,400000,-9800000,-12324000,-16936000,8774000,-12303000,-4344000,16151000,46698000,27345000,-15345000,-10077000,28049000,-21975000,-55319000,-15696000,- -,-27445000,-7441000,4118000,3581000,1148000,- -,1056000
74,Depreciation and Amortization,900000,2800000,5000000,7400000,5400000,6063000,4167000,3249000,2050000,2265000,2095000,2582000,4421000,5409000,5585000,5861000,5423000,4479000,4518000,- -,4705000,4837000,3871000,4614000,3591000,- -,3480000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,4988000,- -,- -,- -,- -,-4581000,-1654000,-8002000,-87000,-2142000,-7140000,-10099000,-4972000,- -,-728000,9000,-1000,-7909000,1661000,- -,917000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4255000,3316000,4030000,3820000,2494000,- -,3000000,3744000,4178000,3307000,3225000,- -,3389000
77,Change in Working Capital,3700000,- -,-5400000,62100000,-200000,-26200000,-10507000,-9784000,-8671000,30462000,24253000,40708000,36569000,-90322000,-427000,74071000,-33849000,-11752000,-1209000,- -,-26442000,6297000,6188000,2677000,5081000,- -,7280000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28935000,18845000,7350000,-3531000,4638000,- -,2950000,-5137000,-3027000,-7243000,-902000,- -,-27000
79,Inventory,-9100000,-11300000,-8500000,11800000,4100000,-343000,-3536000,3359000,2028000,-4309000,-10354000,-14590000,15686000,4434000,-1411000,-1555000,2601000,-8738000,1560000,- -,3550000,-6116000,-8916000,3278000,6301000,- -,3218000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,441000,450000,- -,-378000,-439000,- -,629000,-627000,-1374000,2104000,-1850000,- -,60000
81,Other Working Capital,21300000,21300000,15900000,78000000,77800000,51600000,41093000,31309000,22638000,53100000,77353000,118061000,154630000,64308000,63881000,137952000,104103000,92351000,91142000,- -,64700000,56760000,62948000,65625000,70706000,- -,77986000
82,Other Non-Cash Items,-1200000,-13500000,13700000,-75000000,-3100000,32483000,6516000,-1419000,8674000,-37787000,-41103000,-30216000,-26217000,100066000,-15818000,-57841000,37232000,49155000,5899000,- -,44124000,-3663000,-20732000,-7986000,-9761000,- -,-7272000
83,Cash Provided by Operating Activities,10500000,-5700000,25800000,-5100000,-7700000,22000,-11772000,820000,-10250000,-9404000,1396000,55191000,40464000,-8194000,-16569000,51314000,-16279000,-19716000,-8966000,- -,-2786000,3783000,-2378000,-1716000,4945000,- -,8850000
84,CAPEX,-3000000,-3900000,-6100000,-2900000,-1700000,-2990000,-4050000,-1480000,-2199000,-1620000,-4140000,-8423000,-5735000,-4185000,-2615000,-7055000,-5582000,-3280000,-1772000,- -,-3705000,-3373000,-4356000,-3244000,-4107000,- -,-2612000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6695000,-15093000,- -,-2638000,- -,- -,500000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-3000000,-2600000,-141600000,-56500000,-50900000,-116271000,-5463000,- -,- -,-45864000,-100140000,-152280000,-175624000,-7000000,-26979000,-20683000,-111940000,-47199000,-37055000,- -,-35703000,-12429000,-26581000,-27353000,-23306000,- -,-23342000
87,Sales/Maturities of Investments,7100000,2600000,74500000,46700000,70200000,120084000,38447000,- -,- -,13000000,98350000,123425000,128831000,45850000,25450000,68050000,47039000,69360000,42729000,- -,51225000,24005000,25164000,29567000,21642000,- -,25355000
88,Other Investing Activites,8400000,-10700000,-1300000,- -,- -,- -,- -,18315000,294000,10000,- -,- -,- -,- -,- -,- -,249000,3000000,153000,- -,-1767000,386000,602000,- -,- -,- -,- -
89,Cash Used for Investing Activites,9500000,-14600000,-74500000,-12700000,17600000,823000,28934000,16835000,-1905000,-34474000,-5930000,-37278000,-59223000,19572000,-4144000,37674000,-70234000,21881000,4555000,- -,10050000,8589000,-5171000,-1030000,-5771000,- -,-599000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,-177000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,12100000,800000,1000000,1100000,700000,476000,418000,292000,3188000,42820000,2344000,3490000,3869000,1838000,1122000,2768000,2924000,1869000,1909000,- -,2559000,1489000,2429000,3208000,2265000,- -,1897000
92,Common Stock Repurchased,-16000000,- -,-5000000,-3800000,-1700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1598000,- -,-8392000,- -,- -,-558000,-111000,- -,-393000
93,Dividends Paid,-4900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-100000,- -,55100000,- -,-9600000,- -,-4161000,-7708000,- -,-1025000,- -,2707000,3009000,-1673000,69000,299000,-2389000,-3345000,-40000,- -,- -,-457000,-2173000,-831000,-634000,- -,-402000
95,Cash Used/Provided by Financing Activities,-8900000,800000,51100000,-2700000,-10600000,476000,-3743000,-7416000,3188000,41795000,2344000,6197000,6878000,165000,-809000,2890000,535000,-1476000,271000,- -,-5833000,1032000,256000,1819000,1520000,- -,1102000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,122000,61000,17000,31000,-10000,75000,114000,-15000,-87000,50000,18000,12000,- -,- -,-70000,-107000,191000,-130000,-24000,- -,221000
97,Net Change In Cash,-8900000,800000,51100000,-2700000,-700000,1321000,13541000,10300000,-8950000,-2052000,-2200000,24185000,-11767000,11528000,-21609000,91928000,-85960000,701000,-4140000,- -,1361000,13297000,-7102000,-1057000,670000,- -,9574000
98,Cash at the End of Period,- -,- -,- -,- -,3300000,4616000,18157000,28457000,19507000,17455000,15255000,39440000,27673000,39201000,17592000,109520000,23560000,24261000,20121000,- -,21482000,27043000,19941000,19884000,20554000,- -,30128000
99,Cash at the Beginning of Period,9300000,20400000,900000,24400000,4000000,3295000,4616000,18157000,28457000,19507000,17455000,15255000,39440000,27673000,39201000,17592000,109520000,23560000,24261000,- -,20121000,13746000,27043000,20941000,19884000,- -,20554000
100,Free Cash Flow,7500000,-9600000,19700000,-8000000,-9400000,-2968000,-15822000,-660000,-12449000,-11024000,-2744000,46768000,34729000,-12379000,-19184000,44259000,-21861000,-22996000,-10738000,- -,-6491000,410000,-6734000,-4960000,838000,- -,6238000
