,https://roic.ai/company/SAIA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,- -,- -,4033000,8901000,8979000,12152000,17929000,16100000,11306000,-3022000,-6605000,-24000,6357000,19091000,24518000,29237000,30947000,26895000,-1378000,30852000,32933000,37938000,79538000
23,Net Income,9187000,9789000,1698000,771000,-63117000,14933000,19259000,27459000,-20681000,18342000,-20727000,-7875000,1957000,11373000,32048000,43627000,51991000,55016000,48024000,91156000,104981000,113719000,138340000,253235000
24,Net Income ratio,0.0225,0.0165,0.0022,0.0010,-0.0814,0.0180,0.0196,0.0250,-0.0236,0.0188,-0.0201,-0.0093,0.0022,0.0110,0.0292,0.0383,0.0409,0.0450,0.0394,0.0661,0.0635,0.0636,0.0759,0.1106
25,EPS,0.42,0.45,0.08,0.03,-2.89,0.68,0.87,1.25,-0.95,0.89,0.43,-0.39,0.08,0.48,1.35,1.81,2.12,2.21,1.92,3.57,4.08,4.38,5.29,9.69
26,EPS Diluted,0.42,0.45,0.08,0.03,-2.89,0.66,0.84,1.21,-0.95,0.87,0.43,-0.39,0.08,0.47,1.29,1.73,2.04,2.16,1.87,3.49,3.99,4.30,5.20,9.69
27,Weighted Average Shares Outstanding,21847500,21847500,21847500,21847500,21877500,22030500,22287000,22060500,21804000,20734500,19974000,20134500,23569500,23683500,23823000,24154000,24505000,24919000,25038000,25518000,25762000,25952000,26140000,26334000
28,Weighted Average Shares Outstanding Diluted,21873810,21915672,21847500,21847500,22006500,22693500,22968000,22572000,22261500,21057000,20418000,20134500,24172500,24204000,24814500,25205000,25463000,25471000,25680000,26086000,26291000,26435000,26592000,26713000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1177702/000095013403003935/0000950134-03-003935-index.html,https://www.sec.gov/Archives/edgar/data/1177702/000095013704001214/c83178e10vk.htm,https://www.sec.gov/Archives/edgar/data/1177702/000095013705001986/c92392e10vk.htm,https://www.sec.gov/Archives/edgar/data/1177702/000095013706001993/c02550e10vk.htm,https://www.sec.gov/Archives/edgar/data/1177702/000095013707002684/c12473e10vk.htm,https://www.sec.gov/Archives/edgar/data/1177702/000095013708002946/c23563e10vk.htm,https://www.sec.gov/Archives/edgar/data/1177702/000095013709001557/0000950137-09-001557-index.html,https://www.sec.gov/Archives/edgar/data/1177702/000095012310017172/0000950123-10-017172-index.html,https://www.sec.gov/Archives/edgar/data/1177702/000095012311018652/c62449e10vk.htm,https://www.sec.gov/Archives/edgar/data/1177702/000119312512094249/0001193125-12-094249-index.html,https://www.sec.gov/Archives/edgar/data/1177702/000119312513087830/0001193125-13-087830-index.html,https://www.sec.gov/Archives/edgar/data/1177702/000119312514077617/d645045d10k.htm,https://www.sec.gov/Archives/edgar/data/1177702/000119312515070371/d834830d10k.htm,https://www.sec.gov/Archives/edgar/data/1177702/000156459016013560/0001564590-16-013560-index.html,https://www.sec.gov/Archives/edgar/data/1177702/000156459017002318/0001564590-17-002318-index.html,https://www.sec.gov/Archives/edgar/data/1177702/000156459018002882/0001564590-18-002882-index.html,https://www.sec.gov/Archives/edgar/data/1177702/000156459019004105/0001564590-19-004105-index.html,https://www.sec.gov/Archives/edgar/data/1177702/000156459020006382/0001564590-20-006382-index.html,https://www.sec.gov/Archives/edgar/data/1177702/000156459021008077/0001564590-21-008077-index.htm,https://www.sec.gov/Archives/edgar/data/1177702/000156459022006259/0001564590-22-006259-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4322000,3558000,4922000,1480000,21872000,30870000,7499000,16865000,10669000,6656000,27061000,8746000,29045000,1317000,321000,159000,4367000,124000,1539000,4720000,2194000,248000,25308000,106588000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4322000,3558000,4922000,1480000,21872000,30870000,7499000,16865000,10669000,6656000,27061000,8746000,29045000,1317000,321000,159000,4367000,124000,1539000,4720000,2194000,248000,25308000,106588000
34,Net Receivables,- -,- -,- -,83387000,86908000,93283000,116636000,126824000,95779000,114329000,93691000,95603000,100018000,110748000,109078000,131434000,146702000,139967000,142072000,174274000,183437000,204407000,216995000,276755000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,28589000,30709000,30361000,29129000,30556000,27236000,30624000,35282000,30204000,24433000,30751000,34764000,38660000,38567000,18898000,22868000,24587000,27742000,27724000,29393000,32912000
37,Total Current Assets,- -,- -,- -,113456000,139489000,154514000,153264000,174245000,133684000,151609000,156034000,134553000,153496000,142816000,144163000,170253000,189636000,158989000,166479000,203581000,213373000,232379000,271696000,416255000
38,PP&E,167213000,319635000,334427000,306041000,287158000,292393000,320612000,345533000,314832000,368772000,355802000,323360000,290938000,324455000,361704000,432226000,483639000,539179000,604119000,735780000,893058000,1156489000,1249742000,1388235000
39,Goodwill,- -,- -,- -,- -,- -,- -,30841000,30530000,36406000,35470000,- -,- -,- -,- -,5231000,5231000,5231000,12025000,12105000,12105000,12105000,12105000,12105000,12105000
40,Intangible Assets,- -,- -,- -,- -,15683000,15420000,2398000,1664000,1096000,3860000,3051000,2266000,- -,1450000,4173000,3558000,2943000,14961000,13293000,11922000,10559000,9379000,8216000,7052000
41,Intangible Assets,- -,- -,- -,91122000,15683000,15420000,33239000,32194000,37502000,39330000,3051000,2266000,1840000,1450000,9404000,8789000,8174000,26986000,25398000,24027000,22664000,21484000,20321000,19157000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,1327000,2013000,1739000,1623000,2769000,1382000,872000,865000,6247000,5883000,6165000,4417000,5533000,4995000,4039000,4374000,4259000,4648000,5341000,7015000,21603000
45,Total Non-Current Assets,- -,- -,- -,398490000,304854000,309552000,355474000,380496000,353716000,408974000,359718000,331873000,298661000,332070000,375525000,446548000,496808000,570204000,633891000,764066000,920370000,1183314000,1277078000,1428995000
46,Other Assets,257143000,536461000,551667000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,257143000,536461000,551667000,511946000,444343000,464066000,508738000,554741000,487400000,560583000,515752000,466426000,452157000,474886000,519688000,616801000,686444000,729193000,800370000,967647000,1133743000,1415693000,1548774000,1845250000
48,Accounts Payable,- -,- -,- -,21483000,20514000,19701000,25832000,39584000,30291000,34905000,46572000,46997000,37745000,39783000,43706000,50799000,42388000,54754000,45149000,57717000,78994000,83621000,89381000,114010000
49,Short-Term Debt,- -,- -,- -,- -,- -,7844000,8624000,20357000,20454000,20620000,28899000,- -,17143000,22143000,22143000,7143000,9138000,12432000,16762000,14083000,18082000,19405000,40797000,40961000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,70673000,64047000,58450000,64742000,76646000,75896000,71000000,71410000,55774000,50878000,62422000,75451000,82915000,78953000,74194000,83033000,95405000,112234000,138220000,145576000,166377000
53,Total Current Liabilities,- -,- -,- -,92156000,84561000,85995000,99198000,136587000,126641000,126525000,146881000,102771000,105766000,124348000,141300000,140857000,130479000,141380000,144944000,167205000,209310000,241246000,275754000,321348000
54,Long-Term Debt,106666000,- -,- -,32346000,116410000,116510000,121547000,109913000,98628000,160052000,107500000,90000000,72857000,50714000,38562000,69740000,73897000,56540000,57042000,118833000,104777000,117025000,145709000,119417000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,58949000,54087000,53504000,57662000,58062000,45259000,55961000,50584000,41867000,39077000,51289000,55611000,69916000,78406000,67417000,80199000,59423000,86893000,111555000,119818000,124137000
57,Other Non-Current Liabilities,- -,- -,- -,98846000,15008000,18475000,17789000,21787000,13717000,17393000,27215000,29107000,28099000,29234000,29696000,31496000,36757000,35967000,35107000,39639000,36899000,130641000,46205000,60015000
58,Total Non-Current Liabilities,106666000,- -,- -,190141000,185505000,188489000,196998000,189762000,157604000,233406000,185299000,160974000,140033000,131237000,123869000,171152000,189060000,159924000,172348000,217895000,228569000,359221000,311732000,303569000
59,Other Liabilities,283870000,337535000,348153000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105259000,186506000,160378000
61,Total Liabilities,177204000,337535000,348153000,282297000,270066000,274484000,296196000,326349000,284245000,359931000,332180000,263745000,245799000,255585000,265169000,312009000,319539000,301304000,317292000,385100000,437879000,600467000,587486000,624917000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,15000,15000,15000,14000,15000,13000,14000,16000,16000,16000,16000,24000,25000,25000,25000,26000,26000,26000,26000,26000
64,Retained Earnings,- -,- -,- -,- -,-26349000,-11416000,7843000,35302000,14621000,32963000,12236000,4361000,6318000,17691000,49739000,93366000,145357000,200373000,248397000,339553000,444481000,558200000,696540000,949775000
65,Other Comprehensive Income/Loss,- -,- -,- -,-171067000,-200645000,-227322000,-248914000,-275366000,-203220000,-227585000,-259410000,-292443000,-319634000,-344890000,-356823000,-365301000,-407505000,-456335000,-497827000,-554214000,-628283000,-686623000,-765217000,- -
66,Other Total Stockholders Equity,79939000,198926000,203514000,400716000,401256000,428305000,453598000,468442000,391739000,395261000,430732000,490747000,519658000,546484000,561587000,576703000,629029000,683826000,732483000,797182000,879640000,943623000,1029939000,270532000
67,Total Stockholders Equity,79939000,198926000,203514000,229649000,174277000,189582000,212542000,228392000,203155000,200652000,183572000,202681000,206358000,219301000,254519000,304792000,366906000,427889000,483078000,582547000,695864000,815226000,961288000,1220333000
68,Total Liabilities And Stockholders Equity,257143000,536461000,551667000,511946000,444343000,464066000,508738000,554741000,487400000,560583000,515752000,466426000,452157000,474886000,519688000,616801000,686445000,729193000,800370000,967647000,1133743000,1415693000,1548774000,1845250000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,257143000,536461000,551667000,511946000,444343000,464066000,508738000,554741000,487400000,560583000,515752000,466426000,452157000,474886000,519688000,616801000,686444000,729193000,800370000,967647000,1133743000,1415693000,1548774000,1845250000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1177702/000095013403003935/0000950134-03-003935-index.html,https://www.sec.gov/Archives/edgar/data/1177702/000095013704001214/c83178e10vk.htm,https://www.sec.gov/Archives/edgar/data/1177702/000095013705001986/c92392e10vk.htm,https://www.sec.gov/Archives/edgar/data/1177702/000095013706001993/c02550e10vk.htm,https://www.sec.gov/Archives/edgar/data/1177702/000095013707002684/c12473e10vk.htm,https://www.sec.gov/Archives/edgar/data/1177702/000095013708002946/c23563e10vk.htm,https://www.sec.gov/Archives/edgar/data/1177702/000095013709001557/0000950137-09-001557-index.html,https://www.sec.gov/Archives/edgar/data/1177702/000095012310017172/0000950123-10-017172-index.html,https://www.sec.gov/Archives/edgar/data/1177702/000095012311018652/c62449e10vk.htm,https://www.sec.gov/Archives/edgar/data/1177702/000119312512094249/0001193125-12-094249-index.html,https://www.sec.gov/Archives/edgar/data/1177702/000119312513087830/0001193125-13-087830-index.html,https://www.sec.gov/Archives/edgar/data/1177702/000119312514077617/d645045d10k.htm,https://www.sec.gov/Archives/edgar/data/1177702/000119312515070371/d834830d10k.htm,https://www.sec.gov/Archives/edgar/data/1177702/000156459016013560/0001564590-16-013560-index.html,https://www.sec.gov/Archives/edgar/data/1177702/000156459017002318/0001564590-17-002318-index.html,https://www.sec.gov/Archives/edgar/data/1177702/000156459018002882/0001564590-18-002882-index.html,https://www.sec.gov/Archives/edgar/data/1177702/000156459019004105/0001564590-19-004105-index.html,https://www.sec.gov/Archives/edgar/data/1177702/000156459020006382/0001564590-20-006382-index.html,https://www.sec.gov/Archives/edgar/data/1177702/000156459021008077/0001564590-21-008077-index.htm,https://www.sec.gov/Archives/edgar/data/1177702/000156459022006259/0001564590-22-006259-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,9187000,9789000,1698000,771000,-63117000,14933000,19259000,27459000,-20681000,18342000,-20727000,-7875000,1957000,11373000,32048000,43627000,51991000,55016000,48024000,91156000,104981000,113719000,138340000,253235000
74,Depreciation and Amortization,19876000,33406000,48296000,49166000,44920000,44039000,47968000,48204000,32550000,38685000,40898000,39342000,36159000,37278000,47985000,51564000,59022000,65020000,76240000,87102000,102153000,119135000,134655000,141700000
75,Deferred Income Tax,- -,- -,- -,-883000,-3918000,384000,11354000,-1384000,1560000,-4424000,-5191000,-1945000,-1194000,8331000,-705000,12098000,9462000,8420000,12780000,-20776000,27470000,24662000,8263000,4319000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1764000,1836000,1892000,1795000,2687000,2902000,4166000,3878000,4599000,5083000,5619000,6187000,7536000,8703000
77,Change in Working Capital,- -,- -,- -,21300000,33628000,13591000,-14453000,-16408000,-30615000,18041000,-15931000,22629000,15948000,-29262000,-15605000,26533000,29761000,-41548000,3926000,14841000,-32313000,-12930000,4809000,-25030000
78,Accounts Receivable,- -,- -,- -,- -,-2979000,-7707000,-12289000,-20253000,-4262000,-13906000,8118000,2983000,-10326000,-14376000,538000,-13350000,-12372000,6896000,-12336000,-38161000,-12981000,-16979000,-25051000,-63415000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,-6084000,3286000,1483000,12807000,-2307000,4177000,3158000,1457000,-9857000,2026000,3362000,5479000,-8590000,-382000,-3414000,7089000,10608000,10320000,5772000,16729000
81,Other Working Capital,- -,- -,- -,21300000,54928000,68519000,54066000,37658000,7043000,25084000,9153000,31782000,47730000,18468000,2863000,29396000,59157000,17609000,21535000,36376000,4063000,-8867000,-4058000,7847000
82,Other Non-Cash Items,-8441000,-2244000,19527000,-1636000,38926000,-14677000,-9234000,25482000,93323000,-24373000,81526000,-39898000,-31376000,28696000,34265000,-35412000,-52232000,51928000,207000,-19560000,48526000,22103000,15542000,-335000
83,Cash Provided by Operating Activities,20622000,40951000,69521000,68718000,50439000,58270000,54894000,83353000,76137000,46271000,82339000,14089000,23386000,58211000,100675000,101312000,102170000,142714000,145776000,157846000,256436000,272876000,309145000,382592000
84,CAPEX,- -,- -,- -,-25161000,-33101000,-55548000,-67113000,-67596000,-93235000,-95486000,-27808000,-8362000,-3815000,-70862000,-86120000,-126358000,-97750000,-86499000,-119365000,-186696000,-223672000,-287655000,-231142000,-285746000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,24000000,-2000000,- -,- -,- -,- -,-8000000,- -,- -,-22000000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-46164000,-53016000,-59033000,5548000,8309000,5718000,-12879000,13895000,-3063000,6057000,1803000,788000,560000,2963000,3689000,4338000,2905000,580000,1682000,5172000,1088000,6624000,12325000,8398000
89,Cash Used for Investing Activites,-46164000,-53016000,-59033000,-19613000,-24792000,-49830000,-79992000,-53701000,-72298000,-91429000,-26005000,-7574000,-3255000,-67899000,-90431000,-122020000,-94845000,-107919000,-117683000,-181524000,-222584000,-281031000,-218817000,-277848000
90,Debt Repayment,- -,- -,- -,-1817000,-33245000,- -,- -,-8002000,-5000000,-11402000,-61517000,-49993000,- -,-17143000,-367010000,-245941000,-347683000,-291111000,-215137000,-237285000,-250035000,-349715000,-388526000,-63746000
91,Common Stock Issued,- -,- -,- -,- -,391000,558000,1727000,13522000,3826000,25275000,- -,24869000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-12903000,-8861000,-23226000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6571000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-50730000,27599000,- -,- -,-12903000,- -,50498000,25588000,294000,168000,-897000,355770000,266487000,344566000,252073000,188459000,264144000,213657000,355924000,323258000,46853000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-52547000,-5255000,558000,1727000,-20286000,-10035000,41145000,-35929000,-24830000,168000,-18040000,-11240000,20546000,-3117000,-39038000,-26678000,26859000,-36378000,6209000,-65268000,-23464000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-3442000,20392000,8998000,-23371000,9366000,-6196000,-4013000,20405000,-18315000,20299000,-27728000,-996000,-162000,4208000,-4243000,1415000,3181000,-2526000,-1946000,25060000,81280000
98,Cash at the End of Period,- -,- -,- -,1480000,21872000,30870000,7499000,16865000,10669000,6656000,27061000,8746000,29045000,1317000,321000,159000,4367000,124000,1539000,4720000,2194000,248000,25308000,106588000
99,Cash at the Beginning of Period,- -,- -,- -,4922000,1480000,21872000,30870000,7499000,16865000,10669000,6656000,27061000,8746000,29045000,1317000,321000,159000,4367000,124000,1539000,4720000,2194000,248000,25308000
100,Free Cash Flow,20622000,40951000,69521000,43557000,17338000,2722000,-12219000,15757000,-17098000,-49215000,54531000,5727000,19571000,-12651000,14555000,-25046000,4420000,56215000,26411000,-28850000,32764000,-14779000,78003000,96846000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1177702/000095013403003935/0000950134-03-003935-index.html,https://www.sec.gov/Archives/edgar/data/1177702/000095013704001214/c83178e10vk.htm,https://www.sec.gov/Archives/edgar/data/1177702/000095013705001986/c92392e10vk.htm,https://www.sec.gov/Archives/edgar/data/1177702/000095013706001993/c02550e10vk.htm,https://www.sec.gov/Archives/edgar/data/1177702/000095013707002684/c12473e10vk.htm,https://www.sec.gov/Archives/edgar/data/1177702/000095013708002946/c23563e10vk.htm,https://www.sec.gov/Archives/edgar/data/1177702/000095013709001557/0000950137-09-001557-index.html,https://www.sec.gov/Archives/edgar/data/1177702/000095012310017172/0000950123-10-017172-index.html,https://www.sec.gov/Archives/edgar/data/1177702/000095012311018652/c62449e10vk.htm,https://www.sec.gov/Archives/edgar/data/1177702/000119312512094249/0001193125-12-094249-index.html,https://www.sec.gov/Archives/edgar/data/1177702/000119312513087830/0001193125-13-087830-index.html,https://www.sec.gov/Archives/edgar/data/1177702/000119312514077617/d645045d10k.htm,https://www.sec.gov/Archives/edgar/data/1177702/000119312515070371/d834830d10k.htm,https://www.sec.gov/Archives/edgar/data/1177702/000156459016013560/0001564590-16-013560-index.html,https://www.sec.gov/Archives/edgar/data/1177702/000156459017002318/0001564590-17-002318-index.html,https://www.sec.gov/Archives/edgar/data/1177702/000156459018002882/0001564590-18-002882-index.html,https://www.sec.gov/Archives/edgar/data/1177702/000156459019004105/0001564590-19-004105-index.html,https://www.sec.gov/Archives/edgar/data/1177702/000156459020006382/0001564590-20-006382-index.html,https://www.sec.gov/Archives/edgar/data/1177702/000156459021008077/0001564590-21-008077-index.htm,https://www.sec.gov/Archives/edgar/data/1177702/000156459022006259/0001564590-22-006259-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
