,https://roic.ai/company/ACIW,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,191518000,205715000,199986000,204850000,203935000,214144000,501141000,669217000,781163000,913261000,909691000,909691000,909691000,1280525000,1280226000,1280226000
40,Intangible Assets,1900000,2000000,7200000,9500000,9400000,61600000,65254000,82327000,55947000,46425000,46706000,79742000,76729000,71449000,59785000,56943000,45814000,40941000,257214000,429161000,470943000,494866000,389130000,346667000,305355000,591486000,518439000,440786000
41,Intangible Assets,1900000,2000000,7200000,9500000,9400000,61600000,65254000,82327000,55947000,46425000,46706000,79742000,268247000,277164000,259771000,261793000,249749000,255085000,758355000,1098378000,1252106000,1408127000,1298821000,1256358000,1215046000,1872011000,1798665000,1721012000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,13627000,27546000,9638000,22943000,21884000,12294000,24315000,12899000,26024000,28143000,13466000,63370000,48852000,50187000,90872000,77479000,66749000,27048000,51611000,57476000,50778000
44,Other Non-Current Assets,11500000,9800000,17000000,21300000,30300000,61000000,71511000,59207000,8777000,3928000,3578000,8053000,13781000,14028000,14207000,10594000,10289000,33748000,31749000,40912000,69779000,42499000,39054000,36483000,241155000,343156000,269871000,338642000
45,Total Non-Current Assets,22000000,21300000,37200000,47100000,60200000,143400000,156379000,169741000,103867000,69396000,81478000,118768000,308628000,334863000,306298000,315981000,306720000,322778000,894760000,1245489000,1432432000,1602128000,1494304000,1439818000,1555978000,2337158000,2231989000,2221307000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,58600000,100100000,123200000,165200000,221400000,329500000,330152000,327453000,266519000,263900000,325458000,363380000,534147000,506741000,552842000,590043000,601529000,664642000,1250886000,1681851000,1850700000,1990212000,1902295000,1861639000,2122455000,3257534000,3386903000,3158741000
48,Accounts Payable,5300000,4900000,8300000,7900000,13600000,8000000,16023000,13542000,7348000,6965000,6974000,9521000,15090000,14677000,16047000,17591000,15263000,11532000,33926000,43658000,50351000,55420000,42873000,34718000,39602000,37010000,41223000,41312000
49,Short-Term Debt,3600000,500000,1500000,1300000,1100000,500000,18396000,12559000,18444000,15493000,7027000,2165000,- -,- -,- -,- -,75000000,- -,17500000,47313000,87352000,95293000,90323000,17786000,20767000,49197000,47703000,57388000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78000,10681000,6181000,10427000,3542000,1192000,6276000,4734000,11334000,9898000,5239000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,35857000,59598000,70798000,82647000,81374000,78996000,97042000,99921000,106349000,121936000,132995000,139863000,122045000,131808000,128559000,105191000,107543000,104843000,65784000,95849000,84425000
52,Other Current Liabilities,25700000,34700000,35200000,49600000,61200000,88700000,70848000,32399000,27796000,20164000,23244000,30958000,63501000,42801000,50296000,71460000,58565000,82530000,75310000,132584000,109305000,111172000,137979000,161735000,131408000,459959000,720830000,571030000
53,Total Current Liabilities,34600000,40100000,45000000,58800000,75900000,97200000,105267000,94357000,113186000,113420000,119892000,124018000,157587000,154520000,166264000,195400000,270764000,227057000,266599000,345600000,378816000,390444000,376366000,321782000,296620000,611950000,905605000,754155000
54,Long-Term Debt,22800000,300000,1700000,2400000,1900000,1000000,532000,761000,24866000,9444000,2327000,154000,75000000,75000000,75000000,75000000,- -,75000000,356750000,708070000,804583000,843290000,653595000,667943000,650989000,1339007000,1120742000,1063218000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24296000,31533000,31045000,32721000,51519000,45656000,49224000,42081000,49863000,51967000,51292000,53155000,33564000,25925000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,6200000,- -,- -,- -,- -,- -,- -,- -,3265000,2091000,- -,- -,- -,14940000,11000000,13217000,28067000,26349000,16910000,31715000,32053000,40504000,36122000
57,Other Non-Current Liabilities,- -,- -,- -,- -,100000,-100000,13993000,13667000,25609000,18162000,16278000,22090000,34348000,48944000,71350000,52047000,44097000,12534000,26721000,27831000,23455000,31930000,41205000,38440000,43608000,91401000,79891000,34544000
58,Total Non-Current Liabilities,22800000,300000,1700000,2400000,2000000,7100000,14525000,14428000,50475000,27606000,18605000,22244000,109348000,127209000,172737000,158580000,75142000,120255000,449930000,792557000,890479000,945368000,771012000,775260000,777604000,1515616000,1274701000,1159809000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61815000,53396000,54864000
61,Total Liabilities,57400000,40400000,46700000,61200000,77900000,104300000,119792000,108785000,163661000,141026000,138497000,146262000,266935000,281729000,339001000,353980000,345906000,347312000,716529000,1138157000,1269295000,1335812000,1147378000,1097042000,1074224000,2127566000,2180306000,1913964000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,200000,165000,184000,183000,188000,196000,202000,204000,204000,204000,204000,204000,204000,232000,232000,698000,702000,702000,702000,702000,702000,702000,702000
64,Retained Earnings,-35400000,-32600000,-19500000,500000,36200000,82900000,85033000,42016000,-83927000,-69602000,-22917000,20329000,62357000,53226000,58468000,78094000,105289000,151141000,199987000,263855000,331415000,416851000,545731000,550866000,863768000,930830000,1003490000,1131281000
65,Other Comprehensive Income/Loss,-3300000,-6700000,-10900000,-15600000,-23500000,-32700000,-38544000,-42219000,-47230000,-8221000,-9775000,-9161000,-8589000,-720000,-23263000,-14865000,-15144000,-17261000,-14031000,-23315000,-19883000,-71576000,-94100000,-77356000,-92617000,-91583000,-92445000,-99547000
66,Other Total Stockholders Equity,39900000,99000000,106900000,119100000,130800000,174800000,163706000,218687000,233832000,200509000,219457000,205748000,213240000,172302000,178432000,172630000,165274000,183246000,348169000,302922000,269175000,308423000,302584000,290385000,276378000,290019000,294850000,212341000
67,Total Stockholders Equity,1200000,59700000,76500000,104000000,143500000,225200000,210360000,218668000,102858000,122874000,186961000,217118000,267212000,225012000,213841000,236063000,255623000,317330000,534357000,543694000,581405000,654400000,754917000,764597000,1048231000,1129968000,1206597000,1244777000
68,Total Liabilities And Stockholders Equity,58600000,100100000,123200000,165200000,221400000,329500000,330152000,327453000,266519000,263900000,325458000,363380000,534147000,506741000,552842000,590043000,601529000,664642000,1250886000,1681851000,1850700000,1990212000,1902295000,1861639000,2122455000,3257534000,3386903000,3158741000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,58600000,100100000,123200000,165200000,221400000,329500000,330152000,327453000,266519000,263900000,325458000,363380000,534147000,506741000,552842000,590043000,601529000,664642000,1250886000,1681851000,1850700000,1990212000,1902295000,1861639000,2122455000,3257534000,3386903000,3158741000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/935036/000091205796030078/0000912057-96-030078-index.html,https://www.sec.gov/Archives/edgar/data/935036/000104746997008736/0001047469-97-008736-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/935036/000091205700055165/0000912057-00-055165-index.html,https://www.sec.gov/Archives/edgar/data/935036/000091205701544724/a2066371z10-k.htm,https://www.sec.gov/Archives/edgar/data/935036/000104746903001177/a2100230z10-k.htm,https://www.sec.gov/Archives/edgar/data/935036/000104746903041844/a2124969z10-k.htm,https://www.sec.gov/Archives/edgar/data/935036/000110465904039486/a04-14366_110k.htm,https://www.sec.gov/Archives/edgar/data/935036/000110465905060720/a05-21094_110k.htm,https://www.sec.gov/Archives/edgar/data/935036/000110465907038871/a07-8157_110k.htm,https://www.sec.gov/Archives/edgar/data/935036/000104746908000679/a2182282z10-k.htm,- -,https://www.sec.gov/Archives/edgar/data/935036/000095012310018148/0000950123-10-018148-index.html,https://www.sec.gov/Archives/edgar/data/935036/000095012311015619/c62063e10vk.htm,https://www.sec.gov/Archives/edgar/data/935036/000119312512072292/0001193125-12-072292-index.html,https://www.sec.gov/Archives/edgar/data/935036/000119312513087445/0001193125-13-087445-index.html,https://www.sec.gov/Archives/edgar/data/935036/000119312514076222/d638415d10k.htm,https://www.sec.gov/Archives/edgar/data/935036/000119312515065399/d837470d10k.htm,https://www.sec.gov/Archives/edgar/data/935036/000119312516481404/0001193125-16-481404-index.html,https://www.sec.gov/Archives/edgar/data/935036/000119312517065734/0001193125-17-065734-index.html,https://www.sec.gov/Archives/edgar/data/935036/000119312518060188/0001193125-18-060188-index.html,https://www.sec.gov/Archives/edgar/data/935036/000119312519058622/0001193125-19-058622-index.html,https://www.sec.gov/Archives/edgar/data/935036/000093503620000009/0000935036-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/935036/000093503621000014/0000935036-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/935036/000093503622000010/0000935036-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-33500000,3800000,12600000,23600000,31800000,44700000,2111000,-43017000,15269000,14325000,46685000,43246000,55365000,-9131000,10582000,19626000,27195000,45852000,48846000,63868000,67560000,85436000,129535000,5135000,68921000,67062000,72660000,127791000
74,Depreciation and Amortization,7600000,8900000,10300000,9900000,11400000,21500000,29613000,38528000,15885000,9039000,6571000,5180000,8361000,20839000,22050000,23727000,26347000,28377000,50781000,69967000,86683000,97431000,103454000,102224000,97350000,138503000,163764000,143908000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,9433000,25146000,-3054000,-1358000,-9810000,-6832000,5096000,-6562000,9444000,7513000,4775000,9573000,8437000,19328000,17702000,21660000,-5734000,-22140000,3349000,3733000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7888000,7645000,7790000,11254000,15186000,13572000,11045000,18380000,43613000,13683000,20360000,36763000,29602000,27242000
77,Change in Working Capital,3000000,2300000,18300000,26000000,3600000,-20394000,-5151000,-13889000,31618000,43004000,-3494000,-52662000,-50574000,62922000,-1618000,-54617000,90762000,-25280000,1235000,-51310000,-41812000,33985000,68414000,169818000,38569000,-59117000,-41259000,-87741000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-61965000,22496000,-30643000,-11355000,-76460000,-8243000,-14760000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2494000,-1680000,-2318000,-4963000,5981000,-13548000,-3422000,8557000,-13920000,-1700000,5766000,-7703000,2484000,1408000
81,Other Working Capital,38700000,41000000,59300000,85300000,88900000,68506000,63355000,49466000,81084000,124088000,120594000,67932000,17358000,80280000,78662000,24045000,114807000,89527000,90762000,39452000,-2360000,31625000,100039000,269857000,308426000,249309000,208050000,-45319000
82,Other Non-Cash Items,35100000,-4000000,-23400000,-28900000,-11400000,-5506000,-40212000,41136000,6768000,-53564000,11383000,58745000,57359000,-42951000,33828000,54398000,-80230000,15746000,-130088000,32748000,17113000,-71489000,-262888000,-166323000,-35534000,-23422000,108186000,5540000
83,Cash Provided by Operating Activities,12200000,11000000,17800000,30600000,35400000,40300000,-13639000,22758000,78973000,37950000,58091000,53151000,60701000,24847000,77826000,44217000,81308000,83462000,-9265000,138418000,149026000,183071000,99830000,146197000,183932000,137649000,336302000,220473000
84,CAPEX,-4700000,-5700000,-9300000,-7200000,-8800000,-16300000,-6574000,-3389000,-3812000,-2517000,-3862000,-3832000,-5988000,-8891000,-11957000,-10471000,-13166000,-18977000,-16662000,-32601000,-34900000,-48905000,-63080000,-54414000,-43893000,-48014000,-46633000,-45368000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-7959000,226000,- -,- -,- -,-36568000,-146274000,-17579000,-169000,-7047000,- -,-16850000,-325232000,-378113000,-204290000,-179367000,232000,- -,- -,-757268000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-5000000,-6500000,-5200000,- -,- -,- -,- -,-85301000,-50938000,-2500000,- -,- -,- -,-10000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,4011000,- -,237000,2515000,- -,47864000,123763000,2500000,- -,- -,- -,- -,- -,- -,- -,35311000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-56600000,-700000,-13500000,-10800000,-10900000,2600000,-16938000,-6740000,4934000,118000,1365000,-1573000,- -,506000,-9766000,-13378000,-14392000,-10165000,-4658000,-11497000,-18773000,-28622000,170213000,-28697000,-27095000,-50114000,-12895000,-24786000
89,Cash Used for Investing Activites,-61300000,-6400000,-22800000,-18000000,-24700000,-20200000,-32660000,-9903000,1359000,116000,-2497000,-79410000,-79437000,-25964000,-16956000,-23367000,-19349000,-47683000,-342940000,-410714000,-240690000,-199961000,129633000,-54414000,-45360000,-830481000,-30699000,-45368000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3311000,-1576000,-1576000,-78820000,-26865000,-272891000,-191293000,-263990000,-275669000,-548940000,-525042000,-76920000,-266804000,-144135000
91,Common Stock Issued,29100000,56700000,1500000,6000000,3000000,3600000,3889000,1840000,1276000,5752000,14071000,15127000,13014000,40000,1704000,1243000,1132000,1273000,1426000,2186000,2780000,3104000,2987000,2958000,3098000,3591000,3759000,3440000
92,Common Stock Repurchased,- -,- -,- -,-3300000,- -,-14200000,-21008000,- -,- -,- -,- -,-33014000,-39676000,-46707000,-30063000,-15000000,-19186000,-742000,-57836000,-80912000,-70000000,- -,-60089000,-37387000,-54527000,-35617000,-28881000,-107378000
93,Dividends Paid,- -,-1800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,23400000,-27500000,-400000,-1100000,-2500000,-2900000,17079000,-5990000,-25704000,-20612000,-16891000,-6869000,71818000,-3338000,3983000,1277000,2055000,69568000,317176000,643257000,336595000,310449000,81695000,485221000,518767000,776169000,30356000,-8805000
95,Cash Used/Provided by Financing Activities,52500000,27400000,1100000,1600000,500000,-13500000,-40000,-4150000,-24428000,-14860000,-2820000,-24756000,45156000,-50005000,-27687000,-14056000,-17575000,-8721000,233901000,291640000,78082000,49563000,-251076000,-98148000,-57704000,667223000,-261570000,-256878000
96,Effect of Forex Changes on Cash,100000,- -,-200000,-400000,-600000,200000,-743000,147000,-14000,2886000,2872000,510000,35000,1768000,-17228000,6157000,1009000,-1270000,-2465000,-614000,-4176000,-7735000,-4873000,322000,-2076000,-1495000,-57000,533000
97,Net Change In Cash,52500000,27400000,-4000000,1600000,500000,6900000,-47082000,8852000,55890000,26092000,55646000,-50505000,26455000,-49354000,15955000,12951000,45393000,25788000,-120769000,18730000,-17758000,24938000,-26486000,-6043000,78792000,-27104000,43976000,-81240000
98,Cash at the End of Period,- -,- -,31500000,- -,- -,70500000,23400000,32252000,87894000,113986000,169632000,83693000,110148000,60794000,112966000,125917000,171310000,197098000,76329000,95059000,77301000,102239000,75753000,69710000,148502000,121398000,165374000,184142000
