,https://roic.ai/company/RJF,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88162000,-159562000,-56394000,-621161000,-50917000,-522372000,696000000,127000000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1307607000,-1800957000,594464000,1817304000,-1133283000,345996000,-1231000000,2486000000,- -
81,Other Working Capital,- -,- -,- -,- -,64400000,14800000,22200000,-120100000,- -,- -,-1747000000,-2240000000,-2855000000,-3298000000,-4270000000,-5526000000,-4980532000,-5054000000,-5820000000,-6427000000,-6835976728,-9765982378,- -,-18649984364,-15713987607,-15157056761,-12288305000,-14518980000,-15604384000,-15112937000,-17491994000,-22630734000,- -,-25095462000,-25848000000,3083000000,-88000000
82,Other Non-Cash Items,- -,- -,- -,- -,6500000,60900000,67200000,29200000,-202800000,92300000,1950100000,810400000,806000000,790800000,1123700000,1000480000,-499135000,41496000,867277000,284591000,679013728,2663705650,-9590957378,18435536364,-2695968757,-1862149846,-1663970761,2216877000,1281623000,-562709000,2659753000,4001055000,-22129712000,25823756000,94538000,-25895000000,4000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,85400000,30700000,102200000,-72600000,-30400000,138700000,258500000,394500000,300000000,448300000,250000000,-111063000,180492000,54224000,191190000,-183076000,434050000,-38882000,436571000,81034000,414416000,-1021393000,1558441000,391289000,659805000,507587000,899177000,-518324000,1305936000,1903327000,577000000,4054000000,6625000000
84,CAPEX,- -,- -,- -,- -,-2200000,-4400000,-6400000,-7400000,-15200000,-14700000,-9600000,-10100000,-25500000,-45800000,-20500000,-20262000,-27080000,-26390000,-28775000,-22028000,-30154000,-27280000,-46081000,-51043000,-35539000,-22287000,-37200000,-77515000,-72879000,-60149000,-74111000,-121733000,-189994000,-133586000,-138000000,-124000000,-74000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-89735000,-18078000,7320000,- -,- -,-6354000,-1073621000,-6450000,-2007000,- -,-175283000,- -,-159200000,-5000000,-5000000,-266000000
86,Purchases of Investments,- -,- -,- -,- -,-6400000,-6900000,-700000,-900000,-3600000,-63300000,-101000000,-167500000,-178800000,-190200000,-216700000,-141757000,-169952000,-251855000,-98299000,-66011000,-60536000,-1707140000,-857089000,-228113000,-244514000,-120689000,-238768000,-249379000,-62102000,-1591000,-137059000,-503554000,-1732790000,-1124203000,-1027000000,-5710000000,-4218000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,4800000,10800000,4700000,2600000,2800000,5100000,52000000,93300000,71900000,117800000,198100000,141582000,202925000,266274000,207965000,98730000,80921000,1087876000,106295000,348667000,149829000,149961000,170034000,90482000,353015000,197176000,154542000,107023000,483575000,540914000,644000000,1410000000,3150000000
88,Other Investing Activites,- -,- -,- -,- -,-2300000,-4300000,-5500000,-7200000,-14900000,-13900000,-8700000,-10100000,-25500000,-45900000,-88100000,-20262000,-75549000,-26390000,-28775000,-22028000,-343713000,-1332801000,-2164983000,-2838642000,-936117000,2359236000,-287855000,-1421182000,-863558000,-2230193000,-2111331000,-2288272000,-1936861000,-2599839000,-1371000000,-556000000,-3732000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-3900000,-400000,-1500000,-5500000,-15700000,-72100000,-57700000,-84300000,-132400000,-118300000,-106700000,-20437000,-42576000,-11971000,80891000,10691000,-323328000,-2041800000,-2933855000,-2710768000,-1066341000,2366221000,-400143000,-2731215000,-651974000,-2096764000,-2167959000,-2981819000,-3376070000,-3475914000,-1897000000,-4985000000,-5140000000
90,Debt Repayment,- -,- -,- -,- -,-100000,-100000,-100000,-100000,-100000,-100000,-200000,-2700000,-10700000,-14400000,-121300000,-209967000,-94873000,-197320000,-289893000,-111014000,-6473000,-18670000,-55211000,-24935000,-1203140000,-33075000,-2585003000,-573709000,-332210000,-51026000,-528925000,-268669000,-1341539000,-1154952000,-1155000000,-855000000,-875000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,362823000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4339000,-3537000,-23111000,-20860000,-11718000,-8427000,-88542000,-162502000,-34055000,-61971000,-778000000,-272000000,-128000000
93,Dividends Paid,- -,- -,- -,- -,-1100000,-1400000,-2100000,-3400000,-2800000,-6700000,-7400000,-7900000,-9900000,-11600000,-13300000,-13878000,-17429000,-18508000,-17639000,-20664000,-26300000,-37570000,-48488000,-53151000,-54140000,-56009000,-63090000,-68782000,-76593000,-88102000,-103143000,-113435000,-127202000,-151336000,-191000000,-205000000,-218000000
94,Other Financing Activites,- -,- -,- -,- -,800000,-5000000,700000,1200000,-1900000,-13500000,-100000,15300000,6500000,50700000,101600000,121830000,129938000,187349000,290265000,92863000,387181000,1895278000,2846775000,5271571000,1019803000,-619557000,991820000,2179803000,1035953000,1371516000,2446515000,3123339000,5567359000,2788441000,3497000000,5925000000,6475000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-400000,-6500000,-1500000,-2300000,-4800000,-20300000,-7700000,4700000,-14100000,24700000,-33000000,-102015000,17636000,-28479000,-17267000,-38815000,354408000,1839038000,2743076000,5193485000,-241816000,-712178000,-1679384000,1879275000,615432000,1223961000,1725905000,2578733000,4064563000,1420182000,1373000000,4593000000,5254000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-811000,-2368000,-2743000,10318000,5392000,4796000,2202000,3079000,-1201000,-1450000,1116000,-824000,976000,-6667000,-32337000,-55180000,-29144000,24791000,-16961000,-23000000,1000000,76000000
97,Net Change In Cash,- -,- -,- -,- -,-400000,-6500000,-1500000,-2300000,-4800000,-20300000,-7700000,4700000,-14100000,24700000,110300000,-234326000,153184000,11031000,265132000,-205808000,469926000,-239442000,248871000,2562550000,-901408000,637154000,-503544000,-459675000,616596000,-397553000,401943000,-950554000,2019220000,-169366000,30000000,3663000000,6815000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1353800000,1119517000,458468000,469499000,734631000,528823000,998749000,641691000,644943000,3207493000,2306085000,2943239000,2439695000,1980020000,2596616000,2199063000,2601006000,1650452000,3669672000,3500306000,5971000000,9634000000,16449000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,167200000,248300000,185700000,285000000,204600000,153200000,227200000,420400000,735300000,888800000,1243500000,1353843000,305284000,458468000,469499000,734631000,528823000,881133000,396072000,644943000,3207493000,2306085000,2943239000,2439695000,1980020000,2596616000,2199063000,2601006000,1650452000,3669672000,5941000000,5971000000,9634000000
100,Free Cash Flow,- -,- -,- -,- -,83200000,26300000,95800000,-80000000,-45600000,124000000,248900000,384400000,274500000,402500000,229500000,-131325000,153412000,27834000,162415000,-205104000,403896000,-66162000,390490000,29991000,378877000,-1043680000,1521241000,313774000,586926000,447438000,825066000,-640057000,1115942000,1769741000,439000000,3930000000,6551000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/720005/000072000595000018/0000720005-95-000018-index.html,https://www.sec.gov/Archives/edgar/data/720005/000101684396000139/0001016843-96-000139-index.html,https://www.sec.gov/Archives/edgar/data/720005/000072000597000015/0000720005-97-000015-index.html,https://www.sec.gov/Archives/edgar/data/720005/000072000598000022/0000720005-98-000022-index.html,https://www.sec.gov/Archives/edgar/data/720005/000072000599000025/0000720005-99-000025-index.html,https://www.sec.gov/Archives/edgar/data/720005/000072000500500017/0000720005-00-500017-index.html,https://www.sec.gov/Archives/edgar/data/720005/000072000501500034/0000720005-01-500034-index.htm,https://www.sec.gov/Archives/edgar/data/720005/000072000502000028/0000720005-02-000028-index.htm,https://www.sec.gov/Archives/edgar/data/720005/000072000503000029/0000720005-03-000029-index.htm,https://www.sec.gov/Archives/edgar/data/720005/000072000504000075/0000720005-04-000075-index.htm,https://www.sec.gov/Archives/edgar/data/720005/000072000505000189/0000720005-05-000189-index.htm,https://www.sec.gov/Archives/edgar/data/720005/000072000506000219/0000720005-06-000219-index.htm,- -,https://www.sec.gov/Archives/edgar/data/720005/000072000508000158/0000720005-08-000158-index.htm,https://www.sec.gov/Archives/edgar/data/720005/000072000509000080/0000720005-09-000080-index.htm,https://www.sec.gov/Archives/edgar/data/720005/000072000510000081/0000720005-10-000081-index.htm,https://www.sec.gov/Archives/edgar/data/720005/000072000511000101/0000720005-11-000101-index.htm,https://www.sec.gov/Archives/edgar/data/720005/000072000512000113/0000720005-12-000113-index.htm,https://www.sec.gov/Archives/edgar/data/720005/000072000513000089/0000720005-13-000089-index.htm,https://www.sec.gov/Archives/edgar/data/720005/000072000514000077/0000720005-14-000077-index.htm,https://www.sec.gov/Archives/edgar/data/720005/000072000515000075/0000720005-15-000075-index.htm,https://www.sec.gov/Archives/edgar/data/720005/000072000516000169/0000720005-16-000169-index.htm,- -,https://www.sec.gov/Archives/edgar/data/720005/000072000518000083/0000720005-18-000083-index.htm,https://www.sec.gov/Archives/edgar/data/720005/000072000519000086/0000720005-19-000086-index.htm,https://www.sec.gov/Archives/edgar/data/720005/000072000520000063/0000720005-20-000063-index.htm,https://www.sec.gov/Archives/edgar/data/720005/000072000521000106/0000720005-21-000106-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
