,https://roic.ai/company/MD,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
41,Intangible Assets,- -,- -,- -,- -,- -,- -,241230000,445305000,463032000,527422000,588874000,680097000,777484000,870358000,1127959000,1270137000,1601319000,1746762000,2165672000,2393731000,2776188000,3790369000,4513686000,4923891000,4971307000,2984699000,1504610000,1526995000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16241000,28491000,27393000,44991000,47593000,57511000,64082000,63288000,78975000,80682000,69699000,- -,- -,99715000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,162385000,54472000,88344000
44,Other Non-Current Assets,100000,5600000,49400000,104900000,195100000,241200000,- -,- -,7472000,17421000,21160000,27827000,26148000,37156000,28966000,54785000,70151000,83092000,118290000,129438000,235425000,82154000,56543000,111934000,103459000,89994000,107355000,31313000
45,Total Non-Current Assets,3100000,10100000,58100000,114800000,207000000,254800000,250859000,460141000,487324000,572037000,636655000,735779000,833571000,938676000,1211973000,1396685000,1741637000,1935375000,2391293000,2640591000,3141743000,4019445000,4752272000,5240043000,5277502000,3414394000,1798600000,1881982000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,20300000,69900000,159000000,196800000,270700000,334800000,324734000,573099000,648679000,717594000,788889000,900403000,1135170000,1302802000,1496874000,1689350000,2037646000,2272648000,2750337000,3049430000,3608795000,4547214000,5339400000,5867278000,5934911000,4145901000,3347948000,2722546000
48,Accounts Payable,2800000,4300000,13400000,16200000,30000000,29100000,29878000,73203000,76400000,111974000,128991000,164749000,5945000,5574000,10585000,11199000,9581000,12264000,13812000,18605000,32783000,21969000,28474000,34632000,31059000,39610000,59771000,36645000
49,Short-Term Debt,- -,- -,200000,200000,200000,48600000,23500000,531000,504000,686000,619000,882000,483000,469000,258000,234000,146681000,29470000,- -,- -,10000000,10000000,20000000,1401000,- -,- -,21152000,22174000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43971000,46068000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,600000,2000000,6100000,11700000,18600000,18600000,18389000,4843000,4896000,8385000,1444000,1157000,214887000,258844000,306282000,335271000,164585000,212567000,254526000,308187000,373490000,396802000,400475000,495392000,469134000,502208000,363412000,368547000
53,Total Current Liabilities,3400000,6300000,19700000,28100000,48800000,96300000,71767000,78577000,81800000,121045000,131054000,166788000,221315000,264887000,317125000,346704000,320847000,254301000,268338000,326792000,416273000,428771000,448949000,531425000,500193000,541818000,444335000,427366000
54,Long-Term Debt,800000,800000,2800000,2600000,10300000,2200000,- -,2675000,1985000,1178000,54693000,622000,377000,455000,139856000,50209000,146500000,29000000,144000000,27000000,558855000,1262820000,1682132000,1851423000,1974280000,1730237000,1783526000,1043654000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,200000,2400000,3300000,5100000,7197000,9846000,13290000,17429000,24052000,30830000,34272000,40489000,46873000,59454000,74066000,93831000,125877000,152155000,160487000,188956000,227802000,147797000,131240000,57995000,61746000,41409000
57,Other Non-Current Liabilities,- -,- -,- -,- -,900000,2300000,3870000,3149000,3606000,5564000,8059000,10372000,13405000,37919000,27882000,42885000,48779000,164500000,176754000,200495000,207614000,228821000,219750000,270179000,241314000,316855000,310624000,313425000
58,Total Non-Current Liabilities,800000,800000,3000000,5000000,14500000,9600000,11067000,15670000,18881000,24171000,86804000,41824000,48054000,78863000,214611000,152548000,269345000,287331000,446631000,379650000,926956000,1680597000,2129684000,2269399000,2346834000,2105087000,2155896000,1398488000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,181000,470000,334000,235000,465000,1883000,3550000,- -,253000,90510000,71021000,63570000
61,Total Liabilities,4200000,7100000,22700000,33100000,63300000,105900000,82834000,94247000,100681000,145216000,217858000,208612000,269369000,343750000,531736000,499252000,590192000,541632000,714969000,706442000,1343229000,2109368000,2578633000,2800824000,2847027000,2646905000,2600231000,1825854000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,200000,159000,250000,270000,284000,225000,237000,489000,484000,456000,470000,479000,489000,500000,1012000,960000,937000,937000,937000,878000,842000,856000,864000
64,Retained Earnings,300000,7000000,20200000,41100000,70200000,95200000,106201000,136629000,205405000,289733000,199959000,250323000,348928000,401732000,409389000,585193000,787884000,1005881000,1246788000,1484023000,1376782000,1510356000,1785526000,2048189000,2094359000,510212000,-286354000,-155390000
65,Other Comprehensive Income/Loss,-400000,-200000,-1300000,-2200000,-3700000,-5700000,-7592000,-12210000,-17655000,-24477000,-30959000,-36605000,-40718000,-45225000,-52052000,-60610000,-56182000,-65191000,-74051000,-86999000,-96895000,-119334000,-143708000,-169624000,-207816000,-202102000,3530000,1317000
66,Other Total Stockholders Equity,16200000,56000000,117400000,124800000,134600000,139200000,143132000,354183000,359978000,306838000,401806000,477836000,557102000,602061000,607345000,665045000,715273000,789837000,862131000,944952000,983772000,1045569000,1118012000,1186952000,1200463000,1190044000,1029453000,1049696000
67,Total Stockholders Equity,16100000,62800000,136300000,163700000,201100000,228900000,241900000,478852000,547998000,572378000,571031000,691791000,865801000,959052000,965138000,1190098000,1447454000,1731016000,2035368000,2342988000,2264619000,2437528000,2760767000,3066454000,3087884000,1498996000,747485000,896487000
68,Total Liabilities And Stockholders Equity,20300000,69900000,159000000,196800000,264400000,334800000,324734000,573099000,648679000,717594000,788889000,900403000,1135170000,1302802000,1496874000,1689350000,2037646000,2272648000,2750337000,3049430000,3607848000,4546896000,5339400000,5867278000,5934911000,4145901000,3347716000,2722341000
69,Minority Interest,- -,- -,- -,- -,6300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,947000,318000,- -,- -,- -,- -,232000,205000
70,Total Liabilities & Equity,20300000,69900000,159000000,196800000,270700000,334800000,324734000,573099000,648679000,717594000,788889000,900403000,1135170000,1302802000,1496874000,1689350000,2037646000,2272648000,2750337000,3049430000,3608795000,4547214000,5339400000,5867278000,5934911000,4145901000,3347948000,2722546000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/893949/000095014404002417/g87662e10vk.htm,https://www.sec.gov/Archives/edgar/data/893949/000095014405002382/g93655e10vk.htm,https://www.sec.gov/Archives/edgar/data/893949/000095014406001900/g99910e10vk.htm,https://www.sec.gov/Archives/edgar/data/893949/000095014407007315/g08778e10vk.htm,https://www.sec.gov/Archives/edgar/data/893949/000119312508040809/d10k.htm,https://www.sec.gov/Archives/edgar/data/893949/000119312509040133/0001193125-09-040133-index.html,https://www.sec.gov/Archives/edgar/data/893949/000119312510040811/0001193125-10-040811-index.html,https://www.sec.gov/Archives/edgar/data/893949/000119312511045579/d10k.htm,https://www.sec.gov/Archives/edgar/data/893949/000119312512089192/0001193125-12-089192-index.html,https://www.sec.gov/Archives/edgar/data/893949/000119312513062738/0001193125-13-062738-index.html,https://www.sec.gov/Archives/edgar/data/893949/000119312514045903/d661956d10k.htm,https://www.sec.gov/Archives/edgar/data/893949/000119312515039201/d846805d10k.htm,https://www.sec.gov/Archives/edgar/data/893949/000119312516459842/0001193125-16-459842-index.html,https://www.sec.gov/Archives/edgar/data/893949/000119312517038250/0001193125-17-038250-index.html,https://www.sec.gov/Archives/edgar/data/893949/000119312518045748/0001193125-18-045748-index.html,https://www.sec.gov/Archives/edgar/data/893949/000119312519040891/0001193125-19-040891-index.html,https://www.sec.gov/Archives/edgar/data/893949/000119312520042622/0001193125-20-042622-index.html,https://www.sec.gov/Archives/edgar/data/893949/000119312521047064/0001193125-21-047064-index.htm,https://www.sec.gov/Archives/edgar/data/893949/000095017022001387/0000950170-22-001387-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,5400000,6700000,13100000,20900000,29100000,25000000,10986000,30428000,68776000,84328000,98279000,89037000,124465000,142722000,169201000,175804000,202691000,217997000,240907000,280517000,317281000,336320000,324914000,320372000,268629000,-1497702000,-796488000,130964000
74,Depreciation and Amortization,200000,400000,1800000,4500000,8700000,12100000,13810000,21439000,6135000,8405000,9353000,9915000,9470000,10563000,13210000,16716000,21950000,25292000,30816000,39966000,45990000,64228000,89264000,102879000,111281000,78860000,28441000,32147000
75,Deferred Income Tax,500000,1500000,4400000,6500000,5100000,5700000,-1340000,-14725000,1497000,-9700000,5811000,1551000,-1736000,-7016000,-13649000,7447000,24375000,8063000,21344000,15920000,2559000,14494000,18149000,-60073000,-24149000,-177000000,36292000,-31239000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20776000,24320000,25693000,27092000,28437000,31288000,31719000,32129000,34000000,29573000,38703000,35351000,39042000,18968000
77,Change in Working Capital,-800000,39700000,27700000,-27300000,-39000000,-31200000,18408000,32273000,45174000,-55043000,-3332000,-23344000,82448000,18955000,-131463000,-21815000,29201000,107810000,7734000,-8659000,-31268000,48219000,39181000,-42369000,61406000,32473000,915324000,-23356000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16929000,-2049000,-16951000,-48993000,-17678000,-37331000,-57018000,-55391000,-34000000,7803000,-36598000,7854000,37937000,-72731000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16953000,49239000,66039000,-7874000,11617000,24551000,15390000,104161000,47908000,21326000
81,Other Working Capital,13800000,53500000,81200000,53900000,14900000,-16300000,2108000,34381000,79555000,24512000,21180000,-2164000,80284000,99239000,-32224000,-54039000,-24838000,82972000,90706000,82047000,50779000,98998000,138179000,95810000,157216000,189689000,1105013000,- -
82,Other Non-Cash Items,100000,-42400000,-32200000,24400000,29900000,12400000,-5715000,20921000,-23740000,90044000,13642000,85259000,-37375000,23298000,123316000,38902000,-63352000,-115235000,-3546000,46366000,56360000,-126689000,-61730000,160996000,-165945000,1874655000,-17991000,-50747000
83,Cash Provided by Operating Activities,5400000,5900000,14800000,29000000,33800000,24000000,36149000,90336000,97842000,118034000,123753000,162418000,177272000,188522000,181391000,241374000,240558000,271019000,325692000,405398000,422641000,368701000,443778000,511378000,289925000,346637000,204620000,76737000
84,CAPEX,-600000,-1900000,-4700000,-62400000,-92200000,-55000000,-13379000,-30822000,-7993000,-15274000,-7057000,-7885000,-12874000,-8509000,-15680000,-14947000,-12113000,-31332000,-14495000,-15654000,-18061000,-27073000,-39264000,-49309000,-48868000,-31881000,-28788000,-32249000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-75243000,-64853000,-91937000,-91838000,-119101000,-205724000,-151321000,-338596000,-154885000,-441006000,-238045000,-479394000,-818903000,-762302000,-531696000,-91727000,137755000,-1145000,-5202000
86,Purchases of Investments,- -,-34400000,-57400000,-14000000,-9900000,- -,- -,- -,- -,- -,-12461000,-19130000,-78673000,-201756000,-26227000,-19601000,-26478000,-42526000,-33120000,-20802000,-26884000,-33980000,-60976000,-27723000,-15884000,-35101000,-61845000,-35052000
87,Sales/Maturities of Investments,- -,6900000,27900000,44200000,37000000,- -,- -,- -,- -,- -,2500000,14100000,21335000,238574000,24733000,22735000,15575000,38170000,28073000,11011000,20735000,31956000,41325000,25410000,13710000,51105000,33432000,16496000
88,Other Investing Activites,- -,-5100000,-42500000,- -,-100000,-17200000,5138000,- -,-25735000,- -,1100000,- -,6102000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6705000,- -,-19423000,873857000,2934000
89,Cash Used for Investing Activites,-600000,-34500000,-76700000,-32200000,-65200000,-72200000,-8241000,-30822000,-33728000,-90517000,-80771000,-104852000,-155948000,-90792000,-222898000,-163134000,-361612000,-190573000,-460548000,-263490000,-503604000,-848000000,-821217000,-576613000,-142769000,102455000,815511000,-53073000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-312584000,-563316000,-587762000,-632433000,-405033000,-1028599000,-1213659000,-2158171000,-1512130000,-2701267000,-2095856000,-1987034000,-528661000,-762657000
91,Common Stock Issued,600000,39900000,59800000,3500000,5800000,8100000,1585000,15833000,32111000,27936000,33694000,51423000,29920000,27388000,11682000,17959000,22532000,31362000,28810000,28697000,42876000,20128000,22022000,23276000,16258000,11258000,7009000,6853000
92,Common Stock Repurchased,-400000,-100000,- -,- -,- -,- -,- -,-2561000,-49998000,-100002000,-149998000,-50000000,- -,-100000000,-199997000,- -,- -,- -,- -,-51863000,-488429000,-235051000,-61828000,-70192000,-302160000,-145280000,-8493000,-4719000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-100000,-100000,2100000,-200000,7700000,40300000,-27243000,-48304000,-589000,-750000,52437000,-54808000,7159000,8180000,453931000,479274000,686032000,512970000,513763000,919714000,1756966000,2856037000,1933501000,2837920000,2211147000,1727986000,525987000,407000
95,Cash Used/Provided by Financing Activities,100000,39700000,61900000,3300000,13500000,48400000,-25658000,-35032000,-18476000,-72816000,-63867000,-53385000,37079000,-64432000,-46968000,-66083000,120802000,-88101000,137540000,-132051000,97754000,482943000,381565000,89737000,-170611000,-393070000,-4158000,-760116000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,100000,39700000,61900000,3300000,13500000,100000,2250000,24482000,45638000,-45299000,-20885000,4181000,58403000,33298000,-88475000,12157000,-252000,-7655000,2684000,9857000,16791000,3644000,4126000,24502000,-23455000,56022000,1015973000,-736452000
98,Cash at the End of Period,- -,- -,- -,- -,- -,800000,3075000,27557000,73195000,27896000,7011000,11192000,69595000,102893000,14346000,26503000,26251000,18596000,21280000,31137000,47928000,51572000,55698000,80200000,56745000,112767000,1123843000,387391000
99,Cash at the Beginning of Period,2500000,7400000,18500000,18400000,18600000,700000,825000,3075000,27557000,73195000,27896000,7011000,11192000,69595000,102821000,14346000,26503000,26251000,18596000,21280000,31137000,47928000,51572000,55698000,80200000,56745000,107870000,1123843000
100,Free Cash Flow,4800000,4000000,10100000,-33400000,-58400000,-31000000,22770000,59514000,89849000,102760000,116696000,154533000,164398000,180013000,165711000,226427000,228445000,239687000,311197000,389744000,404580000,341628000,404514000,462069000,241057000,314756000,175832000,44488000
