,https://roic.ai/company/ZION,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,214200000,255100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
11,COGS and Expenses,357300000,430900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,282600000,287300000,285600000,258200000,267700000,354000000,430500000,479000000,682300000,976100000,1359300000,1626183000,1591952000,1455919000,1399388000,1505138000,1910256000,2818121000,3205326000,2973899000,2515326000,2319845000,2204927000,2038722000,1941405000,1852993000,1833471000,1954314000,2192000000,2481000000,2683000000,2368000000,2267000000
13,Interest Expense (Gain),143100000,175800000,- -,- -,- -,- -,161900000,166100000,154100000,114200000,110900000,155400000,203500000,218500000,330500000,432300000,617800000,822805000,642163000,420777000,303894000,330642000,548906000,1053397000,1323374000,1002253000,617794000,592456000,432396000,306782000,245077000,172998000,118211000,86966000,127000000,251000000,411000000,152000000,59000000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,12400000,5400000,5400000,5300000,15800000,17000000,17700000,18100000,21900000,31500000,52100000,90600000,114972000,119614000,87093000,94536000,94777000,100667000,133771000,124973000,140201000,213040000,372754000,299948000,214617000,130616000,128648000,151088000,123086000,179000000,193000000,188000000,86000000,-14000000
15,EBITDA,173900000,203400000,- -,- -,- -,- -,190100000,209700000,201500000,194600000,205600000,267800000,343900000,393900000,549600000,702100000,1012000000,1179147000,1202597000,931850000,950004000,1051532000,1393112000,2088243000,2177829000,832820000,-786620000,565663000,1254731000,1064331000,782461000,923069000,721158000,914960000,1242000000,1587000000,1652000000,910000000,1491000000
16,EBITDA ratio,1.7083,1.9009,- -,- -,- -,- -,1.1948,1.1761,1.0583,0.9451,0.8753,0.9853,1.0963,1.0606,1.1103,0.9430,1.0040,1.0794,0.8788,0.6600,0.5991,0.6604,0.7739,0.9017,0.9492,0.3851,-0.3106,0.2609,0.5566,0.4946,0.3847,0.4218,0.3447,0.3840,0.4760,0.5705,0.5829,0.3262,0.5101
17,Operating Income,30800000,27600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,0.3026,0.2579,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,30800000,27600000,- -,- -,- -,- -,19000000,38200000,42100000,64600000,76100000,94700000,122300000,153500000,187600000,217700000,303600000,241370000,447979000,484809000,553344000,626113000,743539000,912924000,737498000,-314698000,-1623020000,-403168000,521273000,541566000,406432000,621423000,451859000,704908000,936000000,1143000000,1053000000,672000000,1446000000
21,Income Before Tax Ratio,0.3026,0.2579,- -,- -,- -,- -,0.1194,0.2142,0.2211,0.3137,0.3240,0.3484,0.3899,0.4133,0.3790,0.2924,0.3012,0.2209,0.3274,0.3434,0.3490,0.3932,0.4130,0.3942,0.3214,-0.1455,-0.6409,-0.1860,0.2312,0.2517,0.1998,0.2839,0.2160,0.2958,0.3588,0.4109,0.3716,0.2409,0.4947
22,Income Tax expense (Gain),6300000,2600000,- -,- -,- -,- -,5100000,11600000,13000000,21200000,24700000,30900000,41000000,52100000,65200000,70900000,109500000,79661000,157800000,167702000,213751000,220126000,263418000,317950000,235737000,-43365000,-401343000,-106819000,198583000,193416000,142977000,222961000,142388000,235858000,344000000,259000000,237000000,133000000,317000000
23,Net Income,24500000,25000000,28200000,20600000,-14400000,-17900000,17700000,26600000,29100000,43400000,53000000,63800000,81300000,101400000,122400000,146800000,194100000,161709000,283020000,256278000,337823000,405987000,480121000,583125000,493745000,-266269000,-1216111000,-292728000,323804000,349516000,263791000,398462000,309471000,469050000,592000000,884000000,816000000,539000000,1129000000
24,Net Income ratio,0.2407,0.2336,Infinity,Infinity,-Infinity,-Infinity,0.1113,0.1492,0.1528,0.2108,0.2256,0.2347,0.2592,0.2730,0.2473,0.1972,0.1926,0.1480,0.2068,0.1815,0.2131,0.2550,0.2667,0.2518,0.2152,-0.1231,-0.4802,-0.1350,0.1436,0.1624,0.1297,0.1821,0.1479,0.1968,0.2269,0.3178,0.2879,0.1932,0.3862
25,EPS,0.54,0.55,0.59,0.43,-0.32,-0.38,0.38,0.56,0.60,0.88,1.06,1.09,1.38,1.71,1.92,1.93,2.29,1.87,3.10,2.80,3.75,4.53,5.27,5.46,4.47,-2.67,-9.92,-2.49,0.83,0.97,1.58,1.72,1.20,2.00,2.71,4.36,4.41,3.06,6.90
26,EPS Diluted,0.54,0.55,0.58,0.43,-0.32,-0.38,0.38,0.56,0.60,0.88,1.05,1.09,1.38,1.71,1.89,1.91,2.26,1.86,3.07,2.78,3.72,4.47,5.16,5.36,4.42,-2.67,-9.92,-2.49,0.83,0.97,1.58,1.71,1.20,1.99,2.60,4.08,4.16,3.02,6.82
27,Weighted Average Shares Outstanding,45200000,45500000,45084746,45813953,45000000,47105263,46578947,47500000,48500000,49318182,50000000,58404000,58868000,59228000,64629000,76988000,85695000,87120000,91202000,91566000,90048000,89663000,91187000,106057000,107365000,108908000,124443000,165961500,182393000,183081000,183844000,192207000,203265000,203855000,200776000,193589000,175984000,163737000,163737000
28,Weighted Average Shares Outstanding Diluted,45200000,45500000,45862069,45813953,45000000,47105263,46578947,47500000,48500000,49318182,50476190,58404000,58868000,59228000,64761905,76988000,85884956,87120000,92174000,92079000,90734000,90882000,92994000,108028000,108523000,109145000,124443000,165961500,182605000,183236000,184297000,192789000,203698000,204269000,209653000,206501000,186504000,165613000,165613000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/109380/000102140803004570/d10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000119312504042018/d10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000119312505041747/d10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000119312506054744/d10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000119312507044275/d10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000119312508041960/d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/109380/000119312510044760/d10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000119312511051989/d10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000119312512089333/d260873d10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000010938013000081/zion-20121231x10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000010938014000048/zion-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000010938015000046/zion-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000010938016000345/zion-20151231x10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000010938017000050/zion-20161231x10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000010938018000102/zion-20171231x10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000010938019000040/zion-20181231x10k123118.htm,https://www.sec.gov/Archives/edgar/data/109380/000010938020000092/0000109380-20-000092-index.htm,https://www.sec.gov/Archives/edgar/data/109380/000010938021000082/0000109380-21-000082-index.htm,https://www.sec.gov/Archives/edgar/data/109380/000010938022000072/0000109380-22-000072-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,445300000,496000000,580700000,526200000,328800000,336600000,452700000,452000000,688700000,894900000,915700000,1068489000,981389000,1088986000,1120235000,852249000,1728769000,1982013000,2581601000,3808735000,2023153000,5500134000,8245245000,7820885000,9350131000,8020039000,6906443000,2148179000,1330000000,1233000000,1448000000,1617000000,10878000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5050907000,5134610000,2676255000,3655619000,4205742000,3230795000,3091310000,3701886000,3844248000,7643116000,13553610000,15341000000,14979000000,13826000000,15877000000,24048000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,445300000,496000000,580700000,526200000,328800000,336600000,452700000,452000000,688700000,894900000,915700000,1068489000,981389000,1088986000,1120235000,852249000,1728769000,7032920000,7716211000,6484990000,5678772000,9705876000,11476040000,10912195000,13052017000,11864287000,14549559000,15701789000,16671000000,16212000000,15274000000,17494000000,34926000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,502601000,- -,466492000,410174000,422431000,422513000,387929000,408974000,441666000,422969000,364000000,327000000,334000000,320000000,327000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15251300000,18411600000,19905002000,23322774000,20634171000,21489262000,24389075000,32342159000,30475333000,35018572000,40589993000,37489914000,33141374000,34504300000,37671410000,35633168000,37638104000,33657361000,29833042000,30695000000,34111000000,36586000000,44533000000,30449000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16146200000,19327300000,20973491000,24304163000,21723157000,22609497000,25241324000,34070928000,37508253000,43237384000,47074983000,43635178000,43257424000,46402771000,49006118000,49073114000,49911365000,48648586000,45957800000,47730000000,50650000000,52194000000,62347000000,65702000000
38,PP&E,41000000,40000000,53000000,55000000,54000000,54000000,51800000,51700000,50300000,64300000,65100000,76200000,82600000,93000000,136000000,231100000,287400000,324512000,368076000,393630000,407825000,409210000,564745000,609472000,655712000,687096000,710534000,720985000,719276000,708882000,726372000,829809000,905462000,1019508000,1094000000,1124000000,1142000000,1209000000,1319000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900517000,2009513000,1651377000,1015161000,1015161000,1015129000,1014129000,1014129000,1014129000,1014129000,1014129000,1014000000,1014000000,1014000000,1014000000,1014000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,162134000,149493000,125935000,113416000,87898000,67830000,50818000,36444000,25520000,16272000,8420000,2000000,1000000,1000000,2000000,1000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,271600000,666200000,641440000,879911000,812951000,722899000,698085000,2086754000,2062651000,2159006000,1777312000,1128577000,1103059000,1082959000,1064947000,1050573000,1039649000,1030401000,1022549000,1016000000,1015000000,1014000000,1016000000,1015000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3635951000,4818017000,5121215000,6057212000,6789850000,6895312000,5553400000,5648718000,5953418000,4944103000,4731971000,5181068000,5428051000,9085076000,15239308000,16448000000,15957000000,14822000000,16907000000,25164000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1247986000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,502700000,953600000,965952000,1000,4842532000,5948741000,6228510000,8708711000,9461973000,9710030000,8017808000,7487829000,7777462000,6746338000,6505800000,6958013000,7297509000,11020939000,17281365000,18558000000,18096000000,16978000000,19132000000,27498000000
46,Other Assets,2311000000,2711000000,3181000000,3297000000,3020000000,2803000000,2975400000,3559100000,3645800000,3779300000,4365600000,4934100000,5620600000,6485000000,9521800000,- -,- -,- -,- -,31408221000,34506979000,37698344000,51488350000,56432199000,62657444000,63110599000,58610836000,58812348000,59895447000,62017718000,62989140000,64506383000,70690464000,80520530000,84846000000,86842000000,86150000000,100611000000,120698000000
47,Total Assets,2311000000,2711000000,3181000000,3297000000,3020000000,2803000000,2975400000,3559100000,3645800000,3779300000,4365600000,4934100000,5620600000,6485000000,9521800000,16648900000,20280900000,21939443000,24304164000,26565689000,28558238000,31469834000,42779639000,46970226000,52947414000,55092791000,51123007000,51034886000,53149109000,55511918000,56031127000,57208874000,59669525000,63239165000,66288000000,68746000000,69172000000,81479000000,93200000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,1400000,290000000,203700000,153500000,136100000,25700000,14900000,13500000,59900000,150000000,1038000000,1290960000,181266000,15554000,215354000,181396000,185989000,220507000,297850000,15451000,1084000,166394000,70273000,5409000,- -,1200000,- -,500000000,3600000000,4500000000,1000000000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2097000000,2482000000,2933000000,2991000000,2737000000,2534000000,2713600000,2993000000,3154300000,3284500000,4139900000,4382300000,5037100000,6298500000,9787100000,15997000000,17133000000,18453040000,21062734000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
53,Total Current Liabilities,2097000000,2482000000,2933000000,2991000000,2737000000,2534000000,2715000000,3283000000,3358000000,3438000000,4276000000,4408000000,5052000000,6312000000,9847000000,16147000000,18171000000,19744000000,21244000000,15554000,215354000,181396000,185989000,220507000,297850000,15451000,1084000,166394000,70273000,5409000,- -,1200000,- -,500000000,3600000000,4500000000,1000000000,- -,- -
54,Long-Term Debt,47000000,44000000,44000000,106000000,103000000,102000000,95700000,92800000,81100000,150900000,207700000,159800000,142400000,325300000,469200000,510500000,804800000,761565000,1330800000,1601769000,1969202000,1918741000,2745854000,2357721000,2463254000,2493368000,2017220000,1942622000,1954462000,2337113000,2273575000,1092282000,817348000,534850000,383000000,724000000,1723000000,1336000000,1012000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,300000,200000,-100000,-51900000,4300000,200000,-2400000,-75300000,-189200000,-60500000,-354800000,-344565000,-551800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,47000000,44000000,44000000,106000000,103000000,102000000,96000000,93000000,81000000,99000000,212000000,160000000,140000000,250000000,280000000,450000000,450000000,417000000,779000000,1601769000,1969202000,1918741000,2745854000,2357721000,2463254000,2493368000,2017220000,1942622000,1954462000,2337113000,2273575000,1092282000,817348000,534850000,383000000,724000000,1723000000,1336000000,1012000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,192100000,- -,162200000,- -,- -,320300000,280100000,- -,- -,- -,- -,- -,- -,25755384000,27752287000,30393841000,41074689000,44077626000,49789079000,51041692000,47428886000,46163900000,48050070000,51794981000,51840139000,50930426000,52979354000,55639709000,55392000000,57392000000,62542000000,74929000000,86749000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2805000,2839000,- -,473000,758000,721000,682000,639000,1062000,912000,740000,1000000,- -,4000000,4000000,4000000
61,Total Liabilities,2144000000,2526000000,2977000000,3097000000,2840000000,2636000000,2811100000,3375600000,3439200000,3536800000,4075200000,4568300000,5192100000,5977500000,8866300000,15600400000,18581900000,20120742000,22006973000,24169169000,25998439000,28656496000,38514824000,41940412000,47623675000,48563775000,45412750000,44387672000,46165881000,49463277000,49566564000,49839344000,52162006000,55604859000,58609000000,61168000000,61819000000,73593000000,85737000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,240000000,240000000,1581834000,1502784000,2056672000,2377560000,1128302000,1003970000,1004011000,828490000,709601000,566000000,566000000,566000000,566000000,440000000
63,Common Stock,40000000,41000000,41000000,41000000,45000000,45000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,888200000,907604000,1111214000,1034888000,985904000,972065000,2156732000,2230303000,2212237000,2599916000,3318417000,4163619000,4163242000,4166109000,4179024000,4723855000,4766731000,4724715000,4445000000,- -,2735000000,2686000000,1928000000
64,Retained Earnings,111000000,128000000,147000000,158000000,135000000,121000000,117400000,135400000,155800000,190000000,233300000,292400000,353200000,429500000,530600000,693800000,775800000,874884000,1109704000,1292741000,1538677000,1830064000,2179885000,2602189000,2910692000,2433363000,1324516000,889284000,1036590000,1203815000,1473670000,1769705000,1966910000,2321571000,2807000000,3456000000,4009000000,4309000000,5175000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46214000,15442000,-12150000,-99353000,-75849000,-58835000,-98958000,-436899000,-461296000,-592084000,-446157000,-192101000,-128041000,-54612000,-121581000,-139000000,-250000000,43000000,325000000,-80000000
66,Other Total Stockholders Equity,16000000,15000000,16000000,1000000,- -,1000000,46900000,48100000,50800000,52500000,57100000,73400000,75300000,78000000,124900000,354700000,35000000,36213000,76273000,- -,- -,- -,- -,-9620000,-11294000,-14459000,-16160000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,167000000,184000000,204000000,200000000,180000000,167000000,164300000,183500000,206600000,242500000,290400000,365800000,428500000,507500000,655500000,1048500000,1699000000,1818701000,2297191000,2373843000,2540023000,2789979000,4237264000,4987023000,5292800000,6501696000,5692658000,6648279000,6985308000,6052069000,6464563000,7369530000,7507519000,7634306000,7679000000,7578000000,7353000000,7886000000,7463000000
68,Total Liabilities And Stockholders Equity,2311000000,2710000000,3181000000,3297000000,3020000000,2803000000,2975400000,3559100000,3645800000,3779300000,4365600000,4934100000,5620600000,6485000000,9521800000,16648900000,20280900000,21939443000,24304164000,26543012000,28538462000,31446475000,42752088000,46927435000,52916475000,55065471000,51105408000,51035951000,53151189000,55515346000,56031127000,57208874000,59669525000,63239165000,66288000000,68746000000,69172000000,81479000000,93200000000
69,Minority Interest,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22677000,19776000,23359000,27551000,42791000,30939000,27320000,17599000,-1065000,-2080000,-3428000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2311000000,2711000000,3181000000,3297000000,3020000000,2803000000,2975400000,3559100000,3645800000,3779300000,4365600000,4934100000,5620600000,6485000000,9521800000,16648900000,20280900000,21939443000,24304164000,26565689000,28558238000,31469834000,42779639000,46970226000,52947414000,55092791000,51123007000,51034886000,53149109000,55511918000,56031127000,57208874000,59669525000,63239165000,66288000000,68746000000,69172000000,81479000000,93200000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/109380/000102140803004570/d10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000119312504042018/d10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000119312505041747/d10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000119312506054744/d10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000119312507044275/d10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000119312508041960/d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/109380/000119312510044760/d10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000119312511051989/d10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000119312512089333/d260873d10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000010938013000081/zion-20121231x10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000010938014000048/zion-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000010938015000046/zion-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000010938016000345/zion-20151231x10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000010938017000050/zion-20161231x10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000010938018000102/zion-20171231x10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000010938019000040/zion-20181231x10k123118.htm,https://www.sec.gov/Archives/edgar/data/109380/000010938020000092/0000109380-20-000092-index.htm,https://www.sec.gov/Archives/edgar/data/109380/000010938021000082/0000109380-21-000082-index.htm,https://www.sec.gov/Archives/edgar/data/109380/000010938022000072/0000109380-22-000072-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,-17900000,17700000,26600000,29100000,43400000,53000000,63800000,81300000,101400000,122400000,146800000,194100000,161709000,283020000,256278000,337823000,405987000,480121000,583125000,493745000,-266269000,-1216111000,-292728000,323804000,349516000,263791000,398462000,309471000,469050000,592000000,884000000,816000000,539000000,1129000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,12400000,5400000,5400000,5300000,15800000,17000000,17700000,18100000,21900000,31500000,52100000,90600000,114972000,119614000,87093000,94536000,94777000,100667000,133771000,124973000,140201000,213040000,372754000,299948000,214617000,130616000,128648000,151088000,123086000,179000000,193000000,188000000,86000000,-14000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21914000,-32362000,9368000,-158702000,-231241000,-15071000,-28665000,115604000,9788000,-60117000,25938000,-29803000,-8442000,154000000,- -,-2000000,-58000000,32000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24358000,28274000,31850000,29789000,- -,- -,- -,- -,- -,- -,- -,25000000,26000000,27000000,26000000,28000000
77,Change in Working Capital,- -,- -,- -,- -,- -,43500000,2800000,5500000,10400000,-7900000,-20000000,-22500000,-11700000,22700000,-39200000,24300000,-10500000,6973000,7107000,-14605000,-91810000,-66923000,-30624000,257405000,87146000,199314000,-551355000,404300000,201033000,79749000,363851000,-5969000,-56544000,-74078000,4000000,139000000,-353000000,-259000000,-158000000
