,https://roic.ai/company/TESS,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,48300000,58400000,70300000,86100000,139300000,125500000,156200000,186600000,248200000,241029100,267700000,347700000,502900000,468600000,480100000,512900000,471800000,507000000,589243700,706386100,723346400,533600000,535240600,521648500,530750200,572373000,598668800,568455700,391132200
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,664300,318300,420600,292900,224200,177700,167300,161300,58600,429100,853800,1116300,426300
14,Depreciation and Amortization,500000,500000,600000,600000,1400000,1900000,2100000,2746400,3652800,4519500,3984900,4132100,4192500,4498700,4763100,4814300,4218300,4116300,4445200,4844900,4979400,4865000,4583600,4730000,4238900,3992600,3618900,4026100,3744500
15,EBITDA,1600000,2200000,4700000,6900000,8200000,7300000,5300000,11646400,12152800,10909400,1917184900,1917632100,3876292500,3280098700,4292863100,2730514300,4214682600,5612634600,20420700,31848700,34198000,31305800,18962000,13763600,6783800,11894300,11763900,-24131300,-8416600
16,EBITDA ratio,0.0321,0.0358,0.0631,0.0748,0.0557,0.0554,0.0330,0.0592,0.0470,0.0438,6.9996,5.4370,7.5561,6.8722,8.7200,5.2409,8.7261,10.7522,0.0337,0.0434,0.0454,0.0559,0.0345,0.0259,0.0127,0.0205,0.0194,-0.0447,-0.0225
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15056200,- -,- -,29218600,26489900,14378400,9033600,2544900,7901700,8145000,-28157400,-17791500
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0288,- -,- -,0.0388,0.0473,0.0262,0.0170,0.0048,0.0136,0.0134,-0.0521,-0.0477
19,Total Other Income Expenses (Gains),-400000,-1300000,-100000,100000,-1000000,-700000,-1200000,-1400000,-2000000,-1496100,-1300000,-200000,-200000,-300000,-900000,-600000,-700000,-356200,-420600,-292900,-224200,-189900,-167300,-161300,-58600,-429100,-853800,-1116300,-426300
20,Income Before Tax,1100000,1700000,4100000,6300000,6800000,5400000,3200000,8900000,8500000,6389900,5000000,4800000,9900000,8400000,11300000,7500000,10500000,14700000,15554900,26710900,28994400,26300000,14211100,8872300,2486300,7472600,7291200,-29273700,-18217800
21,Income Before Tax Ratio,0.0221,0.0277,0.0550,0.0683,0.0462,0.0410,0.0199,0.0452,0.0328,0.0257,0.0183,0.0136,0.0193,0.0176,0.0230,0.0144,0.0217,0.0282,0.0257,0.0364,0.0385,0.0470,0.0259,0.0167,0.0047,0.0129,0.0120,-0.0542,-0.0488
22,Income Tax expense (Gain),400000,700000,1600000,2300000,2600000,2000000,1200000,3400000,3200000,2484000,1910200000,1910600000,3866000000,3270500000,4281100000,2720900000,4203500000,5599100000,5536700,10274000,11200500,10063100,5576800,3531800,1041200,2277200,1745400,-7704800,-3844500
23,Net Income,700000,1000000,2500000,4000000,4200000,3400000,2000000,5500000,5300000,3905900,3000000,2900000,6100000,5100000,7000000,4800000,6300000,9100000,10018200,16436900,17793900,16200000,8634300,5340500,1445100,5195400,5545800,-21568900,-8742900
24,Net Income ratio,0.0141,0.0163,0.0336,0.0433,0.0286,0.0258,0.0125,0.0279,0.0205,0.0157,0.0110,0.0082,0.0119,0.0107,0.0142,0.0092,0.0130,0.0174,0.0166,0.0224,0.0236,0.0289,0.0157,0.0101,0.0027,0.0090,0.0091,-0.0399,-0.0234
25,EPS,0.07,0.10,0.19,0.26,0.26,0.23,0.13,0.37,0.35,0.39,0.20,0.19,0.42,0.36,0.81,0.61,0.87,1.24,1.33,2.12,2.22,1.98,1.05,0.65,0.17,0.56,0.66,-2.53,-1.01
26,EPS Diluted,0.07,0.10,0.19,0.26,0.26,0.22,0.13,0.36,0.33,0.38,0.20,0.19,0.41,0.36,0.78,0.59,0.84,1.19,1.27,2.03,2.15,1.94,1.04,0.65,0.17,0.55,0.65,-2.53,-1.01
27,Weighted Average Shares Outstanding,10733270,9921510,10881656,10034482,9774000,9918000,9985500,15087143,15162369,10126800,15228823,14951873,14532234,14166567,8630850,7896150,7325250,7370000,7394000,7639000,8015946,8206616,8223143,8216154,8500588,8304107,8402727,8526965,8697369
28,Weighted Average Shares Outstanding Diluted,10733270,9921510,10881656,10034482,9774000,9918000,9985500,15515554,15795877,10295775,15266265,15075337,14754534,14418553,9024000,8195100,7553250,7701236,7756000,7995000,8276930,8375825,8302212,8216154,8500588,8455091,8532000,8526965,8697369
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/927355/000091205700028638/0000912057-00-028638-index.html,- -,https://www.sec.gov/Archives/edgar/data/927355/000091205702022849/0000912057-02-022849-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000110465903012683/0001104659-03-012683-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000110465904017146/0001104659-04-017146-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000110465905028578/0001104659-05-028578-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000110465906042447/0001104659-06-042447-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000110465907047295/0001104659-07-047295-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000110465908039607/0001104659-08-039607-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000104746909005981/0001047469-09-005981-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000104746910005629/0001047469-10-005629-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/927355/000092735513000005/0000927355-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000114036114023546/0001140361-14-023546-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000114036115022897/0001140361-15-022897-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000155837016006286/0001558370-16-006286-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000155837017004707/0001558370-17-004707-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000155837018005102/0001558370-18-005102-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000155837019005621/0001558370-19-005621-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000155837020007316/0001558370-20-007316-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000155837021008219/0001558370-21-008219-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,100000,- -,8500000,400000,- -,4500000,100000,800000,- -,505100,- -,6800000,3900000,2300000,4200000,2100000,600000,7700000,8178200,18211600,4468000,11500000,7524000,16882800,8540100,19400,30300,50000,1110000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,100000,- -,8500000,400000,- -,4500000,100000,800000,- -,505100,- -,6800000,3900000,2300000,4200000,2100000,600000,7700000,8178200,18211600,4468000,11500000,7524000,16882800,8540100,19400,30300,50000,1110000
34,Net Receivables,5600000,7600000,8100000,14300000,16900000,15800000,19600000,28200000,25600000,28111400,39500000,47100000,60900000,43600000,44900000,55700000,44600000,60700000,65708700,88748200,82177600,67500000,59572100,58315700,64778900,87862300,93966200,82868400,80478200
35,Inventory,8500000,8300000,8600000,13700000,16900000,18900000,21100000,31700000,32600000,38480500,26600000,41000000,60800000,48800000,37400000,49100000,36500000,45000000,45709800,53360300,60913600,62000000,72363600,53903900,63984300,72323000,71845400,69148000,53060000
36,Other Current Assets,700000,1000000,600000,900000,1300000,2000000,2700000,3100000,4100000,3976400,5900000,4600000,5000000,4000000,5400000,5800000,6600000,6100000,6673400,5443300,9709600,9200000,10868900,5917100,3864100,4489100,5562800,11707500,5177800
37,Total Current Assets,14900000,16900000,25800000,29300000,35100000,41200000,43500000,63800000,62300000,71073400,72000000,99500000,130600000,98700000,91900000,112700000,88300000,119500000,126270100,165763400,157268800,150200000,150328600,135019500,141167400,164693800,171404700,163773900,139826000
38,PP&E,1700000,1400000,1700000,6600000,11400000,14800000,15700000,17200000,21600000,25843100,24900000,25900000,26200000,24600000,24300000,22200000,21600000,20700000,21148100,22905700,23202000,22800000,21111800,19895400,18089100,13662800,15003500,27383500,23857400
39,Goodwill,- -,- -,- -,- -,4300000,4000000,3600000,3300000,3000000,- -,2500000,2500000,2500000,2500000,5000000,6300000,6600000,9000000,11684700,11684700,11684700,11700000,11684700,11684700,11677700,11677700,11677700,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2692200,200000,100000,100000,- -,1500000,1600000,1300000,1100000,- -,915200,- -,900000,- -,- -,- -,- -,- -,11157400,19136500
41,Intangible Assets,- -,- -,- -,- -,4300000,4000000,3600000,3300000,3000000,2692200,2700000,2600000,2600000,2500000,6500000,7900000,7900000,10100000,11684700,12599900,11684700,12600000,11684700,11684700,11677700,11677700,11677700,11157400,19136500
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,800000,2300000,- -,3200000,3400000,3600000,2800000,2700000,2200000,2400000,3700000,- -,- -,- -,4300000,4260700,379400,386800,- -,55300,- -,- -
44,Other Non-Current Assets,1000000,800000,700000,600000,100000,-100000,300000,-700000,-1800000,620600,-2600000,-2300000,-2400000,-1800000,-1700000,-1200000,-1500000,-2700000,2057700,1228700,2144500,-2900000,-1145200,2437000,2659500,9389400,8354600,6393900,6258000
45,Total Non-Current Assets,2700000,2200000,2400000,7200000,15800000,18700000,19600000,20600000,25100000,29155900,28200000,29600000,30000000,28100000,31800000,31100000,30400000,31800000,34890500,36734300,37031200,36800000,35912000,34396500,32813100,34729900,35091100,44934800,49251900
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,17600000,19100000,28200000,36500000,50900000,59900000,63100000,84400000,87400000,100229300,100200000,129100000,160600000,126800000,123700000,143800000,118700000,151300000,161160600,202497700,194300000,187000000,186240600,169416000,173980500,199423700,206495800,208708700,189077900
48,Accounts Payable,5600000,4600000,6600000,9600000,10800000,16300000,12900000,25400000,16700000,28137500,27500000,55300000,82600000,45000000,47300000,64400000,40500000,59500000,62913000,78344700,65209300,50800000,51804200,41986000,53581400,67041100,73059700,75512600,59415600
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,4400000,5900000,10000000,5785800,372800,282000,362600,442500,356200,3713900,361400,380000,359100,249200,249700,250200,250700,251100,26500,10862700,14378100,28143100,2573500
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3137000,2530700,2477700,1832400,1456800,1364700,2339200,749000,450800,803900
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6959300,2136600,635100,58400,1985700,- -,- -
52,Other Current Liabilities,6000000,2000000,1200000,2300000,3100000,2700000,3100000,4200000,4800000,5993500,8527200,6518000,6637400,7557500,10743800,7886100,10838600,12820000,11160200,21389700,15258100,11049800,9093500,8122200,9729900,11942200,7345200,8953500,9996000
53,Total Current Liabilities,11600000,6600000,7800000,11900000,13900000,19000000,20400000,35500000,31500000,39916800,36400000,62100000,89600000,53000000,58400000,76000000,51700000,72700000,74432300,99983600,80717100,62100000,68107700,52495900,63972900,89904400,96768700,112609200,71985100
54,Long-Term Debt,600000,6100000,200000,100000,7600000,7400000,7100000,6800000,6400000,6063400,5700000,5400000,5000000,4600000,4200000,3800000,3500000,3300000,2959100,2708000,2458300,2200000,1957500,1706500,29800,2300,- -,11481100000,39506700
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2679500,- -,- -,- -,- -,- -,- -,- -,- -,3407900,2243500,3951800,4260700,3360100,379400,386800,710500,- -,- -,26500
57,Other Non-Current Liabilities,100000,- -,- -,- -,- -,100000,100000,1100000,2800000,762200,4200000,5300000,5100000,4100000,3900000,3800000,3300000,5700000,1481200,3910700,4370200,3539300,-326800,2306900,1574700,754900,939900,-11468703200,809400
58,Total Non-Current Liabilities,700000,6100000,200000,100000,7600000,7500000,7200000,7900000,9200000,9505100,9900000,10700000,10100000,8700000,8100000,7600000,6800000,9000000,7848200,8862200,10780300,10000000,4990800,4392800,1991300,1467700,939900,12396800,40342600
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14060300,11497000
61,Total Liabilities,12300000,12700000,8000000,12000000,21500000,26500000,27600000,43400000,40700000,49421900,46300000,72800000,99700000,61700000,66500000,83600000,58500000,81700000,82280500,108845800,91497400,72100000,73098500,56888700,65964200,91372100,97708600,125006000,112327700
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,48000,48200,48300,48500,48900,49600,100000,100000,100000,100000,84100,88000,91500,100000,96100,97600,98400,99000,99800,101400,104200
64,Retained Earnings,900000,1900000,4400000,8400000,12600000,15900000,17900000,23500000,28700000,32641400,35700000,38600000,44600000,49800000,56800000,61600000,67900000,75500000,82540900,94704400,100667800,110800000,112836300,111561100,106349500,104843700,103635100,76779000,9481100
65,Other Comprehensive Income/Loss,-1300000,-1700000,-2100000,-2700000,-3700000,-4900000,-6600000,-8700000,-12000000,-16138900,-9800000,-12700000,-16800000,65400,21700,-112600,-142800,-97600,-24600,- -,- -,-35500000,-38565400,-42871500,-44319900,-24532300,-25272900,-26522900,-27348100
66,Other Total Stockholders Equity,5700000,6200000,17900000,18800000,20500000,22400000,24200000,26300000,29952000,34256700,28037500,30385000,32973200,15191800,229600,-1435800,-7691000,-5857200,-3720300,-1140500,2043300,39428100,38775100,43740100,45888300,27641200,30325200,33345200,94513000
67,Total Stockholders Equity,5300000,6400000,20200000,24500000,29400000,33400000,35500000,41100000,46700000,50807400,53985800,56333500,60822100,65106800,57151300,60151600,60166200,69645200,78880100,93651900,102802600,114828100,113142100,112527300,108016300,108051600,108787200,83702700,76750200
68,Total Liabilities And Stockholders Equity,17600000,19100000,28200000,36500000,50900000,59900000,63100000,84500000,87400000,100229300,100285800,129133500,160522100,126806800,123651300,143751600,118666200,151345200,161160600,202497700,194300000,186928100,186240600,169416000,173980500,199423700,206495800,208708700,189077900
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,-85800,-33500,77900,-6800,48700,48400,33800,-45200,- -,- -,- -,71900,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,17600000,19100000,28200000,36500000,50900000,59900000,63100000,84400000,87400000,100229300,100200000,129100000,160600000,126800000,123700000,143800000,118700000,151300000,161160600,202497700,194300000,187000000,186240600,169416000,173980500,199423700,206495800,208708700,189077900
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/927355/000091205700028638/0000912057-00-028638-index.html,- -,https://www.sec.gov/Archives/edgar/data/927355/000091205702022849/0000912057-02-022849-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000110465903012683/0001104659-03-012683-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000110465904017146/0001104659-04-017146-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000110465905028578/0001104659-05-028578-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000110465906042447/0001104659-06-042447-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000110465907047295/0001104659-07-047295-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000110465908039607/0001104659-08-039607-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000104746909005981/0001047469-09-005981-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000104746910005629/0001047469-10-005629-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/927355/000092735513000005/0000927355-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000114036114023546/0001140361-14-023546-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000114036115022897/0001140361-15-022897-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000155837016006286/0001558370-16-006286-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000155837017004707/0001558370-17-004707-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000155837018005102/0001558370-18-005102-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000155837019005621/0001558370-19-005621-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000155837020007316/0001558370-20-007316-index.htm,https://www.sec.gov/Archives/edgar/data/927355/000155837021008219/0001558370-21-008219-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,700000,1000000,2500000,4000000,4200000,3400000,2000000,5500000,5300000,3905900,3000000,2900000,6100000,5100000,7000000,4800000,6300000,9100000,10018200,16436900,17793900,16200000,8634300,5340500,1445100,5195400,5545800,-21568900,-8742900
74,Depreciation and Amortization,500000,500000,600000,600000,1400000,1900000,2100000,2746400,3652800,4519500,3984900,4132100,4192500,4498700,4763100,4814300,4218300,4116300,4445200,4844900,4979400,4865000,4583600,4730000,4238900,3992600,3618900,4026100,3744500
75,Deferred Income Tax,-100000,- -,-100000,-100000,-200000,100000,-400000,473700,1150400,-166800,552100,932000,539800,-890100,-1159200,-798000,-681900,2165300,-1073900,2984100,-843700,-1042400,1347200,-47687,-788600,-2866100,1604100,-2977200,3032500
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1830600,2162600,2274000,2928200,2536800,2087100,1161300,729000,434400,1002100,1244000,1174600,1211000
77,Change in Working Capital,-2000000,7000000,7700000,-600000,3800000,1000000,900000,5200000,2500000,356600,4443400,1800000,3600000,4700000,-12200000,3200000,-100000,10200000,5037800,13942000,10771900,11548300,-5879100,302700,-5329100,-2405100,-153400,-23471300,16676200
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16073700,-5033700,-23039500,6570600,14681900,7923600,1256400,-6388200,-23158400,-6103900,11097800,12676000
79,Inventory,-2300000,200000,-300000,-5100000,-1300000,-1900000,-2300000,-10574800,-842600,-5914100,11840800,-14347400,-19845500,13216900,12240900,-11608500,12516900,-8451100,-718300,-7650500,-7553300,-1042100,-10407900,18459700,-10080400,-8338700,477600,2697400,9279900
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18982300,3549100,15431700,-13135400,-14452400,1047300,-9818200,11595400,13459700,5073600,905300,-15197600
81,Other Working Capital,3300000,10300000,18000000,17400000,21200000,22200000,23100000,28300000,30800000,31156600,35600000,37400000,41000000,45700000,33500000,36700000,36600000,46800000,51837800,65779800,76551700,88100000,82220900,82523600,77194500,74789400,74636000,51164700,67840900
82,Other Non-Cash Items,300000,-9900000,-4900000,-6600000,-6000000,3500000,-10100000,-10542400,-9726100,5097100,1190700,2974800,-10177300,-10090800,29621900,-7856200,3588800,-12933200,-8663200,-19390600,-31885900,-14992600,1232500,9086600,3050570,-14166000,-3612700,43724900,-16605500
83,Cash Provided by Operating Activities,-600000,-1400000,5800000,-2700000,3200000,9900000,-5500000,3377700,2877100,13712300,13171100,12738900,4255000,3317800,28025800,4160100,15155800,14811000,12038100,21745500,3352400,18665400,11079800,20141113,3051270,-9247100,8246700,908200,-684200
84,CAPEX,-400000,-200000,-800000,-5500000,-5700000,-5000000,-3000000,-3854400,-7843500,-8412000,-7990400,-5032300,-4380800,-2908400,-4251400,-2507400,-3449400,-3058100,-4842200,-6513700,-5357000,-4745000,-2950600,-3513813,-2563000,-3539400,-5164700,-6845700,-11855900
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4433300,-2330000,-1309000,-2382000,-2852000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-100000,200000,- -,- -,-6700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,220000,- -,- -,- -,3000,29500,3000,- -,- -,-1892800,-2309500,-6557700,-1848300
89,Cash Used for Investing Activites,-500000,- -,-800000,-5500000,-12400000,-5000000,-3000000,-3854400,-7843500,-8412000,-7990400,-5032300,-4380800,-2908400,-8684700,-4837400,-4538400,-5440100,-7694200,-6513700,-5354000,-4715500,-2947600,-3513813,-2563000,-3539400,-5164700,-6845700,-2654400
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3713400,-560200,-389800,-361000,-249200,-249600,-250200,-250600,-1901300,-26700,-27300,-2300,-132849200
91,Common Stock Issued,- -,100000,10600000,300000,400000,500000,100000,75300,332300,162300,129800,210300,421800,424800,438300,668700,123100,122200,403100,829900,174000,213300,195900,153700,137630,148700,279000,262400,199200
92,Common Stock Repurchased,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-754400,-2907400,-2066700,-17695100,-6238100,-8701400,-484900,-1569000,-1888000,-2161900,-1646300,-6223300,-937300,-192400,-65400,-111100,-882100,-121600
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1476700,-3020300,-4273400,-11830500,-6086100,-6628800,-6615700,-6656700,-6701200,-6754400,-5287200,- -
94,Other Financing Activites,1200000,1200000,-7200000,-100000,8400000,-900000,4000000,1121800,3816000,-4957500,-5815600,-396900,-273400,-361400,-194900,4156600,187900,87600,751600,494100,2325600,818700,830300,381400,-218200,10910400,3542700,11866400,137170200
95,Cash Used/Provided by Financing Activities,1100000,1300000,3400000,200000,8800000,-400000,4100000,1197100,4148300,-4795200,-5685800,-941000,-2759000,-2003300,-17451700,-1412800,-12103800,-2312000,-3824400,-5198400,-11742000,-6950000,-12076100,-7268500,-8830970,4265800,-3071100,5957200,4398600
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1100000,1300000,3400000,200000,8800000,-400000,4100000,720400,4148300,-4795200,-5685800,-941000,-2884800,-1593900,1889400,-2090100,-1486400,7058900,519500,10033400,-13743600,6999900,-3943900,9358800,-8342700,-8520700,10900,19700,1060000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,818100,- -,505100,- -,6765600,3880800,2286900,4176300,2086200,599800,7658700,8178200,18211600,4468000,11467900,7524000,16882800,8540100,19400,30300,50000,1110000
99,Cash at the Beginning of Period,100000,100000,- -,8500000,400000,- -,4500000,97700,818100,- -,505100,- -,6765600,3880800,2286900,4176300,2086200,599800,7658700,8178200,18211600,4468000,11467900,7524000,16882800,8540100,19400,30300,50000
100,Free Cash Flow,-1000000,-1600000,5000000,-8200000,-2500000,4900000,-8500000,-476700,-4966400,5300300,5180700,7706600,-125800,409400,23774400,1652700,11706400,11752900,7195900,15231800,-2004600,13920400,8129200,16627300,488270,-12786500,3082000,-5937500,-12540100
