,https://roic.ai/company/KW,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
44,Other Non-Current Assets,- -,- -,194729000,8850000,20749000,310046000,695900000,4370400000,5917500000,5863300000,6460300000,5763600000,5123500000,4751500000,5099600000
45,Total Non-Current Assets,- -,173158,259275000,407620000,593912000,984957000,1539600000,5014200000,6544000000,6581000000,7140800000,6722600000,6602500000,6242400000,7119700000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,248161221,249449560,336257000,487848000,792776000,1283789000,1798800000,6332100000,7640100000,7659100000,7724800000,7357100000,7304500000,7329000000,7876500000
48,Accounts Payable,- -,- -,860000,1504000,1798000,1762000,2600000,264900000,22200000,11200000,19500000,24100000,20400000,30100000,18600000
49,Short-Term Debt,- -,- -,36133000,27750000,- -,40000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,10476121,10253245,28488000,45656000,57277000,14398000,96500000,- -,392000000,412100000,465900000,489000000,518000000,531700000,619100000
53,Total Current Liabilities,10476121,10253245,65481000,74910000,59075000,56160000,99100000,264900000,414200000,423300000,485400000,513100000,538400000,561800000,637700000
54,Long-Term Debt,- -,- -,63968000,100032000,320133000,686178000,856700000,3023300000,4360800000,4892700000,5661900000,5412800000,5046900000,5094500000,5434900000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,22671000,24100000,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,74099990,74099990,27472000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,74099990,74099990,91440000,100032000,320133000,708849000,880800000,3023300000,4360800000,4892700000,5661900000,5412800000,5046900000,5094500000,5434900000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,84576111,84353235,156921000,174942000,379208000,765009000,979900000,3288200000,4775000000,5316000000,6147300000,5925900000,5585300000,5656300000,6072600000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,295200000,295200000,295200000
63,Common Stock,3125,3125,4000,4000,5000,6000,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,615198,2126413,18829000,17777000,9708000,-5910000,-42200000,-62000000,-44200000,-112200000,-90600000,-56400000,46200000,17700000,192400000
65,Other Comprehensive Income/Loss,1000000,- -,2603000,9043000,5035000,12569000,9200000,-28200000,-47700000,-71200000,-427100000,-441500000,-417200000,-393600000,-389600000
66,Other Total Stockholders Equity,161966787,162966787,155878000,273368000,395487000,502979000,852100000,3133900000,2957300000,2526300000,2095100000,1929600000,2090000000,2048000000,- -
67,Total Stockholders Equity,163585110,165096325,177314000,300192000,410235000,509644000,768300000,901100000,1133800000,1048000000,1365600000,1246700000,1678700000,1644500000,1777600000
68,Total Liabilities And Stockholders Equity,248161221,249449560,334235000,475134000,789443000,1274653000,1748200000,4189300000,5908800000,6364000000,7512900000,7172600000,7264000000,7300800000,7850200000
69,Minority Interest,- -,- -,2022000,12714000,3333000,9136000,50600000,2142800000,1731300000,1295100000,211900000,184500000,40500000,28200000,26300000
70,Total Liabilities & Equity,248161221,249449560,336257000,487848000,792776000,1283789000,1798800000,6332100000,7640100000,7659100000,7724800000,7357100000,7304500000,7329000000,7876500000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1408100/000110465908021125/0001104659-08-021125-index.htm,https://www.sec.gov/Archives/edgar/data/1408100/000110465909018013/0001104659-09-018013-index.htm,https://www.sec.gov/Archives/edgar/data/1408100/000119312510059041/0001193125-10-059041-index.htm,https://www.sec.gov/Archives/edgar/data/1408100/000144530511000412/0001445305-11-000412-index.htm,https://www.sec.gov/Archives/edgar/data/1408100/000140810012000003/0001408100-12-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1408100/000140810013000007/0001408100-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1408100/000140810014000012/0001408100-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1408100/000140810015000037/0001408100-15-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1408100/000140810016000238/0001408100-16-000238-index.htm,https://www.sec.gov/Archives/edgar/data/1408100/000140810017000031/0001408100-17-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1408100/000140810018000018/0001408100-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1408100/000140810019000051/0001408100-19-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1408100/000140810020000061/0001408100-20-000061-index.htm,https://www.sec.gov/Archives/edgar/data/1408100/000140810021000052/0001408100-21-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1408100/000140810022000053/0001408100-22-000053-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,615198,1511215,-15336000,3506000,6346000,4250000,-6400000,21900000,74700000,5600000,100500000,150000000,226700000,110100000,330400000
74,Depreciation and Amortization,- -,- -,1122000,1618000,2825000,4937000,17400000,104500000,166300000,198200000,212500000,206100000,187600000,179600000,166300000
75,Deferred Income Tax,- -,-173158,4497000,- -,- -,-481000,2700000,28200000,24400000,8800000,-24500000,39300000,26700000,27200000,112200000
76,Stock Based Compensation,- -,- -,2314000,8094000,5055000,8147000,7500000,15800000,30800000,65100000,38200000,37100000,30200000,32300000,28700000
77,Change in Working Capital,415300,-227522157,-6183000,134471000,102883000,-82572000,892900000,-371100000,-27100000,-556200000,22800000,42200000,361200000,307200000,-43900000
78,Accounts Receivable,- -,- -,585000,-1039000,-973000,-7648000,10700000,-28600000,2000000,-22900000,-13900000,1900000,1000000,4500000,-500000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,501000,644000,207000,-36000,200000,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,239023157,11501000,5318000,139789000,242672000,160100000,1053000000,681900000,654800000,98600000,121400000,163600000,524800000,832000000,- -
82,Other Non-Cash Items,-1080541,223219962,-11640000,-145532000,-123120000,72486000,-882800000,298800000,-90900000,381400000,-276500000,-381600000,-851900000,-669000000,-624000000
83,Cash Provided by Operating Activities,-50043,-2964138,-25226000,2157000,-6011000,6767000,31300000,98100000,178200000,102900000,73000000,93100000,-19500000,-12600000,-30300000
84,CAPEX,- -,- -,- -,-23764000,-2680000,-100226000,-158400000,-1937500000,-1305000000,-409500000,-155200000,814300000,490100000,-194100000,-139200000
85,Acquisitions Net,- -,- -,89181000,- -,-72673000,-178722000,-316100000,- -,- -,-124900000,-79900000,43400000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-83891000,-32775000,- -,-3700000,-718700000,-430300000,-152300000,-83900000,-399100000,-266000000,-123700000,-310900000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,72804000,91500000,118900000,75500000,185500000,18000000,23900000,33400000,25700000,- -
88,Other Investing Activites,-247000000,2972957,-16295000,-7181000,-90006000,-164851000,48000000,88800000,798800000,754600000,889900000,924900000,414900000,688800000,-727100000
89,Cash Used for Investing Activites,-247000000,2972957,72886000,-114836000,-198134000,-389728000,-348800000,-2473200000,-1483600000,-286700000,-70200000,593100000,182300000,590800000,-1038000000
90,Debt Repayment,- -,- -,-92778000,-93385000,-164110000,-85811000,-126700000,-825800000,-901100000,-733100000,-1239700000,-1316800000,-602600000,-487100000,-2361100000
91,Common Stock Issued,255275000,- -,59000,- -,123100000,106246000,275900000,2017800000,215000000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-94,- -,-3690000,-11301000,-547000,-47000,-3800000,-8200000,-11400000,-64800000,-67700000,-177900000,-20700000,-57400000,-83200000
93,Dividends Paid,- -,- -,-3235000,-4533000,-11698000,-21897000,-24100000,-38900000,-51800000,-64800000,-59200000,-128400000,-117500000,-139700000,-140700000
94,Other Financing Activites,-8166788,-38216,83937000,200379000,325872000,389927000,250100000,2018500000,1868100000,1282500000,801300000,1094300000,655000000,477600000,3217000000
95,Cash Used/Provided by Financing Activities,247108118,-38216,-15707000,91160000,272617000,388418000,371400000,3163400000,1118800000,419800000,-565300000,-528800000,-85800000,-206600000,632000000
96,Effect of Forex Changes on Cash,- -,- -,- -,10703000,486000,-528000,3400000,-28800000,-19500000,-81900000,28100000,-20700000,8900000,19600000,-4000000
97,Net Change In Cash,- -,-29397,31953000,-10816000,68958000,4929000,57300000,759500000,-206100000,154100000,-534400000,136700000,85900000,391200000,-440300000
98,Cash at the End of Period,58075,28678,57784000,46968000,115926000,120855000,178200000,937700000,731600000,885700000,351300000,488000000,573900000,965100000,524800000
99,Cash at the Beginning of Period,- -,58075,25831000,57784000,46968000,115926000,120900000,178200000,937700000,731600000,885700000,351300000,488000000,573900000,965100000
100,Free Cash Flow,-50043,-2964138,-25226000,-21607000,-8691000,6767000,29900000,98100000,178200000,102900000,73000000,93100000,-210600000,-206700000,-169500000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1408100/000110465908021125/0001104659-08-021125-index.htm,https://www.sec.gov/Archives/edgar/data/1408100/000110465909018013/0001104659-09-018013-index.htm,https://www.sec.gov/Archives/edgar/data/1408100/000119312510059041/0001193125-10-059041-index.htm,https://www.sec.gov/Archives/edgar/data/1408100/000144530511000412/0001445305-11-000412-index.htm,https://www.sec.gov/Archives/edgar/data/1408100/000140810012000003/0001408100-12-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1408100/000140810013000007/0001408100-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1408100/000140810014000012/0001408100-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1408100/000140810015000037/0001408100-15-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1408100/000140810016000238/0001408100-16-000238-index.htm,https://www.sec.gov/Archives/edgar/data/1408100/000140810017000031/0001408100-17-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1408100/000140810018000018/0001408100-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1408100/000140810019000051/0001408100-19-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1408100/000140810020000061/0001408100-20-000061-index.htm,https://www.sec.gov/Archives/edgar/data/1408100/000140810021000052/0001408100-21-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1408100/000140810022000053/0001408100-22-000053-index.htm
102,false,,,,,,,,,,,,,,,
