,https://roic.ai/company/MAC,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,281356000,267045000,212818000,195285000,176778000,197247000,190689000,211943000,163675000,171776000,182962000,138254000,75550000,192679000
14,Depreciation and Amortization,19200000,26300000,32591000,41535000,53141000,61383000,61647000,65983000,78837000,109029000,146378000,208932000,236670000,243095000,287917000,277472000,260252000,282643000,322720000,376276000,378702000,454810000,342543000,340311000,332736000,337667000,326058000,311129000
15,EBITDA,27800000,37600000,51502000,63581000,97216000,190394000,118576000,143706000,160219000,237063000,238011000,280618000,489028000,339165000,757839000,660498000,507462000,628684000,832765000,991921000,2064164000,1151092000,1023935000,673811000,572114000,574330000,170958000,525019000
16,EBITDA ratio,0.3732,0.3557,0.3321,0.2874,0.3425,0.5815,0.3704,0.4295,0.4228,0.4878,0.4349,0.3657,0.5894,0.3784,0.8407,0.8198,0.6690,0.7945,0.9449,0.9635,1.8676,0.8936,0.9834,0.6781,0.5957,0.6192,0.2175,0.6195
17,Operating Income,115900000,163000000,101889000,106019000,136356000,160246000,151262000,150983000,162492000,194904000,190814000,252590000,273051000,285079000,242994000,180179000,154752000,162402000,192217000,221282000,255190000,321652000,258620000,234680000,208382000,206149000,88089000,-6948000
18,Operating Income ratio,1.5557,1.5421,0.6571,0.4793,0.4804,0.4894,0.4726,0.4513,0.4288,0.4010,0.3487,0.3292,0.3291,0.3180,0.2695,0.2236,0.2040,0.2052,0.2181,0.2149,0.2309,0.2497,0.2484,0.2362,0.2170,0.2223,0.1121,-0.0082
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,24491000,-3820000,12420000,927000,- -,- -,-174729000,-93996000,-10049000,-116920000,40719000,100648000,-63951000,1347472000,198037000,296941000,-57413000,-143014000,-102006000,-333998000,30059000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110350000,148998000,170130000,37832000,203121000,292865000,157331000,1602662000,519689000,555561000,177267000,65368000,104143000,-245909000,23111000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1231,0.1653,0.2112,0.0499,0.2567,0.3323,0.1528,1.4500,0.4034,0.5335,0.1784,0.0681,0.1123,-0.3129,0.0273
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-470000,1126000,-4761000,9202000,-6110000,-4159000,-1692000,-4269000,-3223000,722000,15594000,-3604000,1589000,-447000,6948000
23,Net Income,8600000,11300000,18911000,22046000,44075000,129011000,56929000,77723000,81382000,128034000,91633000,71686000,252358000,96540000,187440000,120742000,25190000,156866000,337426000,420090000,1499042000,487562000,516995000,146130000,60020000,96820000,-230203000,14263000
24,Net Income ratio,0.1154,0.1069,0.1220,0.0997,0.1553,0.3940,0.1779,0.2323,0.2148,0.2634,0.1674,0.0934,0.3042,0.1077,0.2079,0.1499,0.0332,0.1983,0.3829,0.4081,1.3563,0.3785,0.4965,0.1471,0.0625,0.1044,-0.2929,0.0168
25,EPS,0.58,0.70,0.88,0.82,1.02,3.14,1.07,1.66,1.57,2.03,1.36,0.86,3.10,0.96,1.19,1.45,0.19,1.18,2.45,159023.00,9.48,3.16,3.59,1.04,0.43,0.68,-1.54,0.07
26,EPS Diluted,0.58,0.70,0.88,0.81,1.02,2.88,1.07,1.66,1.56,2.01,1.35,0.85,3.07,0.96,1.19,1.45,0.19,1.18,2.45,159023.00,9.48,3.16,3.59,1.04,0.43,0.68,-1.54,0.07
27,Weighted Average Shares Outstanding,14878929,16068674,21572024,26876535,31977586,35301469,35392819,35095932,38769644,55711899,60765199,61535443,73521977,74499834,76492918,81226000,120346000,131628000,137507010,140733683,158201996,154404986,143985036,140993985,141221712,141407650,149770575,213214000
28,Weighted Average Shares Outstanding Diluted,14878929,16068674,21572024,27313560,45288690,63210879,46764819,46674507,51971752,78060396,75881498,76373541,91409909,87986372,89774957,81226000,120346000,131628000,137507010,140733683,158201996,154404986,143985036,140993985,141221712,141407650,149770575,213214000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/912242/0000912242-97-000007-index.html,- -,https://www.sec.gov/Archives/edgar/data/912242/000104746999012492/0001047469-99-012492-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/912242/000091205702011264/0000912057-02-011264-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000104746903010602/0001047469-03-010602-index.htm,- -,https://www.sec.gov/Archives/edgar/data/912242/000104746905007754/0001047469-05-007754-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000104746906003117/0001047469-06-003117-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000104746907001438/0001047469-07-001438-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000104746908001823/0001047469-08-001823-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000104746909001981/0001047469-09-001981-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000104746910001497/0001047469-10-001497-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000104746911001377/0001047469-11-001377-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000104746912001454/0001047469-12-001454-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000104746913001491/0001047469-13-001491-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000091224214000003/0000912242-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000091224215000005/0000912242-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000091224216000020/0000912242-16-000020-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000091224217000003/0000912242-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000091224218000004/0000912242-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000091224219000004/0000912242-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000091224220000004/0000912242-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000091224221000004/0000912242-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000091224222000003/0000912242-22-000003-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,15643000,25154000,25143000,40455000,36273000,26470000,53559000,47160000,72114000,155113000,269435000,85273000,66529000,93255000,445645000,67248000,65793000,69715000,84907000,86510000,94046000,91038000,102711000,100005000,465297000,112454000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30019000,29043000,27943000,26970000,25935000,24833000,23667000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,15643000,25154000,25143000,40455000,36273000,26470000,53559000,47160000,72114000,155113000,299454000,114316000,94472000,120225000,471580000,92081000,89460000,69715000,84907000,86510000,94046000,91038000,102711000,100005000,465297000,112454000
34,Net Receivables,- -,- -,26297000,3105000,37373000,34423000,38922000,42537000,49059000,74805000,72218000,93423000,122137000,143227000,127498000,107254000,95083000,109092000,124157000,132385000,212258000,213930000,205225000,194815000,208673000,150192000,240806000,211361000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,-38922000,-42537000,-49059000,- -,-72218000,-93423000,-152156000,-172270000,401369000,41619000,71434000,68628000,78658000,16843000,13530000,41389000,49951000,52067000,46590000,14211000,17362000,54517000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,36273000,26470000,53559000,- -,72114000,155113000,269435000,85273000,623339000,269098000,638097000,269801000,292275000,218943000,310695000,341829000,349222000,337920000,357974000,264408000,723465000,378332000
38,PP&E,435300000,694900000,1108668000,1407179000,1966845000,1931415000,1933584000,1887329000,2842177000,3226725000,3574553000,5438496000,5755283000,6321491000,6371319000,5657939000,5674127000,6079043000,7479546000,7621766000,11067890000,8796912000,7357310000,7109230000,6785776000,148087000,118355000,6394844000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,340187000,375015000,622067000,469816000,354672000,298430000,259363000,158605000,175514000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,340187000,375015000,622067000,469816000,354672000,298430000,259363000,158605000,175514000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,617205000,577908000,618523000,1075621000,1010380000,835662000,1094845000,1046196000,1006123000,1098560000,974258000,701483000,984132000,1532552000,1773558000,1709522000,1492655000,1519697000,1340647000,1317571000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33414000,31356000,35625000,38847000,38301000,29006000,32197000,30757000,30767000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,932000,279238000,326663000,491145000,191529000,126687000,101369000,78620000,85085000,121754000,98843000,6732017000,6795257000,254908000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7467096000,6983373000,7006913000,7668748000,9018934000,8856307000,12811083000,10916747000,9608926000,9267942000,8668834000,8589163000,8460540000,7967323000
46,Other Assets,485900000,763400000,1187753000,1505002000,2322056000,2404293000,2300969000,2268032000,3608521000,4145593000,4564982000,7023831000,7292728000,8035861000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,485900000,763400000,1187753000,1505002000,2322056000,2404293000,2337242000,2294502000,3662080000,4145593000,4637096000,7178944000,7562163000,8121134000,8090435000,7252471000,7645010000,7938549000,9311209000,9075250000,13121778000,11258576000,9958148000,9605862000,9026808000,8853571000,9184005000,8345655000
48,Accounts Payable,- -,- -,4197000,5185000,- -,- -,- -,- -,- -,- -,- -,- -,- -,97086000,114502000,70275000,70585000,- -,70251000,76941000,115406000,74398000,61316000,58412000,59392000,51027000,68825000,59228000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4560810000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,225803000,215815000,375000000,384000000,324000000,333000000,874000000,1176000000,1288000000,3010000000,2590000000,3278914000,289389000,266404000,482993000,371968000,471122000,615350000,598673000,765441000,444791000,409187000,418039000,373497000,-4153835000,382214000
53,Total Current Liabilities,- -,- -,230000000,221000000,375000000,384000000,324000000,333000000,874000000,1176000000,1288000000,3010000000,2590000000,3376000000,403891000,336679000,553578000,371968000,541373000,692291000,714079000,839839000,506107000,467599000,477431000,424524000,475800000,441442000
54,Long-Term Debt,313600000,485200000,789669000,1122959000,1507118000,1561127000,1550935000,1523660000,2291908000,2682599000,3230120000,5424730000,4993879000,5762958000,3679975000,4531634000,934939000,4331245000,5261370000,4582727000,6292400000,5283742000,4965900000,5170264000,4982460000,5209976000,6038350000,4609076000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,-69669000,-54959000,-137118000,-161127000,-146935000,-158660000,-548908000,-765599000,-893120000,-2181730000,-1662879000,-2434958000,- -,255692000,2957131000,70685000,92215000,81515000,75450000,63756000,58973000,- -,378485000,388101000,224595000,118988000
58,Total Non-Current Liabilities,313600000,485200000,720000000,1068000000,1370000000,1400000000,1404000000,1365000000,1743000000,1917000000,2337000000,3243000000,3331000000,3328000000,3679975000,4787326000,3892070000,4401930000,5353585000,4664242000,6367850000,5347498000,5024873000,5170264000,5360945000,5598077000,6262945000,4728064000
59,Other Liabilities,640200000,994600000,- -,- -,- -,- -,2934470000,2863562000,3511785000,- -,- -,- -,- -,- -,9736159000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114201000,90216000,80711000
61,Total Liabilities,326600000,509400000,837762000,1188244000,1579119000,1626408000,1854470000,1831562000,2642785000,2954493000,3502248000,6067027000,5632675000,6469800000,6460075000,5124005000,4445648000,4773898000,5894958000,5356533000,7081929000,6187337000,5530980000,5637863000,5838376000,6022601000,6738745000,5169506000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,257000,260000,338000,338000,338000,340000,514000,578000,586000,599000,716000,723000,769000,967000,1304000,1321000,1375000,1407000,1582000,1544000,1440000,1410000,1412000,1414000,1498000,2147000
64,Retained Earnings,-3900000,- -,- -,- -,- -,43514000,10314000,-4944000,-23870000,-38541000,-103489000,-209005000,-178249000,-317780000,-243870000,-345930000,-564357000,-678631000,-639741000,-548806000,596741000,-212760000,-488782000,-830279000,-1614357000,-1944012000,-2339619000,-2443696000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,-25000000,-53000000,-25000000,-3000000,-1410692000,- -,- -,- -,- -,- -,- -,-4000000,-9000000,-8000000,-24000
66,Other Total Stockholders Equity,90800000,158300000,237492000,216035000,577075000,576434000,351620000,353558000,821154000,991448000,1016436000,1035514000,1717838000,1654691000,1660400000,2227534000,3456332000,4901339000,3715895000,3906148000,5041797000,4926630000,4593229000,4510447000,4567177000,4583860000,4603170000,- -
67,Total Stockholders Equity,86900000,158300000,237749000,216295000,577413000,620286000,362272000,348954000,797798000,953485000,913533000,827108000,1542305000,1312634000,1364299000,1857571000,2890279000,2813337000,3077529000,3358749000,5640120000,4715414000,4105887000,3681578000,2950232000,2632262000,2257049000,3046867000
68,Total Liabilities And Stockholders Equity,413500000,667700000,1075511000,1404539000,2156532000,2246694000,2216742000,2180516000,3440583000,3907978000,4415781000,6894135000,7174980000,7782434000,7824374000,6981576000,7335927000,7587235000,8972487000,8715282000,12722049000,10902751000,9636867000,9319441000,8788608000,8654863000,8995794000,8216373000
69,Minority Interest,72400000,95700000,112242000,100463000,165524000,157599000,120500000,113986000,221497000,237615000,221315000,284809000,387183000,338700000,266061000,270895000,309083000,351314000,338722000,359968000,399729000,355825000,321281000,286421000,238200000,198708000,188211000,129282000
70,Total Liabilities & Equity,485900000,763400000,1187753000,1505002000,2322056000,2404293000,2337242000,2294502000,3662080000,4145593000,4637096000,7178944000,7562163000,8121134000,8090435000,7252471000,7645010000,7938549000,9311209000,9075250000,13121778000,11258576000,9958148000,9605862000,9026808000,8853571000,9184005000,8345655000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/912242/0000912242-97-000007-index.html,- -,https://www.sec.gov/Archives/edgar/data/912242/000104746999012492/0001047469-99-012492-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/912242/000091205702011264/0000912057-02-011264-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000104746903010602/0001047469-03-010602-index.htm,- -,https://www.sec.gov/Archives/edgar/data/912242/000104746905007754/0001047469-05-007754-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000104746906003117/0001047469-06-003117-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000104746907001438/0001047469-07-001438-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000104746908001823/0001047469-08-001823-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000104746909001981/0001047469-09-001981-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000104746910001497/0001047469-10-001497-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000104746911001377/0001047469-11-001377-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000104746912001454/0001047469-12-001454-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000104746913001491/0001047469-13-001491-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000091224214000003/0000912242-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000091224215000005/0000912242-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000091224216000020/0000912242-16-000020-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000091224217000003/0000912242-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000091224218000004/0000912242-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000091224219000004/0000912242-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000091224220000004/0000912242-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000091224221000004/0000912242-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/912242/000091224222000003/0000912242-22-000003-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,8600000,11300000,18911000,22046000,44075000,129011000,56929000,77723000,81382000,128034000,91633000,71686000,252358000,96540000,187440000,120742000,25190000,156866000,337426000,420090000,1499042000,487562000,516995000,146130000,60020000,96820000,-230203000,14263000
74,Depreciation and Amortization,19200000,26300000,32591000,41535000,53141000,61383000,61647000,65983000,78837000,109029000,146378000,208932000,236670000,243095000,287917000,277472000,260252000,282643000,322720000,376276000,378702000,454810000,342543000,340311000,332736000,337667000,326058000,311129000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4159000,-1692000,-4269000,-3223000,722000,15594000,-3604000,1589000,-447000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12324000,24207000,29463000,28367000,33288000,30799000,27367000,12032000,13843000,- -
77,Change in Working Capital,-3000000,- -,-230000000,9000000,-154000000,-9000000,96273000,-18803000,-513911000,-355559000,-39886000,-1639001000,534322000,-970162000,3510175000,-287029000,152100000,-186686000,-146931000,-224250000,69964000,-94626000,341125000,27206000,10222000,-40659000,407781000,-3029833000
78,Accounts Receivable,-2100000,-5100000,-6800000,-11400000,-33500000,6600000,-4495000,-4144000,-5093000,-29231000,-13113000,25117000,-14040000,-53376000,- -,- -,- -,- -,-9252000,-5482000,-12356000,1908000,-7585000,-6508000,-13912000,-9929000,-105947000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,600000,6200000,24400000,16800000,6700000,1500000,-9285000,4367000,52762000,61472000,11696000,-13825000,-22819000,107139000,- -,- -,- -,- -,13430000,-747000,-123000,-4014000,-8929000,-5822000,-2159000,-237000,15479000,-7
81,Other Working Capital,- -,- -,-230000000,-221000000,-375000000,-384000000,-287727000,-306530000,-820441000,-1176000000,-1215886000,-2854887000,-2320565000,-3290727000,219448000,-67581000,84519000,-102167000,-249098000,-473348000,-403384000,-498010000,-156885000,-129679000,-119457000,-160116000,247665000,-2782168000
82,Other Non-Cash Items,5500000,7300000,258929000,5895000,141960000,-41818000,-93629000,15603000,559917000,380176000,-3746000,1593679000,-811500000,956597000,-3733585000,9705000,-237107000,-15538000,-170084000,-172596000,-1572196000,-332513000,-817167000,-173651000,-82430000,-52292000,-392195000,2704441286
83,Cash Provided by Operating Activities,30300000,44900000,80431000,78476000,85176000,139576000,121220000,140506000,206225000,261680000,194379000,235296000,211850000,326070000,251947000,120890000,200435000,237285000,351296000,422035000,400706000,540377000,417506000,386389000,344311000,355157000,124837000,286
84,CAPEX,-116300000,-75700000,-286258000,-215257000,-527663000,-217124000,-50447000,-68153000,-548790000,-355670000,-529812000,-171842000,-822903000,-1043800000,-554057000,-197483000,-185789000,-247011000,-1279715000,-726604000,-267363000,-364419000,-259479000,-202150000,-237231000,-187905000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-52000000,- -,- -,- -,- -,-30000000,- -,29000000,- -,- -,- -,- -,- -,6000000,- -
86,Purchases of Investments,- -,- -,- -,-7783000,-254676000,-142889000,-43252000,-39538000,-51729000,-103611000,-41913000,-101429000,-61806000,-38769000,-161070000,-50404000,-16688000,-155351000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,16244000,32623000,29989000,113047000,34152000,74107000,59825000,115625000,160765000,187713000,275625000,1436000,1283000,13079000,1362000,1378000,23769000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-25600000,-9500000,-10417000,-8210000,-11431000,82339000,-17650000,16220000,-391846000,15674000,-23152000,-19442000,570260000,-6339000,154735000,548960000,47226000,188914000,-934752000,248098000,-284791000,-101024000,443113000,176872000,176323000,-112026000,-208848000,235
89,Cash Used for Investing Activites,-141900000,-85200000,-296675000,-215006000,-761147000,-247685000,1698000,-57319000,-918258000,-383782000,-479252000,-131948000,-126736000,-865283000,-558956000,302356000,-142172000,-212086000,-963374000,271867000,-255791000,-101024000,443113000,176872000,176323000,-112026000,-202848000,235
90,Debt Repayment,-235500000,-157800000,-84775000,-119515000,-165671000,-328452000,-305897000,-315033000,-889045000,-373965000,-276003000,-286369000,-2329827000,-1535017000,-1157190000,-1284110000,-1586352000,-807683000,-2371890000,-3051072000,-853080000,-3284213000,-2437891000,-1219728000,-469814000,-1596506000,-35506000,- -
91,Common Stock Issued,- -,- -,122034000,- -,450828000,- -,- -,- -,471882000,- -,9514000,4597000,746805000,- -,9284000,384165000,1221731000,1032000,175649000,171102000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-74970000,- -,- -,- -,- -,- -,- -,- -,-400144000,-800018000,-221428000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-56615000,-65844000,-89545000,-132397000,-116875000,-120832000,-124744000,-153435000,-178463000,-217563000,-293526000,-270713000,-274634000,-98032000,-239930000,-337853000,-365664000,-375070000,-401280000,-810607000,-797473000,-547591000,-453634000,-474534000,-179862000,- -
94,Other Financing Activites,339000000,209800000,235673000,331400000,480348000,584270000,295672000,342875000,1281029000,643103000,761583000,478986000,1905756000,2235751000,1710805000,601457000,898678000,740908000,3172528000,2565060000,1124637000,4057214000,3182299000,1422478000,409010000,1792824000,661822000,- -
95,Cash Used/Provided by Financing Activities,103500000,52000000,216317000,146041000,675960000,123421000,-127100000,-92990000,739122000,115703000,316631000,-20349000,29208000,355051000,288265000,-396520000,294127000,-403596000,610623000,-689980000,-129723000,-437750000,-853083000,-566269000,-514438000,-278216000,446454000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,73000,9511000,-11000,15312000,-4182000,-9803000,27089000,-6399000,31758000,82999000,114322000,-184162000,-18744000,26726000,352390000,-378397000,-1455000,3922000,15192000,1603000,7536000,-3008000,6196000,-35085000,368443000,- -
98,Cash at the End of Period,- -,- -,15643000,25154000,25143000,40455000,36273000,26470000,53559000,47160000,72114000,155113000,269435000,85273000,66529000,93255000,445645000,67248000,65793000,69715000,84907000,86510000,94046000,91038000,149301000,114216000,482659000,- -
99,Cash at the Beginning of Period,11900000,3800000,15570000,15643000,25154000,25143000,40455000,36273000,26470000,53559000,40356000,72114000,155113000,269435000,85273000,66529000,93255000,445645000,67248000,65793000,69715000,84907000,86510000,94046000,143105000,149301000,114216000,- -
