,https://roic.ai/company/ANIP,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,10510529,14566,229775,64645,- -,- -,- -,12513000,17297000,21932000,45895000,58788000,64842000,72129000,95793000,128526
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3518000,7518000,13387000,26183000,37727000,40503000,48163000,60803000,81693
36,Other Current Assets,75266,58994,64341,91859,664218,183316,309585,245465,248116,337420,1070051,1487160,2469879,801147,378803,580000,9626000,2580000,3564000,3946000,4524000,5071000,5861000,11256
37,Total Current Assets,2916516,5333546,2676096,4594246,5547915,9317643,17578273,9346996,22208474,31006910,16087080,31410270,40625130,58026381,35173144,27716000,203478000,192583000,103007000,131605000,152877000,187695000,170321000,321775
38,PP&E,532829,446083,390821,384996,331889,247827,249088,215566,137040,54896,814894,747979,635776,861364,166386,4537000,5223000,7131000,10998000,20403000,38090000,40551000,41269000,52671
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1838000,1838000,1838000,1838000,1838000,3580000,3580000,3580000,27888
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10409000,42067000,66397000,175792000,229790000,201604000,180388000,188511000,294122
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12247000,43905000,68235000,177630000,231628000,205184000,183968000,192091000,322010
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,140000,3626000,3505744,3405807,3413762,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7796000,17316000,26227000,22667000,27964000,38326000,51704000,67936
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,11992,25326,179536,637397,652679,- -,86203,15878,- -,3307000,- -,5002000,5835000,6489000,6249000,5805000,7206
45,Total Non-Current Assets,532829,446083,390821,384996,331889,247827,249088,227558,162366,234432,1592291,5026658,4141520,4353374,3596026,16784000,60231000,92682000,219857000,280533000,277727000,269094000,290869000,449823
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3449345,5779629,3066917,4979242,5879804,9565470,17827361,9574554,22370840,31241342,17679371,36436928,44766650,62379755,38769170,44500000,263709000,285265000,322864000,412138000,430604000,456789000,461190000,771598
48,Accounts Payable,68784,76057,44746,90653,470871,238743,1169037,1139566,621818,710575,3182089,2440096,4864217,3150677,1128644,1429000,2654000,2066000,3389000,3630000,8884000,14606000,11261000,22967
49,Short-Term Debt,- -,- -,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1111132,- -,7883886,- -,- -,- -,- -,3353000,115719000,9941000,13243000,286520
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4253000,- -,2398000,- -,5022000,- -,3906000,3667
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,136363,68182,9091,- -,- -,- -,- -,- -,47000,- -,- -,- -,- -,711000,451000,80000,87
52,Other Current Liabilities,749131,253058,396517,837109,785348,642462,737718,1390105,3609610,796184,670863,1490021,2207978,4077026,1581135,2062000,10579000,9690000,28559000,32245000,40235000,36678000,53981000,-222037
53,Total Current Liabilities,817915,329115,941263,927762,1256219,881205,1906755,2666034,4299610,1515850,3852952,3930117,8183327,7227703,10593665,3538000,13233000,11756000,31948000,39228000,165549000,61676000,78565000,87537
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16676417,17436201,17336760,- -,- -,110691000,113427000,120643000,198154000,67296000,175808000,172443000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67936
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,89682,-1,- -,- -,- -,- -,- -,- -,- -,- -,- -,625000,- -,496000,6514000,14482000,257385
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,89682,-1,- -,- -,16676417,17436201,17336760,- -,- -,110691000,113427000,121268000,198154000,67792000,182322000,186925000,325321
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,817915,329115,941263,927762,1256219,881205,1906755,2755716,4299609,1515850,3852952,20606534,25619528,24564463,10593665,3538000,123924000,125183000,153216000,237382000,233341000,243998000,265490000,412858
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,391,391,391,391,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,13427648,17652991,17783326,22302513,26685308,36705342,56455849,56653617,64968278,84206974,85733079,135264431,184777375,255054049,273132392,1000,1000,1000,1000,1000,1000,1000,1000,1
64,Retained Earnings,-10796218,-12202477,-15639672,-18251033,-22061723,-28021077,-40535243,-49688320,-46897047,-54481482,-71906660,-119434428,-165630644,-217239148,-244956887,-48472000,-19725000,-4350000,-2916000,-4006000,11488000,17584000,-4972000,-47765
65,Other Comprehensive Income/Loss,- -,-183836,-282336,-374896,-466995,-559922,-661865,-146459,-769006,-236920,-209690,-346969,-445847,-426089,-391562,-3197000,-3794000,-4450000,-5387000,-6589000,-379000,-4871000,-11437000,-3055
66,Other Total Stockholders Equity,- -,183836,264336,374896,466995,559922,661865,- -,769006,236920,209690,346969,445847,426089,391171,92630000,163303000,168881000,177950000,185350000,186153000,200077000,212108000,384709
67,Total Stockholders Equity,2631430,5450514,2125654,4051480,4623585,8684265,15920606,6818838,18071231,29725492,13826419,15830394,19147122,37815292,28175505,40962000,139785000,160082000,169648000,174756000,197263000,212791000,195700000,333890
68,Total Liabilities And Stockholders Equity,3449345,5779629,3066917,4979242,5879804,9565470,17827361,9574554,22370840,31241342,17679371,36436928,44766650,62379755,38769170,44500000,263709000,285265000,322864000,412138000,430604000,456789000,461190000,746748
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24850
70,Total Liabilities & Equity,3449345,5779629,3066917,4979242,5879804,9565470,17827361,9574554,22370840,31241342,17679371,36436928,44766650,62379755,38769170,44500000,263709000,285265000,322864000,412138000,430604000,456789000,461190000,771598
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1023024/000110465902001632/0001104659-02-001632-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000110465903005489/0001104659-03-005489-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000095013704002232/0000950137-04-002232-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000095013705003891/0000950137-05-003891-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000110465906021181/0001104659-06-021181-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000110465907022784/0001104659-07-022784-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000136231008001488/0001362310-08-001488-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000110465909017982/0001104659-09-017982-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000095012310030028/0000950123-10-030028-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000110465911014913/0001104659-11-014913-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000110465912017928/0001104659-12-017928-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000110465913016148/0001104659-13-016148-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000114420414012277/0001144204-14-012277-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000114420415011270/0001144204-15-011270-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000114420416083848/0001144204-16-083848-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000114420417012507/0001144204-17-012507-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000114420418011197/0001144204-18-011197-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000114420419010541/0001144204-19-010541-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000110465920025744/0001104659-20-025744-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000102302421000007/0001023024-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000102302422000004/0001023024-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2659415,-1406259,-3437195,-2611361,-3810690,-5959354,-12016207,-9651036,2791273,-7584435,-17425178,-47527768,-46196216,-51608504,-27717739,301000,28747000,15375000,3934000,-1076000,15494000,6094000,-22548000,-69513000
74,Depreciation and Amortization,139769,90965,122790,110560,92099,92927,101943,100938,117781,89824,43137,137280,167986,148240,258946,1110000,3878000,6900000,22343000,27928000,33742000,44612000,44638000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14459000,-1877000,-8911000,3560000,-5180000,-9134000,-13205000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1102444,1254503,992757,1177683,725625,4454000,3423000,3856000,6067000,6090000,6782000,9217000,12936000,- -
77,Change in Working Capital,-651710,2905830,-3269598,1931651,625212,4144742,7235080,-8990556,11227902,11582196,-17256932,15246025,4961650,18356875,-26219199,-401479,166067000,-9418000,-109768000,21318000,-105049000,138691000,-34263000,-91521762
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-215209,285838,64645,- -,- -,-7081000,-4784000,-4635000,-23963000,-12893000,-4743000,-7287000,-23664000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-708000,-3468000,-5869000,-1938000,5356000,-379000,-7660000,-2759000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4418215,-565000,225000,-1027000,1076000,3000,3466000,5039000,-2294000,- -
81,Other Working Capital,2098601,5004431,1734833,3666484,4291696,8436438,15671518,6680962,17908864,29491060,12234128,27480153,32441803,50798678,24579479,24178000,190245000,180827000,71059000,92377000,-12672000,126019000,91756000,234238
82,Other Non-Cash Items,129931,-3378358,3376399,-1254670,-869114,-3800307,-5763259,10243145,-19133691,-3347593,18000597,12459050,-23683,-15944397,27669347,-10947521,-165623000,2428000,113807000,-18401000,121285000,-143849000,27709000,161034762
83,Cash Provided by Operating Activities,-3041425,-1787822,-3207604,-1823820,-3962493,-5521992,-10442443,-8297509,-4996735,739992,-15535932,-18430910,-40097506,-47870103,-25283020,-5484000,22033000,17264000,27472000,39419000,67074000,45631000,15267000,- -
84,CAPEX,-124984,-4219,-43238,-86735,-38992,-8865,-103204,-67416,-39255,-29428,-651116,-165724,-63441,-719925,-611193,-191000,-35754000,-32683000,-149060000,-107993000,-10912000,-27549000,-68322000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18198000,- -,- -,- -,- -,-16467000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-16098663,-392375,-8009812,-11210979,- -,- -,- -,- -,-7955,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,7700150,13004723,981,11979642,3026334,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3075,- -,- -,2260000,-34634000,-30500000,-149496000,-97624000,-5169000,-20914000,-62187000,- -
89,Cash Used for Investing Activites,-124984,-4219,-43238,-86735,-38992,-8865,-16201867,7240359,4955656,-11239426,11328526,2860610,-60366,-719925,-619148,20267000,-35754000,-32683000,-154062000,-107993000,-27379000,-27549000,-68322000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1234000,- -,-4065000,- -,- -,- -,- -,-28938000,-121457000,-15534000,- -
91,Common Stock Issued,- -,4225343,88057,3801187,4385845,9781487,18680008,197768,7384288,18494531,- -,11352751,48452644,68837507,3260865,- -,46680000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-12,- -,-3050,- -,- -,- -,- -,- -,- -,- -,- -,- -,-658,-433000,- -,-113000,-122000,-259000,-659000,-1031000,-1523000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-190000
94,Other Financing Activites,4257328,- -,500000,- -,- -,- -,- -,- -,- -,- -,319377,22315094,2014,56504,211068,809000,124973000,1179000,-607000,72616000,1781000,123738000,15618000,- -
95,Cash Used/Provided by Financing Activities,4257328,4225343,588045,3801187,4382795,9781487,18680008,197768,7384288,18494531,319377,33667845,48454658,67660011,3471275,-3689000,171653000,1066000,-729000,72357000,-27816000,1250000,-1439000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1090919,2433302,-2662797,1890632,381310,4250630,-7964302,-859382,7343209,7995097,-3888029,18097545,8296786,19069983,-22430893,11094000,157932000,-14353000,-127319000,3783000,11879000,19332000,-54494000,- -
98,Cash at the End of Period,2841250,5274552,2611755,4502387,4883697,9134327,1170025,310643,7653852,15648949,11760919,29858465,38155251,57225234,34794341,11105000,169037000,154684000,27365000,36150000,48029000,67361000,12867000,- -
99,Cash at the Beginning of Period,1750331,2841250,5274552,2611755,4502387,4883697,9134327,1170025,310643,7653852,15648948,11760920,29858465,38155251,57225234,11000,11105000,169037000,154684000,32367000,36150000,48029000,67361000,12867000
100,Free Cash Flow,-3166409,-1792041,-3250842,-1910555,-4001485,-5530857,-10545647,-8364925,-5035990,710564,-16187048,-18596634,-40160947,-48590028,-25894213,-5675000,-13721000,-15419000,-121588000,-68574000,56162000,18082000,-53055000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1023024/000110465902001632/0001104659-02-001632-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000110465903005489/0001104659-03-005489-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000095013704002232/0000950137-04-002232-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000095013705003891/0000950137-05-003891-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000110465906021181/0001104659-06-021181-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000110465907022784/0001104659-07-022784-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000136231008001488/0001362310-08-001488-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000110465909017982/0001104659-09-017982-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000095012310030028/0000950123-10-030028-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000110465911014913/0001104659-11-014913-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000110465912017928/0001104659-12-017928-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000110465913016148/0001104659-13-016148-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000114420414012277/0001144204-14-012277-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000114420415011270/0001144204-15-011270-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000114420416083848/0001144204-16-083848-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000114420417012507/0001144204-17-012507-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000114420418011197/0001144204-18-011197-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000114420419010541/0001144204-19-010541-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000110465920025744/0001104659-20-025744-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000102302421000007/0001023024-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000102302422000004/0001023024-22-000004-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
