,https://roic.ai/company/RGLD,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,4900000,2200000,3000000,3000000,6100000,8600000,1000000,800000,1000000,1800000,1700000,2100000,2600000,2200000,2961536,2986133,6266735,6219629,7629186,6950866,9283217,14092350,25572000,39930000,66388000,88505000,95394000,108710000,112528000,123549000,181429000,205847000,208106000,200702000,35385000,28950000
11,COGS and Expenses,6400000,3500000,8600000,11000000,9000000,9600000,1000000,900000,2400000,3100000,3500000,4400000,5000000,5800000,5522301,4545186,7237803,7566519,9142053,10640290,14968297,19850564,33470000,46479000,76126000,97544000,104838000,117720000,128442000,162445000,256386000,294872000,294213000,282349000,298533000,312160000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3192000,6360000,5088000,3836000,2902000,2132000,883000,3711000,9302000,4170000,2320000,2046000,2443000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,984000,3809000,7740000,7705000,25117000,23426000,25691000,32625000,36378000,34214000,29650000,9813000,6419000
14,Depreciation and Amortization,2900000,200000,700000,1200000,600000,200000,100000,- -,- -,100000,200000,100000,200000,500000,1193108,1270621,2289104,2854839,3313953,3204984,4261060,8268680,18364000,- -,- -,67399000,- -,- -,- -,- -,- -,- -,- -,- -,175434000,183569000
15,EBITDA,-18500000,-5600000,300000,-3300000,-900000,-8700000,-500000,-600000,-2300000,-1900000,800000,4300000,-2600000,-8300000,5226825,2432149,6216692,11491917,15839990,18761161,20711808,37537425,57283000,61189000,39465000,185508000,154891000,158029000,105522000,87222000,16156000,164349000,-64148000,140973000,380936000,529387000
16,EBITDA ratio,-4.6250,-8.0000,0.0638,-0.5789,-0.1286,-21.7500,-5.0000,-3.0000,-11.5000,-3.1667,0.2162,0.5244,-1.8571,-8.3000,0.5557,0.4079,0.5045,0.7279,0.7418,0.7415,0.7298,0.7763,0.8255,0.8294,0.2890,0.8570,0.5888,0.5464,0.4449,0.3137,0.0449,0.3728,-0.1397,0.3332,0.7637,0.8596
17,Operating Income,-2400000,-2800000,-3900000,-5300000,-2000000,-9200000,-900000,-700000,-2200000,-2500000,200000,3800000,-3600000,-9400000,3884355,927752,5085268,8221693,12211018,14662042,13411846,28506264,35923000,27292000,41035000,118925000,156888000,171504000,108720000,87235000,4816000,145942000,-74535000,140707000,198945000,337602000
18,Operating Income ratio,-0.6000,-4.0000,-0.8298,-0.9298,-0.2857,-23.0000,-9.0000,-3.5000,-11.0000,-4.1667,0.0541,0.4634,-2.5714,-9.4000,0.4129,0.1556,0.4127,0.5207,0.5719,0.5795,0.4726,0.5895,0.5177,0.3700,0.3005,0.5494,0.5964,0.5930,0.4584,0.3138,0.0134,0.3311,-0.1624,0.3326,0.3988,0.5482
19,Total Other Income Expenses (Gains),-19000000,2700000,3600000,900000,200000,300000,200000,200000,-100000,500000,400000,400000,800000,-9200000,149362,233776,-1157680,-9929746,315019,894135,3038902,2284246,5013000,35922000,2551000,-2652000,-3869000,-34336000,-25793000,-24991000,-26574000,-27076000,-30044000,-34130000,-6349000,2041000
20,Income Before Tax,-21400000,- -,- -,- -,- -,- -,- -,- -,-2300000,- -,- -,4200000,-2800000,- -,4033717,1161528,3927588,-1708053,12526037,15556177,16450748,30790510,40936000,63214000,43586000,116273000,153019000,137168000,82927000,62244000,-21758000,118866000,-104579000,106577000,192596000,339643000
21,Income Before Tax Ratio,-5.3500,- -,- -,- -,- -,- -,- -,- -,-11.5000,- -,- -,0.5122,-2.0000,- -,0.4288,0.1948,0.3187,-0.1082,0.5866,0.6148,0.5797,0.6367,0.5899,0.8569,0.3192,0.5371,0.5817,0.4743,0.3497,0.2239,-0.0605,0.2697,-0.2278,0.2519,0.3861,0.5515
22,Income Tax expense (Gain),-6400000,- -,- -,- -,- -,- -,- -,- -,-800000,- -,- -,100000,700000,- -,80738,23231,-6771135,1884732,3654358,4102462,5100667,9548265,12811000,21857000,14164000,38974000,54710000,63759000,19455000,9566000,60680000,26441000,14772000,17498000,-3654000,36867000
23,Net Income,-15000000,-5800000,-400000,-4500000,-1500000,-8900000,-600000,-600000,-1500000,-2000000,600000,4100000,-3500000,-8800000,3952979,1138297,10698723,6752346,8871679,11453715,11350081,19720480,26108000,38348000,21492000,71395000,92476000,69153000,62641000,51965000,-77149000,101530000,-113134000,93825000,199343000,302532000
24,Net Income ratio,-3.7500,-8.2857,-0.0851,-0.7895,-0.2143,-22.2500,-6.0000,-3.0000,-7.5000,-3.3333,0.1622,0.5000,-2.5000,-8.8000,0.4202,0.1909,0.8682,0.4277,0.4155,0.4527,0.3999,0.4078,0.3762,0.5198,0.1574,0.3298,0.3515,0.2391,0.2641,0.1869,-0.2144,0.2303,-0.2465,0.2218,0.3996,0.4912
25,EPS,-2.44,-0.87,-0.05,-0.52,-0.17,-1.00,-0.07,-0.06,-0.11,-0.14,0.04,0.26,-0.21,-0.51,0.23,0.06,0.60,0.34,0.43,0.55,0.50,0.79,0.69,1.09,0.49,1.29,1.61,1.09,0.96,0.80,-1.18,1.55,-1.73,1.43,3.04,4.61
26,EPS Diluted,-2.44,-0.87,-0.05,-0.52,-0.17,-1.00,-0.07,-0.06,-0.11,-0.14,0.04,0.26,-0.21,-0.51,0.22,0.06,0.59,0.33,0.42,0.54,0.49,0.79,0.68,1.07,0.49,1.29,1.61,1.09,0.96,0.80,-1.18,1.55,-1.73,1.43,3.03,4.60
27,Weighted Average Shares Outstanding,6147541,6666667,8000000,8653846,8823529,8900000,8571429,10000000,13636364,14265462,14868109,15615729,16617133,17160228,17528244,17762877,17930767,19795949,20760452,20875957,22863784,24827319,31054725,35337133,43640414,55053204,57220040,63250247,64909149,65007861,65074455,65152782,65291855,65394627,65523024,65546400
28,Weighted Average Shares Outstanding Diluted,6147541,6666667,8000000,8653846,8823529,8900000,8571429,10000000,13636364,14265462,15000000,15789474,16617133,17160228,17710371,17767735,18170225,20231638,21110521,21070797,23121862,25075086,31390293,35789076,43980817,55323410,57463850,63429822,65026256,65125173,65074455,65277953,65291855,65505535,65643390,65627591
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/85535/000008553595000009/0000085535-95-000009-index.html,https://www.sec.gov/Archives/edgar/data/85535/000008553596000007/0000085535-96-000007-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/85535/000008553500000010/0000085535-00-000010-index.html,- -,https://www.sec.gov/Archives/edgar/data/85535/000008553502000009/royalgold10k_fiscal2002.htm,https://www.sec.gov/Archives/edgar/data/85535/000008553503000010/royalgold_form10k.htm,https://www.sec.gov/Archives/edgar/data/85535/000095013404013489/d18222e10vk.htm,https://www.sec.gov/Archives/edgar/data/85535/000103570405000498/d28229e10vk.htm,https://www.sec.gov/Archives/edgar/data/85535/000103570406000641/d39384e10vk.htm,https://www.sec.gov/Archives/edgar/data/85535/000103570407000632/0001035704-07-000632-index.html,https://www.sec.gov/Archives/edgar/data/85535/000095013408015495/0000950134-08-015495-index.html,https://www.sec.gov/Archives/edgar/data/85535/000095012309037219/0000950123-09-037219-index.html,https://www.sec.gov/Archives/edgar/data/85535/000104746910007729/0001047469-10-007729-index.html,https://www.sec.gov/Archives/edgar/data/85535/000104746911007500/0001047469-11-007500-index.html,https://www.sec.gov/Archives/edgar/data/85535/000104746912008035/0001047469-12-008035-index.html,https://www.sec.gov/Archives/edgar/data/85535/000104746913008238/0001047469-13-008238-index.html,https://www.sec.gov/Archives/edgar/data/85535/000104746914006723/0001047469-14-006723-index.html,https://www.sec.gov/Archives/edgar/data/85535/000104746915006623/0001047469-15-006623-index.html,https://www.sec.gov/Archives/edgar/data/85535/000104746916014916/a2229433z10-k.htm,https://www.sec.gov/Archives/edgar/data/85535/000155837017006462/0001558370-17-006462-index.html,https://www.sec.gov/Archives/edgar/data/85535/000155837018006805/0001558370-18-006805-index.html,https://www.sec.gov/Archives/edgar/data/85535/000155837019007532/rgld-20190630x10k.htm,https://www.sec.gov/Archives/edgar/data/85535/000155837020009452/0001558370-20-009452-index.htm,https://www.sec.gov/Archives/edgar/data/85535/000155837021011343/0001558370-21-011343-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,3400000,3300000,3300000,8500000,4700000,4647160,4578278,11104140,33485543,44800901,48840371,78449383,82841861,192035000,294566000,324846000,114155000,375456000,664035000,659536000,742849000,116633000,85847000,88750000,119475000,319128000,225916000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,920273,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,3400000,3300000,3300000,8500000,8700000,5567433,4578278,11104140,33485543,44800901,48840371,78449383,82841861,192035000,294566000,324846000,114155000,375456000,664035000,659536000,742849000,116633000,85847000,88750000,119475000,319128000,225916000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,1900000,2600000,600000,600000,1761266,1219147,3022214,3125437,5221307,6601329,5962053,12470451,18937000,22969000,43795000,48828000,64992000,65543000,68601000,44103000,38033000,45630000,26396000,23435000,30124000,51762000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,1200000,2900000,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9489000,7883000,9311000,11380000,11671000,17684000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,5100000,5300000,6300000,3000000,- -,235990,206751,165238,190568,1878967,786613,364460,370907,439000,1173000,2627000,6290000,4760000,14919000,7840000,3798000,614000,822000,1350000,389000,1227000,1773000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,8900000,11700000,15100000,12200000,9400000,7564689,6004176,14291592,36801548,51901175,56228313,84775896,95683219,211411000,318708000,371268000,169273000,445208000,744497000,735977000,790750000,164769000,140182000,125807000,154679000,362150000,297135000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,1700000,3900000,6600000,2300000,9337746,9772364,7518205,43632294,40325611,44817242,84589569,215839441,300670000,455966000,1467983000,1690439000,1890988000,2120268000,2109067000,2083608000,2848087000,2892256000,2501117000,2339316000,2318913000,2262158000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28876000,15015000,9695000,9608000,6273000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6849687,5454500,306565,160417,495018,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,700000,- -,2100000,100000,595147,1485665,930596,470330,988459,1112583,2399338,45126530,34203000,35250000,22082000,14114000,21834000,30881000,36892000,44801000,53696000,58202000,55092000,50156000,85224000,92312000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1400000,2400000,3900000,8700000,2400000,9932893,11258029,15298488,49557124,41620635,46090242,87483925,260965971,334873000,491216000,1490065000,1733429000,1927837000,2160844000,2155567000,2134682000,2901783000,2950458000,2556209000,2389472000,2404137000,2354470000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,10300000,14100000,19000000,20900000,11800000,17497582,17262205,29590080,86358672,93521810,102318555,172259821,356649190,546284000,809924000,1861333000,1902702000,2373045000,2905341000,2891544000,2925432000,3066552000,3090640000,2682016000,2544151000,2766287000,2651605000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,500000,1000000,600000,600000,713580,485785,698136,1126591,1232539,1140509,1075644,2342330,3122000,2403000,2367000,2499000,2615000,2838000,3897000,4911000,4114000,3908000,9090000,2890000,2484000,6398000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26000000,15600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13323000,14479000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,100000,200000,300000,1158666,1087524,1603689,1379390,1208895,1757719,2247872,2346197,4181000,3786000,7407000,10762000,12594000,32247000,18607000,20062000,18566000,26950000,42293000,30720000,41071000,45685000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,500000,1100000,800000,900000,1872246,1573309,2301825,2505981,2441434,2898228,3323516,4688527,7303000,6189000,35774000,28861000,15209000,35085000,22504000,24973000,22680000,30858000,51383000,33610000,43555000,52083000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15750000,15750000,19250000,222500000,210500000,293248000,302263000,311860000,322110000,600685000,586170000,351027000,214554000,300439000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8746702,8078975,7586402,7178907,5910697,26034000,23371000,152583000,152564000,178716000,174267000,169865000,146603000,133867000,121330000,91147000,88961000,86439000,88000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,200000,100000,- -,124697,127100,120525,113489,103089,96634,97749,98173,504000,703000,16928000,23082000,22443000,23090000,14758000,15819000,23435000,32018000,47190000,36573000,33735000,8107000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,200000,200000,100000,- -,124697,127100,120525,8860191,8182064,7683036,7276656,21758870,42288000,43324000,392011000,386146000,494407000,499620000,496483000,484532000,757987000,739518000,489364000,340088000,420613000,96107000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,700000,1300000,900000,900000,1996943,1700409,2422350,11366172,10623498,10581264,10600172,26447397,49591000,49513000,427785000,415007000,509616000,534705000,518987000,509505000,780667000,770376000,540747000,373698000,464168000,148190000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,179108,181016,182798,208838,210125,212585,238165,288929,339000,405000,534000,543000,35742000,30007000,17364000,650000,651000,652000,654000,655000,655000,656000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34400000,-33900000,-29800000,-33300000,-42100000,-39080904,-38837098,-29492397,-24796477,-18262929,-10732358,-4439777,8991529,21543000,46709000,51862000,100004000,160123000,181279000,189871000,185121000,48584000,88050000,-89898000,-65747000,61133000,286249000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-700000,-900000,-1000000,-1000000,-1400000,-2363465,-3634086,-5923190,-8762970,-11176389,-14254875,-18413995,-26857497,19000000,-73544000,-125186000,-191747000,-14000000,-5000000,-442660000,-3000000,-607370000,1000000,-1000000,-1058682000,-1235037000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,45100000,48200000,48500000,54300000,54200000,56765900,57851964,62400519,108343109,112127505,116511939,184275256,336658035,444400000,775871000,1476506000,1551362000,1656594000,2142601000,2590150000,2170351000,2787151000,2185675000,2192411000,3260455000,3445466000,2203863000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,13400000,17700000,20000000,10900000,15500639,15561796,27167730,74992500,82898312,91737291,161659649,319080996,485282000,749441000,1403716000,1460162000,1838459000,2348887000,2354725000,2353122000,2229016000,2275377000,2102167000,2136681000,2272217000,2490768000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,10300000,14100000,19000000,20900000,11800000,17497582,17262205,29590080,86358672,93521810,102318555,172259821,345528393,534873000,798954000,1831501000,1875169000,2348075000,2883592000,2873712000,2862627000,3009683000,3045753000,2642914000,2510379000,2736385000,2638958000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11120797,11411000,10970000,29832000,27533000,24970000,21749000,17832000,62805000,56869000,44887000,39102000,33772000,29902000,12647000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,10300000,14100000,19000000,20900000,11800000,17497582,17262205,29590080,86358672,93521810,102318555,172259821,356649190,546284000,809924000,1861333000,1902702000,2373045000,2905341000,2891544000,2925432000,3066552000,3090640000,2682016000,2544151000,2766287000,2651605000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/85535/000008553595000009/0000085535-95-000009-index.html,https://www.sec.gov/Archives/edgar/data/85535/000008553596000007/0000085535-96-000007-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/85535/000008553500000010/0000085535-00-000010-index.html,- -,https://www.sec.gov/Archives/edgar/data/85535/000008553502000009/royalgold10k_fiscal2002.htm,https://www.sec.gov/Archives/edgar/data/85535/000008553503000010/royalgold_form10k.htm,https://www.sec.gov/Archives/edgar/data/85535/000095013404013489/d18222e10vk.htm,https://www.sec.gov/Archives/edgar/data/85535/000103570405000498/d28229e10vk.htm,https://www.sec.gov/Archives/edgar/data/85535/000103570406000641/d39384e10vk.htm,https://www.sec.gov/Archives/edgar/data/85535/000103570407000632/0001035704-07-000632-index.html,https://www.sec.gov/Archives/edgar/data/85535/000095013408015495/0000950134-08-015495-index.html,https://www.sec.gov/Archives/edgar/data/85535/000095012309037219/0000950123-09-037219-index.html,https://www.sec.gov/Archives/edgar/data/85535/000104746910007729/0001047469-10-007729-index.html,https://www.sec.gov/Archives/edgar/data/85535/000104746911007500/0001047469-11-007500-index.html,https://www.sec.gov/Archives/edgar/data/85535/000104746912008035/0001047469-12-008035-index.html,https://www.sec.gov/Archives/edgar/data/85535/000104746913008238/0001047469-13-008238-index.html,https://www.sec.gov/Archives/edgar/data/85535/000104746914006723/0001047469-14-006723-index.html,https://www.sec.gov/Archives/edgar/data/85535/000104746915006623/0001047469-15-006623-index.html,https://www.sec.gov/Archives/edgar/data/85535/000104746916014916/a2229433z10-k.htm,https://www.sec.gov/Archives/edgar/data/85535/000155837017006462/0001558370-17-006462-index.html,https://www.sec.gov/Archives/edgar/data/85535/000155837018006805/0001558370-18-006805-index.html,https://www.sec.gov/Archives/edgar/data/85535/000155837019007532/rgld-20190630x10k.htm,https://www.sec.gov/Archives/edgar/data/85535/000155837020009452/0001558370-20-009452-index.htm,https://www.sec.gov/Archives/edgar/data/85535/000155837021011343/0001558370-21-011343-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-1500000,-8900000,-600000,-600000,-1500000,-2000000,600000,4100000,-3500000,-8800000,3952979,1138297,10698723,6752346,8871679,11453715,11350081,19720480,26108000,38348000,21492000,71395000,92476000,69153000,62641000,51965000,-77149000,101530000,-113134000,93825000,199343000,302532000
74,Depreciation and Amortization,- -,- -,- -,- -,600000,200000,100000,- -,- -,100000,200000,100000,200000,500000,1193108,1270621,2289104,2854839,3313953,3204984,4261060,8268680,18364000,- -,- -,67399000,- -,- -,- -,- -,- -,- -,- -,- -,175434000,183569000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-800000,- -,- -,100000,600000,- -,- -,- -,-6849687,1708053,3443068,1054911,-873211,-761293,115000,-2170000,-7536000,-6461000,1571000,-11419000,-8166000,-27651000,-4983000,1556000,-32843000,-1745000,-32399000,456000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2587000,5641000,6494000,6507000,5701000,2580000,5141000,10039000,9983000,8279000,6617000,9116000,5730000
77,Change in Working Capital,- -,- -,- -,- -,400000,- -,- -,8700000,2500000,2800000,-2600000,-2900000,-2807557,-1261576,7558900,22305800,15164174,3870344,28122295,9542312,113113308,108411000,22975000,-195082000,289587000,279413000,4061000,52304000,-623688000,-32765000,-34900000,46645000,197526000,-73543000,-73233000,-17251000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5118000,3562000,3731000,8973000,17221000,-5472000,530000,5623000,-6957000,-19552000
79,Inventory,- -,- -,- -,- -,700000,- -,- -,- -,- -,-200000,-1100000,-1700000,2800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7203000,1606000,-1428000,-2069000,-291000,-6014000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1842000,-10742000,-930000,530000,113000,1105000,150000,-849000,-206000,5173000,-6426000,-275000,3237000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,8700000,11200000,14000000,11400000,8500000,5692443,4430867,11989767,34295567,49459741,53330085,81452380,90994692,204108000,312519000,335494000,140412000,429999000,709412000,713473000,765777000,142089000,109324000,74424000,121069000,318595000,245052000,171819000,154568000
82,Other Non-Cash Items,- -,- -,- -,- -,1300000,7500000,-100000,-8900000,-1600000,-3200000,100000,700000,7707557,5861576,-8477041,-21550248,-14007269,-3501493,-30349947,-10435630,-109328610,-111291572,-28435000,186364000,-260813000,-271283000,57549000,56891000,713835000,195409000,276852000,106164000,268996000,228012000,62491000,-67885000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,800000,-1200000,-600000,-800000,-1400000,-2300000,-1700000,2100000,2200000,-3700000,4227946,3164470,7295045,11684089,13401048,14820292,18522628,24347295,39127000,30047000,48371000,146957000,162164000,172630000,147202000,192099000,169859000,265878000,328824000,253166000,340752000,407151000
