,https://roic.ai/company/RL,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1037038/000095012398006280/0000950123-98-006280-index.html,https://www.sec.gov/Archives/edgar/data/1037038/000095012399005963/0000950123-99-005963-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1037038/000095012302006474/0000950123-02-006474-index.html,https://www.sec.gov/Archives/edgar/data/1037038/000095012303007248/0000950123-03-007248-index.html,https://www.sec.gov/Archives/edgar/data/1037038/000095012304007137/0000950123-04-007137-index.html,https://www.sec.gov/Archives/edgar/data/1037038/000095012305008114/y10404e10vk.htm,https://www.sec.gov/Archives/edgar/data/1037038/000095012306007753/y22134e10vk.htm,https://www.sec.gov/Archives/edgar/data/1037038/000095012307008115/0000950123-07-008115-index.html,https://www.sec.gov/Archives/edgar/data/1037038/000095012308006223/0000950123-08-006223-index.html,https://www.sec.gov/Archives/edgar/data/1037038/000095012309009558/0000950123-09-009558-index.html,https://www.sec.gov/Archives/edgar/data/1037038/000095012310055188/0000950123-10-055188-index.html,https://www.sec.gov/Archives/edgar/data/1037038/000095012311054456/0000950123-11-054456-index.html,https://www.sec.gov/Archives/edgar/data/1037038/000119312512247066/d299519d10k.htm,https://www.sec.gov/Archives/edgar/data/1037038/000103703813000009/0001037038-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/1037038/000103703814000006/0001037038-14-000006-index.html,https://www.sec.gov/Archives/edgar/data/1037038/000103703815000006/0001037038-15-000006-index.html,https://www.sec.gov/Archives/edgar/data/1037038/000103703816000019/0001037038-16-000019-index.html,https://www.sec.gov/Archives/edgar/data/1037038/000103703817000004/0001037038-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1037038/000103703818000007/0001037038-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/1037038/000103703819000005/0001037038-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1037038/000103703820000014/0001037038-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1037038/000103703821000022/0001037038-21-000022-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,58800000,44500000,164600000,51498000,238800000,343600000,343500000,350500000,285700000,563900000,551500000,481200000,563100000,453000000,671600000,973700000,797000000,500000000,456000000,668300000,1304600000,584100000,1620400000,2579000000
32,Short-Term Investments,- -,- -,- -,- -,50721000,- -,- -,- -,- -,- -,- -,74300000,338700000,584100000,593900000,515700000,324700000,488000000,644000000,629000000,684700000,699400000,1403400000,495900000,197500000
33,Cash and Short-Term Investments,- -,58800000,44500000,164600000,102219000,238800000,343600000,343500000,350500000,285700000,563900000,625800000,819900000,1147200000,1046900000,1187300000,1298400000,1285000000,1144000000,1085000000,1353000000,2004000000,1987500000,2116300000,2776500000
34,Net Receivables,- -,149100000,157200000,204400000,269010000,353600000,375800000,441700000,455700000,484200000,467500000,508400000,474900000,383200000,500600000,564400000,517300000,768000000,819000000,700000000,673800000,635100000,607100000,415400000,571900000
35,Inventory,- -,298500000,376900000,391000000,425594000,349800000,363800000,363700000,430100000,485500000,526900000,514900000,525100000,504000000,702100000,841600000,896100000,1020000000,1042000000,1125000000,791500000,761300000,817800000,736200000,759000000
36,Other Current Assets,- -,50100000,100900000,92900000,104898000,65900000,82800000,122400000,177500000,123100000,127600000,244400000,236800000,241400000,228400000,306600000,251000000,256000000,319000000,143000000,136200000,148000000,182400000,107300000,100600000
37,Total Current Assets,- -,556500000,679500000,852900000,901721000,1008100000,1166000000,1271300000,1413800000,1378500000,1685900000,1893500000,2056700000,2275800000,2478000000,2899900000,2962800000,3329000000,3324000000,3053000000,2954500000,3548400000,3594800000,3375200000,4208000000
38,PP&E,- -,175300000,261800000,373000000,328929000,343800000,355000000,397300000,487900000,548800000,629800000,709900000,651600000,697200000,788800000,884100000,932200000,1322000000,1436000000,1583000000,1316000000,1186300000,1039200000,2491100000,2253500000
39,Goodwill,- -,- -,27500000,277800000,249391000,273300000,315600000,341600000,558900000,699700000,790500000,975100000,966400000,986600000,1016300000,1004000000,968000000,964000000,903000000,918000000,904600000,950500000,919600000,915500000,934600000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,11400000,17600000,47000000,258500000,297700000,349300000,348900000,363200000,387700000,359000000,327900000,299000000,267000000,244000000,219800000,188000000,163700000,141000000,121100000
41,Intangible Assets,- -,- -,27500000,277800000,249391000,273300000,327000000,359200000,605900000,958200000,1088200000,1324400000,1315300000,1349800000,1404000000,1363000000,1295900000,1263000000,1170000000,1162000000,1124400000,1138500000,1083300000,1056500000,1055700000
42,Investments,- -,5700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75500000,83600000,99900000,104300000,6000000,- -,187000000,21400000,86200000,44900000,- -,- -
43,Tax Assets,- -,- -,- -,- -,61056000,- -,- -,- -,- -,20800000,56900000,155200000,154800000,126000000,197800000,39800000,179900000,213000000,203000000,98000000,74500000,86600000,129000000,98900000,283900000
44,Other Non-Current Assets,- -,87600000,135800000,116900000,84996000,124300000,190800000,242400000,219100000,182400000,297200000,282500000,178100000,124600000,28900000,129700000,-56900000,-43000000,-27000000,130000000,161200000,97300000,51600000,258200000,86400000
45,Total Non-Current Assets,- -,268600000,425100000,767700000,724372000,741400000,872800000,998900000,1312900000,1710200000,2072100000,2472000000,2299800000,2373100000,2503100000,2516500000,2455400000,2761000000,2782000000,3160000000,2697500000,2594900000,2348000000,3904700000,3679500000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,825100000,1104600000,1620600000,1626093000,1749500000,2038800000,2270200000,2726700000,3088700000,3758000000,4365500000,4356500000,4648900000,4981100000,5416400000,5418200000,6090000000,6106000000,6213000000,5652000000,6143300000,5942800000,7279900000,7887500000
48,Accounts Payable,- -,100100000,88900000,151300000,178293000,177500000,181400000,187400000,184400000,202200000,174700000,205700000,165900000,149800000,214700000,180600000,146900000,203000000,210000000,151000000,147700000,165600000,202300000,246800000,355900000
49,Short-Term Debt,- -,- -,- -,- -,86112000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,308200000,- -,475000000,322600000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,77736000,72148000,46000000,- -,28000000,35000000,37000000,8000000,- -,43200000,77000000,27000000,33000000,29500000,- -,29400000,65000000,115200000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000000,- -,- -,- -,- -,- -,40300000,41000000,38000000,50000000,29700000,30400000,14100000,- -,12000000
52,Other Current Liabilities,- -,102200000,259100000,254900000,175172000,214300000,318900000,313700000,438000000,641300000,425600000,702900000,508200000,597500000,617300000,765600000,934100000,726000000,938000000,997000000,982500000,1083000000,983700000,1370200000,894300000
53,Total Current Liabilities,- -,202300000,348000000,406200000,439577000,391800000,500300000,501100000,622400000,843500000,640300000,908600000,674100000,747300000,832000000,946200000,1121300000,970000000,1186000000,1198000000,1159900000,1587200000,1200100000,2092000000,1584800000
54,Long-Term Debt,- -,- -,44200000,342700000,296988000,285400000,248500000,277300000,291000000,24200000,398800000,546000000,483000000,320300000,332300000,274400000,38400000,555000000,536000000,863000000,839100000,288000000,901700000,585800000,3297900000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,189200000,224000000,219000000,222000000,211100000,- -,202700000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,168000000,150200000,132000000,116000000,81000000,62700000,36500000,146700000,- -,10700000
57,Other Non-Current Liabilities,- -,38500000,53500000,99200000,80219000,74100000,81300000,69800000,137600000,171400000,380000000,521200000,464300000,464700000,512100000,375300000,134500000,175000000,158000000,105000000,79600000,774200000,204400000,1909000000,389700000
58,Total Non-Current Liabilities,- -,38500000,97700000,441900000,377207000,359500000,329800000,347100000,428600000,195600000,778800000,1067200000,947300000,785000000,844400000,817700000,512300000,1086000000,1029000000,1271000000,1192500000,1098700000,1455500000,2494800000,3698300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47100000,73200000,- -,38200000,40400000,- -,38400000,271000000,257000000,287000000,273500000,255900000,234900000,2055900000,1987600000
61,Total Liabilities,- -,240800000,445700000,848100000,816784000,751300000,830100000,848200000,1051000000,1039100000,1419100000,1975800000,1621400000,1532300000,1676400000,1763900000,1633600000,2056000000,2215000000,2469000000,2352400000,2685900000,2655600000,4586800000,5283100000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1000000,1000000,1000000,1009000,1000000,1000000,1100000,1100000,1100000,1100000,1100000,1100000,1200000,1200000,1200000,1200000,1000000,1000000,1000000,1200000,1300000,1300000,1300000,1300000
64,Retained Earnings,- -,136700000,227300000,370800000,430047000,602100000,776400000,927400000,1090300000,1379200000,1742300000,2079300000,2465500000,2915300000,3435300000,4042400000,4646800000,5257000000,5787000000,6015000000,5751900000,5752200000,5979100000,5994000000,5872900000
65,Other Comprehensive Income/Loss,- -,-2600000,-6600000,16000000,-275995000,-44000000,9200000,18200000,30000000,16000000,41000000,113000000,127000000,154000000,216000000,197000000,94000000,114000000,-165000000,-182000000,-198000000,-99000000,-103000000,-118000000,-120800000
66,Other Total Stockholders Equity,- -,449200000,437200000,384600000,654248000,439100000,422167000,475373000,554308000,653300000,550500000,196300000,141500000,46100000,-347800000,-588100000,-957400000,-1338000000,-1732000000,-2090000000,-2255500000,-2197100000,-2590200000,-3184200000,-3149000000
67,Total Stockholders Equity,- -,584300000,658900000,772400000,809309000,998200000,1208767000,1422073000,1675708000,2049600000,2334900000,2389700000,2735100000,3116600000,3304700000,3652500000,3784600000,4034000000,3891000000,3744000000,3299600000,3457400000,3287200000,2693100000,2604400000
68,Total Liabilities And Stockholders Equity,- -,825100000,1104600000,1620500000,1626093000,1749500000,2038867000,2270273000,2726708000,3088700000,3754000000,4365500000,4356500000,4648900000,4981100000,5416400000,5418200000,6090000000,6106000000,6213000000,5652000000,6143300000,5942800000,7279900000,7887500000
69,Minority Interest,- -,- -,- -,100000,- -,- -,-67000,-73000,-8000,- -,4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,825100000,1104600000,1620600000,1626093000,1749500000,2038800000,2270200000,2726700000,3088700000,3758000000,4365500000,4356500000,4648900000,4981100000,5416400000,5418200000,6090000000,6106000000,6213000000,5652000000,6143300000,5942800000,7279900000,7887500000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1037038/000095012398006280/0000950123-98-006280-index.html,https://www.sec.gov/Archives/edgar/data/1037038/000095012399005963/0000950123-99-005963-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1037038/000095012302006474/0000950123-02-006474-index.html,https://www.sec.gov/Archives/edgar/data/1037038/000095012303007248/0000950123-03-007248-index.html,https://www.sec.gov/Archives/edgar/data/1037038/000095012304007137/0000950123-04-007137-index.html,https://www.sec.gov/Archives/edgar/data/1037038/000095012305008114/y10404e10vk.htm,https://www.sec.gov/Archives/edgar/data/1037038/000095012306007753/y22134e10vk.htm,https://www.sec.gov/Archives/edgar/data/1037038/000095012307008115/0000950123-07-008115-index.html,https://www.sec.gov/Archives/edgar/data/1037038/000095012308006223/0000950123-08-006223-index.html,https://www.sec.gov/Archives/edgar/data/1037038/000095012309009558/0000950123-09-009558-index.html,https://www.sec.gov/Archives/edgar/data/1037038/000095012310055188/0000950123-10-055188-index.html,https://www.sec.gov/Archives/edgar/data/1037038/000095012311054456/0000950123-11-054456-index.html,https://www.sec.gov/Archives/edgar/data/1037038/000119312512247066/d299519d10k.htm,https://www.sec.gov/Archives/edgar/data/1037038/000103703813000009/0001037038-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/1037038/000103703814000006/0001037038-14-000006-index.html,https://www.sec.gov/Archives/edgar/data/1037038/000103703815000006/0001037038-15-000006-index.html,https://www.sec.gov/Archives/edgar/data/1037038/000103703816000019/0001037038-16-000019-index.html,https://www.sec.gov/Archives/edgar/data/1037038/000103703817000004/0001037038-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1037038/000103703818000007/0001037038-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/1037038/000103703819000005/0001037038-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1037038/000103703820000014/0001037038-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1037038/000103703821000022/0001037038-21-000022-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,117300000,147600000,90600000,143500000,59262000,172500000,174200000,171000000,190400000,308000000,400900000,419800000,406000000,479500000,567600000,681000000,750000000,776000000,702000000,396000000,-99300000,162800000,430900000,384300000,-121100000
74,Depreciation and Amortization,13800000,27400000,46400000,66280000,78599000,83919000,78645000,83189000,103633000,127000000,144700000,201300000,184400000,181200000,194100000,28900000,232300000,258000000,294000000,310000000,307500000,295200000,281300000,269500000,247600000
75,Deferred Income Tax,- -,-28000000,-25800000,6761000,-23430000,21216000,8901000,-4233000,10103000,35500000,-112400000,-7700000,-35100000,-200000,47300000,-15100000,14400000,1000000,11000000,-8000000,-38900000,84100000,8500000,-168800000,35600000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49700000,59700000,70400000,77900000,87500000,93000000,81000000,97000000,63600000,74500000,88600000,100600000,72700000
77,Change in Working Capital,68200000,354200000,-22700000,115200000,15444000,154156000,49400000,104500000,21200000,-256400000,510600000,-60700000,397700000,145900000,117500000,307700000,-112200000,517500000,-221000000,-283000000,-60400000,166600000,433500000,-1111500000,1340000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000,92200000,-50700000,-114000000,82100000,-104000000,-96000000,129000000,54100000,34500000,10100000,57600000,-143000000
79,Inventory,46700000,-48900000,-76400000,53325000,-44626000,82721000,6365000,17227000,-23530000,3800000,-32200000,81800000,-10500000,29100000,-173500000,-148300000,-67500000,-77000000,-97000000,-91000000,120400000,57800000,-90800000,72300000,3700000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,354200000,331500000,446700000,462144000,616300000,665700000,770200000,791400000,535000000,1045600000,984900000,1382600000,1528500000,1646000000,1953700000,1841500000,2359000000,2138000000,1855000000,1794600000,1961200000,2394700000,1283200000,2623200000
82,Other Non-Cash Items,4300000,-405000000,-50000000,-89052000,-29589000,-138033000,-42172000,-143850000,56636000,235000000,-147700000,142700000,-228500000,40400000,-308200000,-195100000,46900000,-738500000,27000000,495000000,779800000,191900000,-459000000,1280500000,-1193900000
83,Cash Provided by Operating Activities,203600000,96200000,38500000,242689000,100286000,293758000,268974000,210606000,381972000,449100000,796100000,695400000,774200000,906500000,688700000,885300000,1018900000,907000000,894000000,1007000000,952300000,975100000,783800000,754600000,380900000
84,CAPEX,-35300000,-71600000,-148700000,-122010000,-105170000,-88008000,-98664000,-123026000,-174138000,-158600000,-184000000,-217100000,-185000000,-201300000,-255000000,-272200000,-276500000,-390000000,-391000000,-418000000,-284000000,-161600000,-197700000,-270300000,-107800000
85,Acquisitions Net,- -,- -,- -,-235144000,-20929000,-23702000,-30326000,-5019000,-243248000,-380600000,-176100000,-188700000,-46300000,-30800000,-70900000,-11700000,-21700000,-40000000,-12000000,-16000000,-6100000,-4600000,-4500000,900000,- -
86,Purchases of Investments,- -,- -,- -,- -,-50721000,- -,-47631000,- -,- -,- -,- -,-96800000,-623100000,-1350900000,-1244300000,-1360500000,-875800000,-1067000000,-1398000000,-1085000000,-860400000,-1605600000,-3054600000,-1289700000,-704600000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12700000,369500000,1072400000,1242300000,1393500000,1058100000,1011000000,1113000000,942000000,942400000,1582700000,2357500000,2240400000,1010900000
88,Other Investing Activites,-3300000,-3300000,-47500000,38832000,-5152000,-4242000,10352000,-4657000,- -,- -,-74500000,-15100000,-158100000,-195100000,28500000,-270900000,-273700000,-392000000,-392000000,-424000000,-283700000,-161600000,-177700000,-249500000,-111300000
89,Cash Used for Investing Activites,-38600000,-74900000,-196200000,-318322000,-181972000,-115952000,-166269000,-132702000,-417386000,-539200000,-434600000,-505000000,-458000000,-504400000,-299400000,-249600000,-113100000,-488000000,-689000000,-583000000,-207800000,-189100000,-879300000,702100000,195000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-203500000,-127700000,-7900000,-115700000,-8700000,-278000000,-2598000000,-4488000000,-3878600000,-28200000,-329500000,-13600000,-788900000
91,Common Stock Issued,- -,268800000,100000,- -,10297000,24486000,7718000,40414000,54281000,55200000,51400000,40100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-16100000,-41262000,-13833000,-2067000,-4682000,-1047000,-1052000,-3800000,-231300000,-475400000,-169800000,-231000000,-594600000,-419400000,-547300000,-558000000,-532000000,-500000000,-215200000,-17100000,-502600000,-694800000,-37700000
93,Dividends Paid,-90300000,-44900000,- -,- -,- -,- -,- -,-14847000,-21718000,-20800000,-20900000,-20500000,-19900000,-24700000,-38500000,-74300000,-127800000,-149000000,-158000000,-170000000,-164800000,-162400000,-190700000,-203900000,-49800000
94,Other Financing Activites,-58700000,-216100000,159400000,242852000,-22350000,-62742000,-19700000,-100943000,- -,2900000,105600000,195300000,41100000,77000000,128400000,201700000,89000000,386000000,2867000000,4685000000,3740500000,10200000,417100000,474100000,1233200000
95,Cash Used/Provided by Financing Activities,-149000000,7800000,143400000,201590000,-25886000,-40323000,-16664000,-76423000,31511000,33500000,-95200000,-260500000,-352100000,-306400000,-512600000,-407700000,-594800000,-599000000,-421000000,-473000000,-518100000,-197500000,-605700000,-438200000,356800000
96,Effect of Forex Changes on Cash,- -,- -,- -,-5844000,-5501000,-928000,12832000,-1610000,2053000,-8200000,11900000,57700000,-34400000,-13800000,13200000,-9400000,-8900000,3000000,-81000000,5000000,-14400000,55200000,-27800000,-15200000,25500000
97,Net Change In Cash,-149000000,7800000,143400000,120113000,-113073000,136555000,98873000,-129000,-1850000,-64800000,278200000,-12400000,-70300000,81900000,-110100000,218600000,302100000,-177000000,-297000000,-44000000,212000000,643700000,-729000000,1003300000,958200000
98,Cash at the End of Period,- -,- -,- -,164571000,51498000,238774000,343606000,343477000,350485000,285700000,563900000,551500000,481200000,563100000,453000000,671600000,973700000,797000000,500000000,456000000,668300000,1355500000,626500000,1629800000,2588000000
99,Cash at the Beginning of Period,13600000,29600000,58800000,44458000,164571000,102219000,244733000,343606000,352335000,350500000,285700000,563900000,551500000,481200000,563100000,453000000,671600000,974000000,797000000,500000000,456300000,711800000,1355500000,626500000,1629800000
100,Free Cash Flow,168300000,24600000,-110200000,120679000,-4884000,205750000,170310000,87580000,207834000,290500000,612100000,478300000,589200000,705200000,433700000,613100000,742400000,517000000,503000000,589000000,668300000,813500000,586100000,484300000,273100000
