,https://roic.ai/company/DLB,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1308547/000119312505245301/d10k.htm,https://www.sec.gov/Archives/edgar/data/1308547/000119312506251697/d10k.htm,https://www.sec.gov/Archives/edgar/data/1308547/000119312507252187/0001193125-07-252187-index.html,https://www.sec.gov/Archives/edgar/data/1308547/000119312508240308/0001193125-08-240308-index.html,https://www.sec.gov/Archives/edgar/data/1308547/000119312509237809/0001193125-09-237809-index.html,https://www.sec.gov/Archives/edgar/data/1308547/000119312510266157/0001193125-10-266157-index.html,https://www.sec.gov/Archives/edgar/data/1308547/000119312511320293/0001193125-11-320293-index.html,https://www.sec.gov/Archives/edgar/data/1308547/000130854712000010/0001308547-12-000010-index.html,https://www.sec.gov/Archives/edgar/data/1308547/000130854713000011/0001308547-13-000011-index.html,https://www.sec.gov/Archives/edgar/data/1308547/000144530514005158/0001445305-14-005158-index.html,- -,https://www.sec.gov/Archives/edgar/data/1308547/000162828016021559/0001628280-16-021559-index.html,https://www.sec.gov/Archives/edgar/data/1308547/000162828017011633/0001628280-17-011633-index.html,https://www.sec.gov/Archives/edgar/data/1308547/000162828018014390/0001628280-18-014390-index.html,https://www.sec.gov/Archives/edgar/data/1308547/000162828019014472/0001628280-19-014472-index.html,https://www.sec.gov/Archives/edgar/data/1308547/000162828020016459/0001628280-20-016459-index.htm,https://www.sec.gov/Archives/edgar/data/1308547/000162828021023630/0001628280-21-023630-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,61922000,78711000,372403000,412500000,368500000,394800000,132800000,156400000,551512000,468600000,454400000,568500000,531926000,516112000,627017000,918063000,797210000,1071876000,1225380000
32,Short-Term Investments,- -,- -,- -,- -,- -,73200000,231200000,119700000,602700000,691700000,391281000,326700000,140300000,231200000,138901000,121629000,247757000,178138000,119146000,46948000,38839000
33,Cash and Short-Term Investments,- -,- -,61922000,78711000,372403000,485700000,599700000,514500000,735500000,848100000,942793000,795300000,594700000,799700000,670827000,637741000,874774000,1096201000,916356000,1118824000,1264219000
34,Net Receivables,- -,- -,15799000,24430000,33242000,24900000,28200000,27700000,27500000,57800000,61815000,49200000,105400000,90200000,112389000,76972000,76194000,334528000,385549000,341697000,414925000
35,Inventory,- -,- -,4234000,7163000,11722000,11100000,14900000,18100000,13000000,28300000,26244000,16700000,10100000,8500000,13872000,16354000,25051000,26206000,32331000,25550000,10965000
36,Other Current Assets,- -,- -,23637000,34453000,36821000,50900000,90600000,131600000,124800000,126200000,127746000,109100000,102500000,107500000,121242000,28663000,35415000,39641000,47304000,61125000,70389000
37,Total Current Assets,- -,- -,105592000,144757000,454188000,572600000,733400000,691900000,900800000,1060400000,1158598000,970300000,812700000,1005900000,918330000,759730000,1011434000,1496576000,1381540000,1547196000,1760498000
38,PP&E,- -,- -,65706000,72333000,76462000,77000000,85600000,87900000,92200000,94100000,117107000,254700000,242900000,289800000,403091000,443656000,485275000,514182000,537432000,618478000,601509000
39,Goodwill,- -,- -,- -,- -,- -,23200000,39400000,250400000,261100000,264600000,263260000,281400000,279700000,277600000,307708000,309616000,311087000,327982000,334829000,336945000,340694000
40,Intangible Assets,- -,- -,14346000,28808000,41049000,15000000,35400000,83100000,82000000,67000000,51573000,56500000,41300000,63700000,127507000,215342000,189648000,184019000,180891000,152431000,122890000
41,Intangible Assets,- -,- -,14346000,28808000,41049000,38200000,74800000,333500000,343100000,331600000,314833000,337900000,321000000,341300000,435215000,524958000,500735000,512001000,515720000,489376000,463584000
42,Investments,- -,- -,- -,- -,- -,32900000,73200000,181000000,205938000,190837000,272797000,361614000,306338000,296335000,321015000,393904000,314364000,187782000,179587000,52149000,62819000
43,Tax Assets,- -,- -,5934000,6669000,6781000,- -,- -,16800000,13600000,11500000,14779000,2700000,- -,- -,46178000,166790000,- -,- -,- -,118881000,156020000
44,Other Non-Current Assets,- -,- -,11129000,9299000,7797000,18600000,24700000,25000000,25662000,23363000,6273000,33586000,54962000,50665000,9464000,21068000,221746000,154846000,207470000,91245000,61257000
45,Total Non-Current Assets,- -,- -,97115000,117109000,132089000,166700000,258300000,644200000,680500000,651400000,725789000,990500000,925200000,978100000,1214963000,1550376000,1522120000,1368811000,1440209000,1370129000,1345189000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,202707000,261866000,586277000,739300000,991700000,1336100000,1581300000,1711800000,1884387000,1960800000,1737900000,1984000000,2133293000,2310106000,2533554000,2865387000,2821749000,2917325000,3105687000
48,Accounts Payable,- -,- -,9581000,6540000,6539000,4600000,9300000,10100000,12900000,3600000,10887000,14800000,10700000,15900000,20710000,17544000,14373000,21922000,15212000,12617000,17779000
49,Short-Term Debt,- -,- -,1050000,1290000,1346000,1441000,1563000,1593000,1624000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15822000,15403000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,3934000,7895000,4762000,2424000,3394000,2600000,754000,2304000,1216000,2680000,3506000,3260000,1334000
51,Deferred Revenue,- -,- -,2736000,2562000,3268000,44568000,73686000,37344000,37204000,9647000,26701000,23493000,20931000,- -,18910000,24180000,23150000,23931000,19991000,15436000,18473000
52,Other Current Liabilities,- -,- -,38012000,54084000,61641000,42291000,58651000,151663000,104872000,152553000,121797000,118507000,141169000,173500000,170061000,171359000,208250000,239345000,271650000,223234000,264062000
53,Total Current Liabilities,- -,- -,51379000,64476000,72794000,92900000,143200000,200700000,156600000,165800000,159385000,156800000,172800000,189400000,209681000,213083000,245773000,285198000,306853000,267109000,315717000
54,Long-Term Debt,- -,- -,14548000,13580000,12124000,10900000,9700000,7800000,5800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56715000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,12775000,15526000,18192000,19663000,- -,30581000,35366000,36425000,- -,24404000,24342000,23713000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,11100000,12393000,- -,- -,11547000,671000,2696000,- -,- -,- -,- -,- -,- -,24404000,- -,- -
57,Other Non-Current Liabilities,- -,- -,26875000,23283000,21956000,30100000,29207000,78400000,77800000,47878000,23455000,62812000,64337000,84600000,77024000,82922000,114614000,216253000,158737000,187469000,105310000
58,Total Non-Current Liabilities,- -,- -,41423000,36863000,34080000,52100000,51300000,86200000,83600000,72200000,39652000,83700000,84000000,84600000,107605000,118288000,151039000,216253000,207545000,211811000,185738000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81137000,72118000
61,Total Liabilities,- -,- -,92802000,101339000,106874000,145000000,194500000,286900000,240200000,238000000,199037000,240500000,256800000,274000000,317286000,331371000,396812000,501451000,514398000,478920000,501455000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,85000,87000,104000,100000,100000,100000,100000,100000,110000,100000,100000,100000,102000,101000,101000,102000,99000,99000,100000
64,Retained Earnings,- -,- -,85234000,125076000,177369000,266900000,409700000,609500000,852500000,1135900000,1445189000,1709500000,1454400000,1660500000,1800857000,1938320000,2083063000,2313539000,2327877000,2443138000,2607909000
65,Other Comprehensive Income/Loss,- -,- -,1463000,-30567000,-24688000,3814000,11467000,4739000,9541000,7801000,7533000,10687000,7814000,3014000,-11462000,-10197000,-7753000,-15832000,-20625000,-10594000,-10030000
66,Other Total Stockholders Equity,- -,- -,6993000,48731000,308354000,323474000,375889000,434914000,478967000,329936000,210681000,-18000,18796000,46403000,- -,42032000,61331000,-108258000,- -,- -,- -
67,Total Stockholders Equity,- -,- -,93775000,143327000,461139000,594288000,797156000,1049253000,1341108000,1473737000,1663513000,1720269000,1481110000,1710017000,1807068000,1970256000,2136742000,2189551000,2307351000,2432643000,2597979000
68,Total Liabilities And Stockholders Equity,- -,- -,186577000,244666000,568013000,739288000,991656000,1336153000,1581308000,1711737000,1862550000,1960769000,1737910000,1984017000,2124354000,2301627000,2533554000,2691002000,2821749000,2911563000,3099434000
69,Minority Interest,- -,- -,16130000,17200000,18264000,12000,44000,-53000,-8000,63000,21837000,31000,-10000,-17000,8939000,8479000,- -,174385000,- -,5762000,6253000
70,Total Liabilities & Equity,- -,- -,202707000,261866000,586277000,739300000,991700000,1336100000,1581300000,1711800000,1884387000,1960800000,1737900000,1984000000,2133293000,2310106000,2533554000,2865387000,2821749000,2917325000,3105687000
71,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1308547/000119312505245301/d10k.htm,https://www.sec.gov/Archives/edgar/data/1308547/000119312506251697/d10k.htm,https://www.sec.gov/Archives/edgar/data/1308547/000119312507252187/0001193125-07-252187-index.html,https://www.sec.gov/Archives/edgar/data/1308547/000119312508240308/0001193125-08-240308-index.html,https://www.sec.gov/Archives/edgar/data/1308547/000119312509237809/0001193125-09-237809-index.html,https://www.sec.gov/Archives/edgar/data/1308547/000119312510266157/0001193125-10-266157-index.html,https://www.sec.gov/Archives/edgar/data/1308547/000119312511320293/0001193125-11-320293-index.html,https://www.sec.gov/Archives/edgar/data/1308547/000130854712000010/0001308547-12-000010-index.html,https://www.sec.gov/Archives/edgar/data/1308547/000130854713000011/0001308547-13-000011-index.html,https://www.sec.gov/Archives/edgar/data/1308547/000144530514005158/0001445305-14-005158-index.html,- -,https://www.sec.gov/Archives/edgar/data/1308547/000162828016021559/0001628280-16-021559-index.html,https://www.sec.gov/Archives/edgar/data/1308547/000162828017011633/0001628280-17-011633-index.html,https://www.sec.gov/Archives/edgar/data/1308547/000162828018014390/0001628280-18-014390-index.html,https://www.sec.gov/Archives/edgar/data/1308547/000162828019014472/0001628280-19-014472-index.html,https://www.sec.gov/Archives/edgar/data/1308547/000162828020016459/0001628280-20-016459-index.htm,https://www.sec.gov/Archives/edgar/data/1308547/000162828021023630/0001628280-21-023630-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,30969000,39842000,52293000,89500000,142800000,199500000,243000000,283400000,309267000,264300000,189300000,206100000,181390000,185860000,206481000,41746000,255151000,231363000,310227000
74,Depreciation and Amortization,- -,- -,7498000,8517000,11348000,12862000,14805000,24814000,28732000,34937000,43994000,43876000,53245000,53278000,69133000,85152000,84308000,81283000,85123000,90878000,112757000
75,Deferred Income Tax,- -,- -,-2987000,-10126000,-107000,-18694000,-33119000,-21750000,5237000,-16031000,6784000,1208000,-19642000,-6696000,-14484000,-22798000,-29368000,89934000,-40191000,-5274000,-37048000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,21758000,27694000,43665000,47581000,64328000,65680000,67069000,66985000,65343000,71249000,76580000,86628000,99698000
77,Change in Working Capital,- -,- -,435000,26068000,301113000,98306000,110500000,-99000000,253000000,150400000,104613000,-185713000,-173600000,176600000,-107851000,-162002000,219014000,445717000,-136691000,205400000,-24638000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,1797000,-31329000,-8514000,18831000,-53639000,10165000,-7008000,24886000,1041000,-65723000,-27492000,1251000,-49034000
79,Inventory,- -,- -,1403000,-2434000,-4611000,-1700000,-9795000,-7567000,-3638000,-15696000,2105000,3051000,9166000,3818000,5835000,-2949000,-11922000,-6602000,-16098000,-11784000,17154000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6641000,21890000,24124000,-7384000,2834000,44453000,15690000,169000,-45185000,44230000
81,Other Working Capital,- -,- -,54213000,80281000,381394000,479700000,590200000,491200000,744200000,894600000,999213000,813500000,639900000,816500000,708649000,546647000,765661000,1211378000,1074687000,1280087000,-614000
82,Other Non-Cash Items,- -,- -,3727000,-17443000,-284225000,-49472000,-72013000,160910000,-278502000,-153102000,-104635000,218545000,161030000,-133415000,114120000,203642000,-174727000,-377727000,87702000,-265146000,-13243000
83,Cash Provided by Operating Activities,- -,- -,39642000,46858000,80422000,132502000,162973000,264474000,273225000,327298000,403688000,389797000,274661000,361547000,309377000,356839000,371051000,352202000,327674000,343849000,447753000
84,CAPEX,- -,- -,-6750000,-12522000,-14734000,-8039000,-15803000,-13610000,-23565000,-38307000,-47362000,-167699000,-30761000,-116668000,-194968000,-221782000,-104867000,-85357000,-113536000,-68987000,-54454000
85,Acquisitions Net,- -,- -,-7051000,-18440000,-4589000,- -,-30208000,-253047000,-16621000,-5601000,-3350000,-12521000,- -,- -,-66300000,- -,- -,-22852000,-14919000,- -,-4500000
86,Purchases of Investments,- -,- -,- -,- -,- -,-221065000,-427825000,-304097000,-373223000,-646052000,-619238000,-611211000,-485370000,-389282000,-392936000,-426118000,-289530000,-174195000,-265361000,-287777000,-67101000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,115700000,280941000,299376000,176908000,643443000,429681000,594677000,692493000,296618000,451377000,366112000,236371000,360490000,337587000,491138000,64785000
88,Other Investing Activites,- -,- -,-250000,52000,-11754000,-1044000,98000,40000,-9571000,1335000,3567000,1725000,-3547000,-33562000,-38184000,-121729000,-8956000,-12379000,-17255000,-2640000,16365000
89,Cash Used for Investing Activites,- -,- -,-14051000,-30910000,-31077000,-114448000,-192797000,-271338000,-236501000,-44357000,-236702000,-194679000,176865000,-204944000,-203595000,-282497000,-161732000,78250000,-56229000,134374000,-44905000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-1522000,-7680000,- -,-518000,-79000,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,33000,1363000,246078000,7717000,10146000,14686000,3502000,4060000,5442000,17386000,15958000,33373000,28627000,71111000,69998000,106162000,57346000,82658000,122088000
92,Common Stock Repurchased,- -,- -,-38000,-144000,-72000,- -,- -,- -,- -,-241362000,-192410000,-272038000,-91073000,-69679000,-123057000,-114486000,-117676000,-172614000,-363373000,-196807000,-278069000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-408206000,- -,-41018000,-48397000,-57059000,-66155000,-77496000,-88581000,-89172000
94,Other Financing Activites,- -,- -,-1397000,-1239000,-1292000,12485000,20378000,20210000,19543000,60208000,24470000,852000,-4564000,-4274000,-3071000,3011000,4648000,-1022000,-1758000,-5045000,-7362000
95,Cash Used/Provided by Financing Activities,- -,- -,-1402000,-20000,244714000,20202000,30524000,34896000,21523000,-184774000,-162498000,-254318000,-487964000,-40580000,-138519000,-88761000,-100089000,-133629000,-385281000,-207775000,-252515000
96,Effect of Forex Changes on Cash,- -,- -,339000,861000,-367000,1828000,4230000,-1738000,-1330000,-3984000,1163000,288000,-1765000,-1948000,-3809000,-1395000,1675000,-5777000,-5821000,3938000,2720000
97,Net Change In Cash,- -,- -,24528000,16789000,293692000,40084000,4930000,26294000,56917000,94183000,5651000,-58912000,-38203000,114075000,-36546000,-15814000,110905000,291046000,-119657000,274386000,153053000
98,Cash at the End of Period,- -,- -,61922000,78711000,372403000,412487000,368467000,394761000,451678000,545861000,551512000,492600000,454397000,568472000,531926000,516112000,627017000,918063000,805593000,1079979000,1233032000
99,Cash at the Beginning of Period,- -,- -,37394000,61922000,78711000,372403000,363537000,368467000,394761000,451678000,545861000,551512000,492600000,454397000,568472000,531926000,516112000,627017000,925250000,805593000,1079979000
100,Free Cash Flow,- -,- -,32892000,34336000,65688000,124463000,147170000,250864000,249660000,288991000,356326000,222098000,243900000,244879000,114409000,135057000,266184000,266845000,214138000,274862000,393299000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1308547/000119312505245301/d10k.htm,https://www.sec.gov/Archives/edgar/data/1308547/000119312506251697/d10k.htm,https://www.sec.gov/Archives/edgar/data/1308547/000119312507252187/0001193125-07-252187-index.html,https://www.sec.gov/Archives/edgar/data/1308547/000119312508240308/0001193125-08-240308-index.html,https://www.sec.gov/Archives/edgar/data/1308547/000119312509237809/0001193125-09-237809-index.html,https://www.sec.gov/Archives/edgar/data/1308547/000119312510266157/0001193125-10-266157-index.html,https://www.sec.gov/Archives/edgar/data/1308547/000119312511320293/0001193125-11-320293-index.html,https://www.sec.gov/Archives/edgar/data/1308547/000130854712000010/0001308547-12-000010-index.html,https://www.sec.gov/Archives/edgar/data/1308547/000130854713000011/0001308547-13-000011-index.html,https://www.sec.gov/Archives/edgar/data/1308547/000144530514005158/0001445305-14-005158-index.html,- -,https://www.sec.gov/Archives/edgar/data/1308547/000162828016021559/0001628280-16-021559-index.html,https://www.sec.gov/Archives/edgar/data/1308547/000162828017011633/0001628280-17-011633-index.html,https://www.sec.gov/Archives/edgar/data/1308547/000162828018014390/0001628280-18-014390-index.html,https://www.sec.gov/Archives/edgar/data/1308547/000162828019014472/0001628280-19-014472-index.html,https://www.sec.gov/Archives/edgar/data/1308547/000162828020016459/0001628280-20-016459-index.htm,https://www.sec.gov/Archives/edgar/data/1308547/000162828021023630/0001628280-21-023630-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
