,https://roic.ai/company/CPA,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,29965000,37044000,66173000,93583000,112448000,170999000,214254000,219169000,339293000,352966000,454149000,489325000,656162000,542984000,-24172000,569033000,617591000,327911000,626805000,-566507000,124261000
16,EBITDA ratio,0.1032,0.1232,0.1936,0.2341,0.1848,0.2009,0.2086,0.1701,0.2708,0.2495,0.2480,0.2175,0.2516,0.2007,-0.0107,0.2561,0.2443,0.1225,0.2315,-0.7072,0.0823
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,402535000,517554000,521087000,266088000,276613000,440061000,145038000,346153000,-460930000,145655000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1790,0.1984,0.1926,0.1183,0.1245,0.1741,0.0542,0.1279,-0.5754,0.0965
19,Total Other Income Expenses (Gains),-273732000,-7174000,-6163000,240484000,410054000,576963000,669703000,-173879000,-75850000,-101156000,-97211000,-36192000,-28984000,-122779000,-458303000,96202000,-22038000,-22413000,-52714000,-169849000,-95446000
20,Income Before Tax,16640000,23667000,52133000,74304000,92591000,146125000,178926000,136128000,259969000,260023000,346011000,366343000,488570000,398308000,-192215000,372815000,418023000,122625000,293439000,-630779000,50209000
21,Income Before Tax Ratio,0.0573,0.0787,0.1525,0.1858,0.1521,0.1717,0.1742,0.1056,0.2075,0.1838,0.1890,0.1629,0.1873,0.1472,-0.0854,0.1678,0.1654,0.0458,0.1084,-0.7875,0.0333
22,Income Tax expense (Gain),1822000,2999000,3644000,5732000,9592000,12286000,17106000,17469000,19610000,18966000,35586000,39867000,61099000,36639000,32759000,38271000,48000000,34530000,46437000,-23717000,10265000
23,Net Income,14818000,20668000,48489000,68572000,82999000,133839000,161820000,118659000,240359000,241057000,310425000,326476000,427471000,361669000,-224974000,334544000,370023000,88095000,247002000,-607062000,39945000
24,Net Income ratio,0.0510,0.0687,0.1419,0.1715,0.1364,0.1572,0.1575,0.0921,0.1918,0.1704,0.1695,0.1451,0.1639,0.1337,-0.1000,0.1506,0.1464,0.0329,0.0912,-0.7579,0.0265
25,EPS,0.35,0.48,1.13,1.60,1.94,3.13,3.77,2.75,5.47,4.82,6.98,7.35,9.64,8.37,4.23,8.02,8.72,2.07,5.81,-14.08,0.94
26,EPS Diluted,0.35,0.48,1.13,1.60,1.94,3.10,3.72,2.73,5.47,4.82,6.98,7.35,9.64,8.37,4.23,8.02,8.72,2.07,5.81,-14.08,0.94
27,Weighted Average Shares Outstanding,42812500,42812500,42910619,42812500,42812500,42760064,42923077,43142515,43910929,43995671,44493779,44400224,44423845,44395453,43861084,42358091,42418773,42456032,42483048,42508448,42533036
28,Weighted Average Shares Outstanding Diluted,42812500,43058333,42910619,42812500,42812500,43173871,43500000,43439879,43910929,43995671,44493779,44400224,44423845,44395453,43861084,42358091,42418773,42456032,42483048,42508448,42533036
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1345105/000136231007001226/c70706e20vf.htm,https://www.sec.gov/Archives/edgar/data/1345105/000136231008002629/c73100e20vf.htm,https://www.sec.gov/Archives/edgar/data/1345105/000136231009006620/c84632e20vf.htm,https://www.sec.gov/Archives/edgar/data/1345105/000095012310025323/0000950123-10-025323-index.html,https://www.sec.gov/Archives/edgar/data/1345105/000095012311051103/c17098e20vf.htm,https://www.sec.gov/Archives/edgar/data/1345105/000119312512164789/d331086d20f.htm,https://www.sec.gov/Archives/edgar/data/1345105/000119312513182396/d522908d20f.htm,https://www.sec.gov/Archives/edgar/data/1345105/000119312514167633/d715762d20f.htm,https://www.sec.gov/Archives/edgar/data/1345105/000119312515159136/d913667d20f.htm,https://www.sec.gov/Archives/edgar/data/1345105/000119312516572584/d182986d20f.htm,https://www.sec.gov/Archives/edgar/data/1345105/000119312517133064/d371550d20f.htm,https://www.sec.gov/Archives/edgar/data/1345105/000119312518121137/d522035d20f.htm,https://www.sec.gov/Archives/edgar/data/1345105/000119312519117216/d722677d20f.htm,https://www.sec.gov/Archives/edgar/data/1345105/000119312520101308/d866272d20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,95718000,94106000,169880000,285858000,220808000,262656000,207690000,243801000,76094000,139110000,221443000,204715000,331687000,238792000,156158000,158732000,119065000,211081000
32,Short-Term Investments,- -,- -,- -,15225000,20384000,27500000,22500000,176018000,89412000,194913000,262345000,575009000,992579000,545160000,480233000,483002000,705108000,566200000,692403000,770816000,806340000
33,Cash and Short-Term Investments,- -,- -,- -,110943000,114490000,197380000,308358000,396826000,352068000,402603000,506146000,651103000,1131689000,766603000,684948000,814689000,943900000,722358000,851135000,889881000,1017421000
34,Net Receivables,30210000,- -,31019000,27706000,49492000,62137000,74169000,75201000,80791000,89387000,143001000,136336000,135056000,122150000,111044000,120884000,126084000,128588000,142619000,64635000,92450000
35,Inventory,- -,- -,- -,2333000,4070000,8667000,14088000,18405000,23327000,45982000,42382000,50603000,56814000,59954000,62247000,74502000,81825000,86530000,69100000,74319000,74778000
36,Other Current Assets,38830000,68940000,72504000,15053000,16741000,22467000,39121000,32032000,45968000,56411000,62713000,79448000,77594000,62742000,49346000,59316000,46679000,126593000,171589000,190536000,38084000
37,Total Current Assets,69040000,68940000,103523000,156035000,184793000,290651000,435736000,522464000,502154000,594383000,754242000,917490000,1401153000,1011449000,907585000,1069391000,1198488000,1064069000,1234443000,1219371000,1222733000
38,PP&E,227717000,345411000,480488000,541211000,637543000,862283000,1166262000,1337669000,1481687000,1772528000,2000191000,2284631000,2348514000,2505336000,2650653000,2623682000,2825904000,2701322000,2793049000,2361765000,2679032000
39,Goodwill,- -,- -,- -,- -,20512000,21779000,24201000,21732000,23852000,25475000,25099000,64627000,25305000,20380000,20380000,20380000,20380000,20380000,20380000,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,35484000,31865000,34973000,43465000,47047000,22330000,28214000,36915000,49046000,49122000,60735000,80788000,87736000,95568000,- -
41,Intangible Assets,- -,- -,- -,- -,20512000,21779000,59685000,53597000,58825000,68940000,72146000,86957000,53519000,57295000,69426000,69502000,81115000,101168000,108116000,95568000,81749000
42,Investments,- -,- -,- -,- -,26175000,29032000,17038000,11145000,6407000,6224000,104834000,69445000,37590000,396802000,861000,953000,65953000,138846000,134347000,119617000,199670000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3655000,7453000,17235000,12708000,18339000,18572000,16041000,19215000,35595000,28417000
44,Other Non-Current Assets,3364000,7584000,7904000,4804000,47889000,51270000,28530000,29350000,43796000,113922000,134383000,117322000,104535000,102757000,74243000,64246000,62899000,65804000,68208000,21468000,36881000
45,Total Non-Current Assets,231081000,352995000,488392000,546015000,732119000,964364000,1271515000,1431761000,1590715000,1961614000,2311554000,2562010000,2551611000,3079425000,2807891000,2776722000,3054443000,3023181000,3122935000,2634013000,3025749000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,300121000,421935000,591915000,702050000,916912000,1255015000,1707251000,1954225000,2092869000,2555997000,3065796000,3479500000,3952764000,4090874000,3715476000,3846113000,4252931000,4087250000,4357378000,3853384000,4248482000
48,Accounts Payable,- -,- -,- -,29068000,52598000,56446000,68292000,65576000,65446000,66005000,92842000,125230000,109529000,125412000,94741000,104176000,116554000,124962000,119332000,66431000,120544000
49,Short-Term Debt,- -,- -,- -,30573000,67905000,91453000,110658000,115833000,94550000,100860000,131069000,136268000,156329000,187646000,245514000,222718000,298462000,311965000,214970000,211551000,270519000
50,Tax Payable,- -,- -,- -,16269000,27450000,31490000,36644000,37194000,43227000,49852000,71223000,85436000,113541000,63110000,67242000,69884000,85140000,44749000,61294000,14423000,36434000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,297137000,382807000,578439000,408012000,370994000,405281000,483879000,502018000,532494000,91213000,95114000
52,Other Current Liabilities,- -,- -,- -,83370000,133476000,191674000,246039000,320675000,286586000,331030000,137612000,144385000,197649000,260427000,274418000,166261000,159497000,108207000,130837000,519366000,627316000
53,Total Current Liabilities,- -,- -,- -,143011000,253979000,339573000,424989000,502084000,446582000,497895000,658660000,788690000,1041946000,981497000,985667000,898436000,1058392000,1047152000,997633000,888561000,1113493000
54,Long-Term Debt,111125000,211698000,311991000,380827000,402954000,529802000,732209000,800196000,750971000,888681000,936657000,1069836000,913507000,928964000,1055183000,961414000,876119000,975283000,938183000,1035954000,1333765000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26324000,33115000,37472000,45206000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,1589000,4039000,4557000,6747000,8747000,13410000,20016000,30444000,34364000,37959000,36296000,32865000,44974000,50628000,48940000,43397000,22190000,18782000
57,Other Non-Current Liabilities,- -,- -,- -,2468000,10073000,9414000,11669000,10766000,16278000,39436000,50504000,50066000,57446000,69009000,54339000,72694000,123182000,137724000,398053000,614665000,486940000
58,Total Non-Current Liabilities,111125000,211698000,311991000,384884000,417066000,543773000,750625000,819709000,780659000,948133000,1017605000,1154266000,1008912000,1034269000,1142387000,1105406000,1083044000,1199419000,1424839000,1672809000,1839487000
59,Other Liabilities,364820000,566539000,788323000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,304564000,230510000,178651000
61,Total Liabilities,253695000,354841000,476332000,527895000,671045000,883346000,1175614000,1321793000,1227241000,1446028000,1676265000,1942956000,2050858000,2015766000,2128054000,2003842000,2141436000,2246571000,2422472000,2561370000,2952980000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,29223000,29223000,29223000,29308000,- -,- -,- -,29961000,30057000,30092000,28325000,28390000,28454000,28504000,28553000,28608000,28665000,28756000
64,Retained Earnings,- -,- -,- -,144932000,217862000,343390000,491599000,594004000,817649000,1051692000,1324394000,1458258000,1820583000,2011485000,1638733000,1887091000,2150322000,1872700000,1965179000,1332478000,1363970000
65,Other Comprehensive Income/Loss,- -,- -,- -,-87037000,-1218000,-4284000,2666000,-4536000,-265000,2410000,1609000,7569000,4200000,238000,-768000,-1872000,-3888000,-4227000,-8628000,-24082000,-18670000
66,Other Total Stockholders Equity,46426000,67094000,115583000,87037000,- -,3340000,8064000,41428000,46979000,56277000,33567000,40660000,47031000,35060000,-78933000,-71402000,-63443000,-56347000,-50253000,-53503000,-78554000
67,Total Stockholders Equity,46426000,67094000,115583000,174155000,245867000,371669000,531637000,632432000,865628000,1109969000,1389531000,1536544000,1901906000,2075108000,1587422000,1842271000,2111495000,1840679000,1934906000,1283558000,1295502000
68,Total Liabilities And Stockholders Equity,300121000,421935000,591915000,702050000,916912000,1255015000,1707251000,1954225000,2092869000,2555997000,3065796000,3479500000,3952764000,4090874000,3715476000,3846113000,4252931000,4087250000,4357378000,3844928000,4248482000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8456000,- -
70,Total Liabilities & Equity,300121000,421935000,591915000,702050000,916912000,1255015000,1707251000,1954225000,2092869000,2555997000,3065796000,3479500000,3952764000,4090874000,3715476000,3846113000,4252931000,4087250000,4357378000,3853384000,4248482000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1345105/000136231007001226/c70706e20vf.htm,https://www.sec.gov/Archives/edgar/data/1345105/000136231008002629/c73100e20vf.htm,https://www.sec.gov/Archives/edgar/data/1345105/000136231009006620/c84632e20vf.htm,https://www.sec.gov/Archives/edgar/data/1345105/000095012310025323/0000950123-10-025323-index.html,https://www.sec.gov/Archives/edgar/data/1345105/000095012311051103/c17098e20vf.htm,https://www.sec.gov/Archives/edgar/data/1345105/000119312512164789/d331086d20f.htm,https://www.sec.gov/Archives/edgar/data/1345105/000119312513182396/d522908d20f.htm,https://www.sec.gov/Archives/edgar/data/1345105/000119312514167633/d715762d20f.htm,https://www.sec.gov/Archives/edgar/data/1345105/000119312515159136/d913667d20f.htm,https://www.sec.gov/Archives/edgar/data/1345105/000119312516572584/d182986d20f.htm,https://www.sec.gov/Archives/edgar/data/1345105/000119312517133064/d371550d20f.htm,https://www.sec.gov/Archives/edgar/data/1345105/000119312518121137/d522035d20f.htm,https://www.sec.gov/Archives/edgar/data/1345105/000119312519117216/d722677d20f.htm,https://www.sec.gov/Archives/edgar/data/1345105/000119312520101308/d866272d20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,14818000,20668000,48489000,68572000,82999000,133839000,161820000,118659000,240359000,241057000,310425000,326476000,427471000,361669000,-224974000,334544000,370023000,88095000,247002000,-607062000,39945000
74,Depreciation and Amortization,13325000,13377000,14040000,19279000,19857000,24874000,35328000,42891000,47079000,62962000,75458000,90187000,137412000,115147000,134888000,159194000,164345000,169436000,282080000,- -,- -
75,Deferred Income Tax,- -,- -,- -,-519000,-885000,-328000,2352000,4649000,3816000,- -,- -,39867000,61099000,36639000,32759000,38271000,48000000,34530000,46437000,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,5593000,5278000,4032000,7661000,7014000,5967000,4688000,4034000,7539000,7422000,7145000,6149000,- -,- -
77,Change in Working Capital,- -,- -,- -,3583000,1784000,15419000,22914000,-30427000,35909000,-10950000,89619000,103444000,223551000,-228622000,-43757000,160052000,152819000,-59389000,102392000,-29215000,- -
78,Accounts Receivable,- -,- -,- -,2287000,-11700000,-16978000,-13549000,-7636000,-3756000,-6144000,-53961000,-164000,-2091000,11054000,17154000,-9824000,-3353000,-3055000,-16978000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,1114000,-313000,3674000,9282000,-393000,3775000,11375000,35016000,10314000,-19186000,22632000,-33714000,19463000,25142000,11404000,-3571000,-66834000,- -
81,Other Working Capital,- -,- -,- -,-2701000,-14240000,6755000,6115000,-48142000,48917000,-10839000,-12118000,4889000,855000,-52425000,7081000,80712000,10933000,17502000,12512000,- -,- -
82,Other Non-Cash Items,4854000,21498000,10950000,7718000,15334000,19664000,-473000,56740000,-50005000,-4300000,15126000,-28962000,-25235000,94040000,413913000,-105010000,-15277000,196942000,100823000,596762000,422667000
83,Cash Provided by Operating Activities,32997000,55543000,73479000,98633000,119089000,193468000,221941000,198105000,282436000,292801000,498289000,538026000,830265000,383561000,316863000,594590000,727332000,436759000,784883000,-39515000,462612000
84,CAPEX,- -,- -,- -,-65764000,-63296000,-193330000,-304013000,-215913000,-202670000,-348729000,-306327000,-177554000,-94177000,-300271000,-101206000,-102819000,-128626000,-149179000,-87862000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,-22282000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-11391000,-48294000,-55894000,-17995000,-240407000,-217905000,-340268000,-319652000,-399733000,-989674000,-464384000,-383005000,-553037000,-854119000,-711840000,-711045000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,22906000,17495000,132586000,268314000,234768000,153722000,117568000,603105000,605017000,435110000,485944000,567007000,775504000,589602000,- -,- -
88,Other Investing Activites,-39473000,-150203000,-151802000,-13113000,-29698000,-32662000,-30245000,954000,810000,8797000,4007000,-194886000,-88659000,-13179000,62067000,-24471000,-181102000,-94263000,-9028000,-93761000,-373040000
89,Cash Used for Investing Activites,-39473000,-150203000,-151802000,-90268000,-163570000,-258980000,-334758000,-322780000,-151451000,-445432000,-468250000,-654605000,-569405000,-152853000,32384000,-179909000,-578159000,-149596000,-192868000,-93761000,-373040000
90,Debt Repayment,- -,- -,- -,-67800000,-46929000,-104750000,-87291000,-84471000,-175374000,-138697000,-93562000,-149353000,-146268000,-147227000,-221912000,-326965000,-246349000,-401333000,-529896000,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,53000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18426000,-117962000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-10000000,-10069000,-8311000,-13561000,-16207000,-16255000,-47908000,-72410000,-192612000,-64696000,-170767000,-147592000,-86116000,-106792000,-147604000,-110438000,- -,- -
94,Other Financing Activites,14466000,100400000,105298000,107555000,95919000,254559000,329147000,160197000,103780000,282072000,171747000,287666000,13381000,194000000,130000000,164456000,148385000,225000000,95000000,93609000,2444000
95,Cash Used/Provided by Financing Activities,14466000,100400000,105298000,29755000,38921000,141498000,228295000,59519000,-87849000,95520000,5775000,-54299000,-197583000,-142420000,-357466000,-248625000,-204756000,-323937000,-545334000,93609000,2444000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-212000,500000,106000,-1288000,2145000,297000,- -,-261000,-7286000,-8509000,-39084000,-37312000,-45860000,-44107000,- -,- -
97,Net Change In Cash,- -,- -,- -,38120000,-5560000,75774000,115978000,-65050000,41848000,-54966000,36111000,-167707000,63016000,82333000,-16728000,126972000,-92895000,-82634000,2574000,-39667000,92016000
98,Cash at the End of Period,- -,- -,- -,95718000,94106000,169880000,285858000,220808000,262656000,207690000,243801000,76094000,139110000,221443000,204715000,331687000,238792000,156158000,158732000,119065000,211081000
99,Cash at the Beginning of Period,- -,- -,- -,57598000,99666000,94106000,169880000,285858000,220808000,262656000,207690000,243801000,76094000,139110000,221443000,204715000,331687000,238792000,156158000,158732000,119065000
100,Free Cash Flow,32997000,55543000,73479000,32869000,55793000,138000,-82072000,-17808000,79766000,-55928000,191962000,360472000,736088000,83290000,215657000,491771000,598706000,287580000,697021000,-39515000,462612000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1345105/000136231007001226/c70706e20vf.htm,https://www.sec.gov/Archives/edgar/data/1345105/000136231008002629/c73100e20vf.htm,https://www.sec.gov/Archives/edgar/data/1345105/000136231009006620/c84632e20vf.htm,https://www.sec.gov/Archives/edgar/data/1345105/000095012310025323/0000950123-10-025323-index.html,https://www.sec.gov/Archives/edgar/data/1345105/000095012311051103/c17098e20vf.htm,https://www.sec.gov/Archives/edgar/data/1345105/000119312512164789/d331086d20f.htm,https://www.sec.gov/Archives/edgar/data/1345105/000119312513182396/d522908d20f.htm,https://www.sec.gov/Archives/edgar/data/1345105/000119312514167633/d715762d20f.htm,https://www.sec.gov/Archives/edgar/data/1345105/000119312515159136/d913667d20f.htm,https://www.sec.gov/Archives/edgar/data/1345105/000119312516572584/d182986d20f.htm,https://www.sec.gov/Archives/edgar/data/1345105/000119312517133064/d371550d20f.htm,https://www.sec.gov/Archives/edgar/data/1345105/000119312518121137/d522035d20f.htm,https://www.sec.gov/Archives/edgar/data/1345105/000119312519117216/d722677d20f.htm,https://www.sec.gov/Archives/edgar/data/1345105/000119312520101308/d866272d20f.htm,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,
