,https://roic.ai/company/CASI,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,-20000,-1340000,-6250000,-4950000,-7530000,-4600000,-6200000,-12800000,-36000000,-47475260,-41587915,-37122652,-18563284,-11848123,-16158236,-50201405,-22396877,-21326635,-6627872,-7490533,-4520379,-4483543,-5722630,-26126065,-7055587,-9354159,-10633541,-24833512,-44941000,-46328000,-34027000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-55.0000,-10.4583,-1.0455,-1.2917,-2.4615,-7.2000,-12.9298,-22.3358,-31.5537,-11.7821,-23.0510,-2.7303,-7.2815,-3.0284,-2.8522,-1.2543,-2.0282,-2.3290,-6.6988,-Infinity,-1101.1112,-147.8787,-Infinity,-Infinity,-Infinity,-10.8790,-3.0598,-1.1279
17,Operating Income,-20000,-1460000,-6330000,-5130000,-7690000,6600000,- -,15700000,- -,50717674,66812250,44064070,19699636,16579921,17327448,51652375,23730311,22356542,6721751,- -,- -,4504000,5740019,26187491,7152403,9420610,- -,- -,-46958000,-51526000,-41837000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-57.0000,-10.6806,1.5000,- -,3.0192,- -,13.8128,35.8831,37.4538,12.5034,32.2570,2.9279,7.4920,3.2087,2.9900,1.2721,- -,- -,6.7293,Infinity,1103.7000,149.9078,Infinity,- -,- -,-11.3672,-3.4031,-1.3868
19,Total Other Income Expenses (Gains),- -,60000,90000,10000,-20000,1800000,2600000,2200000,1700000,2164748,23848148,5432859,205580,3958023,1014191,-27561789,2112583,-1289323,-1227,-3026255,9502,-19049224,-11478380,-52389799,-14358826,-18874098,-18882,-967122,1596000,4015000,5995000
20,Income Before Tax,-20000,-1400000,-6240000,-5120000,-7710000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14545224,-5738361,-26202308,-7206423,-9453488,-10770202,-27471568,-45362000,-47511000,-35842000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-56.8889,-10.7083,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21.7317,-Infinity,-1104.3245,-151.0401,-Infinity,-Infinity,-Infinity,-10.9809,-3.1379,-1.1881
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,812000
23,Net Income,-20000,-1400000,-6240000,-5120000,-7710000,-4800000,-6500000,-13500000,-36900000,-48794378,-43309071,-39022152,-19494056,-12621898,-16313257,-49889057,-22411121,-23862028,-8216378,-8101115,-4558495,-14545224,-5738361,-26202308,-7206423,-9453488,-10770202,-27471568,-46032000,-48287000,-36654000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-56.8889,-10.7083,-1.0909,-1.3542,-2.5962,-7.3800,-13.2890,-23.2602,-33.1683,-12.3729,-24.5565,-2.7565,-7.2362,-3.0303,-3.1913,-1.5549,-2.1935,-2.3487,-21.7317,-Infinity,-1104.3245,-151.0401,-Infinity,-Infinity,-Infinity,-11.1431,-3.1892,-1.2150
25,EPS,-0.02,-1.67,-7.43,-11.91,-15.42,-5.39,-5.94,-11.77,-29.37,-33.44,-26.29,-19.58,-7.48,-4.07,-3.96,-7.81,-3.08,-3.19,-1.21,-0.94,-0.47,-0.78,-0.22,-0.92,-0.22,-0.17,-0.18,-0.32,-0.48,-0.44,-0.33
26,EPS Diluted,-0.02,-1.67,-7.43,-11.91,-15.42,-5.39,-5.94,-11.77,-29.37,-33.44,-26.29,-19.58,-7.48,-4.07,-3.96,-7.81,-3.08,-3.19,-1.21,-0.94,-0.47,-0.78,-0.22,-0.92,-0.22,-0.17,-0.18,-0.32,-0.48,-0.44,-0.33
27,Weighted Average Shares Outstanding,840000,840000,840000,430000,500000,885953,1105305,1152891,1254655,1459730,1644832,1990227,2722102,3379136,4379715,6533969,7651497,7861789,7977970,9678924,11781119,19055064,26125852,28595402,32445811,55869205,61513988,84752152,95948000,110452000,110452000
28,Weighted Average Shares Outstanding Diluted,840000,840000,840000,430000,500000,885953,1105305,1152891,1254655,1459730,1644832,1990227,2722102,3379136,4379715,6533969,7651497,7861789,7977970,9678924,11781119,19055064,26125852,28595402,32445811,55869205,61513988,84752152,95948000,110452000,110452000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/895051/000095013303001174/0000950133-03-001174-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000095013304000918/0000950133-04-000918-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000095013305001083/0000950133-05-001083-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000095013306001229/0000950133-06-001229-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000095013307001107/0000950133-07-001107-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000095013308000975/0000950133-08-000975-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000095013309000720/0000950133-09-000720-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000114420410016386/0001144204-10-016386-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000114420411018176/0001144204-11-018176-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000114420412013984/0001144204-12-013984-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000114420413016578/0001144204-13-016578-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000114420414017002/0001144204-14-017002-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000114420415018805/0001144204-15-018805-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000114420416090485/0001144204-16-090485-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000114420417017953/0001144204-17-017953-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000114420418017897/0001144204-18-017897-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000114420419016832/0001144204-19-016832-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000110465920034018/0001104659-20-034018-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000155837021003735/0001558370-21-003735-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000155837022004437/0001558370-22-004437-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,200000,6900000,33100000,18200000,30800000,26000000,24503886,41386300,24067045,34811847,20425495,11407652,20896141,29675899,16743129,6312182,4885972,1080630,8049237,15131671,10669919,5131114,27092928,43489935,84204809,53621000,57064000,38704000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2129583,14114021,18674736,29673956,18072292,7548044,54071,25816,- -,- -,- -,- -,- -,- -,- -,912200,625000,9309000,9868000
33,Cash and Short-Term Investments,- -,- -,- -,200000,6900000,33100000,18200000,30800000,26000000,24503886,41386300,24067045,36941430,34539516,30082388,50570097,47748191,24291173,6366253,4911788,1080630,8049237,15131671,10669919,5131114,27092928,43489935,85117009,54246000,66373000,48572000
34,Net Receivables,- -,- -,- -,- -,2500000,- -,600000,300000,700000,1478469,234196,309387,691171,3335872,4904664,3918895,4045745,3917510,3286858,2750447,1932742,669310,- -,23727,- -,- -,- -,- -,1293000,4645000,9803000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4542000,1356000,1907000
36,Other Current Assets,- -,- -,- -,- -,- -,20100000,27100000,4500000,400000,494011,371155,272425,528190,367222,338462,377871,464083,383538,220925,265683,193657,189465,279773,328150,438231,355891,322493,7447611,1420000,1651000,1688000
37,Total Current Assets,- -,- -,- -,200000,9400000,53200000,45900000,35600000,27100000,26476366,41991651,24648857,38160791,38242610,35325514,54866863,52258019,28592221,9874036,7927918,3207029,8908012,15411444,11021796,5569345,27448819,43812428,92564620,61501000,74025000,61970000
38,PP&E,- -,- -,- -,600000,800000,800000,1500000,3000000,4000000,4576483,4186079,3152072,1991516,1150087,915337,847561,620456,263715,171498,104729,24621,52556,78142,261781,218796,229591,1046514,1750630,9693000,10758000,21819000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18784727,- -,13210000,12203000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18784727,16895000,13210000,12203000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14038000,29442000,40128000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,-100000,100000,400000,1000000,700000,357563,40720,9283,1457,11305,191034,5110,136433,67459,21494,4584,4184,17427,17965,26011,38174,34485,242023,310024,504000,299000,2178000
45,Total Non-Current Assets,- -,- -,- -,600000,700000,900000,1900000,4000000,4700000,4934046,4226799,3161355,1992973,1161392,1106371,852671,756889,331174,192992,109313,28805,69983,96107,287792,256970,264076,1288537,20845381,41130000,53709000,76328000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,800000,10100000,54100000,47800000,39600000,31800000,31410412,46218450,27810212,40153764,39404002,36431885,55719534,53014908,28923395,10067028,8037231,3235834,8977995,15507551,11309588,5826315,27712895,45100965,113410001,102631000,127734000,138298000
48,Accounts Payable,- -,- -,- -,600000,400000,600000,700000,2100000,4900000,8562671,16309238,10065163,3952517,1550413,5487014,5909317,4550892,11204649,1968607,1351004,453329,504851,402456,754628,884100,1064626,2087770,968048,5113000,3669000,4789000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,1100000,997096,1005727,4864952,- -,- -,60969,751093,2982117,20763,8555404,757471,- -,- -,- -,- -,- -,- -,- -,1499462,1182000,1292000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110809,95495,95496,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2351000,2828000
52,Other Current Liabilities,- -,- -,- -,- -,3300000,3600000,3800000,4300000,1800000,1787416,3418736,1891931,706961,1616765,1267355,1937899,1795408,2584327,745183,595341,250762,237902,162710,164420,169464,250950,2974327,1406434,1652000,664000,5569000
53,Total Current Liabilities,- -,- -,- -,600000,3700000,4200000,4500000,6400000,7800000,11347183,20733701,16932855,4754973,3262674,6815338,8598309,9328417,13809739,11269194,2703816,704091,742753,565166,919048,1053564,1315576,5062097,3873944,7947000,7976000,13186000
54,Long-Term Debt,- -,- -,- -,- -,100000,- -,- -,- -,2000000,1005728,2272399,- -,- -,- -,- -,- -,16768749,9191490,723814,- -,- -,- -,- -,1390015,1464970,1491278,1498754,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2351000,2828000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,2700000,2200000,1200000,- -,- -,- -,- -,366488,522808,419602,230206,140357,20764,- -,- -,- -,- -,- -,- -,9422735,9395222,4122266,- -,73591,21689000,35867000,14325000
58,Total Non-Current Liabilities,- -,- -,- -,- -,2800000,2200000,1200000,- -,2000000,1005728,2272399,366488,522808,419602,230206,140357,16789513,9191490,723814,- -,- -,- -,- -,10812750,10860192,5613544,1498754,73591,21689000,38218000,17153000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2201000,- -,- -
61,Total Liabilities,- -,- -,- -,600000,6500000,6400000,5700000,6400000,9800000,12352911,23006100,17299343,5277781,3682276,7045544,8738666,26117930,23001229,11993008,2703816,704091,742753,565166,11731798,11913756,6929120,6560851,3947535,29636000,46194000,30339000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3350000,3350000,3350000,3350000,3350000,3350000,3350000,3350000,3350000,3350000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,100000,100000,- -,- -,- -,100000,172371,217773,241457,378480,436282,511069,848400,857125,884893,886715,115176,122376,225828,271198,325252,325252,602760,699015,953667,979000,1240000,- -
64,Retained Earnings,- -,- -,- -,-12800000,-20500000,-25300000,-31800000,-45300000,-82200000,-130987395,-174296466,-213318618,-232812674,-245434572,-261747829,-311636886,-334048007,-357910035,-366126413,-374227528,-378786023,-393331247,-399069608,-425271916,-432478339,-441931827,-452702029,-478941285,-523908000,-570501000,-605643000
65,Other Comprehensive Income/Loss,- -,- -,- -,-200000,-200000,-400000,-700000,-1500000,-2300000,-3399778,-4775966,-61846,-4324825,-5710676,-102000,117212,66954,-58391,- -,-6194643,-392778,-283563,-176972,-225151,-293532,-262016,-372272,-1226320,-2728000,589000,1954000
66,Other Total Stockholders Equity,- -,- -,- -,13200000,24200000,73400000,74600000,80000000,106400000,153272303,202067009,220282653,268267902,283063720,287357950,354284493,356670906,359655699,359963718,382290410,378238168,401624224,413917767,424749605,426359178,462374858,490915400,588676404,598652000,650212000,688191000
67,Total Stockholders Equity,- -,- -,- -,300000,3600000,47700000,42100000,33200000,22000000,19057501,23212350,10493646,34858883,35704754,29369190,46963219,26896978,5922166,-1925980,5333415,2531743,8235242,14942385,-422210,-6087441,20783775,38540114,109462466,72995000,81540000,84502000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,900000,10100000,54100000,47800000,39600000,31800000,31410412,46218450,27792989,40136664,39387030,36414734,55701885,53014908,28923395,10067028,8037231,3235834,8977995,15507551,11309588,5826315,27712895,45100965,113410001,102631000,127734000,114841000
69,Minority Interest,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,17223,17100,16972,17151,17649,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23457000
70,Total Liabilities & Equity,- -,- -,- -,800000,10100000,54100000,47800000,39600000,31800000,31410412,46218450,27810212,40153764,39404002,36431885,55719534,53014908,28923395,10067028,8037231,3235834,8977995,15507551,11309588,5826315,27712895,45100965,113410001,102631000,127734000,138298000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/895051/000095013303001174/0000950133-03-001174-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000095013304000918/0000950133-04-000918-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000095013305001083/0000950133-05-001083-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000095013306001229/0000950133-06-001229-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000095013307001107/0000950133-07-001107-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000095013308000975/0000950133-08-000975-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000095013309000720/0000950133-09-000720-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000114420410016386/0001144204-10-016386-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000114420411018176/0001144204-11-018176-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000114420412013984/0001144204-12-013984-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000114420413016578/0001144204-13-016578-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000114420414017002/0001144204-14-017002-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000114420415018805/0001144204-15-018805-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000114420416090485/0001144204-16-090485-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000114420417017953/0001144204-17-017953-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000114420418017897/0001144204-18-017897-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000114420419016832/0001144204-19-016832-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000110465920034018/0001104659-20-034018-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000155837021003735/0001558370-21-003735-index.htm,https://www.sec.gov/Archives/edgar/data/895051/000155837022004437/0001558370-22-004437-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-6240000,-5120000,-7710000,-4800000,-6500000,-13500000,-36900000,-48794378,-43309071,-39022152,-19494056,-12621898,-16313257,-49889057,-22411121,-23862028,-8216378,-8101115,-4558495,-14545224,-5738361,-26202308,-7206423,-9453488,-10770202,-27471568,-46032000,-48287000,-36654000
74,Depreciation and Amortization,- -,- -,80000,150000,200000,200000,300000,700000,900000,1077667,1376187,1508559,930772,773775,155021,-469135,-779149,319230,95106,70364,38116,20457,17389,48179,68381,66451,117779,1670934,2153000,1959000,1815000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1089517,320156,271616,609724,978243,2044382,2189102,1541192,2995240,650440,6118121,7310000,7821000,7770000
77,Change in Working Capital,- -,- -,120000,-400000,6100000,43300000,-7600000,-12200000,-9900000,-4170817,6128767,-13541948,25689816,1574118,-6469760,17758378,-3338952,-28147120,-16177640,6619260,-2721164,5662321,6681019,-4743530,-5586967,21617462,12617088,49940345,-35136676,12495000,-17265000
78,Accounts Receivable,- -,- -,- -,- -,-2500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21446,593250,536411,817705,1263432,669310,-23727,23727,- -,- -,- -,-1293000,-3352000,-5158000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4411000,3186000,-551000
80,Accounts Payable,- -,- -,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1054694,-1527591,-617603,-897675,51522,-102395,352172,129472,180526,849365,-1097170,4001000,-1540000,1491000
81,Other Working Capital,- -,- -,- -,-400000,5700000,49000000,41400000,29200000,19300000,15129183,21257950,7716002,33405818,34979936,28510176,46268554,42929602,14782482,-1395158,5224102,2502938,8165259,14846278,10102748,4515781,26133243,38750331,88690676,53554000,66049000,48784000
82,Other Non-Cash Items,- -,- -,400000,1020000,-3030000,-40900000,7200000,12500000,10100000,7640207,-17069655,5521049,-31376402,-6132415,8110025,11824876,3005149,29886994,13766148,-3819838,2359541,5672014,-6280142,24713131,5670408,-21248784,-9017340,-58841760,48462676,126000,17492000
83,Cash Provided by Operating Activities,- -,- -,-5640000,-4350000,-4440000,-2200000,-6600000,-12500000,-35800000,-44247321,-52873772,-45534492,-24249870,-16406420,-14517971,-20774938,-23524073,-20713407,-10212608,-4959713,-4272278,-2212189,-3275713,-3995426,-5513409,-6023119,-6402235,-28583928,-23243000,-25886000,-26842000
84,CAPEX,- -,- -,-690000,-90000,-210000,-200000,-1000000,-1800000,-1900000,-1640365,-985783,-558187,-32715,-163539,-248677,-227435,-106721,-134065,-2889,-3595,-6001,-48392,-42975,-466326,-25396,-223233,-934702,-21774082,-14020000,-19327000,10000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2906218,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20642969,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-34600000,-32000000,-12300000,- -,- -,- -,- -,-2391680,-11984438,-51491900,-72786954,-43999618,-51556886,-7992859,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14038000,-6401000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,14900000,24700000,34900000,4400000,- -,- -,- -,- -,520000,47325000,62920760,56664000,62525000,15500000,- -,26809,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-100000,-400000,-400000,-100000,- -,22410182,2940184,-418108,355275,11000,52901,- -,4436,-4436,2000,56500,- -,- -,-234508,- -,158446,- -,590,-6967000,-12819000,-20701000
89,Cash Used for Investing Activites,- -,- -,-690000,-90000,-210000,-20000000,-8700000,20400000,2400000,-1640365,21424399,2381997,-2842503,-11272702,-4404577,-12946946,12557661,10838485,7499816,-1595,77308,-48392,-42975,-466326,-25396,-64787,-934702,-21773492,-28058000,-20719000,-20691000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2980893,-7707840,-8553796,-757471,- -,- -,- -,- -,- -,- -,- -,-1500000,- -,-1548000
91,Common Stock Issued,- -,- -,- -,- -,- -,48800000,500000,4700000,29500000,49315827,47139118,19414265,37929018,13292770,9904705,43907403,750275,- -,- -,- -,1312063,1999,10789987,- -,- -,28146232,23870786,87990216,182000,45099000,32500000
92,Common Stock Repurchased,- -,- -,7120000,2470000,10940000,- -,- -,- -,-3800000,-3833367,- -,- -,- -,- -,- -,- -,- -,-76955,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,380000,-400000,-100000,- -,2900000,-1118123,1192669,6418975,-91843,- -,- -,-697030,18995895,- -,-10315,12088894,-164964,9227189,-388865,- -,- -,-96512,-136842,4279591,23363000,2054000,-1310000
95,Cash Used/Provided by Financing Activities,- -,- -,7120000,2470000,11320000,48400000,400000,4700000,28600000,44364337,48331787,25833240,37837175,13292770,9904705,43210373,19746170,-3057848,-7718155,3535098,389628,9229188,10401122,- -,- -,28049720,23733944,92269807,22045000,47153000,29642000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1197513,-1328000,2895000,-469000
97,Net Change In Cash,- -,- -,790000,-1970000,6670000,48400000,400000,4700000,-4800000,-1523349,16882414,-17319255,10744802,-14386352,-9017843,9488489,8779758,-12932770,-10430947,-1426210,-3805342,6968607,7082434,-4461752,-5538805,21961814,16397007,40714874,-30584000,3443000,-18360000
