,https://roic.ai/company/CRWS,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61000,21000,19000,69000,134000,79000,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,- -,-4900000,-6600000,-9900000,-13600000,-14800000,- -,-4500000,4055000,3793000,3046000,1363000,775000,1089000,692000,460000,229000,81000,49000,37000,58000,68000,162000,325000,-2000,- -
14,Depreciation and Amortization,1000000,1000000,1200000,1700000,-2100000,-2600000,-3000000,-3700000,-5200000,7104000,9242000,10416000,11191000,12650000,13334000,10473000,2025000,724000,532000,457000,479000,469000,1133000,2030000,1830000,1481000,1324000,998000,1057000,1055000,1058000,932000,1169000,1480000,3164000,3424000
15,EBITDA,2100000,6300000,10400000,11900000,8200000,7900000,7000000,7500000,8900000,22604000,15781000,12416000,17091000,-14250000,-33366000,-77927000,27147000,-976000,-78313000,6750000,7525000,12732000,9108000,-12881000,10422000,9041000,9453000,9097000,10506000,10252000,11860000,9796000,6255000,8596000,10930000,11147000
16,EBITDA ratio,0.0502,0.1171,0.1440,0.1302,0.0803,0.0648,0.0570,0.0496,0.0475,0.1071,0.0721,0.0484,0.0535,-0.0394,-0.1043,-0.3149,0.2309,-0.0103,-0.9082,0.0805,0.1037,0.1768,0.1216,-0.1474,0.1210,0.1005,0.1108,0.1160,0.1292,0.1192,0.1406,0.1485,0.0890,0.1125,0.1489,0.1408
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,18883000,10625000,11641000,18993000,-5221000,-19558000,-59555000,5022000,6948000,7436000,6237000,7041000,7874000,7908000,-14928000,8760000,7632000,8151000,8093000,9378000,9220000,10788000,8700000,5507000,7113000,7737000,7645000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0895,0.0485,0.0454,0.0595,-0.0144,-0.0611,-0.2406,0.0427,0.0734,0.0862,0.0743,0.0970,0.1094,0.1056,-0.1708,0.1017,0.0848,0.0956,0.1032,0.1154,0.1072,0.1279,0.1319,0.0784,0.0931,0.1054,0.0966
19,Total Other Income Expenses (Gains),-1000000,-500000,800000,-700000,-700000,-1400000,-900000,-100000,-1000000,-1383000,-4086000,-4741000,-6493000,-11779000,-13642000,-14045000,-4908000,-4148000,-90336000,-3737000,-3041000,3026000,-608000,-972000,-760000,-432000,-251000,-75000,-78000,-60000,-44000,96000,-86000,-322000,31000,78000
20,Income Before Tax,1100000,5300000,9200000,10200000,10300000,10500000,10000000,11200000,14100000,17500000,6539000,6900000,12500000,-17000000,-33200000,-73600000,114000,2800000,-82900000,2500000,4000000,10900000,7300000,-15900000,8000000,7200000,7900000,8018000,9300000,9160000,10744000,8796000,5421000,6791000,7768000,7723000
21,Income Before Tax Ratio,0.0263,0.0985,0.1274,0.1116,0.1009,0.0861,0.0815,0.0740,0.0753,0.0829,0.0299,0.0269,0.0392,-0.0469,-0.1038,-0.2974,0.0010,0.0296,-0.9614,0.0298,0.0551,0.1514,0.0975,-0.1819,0.0929,0.0800,0.0926,0.1022,0.1144,0.1065,0.1274,0.1333,0.0771,0.0889,0.1058,0.0976
22,Income Tax expense (Gain),500000,2500000,3800000,3800000,3700000,3800000,3700000,3900000,5100000,6400000,2592000,3300000,4700000,-5200000,-4000000,- -,-1880000,300000,200000,100000,-4000000,3300000,2800000,1100000,3100000,2800000,2900000,2907000,3600000,3442000,3915000,3224000,1903000,1772000,1207000,1642000
23,Net Income,600000,2800000,5400000,6400000,6600000,6700000,6300000,7300000,9000000,11100000,3947000,3600000,7800000,-11800000,-29100000,-73600000,27002000,2500000,-83100000,2400000,8000000,7600000,4400000,-17100000,4800000,4300000,5000000,5111000,5800000,5718000,6829000,5572000,3021000,5019000,6561000,6081000
24,Net Income ratio,0.0144,0.0520,0.0748,0.0700,0.0646,0.0550,0.0513,0.0482,0.0481,0.0526,0.0180,0.0140,0.0244,-0.0326,-0.0910,-0.2974,0.2296,0.0264,-0.9637,0.0286,0.1102,0.1056,0.0587,-0.1957,0.0557,0.0478,0.0586,0.0652,0.0713,0.0665,0.0810,0.0845,0.0430,0.0657,0.0894,0.0768
25,EPS,0.10,0.42,0.79,0.94,0.96,0.97,0.91,0.89,1.08,1.31,0.49,0.45,0.97,-1.37,-3.39,-8.55,2.95,0.26,0.33,0.26,0.84,0.78,0.44,-1.83,0.52,0.45,0.52,0.52,0.59,0.57,0.68,0.56,0.30,0.50,0.65,0.60
26,EPS Diluted,0.10,0.42,0.79,0.92,0.96,0.97,0.91,0.89,1.08,1.31,0.49,0.45,0.92,-1.37,-3.39,-8.55,1.37,0.12,0.14,0.11,0.37,0.76,0.44,-1.83,0.52,0.45,0.52,0.52,0.59,0.57,0.68,0.55,0.30,0.50,0.65,0.60
27,Weighted Average Shares Outstanding,6000000,6666667,6835443,6808511,6875000,6907216,6923077,8202247,8333333,8457333,8125000,8006000,8065000,8593000,8609000,8609000,9167000,9421000,9485000,9505000,9506000,9782000,9888000,9317000,9193000,9497000,9645000,9786000,9848000,10047000,10017000,10013000,10072000,10092000,10149000,10144000
28,Weighted Average Shares Outstanding Diluted,6000000,6666667,6835443,6956522,6875000,6907216,6923077,8202247,8333333,8457333,8245614,8042000,8495000,8593000,8609000,8609000,19759000,21471000,22393000,21945000,21728000,10038000,10165000,9317000,9295000,9670000,9747000,9786000,9858000,10080000,10038000,10041000,10079000,10094000,10150000,10150000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/25895/000095014495001835/0000950144-95-001835-index.html,https://www.sec.gov/Archives/edgar/data/25895/000095014496003747/0000950144-96-003747-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/25895/000095013402007435/0000950134-02-007435-index.html,- -,https://www.sec.gov/Archives/edgar/data/25895/000095013404008890/0000950134-04-008890-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000095013405012231/0000950134-05-012231-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000095013406011589/0000950134-06-011589-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000095013407013692/0000950134-07-013692-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000095013408011048/0000950134-08-011048-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000095012309018242/0000950123-09-018242-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000095012310061373/0000950123-10-061373-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000143774911003982/0001437749-11-003982-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000143774912006233/0001437749-12-006233-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000143774913007752/0001437749-13-007752-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000143774914011423/0001437749-14-011423-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000143774915012189/0001437749-15-012189-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000143774916033565/0001437749-16-033565-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000143774917011232/0001437749-17-011232-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000143774918011667/0001437749-18-011667-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000143774919011913/0001437749-19-011913-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000143774920012786/0001437749-20-012786-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000143774921014357/0001437749-21-014357-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,200000,300000,200000,300000,200000,700000,19400000,400000,400000,600000,517000,600000,800000,700000,1500000,600000,388000,200000,7000,1000000,3800000,33000,7900000,15200000,100000,200000,200000,340000,600000,1807000,7574000,7892000,215000,143000,282000,613000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,505000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,200000,300000,200000,300000,200000,700000,19400000,400000,400000,600000,517000,600000,800000,700000,1500000,600000,388000,200000,7000,1000000,3800000,33000,7900000,15200000,605000,200000,200000,340000,600000,1807000,7574000,7892000,215000,143000,282000,613000
34,Net Receivables,4800000,6400000,9300000,10500000,10700000,15200000,14000000,19100000,26000000,25000000,40844000,38400000,48400000,59800000,29100000,17800000,12532000,15800000,17200000,14400000,14500000,12900000,18300000,19000000,18000000,18700000,20300000,21724000,21700000,22370000,20796000,15614000,18498000,17772000,17803000,19338000
35,Inventory,9100000,13000000,17600000,19300000,28400000,30500000,28400000,43300000,45100000,44900000,47269000,56900000,82400000,87300000,73300000,19600000,16451000,15500000,14400000,12500000,9700000,7100000,13800000,11800000,10500000,13600000,11800000,10930000,13600000,15468000,14785000,15821000,19788000,19534000,17732000,20335000
36,Other Current Assets,300000,200000,300000,900000,900000,1000000,1900000,2100000,2700000,2900000,4984000,5600000,6900000,8100000,8600000,24400000,4286000,1100000,1693000,1400000,2200000,3767000,2600000,2500000,2395000,2800000,2800000,2233000,2200000,2874000,2577000,1783000,1253000,1230000,1224000,1184000
37,Total Current Assets,14400000,19900000,27400000,31000000,40200000,47400000,63700000,64900000,74200000,73400000,93614000,101500000,138500000,155900000,112500000,62400000,33657000,32600000,33300000,29300000,30200000,23800000,42600000,48500000,31500000,35300000,35100000,35227000,38100000,42519000,45732000,41110000,39754000,38679000,37041000,41470000
38,PP&E,5100000,5500000,10800000,12400000,14000000,17400000,23500000,42800000,48900000,59500000,77335000,73000000,72000000,79100000,73000000,3900000,3330000,2200000,1800000,1600000,1500000,1400000,600000,700000,600000,500000,500000,738000,600000,528000,433000,441000,1778000,1922000,6896000,5526000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,13526000,13200000,28700000,25600000,25200000,24100000,- -,23000000,23000000,23000000,23000000,22900000,22900000,- -,900000,1100000,1100000,1126000,1100000,1126000,1126000,1126000,7125000,7125000,7125000,7125000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23034000,- -,- -,- -,- -,600000,7300000,5500000,6500000,6800000,6000000,5990000,5200000,4507000,3882000,3128000,7272000,6432000,5577000,3163000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,13526000,13200000,28700000,25600000,25200000,24100000,23034000,23000000,23000000,23000000,23000000,23500000,30200000,5500000,7400000,7900000,7100000,7116000,6300000,5633000,5008000,4254000,14397000,13557000,12702000,10288000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,4900000,- -,7900000,7900000,4800000,1900000,- -,- -,- -,- -,- -,- -,700000,400000,- -,- -,- -,- -,1005000,- -,- -,- -,- -,- -,524000,- -,706000
44,Other Non-Current Assets,400000,- -,- -,-100000,900000,900000,1400000,900000,200000,-3900000,1223000,-6000000,-5400000,-500000,2400000,300000,179000,100000,300000,200000,3500000,-500000,-300000,1800000,1900000,2000000,2000000,77000,1200000,1266000,1242000,1379000,652000,97000,534000,92000
45,Total Non-Current Assets,5500000,5500000,10800000,12300000,14900000,18300000,24900000,43700000,49100000,60600000,92084000,88100000,103200000,109000000,102500000,28300000,26543000,25300000,25100000,24800000,28000000,25100000,30900000,8000000,9900000,10400000,9600000,8936000,8100000,7427000,6683000,6074000,16827000,16100000,20132000,16612000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,19900000,25400000,38200000,43300000,55100000,65700000,88600000,108600000,123300000,134000000,185698000,189600000,241700000,264900000,215000000,90700000,60200000,57900000,58400000,54100000,58200000,48900000,73500000,56500000,41400000,45700000,44700000,44163000,46200000,49946000,52415000,47184000,56581000,54779000,57173000,58082000
48,Accounts Payable,- -,- -,- -,- -,6400000,300000,4000000,11900000,13400000,10700000,12480000,13200000,20800000,25300000,18000000,8500000,3695000,4500000,5100000,3700000,3500000,3600000,5600000,6100000,5600000,5100000,6100000,7376000,5100000,4472000,4640000,5149000,3766000,4201000,2972000,5539000
49,Short-Term Debt,3500000,300000,5900000,2400000,9100000,7200000,2000000,8600000,14900000,15100000,6280000,- -,24900000,56200000,- -,- -,3000000,3014000,3016000,2317000,36000,19000,2504000,1667000,1952000,1952000,- -,- -,- -,- -,- -,- -,- -,- -,191000,3766000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,409000,- -,710000,787000,1021000,806000,224000,40000,76000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,990000,2408000,885000,921000,399000,230000,1864000,- -,799000,968000,888000,1240000,8000,- -,439000,- -
52,Other Current Liabilities,1400000,7700000,8100000,7800000,2400000,2300000,3400000,3400000,5300000,10600000,6985000,10600000,39900000,18200000,31000000,50500000,3895000,4286000,3384000,2183000,874000,-427000,2011000,1812000,2749000,2718000,1936000,3975000,4401000,4934000,6657000,1184000,3014000,3510000,2877000,3641000
53,Total Current Liabilities,4900000,8000000,14000000,10200000,17900000,9800000,9400000,23900000,33600000,36400000,25745000,23800000,85600000,99700000,49000000,59000000,10590000,11800000,11500000,8200000,5400000,5600000,11000000,10500000,10700000,10000000,9900000,11351000,10300000,10374000,12185000,7573000,6788000,7711000,6479000,12946000
54,Long-Term Debt,6100000,5500000,5700000,8500000,6600000,19000000,17000000,15000000,10000000,5000000,69300000,71200000,50100000,72900000,106600000,47700000,36773000,30900000,28400000,25100000,23900000,5800000,22300000,23600000,3200000,4300000,- -,- -,- -,- -,- -,- -,9458000,4486000,2578000,2641000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,500000,- -,1000000,1300000,1600000,1800000,2000000,2800000,3800000,- -,6936000,- -,- -,- -,- -,- -,24000,- -,- -,- -,- -,- -,- -,- -,- -,- -,127000,- -,799000,968000,888000,688000,532000,1194000,721000,630000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,5600000,700000,8900000,8600000,5500000,2600000,800000,- -,- -,100000,-100000,- -,700000,400000,- -,- -,- -,- -,- -,- -,- -,-677000,- -,485000,- -,4959000,- -
58,Total Non-Current Liabilities,6600000,5500000,6700000,9800000,8200000,20800000,19000000,17800000,13800000,10600000,76936000,80100000,58700000,78400000,109200000,48500000,36797000,30900000,28500000,25000000,23900000,6500000,22700000,23600000,3200000,4300000,- -,- -,- -,- -,211000,688000,10475000,5680000,8258000,3271000
59,Other Liabilities,13800000,12100000,14400000,20300000,17200000,42400000,39000000,36200000,28100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5150000,4443000
61,Total Liabilities,12100000,14600000,21700000,20700000,26900000,31400000,29400000,42300000,47900000,47000000,102681000,103900000,144300000,178100000,158200000,107500000,47387000,42700000,40000000,33200000,29300000,12100000,33700000,34100000,13900000,14300000,9900000,11351000,10300000,10374000,12396000,8261000,17263000,13391000,14737000,16217000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,9051000,9100000,9700000,10000000,10000000,8600000,9421000,9400000,100000,100000,100000,100000,100000,100000,100000,100000,100000,117000,100000,120000,123000,124000,125000,125000,126000,128000
64,Retained Earnings,6900000,9600000,12700000,13100000,15600000,21500000,27000000,33300000,41300000,51400000,54327000,57000000,63800000,51000000,21100000,-52500000,-25475000,-23000000,-19900000,-17500000,-9500000,-1900000,2500000,-14600000,-10000000,-6600000,-3700000,-5834000,-3200000,-719000,401000,-1246000,-1450000,338000,1108000,2191000
65,Other Comprehensive Income/Loss,-7300000,-7500000,-7700000,-9200000,-11100000,-13200000,-15900000,-19100000,-23200000,-29600000,-34265000,-41800000,-51400000,-60900000,-200000,-200000,-4065000,-25000,-3400000,-3200000,-2900000,-3000000,-2600000,-2800000,-3000000,-3200000,-3000000,-3070000,-3200000,-3528000,-3740000,-3239000,-3571000,-3751000,-3434000,- -
66,Other Total Stockholders Equity,8200000,8700000,11500000,18700000,23700000,26000000,48100000,52100000,57300000,56200000,53904000,61400000,75200000,86700000,25900000,27300000,32932000,28890000,41637000,41475000,41142000,41623000,39733000,39711000,40397000,41095000,41316000,41599000,42217000,43699000,43235000,43284000,44214000,44676000,44636000,39546000
67,Total Stockholders Equity,7800000,10800000,16500000,22600000,28200000,34300000,59200000,66300000,75400000,87000000,83017000,85700000,97300000,86800000,56800000,-16800000,12813000,15265000,18437000,20875000,28842000,36823000,39733000,22411000,27497000,31395000,34716000,32812000,35917000,39572000,40019000,38923000,39318000,41388000,42436000,41865000
68,Total Liabilities And Stockholders Equity,19900000,25400000,38200000,43300000,55100000,65700000,88600000,108600000,123300000,134000000,185698000,189600000,241600000,264900000,215000000,90700000,60200000,57965000,58437000,54075000,58142000,48923000,73433000,56511000,41397000,45695000,44616000,44163000,46217000,49946000,52415000,47184000,56581000,54779000,57173000,58082000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,-65000,-37000,25000,58000,-23000,67000,-11000,3000,5000,84000,- -,-17000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,19900000,25400000,38200000,43300000,55100000,65700000,88600000,108600000,123300000,134000000,185698000,189600000,241700000,264900000,215000000,90700000,60200000,57900000,58400000,54100000,58200000,48900000,73500000,56500000,41400000,45700000,44700000,44163000,46200000,49946000,52415000,47184000,56581000,54779000,57173000,58082000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/25895/000095014495001835/0000950144-95-001835-index.html,https://www.sec.gov/Archives/edgar/data/25895/000095014496003747/0000950144-96-003747-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/25895/000095013402007435/0000950134-02-007435-index.html,- -,https://www.sec.gov/Archives/edgar/data/25895/000095013404008890/0000950134-04-008890-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000095013405012231/0000950134-05-012231-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000095013406011589/0000950134-06-011589-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000095013407013692/0000950134-07-013692-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000095013408011048/0000950134-08-011048-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000095012309018242/0000950123-09-018242-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000095012310061373/0000950123-10-061373-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000143774911003982/0001437749-11-003982-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000143774912006233/0001437749-12-006233-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000143774913007752/0001437749-13-007752-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000143774914011423/0001437749-14-011423-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000143774915012189/0001437749-15-012189-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000143774916033565/0001437749-16-033565-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000143774917011232/0001437749-17-011232-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000143774918011667/0001437749-18-011667-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000143774919011913/0001437749-19-011913-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000143774920012786/0001437749-20-012786-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000143774921014357/0001437749-21-014357-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,6600000,6700000,6300000,7300000,9000000,11100000,3947000,3600000,7800000,-11800000,-29100000,-73600000,27002000,2500000,-83100000,2400000,8000000,7600000,4400000,-17100000,4800000,4300000,5000000,5111000,5800000,5718000,6829000,5572000,3021000,5019000,6561000,6081000
74,Depreciation and Amortization,- -,- -,- -,- -,-2100000,-2600000,-3000000,-3700000,-5200000,7104000,9242000,10416000,11191000,12650000,13334000,10473000,2025000,724000,532000,457000,479000,469000,1133000,2030000,1830000,1481000,1324000,998000,1057000,1055000,1058000,932000,1169000,1480000,3164000,3424000
75,Deferred Income Tax,- -,- -,- -,- -,400000,100000,- -,600000,600000,1245000,767000,59000,- -,- -,- -,-56000,- -,- -,- -,- -,-4267000,2677000,1227000,-2072000,273000,169000,397000,572000,-743000,-193000,376000,896000,1037000,185000,-388000,-358000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,707000,760000,732000,545000,652000,604000,862000,906000,604000,539000,377000,297000,394000
77,Change in Working Capital,- -,- -,- -,- -,-8500000,15300000,16700000,-13300000,-400000,-3600000,30869000,9831000,-24800000,3300000,7300000,-60100000,19667000,-2267000,1000000,-700000,3700000,-6600000,13400000,6400000,-17200000,4500000,-100000,-1324000,3924000,4345000,1402000,-10000,-571000,-1998000,-406000,-2038000
78,Accounts Receivable,- -,- -,- -,- -,-200000,-4500000,2000000,-5100000,-7000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-618000,1770000,-632000,-1670000,-1401000,12000,-658000,1575000,5182000,-2884000,726000,-31000,-1535000
79,Inventory,- -,- -,- -,- -,-9200000,-2100000,3200000,-15000000,-1800000,213000,4756000,-9476000,-18471000,2720000,14018000,53705000,3113000,300000,1154000,1850000,2802000,2597000,-2551000,2026000,1846000,-2807000,1721000,909000,-2677000,-1861000,683000,-1036000,297000,254000,1802000,-2603000
80,Accounts Payable,- -,- -,- -,- -,1100000,-1200000,-1700000,7900000,1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,504000,-1088000,-616000,- -,1284000,-2310000,-594000,168000,509000,-1702000,402000,-1330000,2519000
81,Other Working Capital,- -,- -,- -,- -,22300000,37600000,54300000,41000000,40600000,37000000,67869000,77700000,52900000,56200000,63500000,3400000,23067000,20800000,21800000,21100000,24800000,18200000,31600000,38000000,20800000,25300000,25200000,23876000,27800000,32145000,33547000,33537000,32966000,30968000,30562000,28524000
82,Other Non-Cash Items,- -,- -,- -,- -,4300000,-17900000,-7700000,8700000,5500000,951000,-37483000,-12629000,2407000,-7879000,11703000,148329000,-43307000,5072000,84773000,4016000,-148000,7275000,-17482000,18428000,20028000,-9173000,1102000,3114000,-7003000,-7021000,445000,2395000,-2742000,3911000,-696000,1235000
