,https://roic.ai/company/TNC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.1560,0.1551,0.1474,0.1501,0.1618,0.1352,0.1370,0.1126,0.1081,0.1317,0.1340,0.1414,0.1480,0.1456,0.1148,0.1375,0.0763,0.0751,0.0801,0.0676,0.0869,0.0962,0.1141,0.0578,0.0022,0.0862,0.0960,0.1127,0.1089,0.1111,0.0859,0.1064,0.0672,0.1010,0.1137,0.1150,0.1233
17,Operating Income,13500000,15400000,16400000,18300000,20100000,19500000,16800000,16200000,15400000,24100000,30200000,31600000,36100000,37300000,37900000,43524000,13416000,15576000,22675000,21307000,34837000,39964000,54845000,18569000,-22493000,37134000,49645000,62703000,62403000,72097000,53176000,68498000,27044000,57978000,71800000,63700000,93700000
18,Operating Income ratio,0.0989,0.1017,0.0983,0.0995,0.1020,0.0922,0.0846,0.0754,0.0697,0.0856,0.0928,0.0918,0.0969,0.0958,0.0883,0.0959,0.0317,0.0367,0.0499,0.0420,0.0630,0.0667,0.0826,0.0265,-0.0377,0.0556,0.0658,0.0849,0.0830,0.0877,0.0655,0.0847,0.0270,0.0516,0.0631,0.0636,0.0859
19,Total Other Income Expenses (Gains),1600000,1400000,1100000,1400000,3800000,400000,1700000,1800000,-2500000,-100000,-700000,700000,1500000,1800000,-7300000,520000,333000,-678000,-192000,72000,157000,3338000,2867000,-994000,-1827000,-2407000,-915000,-2813000,-2525000,-2559000,-2752000,-2007000,-28336000,-22136000,-17800000,-22700000,-19600000
20,Income Before Tax,15100000,16800000,17500000,19700000,23900000,19900000,18500000,18000000,12900000,24000000,29500000,32300000,37600000,39100000,30600000,44044000,13749000,14898000,22483000,21379000,34994000,43302000,57712000,17575000,-24320000,34727000,48730000,59890000,59878000,69538000,50424000,66491000,-1292000,35842000,54000000,41000000,74100000
21,Income Before Tax Ratio,0.1106,0.1109,0.1049,0.1071,0.1213,0.0941,0.0932,0.0838,0.0584,0.0852,0.0907,0.0938,0.1010,0.1004,0.0713,0.0970,0.0325,0.0351,0.0495,0.0421,0.0633,0.0723,0.0869,0.0251,-0.0408,0.0520,0.0646,0.0810,0.0796,0.0846,0.0621,0.0822,-0.0013,0.0319,0.0475,0.0410,0.0679
22,Income Tax expense (Gain),6400000,8000000,7700000,8100000,9100000,4300000,6500000,4800000,3800000,8300000,9800000,11300000,13400000,13800000,10900000,15794000,8945000,6633000,8328000,7999000,12058000,13493000,17845000,6951000,1921000,-76000,16017000,18306000,19647000,18887000,18336000,19877000,4913000,2304000,8100000,7000000,9200000
23,Net Income,8700000,8800000,9800000,11600000,14800000,15600000,12000000,9200000,9100000,15700000,19700000,21000000,24200000,25300000,19700000,28250000,4804000,8265000,14155000,13380000,22936000,29809000,39867000,10624000,-26241000,34803000,32713000,41584000,40231000,50651000,32088000,46614000,-6195000,33412000,45800000,34000000,64900000
24,Net Income ratio,0.0637,0.0581,0.0587,0.0631,0.0751,0.0738,0.0604,0.0428,0.0412,0.0557,0.0605,0.0610,0.0650,0.0650,0.0459,0.0622,0.0114,0.0195,0.0312,0.0263,0.0415,0.0498,0.0600,0.0151,-0.0440,0.0521,0.0434,0.0563,0.0535,0.0616,0.0395,0.0576,-0.0062,0.0297,0.0403,0.0340,0.0595
25,EPS,0.10,0.10,0.12,0.14,0.18,0.20,0.15,0.12,0.12,0.40,0.99,1.05,1.22,1.33,1.08,1.55,0.27,0.46,0.79,0.74,1.27,1.61,2.14,0.58,-1.42,1.85,1.74,2.24,2.20,2.78,1.78,2.66,-0.35,1.86,2.53,1.84,3.51
26,EPS Diluted,0.10,0.10,0.12,0.14,0.18,0.20,0.15,0.12,0.12,0.40,0.99,1.05,1.21,1.33,1.07,1.54,0.26,0.46,0.78,0.73,1.26,1.57,2.08,0.57,-1.42,1.80,1.69,2.18,2.14,2.70,1.74,2.59,-0.35,1.82,2.48,1.81,3.44
27,Weighted Average Shares Outstanding,21356000,21372000,21280000,21176000,19692000,19708000,19468000,19700000,19652000,19720000,19898990,20000000,19917695,18951311,18240741,18167203,18128302,17967391,17917722,17959732,17989020,18514907,18641000,18303137,18507772,18805494,18832693,18544896,18297371,18217384,18015151,17523267,17695390,17940438,18118486,18349724,18499674
28,Weighted Average Shares Outstanding Diluted,21356000,21372000,21280000,21176000,19692000,19708000,19468000,19700000,19652000,19720000,19898990,40120000,20082988,18951311,18325581,18284790,18476923,18164835,18147436,18328767,18203175,18986624,19146000,18581840,18507772,19332103,19360428,19102016,18833453,18740858,18493447,17976183,17695390,18338569,18453145,18635002,18849217
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/97134/000110465901500150/j0173_10k405.htm,https://www.sec.gov/Archives/edgar/data/97134/000110465902001132/j3081_10k.htm,https://www.sec.gov/Archives/edgar/data/97134/000110465903004886/j8716_10k.htm,https://www.sec.gov/Archives/edgar/data/97134/000110465904007447/a04-3181_110k.htm,https://www.sec.gov/Archives/edgar/data/97134/000089710105000691/tennant050408_10k.htm,https://www.sec.gov/Archives/edgar/data/97134/000089710106000510/tennant060253_10k.htm,https://www.sec.gov/Archives/edgar/data/97134/000089710107000525/tennant070466s1_10k.htm,https://www.sec.gov/Archives/edgar/data/97134/000089710108000494/tennant080800_10-k.htm,https://www.sec.gov/Archives/edgar/data/97134/000009713409000006/0000097134-09-000006-index.html,https://www.sec.gov/Archives/edgar/data/97134/000009713410000004/0000097134-10-000004-index.html,https://www.sec.gov/Archives/edgar/data/97134/000009713411000003/form_10k.htm,https://www.sec.gov/Archives/edgar/data/97134/000009713412000006/0000097134-12-000006-index.html,- -,https://www.sec.gov/Archives/edgar/data/97134/000009713414000008/form_10-k.htm,https://www.sec.gov/Archives/edgar/data/97134/000009713415000005/form_10-k.htm,https://www.sec.gov/Archives/edgar/data/97134/000009713416000055/0000097134-16-000055-index.html,https://www.sec.gov/Archives/edgar/data/97134/000009713417000006/0000097134-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/97134/000009713418000009/0000097134-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/97134/000009713419000006/0000097134-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/97134/000009713420000008/0000097134-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/97134/000143774921004045/0001437749-21-004045-index.htm,https://www.sec.gov/Archives/edgar/data/97134/000143774922004272/0001437749-22-004272-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2700000,900000,3600000,7000000,3200000,1400000,2300000,3500000,2700000,1900000,4200000,9900000,16300000,17700000,14900000,21512000,23783000,16356000,24587000,16837000,41287000,31021000,33092000,29285000,18062000,39529000,52339000,53940000,80984000,92962000,51300000,58033000,58398000,85609000,74600000,141000000,123600000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6050000,- -,14250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2700000,900000,3600000,7000000,3200000,1400000,2300000,3500000,2700000,1900000,4200000,9900000,16300000,17700000,14900000,21512000,23783000,16356000,24587000,22887000,41287000,45271000,33092000,29285000,18062000,39529000,52339000,53940000,80984000,92962000,51300000,58033000,58398000,85609000,74600000,141000000,123600000
34,Net Receivables,34100000,38200000,43900000,45800000,41100000,39100000,36900000,40100000,41200000,59200000,72500000,74500000,78200000,77200000,89900000,88261000,72251000,77771000,85640000,97513000,105917000,116326000,127491000,123812000,121203000,127542000,128873000,138147000,140182000,152383000,140445000,149134000,209516000,216170000,223300000,199000000,211400000
35,Inventory,18800000,18600000,20100000,20900000,22700000,24400000,22500000,25800000,22900000,31000000,40700000,35300000,40300000,46200000,47800000,51915000,47080000,58941000,54682000,55911000,52666000,60978000,64027000,66828000,56646000,61746000,65912000,58136000,66906000,80511000,77292000,78622000,127694000,135133000,150100000,127000000,160600000
36,Other Current Assets,700000,1000000,1100000,5500000,3300000,2200000,4300000,5300000,7000000,6700000,6100000,6800000,8300000,9800000,12500000,9940000,9273000,9833000,11461000,12320000,11730000,12829000,16114000,30494000,20001000,19452000,24972000,23223000,27224000,21233000,24607000,12133000,27507000,31732000,33000000,26000000,31200000
37,Total Current Assets,56300000,58700000,68700000,79200000,70300000,67100000,66000000,74700000,73800000,98800000,123500000,126500000,143100000,150900000,165100000,171628000,152387000,162901000,176370000,188631000,211600000,235404000,240724000,250419000,215912000,248269000,272096000,273446000,315296000,347089000,293644000,297922000,423115000,468644000,481000000,493000000,526800000
38,PP&E,32400000,35000000,35600000,35600000,40900000,42600000,40700000,45400000,46600000,56600000,63700000,65400000,65100000,66600000,66300000,66713000,69792000,69153000,61121000,69063000,72588000,82835000,96551000,103730000,97217000,87628000,87154000,86193000,83476000,86543000,94958000,112097000,180018000,163447000,219900000,437000000,214100000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17812000,- -,- -,26298000,29053000,62095000,20181000,20423000,20303000,19717000,18929000,18355000,16803000,21065000,186044000,182672000,195100000,207000000,193100000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,19300000,18900000,17800000,16500000,15600000,18500000,17700000,17198000,17720000,- -,25026000,23755000,4581000,5500000,28741000,29243000,25339000,23758000,21393000,19028000,15588000,3195000,6460000,172347000,146546000,137700000,126000000,98000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,19300000,18900000,17800000,16500000,15600000,18500000,17700000,17198000,17720000,17812000,25026000,23755000,30879000,34553000,90836000,49424000,45762000,44061000,41110000,37957000,33943000,19998000,27525000,358391000,329218000,332800000,333000000,291100000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4068000,3688000,1609000,129000,1522000,1574000,2670000,6388000,7911000,14182000,15014000,10989000,2423000,8165000,12051000,13439000,11134000,15489000,- -,- -,- -
44,Other Non-Current Assets,1100000,1300000,1800000,3000000,6400000,6500000,4900000,8900000,8200000,8100000,9700000,9500000,9200000,6000000,7600000,7244000,3174000,2775000,1961000,2943000,2007000,3558000,7572000,5231000,7262000,7827000,5937000,9022000,17154000,11192000,11644000,19054000,21319000,15746000,29200000,-181000000,29700000
45,Total Non-Current Assets,33500000,36300000,37400000,38600000,47300000,49100000,45600000,54300000,54800000,84000000,92300000,92700000,90800000,88200000,92400000,91657000,94232000,93336000,82503000,97161000,99872000,118846000,141346000,206185000,161814000,155399000,152166000,147314000,141010000,139843000,138651000,172115000,570862000,523900000,581900000,589000000,534900000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,89800000,95000000,106100000,117800000,117600000,116200000,111600000,129000000,128600000,182800000,215800000,219200000,233900000,239100000,257500000,263285000,246619000,256237000,258873000,285792000,311472000,354250000,382070000,456604000,377726000,403668000,424262000,420760000,456306000,486932000,432295000,470037000,993977000,992544000,1062900000,1082000000,1061700000
48,Accounts Payable,- -,- -,- -,- -,32900000,32900000,28900000,28500000,28500000,40100000,43800000,41700000,49900000,52100000,18000000,54683000,45883000,55401000,58477000,24626000,86733000,31326000,31146000,26536000,42658000,40498000,46869000,47002000,53079000,61627000,50350000,47408000,96082000,98398000,94100000,106000000,121500000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17300000,3900000,2400000,7300000,12900000,12572000,9765000,14948000,1030000,7674000,2232000,1812000,2127000,3946000,4019000,3154000,4166000,2042000,3803000,3566000,3459000,3459000,30883000,27005000,48000000,27200000,20600000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3982000,509000,619000,5553000,7377000,8139000,1398000,9470000,17598000,14886000,10400000,12500000,13800000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2705000,- -,- -,2560000,3662000,- -,- -,- -,1878000,2303000,2368000,- -,2366000,5815000,5021000,6800000,39000000,7700000
52,Other Current Liabilities,24500000,23800000,31000000,33700000,4100000,7500000,4000000,1800000,2300000,26000000,600000,4000000,4800000,1400000,44100000,- -,- -,- -,- -,46848000,- -,61666000,60840000,73015000,69475000,72492000,72957000,70772000,72341000,78069000,79407000,79596000,103727000,118450000,126000000,81800000,140500000
53,Total Current Liabilities,24500000,23800000,31000000,33700000,37000000,40400000,32900000,30300000,30800000,66100000,61700000,49600000,57100000,60800000,75000000,67255000,55648000,70349000,59507000,81853000,88965000,94804000,96673000,107159000,116152000,116144000,123992000,121694000,131526000,145630000,133216000,132829000,236507000,248874000,274900000,254000000,290300000
54,Long-Term Debt,3500000,3200000,2500000,2400000,2600000,2000000,1900000,3100000,1100000,6300000,23100000,21800000,20700000,23000000,16000000,10000000,10000000,5000000,6295000,1029000,1608000,1907000,2470000,91393000,30192000,27674000,32289000,30281000,28000000,24571000,21194000,32735000,345956000,328060000,307500000,10000000,288800000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1900000,2600000,3100000,3800000,4000000,700000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,473000,- -,794000,752000,11671000,7417000,4525000,3189000,3325000,2870000,5989000,5000,171000,53225000,46018000,41700000,- -,20600000
57,Other Non-Current Liabilities,- -,- -,- -,-100000,-100000,-100000,-100000,10700000,12600000,14100000,16900000,18900000,22000000,24000000,30600000,31082000,26643000,26743000,27455000,28403000,27797000,27081000,29744000,36477000,39686000,39192000,43940000,30406000,30064000,30091000,25673000,25759000,59815000,53240000,77500000,- -,26900000
58,Total Non-Current Liabilities,5400000,5800000,5600000,6100000,6500000,2600000,2100000,13800000,13700000,20400000,40000000,40700000,42700000,47000000,46600000,41082000,36643000,31743000,33750000,29905000,29405000,29782000,32966000,139541000,77295000,71391000,79418000,64012000,60934000,60651000,46872000,58665000,458996000,427318000,426700000,10000000,336300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178000000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47200000,45100000,41900000
61,Total Liabilities,29900000,29600000,36600000,39800000,43500000,43000000,35000000,44100000,44500000,86500000,101700000,90300000,99800000,107800000,121600000,108337000,92291000,102092000,93257000,111758000,118370000,124586000,129639000,246700000,193447000,187535000,203410000,185706000,192460000,206281000,180088000,191494000,695503000,676192000,701600000,422000000,626600000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3400000,3395000,3389000,3380000,3385000,3388000,3459000,7045000,6937000,6857000,7032000,7140000,7063000,6924000,6934000,6906000,6654000,6633000,6705000,6797000,6900000,6000000,7000000
64,Retained Earnings,57800000,61400000,65700000,73800000,70500000,82800000,87200000,90700000,93700000,103300000,116400000,130700000,141700000,136700000,144700000,166274000,164302000,161281000,168180000,174132000,189221000,210457000,233527000,223692000,192584000,220391000,227944000,236065000,249927000,286091000,293682000,318180000,297032000,316269000,346000000,363000000,410600000
65,Other Comprehensive Income/Loss,-27800000,-31200000,-36500000,-38600000,-43400000,-48700000,-53400000,-59400000,-64500000,-65800000,-73500000,-83500000,-91500000,-102900000,-109400000,-117202000,-126178000,-10516000,-6304000,-3827000,-6767000,-2061000,3702000,-27294000,-23109000,-22274000,-29237000,-30333000,-24971000,-38593000,-48129000,-49923000,-22323000,-37194000,-38500000,-20100000,-37900000
66,Other Total Stockholders Equity,29900000,35200000,40300000,42800000,47000000,39100000,42800000,53600000,54900000,58800000,71200000,81700000,83900000,97500000,97200000,102481000,112815000,- -,355000,341000,7189000,14223000,8265000,6649000,7772000,10876000,15082000,22398000,31956000,26247000,- -,3653000,15089000,28550000,45500000,55900000,- -
67,Total Stockholders Equity,59900000,65400000,69500000,78000000,74100000,73200000,76600000,84900000,84100000,96300000,114100000,128900000,134100000,131300000,135900000,154948000,154328000,154145000,165616000,174034000,193102000,229664000,252431000,209904000,184279000,216133000,220852000,235054000,263846000,280651000,252207000,278543000,296503000,314422000,359900000,404800000,433800000
68,Total Liabilities And Stockholders Equity,89800000,95000000,106100000,117800000,117600000,116200000,111600000,129000000,128600000,182800000,215800000,219200000,233900000,239100000,257500000,263285000,246619000,256237000,258873000,285792000,311472000,354250000,382070000,456604000,377726000,403668000,424262000,420760000,456306000,486932000,432295000,470037000,992006000,990614000,1061500000,826800000,1060400000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1971000,1930000,1400000,255200000,1300000
70,Total Liabilities & Equity,89800000,95000000,106100000,117800000,117600000,116200000,111600000,129000000,128600000,182800000,215800000,219200000,233900000,239100000,257500000,263285000,246619000,256237000,258873000,285792000,311472000,354250000,382070000,456604000,377726000,403668000,424262000,420760000,456306000,486932000,432295000,470037000,993977000,992544000,1062900000,1082000000,1061700000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/97134/000110465901500150/j0173_10k405.htm,https://www.sec.gov/Archives/edgar/data/97134/000110465902001132/j3081_10k.htm,https://www.sec.gov/Archives/edgar/data/97134/000110465903004886/j8716_10k.htm,https://www.sec.gov/Archives/edgar/data/97134/000110465904007447/a04-3181_110k.htm,https://www.sec.gov/Archives/edgar/data/97134/000089710105000691/tennant050408_10k.htm,https://www.sec.gov/Archives/edgar/data/97134/000089710106000510/tennant060253_10k.htm,https://www.sec.gov/Archives/edgar/data/97134/000089710107000525/tennant070466s1_10k.htm,https://www.sec.gov/Archives/edgar/data/97134/000089710108000494/tennant080800_10-k.htm,https://www.sec.gov/Archives/edgar/data/97134/000009713409000006/0000097134-09-000006-index.html,https://www.sec.gov/Archives/edgar/data/97134/000009713410000004/0000097134-10-000004-index.html,https://www.sec.gov/Archives/edgar/data/97134/000009713411000003/form_10k.htm,https://www.sec.gov/Archives/edgar/data/97134/000009713412000006/0000097134-12-000006-index.html,- -,https://www.sec.gov/Archives/edgar/data/97134/000009713414000008/form_10-k.htm,https://www.sec.gov/Archives/edgar/data/97134/000009713415000005/form_10-k.htm,https://www.sec.gov/Archives/edgar/data/97134/000009713416000055/0000097134-16-000055-index.html,https://www.sec.gov/Archives/edgar/data/97134/000009713417000006/0000097134-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/97134/000009713418000009/0000097134-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/97134/000009713419000006/0000097134-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/97134/000009713420000008/0000097134-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/97134/000143774921004045/0001437749-21-004045-index.htm,https://www.sec.gov/Archives/edgar/data/97134/000143774922004272/0001437749-22-004272-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,14800000,15600000,12000000,9200000,9100000,15700000,19700000,21000000,24200000,25300000,19700000,28250000,4804000,8265000,14155000,13380000,22936000,29809000,39867000,10624000,-26241000,34803000,32713000,41584000,40231000,50651000,32088000,46614000,-6195000,33412000,45800000,34000000,64900000
74,Depreciation and Amortization,- -,- -,- -,- -,8000000,8700000,8700000,10200000,11000000,13100000,14100000,16400000,17500000,17600000,18700000,18391000,18507000,16947000,13879000,12972000,13039000,14321000,18054000,22959000,22803000,21192000,21418000,20872000,20246000,20063000,18031000,18300000,43253000,54420000,54400000,53400000,53100000
75,Deferred Income Tax,- -,- -,- -,- -,-1900000,-3900000,-2400000,-2500000,-1600000,300000,600000,-1000000,-2400000,-2000000,-1800000,4540000,1420000,1626000,801000,1279000,-395000,-70000,-1510000,-3525000,-1433000,-11412000,-1352000,3166000,5622000,129000,-1129000,-1172000,-6095000,-10862000,-9600000,-4000000,-15000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1809000,4639000,5407000,9092000,6116000,7314000,8222000,3875000,5891000,8314000,11400000,6000000,9500000
77,Change in Working Capital,- -,- -,- -,- -,5400000,-6600000,6400000,11300000,-1400000,-10300000,29100000,15100000,9100000,4100000,- -,14273000,-7634000,-4187000,24311000,-10085000,15857000,17965000,3451000,-791000,-43500000,32365000,15979000,3648000,32018000,17689000,-41031000,4665000,21515000,33162000,-13670000,32900000,-48400000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1889000,-7931000,-4451000,-11811000,-7618000,-18811000,4547000,-9278000,-14381000,-7618000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-1800000,-400000,1400000,-1800000,-400000,-3600000,-9000000,- -,-6600000,-5400000,2100000,-6488000,5239000,-7776000,8068000,3672000,-59000,-3104000,-82000,-3311000,10476000,-4391000,-7665000,-149000,-11967000,-21155000,-10190000,23000,-2898000,-16557000,-21100000,18300000,-56000000
