,https://roic.ai/company/IVZ,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,569200000,939400000,1222177000,1638990000,1884266000,1928967000,1928114000,2429679000,1672988000,1629200000,2884600000,2559800000,2143000000,2897800000,3194100000,3297300000,3521200000,3870200000,3764500000,3558000000,3883200000,3972300000,4636200000,4831900000,5172200000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37200000,9800000,251300000,318200000,268300000,200000000,219600000,266000000,12200000,13400000,21300000,28500000,20500000,25200000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76900000,64500000,177200000,248800000,220600000,167900000,207000000,270600000,93400000,94800000,111500000,135700000,129300000,94700000
14,Depreciation and Amortization,30100000,78700000,166904000,164508000,299317000,337846000,356567000,389967000,94463000,216100000,64100000,47600000,77600000,96700000,117400000,95000000,88400000,89400000,93600000,101200000,116800000,142100000,177600000,203500000,205300000
15,EBITDA,322900000,359600000,624244000,860374000,707691000,502646000,421474000,125455000,453393000,970000000,1095000000,842200000,612800000,936600000,1382000000,1264900000,1533500000,1675100000,1730300000,1387100000,1607100000,1391400000,1236700000,1356000000,2460900000
16,EBITDA ratio,0.3684,0.2701,0.3603,0.3533,0.3000,0.2319,0.2041,0.0565,0.2086,0.4017,0.2823,0.2546,0.2332,0.2685,0.3377,0.3028,0.3302,0.3254,0.3378,0.2930,0.3114,0.2618,0.2022,0.2206,0.3569
17,Operating Income,307400000,391800000,510526000,796185000,474555000,238924000,137188000,-208697000,424559000,785400000,994300000,747800000,484300000,589900000,898100000,871500000,1120200000,1276900000,1358400000,1176400000,1277100000,1204900000,808200000,920400000,1788200000
18,Operating Income ratio,0.3507,0.2943,0.2946,0.3270,0.2012,0.1102,0.0664,-0.0940,0.1954,0.3253,0.2563,0.2261,0.1843,0.1691,0.2195,0.2086,0.2412,0.2481,0.2652,0.2485,0.2475,0.2267,0.1321,0.1498,0.2594
19,Total Other Income Expenses (Gains),-14600000,-43200000,-53186000,-51520000,-66181000,-74124000,-72281000,-55269000,-64481000,-30800000,249500000,-90800000,-126800000,243900000,10000000,-12000000,135000000,118200000,3700000,30200000,152100000,-66800000,164700000,148700000,712300000
20,Income Before Tax,292800000,348600000,457340000,744665000,408374000,164800000,64907000,-263966000,360078000,754600000,1243800000,657000000,357500000,833800000,908100000,859500000,1255200000,1395100000,1362100000,1206600000,1429200000,1138100000,972900000,1069100000,2500500000
21,Income Before Tax Ratio,0.3340,0.2619,0.2639,0.3058,0.1731,0.0760,0.0314,-0.1189,0.1657,0.3125,0.3207,0.1986,0.1361,0.2391,0.2219,0.2058,0.2702,0.2710,0.2659,0.2549,0.2770,0.2142,0.1590,0.1740,0.3627
22,Income Tax expense (Gain),99600000,124700000,164828000,264456000,182950000,137577000,95726000,67706000,146690000,263800000,357300000,236000000,148200000,197000000,286100000,272200000,336900000,390600000,398000000,338300000,268200000,255000000,235100000,261600000,531100000
23,Net Income,193200000,156200000,292512000,431410000,225424000,27223000,-30819000,-332218000,212240000,490100000,673600000,481700000,322500000,465700000,729700000,677100000,940300000,988100000,968100000,854200000,1127300000,882800000,688300000,761600000,1629800000
24,Net Income ratio,0.2204,0.1173,0.1688,0.1772,0.0956,0.0126,-0.0149,-0.1496,0.0977,0.2030,0.1737,0.1456,0.1227,0.1335,0.1783,0.1621,0.2025,0.1920,0.1890,0.1804,0.2185,0.1661,0.1125,0.1239,0.2364
25,EPS,0.37,0.10,0.18,0.25,0.29,0.03,-0.04,-0.41,0.27,0.62,1.69,1.25,0.77,1.01,1.58,1.50,2.10,2.27,2.26,2.06,2.75,2.14,1.29,1.14,4.25
26,EPS Diluted,0.34,0.10,0.17,0.24,0.28,0.03,-0.04,-0.41,0.26,0.60,1.64,1.21,0.76,1.01,1.57,1.49,2.10,2.27,2.26,2.06,2.75,2.14,1.28,1.13,4.23
27,Weighted Average Shares Outstanding,522162162,1494919952,1603286905,659944000,774445338,845487297,860793788,801106345,786074074,790483871,398579882,384100000,417200000,460400000,462900000,452300000,447500000,435000000,428900000,414700000,409400000,412400000,437800000,459500000,463300000
28,Weighted Average Shares Outstanding Diluted,568235294,1596614605,1674279317,701972000,815202965,845487297,860793788,810410000,816307692,816833333,410731707,393300000,423600000,463200000,464700000,453800000,448500000,435600000,429300000,415000000,409900000,412500000,440500000,462500000,465600000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/914208/000095014408001518/g11915e10vk.htm,https://www.sec.gov/Archives/edgar/data/914208/000091420809000511/0000914208-09-000511-index.html,https://www.sec.gov/Archives/edgar/data/914208/000095012310017949/0000950123-10-017949-index.html,https://www.sec.gov/Archives/edgar/data/914208/000095012311018684/g26096e10vk.htm,https://www.sec.gov/Archives/edgar/data/914208/000091420812000332/0000914208-12-000332-index.html,https://www.sec.gov/Archives/edgar/data/914208/000091420813000308/0000914208-13-000308-index.html,https://www.sec.gov/Archives/edgar/data/914208/000091420814000271/a201310-k.htm,https://www.sec.gov/Archives/edgar/data/914208/000091420815000293/a201410-kxbrl.htm,https://www.sec.gov/Archives/edgar/data/914208/000091420816000846/0000914208-16-000846-index.html,https://www.sec.gov/Archives/edgar/data/914208/000091420817000328/0000914208-17-000328-index.html,https://www.sec.gov/Archives/edgar/data/914208/000091420818000255/0000914208-18-000255-index.html,https://www.sec.gov/Archives/edgar/data/914208/000091420819000195/0000914208-19-000195-index.html,https://www.sec.gov/Archives/edgar/data/914208/000091420820000245/0000914208-20-000245-index.html,https://www.sec.gov/Archives/edgar/data/914208/000091420821000331/0000914208-21-000331-index.htm,https://www.sec.gov/Archives/edgar/data/914208/000091420822000319/0000914208-22-000319-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,572261000,568393000,546358000,754754000,789600000,952400000,658200000,762000000,1377200000,1109700000,1123300000,1914800000,1918200000,2214700000,2070200000,2517700000,1805400000,1701200000,1710100000,2147100000
32,Short-Term Investments,- -,- -,- -,- -,- -,111508000,133134000,161971000,1202076000,134900000,177200000,123600000,182400000,308800000,283700000,363900000,108500000,305800000,319100000,- -,- -,- -,8810400000,8912300000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,683769000,701527000,708329000,1956830000,924500000,1129600000,781800000,944400000,1686000000,1393400000,1487200000,2023300000,2224000000,2533800000,2070200000,2517700000,1805400000,10511600000,10622400000,2147100000
34,Net Receivables,- -,- -,- -,- -,- -,820359000,1286668000,1565706000,652955000,946300000,1057300000,543000000,672400000,1096900000,967300000,1083600000,1491500000,1439600000,1267900000,1323300000,1547800000,906100000,1191200000,1026000000,1410400000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,348860000,325445000,381521000,96226000,1626000000,2007500000,1054100000,1504200000,1491600000,1473400000,1336800000,1524800000,1830000000,6172700000,8341100000,12568900000,11511900000,-8666400000,-8763100000,166000000
37,Total Current Assets,- -,- -,- -,- -,- -,1852988000,2313640000,2655556000,2706011000,3496800000,4194400000,2378900000,3121000000,4274500000,3834100000,3907600000,5039600000,5493600000,9974400000,11734600000,16634400000,14223400000,3036400000,2885300000,3723500000
38,PP&E,- -,- -,- -,- -,- -,317562000,304244000,284520000,180044000,165800000,180000000,205300000,220700000,272400000,312800000,349600000,350800000,402600000,426900000,464700000,490700000,468700000,583500000,563800000,518100000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,4213648000,5006600000,6848000000,5966800000,6467600000,6980200000,6907900000,7048200000,6867300000,6579400000,6175700000,6129200000,6590700000,7157100000,8509400000,8916300000,8882500000
40,Intangible Assets,- -,- -,- -,- -,- -,4096926000,4301209000,4416084000,98971000,196700000,154200000,142800000,139100000,1337200000,1322800000,1287700000,1263700000,1246700000,1354100000,1399400000,1558700000,2176100000,7358300000,7305600000,7228000000
41,Intangible Assets,- -,- -,- -,- -,- -,4096926000,4301209000,4416084000,4312619000,5203300000,7002200000,6109600000,6606700000,8317400000,8230700000,8335900000,8131000000,7826100000,7529800000,7528600000,8149400000,9333200000,15867700000,16221900000,16110500000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1354000000,965100000,842400000,7370400000,6829800000,4797400000,5574400000,6648200000,7035200000,5911400000,6332600000,6827000000,8637500000,8736800000,9968800000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,150600000,212100000,133800000,37200000,65800000,42200000,40500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,400310000,411195000,134338000,228354000,214000000,60800000,60800000,53000000,167200000,99100000,101900000,174700000,92000000,106900000,95000000,61700000,126100000,11295200000,8096300000,2364700000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,4814798000,5016648000,4834942000,4871617000,5795200000,8730800000,7378000000,7788600000,16169600000,15512900000,13584800000,14230900000,14968900000,15098800000,13999700000,15034400000,16755000000,36383900000,33618800000,28962100000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,6667786000,7330288000,7490498000,7577628000,9292000000,12925200000,9756900000,10909600000,20444100000,19347000000,17492400000,19270500000,20462500000,25073200000,25734300000,31668800000,30978400000,39420300000,36504100000,32685600000
48,Accounts Payable,- -,- -,- -,- -,- -,36462000,95603000,74067000,2461006000,613600000,235400000,1128500000,1650900000,302500000,1683100000,287900000,334600000,343500000,302600000,274300000,320100000,284300000,414600000,348900000,312500000
49,Short-Term Debt,- -,- -,- -,- -,- -,357896000,- -,79393000,10045000,300000000,- -,297200000,- -,- -,215100000,- -,35700000,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37900000,82800000,72200000,59600000,77900000,123600000,95200000,78800000,91600000,155500000,43200000,118200000,67200000,80600000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,1441632000,1813336000,2249710000,52108000,2668800000,3405500000,677700000,647500000,2962000000,1076200000,2425100000,3367200000,3509100000,7751300000,9997700000,14442600000,12972000000,13084900000,9293900000,3389500000
53,Total Current Liabilities,- -,- -,- -,- -,- -,1835990000,1908939000,2403170000,2523159000,3582400000,3640900000,2103400000,2298400000,3264500000,2974400000,2713000000,3737500000,3852600000,8053900000,10272000000,14762700000,13256300000,13499500000,9642800000,3702000000
54,Long-Term Debt,- -,- -,- -,- -,- -,959809000,1301955000,1309860000,1212191000,972700000,1276400000,862000000,745700000,7181100000,6582500000,5085400000,5770300000,6738900000,7509800000,6505500000,6875600000,7634800000,8314900000,9115900000,9711000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,43496000,- -,- -,- -,- -,229000000,274000000,311400000,323600000,304800000,288900000,309700000,275500000,326400000,1529500000,1523500000,1626300000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,192146000,138394000,203671000,182479000,461800000,296100000,195300000,244700000,408600000,378500000,333600000,461800000,446400000,524900000,1035300000,799400000,824700000,1758100000,1413000000,1478300000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,1151955000,1440349000,1513531000,1438166000,1434500000,1572500000,1057300000,990400000,7818700000,7235000000,5730400000,6555700000,7490100000,8323600000,7850500000,7950500000,8785900000,11602500000,12052400000,12815600000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,364800000,319200000,289800000
61,Total Liabilities,- -,- -,- -,- -,- -,2987945000,3349288000,3916701000,3961325000,5016900000,5213400000,3160700000,3288800000,11083200000,10209400000,8443400000,10293200000,11342700000,16377500000,18122500000,22713200000,22042200000,25102000000,21695200000,16517600000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4010500000,4010500000,4010500000
63,Common Stock,- -,- -,- -,- -,- -,320066000,357151000,388547000,81811000,83200000,84900000,85300000,91900000,98100000,98100000,98100000,98100000,98100000,98100000,98100000,98100000,98100000,113200000,113200000,113200000
64,Retained Earnings,- -,- -,- -,- -,- -,981884000,888829000,564778000,638739000,1054900000,1201700000,1476300000,1631400000,2399900000,2747500000,2930100000,3466200000,3943600000,4439600000,4833400000,5489100000,5884500000,5917800000,6085000000,7169200000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,1379969000,1529879000,1274209000,2807492000,2926900000,952100000,-95800000,393600000,495500000,373300000,530500000,427900000,48800000,-446000000,-809300000,-391200000,-735000000,-587300000,-404500000,-441500000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,997922000,1205141000,1343744000,84968000,205100000,4351900000,4223700000,4796000000,5271100000,4900200000,4758100000,4400400000,4235500000,3793600000,3381600000,3500100000,3331200000,4408300000,4557600000,4644400000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,3679841000,3981000000,3571278000,3613010000,4270100000,6590600000,5689500000,6912900000,8264600000,8119100000,8316800000,8392600000,8326000000,7885300000,7503800000,8696100000,8578800000,13862500000,14361800000,15495800000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,6667786000,7330288000,7487979000,7574335000,9287000000,11804000000,8850200000,10201700000,19347800000,18328500000,16760200000,18685800000,19668700000,24262800000,25626300000,31409300000,30621000000,38964500000,36057000000,32013400000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,2519000,3293000,5000000,1121200000,906700000,707900000,1096300000,1018500000,732200000,584700000,793800000,810400000,108000000,259500000,357400000,455800000,447100000,672200000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,6667786000,7330288000,7490498000,7577628000,9292000000,12925200000,9756900000,10909600000,20444100000,19347000000,17492400000,19270500000,20462500000,25073200000,25734300000,31668800000,30978400000,39420300000,36504100000,32685600000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/914208/000095014408001518/g11915e10vk.htm,https://www.sec.gov/Archives/edgar/data/914208/000091420809000511/0000914208-09-000511-index.html,https://www.sec.gov/Archives/edgar/data/914208/000095012310017949/0000950123-10-017949-index.html,https://www.sec.gov/Archives/edgar/data/914208/000095012311018684/g26096e10vk.htm,https://www.sec.gov/Archives/edgar/data/914208/000091420812000332/0000914208-12-000332-index.html,https://www.sec.gov/Archives/edgar/data/914208/000091420813000308/0000914208-13-000308-index.html,https://www.sec.gov/Archives/edgar/data/914208/000091420814000271/a201310-k.htm,https://www.sec.gov/Archives/edgar/data/914208/000091420815000293/a201410-kxbrl.htm,https://www.sec.gov/Archives/edgar/data/914208/000091420816000846/0000914208-16-000846-index.html,https://www.sec.gov/Archives/edgar/data/914208/000091420817000328/0000914208-17-000328-index.html,https://www.sec.gov/Archives/edgar/data/914208/000091420818000255/0000914208-18-000255-index.html,https://www.sec.gov/Archives/edgar/data/914208/000091420819000195/0000914208-19-000195-index.html,https://www.sec.gov/Archives/edgar/data/914208/000091420820000245/0000914208-20-000245-index.html,https://www.sec.gov/Archives/edgar/data/914208/000091420821000331/0000914208-21-000331-index.htm,https://www.sec.gov/Archives/edgar/data/914208/000091420822000319/0000914208-22-000319-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,193200000,156200000,292512000,431410000,225424000,27223000,-30819000,-332218000,212240000,490100000,673600000,481700000,322500000,465700000,729700000,677100000,940300000,988100000,968100000,854200000,1127300000,882800000,688300000,761600000,1629800000
74,Depreciation and Amortization,30100000,78700000,166904000,164508000,299317000,337846000,356567000,389967000,94463000,216100000,64100000,47600000,77600000,96700000,117400000,95000000,88400000,89400000,93600000,101200000,116800000,142100000,177600000,203500000,205300000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97700000,90800000,117800000,115100000,136400000,133100000,138000000,150300000,159700000,175300000,172400000,207500000,188500000,140100000
77,Change in Working Capital,49000000,800000,-800000,-16198000,69402000,-36206000,387703000,-152315000,-69534000,-268452000,639100000,-278000000,547100000,187400000,-150300000,334900000,107500000,338900000,279500000,-457900000,409100000,-904600000,-11430200000,3705600000,-294300000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-9900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,800000,- -,-16198000,53204000,16998000,404701000,252386000,182852000,-85600000,553500000,275500000,822600000,1010000000,859700000,1194600000,1302100000,1641000000,1920500000,1462600000,1871700000,967100000,-10463100000,-6757500000,- -
82,Other Non-Cash Items,114200000,-109000000,-8506000,74774000,-106714000,121395000,-443505000,308696000,231940000,68952000,-463100000,146700000,-675300000,-488400000,152900000,-424100000,-489100000,-354000000,-438000000,-527900000,-457800000,536100000,11473400000,-3628900000,-602800000
83,Cash Provided by Operating Activities,386500000,126700000,450110000,654494000,487429000,450258000,269946000,214130000,469109000,506700000,913700000,495700000,362700000,379200000,964800000,819300000,780200000,1200400000,1053500000,129300000,1370700000,828800000,1116600000,1230300000,1078100000
84,CAPEX,-597400000,-301400000,-91650000,-92696000,-99041000,-87962000,-65246000,-100181000,-38179000,-37700000,-36700000,-84100000,-39500000,-89600000,-107000000,-99300000,-88200000,-133200000,-124500000,-147700000,-111700000,-102500000,-124300000,-115000000,-108800000
85,Acquisitions Net,- -,- -,- -,-351852000,-453520000,- -,-50005000,-74280000,53640000,-198100000,-54400000,- -,-34200000,-775900000,-31700000,- -,137000000,60800000,- -,-121900000,-299200000,-1469300000,290500000,- -,- -
86,Purchases of Investments,-18200000,- -,- -,- -,-24850000,-60144000,- -,- -,-25389000,-69800000,-411800000,-248800000,-148200000,-2471000000,-3166200000,-3463900000,-4953300000,-6486300000,-4820900000,-3864900000,-5886800000,-4641800000,-5473900000,-4702200000,-6194700000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,38641000,18800000,260400000,309400000,112700000,2973400000,3603800000,3481000000,4628500000,4693000000,4230100000,3105300000,5203800000,3333200000,3778200000,3925500000,5410700000
88,Other Investing Activites,200000,-31000000,10382000,-18188000,- -,-1000,7962000,63794000,2184000,2500000,196100000,-45100000,6800000,25300000,49200000,-200000,36100000,38500000,50500000,38600000,132800000,-18300000,104100000,26600000,44900000
89,Cash Used for Investing Activites,-615400000,-332400000,-81268000,-462736000,-577411000,-148107000,-107289000,-110667000,30897000,-284300000,-46400000,-68600000,-102400000,-337800000,348100000,-82400000,-239900000,-1827200000,-664800000,-990600000,-961100000,-2898700000,-1425400000,-865100000,-847900000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-117200000,-397200000,362700000,-544300000,-745700000,-1461300000,-721800000,-1573100000,-142800000,-2438800000,-714600000,-2150400000,-791100000,-2497300000
91,Common Stock Issued,3500000,8600000,2501000,24617000,16972000,25560000,7080000,8271000,7720000,66600000,137400000,- -,441800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-155900000,-716000000,-313400000,- -,-192200000,-436500000,-265000000,-470500000,-269600000,-548800000,-535000000,-63800000,-51800000,-469800000,-47100000,-60900000
93,Dividends Paid,-42800000,-73700000,-87890000,-95032000,-122852000,-150725000,-166514000,-141533000,-134118000,-143600000,-155000000,-207100000,-168900000,-197900000,-220900000,-289000000,-379700000,-424000000,-454500000,-460400000,-471600000,-490600000,-652700000,-594200000,-544500000
94,Other Financing Activites,372800000,226800000,-124272000,-181418000,147328000,-176853000,25392000,6938000,-160476000,49000000,-7200000,-28700000,23600000,-38500000,-120400000,653800000,2252200000,2277900000,2599700000,1608300000,3143200000,2797000000,3474200000,1146500000,3220000000
95,Cash Used/Provided by Financing Activities,333500000,161700000,-209661000,-251833000,41448000,-302018000,-134042000,-126324000,-286874000,-183900000,-740800000,-666400000,-100700000,-65900000,-1322100000,-645900000,-59300000,862500000,23300000,470100000,169000000,1540000000,201300000,-285900000,117300000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-5306000,35400000,10400000,-91300000,17200000,3000000,-3900000,17100000,14700000,-52700000,-74800000,-132200000,99800000,-44800000,10700000,53300000,-39700000
97,Net Change In Cash,333500000,-44000000,159180000,-60076000,-48534000,134000,28615000,-22861000,207826000,73900000,136900000,-330600000,176800000,-21500000,-13100000,108100000,495700000,183000000,337200000,-523400000,678400000,-712300000,-104200000,138100000,307800000
98,Cash at the End of Period,- -,198600000,306569000,511468000,511094000,572261000,568393000,546358000,754754000,789600000,915800000,585200000,762000000,740500000,727400000,835500000,1331200000,1514200000,1851400000,1328000000,2006400000,1805400000,1701200000,1839300000,2147100000
99,Cash at the Beginning of Period,12400000,242600000,147389000,571544000,559628000,572127000,539778000,569219000,546928000,715700000,778900000,915800000,585200000,762000000,740500000,727400000,835500000,1331200000,1514200000,1851400000,1328000000,2517700000,1805400000,1701200000,1839300000
100,Free Cash Flow,-210900000,-174700000,358460000,561798000,388388000,362296000,204700000,113949000,430930000,469000000,877000000,411600000,323200000,289600000,857800000,720000000,692000000,1067200000,929000000,-18400000,1259000000,726300000,992300000,1115300000,969300000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/914208/000095014408001518/g11915e10vk.htm,https://www.sec.gov/Archives/edgar/data/914208/000091420809000511/0000914208-09-000511-index.html,https://www.sec.gov/Archives/edgar/data/914208/000095012310017949/0000950123-10-017949-index.html,https://www.sec.gov/Archives/edgar/data/914208/000095012311018684/g26096e10vk.htm,https://www.sec.gov/Archives/edgar/data/914208/000091420812000332/0000914208-12-000332-index.html,https://www.sec.gov/Archives/edgar/data/914208/000091420813000308/0000914208-13-000308-index.html,https://www.sec.gov/Archives/edgar/data/914208/000091420814000271/a201310-k.htm,https://www.sec.gov/Archives/edgar/data/914208/000091420815000293/a201410-kxbrl.htm,https://www.sec.gov/Archives/edgar/data/914208/000091420816000846/0000914208-16-000846-index.html,https://www.sec.gov/Archives/edgar/data/914208/000091420817000328/0000914208-17-000328-index.html,https://www.sec.gov/Archives/edgar/data/914208/000091420818000255/0000914208-18-000255-index.html,https://www.sec.gov/Archives/edgar/data/914208/000091420819000195/0000914208-19-000195-index.html,https://www.sec.gov/Archives/edgar/data/914208/000091420820000245/0000914208-20-000245-index.html,https://www.sec.gov/Archives/edgar/data/914208/000091420821000331/0000914208-21-000331-index.htm,https://www.sec.gov/Archives/edgar/data/914208/000091420822000319/0000914208-22-000319-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
