,https://roic.ai/company/AME,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,56700000,43000000,65900000,53600000,60100000,68300000,66300000,79100000,100000,79400000,89300000,95000000,91900000,96436000,118797000,135890000,109550000,148687000,156761000,196234000,239409000,308994000,386574000,432654000,366050000,482158000,635941000,745872000,815079000,898586000,907716000,801897000,915094000,1075540000,1177380000,1027884000,1308670000
18,Operating Income ratio,0.1128,0.0756,0.1063,0.1030,0.1022,0.1034,0.0927,0.1028,0.0001,0.0983,0.1066,0.1094,0.1084,0.1040,0.1285,0.1326,0.1075,0.1429,0.1436,0.1592,0.1669,0.1698,0.1809,0.1709,0.1744,0.1951,0.2127,0.2237,0.2268,0.2234,0.2284,0.2088,0.2128,0.2219,0.2282,0.2264,0.2359
19,Total Other Income Expenses (Gains),5000000,11500000,-600000,2200000,600000,-11700000,-13900000,-12300000,-11300000,-17600000,-20000000,-16300000,-13700000,-19078000,-24336000,-29752000,-25188000,-25789000,-26674000,-30455000,-35201000,-45308000,-50130000,-66438000,-71417000,-75908000,-79299000,-83397000,-90284000,-93754000,-101336000,-108794000,-118365000,-87795000,-107632000,54425000,-85500000
20,Income Before Tax,61700000,54500000,65300000,55800000,60700000,56600000,52400000,66800000,-11200000,61800000,69300000,78700000,78200000,77358000,94461000,106138000,84362000,122898000,130087000,165779000,204208000,263686000,336444000,366216000,294633000,406250000,556642000,662475000,724795000,804832000,806380000,693103000,796729000,987745000,1069748000,1082309000,1223170000
21,Income Before Tax Ratio,0.1227,0.0959,0.1053,0.1072,0.1033,0.0857,0.0733,0.0868,-0.0153,0.0765,0.0827,0.0906,0.0922,0.0834,0.1021,0.1036,0.0828,0.1181,0.1192,0.1345,0.1424,0.1449,0.1574,0.1447,0.1404,0.1644,0.1862,0.1987,0.2017,0.2001,0.2029,0.1805,0.1853,0.2038,0.2074,0.2384,0.2205
22,Income Tax expense (Gain),26800000,17900000,24100000,20700000,22400000,19300000,14400000,22400000,-3900000,22800000,25500000,27500000,27900000,26909000,33693000,37606000,18251000,39200000,42272000,53068000,63565000,81752000,108424000,119264000,88863000,122318000,172178000,203343000,207796000,220372000,215521000,180945000,115259000,209812000,208451000,209870000,233117000
23,Net Income,34900000,36600000,41200000,30500000,38300000,37300000,38000000,44400000,-7300000,31000000,52300000,51200000,50400000,41739000,60768000,68532000,66111000,83698000,87815000,112711000,140643000,181934000,228020000,246952000,205770000,283932000,384464000,459132000,516999000,584460000,590859000,512158000,681470000,777933000,861297000,872439000,990053000
24,Net Income ratio,0.0694,0.0644,0.0664,0.0586,0.0652,0.0565,0.0531,0.0577,-0.0100,0.0384,0.0624,0.0589,0.0594,0.0450,0.0657,0.0669,0.0649,0.0804,0.0804,0.0915,0.0980,0.1000,0.1067,0.0976,0.0981,0.1149,0.1286,0.1377,0.1438,0.1453,0.1487,0.1334,0.1585,0.1605,0.1670,0.1922,0.1785
25,EPS,0.12,0.12,0.14,0.10,0.13,0.13,0.13,0.15,-0.03,0.11,0.28,0.23,0.23,0.19,0.28,0.32,0.30,0.38,0.39,0.49,0.60,0.77,0.96,1.04,0.86,1.19,1.60,1.90,2.12,2.39,2.46,2.20,2.96,3.37,3.78,3.80,4.32
26,EPS Diluted,0.12,0.12,0.14,0.10,0.13,0.13,0.13,0.15,-0.03,0.11,0.27,0.23,0.22,0.18,0.27,0.31,0.29,0.37,0.39,0.48,0.59,0.76,0.94,1.02,0.85,1.17,1.58,1.88,2.10,2.37,2.45,2.19,2.94,3.34,3.75,3.77,4.28
27,Weighted Average Shares Outstanding,294321589,297501851,295703212,293960163,297006669,296057853,294680246,296584381,289708087,282628956,189703535,220017380,222189176,220947750,218004750,216884250,221656500,222196500,223742250,228933000,233384625,235892250,238122000,238833000,240273000,238584000,240382500,241512000,243915000,244885000,239906000,232593000,230229000,230823000,227759000,229435000,229435000
28,Weighted Average Shares Outstanding Diluted,294321589,297501851,295703212,293960163,297006669,296057853,294680246,296584381,289708087,286500585,191765530,224303433,228686010,227751750,222243750,219604500,225753750,226982250,228217500,233732250,238649625,239868000,242055000,241746750,242662500,241326000,243162000,243986000,246065000,247102000,241586000,233730000,231845000,232712000,229395000,231150000,231150000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1037868/000089322003000294/0000893220-03-000294-index.html,https://www.sec.gov/Archives/edgar/data/1037868/000089322004000420/0000893220-04-000420-index.html,https://www.sec.gov/Archives/edgar/data/1037868/000089322005000487/0000893220-05-000487-index.html,https://www.sec.gov/Archives/edgar/data/1037868/000089322006000448/w18155e10vk.htm,https://www.sec.gov/Archives/edgar/data/1037868/000089322007000510/w28783e10vk.htm,https://www.sec.gov/Archives/edgar/data/1037868/000089322008000535/w50135e10vk.htm,https://www.sec.gov/Archives/edgar/data/1037868/000089322009000390/0000893220-09-000390-index.html,https://www.sec.gov/Archives/edgar/data/1037868/000095012310016787/0000950123-10-016787-index.html,https://www.sec.gov/Archives/edgar/data/1037868/000095012311017564/w80783e10vk.htm,https://www.sec.gov/Archives/edgar/data/1037868/000119312512074885/0001193125-12-074885-index.html,https://www.sec.gov/Archives/edgar/data/1037868/000119312513069307/0001193125-13-069307-index.html,https://www.sec.gov/Archives/edgar/data/1037868/000119312514069080/d654083d10k.htm,https://www.sec.gov/Archives/edgar/data/1037868/000119312515059832/d843717d10k.htm,https://www.sec.gov/Archives/edgar/data/1037868/000119312516478197/0001193125-16-478197-index.html,https://www.sec.gov/Archives/edgar/data/1037868/000119312517053600/0001193125-17-053600-index.html,https://www.sec.gov/Archives/edgar/data/1037868/000119312518053631/0001193125-18-053631-index.html,https://www.sec.gov/Archives/edgar/data/1037868/000119312519046947/0001193125-19-046947-index.html,https://www.sec.gov/Archives/edgar/data/1037868/000119312520043133/0001193125-20-043133-index.html,https://www.sec.gov/Archives/edgar/data/1037868/000103786821000007/0001037868-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1037868/000103786822000009/0001037868-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,59900000,173500000,175000000,116100000,84400000,86900000,34900000,59100000,40500000,7200000,7000000,3100000,700000,9768000,8636000,7187000,14139000,13483000,14313000,37582000,35545000,49091000,170139000,86980000,246356000,163208000,170392000,157984000,295203000,377615000,381005000,717259000,646300000,353975000,393030000,1212822000,346772000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7085000,6764000,8111000,8215000,8320000,8573000,11393000,8243000,9129000,10842000,4230000,4994000,5645000,4563000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,59900000,173500000,175000000,116100000,84400000,86900000,34900000,59100000,40500000,7200000,7000000,3100000,700000,16853000,15400000,15298000,22354000,21803000,22886000,48975000,43788000,58220000,180981000,91210000,251350000,168853000,174955000,157984000,295203000,377615000,381005000,717259000,646300000,353975000,393030000,1212822000,346772000
34,Net Receivables,75300000,76000000,92600000,70100000,90700000,99600000,112500000,107100000,108100000,115700000,118800000,126200000,134700000,139199000,112756000,139568000,181031000,175230000,189010000,217329000,269395000,328762000,395631000,406012000,331383000,399913000,438245000,507850000,536701000,585462000,603295000,592326000,668176000,732839000,744760000,597472000,829213000
35,Inventory,61600000,52400000,59000000,59800000,105600000,102600000,94400000,91000000,91900000,100600000,101500000,94400000,85100000,89830000,102396000,129365000,152525000,129451000,143359000,168523000,193099000,236783000,301679000,349509000,311542000,335253000,380471000,428935000,452848000,495896000,514451000,492104000,540504000,624744000,624567000,559171000,769175000
36,Other Current Assets,6000000,13600000,11700000,4700000,35500000,28600000,77300000,62300000,61600000,30500000,22000000,23300000,28000000,21958000,25549000,18869000,23437000,24085000,26811000,27113000,50025000,60298000,73913000,107855000,75155000,70473000,65448000,69974000,84377000,119631000,120862000,126501000,79675000,124586000,263414000,153005000,183605000
37,Total Current Assets,202800000,315500000,338300000,250700000,316200000,317700000,319100000,319500000,302100000,254000000,249300000,247000000,248500000,267840000,256101000,303100000,379347000,350569000,382066000,461940000,556307000,684063000,952204000,954586000,969430000,974492000,1059119000,1164743000,1369129000,1578604000,1619613000,1928190000,1934655000,1836144000,2025771000,2522470000,2128765000
38,PP&E,119900000,121600000,136300000,131100000,153000000,200700000,194100000,186000000,184800000,175100000,176800000,192400000,186400000,214411000,219571000,213955000,214494000,204329000,213622000,207542000,228450000,258008000,293107000,307908000,310053000,318126000,325329000,383483000,402790000,448446000,484548000,473230000,493296000,554130000,548908000,693763000,787062000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,387420000,- -,- -,- -,- -,881433000,312349000,1240052000,1277291000,1573645000,1806237000,2208239000,2408363000,2614030000,2706633000,2818950000,3115619000,3612033000,4047539000,4224906000,5238726000
40,Intangible Assets,43100000,39100000,38800000,- -,- -,- -,- -,- -,38000000,29400000,45300000,41900000,61900000,149219000,248304000,299479000,- -,394861000,506964000,750870000,903133000,199728000,1045733000,441785000,521888000,761556000,982957000,1309727000,1473926000,1625561000,1672961000,1734021000,2013365000,2403771000,2762872000,2623719000,3368629000
41,Intangible Assets,43100000,39100000,38800000,- -,- -,- -,- -,- -,38000000,29400000,45300000,41900000,61900000,149219000,248304000,299479000,387420000,394861000,506964000,750870000,903133000,1081161000,1358082000,1681837000,1799179000,2335201000,2789194000,3517966000,3882289000,4239591000,4379594000,4552971000,5128984000,6015804000,6810411000,6848625000,8607355000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111211000,167370000,191096000,145848000,123864000,223694000,154322000,180775000,146283000,239129000,256210000,279790000,292625000,375005000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,34800000,35600000,25000000,66500000,94100000,96800000,99300000,89200000,37800000,43500000,55300000,56600000,58400000,68355000,44174000,42454000,48028000,80247000,112195000,- -,92710000,107644000,142307000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,179679000,- -,- -
45,Total Non-Current Assets,197800000,196300000,200100000,197600000,247100000,297500000,293400000,275200000,260600000,248000000,277400000,290900000,306700000,431985000,512049000,555888000,649942000,679437000,832781000,958412000,1224293000,1446813000,1793496000,2100956000,2276602000,2844423000,3260371000,4025313000,4508773000,4842359000,5044917000,5172484000,5861409000,6826144000,7818788000,7835013000,9769422000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,400600000,511800000,538400000,448300000,563300000,615200000,612500000,594700000,562700000,502000000,526700000,537900000,555200000,699825000,768150000,858988000,1029289000,1030006000,1214847000,1420352000,1780600000,2130876000,2745700000,3055542000,3246032000,3818915000,4319490000,5190056000,5877902000,6420963000,6664530000,7100674000,7796064000,8662288000,9844559000,10357483000,11898187000
48,Accounts Payable,- -,- -,- -,- -,39100000,53700000,59700000,55600000,54400000,74900000,76600000,78000000,75600000,68345000,73377000,127601000,86707000,81108000,96582000,109036000,132506000,160614000,206170000,203742000,191779000,236600000,283068000,321183000,347638000,386207000,365355000,369537000,437329000,399571000,377219000,360370000,470252000
49,Short-Term Debt,34000000,5900000,6700000,8200000,9900000,24300000,16100000,19700000,14500000,11800000,56400000,31900000,13600000,78334000,99674000,87315000,167399000,110422000,106774000,49943000,156130000,163608000,236005000,18438000,85801000,97152000,140508000,320654000,273315000,286201000,386075000,278921000,308123000,358876000,540474000,177232000,362446000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31649000,13345000,39026000,24127000,40598000,40007000,27157000,32738000,29913000,34660000,48597000,30292000,38896000,35904000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,137229000,156818000,194633000,298728000
52,Other Current Liabilities,67400000,81800000,77200000,66500000,52200000,55200000,61900000,62300000,99000000,96500000,77700000,76100000,89500000,87239000,89685000,82739000,82044000,69890000,85875000,113859000,117156000,156678000,198575000,225333000,146702000,217107000,205299000,238132000,253592000,263736000,273742000,275983000,393211000,363028000,351347000,343680000,431888000
53,Total Current Liabilities,101400000,87700000,83900000,74700000,101200000,133200000,137700000,137600000,167900000,183200000,210700000,186000000,178700000,233918000,262736000,297655000,336150000,261420000,289231000,272838000,405792000,480900000,640750000,447513000,424282000,550859000,628875000,879969000,874545000,936144000,1025172000,924441000,1138663000,1258704000,1425858000,1075915000,1563314000
54,Long-Term Debt,38500000,152000000,155500000,148800000,219600000,223700000,204800000,187200000,172400000,190300000,150400000,150300000,152300000,226965000,231756000,233616000,303434000,279636000,317674000,400177000,475309000,518267000,666953000,1093243000,955880000,1071360000,1123416000,1133121000,1141750000,1427825000,1556045000,2062644000,1866166000,2273837000,2271292000,2281441000,2229148000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,41000000,41000000,41100000,30200000,29800000,33200000,36100000,34400000,27900000,28500000,31900000,35100000,30000000,28141000,27781000,33166000,33496000,41233000,54847000,49441000,54910000,65081000,116568000,144941000,206354000,311466000,389088000,482852000,558555000,618385000,624046000,621776000,512526000,528336000,536140000,533478000,719675000
57,Other Non-Current Liabilities,- -,- -,5000000,13700000,17800000,25700000,22400000,25200000,29200000,26800000,46600000,37000000,35200000,36752000,29661000,13713000,21151000,27536000,23965000,38314000,39037000,99956000,80722000,82073000,92492000,110026000,125306000,158963000,166931000,199048000,204641000,235300000,251076000,359489000,495777000,517303000,514166000
58,Total Non-Current Liabilities,79500000,193000000,201600000,192700000,267200000,282600000,263300000,246800000,229500000,245600000,228900000,222400000,217500000,291858000,289198000,280495000,358081000,348405000,396486000,487932000,569256000,683304000,864243000,1320257000,1254726000,1492852000,1637810000,1774936000,1867236000,2245258000,2384732000,2919720000,2629768000,3161662000,3303209000,3332222000,3462989000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43025000,44948000,47353000
61,Total Liabilities,180900000,280700000,285500000,267400000,368400000,415800000,401000000,384400000,397400000,428800000,439600000,408400000,396200000,525776000,551934000,578150000,694231000,609825000,685717000,760770000,975048000,1164204000,1504993000,1767770000,1679008000,2043711000,2266685000,2654905000,2741781000,3181402000,3409904000,3844161000,3768431000,4420366000,4729067000,4408137000,5026303000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,334000,334000,334000,334000,339000,345000,704000,717000,1085000,1097000,1102000,1110000,1681000,1692000,2565000,2581000,2589000,2608000,2615000,2631000,2640000,2662000,2676000,2689000
64,Retained Earnings,204000000,218600000,221500000,150400000,161200000,170400000,179400000,193700000,161300000,111200000,124500000,157800000,182900000,216837000,269861000,330696000,388929000,464731000,544422000,640856000,764685000,902379000,1099111000,1320470000,1500471000,1755742000,2101615000,2507419000,2966015000,3469923000,3974793000,4403683000,5002419000,5653811000,6387612000,7094656000,7900113000
65,Other Comprehensive Income/Loss,-109800000,-123900000,-135700000,-102700000,-114900000,-131500000,-157800000,-180200000,-199600000,-221500000,-217400000,-256200000,-257100000,-283479000,-297209000,-314566000,-347259000,-34719000,-19196000,-9643000,-20916000,-33552000,5370000,-144767000,-75281000,-91958000,-157263000,-151330000,-65239000,-266894000,-405631000,-542389000,-429176000,-551088000,-533139000,-504468000,-470444000
66,Other Total Stockholders Equity,125500000,136400000,167100000,133200000,148600000,160500000,189900000,196800000,203600000,183500000,180000000,227900000,233200000,240357000,243230000,264374000,293054000,-10170000,3559000,27665000,61066000,96760000,135129000,110967000,140724000,109739000,106761000,176497000,232764000,33943000,-317144000,-607396000,-548241000,-863441000,-741643000,-643518000,-560474000
67,Total Stockholders Equity,219700000,231100000,252900000,180900000,194900000,199400000,211500000,210300000,165300000,73200000,87100000,129500000,159000000,174049000,216216000,280838000,335058000,420181000,529130000,659582000,805552000,966672000,1240707000,1287772000,1567024000,1775204000,2052805000,2535151000,3136121000,3239561000,3254626000,3256513000,4027633000,4241922000,5115492000,5949346000,6871884000
68,Total Liabilities And Stockholders Equity,400600000,511800000,538400000,448300000,563300000,615200000,612500000,594700000,562700000,502000000,526700000,537900000,555200000,699825000,768150000,858988000,1029289000,1030006000,1214847000,1420352000,1780600000,2130876000,2745700000,3055542000,3246032000,3818915000,4319490000,5190056000,5877902000,6420963000,6664530000,7100674000,7796064000,8662288000,9844559000,10357483000,11898187000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,400600000,511800000,538400000,448300000,563300000,615200000,612500000,594700000,562700000,502000000,526700000,537900000,555200000,699825000,768150000,858988000,1029289000,1030006000,1214847000,1420352000,1780600000,2130876000,2745700000,3055542000,3246032000,3818915000,4319490000,5190056000,5877902000,6420963000,6664530000,7100674000,7796064000,8662288000,9844559000,10357483000,11898187000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1037868/000089322003000294/0000893220-03-000294-index.html,https://www.sec.gov/Archives/edgar/data/1037868/000089322004000420/0000893220-04-000420-index.html,https://www.sec.gov/Archives/edgar/data/1037868/000089322005000487/0000893220-05-000487-index.html,https://www.sec.gov/Archives/edgar/data/1037868/000089322006000448/w18155e10vk.htm,https://www.sec.gov/Archives/edgar/data/1037868/000089322007000510/w28783e10vk.htm,https://www.sec.gov/Archives/edgar/data/1037868/000089322008000535/w50135e10vk.htm,https://www.sec.gov/Archives/edgar/data/1037868/000089322009000390/0000893220-09-000390-index.html,https://www.sec.gov/Archives/edgar/data/1037868/000095012310016787/0000950123-10-016787-index.html,https://www.sec.gov/Archives/edgar/data/1037868/000095012311017564/w80783e10vk.htm,https://www.sec.gov/Archives/edgar/data/1037868/000119312512074885/0001193125-12-074885-index.html,https://www.sec.gov/Archives/edgar/data/1037868/000119312513069307/0001193125-13-069307-index.html,https://www.sec.gov/Archives/edgar/data/1037868/000119312514069080/d654083d10k.htm,https://www.sec.gov/Archives/edgar/data/1037868/000119312515059832/d843717d10k.htm,https://www.sec.gov/Archives/edgar/data/1037868/000119312516478197/0001193125-16-478197-index.html,https://www.sec.gov/Archives/edgar/data/1037868/000119312517053600/0001193125-17-053600-index.html,https://www.sec.gov/Archives/edgar/data/1037868/000119312518053631/0001193125-18-053631-index.html,https://www.sec.gov/Archives/edgar/data/1037868/000119312519046947/0001193125-19-046947-index.html,https://www.sec.gov/Archives/edgar/data/1037868/000119312520043133/0001193125-20-043133-index.html,https://www.sec.gov/Archives/edgar/data/1037868/000103786821000007/0001037868-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1037868/000103786822000009/0001037868-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,38300000,37300000,38000000,44400000,-7300000,31000000,52300000,51200000,50400000,41739000,60768000,68532000,66111000,83698000,87815000,112711000,140643000,181934000,228020000,246952000,205770000,283932000,384464000,459132000,516999000,584460000,590859000,512158000,681470000,777933000,861297000,872439000,990053000
74,Depreciation and Amortization,- -,- -,- -,- -,25300000,33500000,36500000,37300000,35900000,37300000,34500000,34900000,32900000,38369000,39624000,43257000,46450000,32950000,35473000,39909000,39428000,45929000,52665000,63261000,65500000,72896000,86532000,105471000,118657000,138584000,149460000,179716000,183227000,199490000,234042000,255275000,292112000
75,Deferred Income Tax,- -,- -,- -,- -,-400000,800000,2900000,1800000,-20000000,4800000,4000000,2400000,-2100000,-1692000,5118000,6430000,3681000,10954000,12286000,7518000,10768000,-524000,4769000,29742000,5768000,3774000,12154000,3552000,1414000,20579000,6458000,-5632000,-91205000,-73682000,19380000,1839000,-29762000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20186000,13502000,16596000,22147000,19384000,21591000,19871000,23762000,22030000,25091000,27315000,40394000,41565000,46103000
77,Change in Working Capital,- -,- -,- -,- -,800000,-30500000,-3100000,500000,-47700000,-63400000,-32200000,22400000,8800000,-35878000,-40557000,12080000,37752000,45952000,3686000,96267000,-38587000,52648000,108291000,195619000,38075000,-121515000,6611000,-145470000,209810000,147876000,-48019000,409308000,-207757000,-218552000,22473000,846642000,-125387000
