,https://roic.ai/company/ORA,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),3065000,6135000,2506000,6609000,4690000,6403000,1822000,7962000,16924000,-1098000,48535000,-3500000,13552000,27608000,-15258000,31837000,-1411000,34733000,45613000,67003000,24850000
23,Net Income,-6413000,-1044000,15454000,17791000,15177000,34447000,27376000,49832000,68851000,37318000,-43056000,-206430000,41238000,54182000,119573000,93930000,155489000,97966000,88095000,85456000,62092000
24,Net Income ratio,-0.1338,-0.0122,0.1294,0.0812,0.0638,0.1281,0.0925,0.1445,0.1658,0.1000,-0.0985,-0.4013,0.0773,0.0968,0.2011,0.1418,0.2244,0.1362,0.1181,0.1212,0.0936
25,EPS,-0.21,-0.03,0.66,0.72,0.48,1.00,0.71,1.13,1.52,0.82,-0.95,-4.56,0.91,1.19,2.46,1.90,3.37,1.93,1.73,1.66,1.11
26,EPS Diluted,-0.21,-0.03,0.66,0.72,0.48,0.99,0.70,1.12,1.51,0.82,-0.95,-4.56,0.91,1.18,2.43,1.87,3.37,1.92,1.72,1.65,1.10
27,Weighted Average Shares Outstanding,30769230,30769230,23214281,24806000,31563000,34593000,38762000,44182000,45391000,45431000,45431000,45431000,45440000,45623000,48562000,49469000,50609051,50643000,50867000,51567000,56004000
28,Weighted Average Shares Outstanding Diluted,30769230,30769230,23214281,30786136,31563000,34707000,38880000,44298000,45533000,45452000,45431000,45431000,45475000,45974000,49187000,50140000,50609051,50969000,51227000,51937000,56402000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1296445/000095013605001639/file001.htm,https://www.sec.gov/Archives/edgar/data/1296445/000095013606002332/file001.htm,https://www.sec.gov/Archives/edgar/data/1296445/000095013607001557/file1.htm,https://www.sec.gov/Archives/edgar/data/1296445/000095013608001172/file1.htm,https://www.sec.gov/Archives/edgar/data/1296445/000095012309003741/0000950123-09-003741-index.html,https://www.sec.gov/Archives/edgar/data/1296445/000095012310022121/0000950123-10-022121-index.html,https://www.sec.gov/Archives/edgar/data/1296445/000095012311019926/y89083e10vk.htm,https://www.sec.gov/Archives/edgar/data/1296445/000119312512089532/0001193125-12-089532-index.html,https://www.sec.gov/Archives/edgar/data/1296445/000119312513100991/0001193125-13-100991-index.html,https://www.sec.gov/Archives/edgar/data/1296445/000143774914003113/ora20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/1296445/000143774915003544/ora20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1296445/000143774916026139/0001437749-16-026139-index.html,https://www.sec.gov/Archives/edgar/data/1296445/000143774917003516/0001437749-17-003516-index.html,https://www.sec.gov/Archives/edgar/data/1296445/000143774918004850/0001437749-18-004850-index.html,https://www.sec.gov/Archives/edgar/data/1296445/000143774919003760/0001437749-19-003760-index.html,https://www.sec.gov/Archives/edgar/data/1296445/000143774920004072/0001437749-20-004072-index.html,https://www.sec.gov/Archives/edgar/data/1296445/000143774921004274/0001437749-21-004274-index.htm,https://www.sec.gov/Archives/edgar/data/1296445/000143774922004440/0001437749-22-004440-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,36684000,8873000,36750000,26976000,20254000,47227000,34393000,46307000,82815000,99886000,66628000,57354000,40230000,185919000,230214000,47818000,98802000,71173000,448252000,239278000
32,Short-Term Investments,- -,- -,- -,89166000,43560000,96486000,13489000,24439000,- -,- -,18521000,- -,- -,- -,- -,- -,- -,- -,- -,98217000,43343000
33,Cash and Short-Term Investments,- -,36684000,8873000,125916000,70536000,116740000,60716000,58832000,46307000,82815000,118407000,66628000,57354000,40230000,185919000,230214000,47818000,98802000,71173000,546469000,282621000
34,Net Receivables,- -,25127000,37677000,34306000,45551000,53835000,59773000,73898000,62170000,69389000,65202000,74609000,128455000,88331000,88306000,150487000,165183000,199104000,214938000,191701000,150780000
35,Inventory,- -,5948000,3712000,6046000,5224000,7403000,10312000,13724000,15486000,12538000,12541000,20669000,22289000,16930000,18074000,12000000,19551000,45024000,34949000,35321000,28445000
36,Other Current Assets,- -,9863000,18462000,7054000,41651000,64614000,38027000,19225000,71292000,39912000,96035000,114328000,81242000,128383000,82837000,80129000,89094000,130134000,94604000,5663000,140086000
37,Total Current Assets,- -,77622000,68724000,173322000,162962000,242592000,168828000,165679000,195255000,204654000,292185000,276234000,289340000,273874000,375136000,472830000,321646000,473064000,415664000,779154000,601932000
38,PP&E,- -,180118000,379133000,527003000,620091000,793164000,977760000,1344687000,1517288000,1425467000,1518532000,1622899000,1741163000,1734359000,1808170000,1863087000,2028232000,2221268000,2379536000,2606342000,3042227000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6650000,21037000,19950000,20140000,24566000,89954000
40,Intangible Assets,- -,7256000,32005000,48930000,47915000,50086000,47989000,44853000,41981000,40274000,38781000,35492000,31933000,28655000,25875000,52753000,85420000,199874000,186220000,194421000,363314000
41,Intangible Assets,- -,7256000,32005000,48930000,47915000,50086000,47989000,44853000,41981000,40274000,38781000,35492000,31933000,28655000,25875000,59403000,106457000,219824000,206360000,218987000,453268000
42,Investments,- -,- -,- -,- -,47000000,37000000,33000000,33000000,36179000,5531000,3757000,2591000,7076000,- -,- -,- -,34084000,71983000,81140000,98217000,105886000
43,Tax Assets,- -,- -,- -,3044000,5376000,6172000,12427000,13965000,22532000,17087000,- -,53989000,891000,- -,- -,- -,20135000,113760000,129510000,119299000,143450000
44,Other Non-Current Assets,- -,22382000,67674000,97789000,31136000,31088000,34905000,35507000,41766000,350315000,461463000,102909000,89030000,84668000,83863000,66249000,76107000,21451000,38284000,66988000,78915000
45,Total Non-Current Assets,- -,209756000,478812000,676766000,751518000,917510000,1106081000,1472012000,1659746000,1838674000,2022533000,1817880000,1870093000,1847682000,1917908000,1988739000,2265015000,2648286000,2834830000,3109833000,3823746000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,287378000,547536000,850088000,914480000,1160102000,1274909000,1637691000,1855001000,2043328000,2314718000,2094114000,2159433000,2121556000,2293044000,2461569000,2586661000,3121350000,3250494000,3888987000,4425678000
48,Accounts Payable,- -,18650000,27479000,37565000,50048000,44327000,66812000,98294000,46410000,51915000,69894000,51303000,49619000,48283000,41364000,48309000,64289000,56299000,73271000,75779000,- -
49,Short-Term Debt,- -,- -,- -,38746000,63641000,49536000,34142000,43377000,62259000,36010000,35011000,68333000,80389000,91779000,62654000,65971000,109308000,227180000,226053000,78614000,391722000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,2903000,4900000,35000000,20063000,28492000,36425000,32206000,21418000,21620000,4847000,12376000,9248000
52,Other Current Liabilities,- -,140631000,34019000,46670000,12657000,114300000,45537000,20712000,30934000,46894000,83965000,57498000,36268000,37199000,48058000,42765000,88330000,56845000,72305000,81878000,143186000
53,Total Current Liabilities,- -,159281000,61498000,122981000,126346000,208163000,146491000,162383000,139603000,137722000,193770000,212134000,186339000,205753000,188501000,189251000,283345000,361944000,376476000,248647000,544156000
54,Long-Term Debt,- -,76500000,411316000,517578000,478059000,380314000,314530000,369474000,572201000,740649000,969456000,962595000,997468000,909631000,857811000,872873000,804294000,1040733000,1011931000,1377213000,1542851000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,72867000,71264000,68955000,66398000,63496000,60560000,58099000,54561000,51520000,48433000,1201000,- -,- -
56,Deferred Tax Liabilities,- -,11951000,13886000,18368000,22004000,21674000,20680000,33231000,44530000,30878000,54665000,45059000,55035000,66220000,32654000,35382000,- -,61323000,97126000,87972000,84662000
57,Other Non-Current Liabilities,- -,11083000,17199000,23183000,105748000,109093000,109743000,108930000,114105000,117588000,121228000,105730000,111984000,92646000,72105000,139495000,127044000,163821000,248350000,233718000,255548000
58,Total Non-Current Liabilities,- -,99534000,442401000,559129000,605811000,511081000,444953000,511635000,803703000,960379000,1214304000,1179782000,1227983000,1129057000,1020669000,1102311000,982858000,1314310000,1358608000,1698903000,1883061000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31028000,28092000,26169000
61,Total Liabilities,- -,258815000,503899000,682110000,732157000,719244000,591444000,674018000,943306000,1098101000,1408074000,1391916000,1414322000,1334810000,1209170000,1291562000,1266203000,1676254000,1735084000,1947550000,2427217000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,31000,31000,31000,31000,38000,41000,45000,46000,46000,46000,46000,46000,46000,49000,50000,51000,51000,51000,56000,56000
64,Retained Earnings,- -,19131000,34585000,44441000,55824000,85053000,103545000,144465000,196950000,221311000,172331000,-37735000,-3088000,41539000,148396000,216644000,351622000,422222000,487873000,550103000,585209000
65,Other Comprehensive Income/Loss,- -,-44140000,-59694000,-58825000,3000000,2000000,1000000,1000000,1000000,1000000,1000000,1000000,-601065000,-9000000,-8000000,-8000000,-5000000,-4000000,-9000000,-6620000,-2191000
66,Other Total Stockholders Equity,- -,51009000,66602000,182267000,123404000,353703000,513497000,700918000,708976000,716775000,725341000,731791000,1336847000,742338000,849556000,869731000,889464000,901564000,913496000,1262446000,- -
67,Total Stockholders Equity,- -,26031000,41524000,167914000,182259000,440794000,618083000,846428000,906972000,939132000,898718000,695102000,732740000,774923000,990001000,1078425000,1236137000,1319837000,1392420000,1805985000,1854999000
68,Total Liabilities And Stockholders Equity,- -,284846000,545423000,850024000,914416000,1160038000,1209527000,1520446000,1850278000,2037233000,2306792000,2087018000,2147062000,2109733000,2199171000,2369987000,2502340000,2996091000,3127504000,3753535000,4282216000
69,Minority Interest,- -,2532000,2113000,64000,64000,64000,65382000,117245000,4723000,6095000,7926000,7096000,12371000,11823000,93873000,91582000,84321000,125259000,122990000,135452000,143462000
70,Total Liabilities & Equity,- -,287378000,547536000,850088000,914480000,1160102000,1274909000,1637691000,1855001000,2043328000,2314718000,2094114000,2159433000,2121556000,2293044000,2461569000,2586661000,3121350000,3250494000,3888987000,4425678000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1296445/000095013605001639/file001.htm,https://www.sec.gov/Archives/edgar/data/1296445/000095013606002332/file001.htm,https://www.sec.gov/Archives/edgar/data/1296445/000095013607001557/file1.htm,https://www.sec.gov/Archives/edgar/data/1296445/000095013608001172/file1.htm,https://www.sec.gov/Archives/edgar/data/1296445/000095012309003741/0000950123-09-003741-index.html,https://www.sec.gov/Archives/edgar/data/1296445/000095012310022121/0000950123-10-022121-index.html,https://www.sec.gov/Archives/edgar/data/1296445/000095012311019926/y89083e10vk.htm,https://www.sec.gov/Archives/edgar/data/1296445/000119312512089532/0001193125-12-089532-index.html,https://www.sec.gov/Archives/edgar/data/1296445/000119312513100991/0001193125-13-100991-index.html,https://www.sec.gov/Archives/edgar/data/1296445/000143774914003113/ora20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/1296445/000143774915003544/ora20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1296445/000143774916026139/0001437749-16-026139-index.html,https://www.sec.gov/Archives/edgar/data/1296445/000143774917003516/0001437749-17-003516-index.html,https://www.sec.gov/Archives/edgar/data/1296445/000143774918004850/0001437749-18-004850-index.html,https://www.sec.gov/Archives/edgar/data/1296445/000143774919003760/0001437749-19-003760-index.html,https://www.sec.gov/Archives/edgar/data/1296445/000143774920004072/0001437749-20-004072-index.html,https://www.sec.gov/Archives/edgar/data/1296445/000143774921004274/0001437749-21-004274-index.htm,https://www.sec.gov/Archives/edgar/data/1296445/000143774922004440/0001437749-22-004440-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-1044000,15454000,17791000,15177000,34447000,27376000,49832000,68851000,37318000,-43056000,-206430000,41238000,54182000,119573000,93930000,155489000,97966000,88095000,85456000,62092000
74,Depreciation and Amortization,- -,14477000,16619000,37108000,34575000,40753000,47796000,57443000,61691000,86761000,96398000,102340000,92932000,100798000,107206000,105977000,115146000,132233000,148761000,156612000,80534000
75,Deferred Income Tax,- -,5883000,2059000,3785000,-2182000,-1528000,-4930000,6845000,3957000,-10139000,38061000,-13925000,-1084000,1873000,-54123000,6864000,-72908000,13630000,20686000,-19661000,-3115000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,5755000,7377000,6672000,6394000,6262000,5571000,3955000,5157000,8760000,10218000,9358000,9830000,9168000
77,Change in Working Capital,- -,-14839000,88885000,43115000,-13725000,-2187000,-12092000,-19041000,52356000,11280000,31483000,-34315000,38901000,-34880000,118514000,96944000,-245278000,72819000,-71932000,491319000,-472731000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3623000,-37174000,47114000,-3806000,-33280000,-24040000,-29928000,-15133000,3520000,- -
79,Inventory,- -,408000,2236000,-2334000,822000,-2179000,-2909000,-3412000,-1762000,2948000,-3000,-8128000,-1620000,5359000,-1144000,6297000,-1070000,-9318000,5500000,178000,4127000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6077000,- -,- -,- -,- -,- -,- -,-5373000,-21936000
81,Other Working Capital,- -,-81659000,7226000,50341000,36616000,34429000,22337000,3296000,55652000,66932000,98415000,64100000,103001000,68121000,186635000,283579000,38301000,111120000,39188000,530507000,57776000
82,Other Non-Cash Items,- -,7068000,-76998000,-38341000,101093000,1550000,575000,21870000,-81838000,-31194000,3176000,235407000,-91489000,85691000,-105100000,-149587000,284366000,-181044000,41525000,-458551000,582874000
83,Cash Provided by Operating Activities,- -,11545000,46019000,63458000,134938000,73035000,58725000,116949000,110772000,101403000,132734000,89471000,86760000,213235000,190025000,159285000,245575000,145822000,236493000,265005000,258822000
84,CAPEX,- -,-22710000,-25296000,-38122000,-116749000,-159497000,-217508000,-416606000,-270623000,-284785000,-271463000,-233020000,-204628000,-151153000,-152950000,-151930000,-260102000,-258521000,-279986000,-320738000,-419272000
85,Acquisitions Net,- -,- -,- -,- -,- -,-23000000,- -,- -,- -,-45000000,- -,- -,8000000,35000000,- -,-20000000,-35000000,- -,- -,-43397000,-171000000
86,Purchases of Investments,- -,- -,- -,-90916000,- -,-52654000,- -,- -,- -,-3350000,-18253000,-3326000,- -,- -,- -,- -,- -,- -,- -,- -,-60070000
87,Sales/Maturities of Investments,- -,- -,- -,- -,45606000,- -,78722000,12594000,1642000,- -,- -,18763000,3010000,- -,2843000,1862000,526000,2186000,687000,- -,16272000
88,Other Investing Activites,- -,-37811000,-259884000,-181545000,-12265000,-13996000,22475000,5021000,-287678000,-155470000,-322749000,-116227000,-168163000,-164162000,-93814000,-140393000,-333647000,-344620000,-255225000,-345720000,-431371000
89,Cash Used for Investing Activites,- -,-60521000,-285180000,-310583000,-83408000,-249147000,-116311000,-398991000,-286036000,-203820000,-341002000,-100790000,-157153000,-129162000,-90971000,-158531000,-368121000,-342434000,-254538000,-385969000,-638193000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-1168293000,-1166245000,-917130000,-3168480000,-3100803000,-3046440000,-721439000,-628913000,-1128364000,-4054825000,-1666245000,-1478224000,-93046000
91,Common Stock Issued,- -,- -,- -,- -,- -,227679000,155487000,183572000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,339471000,311000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-6294000,-5218000,-8556000,-8912000,-11347000,-12264000,-5924000,-3636000,-3636000,-9555000,-12716000,-25682000,-20511000,-26834000,-22386000,-22471000,-26986000
94,Other Financing Activites,- -,72509000,211350000,275002000,-55010000,-53071000,-62372000,94626000,1366676000,1317434000,1148393000,3150177000,3165558000,2954798000,780790000,698136000,1089025000,4332790000,1682866000,1664702000,306106000
95,Cash Used/Provided by Financing Activities,- -,72509000,211350000,275002000,-61304000,169390000,84559000,269286000,187036000,138925000,225339000,-21939000,61119000,-101197000,46635000,43541000,-59850000,251131000,-5765000,503478000,186385000
96,Effect of Forex Changes on Cash,- -,-51000,- -,- -,- -,- -,- -,-78000,142000,- -,- -,- -,- -,- -,- -,- -,- -,-660000,-575000,1154000,-348000
97,Net Change In Cash,- -,23482000,-27811000,27877000,-9774000,-6722000,26973000,-12834000,11914000,36508000,17071000,-33258000,-9274000,-17124000,145689000,44295000,-182396000,80852000,-24385000,383668000,-193334000
98,Cash at the End of Period,- -,36684000,8873000,36750000,26976000,20254000,47227000,34393000,46307000,82815000,99886000,66628000,57354000,40230000,185919000,230214000,47818000,177495000,153110000,536778000,343444000
99,Cash at the Beginning of Period,- -,13202000,36684000,8873000,36750000,26976000,20254000,47227000,34393000,46307000,82815000,99886000,66628000,57354000,40230000,185919000,230214000,96643000,177495000,153110000,536778000
100,Free Cash Flow,- -,-11165000,20723000,25336000,18189000,-86462000,-158783000,-299657000,-159851000,-183382000,-138729000,-143549000,-117868000,62082000,37075000,7355000,-14527000,-112699000,-43493000,-55733000,-160450000
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1296445/000095013605001639/file001.htm,https://www.sec.gov/Archives/edgar/data/1296445/000095013606002332/file001.htm,https://www.sec.gov/Archives/edgar/data/1296445/000095013607001557/file1.htm,https://www.sec.gov/Archives/edgar/data/1296445/000095013608001172/file1.htm,https://www.sec.gov/Archives/edgar/data/1296445/000095012309003741/0000950123-09-003741-index.html,https://www.sec.gov/Archives/edgar/data/1296445/000095012310022121/0000950123-10-022121-index.html,https://www.sec.gov/Archives/edgar/data/1296445/000095012311019926/y89083e10vk.htm,https://www.sec.gov/Archives/edgar/data/1296445/000119312512089532/0001193125-12-089532-index.html,https://www.sec.gov/Archives/edgar/data/1296445/000119312513100991/0001193125-13-100991-index.html,https://www.sec.gov/Archives/edgar/data/1296445/000143774914003113/ora20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/1296445/000143774915003544/ora20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1296445/000143774916026139/0001437749-16-026139-index.html,https://www.sec.gov/Archives/edgar/data/1296445/000143774917003516/0001437749-17-003516-index.html,https://www.sec.gov/Archives/edgar/data/1296445/000143774918004850/0001437749-18-004850-index.html,https://www.sec.gov/Archives/edgar/data/1296445/000143774919003760/0001437749-19-003760-index.html,https://www.sec.gov/Archives/edgar/data/1296445/000143774920004072/0001437749-20-004072-index.html,https://www.sec.gov/Archives/edgar/data/1296445/000143774921004274/0001437749-21-004274-index.htm,https://www.sec.gov/Archives/edgar/data/1296445/000143774922004440/0001437749-22-004440-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
